County and Region,Total Income per Person,Year
Leitrim,25058,2009
Leitrim,25201,2007
Leitrim,25698,2018
Leitrim,26361,2008
Limerick,17443,2000
Limerick,19728,2001
Limerick,19868,2002
Limerick,21176,2003
Limerick,22321,2004
Limerick,24079,2005
Limerick,25397,2010
Limerick,25473,2009
Limerick,25532,2006
Limerick,26673,2007
Limerick,26929,2008
Limerick,27280,2013
Limerick,27417,2011
Limerick,27838,2014
Limerick,27936,2012
Limerick,28332,2015
Limerick,30424,2016
Limerick,32045,2017
Limerick,33223,2018
Longford,15313,2000
Longford,16907,2001
Longford,18492,2002
Longford,19953,2003
Longford,20877,2011
Longford,21199,2004
Longford,21476,2014
Longford,21711,2013
Longford,21736,2012
Longford,21997,2010
Longford,22331,2015
Longford,22434,2016
Longford,22863,2005
Longford,23097,2018
Longford,23252,2009
Longford,23750,2006
Longford,23783,2017
Longford,24470,2007
Longford,25088,2008
Louth,18245,2000
Louth,20466,2001
Louth,20997,2002
Louth,22082,2003
Louth,22614,2011
Louth,23051,2013
Louth,23135,2012
Louth,23191,2004
Louth,23203,2014
Louth,24097,2010
Louth,24123,2015
Louth,24905,2005
Louth,24986,2016
Louth,25565,2006
Louth,26126,2009
Louth,26864,2017
Louth,27112,2007
Louth,27663,2008
Louth,27721,2018
Mayo,15483,2000
Mayo,16842,2001
Mayo,17513,2002
Mayo,18850,2003
Mayo,20177,2004
Mayo,21553,2013
Mayo,21581,2011
Mayo,21594,2005
Mayo,21839,2015
Mayo,21890,2014
Mayo,22015,2006
Mayo,22239,2012
Mayo,22324,2010
Mayo,22552,2016
Mayo,22954,2007
Mayo,23134,2009
Mayo,23805,2017
Mayo,23942,2008
Mayo,24528,2018
Meath,18043,2000
Meath,19875,2001
Meath,20556,2002
Meath,22122,2003
Meath,24305,2004
Meath,24325,2011
Meath,24759,2013
Meath,25266,2012
Meath,25691,2014
Meath,26833,2005
Meath,26870,2010
Meath,27033,2015
Meath,28167,2016
Meath,28616,2009
Meath,29418,2006
Meath,30930,2007
Meath,31202,2017
Meath,31558,2008
Meath,31940,2018
Midland,15941,2000
Midland,17552,2001
Midland,18742,2002
Midland,20511,2003
Midland,21384,2011
Midland,21747,2004
Midland,21967,2012
Midland,22118,2013
Midland,22287,2014
Midland,22317,2010
Midland,22822,2015
Midland,23162,2005
Midland,23232,2016
Midland,23611,2009
Midland,23846,2018
Midland,24093,2006
Midland,24395,2017
Midland,24901,2007
Midland,25327,2008
Monaghan,14868,2000
Monaghan,16229,2001
Monaghan,17355,2002
Monaghan,18613,2003
Monaghan,20343,2012
Monaghan,20428,2013
Monaghan,20722,2004
Monaghan,20762,2010
Monaghan,21126,2014
Monaghan,21184,2011
Monaghan,21654,2009
Monaghan,22332,2015
Monaghan,22379,2005
Monaghan,22458,2016
Monaghan,22727,2006
Monaghan,23276,2018
Monaghan,23867,2008
Monaghan,23884,2007
Monaghan,24006,2017
Offaly,15202,2000
Offaly,16758,2001
Offaly,18093,2002
Offaly,19815,2003
Offaly,20375,2011
Offaly,20867,2010
Offaly,20895,2012
Offaly,21026,2013
Offaly,21220,2004
Offaly,21287,2014
Offaly,21795,2015
Offaly,22069,2016
Offaly,22298,2009
Offaly,22817,2005
Offaly,22959,2018
Offaly,23406,2017
Offaly,23841,2006
Offaly,24136,2007
Offaly,24321,2008
Roscommon,15300,2000
Roscommon,16829,2001
Roscommon,17872,2002
Roscommon,19059,2003
Roscommon,20576,2004
Roscommon,20988,2013
Roscommon,21174,2011
Roscommon,21612,2014
Roscommon,21658,2015
Roscommon,21701,2012
Roscommon,22579,2016
Roscommon,22763,2010
Roscommon,22855,2005
Roscommon,23781,2006
Roscommon,23850,2009
Roscommon,23997,2017
Roscommon,24330,2007
Roscommon,24347,2018
Roscommon,25233,2008
Sligo,14983,2000
Sligo,16601,2001
Sligo,18373,2002
Sligo,19905,2003
Sligo,21673,2004
Sligo,22427,2011
Sligo,22823,2005
Sligo,23101,2013
Sligo,23105,2010
Sligo,23300,2014
Sligo,23413,2012
Sligo,23682,2006
Sligo,23816,2016
Sligo,23966,2015
Sligo,24211,2009
Sligo,25044,2007
Sligo,25154,2018
Sligo,25275,2008
Sligo,25503,2017
Tipperary,15361,2000
Tipperary,17343,2001
Tipperary,18682,2002
Tipperary,19894,2003
Tipperary,21144,2004
Tipperary,22904,2005
Tipperary,23006,2011
Tipperary,23291,2012
Tipperary,23674,2010
Tipperary,24069,2014
Tipperary,24512,2013
Tipperary,24584,2009
Tipperary,24641,2015
Tipperary,24730,2006
Tipperary,25048,2016
Tipperary,25572,2008
Tipperary,26139,2007
Tipperary,26764,2017
Tipperary,27251,2018
Waterford,17530,2000
Waterford,18889,2001
Waterford,20451,2002
Waterford,21360,2003
Waterford,22835,2004
Waterford,23034,2011
Waterford,23564,2010
Waterford,23855,2012
Waterford,23934,2013
Waterford,24007,2005
Waterford,24590,2009
Waterford,24742,2006
Waterford,25210,2016
Waterford,25266,2014
Waterford,25989,2015
Waterford,26221,2017
Waterford,26516,2007
Waterford,26688,2008
Waterford,27305,2018
Westmeath,17082,2000
Westmeath,18967,2001
Westmeath,19723,2002
Westmeath,21611,2003
Westmeath,21981,2011
Westmeath,22272,2004
Westmeath,22485,2013
Westmeath,22700,2012
Westmeath,22789,2014
Westmeath,22899,2010
Westmeath,23493,2005
Westmeath,23594,2015
Westmeath,23798,2009
Westmeath,23967,2006
Westmeath,23997,2016
Westmeath,24633,2018
Westmeath,24942,2007
Westmeath,25055,2017
Westmeath,25176,2008
Wexford,15508,2000
Wexford,17272,2001
Wexford,17939,2002
Wexford,19296,2003
Wexford,20681,2004
Wexford,21573,2011
Wexford,22198,2012
Wexford,22497,2013
Wexford,22617,2005
Wexford,23524,2014
Wexford,23685,2016
Wexford,24144,2010
Wexford,24382,2017
Wexford,24689,2015
Wexford,24725,2006
Wexford,25380,2009
Wexford,25683,2018
Wexford,26991,2007
Wexford,27625,2008
Wicklow,17717,2000
Wicklow,19867,2001
Wicklow,21529,2002
Wicklow,22577,2003
Wicklow,23956,2004
Wicklow,24544,2010
Wicklow,24739,2011
Wicklow,25030,2005
Wicklow,25342,2013
Wicklow,25740,2012
Wicklow,25765,2009
Wicklow,26082,2014
Wicklow,26228,2006
Wicklow,27554,2007
Wicklow,27568,2015
Wicklow,27747,2008
Wicklow,28630,2016
Wicklow,31123,2017
Wicklow,31914,2018
