Menu Order,Food Name,Total Quantity Ordered,Order YearMonth
Wonder Plus,Menu Orders [SM9 - Chicken Jalfrezi],70,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM9 - Chicken Jalfrezi],76,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM9 - Chicken Jalfrezi],25,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM8 - Roasted Pumpkin],56,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM8 - Roasted Pumpkin],49,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM8 - Roasted Pumpkin],75,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM8 - Roasted Pumpkin],7,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM7 - Coriander Chicken Meatballs],60,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM7 - Coriander Chicken Meatballs],59,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM7 - Coriander Chicken Meatballs],68,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM7 - Coriander Chicken Meatballs],34,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM6 - Kimchi Roasted Chicken],65,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM6 - Kimchi Roasted Chicken],52,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM6 - Kimchi Roasted Chicken],82,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM6 - Kimchi Roasted Chicken],26,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM5 - Young Jackfruit Rendang],67,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM5 - Young Jackfruit Rendang],92,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM5 - Young Jackfruit Rendang],89,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM5 - Young Jackfruit Rendang],13,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM4 - Koshari],74,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM4 - Koshari],76,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM4 - Koshari],56,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM4 - Koshari],21,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM3 - Mediterranean Beef Kofta],76,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM3 - Mediterranean Beef Kofta],104,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM3 - Mediterranean Beef Kofta],87,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM3 - Mediterranean Beef Kofta],31,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM2 - CNY Special Fried Chicken],75,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM2 - CNY Special Fried Chicken],78,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM2 - CNY Special Fried Chicken],67,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM2 - CNY Special Fried Chicken],32,2021-02-01 00:00:00
Wonder Plus,Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],44,2020-11-01 00:00:00
Wonder Plus,Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],50,2020-12-01 00:00:00
Wonder Plus,Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],39,2021-01-01 00:00:00
Wonder Plus,Menu Orders [SM1 - Soy Chunk & Tofu Butter Masala],12,2021-02-01 00:00:00
Wonder Plus,Menu Orders [PM3 - Picha Lamb Dhansak],42,2020-11-01 00:00:00
Wonder Plus,Menu Orders [PM3 - Picha Lamb Dhansak],29,2020-12-01 00:00:00
Wonder Plus,Menu Orders [PM3 - Picha Lamb Dhansak],66,2021-01-01 00:00:00
Wonder Plus,Menu Orders [PM3 - Picha Lamb Dhansak],10,2021-02-01 00:00:00
Wonder Plus,Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],56,2020-11-01 00:00:00
Wonder Plus,Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],45,2020-12-01 00:00:00
Wonder Plus,Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],37,2021-01-01 00:00:00
Wonder Plus,Menu Orders [PM2 - CNY Special - Pan Seared Seabass Fillet],20,2021-02-01 00:00:00
Wonder Plus,Menu Orders [PM1 - Chicken Mandi],28,2020-11-01 00:00:00
Wonder Plus,Menu Orders [PM1 - Chicken Mandi],25,2020-12-01 00:00:00
Wonder Plus,Menu Orders [PM1 - Chicken Mandi],41,2021-01-01 00:00:00
Wonder Plus,Menu Orders [PM1 - Chicken Mandi],20,2021-02-01 00:00:00
Wonder Plus,Add-On Food Item [Sourdough (Kefir King)],1,2020-11-01 00:00:00
Wonder Plus,Add-On Food Item [Sourdough (Kefir King)],4,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Sourdough (Kefir King)],5,2021-01-01 00:00:00
Wonder Plus,Add-On Food Item [Sourdough (Kefir King)],2,2021-02-01 00:00:00
Wonder Plus,Add-On Food Item [Shawarma Pita Chips],3,2020-11-01 00:00:00
Wonder Plus,Add-On Food Item [Pulut Hitam Creme Brul̩e],2,2020-11-01 00:00:00
Wonder Plus,Add-On Food Item [Mediterranean Lamb Stew],1,2020-11-01 00:00:00
Wonder Plus,Add-On Food Item [Frozen Sambusak],1,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Frozen Chicken Meatball],1,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Cookies],5,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Cookies],6,2021-01-01 00:00:00
Wonder Plus,Add-On Food Item [Cooked Falafel],1,2021-01-01 00:00:00
Wonder Plus,Add-On Food Item [Cheese Pita Chips],2,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Buttermilk Pita Chips],4,2020-11-01 00:00:00
Wonder Plus,Add-On Food Item [Amazin' Grace Nut Mix],1,2020-12-01 00:00:00
Wonder Plus,Add-On Food Item [Amazin' Grace Granola],1,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [N. Soda Lengkuas & Lemonade],4,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [N. Soda Guava & Lemongr],3,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [N. Soda Apply & Vanilla],4,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [N. Soda Apply & Vanilla],1,2020-12-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],8,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],5,2020-12-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],2,2021-01-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Passionfruit],3,2021-02-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],4,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],1,2020-12-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Lemongrass & Green Tea],1,2021-02-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Green Tea],4,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Green Tea],2,2021-02-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Beetroot],4,2020-11-01 00:00:00
Wonder Plus,Add-On Beverage Item [Kombucha Beetroot],2,2021-02-01 00:00:00
Wonder Plus,Add-On Beverage Item [Arabic Cold Brew],2,2020-11-01 00:00:00
"",Menu Orders [SM9 - Chicken Jalfrezi],2,2021-01-01 00:00:00
"",Menu Orders [SM7 - Coriander Chicken Meatballs],1,2021-01-01 00:00:00
"",Add-On Food Item [Shawarma Pita Chips],1,2020-11-01 00:00:00
"",Add-On Food Item [Frozen Falafel Mix],1,2021-01-01 00:00:00
"",Add-On Food Item [Frozen Bolani],2,2021-01-01 00:00:00
"",Add-On Food Item [Cheese Pita Chips],1,2020-11-01 00:00:00
