Country,State,District,Revenue,Manufacturer
USA,OR,District #34,305212.5825,Aliqui
USA,OK,District #21,296662.1175,Natura
USA,IN,District #17,296403.7125,Pirum
Mexico,Distrito Federal,Gustavo A Madero,294738.15,Currus
Australia,South Australia,SA SUBS NEAR 1,294592.8825,Currus
USA,NV,District #38,294489.0375,Aliqui
Australia,South Australia,SA FAR,290518.6725,Currus
Australia,Queensland,TOOWOOMBA SE CNR,289612.1025,Natura
USA,MN,District #28,288824.235,Pirum
Australia,Queensland,CENTRAL QLD,282865.3275,Pirum
USA,OR,District #34,281181.3375,Natura
USA,MO,District #29,280772.1525,Currus
Australia,Queensland,CENTRAL QLD,279217.68,Aliqui
USA,NJ,District #03,272437.725,Pirum
Australia,Queensland,CENTRAL QLD,272336.4,Natura
Australia,New South Wales,PENRITH,272215.8075,VanArsdel
Japan,Yamaguchiken,Houfushi,271083.3825,Currus
USA,TX,District #24,268769.9175,Currus
USA,NV,District #38,265947.8325,Pirum
USA,MO,District #30,264137.37,Currus
USA,AL,District #19,260215.725,Pirum
USA,AL,District #19,258965.1225,Aliqui
Australia,Queensland,TOOWOOMBA SE CNR,258450.6225,Aliqui
Australia,Victoria,DANDENONG,257637.765,VanArsdel
USA,NM,District #39,256455.4125,Aliqui
USA,UT,District #33,252696.6225,Aliqui
Australia,New South Wales,CANBERRA,251641.845,Currus
Australia,New South Wales,ST GEORGE,245463.225,Currus
USA,KY,District #16,245049,Pirum
USA,FL,District #10,241121.37,VanArsdel
USA,NM,District #39,240791.88,Natura
USA,UT,District #33,237752.6025,Natura
USA,KY,District #16,237416.6025,Natura
Nigeria,Rivers ,NULL,237312.69,Natura
Australia,Australian Capital Territory,,237297.06,VanArsdel
USA,AL,District #19,234446.31,Natura
Australia,Victoria,FERNTREE GULLY,232167.3375,Currus
USA,AR,District #25,232025.9025,Natura
Nigeria,Rivers ,NULL,227948.7,Pirum
USA,DE,District #04,227875.1475,Currus
USA,MS,District #24,227637.1125,Pirum
USA,AL,District #09,226833.075,Pirum
USA,WI,District #26,223006.0875,Pirum
USA,KY,District #16,222176.4825,Aliqui
USA,ID,District #33,222160.68,Aliqui
Australia,South Australia,SA SUBS NEAR 2,221447.835,Natura
USA,NM,District #39,221365.8825,Pirum
USA,MO,District #29,220623.5325,Natura
Australia,New South Wales,SYDNEY STREETS,218539.335,VanArsdel
USA,AR,District #25,218066.5725,Aliqui
Japan,Fukushimaken,Shirakawashi,216314.07,Natura
Australia,New South Wales,NSW NORTH COAST,215336.3625,Currus
Australia,New South Wales,PYMBLE,215186.79,VanArsdel
Australia,New South Wales,CHATSWOOD,213738.315,Currus
Australia,South Australia,SA SUBS NEAR 2,213394.335,Aliqui
Nigeria,Lagos,NULL,210938.6,Aliqui
Australia,Tasmania,TASMANIA,210308.49,Aliqui
USA,KS,District #30,209619.69,Currus
Australia,Tasmania,TASMANIA,208424.265,Natura
Mexico,Distrito Federal,Coyoacan,208054.12,Currus
Germany,Nordrhein-Westfalen,,207999.73,Pirum
Nigeria,Rivers ,NULL,207804.8,Aliqui
Japan,Yamaguchiken,Shuunanshi,207353.8425,Currus
USA,TX,District #39,205561.65,Currus
Australia,Queensland,,201641.1075,Aliqui
Australia,New South Wales,TOOWOOMBA SE CNR,201335.925,VanArsdel
USA,OR,District #34,201198.8475,Pirum
Nigeria,Lagos,NULL,200393.29,Natura
Mexico,Distrito Federal,Iztapalapa,199776.62,Pirum
USA,AL,District #24,198518.1975,Currus
Australia,New South Wales,NEW CNTRY WEST,197012.9175,Currus
Japan,Fukushimaken,Shirakawashi,196958.4225,Aliqui
USA,WV,District #15,196700.0175,Currus
Australia,South Australia,SA SUBS NEAR 1,196292.7225,Natura
Australia,Western Australia,CURTIN,195207.6525,Currus
USA,ID,District #33,194988.675,Currus
Australia,Queensland,,194504.835,Pirum
USA,UT,District #33,194065.7775,Pirum
USA,MO,District #29,193799.0775,Aliqui
Australia,South Australia,SA SUBS NEAR 1,190565.13,Aliqui
USA,CA,District #36,190292.235,VanArsdel
Australia,Tasmania,,190095.255,Currus
Japan,Tokushimaken,Tokushimashi,187431.8775,Natura
USA,TX,District #23,187067.6325,VanArsdel
Mexico,Distrito Federal,Iztapalapa,186524.09,Natura
Australia,New South Wales,HUNTER,186509.0325,Currus
Australia,South Australia,SA SUBS NEAR 2,186432.9075,Pirum
Australia,New South Wales,VIC FAR COUNTRY,184732.5375,VanArsdel
Japan,Fukushimaken,Shirakawashi,181278.93,Pirum
Mexico,Distrito Federal,Iztapalapa,179945.85,Aliqui
Australia,Queensland,NORTHGATE NORTH,178380.2475,Currus
Australia,Victoria,MELB NORTH WEST,176863.155,Currus
Japan,Fukushimaken,Fukushimashi,176831.13,Currus
USA,UT,District #33,176739.8325,Currus
Japan,Fukushimaken,Dategundatemachi,176281.2975,Currus
Australia,Queensland,TOOWOOMBA SE CNR,175840.7175,Pirum
Canada,Ontario,,175680.015,Currus
USA,IN,District #16,175293.51,Currus
USA,KY,District #19,174416.9175,Currus
Australia,Queensland,,173320.9275,Natura
Australia,South Australia,SA SUBS NEAR 1,171480.12,Pirum
Australia,Northern Territory,DARWIN,170210.0925,Currus
Australia,New South Wales,PARRAMATTA,169280.895,Currus
USA,NE,District #30,168668.115,Currus
Japan,Tokushimaken,Tokushimashi,167582.52,Aliqui
Australia,Tasmania,TASMANIA,167444.55,Pirum
USA,AL,District #09,166843.32,Natura
Australia,New South Wales,BONDI,166795.44,Currus
Australia,Queensland,BRIS CITY CNTRY,164517.045,Currus
USA,MO,District #29,164198.4225,Pirum
USA,FL,District #09,162974.5425,Natura
USA,MT,District #33,160138.755,Aliqui
USA,MS,District #24,159110.7525,Natura
USA,RI,District #02,158954.985,Currus
Australia,Northern Territory,,158722.9875,VanArsdel
Japan,Tokushimaken,Tokushimashi,158224.71,Pirum
USA,MO,District #30,158176.1475,Natura
Australia,New South Wales,NSW NORTH COAST,157514.28,Aliqui
USA,KS,District #21,156744.3675,Currus
USA,WI,District #26,155646.855,VanArsdel
USA,NV,District #35,154559.4225,Aliqui
USA,TX,District #39,153851.9325,Pirum
USA,NE,District #30,153303.885,Pirum
USA,TN,District #25,153115.62,Pirum
Nigeria,Lagos,NULL,152710.67,Pirum
USA,FL,District #09,150427.7775,Aliqui
USA,CA,District #37,150158.295,VanArsdel
Mexico,Distrito Federal,Azcapotzalco,149829.16,Currus
Germany,Berlin,,149616.01,Currus
Australia,New South Wales,CAMPBELLTOWN,149545.4625,Currus
Australia,Victoria,MULGRAVE,148945.1775,VanArsdel
Mexico,Distrito Federal,Gustavo A Madero,148079.61,Pirum
USA,KS,District #30,147949.83,Aliqui
USA,MO,District #21,147435.9075,Natura
Australia,Australian Capital Territory,CANBERRA,146663.475,Currus
USA,NV,District #35,144653.04,Currus
Canada,Alberta,,143915.8875,Currus
USA,MT,District #33,143101.4025,Currus
USA,MS,District #25,142651.11,Currus
Australia,New South Wales,NEW CNTRY WEST,142480.8525,Natura
USA,WI,District #27,142480.275,Natura
Australia,Victoria,DANDENONG,142058.0175,Currus
Australia,Western Australia,,141794.2575,Currus
USA,TX,District #39,140895.2475,Natura
USA,TN,District #25,140569.9575,Natura
Australia,New South Wales,GOSFORD,140477.085,Currus
USA,AZ,District #39,140270.2875,VanArsdel
Germany,Hamburg,,140086.44,Currus
Japan,Hiroshimaken,Fukuyamashi,139526.1,Currus
Australia,Queensland,SUNSHINE MT ISA,139364.5575,Currus
USA,MO,District #30,139343.2425,Pirum
Australia,Victoria,RINGWOOD,139295.94,Currus
USA,FL,District #09,138677.7,Pirum
Australia,Northern Territory,ALICE SPRINGS,137907.42,VanArsdel
USA,WI,District #27,137835.81,Currus
USA,MO,District #21,137641.14,Currus
Australia,New South Wales,CANBERRA,137096.715,Pirum
USA,OR,District #35,135982.9275,Currus
USA,NE,District #30,135335.655,Natura
USA,IN,District #16,135021.1275,Natura
USA,FL,District #12,134666.3325,VanArsdel
Australia,South Australia,SA FAR,134386.14,Natura
USA,MS,District #24,134238.1425,Aliqui
USA,KS,District #21,133836.465,Pirum
Mexico,Distrito Federal,Cuajimalpa de Morelos,133592.92,Currus
Australia,New South Wales,CANBERRA,133567.035,Natura
Australia,Queensland,NORTHGATE NORTH,133283.0625,Aliqui
Australia,South Australia,SA FAR,133154.175,Pirum
USA,OR,District #35,132795.075,Aliqui
Australia,Northern Territory,DARWIN,132606.2325,Aliqui
Germany,Berlin,,132554.45,Natura
Australia,New South Wales,NEW CNTRY WEST,132269.55,Aliqui
Germany,Berlin,,131992.3,Aliqui
USA,TN,District #25,131041.3125,Aliqui
USA,MO,District #30,130905.0225,Aliqui
Australia,New South Wales,CANBERRA,130742.6925,Aliqui
USA,CA,District #38,130186.245,VanArsdel
Australia,Western Australia,TANGNEY,129988.215,Currus
Japan,Fukushimaken,Dategunyanagawamachi,129967.0575,Currus
Mexico,Distrito Federal,Gustavo A Madero,129871.95,Natura
USA,ID,District #33,128958.165,Natura
Australia,South Australia,SA FAR,128028.705,Aliqui
Japan,Tokushimaken,Narutoshi,127768.095,Currus
Australia,Queensland,NORTHGATE CENT,127660.47,Currus
Australia,Western Australia,STIRLING,126523.95,Currus
Australia,South Australia,SA CITY SUBS,126382.515,Currus
USA,AL,District #09,125166.8775,Aliqui
Australia,Victoria,FRANKSTON,125072.64,Currus
USA,AK,District #34,124542.495,Aliqui
USA,WI,District #27,124495.455,Aliqui
USA,MD,District #07,123849.1275,Pirum
Mexico,Distrito Federal,Gustavo A Madero,122947.6,Aliqui
USA,TX,District #24,122925.9675,Aliqui
Australia,Northern Territory,,122915.625,Currus
USA,IA,District #27,122523.6075,Currus
Germany,Nordrhein-Westfalen,,122467.2,VanArsdel
Australia,New South Wales,NSW NORTH COAST,122453.8875,Natura
Japan,Yamaguchiken,Houfushi,122091.69,Natura
Australia,Queensland,NORTH QLD,121975.7175,Currus
USA,IA,District #30,121727.97,Currus
Mexico,Distrito Federal,Iztacalco,121466.81,Currus
USA,AK,District #34,121250.9025,Currus
Japan,Hiroshimaken,Onomichishi,120499.89,Currus
USA,OR,District #35,120406.44,Natura
Japan,Yamaguchiken,Shimonosekishi,120313.935,Currus
Australia,New South Wales,WARRINGAH,119516.145,Currus
USA,ID,District #33,119439.9675,Pirum
USA,TX,District #24,118787.55,Pirum
USA,SD,District #32,118589.205,Currus
Australia,New South Wales,CHATSWOOD,118511.7675,Natura
Australia,New South Wales,BONDI,118170.4125,Natura
USA,MT,District #33,117688.8825,Pirum
USA,NV,District #35,117650.715,Natura
Australia,Western Australia,CURTIN,116075.4,Aliqui
USA,MD,District #07,116002.6875,Aliqui
Mexico,Distrito Federal,La Magdalena Contreras,115307.21,Currus
USA,IA,District #30,114389.73,Pirum
Japan,Yamaguchiken,Iwakunishi,114130.065,Currus
Japan,Yamaguchiken,Yanaishi,113883.84,Currus
Australia,Victoria,HAWTHORN,113875.755,Currus
USA,KS,District #30,113519.175,Natura
USA,WV,District #15,113234.205,Pirum
USA,KS,District #30,113193.045,Pirum
Australia,Western Australia,CURTIN,111684.3525,Pirum
USA,KS,District #21,111424.6875,Natura
Australia,Western Australia,BRAND,111156.15,Currus
Japan,Yamaguchiken,Shuunanshi,110405.6625,Pirum
USA,DE,District #04,110332.95,Natura
USA,MO,District #21,110029.605,Pirum
Australia,Tasmania,,110002.305,Natura
Australia,Queensland,NORTHGATE NORTH,109723.95,Natura
USA,TX,District #24,108716.2125,Natura
Canada,British Columbia,,108615.99,Currus
USA,IN,District #16,108180.03,Pirum
USA,WV,District #15,108075.6075,Natura
USA,AR,District #21,108066.63,Currus
Japan,Tokushimaken,Nakagunnakagawachou,107857.6275,Currus
Australia,Queensland,UNDERWOOD CENT,107738.6625,Currus
Germany,Hamburg,,107524.85,Natura
Australia,Northern Territory,DARWIN,107482.2,Pirum
Australia,Victoria,MOORABBIN,107299.4475,VanArsdel
Australia,Victoria,MELB NORTH WEST,107052.0675,Natura
Australia,New South Wales,ST GEORGE,106967.91,Aliqui
Australia,New South Wales,BONDI,106400.9625,Aliqui
Japan,Yamaguchiken,Houfushi,106274.49,Aliqui
USA,KS,District #21,105812.91,Aliqui
Australia,New South Wales,NEW CNTRY WEST,105588.5775,Pirum
USA,KY,District #19,104726.37,Pirum
Japan,Fukushimaken,Dategundatemachi,103435.2375,Natura
Japan,Yamaguchiken,Shuunanshi,103161.45,Aliqui
Australia,Victoria,FERNTREE GULLY,102812.5875,Pirum
USA,MO,District #21,102657.5025,Aliqui
Australia,Victoria,PRESTON,102642.225,Aliqui
Mexico,Distrito Federal,Coyoacan,102343.14,Pirum
USA,MD,District #07,101892.1575,Natura
Australia,New South Wales,PENRITH,101838.66,Currus
Australia,Victoria,FERNTREE GULLY,101408.79,Natura
Australia,Queensland,BRIS CITY CNTRY,101188.1325,Aliqui
Australia,New South Wales,RICHMOND,101024.91,Currus
USA,RI,District #02,100980.9675,Pirum
Australia,New South Wales,NSW NORTH COAST,100629.165,Pirum
Australia,Western Australia,CURTIN,100626.645,Natura
Australia,New South Wales,CHATSWOOD,100316.895,Aliqui
Japan,Fukushimaken,Fukushimashi,100258.4625,Aliqui
Australia,Northern Territory,DARWIN,100023.0525,Natura
Germany,Hamburg,,99823.75,Aliqui
Australia,Queensland,NORTHGATE NORTH,99557.6925,Pirum
USA,AR,District #21,99309.0525,Natura
Australia,New South Wales,HUNTER,99020.4075,Natura
Australia,New South Wales,ST GEORGE,98563.0275,Pirum
Australia,New South Wales,ST GEORGE,98306.355,Natura
Australia,Victoria,FERNTREE GULLY,97713,Aliqui
Australia,Queensland,SUNSHINE MT ISA,96747.2625,Aliqui
USA,TX,District #22,96721.9575,VanArsdel
USA,WI,District #31,96497.1,Currus
Australia,New South Wales,HUNTER,96473.895,Aliqui
USA,KY,District #19,95917.5,Aliqui
USA,ND,District #32,95706.6075,Currus
Australia,Victoria,PRESTON,95699.3625,Currus
USA,OR,District #35,95327.715,Pirum
Australia,Western Australia,TANGNEY,95188.275,Aliqui
Australia,New South Wales,BANKSTOWN,95140.395,Currus
Australia,Victoria,FRANKSTON,94280.13,Aliqui
USA,NJ,District #04,94233.72,VanArsdel
Australia,New South Wales,HUNTER,94142.4225,Pirum
Australia,Victoria,MELB NORTH WEST,94022.88,Aliqui
Australia,Victoria,RINGWOOD,93944.235,Natura
USA,IA,District #27,93760.38,Aliqui
Japan,Fukushimaken,Fukushimashi,93303.63,Natura
Australia,New South Wales,GOSFORD,92949.5175,Pirum
USA,IA,District #30,92221.815,Aliqui
USA,ND,District #32,91801.7625,Aliqui
Australia,New South Wales,WARRINGAH,91713.1425,Aliqui
Australia,Queensland,UNDERWOOD SOUTH,91313.1975,Currus
Australia,New South Wales,WARRINGAH,91125.2475,Natura
USA,KY,District #19,90515.985,Natura
USA,RI,District #02,90437.1825,Aliqui
USA,NV,District #35,89875.695,Pirum
USA,DE,District #04,89854.8,Aliqui
Mexico,Distrito Federal,Coyoacan,89818.6,Natura
Japan,Hiroshimaken,Fukuyamashi,89640.6525,Pirum
USA,IA,District #30,89534.55,Natura
Australia,Queensland,BRIS CITY CNTRY,89487.5625,Pirum
Australia,Western Australia,STIRLING,89355.3675,Aliqui
Canada,Manitoba,,89253.78,Currus
Australia,New South Wales,CAMPBELLTOWN,88153.59,Aliqui
USA,NE,District #30,87969.8925,Aliqui
Australia,Queensland,SUNSHINE MT ISA,87728.865,Natura
Japan,Fukushimaken,Dategunhobaramachi,87426.57,Currus
Australia,Western Australia,TANGNEY,87193.26,Natura
Mexico,Distrito Federal,Coyoacan,87099.25,Aliqui
Mexico,Distrito Federal,Azcapotzalco,86936.6,Natura
Australia,New South Wales,CAMPBELLTOWN,86920.575,Natura
Australia,New South Wales,GOSFORD,86867.97,Natura
Australia,New South Wales,CHATSWOOD,86807.8575,Pirum
Australia,Australian Capital Territory,CANBERRA,86599.8525,Pirum
Australia,Western Australia,BRAND,86353.47,Aliqui
Australia,Australian Capital Territory,CANBERRA,86285.1675,Aliqui
Australia,New South Wales,PARRAMATTA,85954.575,Aliqui
USA,IN,District #16,85917.6675,Aliqui
Australia,Victoria,FRANKSTON,85639.7325,Natura
USA,RI,District #02,85534.5225,Natura
USA,DE,District #04,85120.4025,Pirum
Australia,Queensland,BRIS CITY CNTRY,85077.9825,Natura
USA,WV,District #15,84815.01,Aliqui
USA,ND,District #32,84730.3275,Pirum
Australia,New South Wales,BONDI,84419.055,Pirum
USA,OK,District #22,83911.38,Pirum
USA,CA,District #35,83831.9475,VanArsdel
Canada,Ontario,,83679.3825,Pirum
Japan,Yamaguchiken,Shuunanshi,83429.43,Natura
Australia,Victoria,FOOTSCRAY,83276.7075,Currus
Australia,New South Wales,PARRAMATTA,82185.3375,Natura
USA,AR,District #21,82134.2025,Pirum
Australia,New South Wales,GOSFORD,81088.245,Aliqui
Australia,Victoria,RINGWOOD,80673.075,Aliqui
Australia,Victoria,FRANKSTON,80493.105,Pirum
Australia,New South Wales,ILLAWARRA,80436.9825,Currus
Australia,Victoria,MULGRAVE,79925.16,Currus
Australia,Victoria,MELB NORTH WEST,79261.665,Pirum
Japan,Yamaguchiken,Houfushi,79074.24,Pirum
USA,MN,District #28,78922.4625,VanArsdel
USA,AK,District #34,78883.245,Natura
USA,IA,District #27,78709.3125,Pirum
Australia,Queensland,NORTHGATE CENT,77833.56,Natura
USA,IA,District #27,77796.915,Natura
USA,AR,District #21,77639.415,Aliqui
Canada,Ontario,,77492.415,Natura
Australia,New South Wales,PARRAMATTA,76878.3225,Pirum
Australia,Australian Capital Territory,CANBERRA,76489.875,Natura
Australia,Western Australia,,76421.1,Aliqui
Australia,New South Wales,CAMPBELLTOWN,76304.13,Pirum
Canada,Ontario,,76121.955,Aliqui
USA,TN,District #19,75684.2625,VanArsdel
Australia,Victoria,VIC COUNTRY,75355.6125,Currus
Australia,Queensland,NORTHGATE CENT,74993.2575,Aliqui
USA,WV,District #13,74790.3975,Currus
Australia,Victoria,PRESTON,74368.9275,Natura
Japan,Fukushimaken,Dategundatemachi,74327.295,Pirum
Australia,Western Australia,,74138.3475,Pirum
USA,WI,District #27,74045.4225,Pirum
Australia,New South Wales,LEICHHARDT,73919.9475,Currus
USA,ND,District #32,73728.375,Natura
Australia,Western Australia,BRAND,73707.4275,Natura
Japan,Hiroshimaken,Fukuyamashi,73528.6125,Aliqui
Australia,Queensland,UNDERWOOD SOUTH,73386.8625,Aliqui
Mexico,Distrito Federal,Azcapotzalco,73229.09,Pirum
Japan,Tokushimaken,Nakagunwajikichou,73132.605,Currus
Australia,Victoria,HAWTHORN,72772.98,Aliqui
