State,Total profits,County
Illinois,65911.71899999997,Winnebago County
Illinois,66060.72700000001,Winnebago County/Ogle County
Indiana,155527.30100000004,Allen County
Indiana,150671.54299999992,Lake County
Indiana,565324.0239999992,Marion County
Indiana,66437.06599999996,Marion County.
Indiana,118836.02399999998,St. Joseph County
Indiana,138699.51399999994,Vanderburgh County
Iowa,132615.7799999999,Linn County
Iowa,67529.03200000004,Scott County
Iowa,89778.32500000001,Warren County/Polk County
Kansas,173360.75799999986,Johnson County
Kansas,57385.09800000001,Sedgwick County
Kansas,83895.18899999995,Shawnee County
Kansas,64879.45,Wyandotte County
Kentucky,62698.39899999999,Fayette County
Kentucky,80239.40100000004,Jefferson County
Louisiana,50055.297999999995,Caddo Parish/Bossier Parish
Louisiana,65514.610000000044,East Baton Rouge Parish
Louisiana,70849.48499999999,Jefferson Parish
Louisiana,106109.44100000005,Lafayette Parish
Louisiana,71826.88099999996,Orleans Parish
Maryland,83549.46899999998,Baltimore city
Maryland,111729.53500000006,Howard County
Massachusetts,104036.72899999999,Hampden County
Massachusetts,191177.93399999983,Middlesex County
Massachusetts,82872.83600000004,Suffolk County
Massachusetts,49413.303999999975,Worcester County
Michigan,53744.04999999999,Clinton County/Ingham County/Eaton County
Michigan,67129.91299999997,Kent County
Michigan,213778.3739999999,Macomb County
Michigan,123821.5610000001,Washtenaw County
Michigan,125682.0169999999,Wayne County
Minnesota,85288.05199999994,Hennepin County
Minnesota,95492.48699999994,Olmsted County
Minnesota,68603.57800000004,Ramsey County
Mississippi,60692.620000000024,Rankin County/Hinds County/Madison County
Missouri,59316.30599999998,Boone County
Missouri,66776.55500000002,Cass County/Platte County/Jackson County/Clay County
Missouri,84953.18599999996,Christian County/Greene County
Missouri,40376.076,Jackson County/Clay County
Missouri,64587.129000000015,St. Louis city
Montana,69965.956,Yellowstone County
Nebraska,81855.50799999997,Douglas County
Nebraska,69894.132,Lancaster County
Nevada,547681.3829999994,Clark County
Nevada,82478.34,Washoe County
New Hampshire,77254.08200000002,Hillsborough County
New Jersey,122490.27099999998,Essex County
New Jersey,95836.53199999998,Hudson County
New Jersey,208202.2319999999,Middlesex County
New Jersey,104896.00399999993,Passaic County
New Jersey,68057.72900000004,Union County
New Mexico,104199.33799999993,Bernalillo County
New Mexico,112041.35300000003,DoÃƒÂ±a Ana County
New York,90471.775,Bronx County
New York,197342.80499999988,Erie County
New York,69380.37599999996,Kings County
New York,116589.64799999996,Monroe County
New York,199704.1530000001,Nassau County
New York,60632.454,New York County
New York,64302.58000000003,Onondaga County
New York,130821.31900000005,Queens County
New York,59390.47500000002,Richmond County
New York,48704.846000000005,Richmond County/Queens County/Kings County/New York County/Bronx County
New York,95460.46100000001,Rockland County
New York,329043.70000000007,Suffolk County
New York,53806.96300000003,Westchester County
North Carolina,147188.146,Chatham County/Wake County
North Carolina,88983.50399999999,Cumberland County
North Carolina,74758.13099999996,Davidson County/Randolph County/Forsyth County/Guilford County
North Carolina,92291.42799999999,Durham County/Orange County/Wake County
North Carolina,34921.070000000014,Durham County/Wake County
North Carolina,119724.24300000002,Forsyth County
North Carolina,82706.13999999998,Guilford County
North Carolina,122304.815,Mecklenburg County
North Carolina,61363.356999999945,New Hanover County
North Dakota,143355.076,Cass County
Ohio,95143.484,Cuyahoga County
Ohio,68682.43700000002,Delaware County/Franklin County/Fairfield County
Ohio,93562.88699999999,Hamilton County
Ohio,78953.67100000009,Lucas County
Ohio,56777.20700000001,Montgomery County
Ohio,91909.52799999996,Summit County
Oklahoma,88947.05599999998,Canadian County/Pottawatomie County/Oklahoma County/Cleveland County
Oklahoma,74209.66900000002,Cleveland County
Oklahoma,65167.34899999996,Rogers County/Wagoner County/Osage County/Tulsa County
Oklahoma,196050.77700000012,Wagoner County/Tulsa County
Oregon,115318.65799999997,Clackamas County/Multnomah County/Washington County
Oregon,142847.88599999994,Lane County
Oregon,91377.01200000002,Marion County/Polk County
Oregon,79587.15599999999,Multnomah County
Oregon,77376.022,Washington County
Pennsylvania,73149.796,Allegheny County
Pennsylvania,71882.55800000002,Lehigh County
Pennsylvania,91464.44699999999,Philadelphia County
Rhode Island,74046.79200000002,Providence County
South Carolina,123224.79200000002,Berkeley County/Charleston County
South Carolina,73248.152,Dorchester County/Berkeley County/Charleston County
South Carolina,76809.60400000006,Lexington County/Richland County
South Dakota,58114.393,Minnehaha County/Lincoln County
Tennessee,102622.09100000003,Davidson County
Tennessee,68475.54100000004,Hamilton County
Tennessee,137053.05599999998,Knox County
Tennessee,128731.85699999996,Montgomery County
Tennessee,66041.49800000002,Rutherford County
Tennessee,65651.75900000006,Shelby County
Texas,86596.09299999998,Aransas County/Kleberg County/Nueces County/San Patricio County
Texas,62651.16399999996,Bell County
Texas,114721.28600000002,Bexar County/Comal County/Medina County
Texas,56732.24999999997,Brazos County
Texas,50518.40200000002,Cameron County
Texas,45254.077999999994,Collin County
Texas,72462.37600000002,Collin County/Dallas County
Texas,153854.10999999987,Collin County/Denton County
Texas,100450.28599999996,Collin County/Denton County/Dallas County
Texas,68958.343,Dallas County
Texas,85425.80399999997,Denton County
Texas,96621.7049999999,Denton County/Dallas County
Texas,120013.68300000002,El Paso County
Texas,100007.41599999997,Fort Bend County/Harris County/Brazoria County
Texas,70696.65800000005,Fort Bend County/Harris County/Montgomery County
Texas,48952.14299999997,Harris County
Texas,85318.67099999997,Harris County/Montgomery County
Texas,51898.870000000024,Hays County/Williamson County/Travis County
Texas,58375.425,Hidalgo County
Texas,55602.36199999998,Jefferson County
Texas,73014.85799999998,Jones County/Taylor County
Texas,95324.78599999996,Kaufman County/Dallas County
Texas,135518.95699999997,Lubbock County
Texas,115228.40899999999,Martin County/Midland County
Texas,91572.11599999998,McLennan County
Texas,93352.17199999999,Midland County/Ector County
Texas,41702.407999999996,Parker County/Johnson County/Tarrant County/Wise County/Denton County
Texas,84251.96399999995,Randall County/Potter County
Texas,75304.78400000001,Rockwall County/Collin County/Dallas County
Texas,71496.63800000004,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County
Texas,90478.54199999999,Smith County
Texas,66414.286,Tarrant County
Texas,90993.10200000001,Tarrant County/Ellis County/Dallas County
Texas,84304.55900000001,Tom Green County
Texas,112098.839,Webb County
Texas,101000.356,Wichita County
Texas,67460.49100000001,Williamson County/Travis County
Utah,242668.23800000007,Salt Lake County
Utah,61797.11500000002,Utah County
Virginia,79559.75300000006,Alexandria city
Virginia,117990.68500000003,Arlington County
Virginia,88255.68299999998,Chesapeake city
Virginia,77341.852,Hampton city
Virginia,85250.53200000002,Newport News city
Virginia,45329.118,Norfolk city
Virginia,120819.894,Richmond city
Virginia,83430.07499999998,Virginia Beach city
Washington,117487.18,Clark County
Washington,307119.0219999999,King County
Washington,78029.27199999997,Pierce County
Washington,78091.98399999994,Snohomish County
Washington,126586.11499999999,Spokane County
Wisconsin,49599.29599999999,Brown County
Wisconsin,112801.133,Dane County
Wisconsin,96262.25000000006,Milwaukee County/Washington County/Waukesha County
