Date,Δ from yesterday
2021-03-28 00:00:00,68206
2021-03-29 00:00:00,56152
2021-03-30 00:00:00,53237
2021-03-31 00:00:00,72113
2021-04-01 00:00:00,81398
2021-04-02 00:00:00,89023
2021-04-03 00:00:00,92994
2021-04-04 00:00:00,103794
2021-04-05 00:00:00,96563
2021-04-06 00:00:00,115312
2021-04-07 00:00:00,126276
2021-04-08 00:00:00,131878
2021-04-09 00:00:00,144945
2021-04-10 00:00:00,152565
2021-04-11 00:00:00,169914
2021-04-12 00:00:00,160838
2021-04-13 00:00:00,185297
2021-04-14 00:00:00,199584
2021-04-15 00:00:00,216828
2021-04-16 00:00:00,234002
2021-04-17 00:00:00,260895
2021-04-18 00:00:00,275063
2021-04-19 00:00:00,257003
2021-04-20 00:00:00,294365
2021-04-21 00:00:00,315735
2021-04-22 00:00:00,332518
2021-04-23 00:00:00,345281
2021-04-24 00:00:00,348979
2021-04-25 00:00:00,354653
2021-04-26 00:00:00,319537
2021-04-27 00:00:00,362913
2021-04-28 00:00:00,379398
2021-04-29 00:00:00,386780
2021-04-30 00:00:00,402014
2021-05-01 00:00:00,392576
2021-05-02 00:00:00,370090
2021-05-03 00:00:00,355769
2021-05-04 00:00:00,382847
2021-05-05 00:00:00,412624
2021-05-06 00:00:00,414280
