Title,Date,Average Salary
Management Consultant,2020-07-01 00:00:00,$158
Management Consultant,2020-08-01 00:00:00,$143
Management Consultant,2020-09-01 00:00:00,$162
Management Consultant,2020-10-01 00:00:00,$169
Management Consultant,2020-11-01 00:00:00,$134
Management Consultant,2020-12-01 00:00:00,$140
Marketing,2020-01-01 00:00:00,$275
Marketing,2020-07-01 00:00:00,$153
Marketing,2020-08-01 00:00:00,$173
Marketing,2020-09-01 00:00:00,$220
Marketing,2020-10-01 00:00:00,$188
Marketing,2020-11-01 00:00:00,$198
Marketing,2020-12-01 00:00:00,$193
Mechanical Engineer,2020-03-01 00:00:00,$120
Mechanical Engineer,2020-05-01 00:00:00,$205
Mechanical Engineer,2020-07-01 00:00:00,$138
Mechanical Engineer,2020-08-01 00:00:00,$183
Mechanical Engineer,2020-09-01 00:00:00,$155
Mechanical Engineer,2020-10-01 00:00:00,$151
Mechanical Engineer,2020-11-01 00:00:00,$135
Mechanical Engineer,2020-12-01 00:00:00,$122
Product Designer,2020-01-01 00:00:00,$235
Product Designer,2020-02-01 00:00:00,$215
Product Designer,2020-03-01 00:00:00,$212
Product Designer,2020-04-01 00:00:00,$279
Product Designer,2020-05-01 00:00:00,$192
Product Designer,2020-06-01 00:00:00,$206
Product Designer,2020-07-01 00:00:00,$195
Product Designer,2020-08-01 00:00:00,$195
Product Designer,2020-09-01 00:00:00,$218
Product Designer,2020-10-01 00:00:00,$226
Product Designer,2020-11-01 00:00:00,$199
Product Designer,2020-12-01 00:00:00,$215
Product Manager,2020-01-01 00:00:00,$290
Product Manager,2020-02-01 00:00:00,$284
Product Manager,2020-03-01 00:00:00,$255
Product Manager,2020-04-01 00:00:00,$274
Product Manager,2020-05-01 00:00:00,$259
Product Manager,2020-06-01 00:00:00,$231
Product Manager,2020-07-01 00:00:00,$248
Product Manager,2020-08-01 00:00:00,$233
Product Manager,2020-09-01 00:00:00,$220
Product Manager,2020-10-01 00:00:00,$216
Product Manager,2020-11-01 00:00:00,$246
Product Manager,2020-12-01 00:00:00,$234
Recruiter,2020-05-01 00:00:00,$150
Recruiter,2020-06-01 00:00:00,$194
Recruiter,2020-07-01 00:00:00,$139
Recruiter,2020-08-01 00:00:00,$153
Recruiter,2020-09-01 00:00:00,$140
Recruiter,2020-10-01 00:00:00,$162
Recruiter,2020-11-01 00:00:00,$165
Recruiter,2020-12-01 00:00:00,$158
Sales,2020-02-01 00:00:00,$260
Sales,2020-05-01 00:00:00,$120
Sales,2020-07-01 00:00:00,$238
Sales,2020-08-01 00:00:00,$249
Sales,2020-09-01 00:00:00,$188
Sales,2020-10-01 00:00:00,$188
Sales,2020-11-01 00:00:00,$169
Sales,2020-12-01 00:00:00,$237
Software Engineer,2020-01-01 00:00:00,$231
Software Engineer,2020-02-01 00:00:00,$221
Software Engineer,2020-03-01 00:00:00,$218
Software Engineer,2020-04-01 00:00:00,$217
Software Engineer,2020-05-01 00:00:00,$230
Software Engineer,2020-06-01 00:00:00,$224
Software Engineer,2020-07-01 00:00:00,$198
Software Engineer,2020-08-01 00:00:00,$190
Software Engineer,2020-09-01 00:00:00,$187
Software Engineer,2020-10-01 00:00:00,$188
Software Engineer,2020-11-01 00:00:00,$182
Software Engineer,2020-12-01 00:00:00,$202
Software Engineering Manager,2020-01-01 00:00:00,$350
Software Engineering Manager,2020-02-01 00:00:00,$358
Software Engineering Manager,2020-03-01 00:00:00,$439
Software Engineering Manager,2020-04-01 00:00:00,$381
Software Engineering Manager,2020-05-01 00:00:00,$340
Software Engineering Manager,2020-06-01 00:00:00,$324
Software Engineering Manager,2020-07-01 00:00:00,$380
Software Engineering Manager,2020-08-01 00:00:00,$318
Software Engineering Manager,2020-09-01 00:00:00,$328
Software Engineering Manager,2020-10-01 00:00:00,$323
Software Engineering Manager,2020-11-01 00:00:00,$334
Software Engineering Manager,2020-12-01 00:00:00,$362
Solution Architect,2020-01-01 00:00:00,$270
Solution Architect,2020-02-01 00:00:00,$193
Solution Architect,2020-03-01 00:00:00,$192
Solution Architect,2020-04-01 00:00:00,$183
Solution Architect,2020-05-01 00:00:00,$209
Solution Architect,2020-06-01 00:00:00,$174
Solution Architect,2020-07-01 00:00:00,$217
Solution Architect,2020-08-01 00:00:00,$213
Solution Architect,2020-09-01 00:00:00,$222
Solution Architect,2020-10-01 00:00:00,$212
Solution Architect,2020-11-01 00:00:00,$191
Solution Architect,2020-12-01 00:00:00,$233
Technical Program Manager,2020-03-01 00:00:00,$216
Technical Program Manager,2020-04-01 00:00:00,$205
Technical Program Manager,2020-05-01 00:00:00,$247
Technical Program Manager,2020-06-01 00:00:00,$258
Technical Program Manager,2020-07-01 00:00:00,$217
Technical Program Manager,2020-08-01 00:00:00,$238
Technical Program Manager,2020-09-01 00:00:00,$238
Technical Program Manager,2020-10-01 00:00:00,$211
Technical Program Manager,2020-11-01 00:00:00,$210
Technical Program Manager,2020-12-01 00:00:00,$294
