name,Flow produktów,action
konfitura malinowa,-3331,out
marynowana cebula,-3369,out
szarlotka,-3411,out
kalmar,-3421,out
żelatyna,-3448,out
migdał,-3460,out
puree z mango,-3481,out
sos do salsy,-3485,out
nasiono granatu,-3501.5,out
zupa krewetkowa,-3506,out
sos Worcester,-3540,out
mąka ryżowa,-3609,out
drożdże,-3631,out
chińska kapusta,-3641,out
czerwona papryka,-3660,out
mąka,-3703,out
sos ostrygowy,-3714,out
brokuł,-3730,out
kakao,-3749,out
mąka pszenna,-3771,out
pasta z wanilii,-3792,out
majonez,-3820,out
grzyb shiitake,-3828,out
seler,-3832.5,out
pasta sojowa,-3835,out
limonka,-3883,out
wino ryżowe,-3910,out
jagoda goji,-3957,out
pomidor malinowy,-4026,out
maliny,-4049,out
cytryna,-4056.75,out
marynata,-4062,out
kmin rzymski,-4096,out
mąka ziemniaczana,-4100,out
bułka do burgerów,-4132,out
zupka Neoguri,-4148,out
marchewka,-4149,out
sałata lodowa,-4167,out
lód,-4173,out
rum,-4220,out
por,-4241,out
płatki owsiane,-4270,out
olej sezamowy,-4308,out
sos serowy,-4319,out
ocet winny,-4376,out
tortilla taco,-4394,out
zupka Shin Ramyun,-4415,out
pasta miso,-4449,out
kacze udko,-4456,out
papryka czerwona,-4472.5,out
zielona papryka,-4502,out
awokado,-4518,out
natka pietruszki,-4539,out
marynowany podgrzybek,-4581,out
orzeszek pinii,-4677,out
tuńczyk w oliwie,-4779,out
papryka,-4795.25,out
tortilla pszenna,-4850,out
rukola,-4877,out
śledź,-4907,out
mirin,-4987,out
imbir,-5038,out
parmezan,-5085,out
mango,-5228,out
olej słonecznikowy,-5228,out
marchew,-5328,out
majeranek,-5415,out
sos chili,-5566,out
solona pistacja,-5643,out
liść bazylii,-5680,out
musztarda,-5704,out
leszcz morski,-5944,out
perełka tapioki,-6103,out
miód,-6278,out
jajko,-6289,out
herbata malinowa,-6348,out
bulion mięsny,-6361,out
sezam,-6702,out
sok z limonki,-6942,out
sos teriyaki,-6955,out
mięta,-7061.333333333334,out
sos Hoisin,-7702,out
szczypiorek,-8274,out
papryczka chili,-8359.5,out
bazylia,-8880,out
kasztan jadalny,-8908,out
syrop cytrynowy,-9391,out
oliwa,-9727,out
tapioka,-9950,out
czosnek,-10146,out
śmietanka kremówki,-10314,out
pasta harissa,-10696,out
sos sojowy,-11144,out
kurka,-12092,out
śmietanka kremowa,-12960.666666666666,out
marynowana papryka jalapeño,-13175,out
szparag,-13260.5,out
kiełki,-13460,out
groszek cukrowy,-13498,out
ser kozi,-13972,out
białe wino,-14351,out
orzech nerkowca,-14511,out
kuskus,-17133.166666666668,out
makaron chili,-18204,out
makaron jajeczny,-19882,out
cebulka,-20208,out
makaron pszenny,-20654,out
soczewica,-21304,out
ser mozzarella,-22843,out
makaron sojowy,-23719,out
mąka orkiszowa,-23854,out
jogurt naturalny,-25147,out
zielona herbata,-27100,out
ser feta,-27735,out
sałata,-27998,out
fasola czerwona,-28001,out
pasta curry,-32667,out
olej,-34253,out
fasolka szparagowa,-34415,out
kiełbaska chorizo,-36490,out
makaron ryżowy,-38879,out
wieprzowina,-39129,out
pomidorek koktajlowy,-41071,out
polędwica wołowa,-47262,out
mus jabłkowy,-50562,out
żeberko,-50970,out
cebula,-53527.5,out
napój z mango,-56895,out
pasata pomidorowa,-62230,out
sos stir-fry,-63837,out
marynowana ostra papryczka,-65760,out
dorsz,-65908,out
cukier,-66650,out
mięso drobiowe,-70654,out
czekolada,-70979,out
pomidor,-76503,out
fasolka biała,-76529.5,out
makaron udong,-87958,out
pieczarka,-88451,out
mąka z orzechów,-96920,out
gorzka czekolada,-105609,out
krewetka,-106045,out
pęd bambusa,-114954,out
bita śmietana,-116588,out
cukinia,-119722,out
fasola,-123275,out
boczek,-132577,out
łosoś,-133555,out
truskawka,-137098,out
masło,-146711,out
bakłażan,-148591.5,out
kukurydza,-157625,out
ryż,-181419,out
wołowina,-183293,out
makaron,-190329,out
mozzarella,-192646,out
ciecierzyca,-213213,out
żeberko wieprzowe,-242851,out
mleko,-252865,out
ziemniak,-271827,out
tofu,-278276,out
bulion,-294266.1666666667,out
woda,-331689,out
mleczko kokosowe,-394103,out
kurczak,-443707,out
