region,state_abbr,state_name,employee_type,percentage
USA West Region,MT,Montana,Officer,0.17291097475066816
USA Midwest Region,NB,Nebraska,Civilian,0.07580585853027179
USA Midwest Region,NB,Nebraska,Officer,0.16826184259041746
USA South Region,NC,North Carolina,Civilian,0.10617682532211567
USA South Region,NC,North Carolina,Officer,0.23454172394058842
USA Midwest Region,ND,North Dakota,Civilian,0.08563989257249947
USA Midwest Region,ND,North Dakota,Officer,0.2237646221475771
USA Northeast Region,NH,New Hampshire,Civilian,0.06255721363324869
USA Northeast Region,NH,New Hampshire,Officer,0.201290033157508
USA Northeast Region,NJ,New Jersey,Civilian,0.10068227462524311
USA Northeast Region,NJ,New Jersey,Officer,0.34569272228634357
USA West Region,NM,New Mexico,Civilian,0.06090064167781985
USA West Region,NM,New Mexico,Officer,0.14009535846356516
USA West Region,NV,Nevada,Civilian,0.10158562783046782
USA West Region,NV,Nevada,Officer,0.22693670070384328
USA Northeast Region,NY,New York,Civilian,0.09731793424996642
USA Northeast Region,NY,New York,Officer,0.2864616025001486
USA Midwest Region,OH,Ohio,Civilian,0.03816026546419468
USA Midwest Region,OH,Ohio,Officer,0.11431928045499891
USA South Region,OK,Oklahoma,Civilian,0.10416195262198641
USA South Region,OK,Oklahoma,Officer,0.22331614745388495
USA West Region,OR,Oregon,Civilian,0.0932672923396558
USA West Region,OR,Oregon,Officer,0.15925807904679556
USA Northeast Region,PA,Pennsylvania,Civilian,0.03616545570974449
USA Northeast Region,PA,Pennsylvania,Officer,0.19003410053908443
USA Northeast Region,RI,Rhode Island,Civilian,0.06058849625167299
USA Northeast Region,RI,Rhode Island,Officer,0.23550729734976913
USA South Region,SC,South Carolina,Civilian,0.07055086510161496
USA South Region,SC,South Carolina,Officer,0.1801365864748367
USA Midwest Region,SD,South Dakota,Civilian,0.13096115149049406
USA Midwest Region,SD,South Dakota,Officer,0.19550707586070398
USA South Region,TN,Tennessee,Civilian,0.1489508549787985
USA South Region,TN,Tennessee,Officer,0.24851375824196711
USA South Region,TX,Texas,Civilian,0.09618151651202683
USA South Region,TX,Texas,Officer,0.15379206694289754
USA West Region,UT,Utah,Civilian,0.0666122315127698
USA West Region,UT,Utah,Officer,0.1503447107627583
USA South Region,VA,Virginia,Civilian,0.05884418416236324
USA South Region,VA,Virginia,Officer,0.22452553411800896
USA Northeast Region,VT,Vermont,Civilian,0.046974393456891174
USA Northeast Region,VT,Vermont,Officer,0.18664073386885188
USA West Region,WA,Washington,Civilian,0.06262296986918683
USA West Region,WA,Washington,Officer,0.14383021513345054
USA Midwest Region,WI,Wisconsin,Civilian,0.09377302122594051
USA Midwest Region,WI,Wisconsin,Officer,0.2180590829265915
USA South Region,WV,West Virginia,Civilian,0.05632046893625398
USA South Region,WV,West Virginia,Officer,0.20062116556030665
USA West Region,WY,Wyoming,Civilian,0.039734761973493175
USA West Region,WY,Wyoming,Officer,0.06469634321325171
