action,name,quantity
in,syrop cytrynowy,9475.0
in,szarlotka,3425.0
in,szczypiorek,8286.0
in,szparag,13488.5
in,szpinak,3505.0
in,sól,5686.5
in,tapioka,10328.0
in,tofu,282726.0
in,tortilla pszenna,4853.0
in,tortilla taco,4441.0
in,truskawka,137647.0
in,tuńczyk w oliwie,4780.0
in,wasabi,3215.0
in,wieprzowina,39204.0
in,wino ryżowe,4025.0
in,wiórki kokosowe,4694.0
in,woda,382574.0
in,wołowina,187693.0
in,wódka,4589.0
in,ziele angielskie,5381.0
in,zielona herbata,33739.0
in,zielona papryka,4517.0
in,ziemniak,273241.0
in,zupa krewetkowa,3611.0
in,zupka Neoguri,4343.0
in,zupka Shin Ramyun,4496.0
in,łosoś,134444.0
in,śledź,4919.0
in,śmietanka kremowa,13289.333333333334
in,śmietanka kremówki,10413.0
in,żeberko,52471.0
in,żeberko wieprzowe,246351.0
in,żelatyna,3495.0
out,alga,-3283.0
out,awokado,-4518.0
out,bakłażan,-148591.5
out,bazylia,-8880.0
out,białe wino,-14351.0
out,biały sezam,-873.0
out,bita śmietana,-116588.0
out,boczek,-132577.0
out,brokuł,-3730.0
out,bulion,-294266.1666666667
out,bulion mięsny,-6361.0
out,bułka do burgerów,-4132.0
out,cebula,-53527.5
out,cebulka,-20208.0
out,chińska kapusta,-3641.0
out,chleb,-2840.0
out,ciabatta,-3209.0
out,ciecierzyca,-213213.0
out,cukier,-66650.0
out,cukier waniliowy,-277.0
out,cukinia,-119722.0
out,cynamon,-992.0
out,cytryna,-4056.75
out,czekolada,-70979.0
out,czerwona papryka,-3660.0
out,czosnek,-10146.0
out,dorsz,-65908.0
out,drożdże,-3631.0
out,fasola,-123275.0
out,fasola czerwona,-28001.0
out,fasolka biała,-76529.5
out,fasolka szparagowa,-34415.0
out,gorzka czekolada,-105609.0
out,groszek cukrowy,-13498.0
out,grzyb shiitake,-3828.0
out,herbata malinowa,-6348.0
out,imbir,-5038.0
out,jagoda goji,-3957.0
out,jajko,-6289.0
out,jogurt naturalny,-25147.0
out,kacze udko,-4456.0
out,kakao,-3749.0
out,kalmar,-3421.0
out,kasztan jadalny,-8908.0
out,kiełbaska chorizo,-36490.0
out,kiełki,-13460.0
out,kmin rzymski,-4096.0
out,kolendra,-397.0
out,konfitura malinowa,-3331.0
out,krem balsamiczny,-3235.0
out,krewetka,-106045.0
out,kukurydza,-157625.0
out,kurczak,-443707.0
out,kurka,-12092.0
out,kuskus,-17133.166666666668
out,laska wanilii,-573.0
out,leszcz morski,-5944.0
out,limonka,-3883.0
out,liść bazylii,-5680.0
out,liść laurowy,-477.0
out,lód,-4173.0
out,majeranek,-5415.0
out,majonez,-3820.0
out,makaron,-190329.0
out,makaron chili,-18204.0
out,makaron jajeczny,-19882.0
out,makaron pszenny,-20654.0
out,makaron ryżowy,-38879.0
out,makaron sojowy,-23719.0
out,makaron udong,-87958.0
out,maliny,-4049.0
out,mango,-5228.0
out,marchew,-5328.0
out,marchewka,-4149.0
out,marynata,-4062.0
out,marynowana cebula,-3369.0
out,marynowana ostra papryczka,-65760.0
out,marynowana papryka jalapeño,-13175.0
out,marynowany podgrzybek,-4581.0
out,masło,-146711.0
out,migdał,-3460.0
out,mirin,-4987.0
out,miód,-6278.0
out,mięso drobiowe,-70654.0
out,mięta,-7061.333333333333
out,mleczko kokosowe,-394103.0
out,mleko,-252865.0
out,mozzarella,-192646.0
out,mus jabłkowy,-50562.0
out,musztarda,-5704.0
out,mąka,-3703.0
out,mąka orkiszowa,-23854.0
out,mąka pszenna,-3771.0
out,mąka ryżowa,-3609.0
out,mąka z orzechów,-96920.0
out,mąka ziemniaczana,-4100.0
out,napój z mango,-56895.0
out,nasiono granatu,-3501.5
out,natka pietruszki,-4539.0
out,ocet,-548.0
out,ocet ryżowy,0.0
out,ocet winny,-4376.0
out,ogórek,-3330.0
out,olej,-34253.0
out,olej sezamowy,-4308.0
out,olej słonecznikowy,-5228.0
out,oliwa,-9727.0
out,oregano,-3208.0
out,orzech nerkowca,-14511.0
out,orzeszek pinii,-4677.0
out,papryczka chili,-8359.5
out,papryka,-4795.25
out,papryka czerwona,-4472.5
out,parmezan,-5085.0
out,pasata pomidorowa,-62230.0
out,pasta curry,-32667.0
out,pasta harissa,-10696.0
out,pasta miso,-4449.0
out,pasta sojowa,-3835.0
out,pasta z wanilii,-3792.0
out,perełka tapioki,-6103.0
out,pieczarka,-88451.0
out,pieprz,0.0
out,pietruszka,-562.0
out,polędwica wołowa,-47262.0
out,pomidor,-76503.0
out,pomidor malinowy,-4026.0
out,pomidorek koktajlowy,-41071.0
out,por,-4241.0
out,przyprawa do drobiu,0.0
out,puree z mango,-3481.0
out,pęd bambusa,-114954.0
out,płatki owsiane,-4270.0
out,rozmaryn,-3254.0
out,rukola,-4877.0
out,rum,-4220.0
out,ryż,-181419.0
out,sałata,-27998.0
out,sałata lodowa,-4167.0
out,seler,-3832.5
out,ser feta,-27735.0
out,ser kozi,-13972.0
out,ser mozzarella,-22843.0
out,sezam,-6702.0
out,soczewica,-21304.0
out,soda oczyszczona,-753.0
out,sok z limonki,-6942.0
out,solona pistacja,-5643.0
out,sos Hoisin,-7702.0
out,sos Worcester,-3540.0
out,sos chili,-5566.0
out,sos do salsy,-3485.0
out,sos ostrygowy,-3714.0
out,sos serowy,-4319.0
out,sos sojowy,-11144.0
out,sos stir-fry,-63837.0
out,sos teriyaki,-6955.0
out,syrop cytrynowy,-9391.0
out,szarlotka,-3411.0
out,szczypiorek,-8274.0
out,szparag,-13260.5
out,szpinak,-3315.0
out,sól,-1010.0
out,tapioka,-9950.0
out,tofu,-278276.0
out,tortilla pszenna,-4850.0
out,tortilla taco,-4394.0
out,truskawka,-137098.0
out,tuńczyk w oliwie,-4779.0
out,wasabi,-3067.0
out,wieprzowina,-39129.0
out,wino ryżowe,-3910.0
out,wiórki kokosowe,-404.0
out,woda,-331689.0
out,wołowina,-183293.0
out,wódka,-200.0
out,ziele angielskie,-1431.0
out,zielona herbata,-27100.0
out,zielona papryka,-4502.0
out,ziemniak,-271827.0
out,zupa krewetkowa,-3506.0
out,zupka Neoguri,-4148.0
out,zupka Shin Ramyun,-4415.0
out,łosoś,-133555.0
out,śledź,-4907.0
out,śmietanka kremowa,-12960.666666666666
out,śmietanka kremówki,-10314.0
out,żeberko,-50970.0
out,żeberko wieprzowe,-242851.0
out,żelatyna,-3448.0
