Month & Year,Is Weekday?,Date,Year,Half Year,Quarter,Month,Week,Day of Week,Is Workday?,Europe Season,North America Season,Asia Season,Month Number,Week Number,Month & Year Short
2008-07-01 00:00:00.000,True,2008-07-15 00:00:00.000,2008,"H2","Q3","July","Week 29","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-16 00:00:00.000,2008,"H2","Q3","July","Week 29","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-17 00:00:00.000,2008,"H2","Q3","July","Week 29","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-18 00:00:00.000,2008,"H2","Q3","July","Week 29","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-21 00:00:00.000,2008,"H2","Q3","July","Week 30","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-22 00:00:00.000,2008,"H2","Q3","July","Week 30","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-23 00:00:00.000,2008,"H2","Q3","July","Week 30","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-24 00:00:00.000,2008,"H2","Q3","July","Week 30","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-25 00:00:00.000,2008,"H2","Q3","July","Week 30","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-28 00:00:00.000,2008,"H2","Q3","July","Week 31","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-29 00:00:00.000,2008,"H2","Q3","July","Week 31","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-30 00:00:00.000,2008,"H2","Q3","July","Week 31","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-31 00:00:00.000,2008,"H2","Q3","July","Week 31","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2008"
2009-07-01 00:00:00.000,True,2009-07-01 00:00:00.000,2009,"H2","Q3","July","Week 27","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-02 00:00:00.000,2009,"H2","Q3","July","Week 27","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-03 00:00:00.000,2009,"H2","Q3","July","Week 27","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-06 00:00:00.000,2009,"H2","Q3","July","Week 28","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-07 00:00:00.000,2009,"H2","Q3","July","Week 28","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-08 00:00:00.000,2009,"H2","Q3","July","Week 28","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-09 00:00:00.000,2009,"H2","Q3","July","Week 28","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-10 00:00:00.000,2009,"H2","Q3","July","Week 28","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-13 00:00:00.000,2009,"H2","Q3","July","Week 29","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-14 00:00:00.000,2009,"H2","Q3","July","Week 29","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-15 00:00:00.000,2009,"H2","Q3","July","Week 29","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-16 00:00:00.000,2009,"H2","Q3","July","Week 29","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-17 00:00:00.000,2009,"H2","Q3","July","Week 29","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-20 00:00:00.000,2009,"H2","Q3","July","Week 30","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-21 00:00:00.000,2009,"H2","Q3","July","Week 30","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-22 00:00:00.000,2009,"H2","Q3","July","Week 30","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-23 00:00:00.000,2009,"H2","Q3","July","Week 30","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-24 00:00:00.000,2009,"H2","Q3","July","Week 30","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-27 00:00:00.000,2009,"H2","Q3","July","Week 31","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-28 00:00:00.000,2009,"H2","Q3","July","Week 31","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-29 00:00:00.000,2009,"H2","Q3","July","Week 31","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-30 00:00:00.000,2009,"H2","Q3","July","Week 31","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2009"
2009-07-01 00:00:00.000,True,2009-07-31 00:00:00.000,2009,"H2","Q3","July","Week 31","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2009"
2007-07-01 00:00:00.000,False,2007-07-01 00:00:00.000,2007,"H2","Q3","July","Week 27","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-07 00:00:00.000,2007,"H2","Q3","July","Week 27","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-08 00:00:00.000,2007,"H2","Q3","July","Week 28","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-14 00:00:00.000,2007,"H2","Q3","July","Week 28","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-15 00:00:00.000,2007,"H2","Q3","July","Week 29","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-21 00:00:00.000,2007,"H2","Q3","July","Week 29","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-22 00:00:00.000,2007,"H2","Q3","July","Week 30","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-28 00:00:00.000,2007,"H2","Q3","July","Week 30","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2007"
2007-07-01 00:00:00.000,False,2007-07-29 00:00:00.000,2007,"H2","Q3","July","Week 31","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2007"
2008-07-01 00:00:00.000,False,2008-07-05 00:00:00.000,2008,"H2","Q3","July","Week 27","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-06 00:00:00.000,2008,"H2","Q3","July","Week 28","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-12 00:00:00.000,2008,"H2","Q3","July","Week 28","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-13 00:00:00.000,2008,"H2","Q3","July","Week 29","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-19 00:00:00.000,2008,"H2","Q3","July","Week 29","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-20 00:00:00.000,2008,"H2","Q3","July","Week 30","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-26 00:00:00.000,2008,"H2","Q3","July","Week 30","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2008"
2008-07-01 00:00:00.000,False,2008-07-27 00:00:00.000,2008,"H2","Q3","July","Week 31","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2008"
2009-07-01 00:00:00.000,False,2009-07-04 00:00:00.000,2009,"H2","Q3","July","Week 27","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-05 00:00:00.000,2009,"H2","Q3","July","Week 28","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-11 00:00:00.000,2009,"H2","Q3","July","Week 28","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-12 00:00:00.000,2009,"H2","Q3","July","Week 29","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-18 00:00:00.000,2009,"H2","Q3","July","Week 29","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-19 00:00:00.000,2009,"H2","Q3","July","Week 30","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-25 00:00:00.000,2009,"H2","Q3","July","Week 30","Saturday","WeekEnd","Back to School","Back to School","None","7","6","Jul 2009"
2009-07-01 00:00:00.000,False,2009-07-26 00:00:00.000,2009,"H2","Q3","July","Week 31","Sunday","WeekEnd","Back to School","Back to School","None","7","7","Jul 2009"
2007-08-01 00:00:00.000,True,2007-08-01 00:00:00.000,2007,"H2","Q3","August","Week 31","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-02 00:00:00.000,2007,"H2","Q3","August","Week 31","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-03 00:00:00.000,2007,"H2","Q3","August","Week 31","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-04 00:00:00.000,2007,"H2","Q3","August","Week 31","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-05 00:00:00.000,2007,"H2","Q3","August","Week 32","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-06 00:00:00.000,2007,"H2","Q3","August","Week 32","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-07 00:00:00.000,2007,"H2","Q3","August","Week 32","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-08 00:00:00.000,2007,"H2","Q3","August","Week 32","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-09 00:00:00.000,2007,"H2","Q3","August","Week 32","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-10 00:00:00.000,2007,"H2","Q3","August","Week 32","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-11 00:00:00.000,2007,"H2","Q3","August","Week 32","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-12 00:00:00.000,2007,"H2","Q3","August","Week 33","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-13 00:00:00.000,2007,"H2","Q3","August","Week 33","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-14 00:00:00.000,2007,"H2","Q3","August","Week 33","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-15 00:00:00.000,2007,"H2","Q3","August","Week 33","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-16 00:00:00.000,2007,"H2","Q3","August","Week 33","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-17 00:00:00.000,2007,"H2","Q3","August","Week 33","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-18 00:00:00.000,2007,"H2","Q3","August","Week 33","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-19 00:00:00.000,2007,"H2","Q3","August","Week 34","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-20 00:00:00.000,2007,"H2","Q3","August","Week 34","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-21 00:00:00.000,2007,"H2","Q3","August","Week 34","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-22 00:00:00.000,2007,"H2","Q3","August","Week 34","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-23 00:00:00.000,2007,"H2","Q3","August","Week 34","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-24 00:00:00.000,2007,"H2","Q3","August","Week 34","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-25 00:00:00.000,2007,"H2","Q3","August","Week 34","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2007"
2007-08-01 00:00:00.000,False,2007-08-26 00:00:00.000,2007,"H2","Q3","August","Week 35","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-27 00:00:00.000,2007,"H2","Q3","August","Week 35","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-28 00:00:00.000,2007,"H2","Q3","August","Week 35","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-29 00:00:00.000,2007,"H2","Q3","August","Week 35","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-30 00:00:00.000,2007,"H2","Q3","August","Week 35","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2007"
2007-08-01 00:00:00.000,True,2007-08-31 00:00:00.000,2007,"H2","Q3","August","Week 35","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2007"
2008-08-01 00:00:00.000,True,2008-08-01 00:00:00.000,2008,"H2","Q3","August","Week 31","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-02 00:00:00.000,2008,"H2","Q3","August","Week 31","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-03 00:00:00.000,2008,"H2","Q3","August","Week 32","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-04 00:00:00.000,2008,"H2","Q3","August","Week 32","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-05 00:00:00.000,2008,"H2","Q3","August","Week 32","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-06 00:00:00.000,2008,"H2","Q3","August","Week 32","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-07 00:00:00.000,2008,"H2","Q3","August","Week 32","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-08 00:00:00.000,2008,"H2","Q3","August","Week 32","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-09 00:00:00.000,2008,"H2","Q3","August","Week 32","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-10 00:00:00.000,2008,"H2","Q3","August","Week 33","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-11 00:00:00.000,2008,"H2","Q3","August","Week 33","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-12 00:00:00.000,2008,"H2","Q3","August","Week 33","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-13 00:00:00.000,2008,"H2","Q3","August","Week 33","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-14 00:00:00.000,2008,"H2","Q3","August","Week 33","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-15 00:00:00.000,2008,"H2","Q3","August","Week 33","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-16 00:00:00.000,2008,"H2","Q3","August","Week 33","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-17 00:00:00.000,2008,"H2","Q3","August","Week 34","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-18 00:00:00.000,2008,"H2","Q3","August","Week 34","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-19 00:00:00.000,2008,"H2","Q3","August","Week 34","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-20 00:00:00.000,2008,"H2","Q3","August","Week 34","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-21 00:00:00.000,2008,"H2","Q3","August","Week 34","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-22 00:00:00.000,2008,"H2","Q3","August","Week 34","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-23 00:00:00.000,2008,"H2","Q3","August","Week 34","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-24 00:00:00.000,2008,"H2","Q3","August","Week 35","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-25 00:00:00.000,2008,"H2","Q3","August","Week 35","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-26 00:00:00.000,2008,"H2","Q3","August","Week 35","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-27 00:00:00.000,2008,"H2","Q3","August","Week 35","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-28 00:00:00.000,2008,"H2","Q3","August","Week 35","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2008"
2008-08-01 00:00:00.000,True,2008-08-29 00:00:00.000,2008,"H2","Q3","August","Week 35","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-30 00:00:00.000,2008,"H2","Q3","August","Week 35","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2008"
2008-08-01 00:00:00.000,False,2008-08-31 00:00:00.000,2008,"H2","Q3","August","Week 36","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2008"
2009-08-01 00:00:00.000,False,2009-08-01 00:00:00.000,2009,"H2","Q3","August","Week 31","Saturday","WeekEnd","Back to School","Back to School","None","8","6","Aug 2009"
2009-08-01 00:00:00.000,False,2009-08-02 00:00:00.000,2009,"H2","Q3","August","Week 32","Sunday","WeekEnd","Back to School","Back to School","None","8","7","Aug 2009"
2009-08-01 00:00:00.000,True,2009-08-03 00:00:00.000,2009,"H2","Q3","August","Week 32","Monday","WorkDay","Back to School","Back to School","None","8","1","Aug 2009"
2009-08-01 00:00:00.000,True,2009-08-04 00:00:00.000,2009,"H2","Q3","August","Week 32","Tuesday","WorkDay","Back to School","Back to School","None","8","2","Aug 2009"
2009-08-01 00:00:00.000,True,2009-08-05 00:00:00.000,2009,"H2","Q3","August","Week 32","Wednesday","WorkDay","Back to School","Back to School","None","8","3","Aug 2009"
2009-08-01 00:00:00.000,True,2009-08-06 00:00:00.000,2009,"H2","Q3","August","Week 32","Thursday","WorkDay","Back to School","Back to School","None","8","4","Aug 2009"
2009-08-01 00:00:00.000,True,2009-08-07 00:00:00.000,2009,"H2","Q3","August","Week 32","Friday","WorkDay","Back to School","Back to School","None","8","5","Aug 2009"
