id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,elemento_transito,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,tipo_veiculo,tipo_envolvido,estado_fisico,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude
43258,94398,2017-06-04 00:00:00.000,"domingo",1899-12-30 18:10:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7779,-44.1207
43258,94393,2017-06-04 00:00:00.000,"domingo",1899-12-30 18:10:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7779,-44.1207
43258,93928,2017-06-04 00:00:00.000,"domingo",1899-12-30 18:10:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7779,-44.1207
46556,99411,2017-06-16 00:00:00.000,"sexta-feira",1899-12-30 11:20:00.000,"MG","40",502,"ESMERALDAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.72497867,-44.15448189
46556,99410,2017-06-16 00:00:00.000,"sexta-feira",1899-12-30 11:20:00.000,"MG","40",502,"ESMERALDAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.72497867,-44.15448189
50760,110788,2017-07-01 00:00:00.000,"sábado",1899-12-30 17:25:00.000,"MG","40",559,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.1195,-43.9678
53308,116349,2017-07-10 00:00:00.000,"segunda-feira",1899-12-30 15:25:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.9248,-44.0138
53308,116353,2017-07-10 00:00:00.000,"segunda-feira",1899-12-30 15:25:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.9248,-44.0138
55368,121129,2017-07-18 00:00:00.000,"terça-feira",1899-12-30 17:10:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.9248,-44.0138
55368,121127,2017-07-18 00:00:00.000,"terça-feira",1899-12-30 17:10:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.9248,-44.0138
55476,119554,2017-07-19 00:00:00.000,"quarta-feira",1899-12-30 07:05:00.000,"MG","40",449,"CAETANOPOLIS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.3163,-44.3681
60929,131602,2017-08-10 00:00:00.000,"quinta-feira",1899-12-30 12:00:00.000,"MG","40",560,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.14322,-43.96033
60929,131595,2017-08-10 00:00:00.000,"quinta-feira",1899-12-30 12:00:00.000,"MG","40",560,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.14322,-43.96033
66653,144404,2017-09-01 00:00:00.000,"sexta-feira",1899-12-30 07:10:00.000,"MG","40",525,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.8873,-44.05031
66653,144398,2017-09-01 00:00:00.000,"sexta-feira",1899-12-30 07:10:00.000,"MG","40",525,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.8873,-44.05031
66653,144400,2017-09-01 00:00:00.000,"sexta-feira",1899-12-30 07:10:00.000,"MG","40",525,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.8873,-44.05031
67192,149643,2017-09-02 00:00:00.000,"sábado",1899-12-30 23:30:00.000,"MG","40",506,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7503,-44.1454
67192,149626,2017-09-02 00:00:00.000,"sábado",1899-12-30 23:30:00.000,"MG","40",506,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7503,-44.1454
69141,149247,2017-09-10 00:00:00.000,"domingo",1899-12-30 12:00:00.000,"MG","40",693,"ALFREDO VASCONCELOS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.1524,-43.75786
69141,149228,2017-09-10 00:00:00.000,"domingo",1899-12-30 12:00:00.000,"MG","40",693,"ALFREDO VASCONCELOS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.1524,-43.75786
76006,165831,2017-10-06 00:00:00.000,"sexta-feira",1899-12-30 17:00:00.000,"MG","40",513,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7985,-44.1051
77054,166072,2017-10-10 00:00:00.000,"terça-feira",1899-12-30 06:15:00.000,"MG","40",523,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.87305,-44.05553
79426,171361,2017-09-09 00:00:00.000,"sábado",1899-12-30 19:10:00.000,"MG","40",461,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.4126,-44.3376
86511,186648,2017-11-16 00:00:00.000,"quinta-feira",1899-12-30 08:20:00.000,"MG","40",531,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.9207,-44.02432
93306,200935,2017-12-10 00:00:00.000,"domingo",1899-12-30 16:50:00.000,"MG","40",529,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92088,-44.0337
93306,200930,2017-12-10 00:00:00.000,"domingo",1899-12-30 16:50:00.000,"MG","40",529,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92088,-44.0337
93322,202869,2017-12-10 00:00:00.000,"domingo",1899-12-30 17:15:00.000,"MG","40",507,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.75598,-44.14057
95369,209688,2017-12-17 00:00:00.000,"domingo",1899-12-30 17:30:00.000,"MG","40",481,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.5623,-44.2384
96097,209678,2017-12-20 00:00:00.000,"quarta-feira",1899-12-30 05:40:00.000,"MG","40",435,"PARAOPEBA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.2284,-44.4391
103172,224141,2018-01-13 00:00:00.000,"sábado",1899-12-30 13:40:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7844,-44.1152
103172,224140,2018-01-13 00:00:00.000,"sábado",1899-12-30 13:40:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7844,-44.1152
103172,224139,2018-01-13 00:00:00.000,"sábado",1899-12-30 13:40:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7844,-44.1152
121515,265210,2018-03-28 00:00:00.000,"quarta-feira",1899-12-30 07:00:00.000,"MG","40",692,"ALFREDO VASCONCELOS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.1563,-43.7624
121515,265196,2018-03-28 00:00:00.000,"quarta-feira",1899-12-30 07:00:00.000,"MG","40",692,"ALFREDO VASCONCELOS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.1563,-43.7624
122497,267880,2018-04-01 00:00:00.000,"domingo",1899-12-30 13:50:00.000,"MG","40",802,"MATIAS BARBOSA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.8523,-43.3802
122497,267881,2018-04-01 00:00:00.000,"domingo",1899-12-30 13:50:00.000,"MG","40",802,"MATIAS BARBOSA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.8523,-43.3802
124363,274268,2018-04-07 00:00:00.000,"sábado",1899-12-30 17:40:00.000,"MG","40",511,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7926,-44.1112
127999,275912,2018-04-15 00:00:00.000,"domingo",1899-12-30 09:00:00.000,"MG","40",771,"JUIZ DE FORA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.6341,-43.4421
129039,278461,2018-04-20 00:00:00.000,"sexta-feira",1899-12-30 10:45:00.000,"MG","40",517,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.8351,-44.08
131426,285524,2018-05-01 00:00:00.000,"terça-feira",1899-12-30 19:00:00.000,"MG","40",560,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.14258605,-43.9604069
141246,306108,2018-06-19 00:00:00.000,"terça-feira",1899-12-30 18:50:00.000,"MG","40",507,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7628,-44.1322
146173,318761,2018-07-12 00:00:00.000,"quinta-feira",1899-12-30 16:20:00.000,"MG","40",527,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.90684409,-44.04613566
149690,329012,2018-07-29 00:00:00.000,"domingo",1899-12-30 17:25:00.000,"MG","40",469,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.469,-44.295
149732,328177,2018-07-29 00:00:00.000,"domingo",1899-12-30 19:00:00.000,"MG","40",490,"ESMERALDAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.6331,-44.2047
150692,330419,2018-08-03 00:00:00.000,"sexta-feira",1899-12-30 12:30:00.000,"MG","40",467,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.450238,-44.316552
152256,332527,2018-08-11 00:00:00.000,"sábado",1899-12-30 06:30:00.000,"MG","40",508,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7699,-44.1272
152516,333284,2018-08-12 00:00:00.000,"domingo",1899-12-30 10:20:00.000,"MG","40",526,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.89028921,-44.05014396
156440,342231,2018-08-31 00:00:00.000,"sexta-feira",1899-12-30 21:30:00.000,"MG","40",528,"CONTAGEM","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.91219051,-44.04135704
156736,342640,2018-09-02 00:00:00.000,"domingo",1899-12-30 04:00:00.000,"MG","40",470,"SETE LAGOAS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.47201407,-44.29335594
178214,393931,2018-12-15 00:00:00.000,"sábado",1899-12-30 03:25:00.000,"MG","40",509,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7774,-44.1209
180861,400580,2018-12-25 00:00:00.000,"terça-feira",1899-12-30 16:00:00.000,"MG","40",700,"BARBACENA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.2189,-43.739
184351,406595,2019-01-10 00:00:00.000,"quinta-feira",1899-12-30 12:30:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92596933,-44.00929928
184351,406585,2019-01-10 00:00:00.000,"quinta-feira",1899-12-30 12:30:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92596933,-44.00929928
184351,406583,2019-01-10 00:00:00.000,"quinta-feira",1899-12-30 12:30:00.000,"MG","40",532,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92596933,-44.00929928
185519,409368,2019-01-16 00:00:00.000,"quarta-feira",1899-12-30 08:30:00.000,"MG","40",519,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.8511,-44.0724
190276,420608,2019-02-09 00:00:00.000,"sábado",1899-12-30 12:00:00.000,"MG","40",509,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7774,-44.1209
201772,447104,2019-03-30 00:00:00.000,"sábado",1899-12-30 10:50:00.000,"MG","40",803,"MATIAS BARBOSA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.85782703,-43.37661004
202386,448932,2019-04-10 00:00:00.000,"quarta-feira",1899-12-30 07:45:00.000,"MG","40",519,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.83957589,-44.07684485
205964,458370,2019-04-27 00:00:00.000,"sábado",1899-12-30 18:45:00.000,"MG","40",509,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.76728744,-44.12855905
205964,458368,2019-04-27 00:00:00.000,"sábado",1899-12-30 18:45:00.000,"MG","40",509,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.76728744,-44.12855905
211608,469374,2019-05-25 00:00:00.000,"sábado",1899-12-30 06:45:00.000,"MG","40",809,"MATIAS BARBOSA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.87077676,-43.34388381
212261,473306,2019-05-28 00:00:00.000,"terça-feira",1899-12-30 18:20:00.000,"MG","40",506,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.748812,-44.146729
213353,473068,2019-06-03 00:00:00.000,"segunda-feira",1899-12-30 08:11:00.000,"MG","40",519,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.83957589,-44.07684485
215602,478354,2019-05-12 00:00:00.000,"domingo",1899-12-30 19:22:00.000,"MG","40",552,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.06084086,-43.97716423
215602,478353,2019-05-12 00:00:00.000,"domingo",1899-12-30 19:22:00.000,"MG","40",552,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.06084086,-43.97716423
215602,478352,2019-05-12 00:00:00.000,"domingo",1899-12-30 19:22:00.000,"MG","40",552,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.06084086,-43.97716423
215602,478351,2019-05-12 00:00:00.000,"domingo",1899-12-30 19:22:00.000,"MG","40",552,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.06084086,-43.97716423
221429,493606,2019-07-11 00:00:00.000,"quinta-feira",1899-12-30 19:50:00.000,"MG","40",531,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92047758,-44.02430004
226236,503027,2019-08-02 00:00:00.000,"sexta-feira",1899-12-30 19:50:00.000,"MG","40",506,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.74716686,-44.14731173
229655,510730,2019-08-18 00:00:00.000,"domingo",1899-12-30 21:20:00.000,"MG","40",514,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.80151928,-44.10000333
