Country,ВВП,Процент зараженных,Процент смертей,ISO
"Georgia",47.91,0.00017389063405028816,3.0024282138179251E-06,"GEO"
"Germany",4443.569,0.0020876576751488276,9.475909977418382E-05,"DEU"
"Ghana",204.813,0.0001988996945198955,1.005770033317693E-06,"GHA"
"Greece",323.653,0.00026915664410645773,1.5467675184549895E-05,"GRC"
"Grenada",1.816,0.0001964233100899083,0,"GRD"
"Guatemala",152.779,0.00010027601784423966,1.8769759437662557E-06,"GTM"
"Guinea",33.392,0.00020812378056142683,1.2528143299408688E-06,"GIN"
"Guinea-Bissau",3.696,0.00047529259386898582,1.5617500346187923E-06,"GNB"
"Guyana",7.148,0.00014946995653873573,1.2775209960575702E-05,"GUY"
"Haiti",20.842,3.1783319439228606E-05,1.7756044379457323E-06,"HTI"
"Honduras",51.385,0.00026318173689070224,1.4159485259616728E-05,"HND"
"Hong Kong SAR",482.226,,,"HKG"
"Hungary",335.752,0.00036232486383905961,4.6568399427590733E-05,"HUN"
"Iceland",20.046,0.0053151481722910291,2.9495827815155547E-05,"ISL"
"India",11043.18,6.6544070972309686E-05,2.1018462264505971E-06,"IND"
"Indonesia",3735.644,6.2909798678002223E-05,4.0240100299761773E-06,"IDN"
"Islamic Republic of Iran",1491.445,,,"IRN"
"Iraq",708.265,8.2931009820125435E-05,3.0781141681703E-06,"IRQ"
"Ireland",417.875,0.0049253506660017063,0.00031397881615854187,"IRL"
"Israel",354.878,0.0019494383216049718,3.1457699312989671E-05,"ISR"
"Italy",2454.809,0.003711968977742802,0.00052457408186529914,"ITA"
"Jamaica",27.913,0.00017535653850941517,3.0526283299511341E-06,"JAM"
"Japan",5711.929,0.0001283695519530574,5.8647188611037586E-06,"JPN"
"Jordan",96.263,6.0088931618795818E-05,8.9093967803815879E-07,"JOR"
"Kazakhstan",540.984,0.00033188821539173241,1.8327431091958586E-06,"KAZ"
"Kenya",191.243,1.5787279382518798E-05,9.51040926657759E-07,"KEN"
"Kiribati",0.251,,,"KIR"
"Korea",2320.498,,,"KOR"
"Kosovo",22.128,0.00052144152066488218,1.6018860274662692E-05,"UVK"
"Kuwait",308.672,0.003280657881006864,2.5433299034033794E-05,"KWT"
"Kyrgyz Republic",26.082,,,"KGZ"
"Lao P.D.R.",57.133,,,"LAO"
"Latvia",59.475,0.00052288116437296478,9.96463603117987E-06,"LVA"
"Lebanon",84.288,0.000131569101565366,3.7924574730593303E-06,"LBN"
"Lesotho",6.911,4.7052889329722182E-07,0,"LSO"
"Liberia",6.278,4.5165709545195486E-05,4.0507362820803124E-06,"LBR"
"Libya",83.54,9.5906249133155064E-06,4.4264422676840794E-07,"LBY"
"Lithuania",103.014,0.00055587222476081,1.9930229701332825E-05,"LTU"
"Luxembourg",68.824,0.0063826780937717726,0.00016890547627284081,"LUX"
"Macao SAR",75.76,,,"MAC"
"Madagascar",52.865,1.0493410156961022E-05,0,"MDG"
"Malawi",25.157,3.4892309182147357E-06,1.6104142699452627E-07,"MWI"
"Malaysia",1076.373,0.00021508757322468949,3.5368008984851443E-06,"MYS"
"Maldives",8.474,0.0020303115341659241,7.5336235033986056E-06,"MDV"
"Mali",47.411,4.2476278524537884E-05,2.4417501427279264E-06,"MLI"
"Malta",23.001,0.0012398608449220206,1.3624844449692533E-05,"MLT"
"Marshall Islands",0.21,,,"MHL"
"Mauritania",25.456,6.4078541731481746E-06,6.6288146618774214E-07,"MRT"
"Mauritius",31.592,0.00027699559894040838,8.3432409319400121E-06,"MUS"
"Mexico",2616.289,0.0003695379542576696,3.9545201493932272E-05,"MEX"
"Micronesia",0.362,,,"FSM"
"Moldova",27.292,0.0014676265184827206,5.1196273900560018E-05,"MDA"
"Mongolia",46.723,4.2168359033811274E-05,0,"MNG"
"Montenegro",12.608,0.00051593424704651531,1.4331506862403203E-05,"MNE"
"Morocco",327.251,0.00018482788701584506,5.2643456915950529E-06,"MAR"
"Mozambique",44.716,4.2481672616076724E-06,0,"MOZ"
"Myanmar",357.339,3.3675378968282603E-06,1.1101773286247013E-07,"MMR"
"Namibia",26.76,,,"NAM"
"Nauru",0.125,,,"NRU"
"Nepal",94.383,1.0171727421474089E-05,3.495438976451577E-08,"NPL"
"Netherlands",1005.337,0.0025659277317304132,0.00033163460767976846,"NLD"
"New Zealand",208.744,0.00024022263557891668,4.3904920340794172E-06,"NZL"
"Nicaragua",34.875,3.8194167536729807E-06,1.2222133611753536E-06,"NIC"
"Niger",34.659,3.8136968342669886E-05,2.1878350792757752E-06,"NER"
"Nigeria",1215.389,2.7970239525815816E-05,8.75780493959008E-07,"NGA"
"Macedonia",34.694,0.0008457089868339142,4.7037162718344831E-05,"MKD"
"Norway",407.412,0.0015239297122046562,4.3131840091677468E-05,"NOR"
"Oman",204.762,0.0010108571159798238,4.2211174061595352E-06,"OMN"
"Pakistan",1201.629,0.00018539903051327915,4.0311163766305368E-06,"PAK"
"Palau",0.289,,,"PLW"
"Panama",111.998,0.0022251585387191479,6.334719514397829E-05,"PAN"
"Papua New Guinea",34.617,9.115657063967642E-07,0,"PNG"
"Paraguay",96.306,0.00011043863728374326,1.561471735374262E-06,"PRY"
"Peru",476.014,0.0027234625121956928,7.760580881478335E-05,"PER"
"Philippines",1027.186,0.00011381229425283061,7.556655376234263E-06,"PHL"
"Poland",1287.275,0.00048187056044050945,2.4150274568826541E-05,"POL"
"Portugal",346.926,0.0028172768598892237,0.00011763915523938689,"PRT"
"Puerto Rico",130.925,0.00088259117040657151,4.1589850440170615E-05,"PRI"
"Qatar",358.869,0.010936181947672848,5.2964848642352034E-06,"QAT"
"Romania",549.195,0.00086260687502430337,5.5823636967269637E-05,"ROU"
"Russia",4389.96,0.0018649399650060941,1.7391929552388631E-05,"RUS"
"Rwanda",30.971,2.2887554001560155E-05,0,"RWA"
"Samoa",1.168,,,"WSM"
"San Marino",2.084,0.01928529238038984,0.0012108682811577082,"SMR"
"Sгo Tomй and Prнncipe",0.745,,,"STP"
"Saudi Arabia",1900.894,0.0015178942031008743,8.8127508715868972E-06,"SAU"
"Senegal",64.101,0.00014905165348540325,1.5340845356669745E-06,"SEN"
"Serbia",130.222,0.0011965023736824195,2.5991095769778168E-05,"SRB"
"Seychelles",3.06,0.00011254463417878227,0,"SYC"
"Sierra Leone",13.089,5.9130588368552512E-05,3.7116603088485343E-06,"SLE"
"Singapore",593.802,0.0047130275171824105,3.7902692417755896E-06,"SGP"
"Slovak Republic",198.382,,,"SVK"
"Slovenia",79.179,0.00070478299899839035,4.9551296175313448E-05,"SVN"
"Solomon Islands",1.455,,,"SLB"
"Somalia",12.655,8.78720681115373E-05,3.5615060767388E-06,"SOM"
"South Africa",804.688,0.00024514043874588508,4.45709888628882E-06,"ZAF"
"South Sudan",22.092,2.1117162311520379E-05,3.5791800528000642E-07,"SSD"
"Spain",1923.646,0.0059421942155359628,0.00059161119714376531,"ESP"
"Sri Lanka",304.166,4.5020259820360721E-05,4.2206493581588179E-07,"LKA"
"St. Kitts and Nevis",1.656,,,"KNA"
"St. Lucia",2.934,,,"LCA"
"St. Vincent and the Grenadines",1.381,,,"VCT"
"Sudan",175.228,4.5873661786571716E-05,2.1255108057932925E-06,"SDN"
"Suriname",9.358,1.7200690779741715E-05,1.7200690779741715E-06,"SUR"
"Sweden",564.771,0.0029569429372884384,0.00036606828020344789,"SWE"
"Switzerland",566.231,0.0035487957967098361,0.00018634989899742358,"CHE"
"Syria",,2.9876740869360434E-06,1.7574553452564961E-07,"SYR"
"Taiwan Province of China",1339.812,,,"TWN"
"Tajikistan",34.131,0.0001418300018302722,3.8622390816110426E-06,"TJK"
"Tanzania",193.504,8.7750355513928062E-06,3.6203486557809219E-07,"TZA"
"Thailand",1377.535,4.386021263541171E-05,8.11153205938922E-07,"THA"
"Timor-Leste",2.017,,,"TLS"
"Togo",14.972,3.6870391665014926E-05,1.3609876117958529E-06,"TGO"
"Tonga",0.624,,,"TON"
"Trinidad and Tobago",44.946,8.3155731329566946E-05,5.734878022728755E-06,"TTO"
"Tunisia",148.688,8.8501485157531362E-05,3.847890659023103E-06,"TUN"
"Turkey",2361.778,0.0017747534853181331,4.9095276299668891E-05,"TUR"
"Turkmenistan",121.848,,,"TKM"
"Tuvalu",0.049,,,"TUV"
"Uganda",118.694,5.127672957651249E-06,0,"UGA"
"Ukraine",409.825,0.00040592232904221288,1.1297088001678788E-05,"UKR"
"United Arab Emirates",744.092,0.002315841854622201,2.1902601179526718E-05,"ARE"
"United Kingdom",3162.408,0.0035563510781521481,0.00051037927165356546,"GBR"
"United States of America",21427.675,0.0044607733130055914,0.00026971577769258217,"USA"
"Uruguay",82.791,0.00021174359439517882,5.4885788451683466E-06,"URY"
"Uzbekistan",303.317,8.3106652182682059E-05,3.3351812258646576E-07,"UZB"
"Vanuatu",0.851,,,"VUT"
"Venezuela",202.009,1.7674394105814004E-05,3.5068242273440479E-07,"VEN"
"Vietnam",1001.478,3.2966313217337388E-06,0,"VNM"
"Yemen",72.133,4.2521202820582267E-06,6.5153455934763146E-07,"YEM"
"Zambia",75.857,3.8015724737039243E-05,3.9191468801071383E-07,"ZMB"
"Zimbabwe",39.739,3.0043423672087502E-06,2.7312203338261364E-07,"ZWE"
