Country,Product,Unit Sold,Revenue Per Cookie,Cost Per Cookie,Revenue,Cost,Profit,Date,Month Number,Month Name,Year,Country Population.Population
United States,White Chocolate Macadamia Nut,1596,6,3,9576,4389,5187,2019-09-01 00:00:00.000,9,September,2019,333061898
United States,Oatmeal Raisin,2844,5,2,14220,6257,7963,2019-05-01 00:00:00.000,5,May,2019,333061898
Canada,Oatmeal Raisin,2734,5,2,13670,6015,7655,2019-10-01 00:00:00.000,10,October,2019,38547901
Canada,Snickerdoodle,1884,4,2,7536,2826,4710,2019-08-01 00:00:00.000,8,August,2019,38547901
Canada,Fortune Cookie,388,1,0,388,78,310,2019-09-01 00:00:00.000,9,September,2019,38547901
Mexico,Chocolate Chip,2031,5,2,10155,4062,6093,2019-10-01 00:00:00.000,10,October,2019,126014024
Mexico,Oatmeal Raisin,1679,5,2,8395,3694,4701,2019-09-01 00:00:00.000,9,September,2019,126014024
Mexico,Oatmeal Raisin,1727,5,2,8635,3799,4836,2018-10-01 00:00:00.000,10,October,2018,126014024
Germany,Chocolate Chip,360,5,2,1800,720,1080,2019-10-01 00:00:00.000,10,October,2019,83222442
France,White Chocolate Macadamia Nut,1659,6,3,9954,4562,5392,2019-07-01 00:00:00.000,7,July,2019,68035000
Mexico,Chocolate Chip,591,5,2,2955,1182,1773,2019-05-01 00:00:00.000,5,May,2019,126014024
Mexico,Chocolate Chip,1114,5,2,5570,2228,3342,2019-03-01 00:00:00.000,3,March,2019,126014024
Canada,Chocolate Chip,2470,5,2,12350,4940,7410,2018-09-01 00:00:00.000,9,September,2018,38547901
Germany,Fortune Cookie,1706,1,0,1706,341,1365,2019-12-01 00:00:00.000,12,December,2019,83222442
Germany,White Chocolate Macadamia Nut,241,6,3,1446,663,783,2019-10-01 00:00:00.000,10,October,2019,83222442
France,White Chocolate Macadamia Nut,1804,6,3,10824,4961,5863,2019-02-01 00:00:00.000,2,February,2019,68035000
France,White Chocolate Macadamia Nut,704,6,3,4224,1936,2288,2018-10-01 00:00:00.000,10,October,2018,68035000
Mexico,Chocolate Chip,1038,5,2,5190,2076,3114,2019-06-01 00:00:00.000,6,June,2019,126014024
Germany,Chocolate Chip,278,5,2,1390,556,834,2019-02-01 00:00:00.000,2,February,2019,83222442
Canada,Chocolate Chip,2431,5,2,12155,4862,7293,2019-12-01 00:00:00.000,12,December,2019,38547901
United States,Oatmeal Raisin,1282,5,2,6410,2820,3590,2019-06-01 00:00:00.000,6,June,2019,333061898
Mexico,White Chocolate Macadamia Nut,2605,6,3,15630,7164,8466,2018-11-01 00:00:00.000,11,November,2018,126014024
United States,Sugar,1956,3,1,5868,2445,3423,2019-01-01 00:00:00.000,1,January,2019,333061898
France,Sugar,2151,3,1,6453,2689,3764,2019-09-01 00:00:00.000,9,September,2019,68035000
Canada,Sugar,2529,3,1,7587,3161,4426,2019-11-01 00:00:00.000,11,November,2019,38547901
United States,Snickerdoodle,2567,4,2,10268,3850,6418,2019-06-01 00:00:00.000,6,June,2019,333061898
Mexico,Chocolate Chip,1607,5,2,8035,3214,4821,2019-04-01 00:00:00.000,4,April,2019,126014024
France,Chocolate Chip,2441,5,2,12205,4882,7323,2019-10-01 00:00:00.000,10,October,2019,68035000
Germany,Snickerdoodle,2811,4,2,11244,4216,7028,2019-07-01 00:00:00.000,7,July,2019,83222442
France,Chocolate Chip,1496,5,2,7480,2992,4488,2019-06-01 00:00:00.000,6,June,2019,68035000
United States,White Chocolate Macadamia Nut,2907,6,3,17442,7994,9448,2019-06-01 00:00:00.000,6,June,2019,333061898
Canada,Chocolate Chip,1725,5,2,8625,3450,5175,2018-11-01 00:00:00.000,11,November,2018,38547901
Canada,Chocolate Chip,2074,5,2,10370,4148,6222,2019-09-01 00:00:00.000,9,September,2019,38547901
United States,Sugar,1153,3,1,3459,1441,2018,2019-10-01 00:00:00.000,10,October,2019,333061898
France,White Chocolate Macadamia Nut,1221,6,3,7326,3358,3968,2018-10-01 00:00:00.000,10,October,2018,68035000
Germany,Chocolate Chip,357,5,2,1785,714,1071,2019-11-01 00:00:00.000,11,November,2019,83222442
United States,Oatmeal Raisin,2907,5,2,14535,6395,8140,2019-06-01 00:00:00.000,6,June,2019,333061898
Germany,Sugar,1870,3,1,5610,2338,3272,2018-12-01 00:00:00.000,12,December,2018,83222442
Mexico,Chocolate Chip,662,5,2,3310,1324,1986,2019-06-01 00:00:00.000,6,June,2019,126014024
Germany,Snickerdoodle,214,4,2,856,321,535,2018-10-01 00:00:00.000,10,October,2018,83222442
Germany,White Chocolate Macadamia Nut,1006,6,3,6036,2766,3270,2019-06-01 00:00:00.000,6,June,2019,83222442
United States,Chocolate Chip,2327,5,2,11635,4654,6981,2019-05-01 00:00:00.000,5,May,2019,333061898
France,Sugar,2167,3,1,6501,2709,3792,2018-10-01 00:00:00.000,10,October,2018,68035000
Mexico,White Chocolate Macadamia Nut,2110,6,3,12660,5802,6858,2019-09-01 00:00:00.000,9,September,2019,126014024
France,Oatmeal Raisin,2076,5,2,10380,4567,5813,2018-10-01 00:00:00.000,10,October,2018,68035000
France,Chocolate Chip,2261,5,2,11305,4522,6783,2018-12-01 00:00:00.000,12,December,2018,68035000
France,Chocolate Chip,1954,5,2,9770,3908,5862,2019-03-01 00:00:00.000,3,March,2019,68035000
Mexico,Sugar,554,3,1,1662,692,970,2019-01-01 00:00:00.000,1,January,2019,126014024
Canada,Snickerdoodle,819,4,2,3276,1228,2048,2019-07-01 00:00:00.000,7,July,2019,38547901
Mexico,Chocolate Chip,974,5,2,4870,1948,2922,2019-02-01 00:00:00.000,2,February,2019,126014024
Germany,Oatmeal Raisin,4220,5,2,21098,9283,11815,2019-04-01 00:00:00.000,4,April,2019,83222442
Canada,Chocolate Chip,1228,5,2,6140,2456,3684,2018-10-01 00:00:00.000,10,October,2018,38547901
Canada,Fortune Cookie,1249,1,0,1249,250,999,2019-10-01 00:00:00.000,10,October,2019,38547901
Germany,Sugar,1175,3,1,3525,1469,2056,2019-10-01 00:00:00.000,10,October,2019,83222442
Mexico,White Chocolate Macadamia Nut,2861,6,3,17166,7868,9298,2019-01-01 00:00:00.000,1,January,2019,126014024
Mexico,Sugar,1397,3,1,4191,1746,2445,2019-10-01 00:00:00.000,10,October,2019,126014024
Mexico,Chocolate Chip,1946,5,2,9730,3892,5838,2018-12-01 00:00:00.000,12,December,2018,126014024
Canada,Snickerdoodle,2852,4,2,11408,4278,7130,2019-12-01 00:00:00.000,12,December,2019,38547901
Germany,Oatmeal Raisin,2966,5,2,14830,6525,8305,2018-10-01 00:00:00.000,10,October,2018,83222442
Germany,Oatmeal Raisin,1350,5,2,6750,2970,3780,2019-02-01 00:00:00.000,2,February,2019,83222442
United States,Sugar,2541,3,1,7623,3176,4447,2019-08-01 00:00:00.000,8,August,2019,333061898
Mexico,Oatmeal Raisin,2039,5,2,10195,4486,5709,2019-05-01 00:00:00.000,5,May,2019,126014024
United States,Chocolate Chip,973,5,2,4865,1946,2919,2019-03-01 00:00:00.000,3,March,2019,333061898
Germany,Sugar,1531,3,1,4593,1914,2679,2019-12-01 00:00:00.000,12,December,2019,83222442
United States,Chocolate Chip,3450,5,2,17250,6900,10350,2019-07-01 00:00:00.000,7,July,2019,333061898
Canada,Snickerdoodle,1295,4,2,5180,1942,3238,2019-10-01 00:00:00.000,10,October,2019,38547901
United States,Chocolate Chip,1142,5,2,5710,2284,3426,2019-06-01 00:00:00.000,6,June,2019,333061898
Germany,Chocolate Chip,1372,5,2,6860,2744,4116,2019-01-01 00:00:00.000,1,January,2019,83222442
United States,Sugar,727,3,1,2181,909,1272,2019-06-01 00:00:00.000,6,June,2019,333061898
United States,Fortune Cookie,2498,1,0,2498,500,1998,2018-09-01 00:00:00.000,9,September,2018,333061898
Canada,Chocolate Chip,1774,5,2,8870,3548,5322,2019-03-01 00:00:00.000,3,March,2019,38547901
United States,Sugar,1265,3,1,3795,1581,2214,2018-11-01 00:00:00.000,11,November,2018,333061898
Canada,Chocolate Chip,2349,5,2,11745,4698,7047,2018-09-01 00:00:00.000,9,September,2018,38547901
United States,White Chocolate Macadamia Nut,861,6,3,5166,2368,2798,2019-10-01 00:00:00.000,10,October,2019,333061898
France,Sugar,2234,3,1,6702,2792,3910,2018-09-01 00:00:00.000,9,September,2018,68035000
Canada,Oatmeal Raisin,1135,5,2,5675,2497,3178,2019-06-01 00:00:00.000,6,June,2019,38547901
United States,Oatmeal Raisin,727,5,2,3635,1599,2036,2018-10-01 00:00:00.000,10,October,2018,333061898
Germany,Chocolate Chip,807,5,2,4035,1614,2421,2019-01-01 00:00:00.000,1,January,2019,83222442
