Host Last Discovered,VM Manager Name,Host Device Name,Host OS Name,Host Cores,Host Ram,VM Count Allocated,Total vCores Allocated,Total Ram Allocated,VM Count In Service,Total vCores In Service,Total Ram In Service,VMs Allocated,VMs In Service,Cores Percent Allocated,Ram Percent Allocated,Cores Percent In Service,Ram Percent In Service
2021-09-09 20:35:09.026,"","8699723064631297583/gke-d42-k8s-default-pool-78f70870-s353","Linux",1,3.75,12,,,12,,,"prometheus-to-sd_3b69a8b2039b | fluentbit-gke_d4106636aacc | autoscaler_7673eb3eb232 | kubedns_fa6ec6b7553e | sidecar_d17a5618ec58 | dnsmasq_02b09b219c2f | kube-proxy_c4e64fa04609 | gke-metrics-agent_69e9e1addb71 | nginx-3_cfa3629037b9 | web_5aea01941840 | fluentbit_583f7143d1f1 | nginx-3_2ef331e99fa0","prometheus-to-sd_3b69a8b2039b | fluentbit-gke_d4106636aacc | autoscaler_7673eb3eb232 | kubedns_fa6ec6b7553e | sidecar_d17a5618ec58 | dnsmasq_02b09b219c2f | kube-proxy_c4e64fa04609 | gke-metrics-agent_69e9e1addb71 | nginx-3_cfa3629037b9 | web_5aea01941840 | fluentbit_583f7143d1f1 | nginx-3_2ef331e99fa0",,,,
2021-02-19 05:07:16.456,"","A5D82A21-32A3-4C96-BAF6-3C2CD1DA1E5F/aks-agentpool-18482215-0","Linux",1,3.5,38,,,38,,,"omsagent_8c5c9a19a304 | omsagent_abf2201c2604 | kneeling-giraffe-worker_dfedf89ef354 | coredns_0e138aac6f22 | coredns_ae8bb50cde69 | coredns_5e6d3b7bd93c | omsagent_35d699493eaf | kneeling-giraffe-worker_b8757648f05f | omsagent_f4a680f3191a | metrics-server_d76fc37a38f4 | autoscaler_9736417457af | omsagent_ba3c205d8cd3 | kube-proxy_e45117bc10b5 | autoscaler_c4e3d770e3fa | coredns_3fc9b7bace7d | kissable-wolverine-mongodb_03105cbf0002 | kneeling-giraffe-worker_d5aee90a953e | omsagent_0a3a081c2370 | tiller_c57cb48dd262 | tunnel-front_e66ca53db821 | kube-proxy_b00b777dded6 | coredns_5a806dfb22d0 | coredns_ce9bc13538c3 | kneeling-giraffe-master_39598259cc52 | kneeling-giraffe-worker_a3cd189c7852 | kneeling-giraffe-zeppelin_fb5c51a30b4d | coredns_7c11719838e0 | autoscaler_af1ec946e0b1 | kube-proxy_19646d3f8eed | omsagent_eeff6873e279 | tunnel-front_586f21843604 | autoscaler_5812cfdfff73 | omsagent_3fea172b64d1 | omsagent_9c9bd4ef3ca0 | kube-proxy_f63d8f7d4ddf | autoscaler_be002daab2a3 | kneeling-giraffe-worker_9668157584bc | kneeling-giraffe-worker_ce571a295429","omsagent_8c5c9a19a304 | omsagent_abf2201c2604 | kneeling-giraffe-worker_dfedf89ef354 | coredns_0e138aac6f22 | coredns_ae8bb50cde69 | coredns_5e6d3b7bd93c | omsagent_35d699493eaf | kneeling-giraffe-worker_b8757648f05f | omsagent_f4a680f3191a | metrics-server_d76fc37a38f4 | autoscaler_9736417457af | omsagent_ba3c205d8cd3 | kube-proxy_e45117bc10b5 | autoscaler_c4e3d770e3fa | coredns_3fc9b7bace7d | kissable-wolverine-mongodb_03105cbf0002 | kneeling-giraffe-worker_d5aee90a953e | omsagent_0a3a081c2370 | tiller_c57cb48dd262 | tunnel-front_e66ca53db821 | kube-proxy_b00b777dded6 | coredns_5a806dfb22d0 | coredns_ce9bc13538c3 | kneeling-giraffe-master_39598259cc52 | kneeling-giraffe-worker_a3cd189c7852 | kneeling-giraffe-zeppelin_fb5c51a30b4d | coredns_7c11719838e0 | autoscaler_af1ec946e0b1 | kube-proxy_19646d3f8eed | omsagent_eeff6873e279 | tunnel-front_586f21843604 | autoscaler_5812cfdfff73 | omsagent_3fea172b64d1 | omsagent_9c9bd4ef3ca0 | kube-proxy_f63d8f7d4ddf | autoscaler_be002daab2a3 | kneeling-giraffe-worker_9668157584bc | kneeling-giraffe-worker_ce571a295429",,,,
2021-02-19 05:07:52.400,"","crbntwd02fl9011","Microsoft Windows Server 2012 R2 Standard",2,24,1,1,512,1,1,512,"New Virtual Machine","New Virtual Machine",50,2133.3333,50,2133.3333
2021-11-12 05:13:15.946,"","d42-build002.device42.pvt","VMware ESXi",12,128,4,34,108,4,34,108,"MGMT01 | Device42-17-07.00 | XEN7.4 | raw01.d42.local","MGMT01 | Device42-17-07.00 | XEN7.4 | raw01.d42.local",283.3333,84.375,283.3333,84.375
2021-07-07 18:54:43.890,"","dlasecki-MacBook-Pro","macOS",4,8,2,4,8,2,4,8,"dlasecki-win10-test | dlasecki-lm19","dlasecki-win10-test | dlasecki-lm19",100,100,100,100
2021-02-24 12:52:21.246,"","docker-90214.device42.pvt","Ubuntu",2,4,1,,,1,,,"e044361f0467","e044361f0467",,,,
2021-02-19 05:06:53.713,"","esxi-002","VMware ESXi",8,32,16,32,38,16,32,38,"D42-ACcudata | Win2008r2 Fibre HBA Passthrough | D42-Client Backup | D42-Chris | D42-SandBox-RC | Unknown | Device42-64-Solutech | centOS-7-dev01 | Unknown 1 | Oracle Linux 6.7 | Device42-64-JL | D42-AllOptions Backup | Docs | TestRegister | D42-RC_JL | suse-12sp1-002","D42-ACcudata | Win2008r2 Fibre HBA Passthrough | D42-Client Backup | D42-Chris | D42-SandBox-RC | Unknown | Device42-64-Solutech | centOS-7-dev01 | Unknown 1 | Oracle Linux 6.7 | Device42-64-JL | D42-AllOptions Backup | Docs | TestRegister | D42-RC_JL | suse-12sp1-002",400,118.75,400,118.75
2021-11-12 05:13:12.603,"","esxi-003.device42.pvt","VMware ESXi",12,96,61,115,773.5,61,115,773.5,"ArrayIQ-3.4-1102 | web-backend-001 | Endurance-D42 Clone | log-insight | D42_RC_IK_CB | web-frontend-001 | SA-Centos4-002 | Demo-AIQ | FA_RC | sa-rhel5-003 | Hadoop | sa-saas-RC | SA-RHEL4-1 | logstash | cent7uq02wh4219 | CDS Backup | d42ma-mw | sa-rhel-003 | ucspe.device42.pvt | oracle12c.device42.pvt | logstash-2 | vHMC-001 | app-test | win2k19wq01wh4219 | D42_MA_IK_CB | FA_MA | cent8uq01wh4219 | PM Usability RC | alteon-va | SA-RHEL8-1.device42.pvt | f5-appliance | elasticsearch-2 | AzureMigrateApp - Test | wh-stackstorm1 | D42-Customer-WP | vCenter-Device42-Lab | cent7uq01wh4219 | f5-webnode1 | kvmct01wh4219 | oracle-db-001 | solusvm | FA_WinSrv2019 | lab-training-rc | splunk | hbspk | SA-RHEL5-1.device42.pvt | BMC_Discovery_Eval | xen | puppet | windows10-d42test | webapp-test | windows-2016 | trial-demo-rc | sa-rhel5-004 | SA-Centos5-002 | Windows NT4 | sa-ubu2004 | SAP-Hana | BIG-IP F5 12.1.1.2.0.204 | D42_WDS_IK_CB | Marco_test1","ArrayIQ-3.4-1102 | web-backend-001 | Endurance-D42 Clone | log-insight | D42_RC_IK_CB | web-frontend-001 | SA-Centos4-002 | Demo-AIQ | FA_RC | sa-rhel5-003 | Hadoop | sa-saas-RC | SA-RHEL4-1 | logstash | cent7uq02wh4219 | CDS Backup | d42ma-mw | sa-rhel-003 | ucspe.device42.pvt | oracle12c.device42.pvt | logstash-2 | vHMC-001 | app-test | win2k19wq01wh4219 | D42_MA_IK_CB | FA_MA | cent8uq01wh4219 | PM Usability RC | alteon-va | SA-RHEL8-1.device42.pvt | f5-appliance | elasticsearch-2 | AzureMigrateApp - Test | wh-stackstorm1 | D42-Customer-WP | vCenter-Device42-Lab | cent7uq01wh4219 | f5-webnode1 | kvmct01wh4219 | oracle-db-001 | solusvm | FA_WinSrv2019 | lab-training-rc | splunk | hbspk | SA-RHEL5-1.device42.pvt | BMC_Discovery_Eval | xen | puppet | windows10-d42test | webapp-test | windows-2016 | trial-demo-rc | sa-rhel5-004 | SA-Centos5-002 | Windows NT4 | sa-ubu2004 | SAP-Hana | BIG-IP F5 12.1.1.2.0.204 | D42_WDS_IK_CB | Marco_test1",958.3333,805.7292,958.3333,805.7292
2021-11-12 05:13:12.090,"","esxi-004.device42.pvt","VMware ESXi",8,32,19,34,81,19,34,81,"photon-os | Demo Lab RC 2 WDS | sa-oracle-001 | D42-1410 | iis6-w2k3-3-76 | autodisc-httpd | autodisc-tomcat | SCCM.d42test.pvt | WIN-V1BGG39U9C1.forest1.pvt | test-vm3 | bitnami-elk-4.6.4-0-linux-ubuntu-14.04-x86_64 | ubuntu-chef-10.42.12.14 | AIQtest | sa-rhel5-007 | SA-RHEL4 | AMAT/HBC Backup | Windows Server 2012r2 Core (no GUI) | autodisc-db.device42.pvt | jira-7-dev.device42.pvt","photon-os | Demo Lab RC 2 WDS | sa-oracle-001 | D42-1410 | iis6-w2k3-3-76 | autodisc-httpd | autodisc-tomcat | SCCM.d42test.pvt | WIN-V1BGG39U9C1.forest1.pvt | test-vm3 | bitnami-elk-4.6.4-0-linux-ubuntu-14.04-x86_64 | ubuntu-chef-10.42.12.14 | AIQtest | sa-rhel5-007 | SA-RHEL4 | AMAT/HBC Backup | Windows Server 2012r2 Core (no GUI) | autodisc-db.device42.pvt | jira-7-dev.device42.pvt",425,253.125,425,253.125
2021-11-12 05:13:12.090,"","esxi-005.device42.pvt","VMware ESXi",8,32,14,30,95,14,30,95,"DXC-D42MA | openvz-001.device42.pvt | CentOS Solaris NetInstall | pxe-boot-test | Cisco Prime | WebSphere Developer 32-bit | windows10-d42test-002 | DXC-MA-The2nding | VRO | ubuntu16-ldap-tls12-001 | Demo Res WH RC | ws2016-oracle-001 | vcsa | Ian_Aaron_RC","DXC-D42MA | openvz-001.device42.pvt | CentOS Solaris NetInstall | pxe-boot-test | Cisco Prime | WebSphere Developer 32-bit | windows10-d42test-002 | DXC-MA-The2nding | VRO | ubuntu16-ldap-tls12-001 | Demo Res WH RC | ws2016-oracle-001 | vcsa | Ian_Aaron_RC",375,296.875,375,296.875
