Spell ID,Incantation,Spell Name,Effect,Light,Dialogue.Dialogue ID,Dialogue.Place ID,Dialogue.Character ID,Dialogue.Chapter ID
24,Impedimenta,Impediment Jinx,Hinders movement,Turquoise,3989.0,55.0,50.0,144.0
61,Wingardium Leviosa,Levitation Charm,Makes objects fly,,426.0,26.0,3.0,17.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,6254.0,74.0,1.0,195.0
24,Impedimenta,Impediment Jinx,Hinders movement,Turquoise,5682.0,40.0,1.0,182.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,3225.0,36.0,2.0,119.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,5447.0,39.0,3.0,178.0
24,Impedimenta,Impediment Jinx,Hinders movement,Turquoise,4204.0,49.0,42.0,149.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,2990.0,39.0,1.0,113.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,2551.0,20.0,1.0,94.0
30,Locomotor Mortis,Leg-Locker Curse,Sticks legs together,Purple,4216.0,49.0,18.0,149.0
10,Cistem Aperio,Cistem Aperio,Opens chests,White,,,,
7,Avada Kedavra,Killing Curse,Instantaneous death,Green,4509.0,70.0,9.0,154.0
12,Confringo,Blasting Curse,Explosion,Fiery Orange,7396.0,66.0,1.0,231.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,5011.0,39.0,1.0,166.0
18,Expecto Patronum,Patronus Charm,Conjures a spirit guardian,Silver,3518.0,11.0,1.0,131.0
13,Crucio,Cruciatus Curse,Excruciating pain,Red,4474.0,70.0,22.0,152.0
20,Expulso,Expulso Curse,Blows things up,Blue,6248.0,74.0,1.0,195.0
58,Stupefy,Stunning Spell,Knocks out target,Red,4449.0,70.0,10.0,152.0
42,Portus,Portus,Turns object into Portkey,Blue,4534.0,70.0,4.0,155.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,6593.0,12.0,1.0,203.0
31,Lumos,Wand-Lighting Charm,Illuminates the wand tip,White,6382.0,9.0,3.0,199.0
54,Riddikulus,Boggart-Banishing Spell,Turns a Boggart into something amusing,,2143.0,30.0,2.0,80.0
4,Alohomora,Unlocking Charm,Unlocks target,Blue,4391.0,70.0,1.0,152.0
35,Nox,Wand-Extinguishing Charm,Extinguishes wandlight,,3572.0,8.0,1.0,132.0
58,Stupefy,Stunning Spell,Knocks out target,Red,6720.0,13.0,1.0,207.0
31,Lumos,Wand-Lighting Charm,Illuminates the wand tip,White,3517.0,11.0,1.0,131.0
31,Lumos,Wand-Lighting Charm,Illuminates the wand tip,White,6881.0,2.0,2.0,212.0
