Time,device,m1,m2,m3,State,Cycles Desired,Cycle Change,Cycles,Cycles Count
2020-09-03 09:39:00.000,4,-1.319,0,100,4,3,0,3,3
2020-09-03 09:49:00.000,4,-0.661,-0.1,99.9,4,3,0,3,3
2020-09-03 14:09:00.000,4,-3.817,-15.4,85.9,4,3,0,3,3
2020-09-03 20:34:00.000,4,-0.294,-33.2,69.6,4,3,0,3,3
2020-09-03 20:36:00.000,4,17.005,0,70.1,3,3,0,3,3
2020-09-03 21:21:00.000,4,17.305,13.1,82,3,3,0,3,3
2020-09-03 21:56:00.000,4,17.398,23.2,91.3,3,3,0,3,3
2020-09-03 21:57:00.000,4,15.347,23.4,91.5,2,3,0,3,3
2020-09-03 22:57:00.000,4,4.322,30.8,98.3,2,3,0,3,3
2020-09-04 00:32:00.000,4,2.248,34.9,102.1,2,3,0,3,3
2020-09-04 00:34:00.000,4,0.622,0,100,1,4,1,4,4
2020-09-04 07:14:00.000,4,-0.103,0,100,1,4,0,4,4
2020-09-04 07:18:00.000,4,-0.716,0,100,4,4,0,4,4
2020-09-04 07:23:00.000,4,-1.818,-0.2,99.9,4,4,0,4,4
2020-09-04 12:23:00.000,4,-7.451,-7,93.6,4,4,0,4,4
2020-09-04 13:58:00.000,4,-3.936,-14.9,86.3,4,4,0,4,4
2020-09-04 18:48:00.000,4,-0.704,-26.9,75.3,4,4,0,4,4
2020-09-04 18:51:00.000,4,11.033,0,75.8,3,4,0,4,4
2020-09-04 19:16:00.000,4,17.268,7.3,82.5,3,4,0,4,4
2020-09-04 19:46:00.000,4,17.223,15.9,90.4,3,4,0,4,4
2020-09-04 19:51:00.000,4,16.994,17.2,91.6,2,4,0,4,4
2020-09-04 22:11:00.000,4,2.249,27.9,101.4,2,4,0,4,4
2020-09-04 22:12:00.000,4,-0.102,0,100,1,5,1,5,5
2020-09-04 23:52:00.000,4,-0.104,0,100,1,5,0,5,5
2020-09-01 00:01:00.000,7,-0.103,0,100,1,1,1,1,1
2020-09-01 12:56:00.000,7,-0.103,0,100,1,1,0,1,1
2020-09-01 13:26:00.000,7,-0.103,0,100,1,1,0,1,1
2020-09-01 13:26:00.000,7,-0.594,0,100,4,1,0,1,1
2020-09-01 13:31:00.000,7,-0.594,-0.1,100,4,1,0,1,1
2020-09-01 13:36:00.000,7,-0.654,-15,99.9,4,1,0,1,1
2020-09-01 20:31:00.000,7,0.02,-24.7,77.3,4,1,0,1,1
2020-09-01 20:33:00.000,7,16.927,0,77.8,3,1,0,1,1
2020-09-01 20:38:00.000,7,17.407,1.5,79.1,3,1,0,1,1
2020-09-01 20:58:00.000,7,17.331,7.3,84.4,3,1,0,1,1
2020-09-01 21:23:00.000,7,17.282,14.5,91.1,3,1,0,1,1
2020-09-01 21:27:00.000,7,17.284,15.9,92.4,3,1,0,1,1
2020-09-01 21:28:00.000,7,15.926,16.2,92.6,2,1,0,1,1
2020-09-01 23:23:00.000,7,2.269,25.6,101.3,2,1,0,1,1
2020-09-01 23:43:00.000,7,1.862,26.4,101.9,2,1,0,1,1
2020-09-01 23:44:00.000,7,-0.1,0,100,1,2,1,2,2
