NATION,CASES,DEATHS,RECOVERY
"Malaysia",8729,122,8524
"Senegal",8198,150,5514
"North Macedonia",8197,385,4326
"DR Congo",8075,190,3620
"Costa Rica",8036,31,2304
"Ethiopia",7766,128,2430
"Bulgaria",7411,276,3517
"Finland",7295,329,6800
"Bosnia and Herzegovina",6981,226,3179
"Haiti",6727,139,2924
"Palestine",6566,39,942
"Tajikistan",6501,55,5278
"Guinea",6141,37,4862
"Gabon",5942,46,3004
"Mauritania",5203,146,2111
"Kosovo",5118,108,2370
"Djibouti",4968,56,4689
"Luxembourg",4956,111,4183
"Central African Republic",4259,53,1142
"Hungary",4258,595,3106
"Madagascar",4143,34,2183
"Greece",3826,193,1374
"Croatia",3775,119,2514
"Albania",3571,95,2014
"Thailand",3227,58,3091
"Equatorial Guinea",3071,51,842
"Somalia",3059,93,1306
"Paraguay",2980,25,1293
"Nicaragua",2846,91,1750
"Maldives",2762,13,2290
"Sri Lanka",2646,11,1981
"Cuba",2428,87,2268
"Mali",2404,121,1650
"Puerto Rico",2811,167,840
"Malawi",2430,39,747
"Lebanon",2082,36,1402
"Congo",2028,47,589
"South Sudan",2021,38,333
"Estonia",2014,69,1895
"Zambia",1895,42,1348
"Slovakia",1893,28,1493
"Iceland",1886,10,1859
"Lithuania",1861,79,1569
"Guinea-Bissau",1842,26,773
"Slovenia",1803,111,1384
"Sierra Leone",1642,63,1175
"Cape Verde",1591,19,732
"Hong Kong",1522,8,1217
"Yemen",1380,364,630
"Libya",1342,38,307
"Donetsk PR",1336,79,601
"Benin",1285,23,333
"Eswatini",1257,13,633
"Rwanda",1252,3,635
"Tunisia",1240,50,1067
"New Zealand",1193,22,1147
"Jordan",1173,10,986
"Latvia",1173,30,1019
"Mozambique",1111,9,344
"USS Theodore Roosevelt",1102,1,751
"Niger",1099,68,978
"Charles de Gaulle",1081,0,0
"Burkina Faso",1020,53,862
"Montenegro",1164,23,325
"Cyprus",1013,19,839
"Uganda",1006,0,938
"Uruguay",985,29,886
"Georgia",981,15,851
"Liberia",963,47,400
"Zimbabwe",942,13,320
"Chad",874,74,789
"Namibia",861,1,28
"Andorra",855,52,803
"Suriname",780,18,526
"Jamaica",753,10,603
"São Tomé and Príncipe",727,14,284
"Diamond Princess",712,14,653
"Togo",710,15,494
"San Marino",699,42,656
"Malta",674,9,658
"Somaliland",560,27,176
"Luhansk PR",555,13,472
"Angola",458,23,117
"Taiwan",451,7,438
"Botswana",399,1,38
"Syria",394,16,126
"Vietnam",370,0,350
"Mauritius",342,10,330
"Isle of Man",336,24,312
"Myanmar",326,6,256
"Jersey",325,15,304
"Comoros",317,7,296
"Guam",310,5,202
"Guyana",300,17,155
"Burundi",269,1,207
"Guernsey",252,13,238
"Lesotho",245,3,33
"Mongolia",227,0,195
"Eritrea",215,0,56
"Cayman Islands",201,1,194
"Faroe Islands",188,0,188
"Gibraltar",179,0,176
"Cambodia",165,0,133
"Bermuda",150,9,137
"Costa Atlantica",148,0,148
"U.S. Virgin Islands",144,6,81
"Artsakh",142,0,113
"Brunei",141,3,138
"Trinidad and Tobago",133,8,117
"Greg Mortimer",128,1,
"Northern Cyprus",113,4,104
"Bahamas",108,11,89
"Monaco",108,4,95
"Aruba",105,3,99
"Seychelles",100,0,11
"Barbados",98,7,90
"South Ossetia",87,0,85
"Bhutan",84,0,78
"Liechtenstein",84,1,81
"Sint Maarten",78,15,63
"Antigua and Barbuda",74,3,57
"Turks and Caicos Islands",72,2,12
"The Gambia",64,3,34
"French Polynesia",62,0,60
"Macau",46,0,45
"Abkhazia",38,1,35
"Belize",37,2,20
"Saint Vincent",35,6,29
"Northern Mariana Islands",30,2,19
"Fiji",26,0,18
"Curaçao",25,1,24
"East Timor",24,0,24
"Grenada",23,0,23
"Saint Lucia",22,0,19
"New Caledonia",21,0,21
"Laos",19,0,19
"Dominica",18,0,18
"Saint Kitts and Nevis",17,0,15
"Falkland Islands",13,0,13
"Greenland",13,0,13
"MS Zaandam",13,4,
"Coral Princess",12,3,
"Montserrat",12,1,10
"Vatican City",12,0,12
"Papua New Guinea",11,0,8
"British Virgin Islands",8,1,7
"HNLMS Dolfijn",8,0,8
"Anguilla",3,0,3
"Saba",3,0,3
"Bonaire",2,0,2
"Sint Eustatius",2,0,2
"Saint Pierre and Miquelon",2,0,1
