Date,Total electricity Generated (GWh),Total electricity imported (GWh),Total electricity consumed in Power Stations and Auxiliary Systems,Total electricity exported (GWh),Total electricity Available for Distribution in South Africa,Electricity Generated by Eskom,Electricity Imported by Eskom,Electricity Consumed in Eskom Power Stations and Auxiliary Systems,Electricity Exported by Eskom,Electricity Available for Distribution in South Africa from Eskom,Electricity distributed,Physical Volume of Electricity Production Index (Base: 2015=100),Total - All producers (Electricity available for distribution in South Africa),Physical Volume of Electricity Production Index (Base: 2015=100)_1,Electricity generated per capita (kWh)
1987-01-01 00:00:00.000,11779,12,807,115,10869,11008,12,740,115,10165,,565,11272,586,
1987-02-01 00:00:00.000,11334,7,903,107,10331,10576,7,833,107,9643,,544,11441,60,
1987-03-01 00:00:00.000,12482,37,958,107,11454,11703,37,886,107,10747,,599,11482,602,
1987-04-01 00:00:00.000,11839,67,901,102,10903,10984,67,845,102,10104,,568,11452,597,
1987-05-01 00:00:00.000,12624,64,971,114,11603,11788,64,893,114,10845,,606,11437,597,
1987-06-01 00:00:00.000,13133,30,1016,117,12030,12048,30,930,117,11031,,63,11526,603,
1987-07-01 00:00:00.000,13907,8,1072,134,12709,12816,8,984,134,11706,,667,11505,604,
1987-08-01 00:00:00.000,13422,8,1042,139,12249,12382,8,961,139,11290,,644,11561,606,
1987-09-01 00:00:00.000,12617,8,972,135,11518,11670,8,879,135,10664,,605,11503,604,
1987-10-01 00:00:00.000,12790,10,956,134,11710,11851,10,869,134,10858,,614,11496,601,
1987-11-01 00:00:00.000,12484,5,869,129,11491,11611,5,786,129,10701,,599,11702,61,
1987-12-01 00:00:00.000,12188,5,964,113,11116,11335,5,881,113,10346,,585,11664,612,
1988-01-01 00:00:00.000,12472,13,946,105,11434,11619,13,870,105,10657,,598,11861,621,
1988-02-01 00:00:00.000,12172,29,929,106,11166,11353,29,851,106,10425,,584,11810,618,
1988-03-01 00:00:00.000,12559,76,929,101,11605,11872,76,839,101,11008,,602,11602,604,
1988-04-01 00:00:00.000,12191,62,827,96,11330,11402,62,749,96,10619,,585,11933,616,
1988-05-01 00:00:00.000,12284,67,910,107,11334,11437,67,833,107,10564,,589,11200,582,
1988-06-01 00:00:00.000,13599,51,971,111,12568,12520,51,878,111,11582,,652,12000,623,
1988-07-01 00:00:00.000,14356,11,1042,114,13211,13275,11,956,114,12216,,689,12074,629,
1988-08-01 00:00:00.000,14045,7,1040,133,12879,12969,7,955,133,11888,,674,12028,628,
1988-09-01 00:00:00.000,13328,6,979,121,12234,12358,6,885,121,11358,,639,12222,638,
1988-10-01 00:00:00.000,13761,5,1037,125,12604,12804,5,945,125,11739,,66,12396,648,
1988-11-01 00:00:00.000,13150,5,958,116,12081,12216,5,864,116,11241,,631,12285,641,
1988-12-01 00:00:00.000,12821,38,922,90,11847,11897,38,827,90,11018,,615,12439,645,
1989-01-01 00:00:00.000,12933,74,871,93,12043,12044,74,782,93,11243,,62,12481,644,
1989-02-01 00:00:00.000,12180,52,926,100,11206,11369,52,846,100,10475,,584,12417,645,
1989-03-01 00:00:00.000,13044,21,928,101,12036,12275,21,845,101,11350,,626,12233,636,
1989-04-01 00:00:00.000,13223,30,967,115,12171,12404,30,883,115,11436,,634,12669,66,
1989-05-01 00:00:00.000,13600,59,1000,110,12549,12718,59,906,110,11761,,652,12278,639,
1989-06-01 00:00:00.000,14073,21,1028,115,12951,13041,21,931,115,12016,,675,12363,644,
1989-07-01 00:00:00.000,14883,3,1082,126,13678,13950,3,996,126,12831,,714,12534,654,
1989-08-01 00:00:00.000,14366,0,1057,127,13182,13456,0,968,127,12361,,689,12330,643,
1989-09-01 00:00:00.000,13738,0,942,139,12657,12837,0,855,139,11843,,659,12673,659,
1989-10-01 00:00:00.000,13872,0,925,126,12821,12949,0,840,126,11983,,665,12571,652,
1989-11-01 00:00:00.000,13289,4,919,132,12242,12312,4,855,132,11329,,637,12481,649,
1989-12-01 00:00:00.000,13120,7,962,107,12058,12205,7,878,107,11227,,629,12691,662,
1990-01-01 00:00:00.000,13557,6,1066,97,12400,12728,6,987,97,11650,,65,12735,668,
1990-02-01 00:00:00.000,12391,12,995,114,11294,11607,12,919,114,10586,,594,12552,658,
1990-03-01 00:00:00.000,13571,12,1065,112,12406,12674,12,982,112,11592,,651,12459,654,
1990-04-01 00:00:00.000,12885,61,1022,105,11819,12035,61,938,105,11053,,618,12506,652,
1990-05-01 00:00:00.000,14036,58,1019,108,12967,13094,58,933,108,12111,,673,12728,661,
1990-06-01 00:00:00.000,14265,54,1052,139,13128,13287,54,955,139,12247,,684,12523,652,
1990-07-01 00:00:00.000,14842,25,1064,121,13682,13853,25,980,121,12777,,712,12532,653,
1990-08-01 00:00:00.000,14868,15,1179,120,13584,13942,15,1094,120,12743,,713,12593,661,
1990-09-01 00:00:00.000,13619,9,1032,146,12450,12748,9,951,146,11660,,653,12575,659,
1990-10-01 00:00:00.000,14391,5,1115,123,13158,13508,5,1031,123,12359,,69,12792,672,
1990-11-01 00:00:00.000,14002,5,1076,184,12747,13107,5,983,184,11945,,672,13046,686,
1990-12-01 00:00:00.000,12957,5,989,164,11809,12157,5,903,164,11095,,622,12488,657,
1991-01-01 00:00:00.000,13541,34,1027,113,12435,12687,34,951,113,11657,,65,12788,668,
1991-02-01 00:00:00.000,12543,54,989,133,11475,11730,54,911,133,10740,,602,12768,667,
1991-03-01 00:00:00.000,13865,50,1082,131,12702,12856,50,1000,131,11775,,665,13034,681,
1991-04-01 00:00:00.000,13733,48,1126,123,12532,12841,48,1042,123,11724,,659,12973,681,
1991-05-01 00:00:00.000,14409,17,1171,127,13128,13584,17,1090,127,12384,,691,12788,673,
1991-06-01 00:00:00.000,14835,7,1168,163,13511,13929,7,1086,163,12687,,712,12931,68,
1991-07-01 00:00:00.000,15486,7,1187,142,14164,14555,7,1094,142,13326,,743,12863,677,
1991-08-01 00:00:00.000,15214,6,1166,140,13914,14228,6,1074,140,13020,,73,12977,681,
1991-09-01 00:00:00.000,13950,5,1089,171,12695,13161,5,1007,171,11988,,669,12805,674,
1991-10-01 00:00:00.000,14274,5,1056,144,13079,13409,5,968,144,12302,,685,12776,67,
1991-11-01 00:00:00.000,13558,5,1003,216,12344,12702,5,931,216,11560,,65,12661,665,
1991-12-01 00:00:00.000,12908,16,935,192,11797,12062,16,854,192,11032,,619,12492,656,
1992-01-01 00:00:00.000,13399,41,969,117,12354,12569,41,895,117,11598,,643,12615,656,
1992-02-01 00:00:00.000,12948,51,980,138,11881,12104,51,909,138,11108,,621,12688,664,
1992-03-01 00:00:00.000,13759,48,1066,136,12605,12868,48,973,136,11807,,66,12668,663,
1992-04-01 00:00:00.000,13132,55,974,128,12085,12327,55,892,128,11362,,63,12720,662,
1992-05-01 00:00:00.000,14207,43,1133,132,12985,13300,43,1047,132,12164,,682,12763,669,
1992-06-01 00:00:00.000,14725,11,1116,169,13451,13832,11,1030,169,12644,,706,12759,67,
1992-07-01 00:00:00.000,15235,25,1083,148,14029,14347,25,1005,148,13219,,731,12707,664,
1992-08-01 00:00:00.000,14999,17,1122,146,13748,14114,17,1037,146,12948,,72,12873,673,
1992-09-01 00:00:00.000,13951,26,993,178,12806,13045,26,913,178,11980,,669,12906,673,
1992-10-01 00:00:00.000,14411,4,1010,160,13245,13474,4,927,160,12391,,691,13005,679,
1992-11-01 00:00:00.000,13844,7,1011,225,12615,12882,7,921,225,11743,,664,12961,68,
1992-12-01 00:00:00.000,13480,6,1012,195,12279,12574,6,924,195,11461,,647,12978,683,
1993-01-01 00:00:00.000,14036,6,1074,206,12762,13133,6,983,206,11950,,673,13135,692,
1993-02-01 00:00:00.000,12905,9,898,214,11802,12097,9,846,214,11046,,619,13098,686,
1993-03-01 00:00:00.000,14454,7,1023,206,13232,13673,7,973,206,12501,,693,13189,691,
1993-04-01 00:00:00.000,13750,9,1006,175,12578,12986,9,953,175,11867,,66,13240,694,
1993-05-01 00:00:00.000,14732,11,1118,195,13430,13916,11,1059,195,12673,,707,13203,694,
1993-06-01 00:00:00.000,15505,9,1207,223,14084,14638,9,1144,223,13280,,744,13271,702,
1993-07-01 00:00:00.000,15909,9,1166,233,14519,14839,9,1069,233,13546,,763,13244,698,
1993-08-01 00:00:00.000,15584,8,1152,246,14194,14532,8,1056,246,13238,,748,13297,70,
1993-09-01 00:00:00.000,14715,7,1105,243,13374,13730,7,1005,243,12489,,706,13515,711,
1993-10-01 00:00:00.000,14798,6,1094,230,13480,13811,6,1021,230,12566,,71,13305,701,
1993-11-01 00:00:00.000,14338,9,1020,236,13091,13435,9,950,236,12258,,688,13418,704,
1993-12-01 00:00:00.000,13980,10,982,195,12813,13003,10,898,195,11920,,671,13484,706,
1994-01-01 00:00:00.000,14415,35,1113,161,13176,13425,35,1004,161,12295,,692,13585,711,
1994-02-01 00:00:00.000,13479,12,1004,193,12294,12576,12,894,193,11501,,647,13606,714,
1994-03-01 00:00:00.000,14943,1,1129,222,13593,14034,1,1011,222,12802,,717,13599,717,
1994-04-01 00:00:00.000,14016,3,1117,179,12723,13101,3,1016,179,11909,,672,13400,707,
1994-05-01 00:00:00.000,15329,1,1214,224,13892,14299,1,1125,224,12951,,735,13607,719,
1994-06-01 00:00:00.000,16045,0,1167,249,14629,14973,0,1053,249,13671,,77,13768,726,
1994-07-01 00:00:00.000,16717,0,1216,246,15255,15666,0,1098,246,14322,,802,13932,733,
1994-08-01 00:00:00.000,16357,0,1222,242,14893,15278,0,1107,242,13929,,785,13892,733,
1994-09-01 00:00:00.000,15115,0,1171,225,13719,14171,0,1056,225,12890,,725,13880,731,
1994-10-01 00:00:00.000,15458,0,1174,266,14018,14423,0,1051,266,13106,,742,13914,735,
1994-11-01 00:00:00.000,15124,0,1093,279,13752,14178,0,972,279,12927,,726,14050,74,
1994-12-01 00:00:00.000,14692,2,1135,193,13366,13754,2,1027,193,12536,,705,14191,747,
1995-01-01 00:00:00.000,15165,13,1187,209,13782,14187,13,1083,209,12908,,727,14191,747,
1995-02-01 00:00:00.000,14115,12,1045,224,12858,13241,12,963,224,12066,,677,14170,745,
1995-03-01 00:00:00.000,15526,39,1241,179,14145,14649,39,1133,179,13376,,745,14098,742,
1995-04-01 00:00:00.000,14600,38,1124,164,13350,13558,38,1006,164,12426,,70,14145,741,
1995-05-01 00:00:00.000,15953,40,1134,172,14687,14830,40,998,172,13700,,765,14229,741,
1995-06-01 00:00:00.000,16359,7,1130,238,14998,15291,7,1007,238,14053,,785,14152,742,
1995-07-01 00:00:00.000,16909,0,1201,268,15440,15852,0,1072,268,14512,,811,14153,743,
1995-08-01 00:00:00.000,16430,0,1152,284,14994,15346,0,1025,284,14037,,788,14085,74,
1995-09-01 00:00:00.000,15317,0,1035,343,13939,14307,0,918,343,13046,,735,14124,742,
1995-10-01 00:00:00.000,15773,0,1142,325,14306,14761,0,1017,325,13419,,757,14199,749,
1995-11-01 00:00:00.000,15538,0,1143,325,14070,14550,0,1024,325,13201,,745,14377,76,
1995-12-01 00:00:00.000,14970,0,1167,269,13534,14143,0,1064,269,12810,,718,14414,764,
1996-01-01 00:00:00.000,15642,1,1216,272,14155,14924,1,1129,272,13524,,75,14462,765,385.42688195541581
1996-02-01 00:00:00.000,15317,0,1199,408,13710,14633,0,1104,408,13121,,735,14416,776,377.41871569563381
1996-03-01 00:00:00.000,16110,0,1354,395,14361,15307,0,1253,395,13659,,773,14387,776,396.95864136950189
1996-04-01 00:00:00.000,15637,26,1269,388,14006,14752,26,1166,388,13224,,75,14744,79,385.30367939757303
1996-05-01 00:00:00.000,17101,2,1348,440,15315,16149,2,1232,440,14479,,82,14697,79,421.37738833394485
1996-06-01 00:00:00.000,17127,0,1309,493,15325,16088,0,1191,493,14404,,822,14614,784,422.01804163472741
1996-07-01 00:00:00.000,18835,0,1412,561,16862,17779,0,1286,561,15932,,904,15361,823,464.104035393828
1996-08-01 00:00:00.000,18014,0,1351,512,16151,16923,0,1227,512,15184,,864,15228,815,443.87417539604019
1996-09-01 00:00:00.000,16435,0,1240,497,14698,15535,0,1128,497,13910,,788,14912,796,404.96680762928389
1996-10-01 00:00:00.000,17214,0,1309,549,15356,16290,0,1194,549,14547,,826,15181,813,424.16176614119217
1996-11-01 00:00:00.000,16685,0,1342,551,14792,15725,0,1222,551,13952,,80,15170,818,411.12693552142389
1996-12-01 00:00:00.000,15975,0,1255,513,14207,15082,0,1177,513,13392,,766,15214,818,393.63217230774632
1997-01-01 00:00:00.000,16838,3,1324,508,15009,15889,3,1243,508,14141,,808,15299,823,414.89693379141357
1997-02-01 00:00:00.000,15791,0,1246,457,14088,14938,0,1174,457,13307,,758,15406,829,389.09831817913124
1997-03-01 00:00:00.000,17026,0,1366,505,15155,16165,0,1289,505,14371,,817,15513,837,419.52934996630285
1997-04-01 00:00:00.000,17053,3,1311,498,15247,16078,3,1202,498,14381,,818,15657,843,420.194643778654
1997-05-01 00:00:00.000,18320,0,1419,478,16423,17286,0,1307,478,15501,,879,15797,848,451.41417193601956
1997-06-01 00:00:00.000,18398,1,1323,602,16474,17275,1,1228,602,15446,,883,15719,843,453.33613183836718
1997-07-01 00:00:00.000,19301,0,1474,640,17187,18292,0,1373,640,16279,,926,15723,847,475.58651378477691
1997-08-01 00:00:00.000,18354,0,1424,627,16303,17302,0,1314,627,15361,,88,15427,833,452.25194932935057
1997-09-01 00:00:00.000,17559,1,1434,623,15503,16605,1,1330,623,14653,,842,15704,848,432.66274263234538
1997-10-01 00:00:00.000,18015,0,1376,634,16005,17034,0,1262,634,15138,,864,15700,843,443.89881590760876
1997-11-01 00:00:00.000,17107,0,1308,564,15235,16163,0,1196,564,14403,,821,15711,842,421.52523140335626
1997-12-01 00:00:00.000,16600,0,1243,479,14878,15681,0,1153,479,14049,,796,15883,848,409.03249203809628
1998-01-01 00:00:00.000,17051,11,1329,330,15403,16070,11,1230,330,14521,,818,15793,837,420.14536275551689
1998-02-01 00:00:00.000,15994,52,1227,360,14459,14981,52,1119,360,13554,,767,15798,84,394.10034202754895
1998-03-01 00:00:00.000,17208,159,1328,325,15714,16300,159,1220,325,14914,,825,15735,829,424.01392307178077
1998-04-01 00:00:00.000,16411,176,1297,367,14923,15418,176,1185,367,14042,,787,15663,827,404.37543535163849
1998-05-01 00:00:00.000,17948,133,1432,388,16261,16946,133,1317,388,15374,,861,15652,83,442.24790163251521
1998-06-01 00:00:00.000,17945,187,1423,429,16280,16920,187,1310,429,15368,,861,15583,824,442.17398009780953
1998-07-01 00:00:00.000,18645,141,1447,472,16867,17641,141,1331,472,15979,,894,15355,814,459.4223381958015
1998-08-01 00:00:00.000,17401,667,1301,350,16417,16360,667,1192,350,15485,,835,15640,793,428.76954180451287
1998-09-01 00:00:00.000,16965,203,1289,343,15536,15994,203,1177,343,14677,,814,15633,816,418.0262787606207
1998-10-01 00:00:00.000,17520,161,1324,400,15957,16510,161,1205,400,15066,,84,15685,822,431.70176268117154
1998-11-01 00:00:00.000,16523,273,1195,465,15136,15624,273,1088,465,14344,,793,15528,811,407.13517264731718
1998-12-01 00:00:00.000,15763,212,1109,303,14563,14898,212,1020,303,13787,,756,15603,81,388.40838385521158
1999-01-01 00:00:00.000,16629,185,1315,346,15153,15662,185,1222,346,14279,,798,15547,817,409.74706687358452
1999-02-01 00:00:00.000,15625,201,1199,267,14360,14754,201,1105,267,13583,,75,15695,821,385.00799325875028
1999-03-01 00:00:00.000,17023,302,1286,248,15791,16229,302,1192,248,15091,,817,15711,815,419.45542843159717
1999-04-01 00:00:00.000,15821,682,1223,217,15063,14941,682,1129,217,14277,,759,15811,798,389.83753352618805
1999-05-01 00:00:00.000,17208,719,1282,318,16327,16301,719,1180,318,15522,,825,15760,795,424.01392307178077
1999-06-01 00:00:00.000,17360,654,1274,347,16393,16460,654,1180,347,15587,,833,15690,796,427.75928083020193
1999-07-01 00:00:00.000,18261,515,1344,381,17051,17340,515,1246,381,16228,,876,15640,802,449.96038175347451
1999-08-01 00:00:00.000,17876,613,1316,465,16708,17014,613,1223,465,15939,,858,15949,816,440.47378479957888
1999-09-01 00:00:00.000,17011,679,1273,480,15937,16122,679,1173,480,15148,,816,16043,817,419.15974229277447
1999-10-01 00:00:00.000,17406,688,1332,440,16322,16549,688,1230,440,15567,,835,16041,816,428.89274436235564
1999-11-01 00:00:00.000,16857,644,1238,432,15831,15963,644,1135,432,15040,,809,16205,826,415.3651035112162
1999-12-01 00:00:00.000,15935,791,1217,325,15184,15056,791,1129,325,14393,,764,16180,816,392.6465518450039
2000-01-01 00:00:00.000,16239,683,1212,197,15512,15425,683,1123,197,14787,,778,15916,798,400.13726736184617
2000-02-01 00:00:00.000,16008,529,1145,169,15224,15239,529,1078,169,14521,,767,15981,811,394.44530918950881
2000-03-01 00:00:00.000,17722,6,1306,196,16225,16852,6,1213,196,15449,,849,16106,846,436.67914601802062
2000-04-01 00:00:00.000,16831,24,1300,155,15399,15973,24,1209,155,14632,,807,16347,855,414.72445021043364
2000-05-01 00:00:00.000,18656,20,1399,213,17064,17757,20,1294,213,16270,,894,16329,855,459.69338382305568
2000-06-01 00:00:00.000,18410,2,1401,193,16818,17522,2,1297,193,16034,,882,16075,844,453.63181797718988
2000-07-01 00:00:00.000,18920,599,1396,363,17759,18034,599,1297,363,16973,,907,16310,831,466.19847887715554
2000-08-01 00:00:00.000,18517,476,1389,389,17214,17600,476,1292,389,16394,,887,16383,843,456.26835271502586
2000-09-01 00:00:00.000,17395,495,1253,458,16180,16569,495,1158,458,15448,,834,16299,836,428.62169873510152
2000-10-01 00:00:00.000,18107,506,1363,540,16709,17200,506,1257,540,15908,,868,16442,848,446.16574297191625
2000-11-01 00:00:00.000,17402,601,1318,525,16161,16499,601,1212,525,15363,,834,16484,848,428.79418231608145
2000-12-01 00:00:00.000,16463,778,1237,609,15395,15687,778,1151,609,14706,,789,16555,849,405.65674195320361
2001-01-01 00:00:00.000,17313,569,1202,616,16064,16462,569,1106,616,15309,,83,16398,846,386.28037766186065
2001-02-01 00:00:00.000,15810,488,957,470,14871,15004,488,865,470,14156,,758,16247,834,352.74607351897515
2001-03-01 00:00:00.000,17296,665,1144,498,16320,16471,665,1046,498,15592,,829,16269,831,385.90108080861449
2001-04-01 00:00:00.000,16437,774,1233,463,15515,15579,774,1141,463,14749,,788,16340,833,366.73543392987955
2001-05-01 00:00:00.000,18090,629,1283,508,16929,17264,629,1183,508,16202,,867,16229,83,403.61647501317276
2001-06-01 00:00:00.000,17755,797,1268,496,16788,16911,797,1162,496,16050,,851,16059,813,396.14209584626212
2001-07-01 00:00:00.000,19506,479,1421,543,18021,18605,479,1311,543,17231,,935,16491,855,435.20967173062172
2001-08-01 00:00:00.000,18958,282,1371,569,17300,18186,282,1269,569,16629,,909,16392,859,422.98292610833221
2001-09-01 00:00:00.000,17637,507,1286,581,16277,16922,507,1196,581,15652,,845,16519,853,393.50932945314145
2001-10-01 00:00:00.000,18037,713,1326,630,16794,17371,713,1230,630,16224,,864,16430,84,402.43396129422871
2001-11-01 00:00:00.000,17096,636,1174,598,15960,16457,636,1089,598,15406,,819,16271,832,381.43876488807086
2001-12-01 00:00:00.000,16165,708,1102,547,15224,15526,708,1024,547,14663,,775,16402,834,360.66668427794019
2002-01-01 00:00:00.000,17286,670,1208,558,16191,16414,670,1109,558,15417,15818,828,16549,846,385.67796501258732
2002-02-01 00:00:00.000,16122,643,1073,478,15215,15315,643,981,478,14500,14813,773,16655,852,359.70728635502326
2002-03-01 00:00:00.000,17501,783,1203,529,16551,16717,783,1108,529,15863,16173,839,16875,858,390.47495462717171
2002-04-01 00:00:00.000,17378,733,1225,525,16362,16519,733,1123,525,15605,15893,833,16888,864,387.73063033603734
2002-05-01 00:00:00.000,19199,658,1428,578,17852,18283,658,1320,578,17044,17314,92,17011,876,428.36001679258726
2002-06-01 00:00:00.000,19341,704,1428,601,18016,18259,704,1310,601,17052,17458,927,17306,89,431.52826109617325
2002-07-01 00:00:00.000,20278,702,1410,614,18956,19189,702,1293,614,17984,18424,972,17237,882,452.43421118392024
2002-08-01 00:00:00.000,19289,721,1341,605,18064,18264,721,1231,605,17149,17573,924,17244,88,430.36805895683193
2002-09-01 00:00:00.000,18424,637,1308,628,17125,17442,637,1212,628,16240,16632,883,17320,889,411.06854260048067
2002-10-01 00:00:00.000,19246,454,1332,626,17741,18311,454,1230,626,16908,17209,922,17388,899,429.40866103391505
2002-11-01 00:00:00.000,18665,477,1309,600,17234,17767,477,1224,600,16420,16675,895,17584,909,416.44563328473572
2002-12-01 00:00:00.000,17846,691,1215,608,16713,16922,691,1128,608,15876,16168,855,18004,92,398.17244959010952
2003-01-01 00:00:00.000,18297,705,1329,578,17095,17490,705,1252,578,16365,16479,877,17507,899,408.23497199093543
2003-02-01 00:00:00.000,17297,637,1258,508,16168,16437,637,1172,508,15393,15509,829,17547,907,385.92339238821722
2003-03-01 00:00:00.000,18965,706,1409,607,17655,18051,706,1316,607,16834,17099,909,17733,913,423.13910716555125
2003-04-01 00:00:00.000,18380,547,1403,619,16905,17525,547,1327,619,16126,16371,881,17527,915,410.08683309796106
2003-05-01 00:00:00.000,19846,569,1452,805,18159,18922,569,1369,805,17318,17604,951,17416,916,442.795608795546
2003-06-01 00:00:00.000,20097,518,1486,798,18331,19057,518,1380,798,17397,17789,963,17782,936,448.39581527582823
2003-07-01 00:00:00.000,20926,792,1591,944,19183,19828,792,1478,944,18198,18637,1003,18019,937,466.89211476648165
2003-08-01 00:00:00.000,20904,424,1585,1030,18713,19789,424,1461,1030,17722,18174,1002,17897,955,466.40126001522185
2003-09-01 00:00:00.000,19799,266,1488,1051,17526,18801,266,1403,1051,16613,16993,949,17607,951,441.74696455421821
2003-10-01 00:00:00.000,20867,272,1544,1116,18479,19829,272,1439,1116,17546,17834,100,18112,976,465.57573156992129
2003-11-01 00:00:00.000,19670,583,1439,1025,17790,18701,583,1344,1025,16916,17177,943,18191,962,438.86877078546752
2003-12-01 00:00:00.000,19181,720,1389,1055,17456,18248,720,1303,1055,16609,16897,919,18200,955,427.95840835973837
2004-01-01 00:00:00.000,19495,828,1437,1037,17850,18640,828,1357,1037,17075,17285,934,18240,955,434.96424435499188
2004-02-01 00:00:00.000,18827,811,1384,977,17278,18007,811,1300,977,16542,16704,902,18162,954,420.06010918037612
2004-03-01 00:00:00.000,20141,863,1500,1027,18477,19219,863,1416,1027,17638,17828,965,18375,96,449.37752477834783
2004-04-01 00:00:00.000,19321,641,1487,951,17524,18488,641,1421,951,16758,16919,926,18191,963,431.08202950411885
2004-05-01 00:00:00.000,20902,547,1596,944,18909,19960,547,1512,944,18051,18387,1002,18333,975,466.35663685601639
2004-06-01 00:00:00.000,21427,560,1593,1057,19336,20376,560,1500,1057,18379,18754,1027,18526,986,478.07021614744349
2004-07-01 00:00:00.000,22351,607,1662,1140,20156,21276,607,1566,1140,19178,19532,1071,18859,999,498.68611570035512
2004-08-01 00:00:00.000,21292,618,1596,1049,19265,20298,618,1509,1049,18357,18619,102,18423,972,475.05815290107648
2004-09-01 00:00:00.000,20310,590,1490,1048,18362,19341,590,1415,1048,17468,17764,973,18716,989,453.14818173120722
2004-10-01 00:00:00.000,20844,536,1554,1112,18714,19841,536,1455,1112,17810,18101,999,18327,973,465.06256523905876
2004-11-01 00:00:00.000,20105,746,1455,1082,18314,19122,746,1348,1082,17438,17748,964,18509,973,448.57430791265
2004-12-01 00:00:00.000,19590,679,1486,1029,17754,18585,679,1386,1029,16849,17128,939,18527,976,437.08384441725008
2005-01-01 00:00:00.000,19928,729,1478,1030,18149,19085,729,1386,1030,17398,17521,955,18747,986,444.62515832296884
2005-02-01 00:00:00.000,18719,714,1363,901,17169,17842,714,1272,901,16383,16491,897,18712,983,417.6504585832825
2005-03-01 00:00:00.000,20452,533,1530,968,18487,19445,533,1434,968,17576,17813,98,18470,979,456.31642603479321
2005-04-01 00:00:00.000,20030,598,1504,991,18132,19080,598,1411,991,17276,17587,96,18736,993,446.90093944244609
2005-05-01 00:00:00.000,20998,849,1540,1083,19224,19868,849,1451,1083,18183,18602,1006,18440,969,468.49854849787738
2005-06-01 00:00:00.000,20745,813,1478,1096,18983,19625,813,1371,1096,17971,18315,994,18400,966,462.85371885838964
2005-07-01 00:00:00.000,21533,856,1630,1102,19657,20402,856,1542,1102,18615,18944,1032,18394,96,480.43524358533165
2005-08-01 00:00:00.000,21024,883,1572,1144,19191,19890,883,1477,1144,18152,18597,1008,18368,96,469.07864956754804
2005-09-01 00:00:00.000,20233,686,1401,1134,18383,19271,686,1319,1134,17505,17822,97,18543,977,451.4301901017979
2005-10-01 00:00:00.000,20928,836,1475,1161,19127,20068,836,1388,1161,18355,18440,1003,18956,989,466.93673792568705
2005-11-01 00:00:00.000,20292,865,1515,1119,18523,19439,865,1426,1119,17759,17831,972,18750,982,452.74657329835827
2005-12-01 00:00:00.000,20040,837,1492,1155,18230,19169,837,1411,1155,17440,17557,96,18965,996,447.12405523847332
