Province/State,Country/Region,Lat,Long,7/5/20
"","Jordan",31.24,36.51,10
"","Kazakhstan",48.0196,66.9237,188
"","Kenya",-0.0236,37.9062,160
"","Korea, South",36,128,284
"","Kuwait",29.5,47.75,368
"","Kyrgyzstan",41.2044,74.7661,88
"","Latvia",56.8796,24.6032,30
"","Lebanon",33.8547,35.8623,36
"","Liberia",6.4281,-9.4295,37
"","Liechtenstein",47.14,9.55,1
"","Lithuania",55.1694,23.8813,79
"","Luxembourg",49.8153,6.1296,110
"","Madagascar",-18.7669,46.8691,32
"","Malaysia",2.5,112.5,121
"","Maldives",3.2028,73.2207,11
"","Malta",35.9375,14.3754,9
"","Mauritania",21.0079,10.9408,130
"","Mauritius",-20.2,57.5,10
"","Mexico",23.6345,-102.5528,30639
"","Moldova",47.4116,28.3699,585
"","Monaco",43.7333,7.4167,4
"","Mongolia",46.8625,103.8467,0
"","Montenegro",42.5,19.3,14
"","Morocco",31.7917,-7.0926,235
"","Namibia",-22.9576,18.4904,0
"","Nepal",28.1667,84.25,34
"","Netherlands",52.1326,5.2913,6127
"","New Zealand",-40.9006,174.886,22
"","Nicaragua",12.8654,-85.2072,83
"","Niger",17.6078,8.0817,68
"","Nigeria",9.082,8.6753,645
"","North Macedonia",41.6086,21.7453,341
"","Norway",60.472,8.4689,251
"","Oman",21,57,213
"","Pakistan",30.3753,69.3451,4762
"","Panama",8.538,-80.7821,747
"","Papua New Guinea",-6.315,143.9555,0
"","Paraguay",-23.4425,-58.4438,20
"","Peru",-9.19,-75.0152,10589
"","Philippines",13,122,1297
"","Poland",51.9194,19.1451,1517
"","Portugal",39.3999,-8.2245,1614
"","Qatar",25.3548,51.1839,128
"","Romania",45.9432,24.9668,1750
"","Russia",60,90,10145
"","Rwanda",-1.9403,29.8739,3
"","Saint Lucia",13.9094,-60.9789,0
"","Saint Vincent and the Grenadines",12.9843,-61.2872,0
"","San Marino",43.9424,12.4578,42
"","Saudi Arabia",24,45,1916
"","Senegal",14.4974,-14.4524,133
"","Serbia",44.0165,21.0059,311
"","Seychelles",-4.6796,55.492,0
"","Singapore",1.2833,103.8333,26
"","Slovakia",48.669,19.699,28
"","Slovenia",46.1512,14.9955,111
"","Somalia",5.1521,46.1996,92
"","South Africa",-30.5595,22.9375,3199
"","Spain",40,-4,28385
"","Sri Lanka",7,81,11
"","Sudan",12.8628,30.2176,608
"","Suriname",3.9193,-56.0278,14
"","Sweden",63,16,5420
"","Switzerland",46.8182,8.2275,1965
"","Taiwan*",23.7,121,7
"","Tanzania",-6.369,34.8888,21
"","Thailand",15,101,58
"","Togo",8.6195,0.8248,15
"","Trinidad and Tobago",10.6918,-61.2225,8
"","Tunisia",34,9,50
"","Turkey",38.9637,35.2433,5225
"","Uganda",1,32,0
"","Ukraine",48.3794,31.1656,1265
"","United Arab Emirates",24,54,323
"","United Kingdom",55.3781,-3.4360000000000004,44220
"","Uruguay",-32.5228,-55.7658,28
"","US",37.0902,-95.7129,129947
"","Uzbekistan",41.3775,64.5853,34
"","Venezuela",6.4238,-66.5897,65
"","Vietnam",16,108,0
"","Zambia",-15.4167,28.2833,30
"","Zimbabwe",-20,30,8
"","Dominica",15.415,-61.371,0
"","Grenada",12.1165,-61.678999999999995,0
"","Mozambique",-18.665695,35.529562,8
"","Syria",34.802075,38.996815000000012,13
"","Timor-Leste",-8.874217,125.727539,0
"","Belize",13.1939,-59.5432,2
"","Laos",19.856270000000002,102.495496,0
"","Libya",26.3351,17.228331,32
"","West Bank and Gaza",31.9522,35.2332,16
"","Guinea-Bissau",11.8037,-15.1804,25
"","Mali",17.570692,-3.996166000000001,119
"","Saint Kitts and Nevis",17.357822,-62.782998,0
"","Kosovo",42.602636,20.902977,66
"","Burma",21.9162,95.956,6
"","MS Zaandam",0,0,2
"","Botswana",-22.3285,24.6849,1
"","Burundi",-3.3731,29.9189,1
"","Sierra Leone",8.4605550000000012,-11.779889,62
"","Malawi",-13.254307999999998,34.301525,17
"","South Sudan",6.8770000000000024,31.307,38
"","Western Sahara",24.2155,-12.8858,1
"","Sao Tome and Principe",0.18636,6.613081,13
"","Yemen",15.552726999999999,48.516388,338
"","Comoros",-11.6455,43.3333,7
"","Tajikistan",38.861034000000004,71.276093,53
"","Lesotho",-29.609988,28.233608,0
"Australian Capital Territory","Australia",-35.4735,149.0124,3
"New South Wales","Australia",-33.8688,151.2093,49
"Northern Territory","Australia",-12.4634,130.8456,0
"Queensland","Australia",-28.0167,153.4,6
"South Australia","Australia",-34.9285,138.6007,4
"Tasmania","Australia",-41.4545,145.9707,13
"Victoria","Australia",-37.8136,144.9631,22
"Western Australia","Australia",-31.9505,115.8605,9
"Alberta","Canada",53.9333,-116.5765,155
"British Columbia","Canada",49.2827,-123.1207,177
"Grand Princess","Canada",37.6489,-122.6655,0
"Manitoba","Canada",53.7609,-98.8139,7
"New Brunswick","Canada",46.5653,-66.4619,2
"Newfoundland and Labrador","Canada",53.1355,-57.6604,3
"Nova Scotia","Canada",44.681999999999995,-63.7443,63
"Ontario","Canada",51.2538,-85.3232,2743
"Prince Edward Island","Canada",46.5107,-63.4168,0
"Quebec","Canada",52.9399,-73.5491,5574
"Saskatchewan","Canada",52.9399,-106.4509,14
"Anhui","China",31.8257,117.2264,6
"Beijing","China",40.1824,116.4142,9
"Chongqing","China",30.0572,107.874,6
"Fujian","China",26.0789,117.9874,1
"Gansu","China",37.8099,101.0583,2
"Guangdong","China",23.3417,113.4244,8
"Guangxi","China",23.8298,108.7881,2
"Guizhou","China",26.8154,106.8748,2
"Hainan","China",19.1959,109.7453,6
"Hebei","China",39.549,116.1306,6
"Heilongjiang","China",47.861999999999995,127.7615,13
"Henan","China",33.882,113.61399999999999,22
"Hong Kong","China",22.3,114.2,7
"Hubei","China",30.9756,112.2707,4512
"Hunan","China",27.6104,111.7088,4
"Inner Mongolia","China",44.0935,113.9448,1
"Jiangsu","China",32.9711,119.455,0
"Jiangxi","China",27.614,115.7221,1
"Jilin","China",43.6661,126.1923,2
"Liaoning","China",41.2956,122.6085,2
"Macau","China",22.1667,113.55,0
"Ningxia","China",37.2692,106.1655,0
"Qinghai","China",35.7452,95.9956,0
"Shaanxi","China",35.1917,108.8701,3
"Shandong","China",36.3427,118.1498,7
"Shanghai","China",31.201999999999998,121.4491,7
"Shanxi","China",37.5777,112.2922,0
"Sichuan","China",30.6171,102.7103,3
"Tianjin","China",39.3054,117.323,3
"Tibet","China",31.6927,88.0924,0
"Xinjiang","China",41.1129,85.2401,3
"Yunnan","China",24.974,101.48700000000001,2
"Zhejiang","China",29.1832,120.0934,1
"Faroe Islands","Denmark",61.8926,-6.9118,0
"Greenland","Denmark",71.7069,-42.6043,0
"French Guiana","France",3.9339,-53.1258,16
"French Polynesia","France",-17.6797,149.4068,0
"Guadeloupe","France",16.25,-61.5833,14
"Mayotte","France",-12.8275,45.1662,34
"New Caledonia","France",-20.9043,165.618,0
"Reunion","France",-21.1351,55.2471,2
"Saint Barthelemy","France",17.9,-62.8333,0
"St Martin","France",18.0708,-63.0501,3
"Martinique","France",14.6415,-61.0242,14
"Aruba","Netherlands",12.5186,-70.0358,3
"Curacao","Netherlands",12.1696,-68.99,1
"Sint Maarten","Netherlands",18.0425,-63.0548,15
"Bermuda","United Kingdom",32.3078,-64.7505,9
"Cayman Islands","United Kingdom",19.3133,-81.2546,1
"Channel Islands","United Kingdom",49.3723,-2.3644,47
"Gibraltar","United Kingdom",36.1408,-5.3536,0
"Isle of Man","United Kingdom",54.2361,-4.5481,24
"Montserrat","United Kingdom",16.7425,-62.1874,1
"Diamond Princess","Canada",0,0,1
"Northwest Territories","Canada",64.8255,-124.8457,0
"Yukon","Canada",64.2823,-135,0
"Anguilla","United Kingdom",18.2206,-63.0686,0
"British Virgin Islands","United Kingdom",18.4207,-64.64,1
"Turks and Caicos Islands","United Kingdom",21.69400000000001,-71.7979,2
"Bonaire, Sint Eustatius and Saba","Netherlands",12.1784,-68.2385,0
"Falkland Islands (Malvinas)","United Kingdom",-51.7963,-59.5236,0
"Saint Pierre and Miquelon","France",46.8852,-56.3159,0
