Province/State,Country/Region,Lat,Long,7/5/20
"","Germany",51,9,197523
"","Ghana",7.9465,-1.0232,20085
"","Greece",39.0742,21.8243,3519
"","Guatemala",15.7835,-90.2308,23248
"","Guinea",9.9456,-9.6966,5610
"","Guyana",5,-58.75,273
"","Haiti",18.9712,-72.2852,6333
"","Holy See",41.9029,12.4534,12
"","Honduras",15.2,-86.2419,23943
"","Hungary",47.1625,19.5033,4183
"","Iceland",64.9631,-19.0208,1863
"","India",21,78,697413
"","Indonesia",-0.7893,113.9213,63749
"","Iran",32,53,240438
"","Iraq",33,44,60479
"","Ireland",53.1424,-7.6921,25527
"","Israel",31,35,29958
"","Italy",43,12,241611
"","Jamaica",18.1096,-77.2975,732
"","Japan",36,138,19668
"","Jordan",31.24,36.51,1164
"","Kazakhstan",48.0196,66.9237,48574
"","Kenya",-0.0236,37.9062,7886
"","Korea, South",36,128,13137
"","Kuwait",29.5,47.75,49941
"","Kyrgyzstan",41.2044,74.7661,7377
"","Latvia",56.8796,24.6032,1124
"","Lebanon",33.8547,35.8623,1873
"","Liberia",6.4281,-9.4295,874
"","Liechtenstein",47.14,9.55,83
"","Lithuania",55.1694,23.8813,1836
"","Luxembourg",49.8153,6.1296,4522
"","Madagascar",-18.7669,46.8691,2941
"","Malaysia",2.5,112.5,8663
"","Maldives",3.2028,73.2207,2468
"","Malta",35.9375,14.3754,672
"","Mauritania",21.0079,10.9408,4879
"","Mauritius",-20.2,57.5,341
"","Mexico",23.6345,-102.5528,256848
"","Moldova",47.4116,28.3699,17814
"","Monaco",43.7333,7.4167,108
"","Mongolia",46.8625,103.8467,220
"","Montenegro",42.5,19.3,781
"","Morocco",31.7917,-7.0926,14215
"","Namibia",-22.9576,18.4904,412
"","Nepal",28.1667,84.25,15784
"","Netherlands",52.1326,5.2913,50621
"","New Zealand",-40.9006,174.886,1534
"","Nicaragua",12.8654,-85.2072,2519
"","Niger",17.6078,8.0817,1088
"","Nigeria",9.082,8.6753,28711
"","North Macedonia",41.6086,21.7453,7046
"","Norway",60.472,8.4689,8930
"","Oman",21,57,46178
"","Pakistan",30.3753,69.3451,231818
"","Panama",8.538,-80.7821,38149
"","Papua New Guinea",-6.315,143.9555,11
"","Paraguay",-23.4425,-58.4438,2427
"","Peru",-9.19,-75.0152,302718
"","Philippines",13,122,44254
"","Poland",51.9194,19.1451,35950
"","Portugal",39.3999,-8.2245,43897
"","Qatar",25.3548,51.1839,99799
"","Romania",45.9432,24.9668,28973
"","Russia",60,90,680283
"","Rwanda",-1.9403,29.8739,1105
"","Saint Lucia",13.9094,-60.9789,22
"","Saint Vincent and the Grenadines",12.9843,-61.2872,29
"","San Marino",43.9424,12.4578,698
"","Saudi Arabia",24,45,209509
"","Senegal",14.4974,-14.4524,7400
"","Serbia",44.0165,21.0059,16131
"","Seychelles",-4.6796,55.492,81
"","Singapore",1.2833,103.8333,44800
"","Slovakia",48.669,19.699,1764
"","Slovenia",46.1512,14.9955,1700
"","Somalia",5.1521,46.1996,2997
"","South Africa",-30.5595,22.9375,196750
"","Spain",40,-4,250545
"","Sri Lanka",7,81,2076
"","Sudan",12.8628,30.2176,9767
"","Suriname",3.9193,-56.0278,594
"","Sweden",63,16,71419
"","Switzerland",46.8182,8.2275,32268
"","Taiwan*",23.7,121,449
"","Tanzania",-6.369,34.8888,509
"","Thailand",15,101,3190
"","Togo",8.6195,0.8248,680
"","Trinidad and Tobago",10.6918,-61.2225,133
"","Tunisia",34,9,1188
"","Turkey",38.9637,35.2433,205758
"","Uganda",1,32,939
"","Ukraine",48.3794,31.1656,49468
"","United Arab Emirates",24,54,51540
"","United Kingdom",55.3781,-3.4360000000000004,285416
"","Uruguay",-32.5228,-55.7658,956
"","US",37.0902,-95.7129,2888635
"","Uzbekistan",41.3775,64.5853,10020
"","Venezuela",6.4238,-66.5897,7169
"","Vietnam",16,108,355
"","Zambia",-15.4167,28.2833,1632
"","Zimbabwe",-20,30,716
"","Dominica",15.415,-61.371,18
"","Grenada",12.1165,-61.678999999999995,23
"","Mozambique",-18.665695,35.529562,987
"","Syria",34.802075,38.996815000000012,358
"","Timor-Leste",-8.874217,125.727539,24
"","Belize",13.1939,-59.5432,30
"","Laos",19.856270000000002,102.495496,19
"","Libya",26.3351,17.228331,1046
"","West Bank and Gaza",31.9522,35.2332,4277
"","Guinea-Bissau",11.8037,-15.1804,1765
"","Mali",17.570692,-3.996166000000001,2330
"","Saint Kitts and Nevis",17.357822,-62.782998,16
"","Kosovo",42.602636,20.902977,3356
"","Burma",21.9162,95.956,313
"","MS Zaandam",0,0,9
"","Botswana",-22.3285,24.6849,277
"","Burundi",-3.3731,29.9189,191
"","Sierra Leone",8.4605550000000012,-11.779889,1542
"","Malawi",-13.254307999999998,34.301525,1613
"","South Sudan",6.8770000000000024,31.307,2021
"","Western Sahara",24.2155,-12.8858,10
"","Sao Tome and Principe",0.18636,6.613081,720
"","Yemen",15.552726999999999,48.516388,1265
"","Comoros",-11.6455,43.3333,311
"","Tajikistan",38.861034000000004,71.276093,6213
"","Lesotho",-29.609988,28.233608,79
"Australian Capital Territory","Australia",-35.4735,149.0124,108
"New South Wales","Australia",-33.8688,151.2093,3429
"Northern Territory","Australia",-12.4634,130.8456,30
"Queensland","Australia",-28.0167,153.4,1067
"South Australia","Australia",-34.9285,138.6007,443
"Tasmania","Australia",-41.4545,145.9707,228
"Victoria","Australia",-37.8136,144.9631,2660
"Western Australia","Australia",-31.9505,115.8605,618
"Alberta","Canada",53.9333,-116.5765,8259
"British Columbia","Canada",49.2827,-123.1207,2947
"Grand Princess","Canada",37.6489,-122.6655,13
"Manitoba","Canada",53.7609,-98.8139,325
"New Brunswick","Canada",46.5653,-66.4619,165
"Newfoundland and Labrador","Canada",53.1355,-57.6604,261
"Nova Scotia","Canada",44.681999999999995,-63.7443,1064
"Ontario","Canada",51.2538,-85.3232,37653
"Prince Edward Island","Canada",46.5107,-63.4168,32
"Quebec","Canada",52.9399,-73.5491,55863
"Saskatchewan","Canada",52.9399,-106.4509,796
"Anhui","China",31.8257,117.2264,991
"Beijing","China",40.1824,116.4142,929
"Chongqing","China",30.0572,107.874,582
"Fujian","China",26.0789,117.9874,363
"Gansu","China",37.8099,101.0583,167
"Guangdong","China",23.3417,113.4244,1643
"Guangxi","China",23.8298,108.7881,254
"Guizhou","China",26.8154,106.8748,147
"Hainan","China",19.1959,109.7453,171
"Hebei","China",39.549,116.1306,349
"Heilongjiang","China",47.861999999999995,127.7615,947
"Henan","China",33.882,113.61399999999999,1276
"Hong Kong","China",22.3,114.2,1268
"Hubei","China",30.9756,112.2707,68135
"Hunan","China",27.6104,111.7088,1019
"Inner Mongolia","China",44.0935,113.9448,239
"Jiangsu","China",32.9711,119.455,654
"Jiangxi","China",27.614,115.7221,932
"Jilin","China",43.6661,126.1923,155
"Liaoning","China",41.2956,122.6085,157
"Macau","China",22.1667,113.55,46
"Ningxia","China",37.2692,106.1655,75
"Qinghai","China",35.7452,95.9956,18
"Shaanxi","China",35.1917,108.8701,321
"Shandong","China",36.3427,118.1498,792
"Shanghai","China",31.201999999999998,121.4491,716
"Shanxi","China",37.5777,112.2922,198
"Sichuan","China",30.6171,102.7103,596
"Tianjin","China",39.3054,117.323,199
"Tibet","China",31.6927,88.0924,1
"Xinjiang","China",41.1129,85.2401,76
"Yunnan","China",24.974,101.48700000000001,186
"Zhejiang","China",29.1832,120.0934,1269
"Faroe Islands","Denmark",61.8926,-6.9118,188
"Greenland","Denmark",71.7069,-42.6043,13
"French Guiana","France",3.9339,-53.1258,4913
"French Polynesia","France",-17.6797,149.4068,62
"Guadeloupe","France",16.25,-61.5833,184
"Mayotte","France",-12.8275,45.1662,2661
"New Caledonia","France",-20.9043,165.618,21
"Reunion","France",-21.1351,55.2471,547
"Saint Barthelemy","France",17.9,-62.8333,6
"St Martin","France",18.0708,-63.0501,43
"Martinique","France",14.6415,-61.0242,249
"Aruba","Netherlands",12.5186,-70.0358,105
"Curacao","Netherlands",12.1696,-68.99,23
"Sint Maarten","Netherlands",18.0425,-63.0548,78
"Bermuda","United Kingdom",32.3078,-64.7505,146
"Cayman Islands","United Kingdom",19.3133,-81.2546,201
"Channel Islands","United Kingdom",49.3723,-2.3644,571
"Gibraltar","United Kingdom",36.1408,-5.3536,179
"Isle of Man","United Kingdom",54.2361,-4.5481,336
"Montserrat","United Kingdom",16.7425,-62.1874,11
"Diamond Princess","Canada",0,0,0
"Northwest Territories","Canada",64.8255,-124.8457,5
"Yukon","Canada",64.2823,-135,11
"Anguilla","United Kingdom",18.2206,-63.0686,3
"British Virgin Islands","United Kingdom",18.4207,-64.64,8
"Turks and Caicos Islands","United Kingdom",21.69400000000001,-71.7979,47
"Bonaire, Sint Eustatius and Saba","Netherlands",12.1784,-68.2385,7
"Falkland Islands (Malvinas)","United Kingdom",-51.7963,-59.5236,13
"Saint Pierre and Miquelon","France",46.8852,-56.3159,1
