Segment Id,Segment Name,Segment Query,Segment Query Name
eb92ba33-3b51-e911-a834-000d3a4e6cff,sc12troggerinsights,"INTERACTION(TriggerActivityContactProcessed, TriggerActivityContactProcessed_Contact).FILTER(CustomerJourneyId == '11979029-3951-e911-a834-000d3a4e6cff' &&
		ActivityId == '83d936a7-5878-c2a5-adbe-a0a98ca42ebd').HAVING(COUNT() > 0)",sc12troggerinsights
68d1a69d-ad4f-e911-a833-000d3a4e6cff,TC1212622_DynamicSegment_spEimY,"PROFILE(contact, contact_1).FILTER(contact_1.address1_city == 'SuwonTQQYLr')",TC1212622_DynamicSegment_spEimY
59e354d1-6651-e911-a834-000d3a4e6cff,SEg QC,,SEg_QC_ebe56f85
23c295bb-ad4f-e911-a833-000d3a4e6cff,TC407946_DynamicSegment_SMSD1D,"PROFILE(contact, contact_1).FILTER(contact_1.fullname == 'TC407946contact1FirstName_vgKYTu TC407946contact1LastName_zH0yX1' || contact_1.fullname == 'TC407946contact2FirstName_MGiTHz TC407946contact2LastName_Dy34Mx')",TC407946_DynamicSegment_SMSD1D
5039b545-4852-e911-a835-000d3a4e6cff,perf10k,"PROFILE(contact, contact_1).FILTER(contact_1.lastname == 'perf10k')",perf10k
bb3f9f58-c94f-e911-a82a-000d3a4e6483,Rate Change Segment,"PROFILE(new_communication_details, new_communication_details_1).FILTER(new_communication_details_1.new_rateb == 100).TRAVERSE(new_communication_details_contact_new_relationid, contact_1)",Rate_Change_Segment_fdb043e2
6c8ae981-6950-e911-a82a-000d3a4e6483,gdpr_child,"PROFILE(contact, contact_1).FILTER(contact_1.msgdpr_gdprischild == true)",gdpr_child
5fc6bdaf-aa4f-e911-a833-000d3a4e6cff,stat,"PROFILE(contact, contact_1).FILTER(contact_1.firstname STARTSWITH 'S')",stat
3a9ca3db-7650-e911-a834-000d3a4e6cff,UnSubscribe Segment,"INTERACTION(SegmentUnsubscribed, SegmentUnsubscribed_Contact).FILTER(SegmentId == '31194aa1-7350-e911-a82a-000d3a4e6483').HAVING(COUNT() > 0)",UnSubscribe_Segment_a207ea19
40e24076-c14f-e911-a82a-000d3a4e6483,SegmentTestBoost,"INTERACTION(EmailSent, EmailSent_contact).FILTER(CustomerJourneyId == 'b203c0ef-b24f-e911-a82a-000d3a4e6483' && ActivityId == 'c89e870c-f628-5b8b-39da-eba04b6efdb5').HAVING(COUNT() > 0)",SegmentTestBoost
