CRP,ID,Year,Title,Stage,Type,Contribution,Leader,NextUsers,Geographical scope,Country,Region,link,Index
A4NH,368,2018,Methodology for dietary gap analysis at national level,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,,OTHER,,Multi-national,NG,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=368&phaseID=59,837
CCAFS,417,2018,Participatory Integrated Climate Services for Agriculture (PICSA),Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,Partial Contribution,OTHER,Government,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=417&phaseID=56,355
Rice,606,2018,Rice Crop Manager,Stage 4: uptake by next user (USE),Production systems and Management practices,Lead Contribution,IRRI,CBOs (Community based organizations) and farmers' groups,Multi-national,IN,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=606&phaseID=189,501
BigData,1095,2019,Agronomy Ontology,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,BIOVERSITY,,Global,,,https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1095&phaseID=110,1066
RTB,1553,2019,Tumaini: an AI-powered banana diseases and pest detection App,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,OTHER,,National,UG,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1553&phaseID=262,1243
RTB,915,2018,Impact network analysis (INA) to understand and describe RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,UF,,Multi-national,KE,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=915&phaseID=259,1136
GLDC,1654,2019,Plant growth promoting microorganisms (PGP),Stage 2: successful piloting (PIL - end of piloting phase),Production systems and Management practices,,ICRISAT,,National,IN,,https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1654&phaseID=282,1300
Livestock,1089,2019,List of top performing Napier grass genotypes identified for broader testing across systems and agroecologies,Stage 1: discovery/proof of concept (PC - end of research phase),Genetic (varieties and breeds),,ILRI,,Global,,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=1089&phaseID=105,1032
A4NH,1331,2019,Underutilised food species database,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,BIOVERSITY,Government,Multi-national,LK,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1331&phaseID=104,985
RTB,913,2018,Multi-stakeholder framework for intervening in RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,CIP,,Multi-national,PE,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=913&phaseID=259,1127
Livestock,753,2018,Market assessment approaches for adoption of porcine cystycercosis vaccine in Uganda,Stage 3: available/ ready for uptake (AV),Social Science,Partial Contribution,GALVmed,,National,UG,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=753&phaseID=60,392
A4NH,1379,2019,TMS 09/0151: variety of biofortified vitamin A cassava,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,"Crops Research Institute, Ghana",,National,GH,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1379&phaseID=104,1002
Livestock,665,2018,Business-to-business fora to boost livestock trade in Northern Kenya,Stage 2: successful piloting (PIL - end of piloting phase),Social Science,Lead Contribution,ILRI,,Sub-national,KE,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=665&phaseID=60,50
Rice,656,2018,Rice biomass software for drone image analysis,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Lead Contribution,CIAT,,Global,,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=656&phaseID=189,680
CCAFS,289,2018,Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response,Stage 4: uptake by next user (USE),Social Science,Lead Contribution,CIAT,Foundations and Financial Institutions,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56,635
BigData,724,2018,CGIAR Core Metadata Schema version 2,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Lead Contribution,BIOVERSITY,,Global,,,https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=724&phaseID=65,675
Rice,675,2018,New Quantitative Trait Loci/genes for the control of rice hoja blanca virus disease in Latin America,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),Lead Contribution,CIAT,,Regional,,South America,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=675&phaseID=189,72
Rice,600,2018,Alternate wetting and drying (AWD) in Africa,Stage 3: available/ ready for uptake (AV),Production systems and Management practices,Lead Contribution,AfricaRice,,Multi-national,MG,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=600&phaseID=189,469
Rice,602,2018,Alternate wetting and drying (AWD) in Asia,Stage 4: uptake by next user (USE),Production systems and Management practices,Lead Contribution,IRRI,Development organizations,Multi-national,PH,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=602&phaseID=189,488
A4NH,379,2018,Methdology for stakeholder-led identification of platforms for healthier diets and the role of platforms as mechanisms to support the scaling and anchoring of food system transformations for healthier diets,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,OTHER,,Multi-national,VN,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=379&phaseID=59,856
BigData,1101,2019,Extension of SDG Interface Ontology with the concepts of  the CGIAR Strategic Research Framework,Stage 1: discovery/proof of concept (PC - end of research phase),Other,,BIOVERSITY,,Global,,,https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=1101&phaseID=110,1068
CCAFS,417,2018,Participatory Integrated Climate Services for Agriculture (PICSA),Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,Partial Contribution,OTHER,Government,Regional,,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=417&phaseID=56,248
Livestock,427,2018,Artistic decoration for the general public illustrating the importance of genetic diversity,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Sole Contribution,OTHER,CBOs (Community based organizations) and farmers' groups,National,ET,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=427&phaseID=60,289
PIM,319,2018,Community seedbanks as platforms for building socio-ecological resilience,Stage 2: successful piloting (PIL - end of piloting phase),Production systems and Management practices,,OTHER,,Multi-national,GT,,https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=319&phaseID=57,775
A4NH,379,2018,Methdology for stakeholder-led identification of platforms for healthier diets and the role of platforms as mechanisms to support the scaling and anchoring of food system transformations for healthier diets,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,OTHER,,Multi-national,ET,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=379&phaseID=59,162
A4NH,666,2018,Integrated and participatory nutrition and food safety risk assessment for wet markets,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,ILRI,,Global,,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=666&phaseID=59,421
CCAFS,429,2018,"Climate Smart Agriculture (CSA) monitoring framework to track adoption, outcomes, synergies and tradeoffs at household and farm level",Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Sole Contribution,CIAT,,Global,,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=429&phaseID=56,599
A4NH,370,2019,Methodology to analyse national food systems based on secondary reports and data,Stage 3: available/ ready for uptake (AV),Social Science,,OTHER,,Multi-national,BD,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=370&phaseID=104,947
A4NH,365,2018,"Using data from the Living Standards Measurement Study (LSMS), (non-food consumption data) to assess dietary intake and monitor dietary changes",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Lead Contribution,OTHER,,Multi-national,VN,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=365&phaseID=59,650
PIM,1126,2019,Methods to measure and classify employment in the agri-food system,Stage 2: successful piloting (PIL - end of piloting phase),Social Science,,IFPRI,,Regional,,Sub-Saharan Africa,https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=1126&phaseID=102,913
A4NH,729,2018,[updated from 2017] Aflasafe BF01 product for Burkina Faso and potentially 10 other countires in the Sahel,Stage 4: uptake by next user (USE),Production systems and Management practices,Lead Contribution,OTHER,Private sector,National,BF,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=729&phaseID=59,313
Livestock,241,2018,"CLEANED-R (Comprehensive Livestock Environmental Assessment for Improved Nutrition, a Secured Environment and Sustainable Development along Livestock and Fish Value Chains) tool",Stage 3: available/ ready for uptake (AV),Production systems and Management practices,Lead Contribution,ILRI,,Multi-national,TZ,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=241&phaseID=60,45
Rice,602,2018,Alternate wetting and drying (AWD) in Asia,Stage 4: uptake by next user (USE),Production systems and Management practices,Lead Contribution,IRRI,Other,Multi-national,VN,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=602&phaseID=189,475
A4NH,366,2018,"Food system assessment in local settings (transects, food flow in Ethiopia, etc)",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Lead Contribution,WUR,,National,ET,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=366&phaseID=59,41
RTB,1553,2019,Tumaini: an AI-powered banana diseases and pest detection App,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,OTHER,,National,CO,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1553&phaseID=262,1233
A4NH,400,2018,Vit A Maize variety: MH49A,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,HarvestPlus,,National,MW,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=400&phaseID=59,584
A4NH,380,2019,Methodology to conduct food system policy analysis,Stage 2: successful piloting (PIL - end of piloting phase),Social Science,,WUR,,Multi-national,BD,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=380&phaseID=104,958
Maize,582,2018,Scale-appropriate mechanization innovations (Multiple),Stage 3: available/ ready for uptake (AV),Production systems and Management practices,Partial Contribution,iDE,,Regional,,South-Eastern Asia,https://marlo.cgiar.org/summaries/Maize/projectInnovationSummary.do?innovationID=582&phaseID=63,564
Livestock,456,2018,New Megathyrsus hybrids,Stage 1: discovery/proof of concept (PC - end of research phase),Genetic (varieties and breeds),Partial Contribution,CIAT,,Global,,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=456&phaseID=60,735
GLDC,1643,2019,Groundnut cultivar: ICGV 15090 (Girnar 5),Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,ICRISAT,,National,IN,,https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1643&phaseID=282,1283
FTA,1518,2019,New tools for crop wild relative conservation planning,Stage 3: available/ ready for uptake (AV),Other,,BIOVERSITY,,Global,,,https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=1518&phaseID=106,1047
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,TZ,Eastern Africa,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1190
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,GH,Eastern Africa,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1199
A4NH,362,2018,"Methodology for profiling indigenous food systems (elements, sustainability and resilience)",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,BIOVERSITY,,Multi-national,PE,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=362&phaseID=59,148
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,MW,Middle Africa,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1184
A4NH,362,2018,"Methodology for profiling indigenous food systems (elements, sustainability and resilience)",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,BIOVERSITY,,Multi-national,FI,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=362&phaseID=59,143
A4NH,1331,2019,Underutilised food species database,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,BIOVERSITY,Development organizations,Multi-national,KE,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1331&phaseID=104,974
RTB,909,2018,Management practice based on Single Diseased Stem Removal (SDSR) for quick and effective banana recovery in Xanthomonas wilt (XW) affected regions,Stage 4: uptake by next user (USE),Production systems and Management practices,,BIOVERSITY,,Multi-national,BI,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=909&phaseID=259,1108
WLE,1334,2019,"Ethiopian Ministry of Agriculture’s first data sharing policy put in place, showing benefits of data analytics on food security and landscape health issues including fertilizer dosage",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,CIAT,,National,ET,,https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1334&phaseID=103,934
PIM,461,2019,Global Foresight for Food and Agriculture Tool,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,IFPRI,,Global,,,https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=461&phaseID=102,906
Rice,657,2018,Hoja blanca disease screening system,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,Lead Contribution,CIAT,,Multi-national,PE,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=657&phaseID=189,694
Livestock,450,2018,Mobile Near Infrared Spectroscopy (NIRS) using improved algorithms,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,Partial Contribution,ILRI,,Global,,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=450&phaseID=60,375
CCAFS,419,2018,Information and Communications Technology (ICT)-based App—“YeZaRe”—for disseminating climate and market information to smallholder farmers developed and is being tested in northern and southern Ethiopian highlands through a public-private partnership,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Partial Contribution,Echnoserve,,National,ET,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=419&phaseID=56,92
A4NH,1390,2019,Moti Shakti (GHB 1225): variety of biofortified iron pearl millet,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,JAU,,National,IN,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1390&phaseID=104,1013
GLDC,1634,2019,Chickpea cultivar: ICCV 08112 (BG 3062),Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,ICRISAT,,National,IN,,https://marlo.cgiar.org/summaries/GLDC/projectInnovationSummary.do?innovationID=1634&phaseID=282,1273
Livestock,584,2018,Business models for three selected best-bet interventions for small ruminant value chains in Ethiopia,Stage 3: available/ ready for uptake (AV),Social Science,,ICARDA,,National,ET,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=584&phaseID=60,432
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,NG,South America,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1202
PIM,339,2018,Gender-sensitive LINK methodology for making business models more gender inclusive,Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,,Swisscontact,CBOs (Community based organizations) and farmers' groups,National,HN,,https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=339&phaseID=57,409
FTA,768,2018,Ensemble species distribution modelling with transformed suitability values,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Sole Contribution,ICRAF,,Global,,,https://marlo.cgiar.org/summaries/FTA/projectInnovationSummary.do?innovationID=768&phaseID=61,602
Rice,619,2018,Novel rice straw mushroom production Business Models (Training Manual),Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Lead Contribution,IRRI,,National,VN,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=619&phaseID=189,535
Rice,874,2019,One rice variety available for seeds production and commercialization in Guyana,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),Partial Contribution,OTHER,,National,GY,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=874&phaseID=192,767
RTB,913,2018,Multi-stakeholder framework for intervening in RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,CIP,,Multi-national,TZ,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=913&phaseID=259,1128
CCAFS,528,2018,Climate tipping point game for Conference of the Parties (COP) delegates,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Partial Contribution,Purdue University,,Global,,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=528&phaseID=56,553
WLE,1498,2019,Cropping system sustainability tool 'CROSST' is an Excel-based tool assessing both agro-environmental and socio-economic impacts of Green Manure Cover Crop (GMCC) technologies,Stage 3: available/ ready for uptake (AV),Production systems and Management practices,,CIAT,,Regional,,Sub-Saharan Africa,https://marlo.cgiar.org/summaries/WLE/projectInnovationSummary.do?innovationID=1498&phaseID=103,938
CCAFS,417,2018,Participatory Integrated Climate Services for Agriculture (PICSA),Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,Partial Contribution,OTHER,CBOs (Community based organizations) and farmers' groups,Regional,,Sub-Saharan Africa,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=417&phaseID=56,719
CCAFS,299,2018,Climate Smart Agriculture investment plans,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Sole Contribution,CIAT,,Global,,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=299&phaseID=56,234
Livestock,450,2018,Mobile Near Infrared Spectroscopy (NIRS) using improved algorithms,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,Partial Contribution,ILRI,,Global,,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=450&phaseID=60,374
BigData,706,2018,Inspire Challenge Award: Using IVR to connect farmers to market,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Partial Contribution,CIMMYT,,National,NP,,https://marlo.cgiar.org/summaries/BigData/projectInnovationSummary.do?innovationID=706&phaseID=65,396
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,PE,Eastern Africa,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1222
CCAFS,289,2018,Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response,Stage 4: uptake by next user (USE),Social Science,Lead Contribution,CIAT,Government,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56,17
RTB,913,2018,Multi-stakeholder framework for intervening in RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,CIP,,Multi-national,MW,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=913&phaseID=259,1123
PIM,381,2018,Women's Empowerment in Agriculture Index for Value chains (WEAI4VC),Stage 1: discovery/proof of concept (PC - end of research phase),Social Science,,IFPRI,,Multi-national,PH,,https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=381&phaseID=57,129
Wheat,513,2018,Integrated weed management (IWM),Stage 2: successful piloting (PIL - end of piloting phase),Production systems and Management practices,Partial Contribution,BRRI,,Regional,,Southern Asia,https://marlo.cgiar.org/summaries/Wheat/projectInnovationSummary.do?innovationID=513&phaseID=62,557
A4NH,395,2018,Vit A Maize variety: MH46A,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,HarvestPlus,,National,MW,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=395&phaseID=59,579
CCAFS,1310,2019,Agriculture and Food Security Maprooms,Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,,Columbia University,Other,Multi-national,GT,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=1310&phaseID=101,896
CCAFS,360,2018,Pronosticos AClimateColombia: A system for the sustainable provision of agro-climatic information for agricultural adaptation in Colombia,Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,Partial Contribution,CIAT,Multilateral,National,CO,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=360&phaseID=56,242
CCAFS,289,2018,Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response,Stage 4: uptake by next user (USE),Social Science,Lead Contribution,CIAT,Private sector,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56,628
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,TZ,Western Africa,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1188
CCAFS,275,2018,Climate-Related Risk Maps and Adaptation Plans (Climate Smart MAP) for Rice Production in Vietnam’s Mekong River Delta,Stage 4: uptake by next user (USE),Production systems and Management practices,Sole Contribution,MARD,Development organizations,National,VN,,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=275&phaseID=56,592
Rice,657,2018,Hoja blanca disease screening system,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,Lead Contribution,CIAT,,Multi-national,NI,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=657&phaseID=189,66
A4NH,385,2018,Zinc Maize variety: BIO-MZn01,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),,HarvestPlus,,National,CO,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=385&phaseID=59,571
CCAFS,289,2018,Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response,Stage 4: uptake by next user (USE),Social Science,Lead Contribution,CIAT,CBOs (Community based organizations) and farmers' groups,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56,15
CCAFS,417,2018,Participatory Integrated Climate Services for Agriculture (PICSA),Stage 4: uptake by next user (USE),Research and Communication Methodologies and Tools,Partial Contribution,OTHER,CBOs (Community based organizations) and farmers' groups,Regional,,Sub-Saharan Africa,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=417&phaseID=56,359
RTB,1550,2019,Multi-stakeholder framework for intervening in RTB seed systems,Stage 3: available/ ready for uptake (AV),Social Science,,CIP,,Regional,EC,South America,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=1550&phaseID=262,1210
Livestock,427,2018,Artistic decoration for the general public illustrating the importance of genetic diversity,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,Sole Contribution,OTHER,Foundations and Financial Institutions,National,ET,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=427&phaseID=60,292
