School Name,Subjects,ID
QUEENSTOWN PRIMARY SCHOOL,MALAY,232
HOUGANG PRIMARY SCHOOL,TAMIL,132
TAMPINES SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION,287
ZHANGDE PRIMARY SCHOOL,TAMIL,342
UNITY SECONDARY SCHOOL,MUSIC,302
HUAMIN PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE,135
CHIJ OUR LADY OF GOOD COUNSEL,MATHEMATICS,57
FAIRFIELD METHODIST SCHOOL (PRIMARY),FOUNDATION ENGLISH LANGUAGE,99
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,CHINESE,259
SENGKANG GREEN PRIMARY SCHOOL,ART,254
BENDEMEER PRIMARY SCHOOL,CHINESE,29
CHANGKAT CHANGI SECONDARY SCHOOL,PHYSICAL EDUCATION,52
STAMFORD PRIMARY SCHOOL,SCIENCE,282
PALM VIEW PRIMARY SCHOOL,SOCIAL STUDIES,206
ZHENGHUA PRIMARY SCHOOL,SOCIAL STUDIES,343
RIVERVALE PRIMARY SCHOOL,FOUNDATION CHINESE,245
NORTHOAKS PRIMARY SCHOOL,MATHEMATICS,199
NORTH VIEW PRIMARY SCHOOL,FOUNDATION CHINESE,192
HUAMIN PRIMARY SCHOOL,CHINESE,135
YISHUN INNOVA JUNIOR COLLEGE,TAMIL B,331
ROSYTH SCHOOL,HIGHER MALAY,246
KENT RIDGE SECONDARY SCHOOL,CHINESE B,151
NAN CHIAU HIGH SCHOOL,PHYSICAL EDUCATION,177
CHIJ (KATONG) PRIMARY,CO-CURRICULAR ACTIVITIES,54
CASUARINA PRIMARY SCHOOL,MALAY,47
ZHONGHUA SECONDARY SCHOOL,PHYSICAL EDUCATION,346
YISHUN PRIMARY SCHOOL,MUSIC,332
PUNGGOL PRIMARY SCHOOL,MATHEMATICS,227
CHIJ OUR LADY QUEEN OF PEACE,SCIENCE,59
HOLY INNOCENTS' PRIMARY SCHOOL,MUSIC,129
FUCHUN PRIMARY SCHOOL,FOUNDATION TAMIL,108
ANGLO-CHINESE JUNIOR COLLEGE,H2 KNOWLEDGE & INQUIRY,14
DAZHONG PRIMARY SCHOOL,FOUNDATION CHINESE,83
MILLENNIA INSTITUTE,H1 BIOLOGY,174
YIO CHU KANG PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE,329
VICTORIA SCHOOL,ART,305
AI TONG SCHOOL,PHYSICAL EDUCATION,5
ANGLO-CHINESE JUNIOR COLLEGE,H1 CHEMISTRY,14
TAMPINES PRIMARY SCHOOL,FOUNDATION CHINESE,286
BEDOK GREEN SECONDARY SCHOOL,MUSIC,26
HORIZON PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE,131
DAMAI PRIMARY SCHOOL,TAMIL,81
MAYFLOWER SECONDARY SCHOOL,CHINESE B,168
OPERA ESTATE PRIMARY SCHOOL,HIGHER TAMIL,203
TEMASEK PRIMARY SCHOOL,HIGHER TAMIL,298
JURONG PRIMARY SCHOOL,PHYSICAL EDUCATION,143
GEYLANG METHODIST SCHOOL (PRIMARY),ART,114
YANGZHENG PRIMARY SCHOOL,ENGLISH LANGUAGE,327
PIONEER PRIMARY SCHOOL,PHYSICAL EDUCATION,221
NORTH SPRING PRIMARY SCHOOL,MATHEMATICS,191
TAMPINES SECONDARY SCHOOL,PHYSICAL EDUCATION,287
DE LA SALLE SCHOOL,HIGHER CHINESE,84
CHIJ OUR LADY QUEEN OF PEACE,MATHEMATICS,59
