School Name,Filtered by School Level,CCA Group,CCA General,CCA Customized,ID
"DUNMAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",88
"EAST SPRING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",90
"EDGEFIELD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",92
"FUCHUN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",109
"GUANGYANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",123
"HOUGANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",133
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",141
"JURONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",144
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",146
"JURONGVILLE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",147
"JUYING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",149
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",6
"ANDERSON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",8
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",11
"ANGLO-CHINESE SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",18
"BEACON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",23
"BLANGAH RISE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",31
"BUKIT PANJANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",39
"BUKIT TIMAH PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",40
"CHUA CHU KANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",68
"CLEMENTI PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",72
"WOODGROVE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",316
"XINGNAN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",323
"XINMIN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",324
"YANGZHENG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",327
"YUHUA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",337
"RIVER VALLEY PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",242
"RIVERSIDE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",243
"SENGKANG GREEN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",254
"SHUQUN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",257
"SI LING PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",258
"SPRINGDALE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",264
"ST. GABRIEL'S PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",272
"ST. STEPHEN'S SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",281
"TAMPINES NORTH PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",285
"TAMPINES PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",286
"TAO NAN SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",292
"TECK GHEE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",293
"TECK WHYE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",294
"TELOK KURAU PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",296
"UNITY PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",301
"KHENG CHENG SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",152
"KONG HWA SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",153
"KRANJI PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",154
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",156
"LIANHUA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",159
"MAHA BODHI SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",161
"MEE TOH SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",169
"NANYANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",183
"NEW TOWN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",187
"NORTH SPRING PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",191
"NORTH VIEW PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",192
"NORTHLAND PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",196
"PALM VIEW PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",206
"PEI TONG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",216
"POI CHING SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",222
"PUNGGOL PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",227
"QUEENSTOWN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",232
"RAFFLES GIRLS' PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",236
"COMPASSVALE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",75
"DE LA SALLE SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",84
"ENDEAVOUR PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",94
"EUNOS PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",96
"FAIRFIELD METHODIST SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",99
"FENGSHAN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",103
"FERNVALE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",105
"FIRST TOA PAYOH PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",106
"FRONTIER PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",107
"FUCHUN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",108
"GAN ENG SENG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",112
"GEYLANG METHODIST SCHOOL (PRIMARY)","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",114
"GONGSHANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",116
"GREENRIDGE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",119
"GREENWOOD PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",121
"GUANGYANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",122
"HOLY INNOCENTS' PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",129
"HONG WEN SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",130
"HORIZON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",131
"JING SHAN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",139
"JURONG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BASKETBALL","Not Available",143
"ANDERSON SERANGOON JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",10
"ANGLO-CHINESE JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",14
"CATHOLIC JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",49
"YISHUN INNOVA JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",331
"RAFFLES INSTITUTION","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",238
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",241
"ST. ANDREW'S JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",266
"TEMASEK JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",297
"MILLENNIA INSTITUTE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",174
"NATIONAL JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",184
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",201
"EUNOIA JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",95
"HWA CHONG INSTITUTION","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",136
"JURONG PIONEER JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BASKETBALL","Not Available",142
"ANDERSON SERANGOON JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",10
"ANG MO KIO SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",12
"ANGLICAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",13
"ANGLO-CHINESE JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",14
"ANGLO-CHINESE SCHOOL (BARKER ROAD)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",15
"BEDOK GREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",26
"BEDOK SOUTH SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",27
"BENDEMEER SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",30
"BOWEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",34
"CATHOLIC JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",49
"CEDAR GIRLS' SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",50
"CHANGKAT CHANGI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",52
"CHIJ SECONDARY (TOA PAYOH)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",61
"CHIJ ST. JOSEPH'S CONVENT","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",62
"CHUA CHU KANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",69
"CHUNG CHENG HIGH SCHOOL (MAIN)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",70
"COMMONWEALTH SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",74
"WESTWOOD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",313
"WHITLEY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",315
"WOODLANDS RING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",320
"YISHUN INNOVA JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",331
"YISHUN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",333
"YUSOF ISHAK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",340
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",238
"RAFFLES INSTITUTION","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",238
"REGENT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",240
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",241
"RIVER VALLEY HIGH SCHOOL","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",241
"RIVERSIDE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",244
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",248
"SENG KANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",253
"SERANGOON GARDEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",255
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",260
"ST. ANDREW'S JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",266
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",270
"ST. GABRIEL'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",273
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",279
"TAMPINES SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",287
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",289
"TECK WHYE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",295
"TEMASEK JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",297
"TEMASEK JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",297
"VICTORIA SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",305
"WEST SPRING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",310
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",157
"MANJUSRI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",162
"MARSILING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",165
"MILLENNIA INSTITUTE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",174
"MONTFORT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",176
"NAN CHIAU HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",177
"NEW TOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",188
"NGEE ANN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",190
"NORTHBROOKS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",195
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",198
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",201
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",201
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",212
"PRESBYTERIAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",223
"QUEENSWAY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",234
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",237
"CRESCENT GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",79
"EAST SPRING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",90
"EDGEFIELD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",92
"EUNOIA JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",95
"EVERGREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",98
"FUHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",111
"GEYLANG METHODIST SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",115
"GUANGYANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",123
"HOLY INNOCENTS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",128
"HWA CHONG INSTITUTION","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",136
"JUNYUAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",141
"JURONG PIONEER JUNIOR COLLEGE","JUNIOR COLLEGE","PHYSICAL SPORTS","BADMINTON","Not Available",142
"JURONG WEST SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",146
"JURONGVILLE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",147
"JUYING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BADMINTON","Not Available",149
"AHMAD IBRAHIM PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",3
"AI TONG SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",5
"ALEXANDRA PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",6
"ANDERSON PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",8
"ANG MO KIO PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",11
"BEDOK GREEN PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",25
"BLANGAH RISE PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",31
"BUKIT PANJANG PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",39
"BUKIT TIMAH PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",40
"CANTONMENT PRIMARY SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",46
"CHIJ (KATONG) PRIMARY","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",54
"CHIJ OUR LADY OF GOOD COUNSEL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",57
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","PRIMARY","PHYSICAL SPORTS","BADMINTON","Not Available",63
