edit][State or territory[1],edit][Currency[1][2],edit][ISO code[2],edit][Symbol[3][D].1,edit][Symbol[3][D].2,edit][FlagLink
"Ethiopia","Ethiopian birr","ETB","Br","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Ethiopia.png"
"Falkland-Islands","Falkland Islands pound","FKP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Falkland-Islands.png"
"Fiji","Fijian dollar","FJD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Fiji.png"
"French-Polynesia","CFP franc","XPF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-French-Polynesia.png"
"Gambia,-The","Gambian dalasi","GMD","D","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Gambia,-The.png"
"Georgia","Georgian lari","GEL","₾","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Georgia.png"
"Ghana","Ghanaian cedi","GHS","₵","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Ghana.png"
"Gibraltar","Gibraltar pound","GIP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Gibraltar.png"
"Guatemala","Guatemalan quetzal","GTQ","Q","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Guatemala.png"
"Guinea","Guinean franc","GNF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea.png"
"Guyana","Guyanese dollar","GYD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Guyana.png"
"Haiti","Haitian gourde","HTG","G","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png"
"Honduras","Honduran lempira","HNL","L","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Honduras.png"
"Hong-Kong","Hong Kong dollar","HKD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Hong-Kong.png"
"Hungary","Hungarian forint","HUF","Ft","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png"
"Iceland","Icelandic króna","ISK","kr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Iceland.png"
"Indonesia","Indonesian rupiah","IDR","Rp","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png"
"Iran","Iranian rial","IRR","﷼","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Iran.png"
"Iraq","Iraqi dinar","IQD","ع.د","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Iraq.png"
"Isle-of-Man","Manx pound","IMP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Isle-of-Man.png"
"Israel","Israeli new shekel","ILS","₪","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Israel.png"
"Jamaica","Jamaican dollar","JMD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Jamaica.png"
"Japan","Japanese yen","JPY","¥","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png"
"Jersey","Jersey pound","JEP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Jersey.png"
"Jordan","Jordanian dinar","JOD","د.ا","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Jordan.png"
"Kazakhstan","Kazakhstani tenge","KZT","₸","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Kazakhstan.png"
"Kenya","Kenyan shilling","KES","Sh","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Kenya.png"
"Korea,-North","North Korean won","KPW","₩","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea,-North.png"
"Korea,-South","South Korean won","KRW","₩","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea,-South.png"
"Kuwait","Kuwaiti dinar","KWD","د.ك","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Kuwait.png"
"Kyrgyzstan","Kyrgyzstani som","KGS","с","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Kyrgyzstan.png"
"Laos","Lao kip","LAK","₭","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Laos.png"
"Lebanon","Lebanese pound","LBP","ل.ل","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Lebanon.png"
"Lesotho","Lesotho loti","LSL","L","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png"
"Lesotho","South African rand","ZAR","R","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png"
"Liberia","Liberian dollar","LRD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Liberia.png"
"Libya","Libyan dinar","LYD","ل.د","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Libya.png"
"Liechtenstein","Swiss franc","CHF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png"
"Macau","Macanese pataca","MOP","P","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Macau.png"
"Macedonia,-Republic-of","Macedonian denar","MKD","ден","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Macedonia,-Republic-of.png"
"Madagascar","Malagasy ariary","MGA","Ar","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Madagascar.png"
"Malawi","Malawian kwacha","MWK","MK","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Malawi.png"
"Malaysia","Malaysian ringgit","MYR","RM","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png"
"Maldives","Maldivian rufiyaa","MVR",".ރ","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Maldives.png"
"Mauritania","Mauritanian ouguiya","MRO","UM","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritania.png"
"Mauritius","Mauritian rupee","MUR","₨","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritius.png"
"Mexico","Mexican peso","MXN","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png"
"Moldova","Moldovan leu","MDL","L","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Moldova.png"
"Mongolia","Mongolian tögrög","MNT","₮","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Mongolia.png"
"Morocco","Moroccan dirham","MAD","د.م.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Morocco.png"
"Mozambique","Mozambican metical","MZN","MT","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Mozambique.png"
"Myanmar","Burmese kyat","MMK","Ks","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Myanmar.png"
"Namibia","Namibian dollar","NAD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Namibia.png"
"Nepal","Nepalese rupee","NPR","₨","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Nepal.png"
"Nicaragua","Nicaraguan córdoba","NIO","C$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Nicaragua.png"
"Nigeria","Nigerian naira","NGN","₦","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Nigeria.png"
"Northern-Cyprus","Turkish lira","TRY","₺","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Northern-Cyprus.png"
"Norway","Norwegian krone","NOK","kr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Norway.png"
"Oman","Omani rial","OMR","ر.ع.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Oman.png"
"Pakistan","Pakistani rupee","PKR","₨","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Pakistan.png"
"Panama","Panamanian balboa","PAB","B/.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Panama.png"
"Papua-New-Guinea","Papua New Guinean kina","PGK","K","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Papua-New-Guinea.png"
"Paraguay","Paraguayan guaraní","PYG","₲","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Paraguay.png"
"Peru","Peruvian sol","PEN","S/.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Peru.png"
"Philippines","Philippine peso","PHP","₱","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Philippines.png"
"Poland","Polish złoty","PLN","zł","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Poland.png"
"Qatar","Qatari riyal","QAR","ر.ق","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Qatar.png"
"Romania","Romanian leu","RON","lei","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Romania.png"
"Rwanda","Rwandan franc","RWF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Rwanda.png"
"Samoa","Samoan tālā","WST","T","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Samoa.png"
"Saudi-Arabia","Saudi riyal","SAR","ر.س","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Saudi-Arabia.png"
"Seychelles","Seychellois rupee","SCR","₨","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Seychelles.png"
"Sierra-Leone","Sierra Leonean leone","SLL","Le","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Sierra-Leone.png"
"Solomon-Islands","Solomon Islands dollar","SBD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Solomon-Islands.png"
"Somalia","Somali shilling","SOS","Sh","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Somalia.png"
"South-Sudan","South Sudanese pound","SSP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-South-Sudan.png"
"Sudan","Sudanese pound","SDG","ج.س.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Sudan.png"
"Suriname","Surinamese dollar","SRD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Suriname.png"
"Swaziland","Swazi lilangeni","SZL","L","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Swaziland.png"
"Sweden","Swedish krona","SEK","kr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Sweden.png"
"São-Tomé-and-Príncipe","São Tomé and Príncipe dobra","STD","Db","","https://www.countries-ofthe-world.com/flags-normal/flag-of-São-Tomé-and-Príncipe.png"
"Taiwan","New Taiwan dollar","TWD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Taiwan.png"
"Tajikistan","Tajikistani somoni","TJS","ЅМ","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Tajikistan.png"
"Tanzania","Tanzanian shilling","TZS","Sh","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Tanzania.png"
"Thailand","Thai baht","THB","฿","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Thailand.png"
"Tonga","Tongan paʻanga","TOP","T$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Tonga.png"
"Transnistria","Transnistrian ruble","PRB","р.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Transnistria.png"
"Trinidad-and-Tobago","Trinidad and Tobago dollar","TTD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Trinidad-and-Tobago.png"
"Tunisia","Tunisian dinar","TND","د.ت","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Tunisia.png"
"Turkmenistan","Turkmenistan manat","TMT","m","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Turkmenistan.png"
"Tuvalu","Tuvaluan dollar","TVD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Tuvalu.png"
"Uganda","Ugandan shilling","UGX","Sh","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Uganda.png"
"Ukraine","Ukrainian hryvnia","UAH","₴","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Ukraine.png"
"United-Arab-Emirates","United Arab Emirates dirham","AED","د.إ","","https://www.countries-ofthe-world.com/flags-normal/flag-of-United-Arab-Emirates.png"
"Uruguay","Uruguayan peso","UYU","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Uruguay.png"
"Uzbekistan","Uzbekistani soʻm","UZS","₸","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Uzbekistan.png"
"Vanuatu","Vanuatu vatu","VUV","Vt","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Vanuatu.png"
"Venezuela","Venezuelan bolívar","VEF","Bs","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Venezuela.png"
"Vietnam","Vietnamese đồng","VND","₫","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Vietnam.png"
"Yemen","Yemeni rial","YER","﷼","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Yemen.png"
"Zambia","Zambian kwacha","ZMW","ZK","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Zambia.png"
"Bosnia-and-Herzegovina","Bosnia and Herzegovina convertible mark","BAM","KM","КМ","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bosnia-and-Herzegovina.png"
"Cape-Verde","Cape Verdean escudo","CVE","Esc","$","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cape-Verde.png"
"China","Chinese yuan","CNY","¥","元","https://www.countries-ofthe-world.com/flags-normal/flag-of-China.png"
"Egypt","Egyptian pound","EGP","£","ج.م","https://www.countries-ofthe-world.com/flags-normal/flag-of-Egypt.png"
"Serbia","Serbian dinar","RSD","дин.","din.","https://www.countries-ofthe-world.com/flags-normal/flag-of-Serbia.png"
"Sri-Lanka","Sri Lankan rupee","LKR","Rs","රු","https://www.countries-ofthe-world.com/flags-normal/flag-of-Sri-Lanka.png"
"Syria","Syrian pound","SYP","£","ل.س","https://www.countries-ofthe-world.com/flags-normal/flag-of-Syria.png"
