CountryCode,School closures,Workplace closures,Cancelling public events,Restrictions on gathering,Public transport closures,Stay at home requirements,International travel controls,Face coverings required,Vaccinations available,Domestic travel restrictions
"EGY",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"ESP",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"GBR",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"GEO",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"GIN",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"GUY",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"HKG",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"HND",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"HUN",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days","100-200 days"
"IDN",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"IND",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"IRQ",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"ITA",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days"
"JAM",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"KAZ",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"KEN",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"KGZ",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"KOR",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"KWT",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"LSO",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"MAR",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"MEX",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"MMR",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"NAM",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"NGA",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"NLD",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"PAK",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"PAN",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"PER",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"PRT",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days","100-200 days"
"QAT",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"RUS",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"RWA",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"SGP",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days",">300 days","100-200 days","<100 days"
"SLV",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"SUR",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"SVK",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"THA",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"TLS",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days"
"UGA",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"UKR",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"USA",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"VEN",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"ZAF",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"ZWE",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"AUT",">300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","100-200 days","200-300 days"
"BEL",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","100-200 days","100-200 days"
"BEN",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"BGR",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","100-200 days","<100 days"
"BIH",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"CUB",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","<100 days",">300 days"
"CZE",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","100-200 days",">300 days"
"DEU",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","100-200 days",">300 days"
"DJI",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"ECU",">300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"EST",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","100-200 days","<100 days"
"ETH",">300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days",">300 days"
"FRA",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"GHA",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"GTM",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days","<100 days","200-300 days"
"ISR",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","100-200 days","200-300 days"
"LVA",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","100-200 days","<100 days"
"MDA",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"MLI",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"MWI",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","<100 days"
"MYS",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","<100 days",">300 days"
"SVN",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","100-200 days","100-200 days"
"TGO",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"TTO",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"VNM",">300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days",">300 days"
"ALB",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days","200-300 days","<100 days","100-200 days"
"AUS",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days","200-300 days","<100 days",">300 days"
"CRI",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days","200-300 days","100-200 days","200-300 days"
"CYP",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","100-200 days","200-300 days"
"DNK",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","200-300 days","100-200 days","<100 days"
"ERI",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"FIN",">300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days","200-300 days","100-200 days","<100 days"
"GAB",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"HRV",">300 days",">300 days",">300 days",">300 days","100-200 days","100-200 days",">300 days","200-300 days","100-200 days","<100 days"
"IRL",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"ISL",">300 days",">300 days",">300 days",">300 days","<100 days","<100 days",">300 days","200-300 days","100-200 days","<100 days"
"LBY",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"NPL",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"PHL",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"PRY",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days",">300 days","200-300 days","<100 days","200-300 days"
"PSE",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days","<100 days",">300 days"
"ROU",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days","200-300 days","100-200 days","200-300 days"
"SRB",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days","200-300 days","100-200 days",">300 days"
"SWE",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","<100 days","100-200 days","200-300 days"
"SWZ",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","200-300 days","<100 days",">300 days"
"SYR",">300 days",">300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days","100-200 days","<100 days",">300 days"
"ARE",">300 days","200-300 days",">300 days",">300 days","200-300 days","<100 days",">300 days",">300 days","100-200 days",">300 days"
"BRN",">300 days","200-300 days",">300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","100-200 days"
"CMR",">300 days","100-200 days",">300 days",">300 days","100-200 days","<100 days",">300 days",">300 days","<100 days","200-300 days"
"GMB",">300 days","200-300 days",">300 days",">300 days",">300 days","200-300 days",">300 days","200-300 days","<100 days","100-200 days"
"GRC",">300 days","200-300 days",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","100-200 days",">300 days"
"JOR",">300 days","200-300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","200-300 days","<100 days","200-300 days"
"MLT",">300 days","200-300 days",">300 days",">300 days","100-200 days","<100 days",">300 days",">300 days","100-200 days","100-200 days"
"MOZ",">300 days","200-300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"OMN",">300 days","200-300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"SAU",">300 days","200-300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","100-200 days","100-200 days"
"SLE",">300 days","100-200 days",">300 days",">300 days","200-300 days","100-200 days",">300 days",">300 days","<100 days","<100 days"
"SSD",">300 days","200-300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"TON",">300 days","<100 days",">300 days",">300 days","<100 days",">300 days",">300 days","<100 days","<100 days","<100 days"
"UZB",">300 days","200-300 days",">300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"ZMB",">300 days","200-300 days",">300 days",">300 days","<100 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"DMA",">300 days","100-200 days","200-300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","<100 days"
"HTI",">300 days","100-200 days","200-300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","100-200 days"
"KHM",">300 days",">300 days","200-300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","<100 days"
"LKA",">300 days","100-200 days","200-300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days","200-300 days"
"LTU",">300 days",">300 days","200-300 days",">300 days","100-200 days",">300 days",">300 days","200-300 days","100-200 days","200-300 days"
"MDG",">300 days","200-300 days","200-300 days",">300 days","100-200 days","200-300 days",">300 days",">300 days","<100 days",">300 days"
"NOR",">300 days",">300 days","200-300 days",">300 days","100-200 days","100-200 days",">300 days","200-300 days","100-200 days",">300 days"
"POL",">300 days",">300 days","200-300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","100-200 days","200-300 days"
"AFG",">300 days","100-200 days","100-200 days","100-200 days","100-200 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"BOL",">300 days","200-300 days","200-300 days","200-300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"BRB",">300 days",">300 days",">300 days","200-300 days",">300 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"JPN",">300 days","200-300 days",">300 days","<100 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"LBN",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"MNG",">300 days",">300 days",">300 days","200-300 days","100-200 days","100-200 days",">300 days",">300 days","<100 days",">300 days"
"MRT",">300 days",">300 days","200-300 days","200-300 days","<100 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"SDN",">300 days",">300 days","200-300 days","200-300 days","100-200 days","100-200 days",">300 days","100-200 days","<100 days","100-200 days"
"SMR",">300 days","200-300 days",">300 days","200-300 days","<100 days","100-200 days",">300 days","100-200 days","<100 days","100-200 days"
"SOM",">300 days","100-200 days","200-300 days","200-300 days","<100 days","200-300 days",">300 days","200-300 days","<100 days","<100 days"
"SYC",">300 days","100-200 days","200-300 days","200-300 days","100-200 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"TKM",">300 days","200-300 days","200-300 days","100-200 days","100-200 days","<100 days",">300 days","200-300 days","<100 days",">300 days"
"TUN",">300 days","200-300 days","200-300 days","200-300 days","100-200 days","200-300 days",">300 days","200-300 days","<100 days","200-300 days"
"TUR",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"TZA",">300 days","<100 days","100-200 days","100-200 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"URY",">300 days",">300 days",">300 days","100-200 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"BDI","100-200 days","<100 days","<100 days","<100 days","<100 days","<100 days",">300 days","200-300 days","<100 days","<100 days"
"BFA","<100 days","<100 days","200-300 days","200-300 days","<100 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"BLR","<100 days","<100 days",">300 days","<100 days","<100 days","<100 days",">300 days",">300 days","100-200 days","<100 days"
"CHE","200-300 days",">300 days",">300 days",">300 days","<100 days","200-300 days",">300 days",">300 days","100-200 days","<100 days"
"FJI","200-300 days",">300 days",">300 days",">300 days","<100 days",">300 days",">300 days","200-300 days","<100 days","100-200 days"
"KIR","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days",">300 days","<100 days","<100 days","<100 days"
"LAO","200-300 days","200-300 days","200-300 days","<100 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"LBR","200-300 days",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days",">300 days","<100 days","200-300 days"
"MUS","100-200 days","100-200 days","100-200 days","100-200 days","100-200 days","100-200 days",">300 days",">300 days","<100 days","100-200 days"
"NER","200-300 days","100-200 days","100-200 days","100-200 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"NIC","100-200 days","<100 days","<100 days","<100 days","<100 days","<100 days",">300 days","<100 days","<100 days","<100 days"
"NZL","100-200 days","<100 days","100-200 days","100-200 days","<100 days","<100 days",">300 days","200-300 days","<100 days","<100 days"
"PNG","200-300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days",">300 days",">300 days","<100 days","100-200 days"
"SEN","200-300 days","100-200 days",">300 days",">300 days","<100 days","100-200 days",">300 days","200-300 days","<100 days","<100 days"
"SLB","<100 days","200-300 days",">300 days","<100 days","100-200 days","<100 days",">300 days","100-200 days","<100 days",">300 days"
"TCD","200-300 days","200-300 days","200-300 days",">300 days","100-200 days",">300 days",">300 days",">300 days","<100 days",">300 days"
"TJK","200-300 days","<100 days","200-300 days",">300 days","<100 days","<100 days",">300 days",">300 days","<100 days","<100 days"
"VUT","<100 days","100-200 days","100-200 days","100-200 days","100-200 days","100-200 days",">300 days","<100 days","<100 days","100-200 days"
"YEM","200-300 days","200-300 days","100-200 days","<100 days","<100 days","200-300 days",">300 days","100-200 days","<100 days","200-300 days"
"ABW","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"AND","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"BMU","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"COM","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","100-200 days","<100 days","<100 days"
"FRO","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"GRL","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"GUM","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"IRN",">300 days",">300 days",">300 days",">300 days",">300 days",">300 days","200-300 days","200-300 days","<100 days",">300 days"
"LIE","100-200 days","100-200 days","200-300 days","200-300 days","<100 days","<100 days","100-200 days","100-200 days","<100 days","<100 days"
"LUX",">300 days",">300 days",">300 days",">300 days","200-300 days",">300 days","200-300 days",">300 days","<100 days","100-200 days"
"MAC","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"MCO","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"PRI","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"RKS","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"TWN","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
"VIR","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days","<100 days"
