ID,ISO,COUNTRY,REGION,Category,Measure,Specific Group Targeted,Comments,NON_COMPLIANCE,Date implemented,Source,Source type,LINK,Entry date,Alternative source,Max Daily Vaccinations,Daily Cases When Implemented,Change in cases after 60 days,Non compliance result
2742,"BIH","Bosnia and Herzegovina","Europe","Governance and socio-economic measures","Economic measures","False","Government owned properties reduce rent by 50%","Not applicable",2020-03-26 00:00:00.000,"Government","Government","http://www.fbihvlada.gov.ba/bosanski/aktuelno_v2.php?akt_id=8466",2020-03-27 00:00:00.000,"",,40,-20,"Not applicable"
4793,"HRV","Croatia","Europe","Governance and socio-economic measures","Economic measures","False","Two new financial instruments are being introduced as of this week - the "" COVID-19 loan "" and the "" Micro loan for rural development ""","Not applicable",2020-04-07 00:00:00.000,"Government","Government","https://www.mingo.hr/page/poduzetnicima-obrtnicima-i-poljoprivrednicima-dostupna-dva-nova-financijska-instrumenta-za-osiguranje-likvidnosti",2020-04-11 00:00:00.000,"",,40,-40,"Not applicable"
8811,"HRV","Croatia","Europe","Governance and socio-economic measures","Economic measures","False","Moratorium imposed on enforcement proceedings during COVID-19 outbreak","Not applicable",2020-04-14 00:00:00.000,"Government","Government","https://vlada.gov.hr/news/moratorium-to-be-imposed-on-enforcement-proceedings-during-covid-19-outbreak/29235",2020-05-03 00:00:00.000,"",,50,-50,"Not applicable"
2960,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","To keep the employment rate, State will provide 100 billion CZK in direct support and 900 billion CZK in indirect in the form of guarantees.","Not applicable",,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/",2020-03-29 00:00:00.000,"",,,,"Not applicable"
1008,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","The government has extended its COVID loan program from 600 million to 10 billion crowns and further extended financial support to self-employed persons. Also a targeted employmet support program was implemented (covering parts of companies costs after March 1st)","Not applicable",2020-03-19 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-approves-proposal-to-extend-the-payment-of-care-allowance-during-the-state-of-emergency-the-self-employed-will-also-receive-money-180504/",2020-03-20 00:00:00.000,"",,,,"Not applicable"
2942,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","An additional 1 billion crowns for the Support and Guarantee Farm and Forestry Fund (PGRLF) for 2020 to enable the postponing of repayment of commercial loans, the release or reduction of pledges of cash deposits or the agreement to postpone repayments of principal on loans granted by the PGRLF","Not applicable",2020-03-26 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/benefit-applicants-will-not-have-to-go-to-the-office--government-proposes--also-approves-a-subsidy-programme-for-care-allowance-for-the-self-employed-180655/",2020-03-28 00:00:00.000,"",,,,"Not applicable"
2941,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","An additional 3.3 billion crowns from the government budget reserve to solve the crisis of entrepreneurs in agriculture, food production and forestry","Not applicable",2020-03-26 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/benefit-applicants-will-not-have-to-go-to-the-office--government-proposes--also-approves-a-subsidy-programme-for-care-allowance-for-the-self-employed-180655/",2020-03-28 00:00:00.000,"",,,,"Not applicable"
3825,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Economic package for self-employed, including a one-time payment of 25000 CZK","Not applicable",2020-03-30 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-approves-czk-25-000-for-self-employed-persons--also-launching-programme-for-supporting-employment-retention-180859/",2020-04-05 00:00:00.000,"",,,,"Not applicable"
5890,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Approved a proposal for securing care for the children of employees of Czech Labour Offices and the Czech Social Security Administration and district social security administrations. School capacity for these children must be provided for by regional governors","Not applicable",2020-04-14 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-discusses-proposal-for-gradually-easing-exceptional-measures-181015/",2020-04-17 00:00:00.000,"",,,,"Not applicable"
6477,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Care allowance for parents of children under the age of 13 who are unable to attend pre-school or school facilities and those caring for those with health disabilities within a joint household may increase from the current 60 percent to 80 percent of the daily assessment base.","Not applicable",2020-04-17 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/the-government-has-proposed-an-increase-in-the-care-allowance-and-confirmed-from-monday-the-partial-relaxation-of-certain-measures--181084/",2020-04-20 00:00:00.000,"",,,,"Not applicable"
8820,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Extension until end of May: Government Antivirus Job Support Programme","Not applicable",2020-04-27 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-extends-antivirus-job-support-programme-to-end-of-may--181252/",2020-05-03 00:00:00.000,"",,,,"Not applicable"
8830,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Abolish real estate acquisition tax , with retroactive effect","Not applicable",2020-05-01 00:00:00.000,"Government","Government","https://koronavirus.mzcr.cz/vlada-schvalila-pravidla-rozvolnovani-mimoradnych-opatreni-od-11-kvetna-nouzovy-stav-plati-do-17-kvetna/",2020-05-03 00:00:00.000,"",,,,"Not applicable"
10294,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Compensation payment for small liability companies (of 500 crowns per day)","Not applicable",2020-05-04 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-approves-further-proposals-to-help-businesses--from-11-may-cross-border-passenger-transportation-to-resume-181350/",2020-05-12 00:00:00.000,"",,,,"Not applicable"
10295,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","The electronic records of sales (ERS) for all businesses is postponed until the end of the year 2020","Not applicable",2020-05-04 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-approves-further-proposals-to-help-businesses--from-11-may-cross-border-passenger-transportation-to-resume-181350/",2020-05-12 00:00:00.000,"",,,,"Not applicable"
10297,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","Rent subsidy program implemented where the government supports a part of a businesses rent; if affected by COVID-19","Not applicable",2020-05-04 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/government-approves-further-proposals-to-help-businesses--from-11-may-cross-border-passenger-transportation-to-resume-181350/",2020-05-12 00:00:00.000,"",,,,"Not applicable"
10293,"CZE","Czech Republic","Europe","Governance and socio-economic measures","Economic measures","False","It is possible for companies to defer the payment of social security contributions and contributions to the state employment policy paid by employers as taxpayers.","Not applicable",2020-05-11 00:00:00.000,"Government","Government","https://www.vlada.cz/en/media-centrum/aktualne/selected-social-services-will-start-up-earlier--government-will-reward-rescuers-and-social-workers-for-their-extraordinary-efforts-during-the-epidemic-181416/",2020-05-12 00:00:00.000,"",,,,"Not applicable"
3012,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","ï¿½ 7 million is channelled to cover the first three days of sick leave","Not applicable",2020-03-25 00:00:00.000,"Government","Government","https://www.kriis.ee/en/news/government-allocates-more-eu-220-million-cover-emergency-health-care-costs",2020-03-30 00:00:00.000,"",,17,-3,"Not applicable"
8402,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","Measure for companies most affected (total 35 mio EUR): 25 mio EUR for accommodation, catering, and travel companies, tourist attractions, and tourism service providers offering experience services to visitors in nature tourism or cultural tourism or active leisure services; 10 mio EUR for micro and small enterprises","Not applicable",2020-04-24 00:00:00.000,"Government","Government","https://www.valitsus.ee/en/news/members-government-approved-crisis-measures-related-covid-19-supplementary-budget",2020-05-01 00:00:00.000,"",,33,-33,"Not applicable"
8404,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","300 mio EUR support measure for the acquisition of state ownership: with the aim to provide support to companies that have suffered economic damage by providing the additional capital needed to exit the crisis and enabling companies to buy back their holdings later.","Not applicable",2020-04-24 00:00:00.000,"Government","Government","https://www.valitsus.ee/en/news/members-government-approved-crisis-measures-related-covid-19-supplementary-budget",2020-05-01 00:00:00.000,"",,33,-33,"Not applicable"
8406,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","70 mio EUR for local governments as investment support; 30 mio EUR for road maintenance support; 30 mio EUR to stabilise income base for local governments","Not applicable",2020-04-24 00:00:00.000,"Government","Government","https://www.valitsus.ee/en/news/members-government-approved-crisis-measures-related-covid-19-supplementary-budget",2020-05-01 00:00:00.000,"",,33,-33,"Not applicable"
12221,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","Extension until end of June: Remuneration compensation measures","Not applicable",2020-05-21 00:00:00.000,"Government","Government","https://www.valitsus.ee/en/news/government-supported-extension-remuneration-compensation-measure-until-end-june",2020-05-28 00:00:00.000,"",,3,-3,"Not applicable"
12222,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","The government directed an additional 147.9 million euros to the foundation of labour market services and benefits","Not applicable",2020-05-21 00:00:00.000,"Government","Government","https://www.valitsus.ee/en/news/government-directed-additional-1479-million-euros-foundation-labour-market-services-and",2020-05-28 00:00:00.000,"",,3,-3,"Not applicable"
13149,"EST","Estonia","Europe","Governance and socio-economic measures","Economic measures","False","Job mediation for short term workers available","Not applicable",2020-06-01 00:00:00.000,"Government","Government","https://www.sm.ee/en/news/provision-job-mediation-helps-reduce-seasonal-labour-shortages",2020-06-06 00:00:00.000,"",,4,5,"Not applicable"
3029,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Resting periods for drivers of goods have been liften","Not applicable",2020-03-26 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/ajo-ja-lepoaikoihin-maaraaikainen-poikkeus-koronavirustilanteen-johdosta",2020-03-30 00:00:00.000,"",,88,-77,"Not applicable"
3028,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Notice period for lay-offs reduced for long-term employees","Not applicable",2020-03-26 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/koronaviruksen-vuoksi-lomautusten-ilmoitusaikaa-ja-yhteistoimintaneuvotteluiden-kestoaikaa-lyhennetaan",2020-03-30 00:00:00.000,"",,88,-77,"Not applicable"
3027,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Employers obligated to notify the government of dismissals of ten or more employees","Not applicable",2020-03-27 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/tyonantajalle-velvollisuus-ilmoittaa-vahintaan-kymmenen-tyontekijan-irtisanomisesta-te-toimistolle",2020-03-30 00:00:00.000,"",,78,-58,"Not applicable"
3026,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","The Government is allocating EUR 1 billion for direct business subsidies. Of this amount, EUR 700 million is intended for grants provided by Business Finland and EUR 300 million for grants provided by centres for economic development, transport and the environment.; State-owned specialised financing company Finnvera to guarantee business loans","Not applicable",2020-03-27 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/valtion-rahoitusta-yrityksille-koronavirustilanteessa-vahvistetaan-yritystukiin-miljardi-euroa",2020-03-30 00:00:00.000,"",,78,-58,"Not applicable"
5936,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Easier access to unemployment benefits, with abolishments or suspension of certain criteria and timelines","Not applicable",2020-04-09 00:00:00.000,"Government","Government","https://stm.fi/en/artikkeli/-/asset_publisher/tyottomyysturvaa-tarvitsevien-henkiloiden-taloudellista-asemaa-vahvistetaan",2020-04-17 00:00:00.000,"",,179,-162,"Not applicable"
5929,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Companies and associations were allowed to postpone their annual meetings","Not applicable",2020-04-16 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410853/yhtioille-ja-yhdistyksille-mahdollisuus-myohentaa-vuosikokouksiaan",2020-04-17 00:00:00.000,"",,76,-59,"Not applicable"
8439,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Extension to the maximum duration of start-up funding and more flexibility to jobseeker interviews","Not applicable",2020-04-23 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/starttirahan-enimmaiskestoa-pidennetaan-ja-tyonhakijan-haastattelujen-jarjestamista-joustavoitetaan",2020-05-01 00:00:00.000,"",,115,-114,"Not applicable"
8440,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","EUR 10 billion to businesses through Finnvera, a state-owned specialised financing company, by increasing its domestic financing. The additional financing would mainly be used for guarantees to help companies get loans from banks in the coronavirus situation.","Not applicable",2020-04-23 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/finnveran-rahoitusvaltuuksia-korotetaan-koronaviruksen-vuoksi-lisarahoitusta-10-miljardia-euroa",2020-05-01 00:00:00.000,"",,115,-114,"Not applicable"
10437,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Incentives to attract workers for the agricultural sector set, e.g. temporary raise of earnings,  opportunities to use the commuting and relocation allowance;  threshold for earned income in the aid scheme for discontinuing production activities will be waived for a fixed term; and easier entry for workers from abroad enabled","Not applicable",2020-05-06 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-linjasi-kausityovoiman-saatavuuden-turvaamisesta",2020-05-13 00:00:00.000,"",,85,-84,"Not applicable"
11780,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Increase in the exempt amount of unemployment security","Not applicable",2020-05-20 00:00:00.000,"Government","Government","https://stm.fi/en/artikkeli/-/asset_publisher/hallitus-esittaa-tyottomyysetuuden-suojaosan-korottamista-ja-liikkuvuusavustuksen-ehtojen-valiaikaista-muuttamista",2020-05-25 00:00:00.000,"",,19,-2,"Not applicable"
11778,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Exemptions on rest and driving times for heavy transport are normalized again","Not applicable",2020-06-01 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/raskaassa-liikenteessa-palataan-normaaleihin-ajo-ja-lepoaikoihin",2020-05-25 00:00:00.000,"",,33,-24,"Not applicable"
13611,"FIN","Finland","Europe","Governance and socio-economic measures","Economic measures","False","Exempt amount of unemployment benefit to be raised and conditions for commuting and relocation allowance to be amended temporarily","Not applicable",2020-06-11 00:00:00.000,"Government","Government","https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/tyottomyysetuuden-suojaosaa-korotetaan-ja-liikkuvuusavustuksen-ehtoja-muutetaan-valiaikaisesti",2020-06-12 00:00:00.000,"",,15,1,"Not applicable"
367,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Announcement of a government aid programm with a tax relief components including tax deferrals, suspension of non-compliance measures","Not applicable",2020-03-15 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/milliardenhilfen-wegen-corono-1730386",2020-03-15 00:00:00.000,"",,733,200,"Not applicable"
7197,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Improved conditions for recent parents with more flexibility around maternity/paternity leave","Not applicable",2020-04-22 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/elterngeld-anpassung-1745786",2020-04-23 00:00:00.000,"",,2237,-1550,"Not applicable"
7196,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Minimum wages across essential sectors, including healthcare strengthened","Not applicable",2020-04-22 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/pflege-mindestloehne-1745630",2020-04-23 00:00:00.000,"",,2237,-1550,"Not applicable"
7194,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Small companies receive additional support with reduced tax payments for 2020 and possible re-payment of taxes already paid in 2019","Not applicable",2020-04-23 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/corona-hilfen-1746546",2020-04-23 00:00:00.000,"",,2352,-1815,"Not applicable"
13238,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","50 bn. EUR into ""future package"" focused on developing artificial intelligence, quantum technology, hydrogen economy","Not applicable",2020-06-03 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/konjunkturpaket-geschnuert-1757558",2020-06-07 00:00:00.000,"",,342,-102,"Not applicable"
13235,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Economic package: reduction of VAT from 19 to 16%; until December 2020","Not applicable",2020-06-03 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/konjunkturpaket-geschnuert-1757558",2020-06-07 00:00:00.000,"",,342,-102,"Not applicable"
13237,"DEU","Germany","Europe","Governance and socio-economic measures","Economic measures","False","Strengthening of municipalities through greater coverage by federal government","Not applicable",2020-06-03 00:00:00.000,"Government","Government","https://www.bundesregierung.de/breg-de/themen/coronavirus/konjunkturpaket-geschnuert-1757558",2020-06-07 00:00:00.000,"",,342,-102,"Not applicable"
1650,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Extensive economic measures of 1.6bn USD implemented, including state-backed loans, government uptake of salaries, tax deferral, child benefit payment, VAT return for construction projects","Not applicable",2020-03-21 00:00:00.000,"Government","Government","https://www.government.is/news/article/?newsid=afa0d410-6b79-11ea-9462-005056bc4d74",2020-03-23 00:00:00.000,"",,79,-79,"Not applicable"
6094,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Nordic Ministers for Co-operation decided to increase Nordic funding to meet Covid-19 funding the Nordic Council of Ministers' efforts","Not applicable",2020-04-17 00:00:00.000,"Government","Government","https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/04/17/Aukid-norraent-fjarmagn-til-ad-maeta-Covid-19/",2020-04-18 00:00:00.000,"",,12,-11,"Not applicable"
6093,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","The Ministry of Finance and Economic Affairs and the Central Bank of Iceland have signed an agreement on the conditions for the implementation of state guarantees on additional loans by credit institutions to companies","Not applicable",2020-04-17 00:00:00.000,"Government","Government","https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/04/17/Samningur-um-framkvaemd-a-veitingu-abyrgda-gagnvart-lanastofnunum-vegna-vidbotarlana-theirra-til-fyrirtaekja/",2020-04-18 00:00:00.000,"",,12,-11,"Not applicable"
7222,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","ESA: Guarantee of additional loans by credit institutions to companies for COVID-19 complies with the EEA Agreement","Not applicable",2020-04-20 00:00:00.000,"Government","Government","https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/04/20/-ESA-Veiting-abyrgda-a-vidbotarlanum-lanastofnana-til-fyrirtaekja-vegna-COVID-19-samrymist-framkvaemd-EES-samningsins-/",2020-04-23 00:00:00.000,"",,11,-9,"Not applicable"
7207,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Worth up to 420m USD, the latest phase of the economic response focuses on support and protections for small enterprises, innovation and vulnerable groups.; Closure subsidies to compensate companies forced to halt their operations for public health reasons; Immediate support loans for small and medium-sized enterprises (SME); Companies to be allowed to carry 2020 losses back to offset 2019 income tax; Jobseekers and vulnerable groups to receive dedicated support; Multi-faceted support for children ï¿½ special recreational subsidy for low-income families; Wage differentials paid to healthcare workers due to COVID-19; Strengthening of food production through innovation and marketing","Not applicable",2020-04-21 00:00:00.000,"Government","Government","https://www.government.is/news/article/?newsid=5a7b7cb1-83f7-11ea-9467-005056bc4d74",2020-04-23 00:00:00.000,"",,2,-1,"Not applicable"
8484,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Government of Iceland announces increased support for companies, including simpler rules on financial restructuring of companies also companies will be given the opportunity to apply for government support to pay a portion of salary costs for any staff member during their notice period","Not applicable",2020-04-28 00:00:00.000,"Government","Government","https://www.government.is/news/article/2020/04/28/Government-of-Iceland-announces-increased-support-for-companies-and-extension-of-part-time-unemployment-benefits/",2020-05-01 00:00:00.000,"",,0,2,"Not applicable"
8483,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Extension: Government announces extension of part-time unemployment benefits until 31st August","Not applicable",2020-04-28 00:00:00.000,"Government","Government","https://www.government.is/news/article/2020/04/28/Government-of-Iceland-announces-increased-support-for-companies-and-extension-of-part-time-unemployment-benefits/",2020-05-01 00:00:00.000,"",,0,2,"Not applicable"
6085,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Extension: Exemptions for economically important companies will remain unchanged","Not applicable",2020-05-04 00:00:00.000,"Government","Government","https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/04/14/Dregid-ur-takmorkunum-a-samkomum-og-skolahaldi-fra-4.-mai/",2020-04-18 00:00:00.000,"",,1,4,"Not applicable"
10551,"ISL","Iceland","Europe","Governance and socio-economic measures","Economic measures","False","Agreement with all major commercial banks for granting additional loans","Not applicable",2020-05-12 00:00:00.000,"Government","Government","https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/05/12/Buid-ad-semja-vid-alla-vidskiptabankana-um-veitingu-vidbotarlana-/",2020-05-14 00:00:00.000,"",,0,0,"Not applicable"
