X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,Night,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,VISIBILITY_Clear,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,Age Class,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,PEDESTRIAN_Yes,CYCLIST,CYCLIST_Yes,AUTOMOBILE,AUTOMOBILE_Yes,MOTORCYCLE,MOTORCYCLE_Yes,TRUCK,TRUCK_Yes,TRSN_CITY_VEH,TRSN_CITY_VEH_Yes,EMERG_VEH,EMERG_VEH_Yes,PASSENGER,PASSENGER_Yes,SPEEDING,SPEEDING_Yes,AG_DRIV,AG_DRIV_Yes,REDLIGHT,REDLIGHT_Yes,ALCOHOL,ALCOHOL_Yes,DISABILITY,DISABILITY_Yes,Hood_ID,Neighbourhood,ObjectId,Validation,Lin[Fatal],Prob[Fatal],Prob[Non-Fatal Injury],Most Likely ACCLASS 2,Correct
-8822202.11556097,5440181.89077369,3468197,922700,2006,2006-08-15 00:00:00.000,1405,14,"MARKHAM RD","day","STEELES AVE E","","Major Arterial","Scarborough",23,42,43.836545,-79.25119,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","45 to 49","","Minimal","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,131,"Rouge (131)",442,1,-3.2109940228309055,0.03875408793201137,0.96124591206798859,"Non-Fatal Injury",1
-8824205.86639525,5436339.93078968,3457184,918634,2006,2006-08-15 00:00:00.000,1519,15,"MCCOWAN RD","day","SANDHURST CRCL","","Major Arterial","Scarborough",23,42,43.811645,-79.26919,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","25 to 29","","Major","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,129,"Agincourt North (129)",443,1,-3.1761869592883931,0.040071749443449718,0.95992825055655018,"Non-Fatal Injury",1
-8828213.36806381,5434103.38281392,3469962,923341,2006,2006-08-21 00:00:00.000,850,8,"BIRCHMOUNT RD","day","GLENDOWER CRCT","","Major Arterial","Scarborough",22,42,43.797145,-79.30519,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","25 to 29","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,117,"L'Amoreaux (117)",495,0,-2.2966359394570963,0.091401954541238561,0.90859804545876133,"Non-Fatal Injury",1
-8825797.7351136,5425917.61920195,3437676,911336,2006,2006-06-28 00:00:00.000,1000,10,"BIRCHMOUNT RD","day","MODERN RD","","Major Arterial","Scarborough",21,41,43.744045,-79.28349,"Intersection","","Stop Sign","Clear",1,"Daylight","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","45 to 49","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"Yes",1,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,126,"Dorset Park (126)",510,0,-3.3288965877306884,0.034593061345519913,0.96540693865448,"Non-Fatal Injury",1
-8847805.59844343,5407276.26315667,3603160,907409,2006,2006-06-08 00:00:00.000,1543,15,"LAKE SHORE BLVD W","day","PARK LAWN RD","","Major Arterial","Etobicoke York",3,22,43.622945,-79.48119,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","60 to 64","","Minimal","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,17,"Mimico (includes Humber Bay Shores) (17)",532,0,-2.7977409890425351,0.057446370736262277,0.94255362926373776,"Non-Fatal Injury",1
-8836072.52411382,5410521.55638126,3429668,908396,2006,2006-06-14 00:00:00.000,556,5,"LAKE SHORE BLVD W","day","YONGE ST","","Major Arterial","Toronto and East York",10,51,43.644045,-79.37579,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","35 to 39","","Minimal","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,77,"Waterfront Communities-The Island (77)",555,0,-2.9412232493690089,0.05015296839081413,0.94984703160918582,"Non-Fatal Injury",1
-8833868.39819611,5424453.88883172,3475122,925202,2006,2006-08-29 00:00:00.000,1700,17,"LESLIE ST","day","LAWRENCE AVE E","","Major Arterial","North York",,33,43.734545,-79.35599,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","40 to 44","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,42,"Banbury-Don Mills (42)",662,0,-2.1068599609788468,0.10843185508125244,0.89156814491874758,"Non-Fatal Injury",1
-8836885.15639661,5429570.25418187,3477186,925968,2006,2006-08-31 00:00:00.000,740,7,"SHEPPARD AVE E","day","REAN DR","","Major Arterial","North York",17,33,43.767745,-79.38309,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","30 to 34","","None","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,52,"Bayview Village (52)",668,0,-2.3117173540105034,0.090157172928542917,0.90984282707145714,"Non-Fatal Injury",1
-8844399.22202515,5415491.67851946,3467337,922379,2006,2006-09-05 00:00:00.000,1115,11,"ST CLAIR AVE W","day","LANSDOWNE AVE","","Major Arterial","Toronto and East York",9,13,43.676345,-79.45059,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Approaching","Driver","50 to 54","","Minor","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"",0,"",0,92,"Corso Italia-Davenport (92)",689,0,-2.610599731816607,0.068459347328100925,0.931540652671899,"Non-Fatal Injury",1
-8844399.22202515,5415491.67851946,3467340,922379,2006,2006-09-05 00:00:00.000,1115,11,"ST CLAIR AVE W","day","LANSDOWNE AVE","","Major Arterial","Toronto and East York",9,13,43.676345,-79.45059,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Approaching","Driver","40 to 44","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"",0,"",0,92,"Corso Italia-Davenport (92)",692,0,-2.6133835586560172,0.068282028405243236,0.93171797159475667,"Non-Fatal Injury",1
-8833534.43972373,5432592.09222088,3439252,911913,2006,2006-07-04 00:00:00.000,1624,16,"DON MILLS RD","day","VAN HORNE AVE","","Major Arterial","North York",17,33,43.787345,-79.35299,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","60 to 64","","Major","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,47,"Don Valley Village (47)",731,1,-1.4291695366919841,0.19322811301545906,0.80677188698454094,"Non-Fatal Injury",1
-8837297.03851254,5409813.95456097,3441602,912782,2006,2006-07-08 00:00:00.000,1650,16,"REES ST","day","LAKE SHORE BLVD W","","Major Arterial","Toronto and East York",10,52,43.639445,-79.38679,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","25 to 29","","None","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"",0,"",0,77,"Waterfront Communities-The Island (77)",747,1,-3.2034808860057966,0.039034940819773975,0.96096505918022612,"Non-Fatal Injury",1
-8838721.9279947,5409352.504299,3441811,912859,2006,2006-07-09 00:00:00.000,1823,18,"LAKE SHORE BLVD W","night","BATHURST ST","","Major Arterial","Toronto and East York",10,14,43.636445,-79.39959,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","35 to 39","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"Yes",1,"",0,"",0,77,"Waterfront Communities-The Island (77)",753,0,-2.8142793081698771,0.056557408848523574,0.94344259115147644,"Non-Fatal Injury",1
-8840703.41493081,5419555.9327843,3459736,919596,2006,2006-07-14 00:00:00.000,1600,16,"CHAPLIN CRES","day","EGLINTON AVE W","","Major Arterial","North York",,53,43.702745,-79.41739,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","35 to 39","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,102,"Forest Hill North (102)",789,0,-2.9270062422048477,0.050834580933447122,0.94916541906655283,"Non-Fatal Injury",1
-8839189.46985603,5410890.76144888,3455848,918129,2006,2006-07-17 00:00:00.000,1958,19,"BATHURST ST","night","RICHMOND ST W","","Major Arterial","Toronto and East York",10,14,43.646445,-79.40379,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","55 to 59","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,"",0,77,"Waterfront Communities-The Island (77)",796,1,-1.9764196306402448,0.12170102510121183,0.878298974898788,"Non-Fatal Injury",1
-8829248.63932819,5437049.56980509,3398175,896606,2006,2006-03-16 00:00:00.000,925,9,"BIRCHMOUNT RD","day","SANWOOD BLVD","","Major Arterial","Scarborough",22,42,43.816245,-79.31449,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","25 to 29","","Minor","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"Yes",1,"",0,"",0,116,"Steeles (116)",816,1,-2.8272725117743969,0.055868090179141239,0.94413190982085871,"Non-Fatal Injury",1
-8840024.36603698,5413767.98966258,3400137,897348,2006,2006-03-17 00:00:00.000,1554,15,"BLOOR ST W","day","BATHURST ST","","Major Arterial","Toronto and East York",11,14,43.665145,-79.41129,"Intersection","At Intersection","No Control","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","40 to 44","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,95,"Annex (95)",826,0,-2.1068599609788468,0.10843185508125244,0.89156814491874758,"Non-Fatal Injury",1
-8830350.70228704,5437574.12073515,3402270,898163,2006,2006-03-19 00:00:00.000,1743,17,"STEELES AVE E","day","WARDEN AVE","","Major Arterial","Scarborough",22,42,43.819645,-79.32439,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","50 to 54","","Major","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"Yes",1,"",0,"",0,116,"Steeles (116)",844,0,-2.5254691341768423,0.074091875090351533,0.92590812490964847,"Non-Fatal Injury",1
-8837096.66342912,5411629.2158406,3418652,904251,2006,2006-05-05 00:00:00.000,1150,11,"QUEEN ST W","day","YORK ST","","Major Arterial","Toronto and East York",10,52,43.651245,-79.38499,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","30 to 34","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,76,"Bay Street Corridor (76)",998,1,-2.3117173540105034,0.090157172928542917,0.90984282707145714,"Non-Fatal Injury",1
-8842484.52678351,5412152.32341019,4144470,958123,2007,2007-02-08 00:00:00.000,1038,10,"DUFFERIN ST","day","SYLVAN AVE","","Major Arterial","Toronto and East York",9,14,43.654645,-79.43339,"Intersection","","No Control","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","35 to 39","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,83,"Dufferin Grove (83)",1023,1,-2.2309457086692346,0.097005769443353013,0.90299423055664707,"Non-Fatal Injury",1
-8832187.47388513,5423390.90392252,3604183,932337,2006,2006-10-25 00:00:00.000,1300,13,"DON MILLS RD","day","GREEN BELT DR","","Major Arterial","North York",16,33,43.727645,-79.34089,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","30 to 34","","Minor","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,42,"Banbury-Don Mills (42)",1123,1,-2.9550808603627745,0.049496924542089663,0.95050307545791024,"Non-Fatal Injury",1
-8834035.3774323,5436386.20992887,3551795,934337,2006,2006-11-03 00:00:00.000,1053,10,"STEELES AVE E","day","TOWNSEND RD","","Major Arterial","North York",17,33,43.811945,-79.35749,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","50 to 54","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,48,"Hillcrest Village (48)",1159,0,-2.1040761341394347,0.108701273344447,0.891298726655553,"Non-Fatal Injury",1
-8831975.96685262,5412721.62118363,3612809,945617,2006,2006-11-14 00:00:00.000,1600,16,"CARLAW AVE","day","EASTERN AVE","","Major Arterial","Toronto and East York",14,55,43.658345,-79.33899,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","45 to 49","","None","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,70,"South Riverdale (70)",1194,0,-1.6062350570013288,0.16711198274598923,0.83288801725401085,"Non-Fatal Injury",1
-8841349.06797742,5418401.13316016,4123247,948311,2007,2007-01-05 00:00:00.000,1207,12,"BATHURST ST","day","WARWICK Ave","","Major Arterial","Toronto and East York",12,13,43.695245,-79.42319,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Approaching","Driver","45 to 49","","Minor","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,101,"Forest Hill South (101)",1218,0,-2.6487320744961407,0.066067200412607177,0.93393279958739273,"Non-Fatal Injury",1
-8855653.62254435,5415891.8665846,4123271,948322,2007,2007-01-05 00:00:00.000,1450,14,"KIPLING AVE","day","WIDDICOMBE HILL","","Major Arterial","Etobicoke York",2,23,43.678945,-79.55169,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","70 to 74","","Major","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,7,"Willowridge-Martingrove-Richview (7)",1228,0,-2.2457394865588709,0.095717602149573713,0.9042823978504263,"Non-Fatal Injury",1
-8856967.19253572,5419879.30256699,4292158,967962,2007,2007-04-15 00:00:00.000,1040,10,"KIPLING AVE","day","BELFIELD RD","","Major Arterial","Etobicoke York",1,23,43.704845,-79.56349,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","45 to 49","","Minimal","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"Yes",1,"",0,"",0,1,"West Humber-Clairville (1)",1327,1,-2.7001389758536734,0.062965155907839424,0.93703484409216065,"Non-Fatal Injury",1
-8836161.57970645,5429786.06691169,4167312,968074,2007,2007-04-17 00:00:00.000,751,7,"SHEPPARD AVE E","day","BESSARION RD","","Major Arterial","North York",17,33,43.769145,-79.37659,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Angle","Driver","70 to 74","","None","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,"Yes",1,"",0,"",0,52,"Bayview Village (52)",1335,0,-2.2457394865588709,0.095717602149573713,0.9042823978504263,"Non-Fatal Injury",1
-8838933.4350272,5414075.76765456,4171423,969841,2007,2007-04-21 00:00:00.000,1741,17,"BLOOR ST W","day","HURON ST","","Major Arterial","Toronto and East York",11,53,43.667145,-79.40149,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","25 to 29","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"Yes",1,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,79,"University (79)",1362,0,-25.380900966780636,9.488875848129192E-12,0.99999999999051115,"Non-Fatal Injury",1
-8857534.92193876,5426256.62146313,3519361,941748,2006,2006-11-23 00:00:00.000,1352,13,"FINCH AVE W","day","ISLINGTON AVE","","Major Arterial","Etobicoke York",,31,43.746245,-79.56859,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","25 to 29","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,21,"Humber Summit (21)",1369,0,-2.9399994458093675,0.050211299619680488,0.94978870038031959,"Non-Fatal Injury",1
