numero_boletim,data hora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,data_alteracao_smsa,valor_ups_antiga,descricao_ups_antiga
2017-016427669-001,2017-07-17 17:30:00.000,2017-07-17 19:34:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60892579,780971780,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010256006-001,2017-05-16 17:12:00.000,2017-05-16 19:45:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,18,BARREIRO,POLICIA MILITAR,NÃO,0,60175400,779053909,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-020295750-001,2017-08-12 08:51:00.000,2017-08-12 10:09:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,0,,POLICIA MILITAR,NÃO,0,59981447,778899720,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-036205976-001,2017-11-23 11:30:00.000,2017-11-23 14:05:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,18,BARREIRO,POLICIA MILITAR,NÃO,0,0,0,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-024259063-001,2017-09-06 17:04:00.000,2017-09-06 20:07:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61096886,779927456,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-008732485-001,2017-04-26 08:33:00.000,2017-04-26 09:43:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60859573,779832784,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-006448484-001,2017-03-26 17:01:00.000,2017-03-26 19:16:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,60,60689918,779760874,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-032838815-001,2017-10-31 19:30:00.000,2017-10-31 22:12:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,0,,POLICIA MILITAR,NÃO,0,60684067,779668415,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-012446982-001,2017-06-14 09:28:00.000,2017-06-14 10:33:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61209339,780126282,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-000514651-001,2017-01-07 17:22:00.000,2017-01-07 18:34:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60524237,780998986,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-023555580-001,2017-09-02 04:27:00.000,2017-09-02 05:13:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61141520,779504724,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-009955530-001,2017-05-06 16:04:00.000,2017-05-12 16:07:00.000, H04000,QUEDA DE PESSOA DE VEICULO,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61578806,780479506,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-000015654-001,2017-01-01 06:04:00.000,2017-01-01 08:36:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61168050,779609098,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-018771991-001,2017-08-02 11:41:00.000,2017-08-02 13:06:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60966572,779768008,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-011821279-001,2017-06-06 09:58:00.000,2017-06-06 13:19:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60840336,779748611,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-020011427-001,2017-08-09 07:20:00.000,2017-08-10 14:46:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA CIVIL,NÃO,0,60988539,779726650,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-005986388-001,2017-03-20 15:02:00.000,2017-03-20 16:45:00.000, H04000,QUEDA DE PESSOA DE VEICULO,1,BOM,4,CALCAMENTO,18,BARREIRO,POLICIA MILITAR,NÃO,0,60244030,779105107,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-005794877-001,2017-03-17 12:29:00.000,2017-03-17 17:54:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,NÃO,0,60407417,779942823,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-035198320-001,2017-11-16 17:09:00.000,2017-11-16 18:35:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61082813,779696997,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002799000-001,2017-02-06 00:15:00.000,2017-02-07 11:06:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA CIVIL,NÃO,0,60572793,781009484,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-006965170-001,2017-04-02 11:55:00.000,2017-04-02 16:04:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60855021,778912968,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-024300074-001,2017-09-06 23:33:00.000,2017-09-07 01:58:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60583552,779862387,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002306540-001,2017-01-31 15:03:00.000,2017-01-31 16:56:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,60,60809351,779725649,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-009264207-001,2017-05-03 13:51:00.000,2017-05-03 19:03:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,1,BOM,1,ASFALTO,18,BARREIRO,POLICIA MILITAR,NÃO,0,60334322,779085949,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002618873-001,2017-02-04 16:15:00.000,2017-02-04 19:23:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60439097,780884499,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-025081553-001,2017-09-12 12:00:00.000,2017-09-12 13:09:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,24,OESTE,POLICIA MILITAR,NÃO,0,60890353,779593736,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-030553653-001,2017-10-17 16:06:00.000,2017-10-17 17:16:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60680970,779761081,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-022959994-001,2017-08-29 17:33:00.000,2017-08-29 18:43:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61270926,779668693,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-028949951-001,2017-10-06 21:02:00.000,2017-10-06 22:24:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61005163,779540083,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-021979684-001,2017-08-23 12:28:00.000,2017-08-23 13:57:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60711284,779884631,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-005753279-001,2017-03-17 07:59:00.000,2017-03-17 10:47:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61085273,779835432,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-008073264-001,2017-04-17 12:45:00.000,2017-04-17 14:54:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60785798,780032079,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010461174-001,2017-05-19 11:37:00.000,2017-05-19 11:41:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,23,NORTE,POLICIA MILITAR,NÃO,0,61023044,780544864,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-035460079-001,2017-11-18 12:10:00.000,2017-11-18 14:04:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61248638,780153215,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002030841-001,2017-01-27 17:48:00.000,2017-01-27 19:17:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,61037344,779906837,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-034750062-001,2017-11-13 18:54:00.000,2017-11-13 20:45:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61145104,779235395,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-037047577-001,2017-11-28 22:58:00.000,2017-11-29 00:54:00.000, H99002,OUTROS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,24,OESTE,POLICIA MILITAR,NÃO,0,60455421,779481695,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002831364-001,2017-02-07 09:02:00.000,2017-02-07 15:52:00.000, H04000,QUEDA DE PESSOA DE VEICULO,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61436773,780189728,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010137988-001,2017-05-15 13:32:00.000,2017-05-15 14:42:00.000, H01002,ABALROAMENTO COM VITIMA,4,NUBLADO,1,ASFALTO,24,OESTE,POLICIA MILITAR,NÃO,0,60790924,779178710,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-009357320-001,2017-05-04 20:09:00.000,2017-05-04 21:55:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,23,NORTE,POLICIA MILITAR,NÃO,0,61125956,780603738,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010337112-001,2017-05-17 16:28:00.000,2017-05-17 18:59:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,23,NORTE,POLICIA MILITAR,NÃO,0,61300643,780462915,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-013041468-001,2017-06-21 12:30:00.000,2017-06-22 10:52:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61471333,780196944,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-039142484-001,2017-12-13 00:19:00.000,2017-12-13 00:24:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61532038,779863756,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-023416496-001,2017-09-01 10:52:00.000,2017-09-01 11:06:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,18,BARREIRO,POLICIA MILITAR,NÃO,0,60223785,779095421,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-040050747-001,2017-12-19 11:14:00.000,2017-12-19 11:32:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,60981646,779419017,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010449912-001,2017-05-19 08:31:00.000,2017-05-19 09:53:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60922062,779717939,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-039101302-001,2017-12-12 18:13:00.000,2017-12-12 18:52:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61081322,780192118,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-013936133-001,2017-06-30 20:18:00.000,2017-06-30 22:45:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,NÃO,0,60934576,780644892,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-001474642-001,2017-01-20 12:51:00.000,2017-01-20 14:24:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61181369,779495391,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-015799291-001,2017-07-12 06:30:00.000,2017-07-13 13:07:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,23,NORTE,POLICIA MILITAR,NÃO,0,61047010,780900987,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-040599964-001,2017-12-22 21:27:00.000,2017-12-22 21:28:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61446473,779975277,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-041645241-001,2017-12-30 10:49:00.000,2017-12-30 11:58:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,0,,POLICIA MILITAR,NÃO,0,0,0,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-006902280-001,2017-04-01 11:28:00.000,2017-04-01 11:32:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,61010726,781187559,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-033061177-001,2017-11-02 14:33:00.000,2017-11-02 14:39:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61250798,780224820,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-031938106-001,2017-10-26 09:45:00.000,2017-10-26 11:32:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60713048,779786820,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-000425523-001,2017-01-06 11:02:00.000,2017-01-06 13:13:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61182467,779771908,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-032586489-001,2017-10-28 01:00:00.000,2017-10-30 14:49:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,25,PAMPULHA,POLICIA MILITAR,NÃO,0,60914029,780320741,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-019994745-001,2017-08-10 13:09:00.000,2017-08-10 13:11:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,24,OESTE,POLICIA MILITAR,NÃO,0,60598700,779211425,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002947439-001,2017-02-08 20:34:00.000,2017-02-08 23:08:00.000, H01002,ABALROAMENTO COM VITIMA,4,NUBLADO,1,ASFALTO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61097293,780221266,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-030354012-001,2017-10-16 12:58:00.000,2017-10-16 15:02:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60967729,780986608,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-018961616-001,2017-08-03 13:42:00.000,2017-08-03 15:53:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,61038462,780800594,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-021674040-001,2017-08-21 15:20:00.000,2017-08-21 16:30:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,20,LESTE,POLICIA MILITAR,NÃO,0,61308288,779645966,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-011440226-001,2017-06-01 12:54:00.000,2017-06-01 13:58:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,1,BOM,1,ASFALTO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61082199,779884944,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-017524931-001,2017-07-25 00:30:00.000,2017-07-25 04:31:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,0,0,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-017609381-001,2017-07-25 07:15:00.000,2017-07-25 16:40:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,0,,POLICIA CIVIL,NÃO,0,61380582,779905921,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-018426750-001,2017-06-22 07:50:00.000,2017-07-31 10:29:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,18,BARREIRO,POLICIA CIVIL,NÃO,0,0,0,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-017130002-001,2017-07-22 03:06:00.000,2017-07-22 04:43:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,4,CALCAMENTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60798126,779864068,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-040212370-001,2017-12-20 11:50:00.000,2017-12-20 12:36:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60820921,780912929,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-032988232-001,2017-11-01 20:48:00.000,2017-11-01 22:12:00.000, H06002,ATROPELAMENTO DE PESSOA SEM VITIMA FATAL,2,CHUVA,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60844079,780027620,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-015908444-001,2017-07-14 00:11:00.000,2017-07-14 01:28:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,60,0,0,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-009389601-001,2017-05-05 09:06:00.000,2017-05-05 11:32:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60811911,779869324,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-005786814-001,2017-03-17 15:05:00.000,2017-03-17 16:33:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60839324,779865938,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-024741170-001,2017-09-10 06:13:00.000,2017-09-10 10:26:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61280706,779594574,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010384549-001,2017-05-18 11:26:00.000,2017-05-18 13:10:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61298021,779661517,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
