School Name,Subjects,ID
"ASSUMPTION ENGLISH SCHOOL","PHYSICAL EDUCATION",20
"BARTLEY SECONDARY SCHOOL","PHYSICAL EDUCATION",22
"BEACON PRIMARY SCHOOL","PHYSICAL EDUCATION",23
"BEATTY SECONDARY SCHOOL","PHYSICAL EDUCATION",24
"BEDOK GREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",25
"BEDOK GREEN SECONDARY SCHOOL","PHYSICAL EDUCATION",26
"BEDOK SOUTH SECONDARY SCHOOL","PHYSICAL EDUCATION",27
"BEDOK VIEW SECONDARY SCHOOL","PHYSICAL EDUCATION",28
"BENDEMEER PRIMARY SCHOOL","PHYSICAL EDUCATION",29
"BENDEMEER SECONDARY SCHOOL","PHYSICAL EDUCATION",30
"BLANGAH RISE PRIMARY SCHOOL","PHYSICAL EDUCATION",31
"BOON LAY GARDEN PRIMARY SCHOOL","PHYSICAL EDUCATION",32
"BOON LAY SECONDARY SCHOOL","PHYSICAL EDUCATION",33
"BOWEN SECONDARY SCHOOL","PHYSICAL EDUCATION",34
"BROADRICK SECONDARY SCHOOL","PHYSICAL EDUCATION",35
"BUKIT BATOK SECONDARY SCHOOL","PHYSICAL EDUCATION",36
"BUKIT PANJANG GOVT. HIGH SCHOOL","PHYSICAL EDUCATION",38
"BUKIT PANJANG PRIMARY SCHOOL","PHYSICAL EDUCATION",39
"BUKIT TIMAH PRIMARY SCHOOL","PHYSICAL EDUCATION",40
"BUKIT VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",41
"CANBERRA PRIMARY SCHOOL","PHYSICAL EDUCATION",43
"CANBERRA SECONDARY SCHOOL","PHYSICAL EDUCATION",44
"CANOSSA CATHOLIC PRIMARY SCHOOL","PHYSICAL EDUCATION",45
"CANTONMENT PRIMARY SCHOOL","PHYSICAL EDUCATION",46
"CASUARINA PRIMARY SCHOOL","PHYSICAL EDUCATION",47
"CATHOLIC HIGH SCHOOL","PHYSICAL EDUCATION",48
"CEDAR GIRLS' SECONDARY SCHOOL","PHYSICAL EDUCATION",50
"CEDAR PRIMARY SCHOOL","PHYSICAL EDUCATION",51
"CHANGKAT CHANGI SECONDARY SCHOOL","PHYSICAL EDUCATION",52
"CHANGKAT PRIMARY SCHOOL","PHYSICAL EDUCATION",53
"CHIJ (KATONG) PRIMARY","PHYSICAL EDUCATION",54
"CHIJ OUR LADY OF THE NATIVITY","PHYSICAL EDUCATION",58
"CHIJ OUR LADY QUEEN OF PEACE","PHYSICAL EDUCATION",59
"CHIJ PRIMARY (TOA PAYOH)","PHYSICAL EDUCATION",60
"CHIJ SECONDARY (TOA PAYOH)","PHYSICAL EDUCATION",61
"CHIJ ST. JOSEPH'S CONVENT","PHYSICAL EDUCATION",62
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","PHYSICAL EDUCATION",63
"CHIJ ST. THERESA'S CONVENT","PHYSICAL EDUCATION",64
"CHONGFU SCHOOL","PHYSICAL EDUCATION",65
"CHONGZHENG PRIMARY SCHOOL","PHYSICAL EDUCATION",66
"CHUA CHU KANG PRIMARY SCHOOL","PHYSICAL EDUCATION",68
"CHUA CHU KANG SECONDARY SCHOOL","PHYSICAL EDUCATION",69
"CHUNG CHENG HIGH SCHOOL (MAIN)","PHYSICAL EDUCATION",70
"CHUNG CHENG HIGH SCHOOL (YISHUN)","PHYSICAL EDUCATION",71
"CLEMENTI PRIMARY SCHOOL","PHYSICAL EDUCATION",72
"CLEMENTI TOWN SECONDARY SCHOOL","PHYSICAL EDUCATION",73
"COMMONWEALTH SECONDARY SCHOOL","PHYSICAL EDUCATION",74
"COMPASSVALE PRIMARY SCHOOL","PHYSICAL EDUCATION",75
"CONCORD PRIMARY SCHOOL","PHYSICAL EDUCATION",77
"CORPORATION PRIMARY SCHOOL","PHYSICAL EDUCATION",78
"CRESCENT GIRLS' SCHOOL","PHYSICAL EDUCATION",79
"CREST SECONDARY SCHOOL","PHYSICAL EDUCATION",80
"DAMAI PRIMARY SCHOOL","PHYSICAL EDUCATION",81
"DAMAI SECONDARY SCHOOL","PHYSICAL EDUCATION",82
"DAZHONG PRIMARY SCHOOL","PHYSICAL EDUCATION",83
"DE LA SALLE SCHOOL","PHYSICAL EDUCATION",84
"DEYI SECONDARY SCHOOL","PHYSICAL EDUCATION",85
"DUNMAN SECONDARY SCHOOL","PHYSICAL EDUCATION",88
"EAST SPRING PRIMARY SCHOOL","PHYSICAL EDUCATION",89
"EAST SPRING SECONDARY SCHOOL","PHYSICAL EDUCATION",90
"EDGEFIELD PRIMARY SCHOOL","PHYSICAL EDUCATION",91
"ELIAS PARK PRIMARY SCHOOL","PHYSICAL EDUCATION",93
"ENDEAVOUR PRIMARY SCHOOL","PHYSICAL EDUCATION",94
"EUNOS PRIMARY SCHOOL","PHYSICAL EDUCATION",96
"EVERGREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",97
"EVERGREEN SECONDARY SCHOOL","PHYSICAL EDUCATION",98
"FAIRFIELD METHODIST SCHOOL (PRIMARY)","PHYSICAL EDUCATION",99
"FARRER PARK PRIMARY SCHOOL","PHYSICAL EDUCATION",102
"FENGSHAN PRIMARY SCHOOL","PHYSICAL EDUCATION",103
"FERN GREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",104
"FERNVALE PRIMARY SCHOOL","PHYSICAL EDUCATION",105
"FIRST TOA PAYOH PRIMARY SCHOOL","PHYSICAL EDUCATION",106
"FRONTIER PRIMARY SCHOOL","PHYSICAL EDUCATION",107
"FUCHUN PRIMARY SCHOOL","PHYSICAL EDUCATION",108
"FUCHUN SECONDARY SCHOOL","PHYSICAL EDUCATION",109
"FUHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",110
"GAN ENG SENG PRIMARY SCHOOL","PHYSICAL EDUCATION",112
"GAN ENG SENG SCHOOL","PHYSICAL EDUCATION",113
"GEYLANG METHODIST SCHOOL (PRIMARY)","PHYSICAL EDUCATION",114
"GONGSHANG PRIMARY SCHOOL","PHYSICAL EDUCATION",116
"GREENDALE PRIMARY SCHOOL","PHYSICAL EDUCATION",117
"GREENDALE SECONDARY SCHOOL","PHYSICAL EDUCATION",118
"GREENRIDGE PRIMARY SCHOOL","PHYSICAL EDUCATION",119
"GREENRIDGE SECONDARY SCHOOL","PHYSICAL EDUCATION",120
"GREENWOOD PRIMARY SCHOOL","PHYSICAL EDUCATION",121
"GUANGYANG PRIMARY SCHOOL","PHYSICAL EDUCATION",122
"GUANGYANG SECONDARY SCHOOL","PHYSICAL EDUCATION",123
"HAI SING CATHOLIC SCHOOL","PHYSICAL EDUCATION",124
"HAIG GIRLS' SCHOOL","PHYSICAL EDUCATION",125
"HENRY PARK PRIMARY SCHOOL","PHYSICAL EDUCATION",126
"HILLGROVE SECONDARY SCHOOL","PHYSICAL EDUCATION",127
"HOLY INNOCENTS' HIGH SCHOOL","PHYSICAL EDUCATION",128
"HOLY INNOCENTS' PRIMARY SCHOOL","PHYSICAL EDUCATION",129
"HONG WEN SCHOOL","PHYSICAL EDUCATION",130
"HORIZON PRIMARY SCHOOL","PHYSICAL EDUCATION",131
"HOUGANG PRIMARY SCHOOL","PHYSICAL EDUCATION",132
"HOUGANG SECONDARY SCHOOL","PHYSICAL EDUCATION",133
"HUAMIN PRIMARY SCHOOL","PHYSICAL EDUCATION",135
"HWA CHONG INSTITUTION","PHYSICAL EDUCATION",136
"INNOVA PRIMARY SCHOOL","PHYSICAL EDUCATION",137
"JIEMIN PRIMARY SCHOOL","PHYSICAL EDUCATION",138
"JING SHAN PRIMARY SCHOOL","PHYSICAL EDUCATION",139
"JURONG PRIMARY SCHOOL","PHYSICAL EDUCATION",143
"JURONG SECONDARY SCHOOL","PHYSICAL EDUCATION",144
"JURONG WEST PRIMARY SCHOOL","PHYSICAL EDUCATION",145
"JURONGVILLE SECONDARY SCHOOL","PHYSICAL EDUCATION",147
"JUYING PRIMARY SCHOOL","PHYSICAL EDUCATION",148
"KEMING PRIMARY SCHOOL","PHYSICAL EDUCATION",150
"KENT RIDGE SECONDARY SCHOOL","PHYSICAL EDUCATION",151
"KHENG CHENG SCHOOL","PHYSICAL EDUCATION",152
"KONG HWA SCHOOL","PHYSICAL EDUCATION",153
"KRANJI PRIMARY SCHOOL","PHYSICAL EDUCATION",154
"KRANJI SECONDARY SCHOOL","PHYSICAL EDUCATION",155
"KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","PHYSICAL EDUCATION",156
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","PHYSICAL EDUCATION",157
"LAKESIDE PRIMARY SCHOOL","PHYSICAL EDUCATION",158
"LIANHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",159
"LOYANG VIEW SECONDARY SCHOOL","PHYSICAL EDUCATION",160
"MAHA BODHI SCHOOL","PHYSICAL EDUCATION",161
"MANJUSRI SECONDARY SCHOOL","PHYSICAL EDUCATION",162
"MARSILING PRIMARY SCHOOL","PHYSICAL EDUCATION",164
"MARSILING SECONDARY SCHOOL","PHYSICAL EDUCATION",165
"MARYMOUNT CONVENT SCHOOL","PHYSICAL EDUCATION",166
"MAYFLOWER PRIMARY SCHOOL","PHYSICAL EDUCATION",167
"MEE TOH SCHOOL","PHYSICAL EDUCATION",169
"MERIDIAN PRIMARY SCHOOL","PHYSICAL EDUCATION",170
"METHODIST GIRLS' SCHOOL (PRIMARY)","PHYSICAL EDUCATION",172
"MONTFORT JUNIOR SCHOOL","PHYSICAL EDUCATION",175
"NAN CHIAU HIGH SCHOOL","PHYSICAL EDUCATION",177
"NAN CHIAU PRIMARY SCHOOL","PHYSICAL EDUCATION",178
"NAN HUA HIGH SCHOOL","PHYSICAL EDUCATION",179
"NAN HUA PRIMARY SCHOOL","PHYSICAL EDUCATION",180
"NANYANG PRIMARY SCHOOL","PHYSICAL EDUCATION",183
"NATIONAL JUNIOR COLLEGE","PHYSICAL EDUCATION",184
"NAVAL BASE PRIMARY SCHOOL","PHYSICAL EDUCATION",185
"NAVAL BASE SECONDARY SCHOOL","PHYSICAL EDUCATION",186
"NGEE ANN PRIMARY SCHOOL","PHYSICAL EDUCATION",189
"NGEE ANN SECONDARY SCHOOL","PHYSICAL EDUCATION",190
"NORTH SPRING PRIMARY SCHOOL","PHYSICAL EDUCATION",191
"NORTH VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",192
"NORTH VISTA PRIMARY SCHOOL","PHYSICAL EDUCATION",193
"NORTH VISTA SECONDARY SCHOOL","PHYSICAL EDUCATION",194
"NORTHLAND PRIMARY SCHOOL","PHYSICAL EDUCATION",196
"NORTHLAND SECONDARY SCHOOL","PHYSICAL EDUCATION",197
"NORTHOAKS PRIMARY SCHOOL","PHYSICAL EDUCATION",199
"OASIS PRIMARY SCHOOL","PHYSICAL EDUCATION",202
"OPERA ESTATE PRIMARY SCHOOL","PHYSICAL EDUCATION",203
"PALM VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",206
"PARK VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",207
"PASIR RIS CREST SECONDARY SCHOOL","PHYSICAL EDUCATION",208
"PASIR RIS PRIMARY SCHOOL","PHYSICAL EDUCATION",209
"PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","PHYSICAL EDUCATION",211
"PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)","PHYSICAL EDUCATION",212
"PEI CHUN PUBLIC SCHOOL","PHYSICAL EDUCATION",213
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","PHYSICAL EDUCATION",214
"PEI HWA SECONDARY SCHOOL","PHYSICAL EDUCATION",215
"PEI TONG PRIMARY SCHOOL","PHYSICAL EDUCATION",216
"PEICAI SECONDARY SCHOOL","PHYSICAL EDUCATION",217
"PEIRCE SECONDARY SCHOOL","PHYSICAL EDUCATION",218
"PEIYING PRIMARY SCHOOL","PHYSICAL EDUCATION",219
"PING YI SECONDARY SCHOOL","PHYSICAL EDUCATION",220
"PIONEER PRIMARY SCHOOL","PHYSICAL EDUCATION",221
"POI CHING SCHOOL","PHYSICAL EDUCATION",222
"PRESBYTERIAN HIGH SCHOOL","PHYSICAL EDUCATION",223
"PRINCESS ELIZABETH PRIMARY SCHOOL","PHYSICAL EDUCATION",224
"PUNGGOL COVE PRIMARY SCHOOL","PHYSICAL EDUCATION",225
"PUNGGOL GREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",226
"PUNGGOL PRIMARY SCHOOL","PHYSICAL EDUCATION",227
"PUNGGOL SECONDARY SCHOOL","PHYSICAL EDUCATION",228
"PUNGGOL VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",229
"QIFA PRIMARY SCHOOL","PHYSICAL EDUCATION",230
"QIHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",231
"QUEENSTOWN PRIMARY SCHOOL","PHYSICAL EDUCATION",232
"QUEENSWAY SECONDARY SCHOOL","PHYSICAL EDUCATION",234
"RADIN MAS PRIMARY SCHOOL","PHYSICAL EDUCATION",235
"RAFFLES GIRLS' PRIMARY SCHOOL","PHYSICAL EDUCATION",236
"RAFFLES GIRLS' SCHOOL (SECONDARY)","PHYSICAL EDUCATION",237
"RED SWASTIKA SCHOOL","PHYSICAL EDUCATION",239
"RIVER VALLEY HIGH SCHOOL","PHYSICAL EDUCATION",241
"RIVER VALLEY PRIMARY SCHOOL","PHYSICAL EDUCATION",242
"RIVERSIDE PRIMARY SCHOOL","PHYSICAL EDUCATION",243
"RIVERSIDE SECONDARY SCHOOL","PHYSICAL EDUCATION",244
"RIVERVALE PRIMARY SCHOOL","PHYSICAL EDUCATION",245
"ROSYTH SCHOOL","PHYSICAL EDUCATION",246
"RULANG PRIMARY SCHOOL","PHYSICAL EDUCATION",247
"SEMBAWANG PRIMARY SCHOOL","PHYSICAL EDUCATION",250
"SEMBAWANG SECONDARY SCHOOL","PHYSICAL EDUCATION",251
"SENG KANG PRIMARY SCHOOL","PHYSICAL EDUCATION",252
"SENG KANG SECONDARY SCHOOL","PHYSICAL EDUCATION",253
"SENGKANG GREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",254
"SERANGOON SECONDARY SCHOOL","PHYSICAL EDUCATION",256
"SHUQUN PRIMARY SCHOOL","PHYSICAL EDUCATION",257
"SI LING PRIMARY SCHOOL","PHYSICAL EDUCATION",258
"SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","PHYSICAL EDUCATION",259
"SOUTH VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",262
"SPECTRA SECONDARY SCHOOL","PHYSICAL EDUCATION",263
"SPRINGDALE PRIMARY SCHOOL","PHYSICAL EDUCATION",264
"SPRINGFIELD SECONDARY SCHOOL","PHYSICAL EDUCATION",265
"ST. ANDREW'S JUNIOR COLLEGE","PHYSICAL EDUCATION",266
"ST. ANDREW'S JUNIOR SCHOOL","PHYSICAL EDUCATION",267
"ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL","PHYSICAL EDUCATION",269
"ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL","PHYSICAL EDUCATION",270
"ST. ANTHONY'S PRIMARY SCHOOL","PHYSICAL EDUCATION",271
"ST. GABRIEL'S PRIMARY SCHOOL","PHYSICAL EDUCATION",272
"ST. GABRIEL'S SECONDARY SCHOOL","PHYSICAL EDUCATION",273
"ST. HILDA'S PRIMARY SCHOOL","PHYSICAL EDUCATION",274
"ST. JOSEPH'S INSTITUTION JUNIOR","PHYSICAL EDUCATION",277
"ST. MARGARET'S PRIMARY SCHOOL","PHYSICAL EDUCATION",278
"ST. PATRICK'S SCHOOL","PHYSICAL EDUCATION",280
"ST. STEPHEN'S SCHOOL","PHYSICAL EDUCATION",281
"STAMFORD PRIMARY SCHOOL","PHYSICAL EDUCATION",282
"SWISS COTTAGE SECONDARY SCHOOL","PHYSICAL EDUCATION",283
"TAMPINES MERIDIAN JUNIOR COLLEGE","PHYSICAL EDUCATION",284
"TAMPINES NORTH PRIMARY SCHOOL","PHYSICAL EDUCATION",285
"TAMPINES PRIMARY SCHOOL","PHYSICAL EDUCATION",286
"TAMPINES SECONDARY SCHOOL","PHYSICAL EDUCATION",287
"TANGLIN SECONDARY SCHOOL","PHYSICAL EDUCATION",288
"TANJONG KATONG GIRLS' SCHOOL","PHYSICAL EDUCATION",289
"TANJONG KATONG PRIMARY SCHOOL","PHYSICAL EDUCATION",290
"TANJONG KATONG SECONDARY SCHOOL","PHYSICAL EDUCATION",291
"TAO NAN SCHOOL","PHYSICAL EDUCATION",292
"TECK GHEE PRIMARY SCHOOL","PHYSICAL EDUCATION",293
"TECK WHYE PRIMARY SCHOOL","PHYSICAL EDUCATION",294
"TECK WHYE SECONDARY SCHOOL","PHYSICAL EDUCATION",295
"TELOK KURAU PRIMARY SCHOOL","PHYSICAL EDUCATION",296
"TEMASEK PRIMARY SCHOOL","PHYSICAL EDUCATION",298
"TEMASEK SECONDARY SCHOOL","PHYSICAL EDUCATION",299
"TOWNSVILLE PRIMARY SCHOOL","PHYSICAL EDUCATION",300
"UNITY PRIMARY SCHOOL","PHYSICAL EDUCATION",301
"VICTORIA SCHOOL","PHYSICAL EDUCATION",305
"WATERWAY PRIMARY SCHOOL","PHYSICAL EDUCATION",306
"WELLINGTON PRIMARY SCHOOL","PHYSICAL EDUCATION",307
"WEST GROVE PRIMARY SCHOOL","PHYSICAL EDUCATION",308
"WEST SPRING PRIMARY SCHOOL","PHYSICAL EDUCATION",309
"WEST VIEW PRIMARY SCHOOL","PHYSICAL EDUCATION",311
"WESTWOOD PRIMARY SCHOOL","PHYSICAL EDUCATION",312
"WHITE SANDS PRIMARY SCHOOL","PHYSICAL EDUCATION",314
"WHITLEY SECONDARY SCHOOL","MUSIC",315
"WOODGROVE PRIMARY SCHOOL","MUSIC",316
"WOODGROVE SECONDARY SCHOOL","MUSIC",317
"WOODLANDS PRIMARY SCHOOL","MUSIC",318
"WOODLANDS RING PRIMARY SCHOOL","MUSIC",319
"WOODLANDS RING SECONDARY SCHOOL","MUSIC",320
"WOODLANDS SECONDARY SCHOOL","MUSIC",321
"XINGHUA PRIMARY SCHOOL","MUSIC",322
"XINGNAN PRIMARY SCHOOL","MUSIC",323
"XINMIN PRIMARY SCHOOL","MUSIC",324
"XINMIN SECONDARY SCHOOL","MUSIC",325
"XISHAN PRIMARY SCHOOL","MUSIC",326
"YANGZHENG PRIMARY SCHOOL","MUSIC",327
"YEW TEE PRIMARY SCHOOL","MUSIC",328
"YIO CHU KANG PRIMARY SCHOOL","MUSIC",329
"YIO CHU KANG SECONDARY SCHOOL","MUSIC",330
"YISHUN PRIMARY SCHOOL","MUSIC",332
"YISHUN TOWN SECONDARY SCHOOL","MUSIC",334
"YU NENG PRIMARY SCHOOL","MUSIC",335
"YUAN CHING SECONDARY SCHOOL","MUSIC",336
"YUHUA PRIMARY SCHOOL","MUSIC",337
"YUHUA SECONDARY SCHOOL","MUSIC",338
"YUMIN PRIMARY SCHOOL","MUSIC",339
"YUSOF ISHAK SECONDARY SCHOOL","MUSIC",340
"ZHANGDE PRIMARY SCHOOL","MUSIC",342
"ZHENGHUA PRIMARY SCHOOL","MUSIC",343
"ZHENGHUA SECONDARY SCHOOL","MUSIC",344
"ZHONGHUA PRIMARY SCHOOL","MUSIC",345
"ZHONGHUA SECONDARY SCHOOL","MUSIC",346
"ADMIRALTY PRIMARY SCHOOL","MUSIC",1
"ADMIRALTY SECONDARY SCHOOL","MUSIC",2
"AHMAD IBRAHIM PRIMARY SCHOOL","MUSIC",3
"AI TONG SCHOOL","MUSIC",5
"ALEXANDRA PRIMARY SCHOOL","MUSIC",6
"ANCHOR GREEN PRIMARY SCHOOL","MUSIC",7
"ANDERSON PRIMARY SCHOOL","MUSIC",8
"ANG MO KIO PRIMARY SCHOOL","MUSIC",11
"ANGLO-CHINESE SCHOOL (BARKER ROAD)","MUSIC",15
"ANGLO-CHINESE SCHOOL (JUNIOR)","MUSIC",17
"ANGLO-CHINESE SCHOOL (PRIMARY)","MUSIC",18
"ANGSANA PRIMARY SCHOOL","MUSIC",19
"ASSUMPTION ENGLISH SCHOOL","MUSIC",20
"BARTLEY SECONDARY SCHOOL","MUSIC",22
"BEACON PRIMARY SCHOOL","MUSIC",23
"BEATTY SECONDARY SCHOOL","MUSIC",24
"BEDOK GREEN PRIMARY SCHOOL","MUSIC",25
"BEDOK GREEN SECONDARY SCHOOL","MUSIC",26
"BEDOK SOUTH SECONDARY SCHOOL","MUSIC",27
"BEDOK VIEW SECONDARY SCHOOL","MUSIC",28
"BENDEMEER PRIMARY SCHOOL","MUSIC",29
"BENDEMEER SECONDARY SCHOOL","MUSIC",30
"BLANGAH RISE PRIMARY SCHOOL","MUSIC",31
"BOON LAY GARDEN PRIMARY SCHOOL","MUSIC",32
"BOWEN SECONDARY SCHOOL","MUSIC",34
"BROADRICK SECONDARY SCHOOL","MUSIC",35
"BUKIT BATOK SECONDARY SCHOOL","MUSIC",36
"BUKIT MERAH SECONDARY SCHOOL","MUSIC",37
"BUKIT PANJANG GOVT. HIGH SCHOOL","MUSIC",38
"BUKIT PANJANG PRIMARY SCHOOL","MUSIC",39
"BUKIT TIMAH PRIMARY SCHOOL","MUSIC",40
"BUKIT VIEW PRIMARY SCHOOL","MUSIC",41
"BUKIT VIEW SECONDARY SCHOOL","MUSIC",42
"CANBERRA PRIMARY SCHOOL","MUSIC",43
"CANBERRA SECONDARY SCHOOL","MUSIC",44
"CANOSSA CATHOLIC PRIMARY SCHOOL","MUSIC",45
"CANTONMENT PRIMARY SCHOOL","MUSIC",46
"CASUARINA PRIMARY SCHOOL","MUSIC",47
"CATHOLIC HIGH SCHOOL","MUSIC",48
"CEDAR PRIMARY SCHOOL","MUSIC",51
"CHANGKAT CHANGI SECONDARY SCHOOL","MUSIC",52
"CHANGKAT PRIMARY SCHOOL","MUSIC",53
"CHIJ (KATONG) PRIMARY","MUSIC",54
"CHIJ OUR LADY OF THE NATIVITY","MUSIC",58
"CHIJ OUR LADY QUEEN OF PEACE","MUSIC",59
"CHIJ PRIMARY (TOA PAYOH)","MUSIC",60
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","MUSIC",63
"CHIJ ST. THERESA'S CONVENT","MUSIC",64
"CHONGFU SCHOOL","MUSIC",65
"CHONGZHENG PRIMARY SCHOOL","MUSIC",66
"CHRIST CHURCH SECONDARY SCHOOL","MUSIC",67
"CHUA CHU KANG PRIMARY SCHOOL","MUSIC",68
"CHUA CHU KANG SECONDARY SCHOOL","MUSIC",69
"CHUNG CHENG HIGH SCHOOL (MAIN)","MUSIC",70
"CHUNG CHENG HIGH SCHOOL (YISHUN)","MUSIC",71
"CLEMENTI PRIMARY SCHOOL","MUSIC",72
"CLEMENTI TOWN SECONDARY SCHOOL","MUSIC",73
"COMMONWEALTH SECONDARY SCHOOL","MUSIC",74
"COMPASSVALE PRIMARY SCHOOL","MUSIC",75
"CONCORD PRIMARY SCHOOL","MUSIC",77
"CORPORATION PRIMARY SCHOOL","MUSIC",78
"CRESCENT GIRLS' SCHOOL","MUSIC",79
"DAMAI PRIMARY SCHOOL","MUSIC",81
"DAMAI SECONDARY SCHOOL","MUSIC",82
"DAZHONG PRIMARY SCHOOL","MUSIC",83
"DE LA SALLE SCHOOL","MUSIC",84
"DUNEARN SECONDARY SCHOOL","MUSIC",86
"EAST SPRING PRIMARY SCHOOL","MUSIC",89
"ELIAS PARK PRIMARY SCHOOL","MUSIC",93
"ENDEAVOUR PRIMARY SCHOOL","MUSIC",94
"EUNOS PRIMARY SCHOOL","MUSIC",96
"EVERGREEN PRIMARY SCHOOL","MUSIC",97
"EVERGREEN SECONDARY SCHOOL","MUSIC",98
"FAIRFIELD METHODIST SCHOOL (PRIMARY)","MUSIC",99
"FAJAR SECONDARY SCHOOL","MUSIC",101
"FARRER PARK PRIMARY SCHOOL","MUSIC",102
"FENGSHAN PRIMARY SCHOOL","MUSIC",103
"FERN GREEN PRIMARY SCHOOL","MUSIC",104
"FERNVALE PRIMARY SCHOOL","MUSIC",105
"FIRST TOA PAYOH PRIMARY SCHOOL","MUSIC",106
"FRONTIER PRIMARY SCHOOL","MUSIC",107
"FUCHUN PRIMARY SCHOOL","MUSIC",108
"FUCHUN SECONDARY SCHOOL","MUSIC",109
"FUHUA PRIMARY SCHOOL","MUSIC",110
"FUHUA SECONDARY SCHOOL","MUSIC",111
"GAN ENG SENG PRIMARY SCHOOL","MUSIC",112
"GAN ENG SENG SCHOOL","MUSIC",113
"GEYLANG METHODIST SCHOOL (PRIMARY)","MUSIC",114
"GONGSHANG PRIMARY SCHOOL","MUSIC",116
