FACT_POSITION.Ausrückzeit,FACT_POSITION.FACT_EINSATZ_SK,FACT_POSITION.FACT_POSITION_SK,FACT_POSITION.UniqueKey
"","231","8335","0000409374000100"
"","232","4183","0000409383000200"
"","237","4185","0000409417000100"
"","238","7938","0000409471000100"
"","239","4610","0000409781000100"
"","262","4611","0000406854000100"
"","265","38","0000407087000100"
"","265","22483","0000407087000200"
"","266","5431","0000407095000100"
"","268","8338","0000409541000100"
"","270","10833","0000409558000100"
"","272","22484","0000381042000100"
"","273","4613","0000381070000200"
"","273","7939","0000381070000300"
"","273","10834","0000381070000100"
"","276","7940","0000412038000100"
"","282","4615","0000408296000100"
"","282","10836","0000408296000200"
"","282","22488","0000408296000300"
"","289","40","0000411940000100"
"","289","5434","0000411940000200"
"","300","4187","0000412329000100"
"","356","10839","0000409786000100"
"","357","7941","0000409787000100"
"","358","7942","0000409788000100"
"","361","4618","0000409816000100"
"","407","4189","0000407901000100"
"","409","4190","0000407960000200"
"","409","5436","0000407960000100"
"","409","8342","0000407960000300"
"","410","4619","0000408014000100"
"","419","7945","0000412139000100"
"","420","22489","0000412149000100"
"","421","42","0000412199000100"
"","421","43","0000412199000300"
"","421","5437","0000412199000200"
"","434","4192","0000139477000100"
"","435","4620","0000139500000100"
"","436","4193","0000139505000100"
"","437","22490","0000139506000100"
"","442","10840","0000140965000100"
"","443","4621","0000140968000100"
"","444","44","0000141032000100"
"","445","45","0000141040000100"
"","446","10841","0000141049000100"
"","447","22491","0000141163000100"
"","448","7946","0000141164000100"
"","449","4622","0000141209000100"
"","450","8343","0000141222000100"
"","451","4194","0000141225000100"
"","452","4623","0000141227000100"
"","453","46","0000141229000300"
"","453","4195","0000141229000200"
"","453","22492","0000141229000100"
"","455","10842","0000403545000200"
"","460","8344","0000411058000100"
"","461","8345","0000139526000100"
"","462","8346","0000139532000100"
"","463","4624","0000139596000100"
"","464","7948","0000139610000100"
"","465","7949","0000139696000100"
"","466","10844","0000139817000100"
"","467","48","0000139819000100"
"","468","22494","0000139820000100"
"","469","8347","0000139891000100"
"","470","49","0000139941000100"
"","471","10845","0000141794000100"
"","474","8348","0000410472000100"
"","474","10846","0000410472000200"
"","475","5440","0000410475000100"
"","476","4625","0000410476000100"
"","477","4626","0000410478000200"
"","477","8349","0000410478000100"
"","477","8350","0000410478000300"
"","479","10847","0000410537000200"
"","479","10848","0000410537000300"
"","479","22495","0000410537000100"
"","490","22496","0000140315000100"
"","491","8351","0000140317000100"
"","492","4197","0000140320000100"
"","493","4627","0000140329000200"
"","493","10849","0000140329000100"
"","502","5441","0000144022000100"
"","503","51","0000140332000100"
"","504","22497","0000140567000100"
"","505","22498","0000140571000100"
"","506","4198","0000140590000100"
"","515","4628","0000140216000100"
"","516","52","0000140217000100"
"","517","5442","0000140218000100"
"","518","4629","0000140221000100"
"","518","7951","0000140221000200"
"","519","5443","0000140222000100"
"","520","10850","0000140239000100"
"","521","8352","0000140247000100"
"","522","10851","0000140255000100"
"","523","7952","0000140258000100"
"","541","4630","0000139539000100"
"","542","8353","0000139540000100"
"","543","7953","0000139544000100"
"","544","53","0000139561000100"
"","545","54","0000139875000100"
"","546","4631","0000139914000100"
"","548","56","0000410657000100"
"","552","4199","0000410682000100"
"","554","5444","0000410991000200"
"","554","5445","0000410991000300"
"","554","10852","0000410991000100"
"","592","10853","0000404441000100"
"","595","22500","0000404455000100"
"","595","22501","0000404455000200"
"","597","4200","0000404556000100"
"","597","5448","0000404556000300"
"","597","8358","0000404556000200"
"","597","8359","0000404556000400"
"","598","7955","0000404562000200"
"","613","60","0000398233000100"
"","633","22502","0000410368000100"
"","634","8362","0000410370000100"
"","635","4204","0000410376000100"
"","637","7956","0000410382000100"
"","638","4635","0000410384000300"
"","638","22503","0000410384000400"
"","639","4206","0000410391000100"
"","640","7957","0000410405000100"
"","644","4636","0000410423000100"
"","644","5450","0000410423000200"
"","644","5451","0000410423000300"
"","645","62","0000410486000100"
"","651","10857","0000140189000100"
"","652","63","0000140596000100"
"","653","22504","0000140612000100"
"","654","4208","0000140613000100"
"","655","4637","0000140614000100"
"","656","5452","0000140642000100"
"","657","4638","0000140795000100"
"","658","10858","0000140810000100"
"","659","64","0000140811000100"
"","660","10859","0000140814000100"
"","672","65","0000144874000100"
"","672","22505","0000144874000200"
"","673","22506","0000144927000100"
"","674","22507","0000411062000100"
"","675","22508","0000411080000200"
"","676","7959","0000411081000200"
"","676","10860","0000411081000100"
"","677","67","0000411251000100"
"","677","68","0000411251000200"
"","677","10861","0000411251000300"
"","678","22509","0000142893000100"
"","679","8363","0000142907000100"
"","680","69","0000142970000100"
"","680","8364","0000142970000300"
"","680","10862","0000142970000200"
"","681","10863","0000143054000100"
"","682","10864","0000143056000100"
"","683","4209","0000143064000100"
"","684","8365","0000143075000100"
"","685","8366","0000144039000100"
"","686","10865","0000144406000100"
"","687","70","0000144423000100"
"","688","10866","0000144425000100"
"","689","22510","0000144426000100"
"","690","4210","0000144448000100"
"","696","4211","0000139122000100"
"","697","5453","0000139125000100"
"","698","22511","0000139128000100"
"","699","7960","0000139155000100"
"","700","4212","0000139159000100"
"","701","71","0000139166000100"
"","702","4639","0000139174000100"
"","702","10867","0000139174000200"
"","703","7961","0000139186000100"
"","703","8367","0000139186000200"
"","704","4640","0000139271000100"
"","705","4213","0000139291000100"
"","706","4214","0000139298000200"
"","706","10868","0000139298000100"
"","707","22512","0000139316000100"
"","708","4215","0000139321000200"
"","708","7962","0000139321000100"
"","709","5454","0000139374000300"
"","709","7963","0000139374000100"
"","709","8368","0000139374000200"
"","710","8369","0000139394000100"
"","711","4641","0000140822000100"
"","712","10869","0000140932000100"
"","713","4642","0000145633000100"
"","714","4216","0000145638000100"
"","714","7964","0000145638000200"
"","715","10870","0000143086000100"
"","716","4217","0000143088000100"
"","717","4643","0000143090000100"
"","718","7965","0000143098000100"
"","719","5455","0000143103000100"
"","720","10871","0000143106000100"
"","721","4218","0000143108000100"
"","722","8370","0000143109000100"
"","722","22513","0000143109000200"
"","723","22514","0000144460000100"
"","723","22515","0000144460000200"
"","724","7966","0000144469000100"
"","725","5456","0000144497000100"
"","727","4219","0000140943000100"
"","728","4220","0000140946000100"
"","729","7967","0000141090000100"
"","730","7968","0000141093000100"
"","735","7969","0000139964000100"
"","736","5457","0000139974000100"
"","737","22516","0000139981000100"
"","738","72","0000139982000100"
"","739","5458","0000140033000100"
"","740","4221","0000140034000100"
"","741","5459","0000140051000100"
"","742","22517","0000140058000100"
"","743","4222","0000140061000100"
"","743","8371","0000140061000200"
"","744","4223","0000140065000100"
"","745","8372","0000140123000100"
"","746","5460","0000140129000100"
"","747","73","0000140134000100"
"","748","7970","0000140136000100"
"","749","74","0000140143000100"
"","750","4224","0000140152000100"
"","765","4644","0000410965000100"
"","765","4645","0000410965000200"
"","765","7972","0000410965000300"
"","766","8374","0000142638000100"
"","767","8375","0000142639000100"
"","768","4225","0000142699000100"
"","768","22518","0000142699000200"
"","769","4226","0000142766000100"
"","770","10872","0000142771000100"
"","771","7973","0000142776000100"
"","772","4227","0000142779000100"
"","773","5461","0000142780000100"
"","774","8376","0000142783000100"
"","775","4646","0000142784000100"
"","776","75","0000142787000200"
"","776","10873","0000142787000100"
"","781","8377","0000138988000100"
"","782","22519","0000138996000100"
"","783","5462","0000139005000100"
"","784","22520","0000139008000100"
"","785","4228","0000139015000100"
"","786","4229","0000140367000100"
"","787","4647","0000140368000100"
"","788","5463","0000140382000100"
"","789","10874","0000140389000100"
"","790","5464","0000140401000100"
"","791","76","0000140767000100"
"","792","10875","0000140768000100"
"","793","7974","0000140935000100"
"","794","4648","0000145580000100"
"","795","10876","0000145584000100"
"","796","4649","0000145591000100"
"","797","4650","0000145595000100"
"","800","8378","0000140192000100"
"","811","10877","0000139014000100"
"","812","5465","0000139031000100"
"","813","7975","0000139032000100"
"","814","5466","0000139034000100"
"","815","4651","0000139035000100"
"","833","77","0000141276000100"
"","834","10878","0000141283000100"
"","835","4652","0000141293000100"
"","836","5467","0000141389000100"
"","837","10879","0000141393000100"
"","838","8379","0000141401000100"
"","839","4653","0000141403000100"
"","840","8380","0000141428000100"
"","840","10880","0000141428000200"
"","841","5468","0000407574000100"
"","847","7977","0000142487000100"
"","848","7978","0000142491000200"
"","848","8381","0000142491000100"
"","857","22522","0000408575000100"
"","865","4657","0000408631000100"
"","869","7980","0000394000000200"
"","869","7981","0000394000000300"
"","869","22523","0000394000000100"
"","872","79","0000410212000100"
"","873","10882","0000410218000100"
"","874","22524","0000410233000100"
"","875","80","0000410245000100"
"","877","22525","0000410258000100"
"","878","22526","0000410260000100"
"","882","4234","0000411869000300"
"","882","4659","0000411869000200"
"","882","8387","0000411869000100"
"","883","82","0000411875000200"
"","883","83","0000411875000300"
"","883","8388","0000411875000100"
"","885","7983","0000411885000100"
"","887","7984","0000411893000100"
"","897","4237","0000400753000100"
"","899","8390","0000408170000100"
"","900","7986","0000408337000100"
"","900","10885","0000408337000300"
"","900","22528","0000408337000200"
"","901","22529","0000408362000100"
"","907","4661","0000389466000100"
"","907","10887","0000389466000200"
"","908","85","0000389823000200"
"","911","10888","0000389849000100"
"","912","86","0000389855000100"
"","912","4662","0000389855000200"
"","914","22531","0000389874000100"
"","915","87","0000389888000200"
"","915","4239","0000389888000100"
"","915","7987","0000389888000300"
"","916","4663","0000389915000100"
"","916","7988","0000389915000300"
"","916","22532","0000389915000200"
"","929","22535","0000389480000100"
"","932","10890","0000389494000100"
"","933","5484","0000389502000200"
"","933","8395","0000389502000300"
"","933","22536","0000389502000100"
"","934","8396","0000390961000200"
"","934","10891","0000390961000300"
"","934","22537","0000390961000100"
"","936","5485","0000390983000100"
"","939","7989","0000391018000200"
"","946","7991","0000387062000100"
"","947","5489","0000387064000100"
"","948","4242","0000387078000100"
"","951","4243","0000387165000100"
"","953","22539","0000387168000100"
"","955","4667","0000390181000100"
"","956","4668","0000390182000200"
"","957","7993","0000391625000200"
"","958","93","0000391637000200"
"","958","7994","0000391637000300"
"","960","4670","0000391716000100"
"","964","10892","0000391061000100"
"","970","8398","0000375365000100"
"","973","96","0000386202000100"
"","973","5492","0000386202000200"
"","975","7997","0000386219000100"
"","978","4245","0000398365000100"
"","989","8402","0000397492000100"
"","991","5493","0000397520000100"
"","995","7999","0000398453000100"
"","998","10899","0000398463000100"
"","999","8000","0000398468000100"
"","1001","4249","0000398474000100"
"","1003","4676","0000398479000400"
"","1003","10901","0000398479000300"
"","1006","8001","0000398516000100"
"","1010","10903","0000398529000100"
"","1015","5498","0000391378000100"
"","1016","10904","0000391387000100"
"","1017","8405","0000391461000100"
"","1019","101","0000391486000100"
"","1020","8002","0000391490000100"
"","1020","10905","0000391490000200"
"","1021","5499","0000391493000100"
"","1021","5500","0000391493000300"
"","1021","10907","0000391493000200"
"","1026","8003","0000386259000100"
"","1027","8004","0000386475000100"
"","1034","8005","0000396290000100"
"","1041","104","0000396413000300"
"","1041","5503","0000396413000100"
"","1041","10911","0000396413000200"
"","1042","5504","0000396742000200"
"","1045","22546","0000396763000200"
"","1047","4256","0000396811000200"
"","1047","4680","0000396811000100"
"","1050","8411","0000394540000100"
"","1051","8007","0000394542000200"
"","1052","8008","0000394566000100"
"","1055","106","0000383875000100"
"","1059","8412","0000395310000100"
"","1062","109","0000395381000200"
"","1064","5507","0000384786000100"
"","1064","5508","0000384786000300"
"","1064","5509","0000384786000400"
"","1068","8010","0000385161000200"
"","1068","8416","0000385161000100"
"","1068","10915","0000385161000300"
"","1074","4259","0000382295000200"
"","1074","4681","0000382295000100"
"","1074","8418","0000382295000300"
"","1074","8419","0000382295000500"
"","1074","22552","0000382295000400"
"","1075","4260","0000382475000100"
"","1076","4682","0000389521000100"
"","1076","5510","0000389521000200"
"","1076","5511","0000389521000300"
"","1079","22553","0000391836000100"
"","1081","4261","0000391847000100"
"","1082","112","0000391866000200"
"","1082","4262","0000391866000300"
"","1082","8011","0000391866000100"
"","1084","22554","0000398252000100"
"","1085","5512","0000398253000100"
"","1086","22555","0000374580000200"
"","1088","10919","0000374584000100"
"","1096","4684","0000398321000100"
"","1099","5514","0000398325000200"
"","1100","8420","0000398326000200"
"","1101","8421","0000398341000100"
"","1102","4266","0000398342000200"
"","1103","8015","0000398346000100"
"","1103","8016","0000398346000200"
"","1106","8423","0000398427000200"
"","1108","4687","0000398695000100"
"","1110","115","0000395961000100"
"","1110","5515","0000395961000200"
"","1110","10925","0000395961000300"
"","1114","5516","0000396264000100"
"","1116","4690","0000396273000100"
"","1117","5517","0000396283000100"
"","1120","4268","0000394889000100"
"","1121","4269","0000394897000100"
"","1121","8018","0000394897000200"
"","1122","5519","0000380238000200"
"","1122","8425","0000380238000100"
"","1122","8426","0000380238000300"
"","1123","8019","0000380251000100"
"","1125","10927","0000385321000100"
"","1126","4271","0000385353000100"
"","1130","8427","0000385586000100"
"","1134","117","0000383374000100"
"","1138","22560","0000383408000100"
"","1140","4692","0000390331000100"
"","1141","10930","0000385015000100"
"","1147","4693","0000385237000100"
"","1151","119","0000392168000100"
"","1152","8020","0000392172000100"
"","1153","10932","0000392190000100"
"","1155","4694","0000392192000100"
"","1163","121","0000385647000100"
"","1166","122","0000385724000300"
"","1166","4695","0000385724000200"
"","1166","8021","0000385724000100"
"","1170","22564","0000398155000100"
"","1171","4278","0000398185000100"
"","1173","4279","0000398763000200"
"","1176","5526","0000395904000100"
"","1176","8435","0000395904000200"
"","1183","5527","0000396186000100"
"","1185","4699","0000396200000100"
"","1186","8025","0000356897000100"
"","1189","5528","0000356900000100"
"","1190","8026","0000356910000100"
"","1191","5529","0000356912000100"
"","1193","5530","0000356914000100"
"","1194","8437","0000389209000200"
"","1195","8438","0000389213000100"
"","1197","4700","0000389265000100"
"","1197","4701","0000389265000200"
"","1197","22569","0000389265000300"
"","1198","126","0000389274000500"
"","1198","4281","0000389274000400"
"","1198","22570","0000389274000600"
"","1199","4282","0000396712000100"
"","1203","5532","0000388524000100"
"","1210","4704","0000388804000200"
"","1210","8028","0000388804000300"
"","1212","5534","0000394444000100"
"","1212","5535","0000394444000300"
"","1212","22572","0000394444000200"
"","1213","8440","0000394664000100"
"","1214","127","0000394682000100"
"","1216","4284","0000394734000100"
"","1221","129","0000397064000100"
"","1223","10941","0000397100000100"
"","1223","22573","0000397100000200"
"","1223","22574","0000397100000300"
"","1230","22575","0000395513000100"
"","1234","10943","0000401494000100"
"","1238","4288","0000401513000100"
"","1239","4707","0000401525000200"
"","1239","8442","0000401525000100"
"","1243","22577","0000401654000100"
"","1247","5538","0000401683000200"
"","1247","5539","0000401683000300"
"","1249","22580","0000401691000100"
"","1258","134","0000401343000100"
"","1264","4711","0000392864000100"
"","1268","8447","0000392984000100"
"","1268","10947","0000392984000200"
"","1272","10948","0000393068000100"
"","1273","8448","0000393069000100"
"","1274","22582","0000393074000100"
"","1276","138","0000393517000100"
"","1278","5542","0000393524000100"
"","1280","8038","0000393540000100"
"","1282","4291","0000393589000100"
"","1282","4292","0000393589000300"
"","1282","8040","0000393589000400"
"","1282","10950","0000393589000200"
"","1283","4713","0000393662000100"
"","1284","4293","0000393663000100"
"","1285","139","0000393665000100"
"","1287","4295","0000393676000100"
"","1287","4714","0000393676000300"
"","1287","8041","0000393676000200"
"","1289","8042","0000394015000100"
"","1290","10952","0000394024000100"
"","1291","5543","0000394037000100"
"","1292","8043","0000394045000100"
"","1295","10953","0000394071000100"
"","1298","8450","0000391639000100"
"","1299","4715","0000391640000100"
"","1300","10955","0000391642000100"
"","1301","22585","0000391647000100"
"","1311","4299","0000385608000100"
"","1315","5549","0000369555000100"
"","1316","4718","0000369557000100"
"","1316","8451","0000369557000200"
"","1316","10956","0000369557000300"
"","1317","4719","0000369574000100"
"","1317","8044","0000369574000300"
"","1317","10957","0000369574000200"
"","1318","8452","0000383387000100"
"","1322","4721","0000383418000200"
"","1323","4300","0000383419000200"
"","1323","8453","0000383419000100"
"","1324","146","0000383420000100"
"","1324","8454","0000383420000200"
"","1325","5550","0000383422000100"
"","1325","5551","0000383422000400"
"","1325","22587","0000383422000200"
"","1325","22588","0000383422000300"
"","1326","22589","0000385010000100"
"","1328","10958","0000389508000200"
"","1331","22590","0000390293000100"
"","1332","22591","0000390300000100"
"","1333","4303","0000390301000100"
"","1336","4304","0000390401000100"
"","1340","4305","0000381728000100"
"","1347","8456","0000390929000100"
"","1350","22595","0000391331000100"
"","1351","4308","0000391332000100"
"","1352","4725","0000391336000100"
"","1353","8458","0000391348000100"
"","1354","8045","0000391349000100"
"","1356","4309","0000391364000100"
"","1357","5554","0000390163000100"
"","1358","148","0000391680000100"
"","1358","10961","0000391680000200"
"","1360","5555","0000391936000100"
"","1363","4310","0000391953000100"
"","1363","4727","0000391953000200"
"","1365","8459","0000392005000100"
"","1366","10964","0000392007000100"
"","1371","10965","0000387359000200"
"","1371","22597","0000387359000300"
"","1373","152","0000387399000100"
"","1377","8462","0000392512000100"
"","1379","5558","0000392536000100"
"","1382","157","0000393149000100"
"","1383","5559","0000393150000100"
"","1390","22598","0000374737000100"
"","1397","10966","0000385435000200"
"","1402","4314","0000388398000300"
"","1402","4728","0000388398000100"
"","1402","5564","0000388398000200"
"","1408","10967","0000392831000100"
"","1409","5565","0000392847000100"
"","1410","4729","0000392886000100"
"","1411","10968","0000392907000100"
"","1418","4730","0000392972000100"
"","1419","4319","0000393418000100"
"","1421","4731","0000393434000100"
"","1422","8052","0000393463000100"
"","1426","22601","0000393570000100"
"","1432","161","0000393616000100"
"","1432","8053","0000393616000400"
"","1432","10970","0000393616000200"
"","1432","10971","0000393616000300"
"","1434","10972","0000377434000100"
"","1441","163","0000377469000300"
"","1441","5572","0000377469000100"
"","1441","5573","0000377469000200"
"","1449","8056","0000388090000100"
"","1452","4733","0000389717000200"
"","1452","10974","0000389717000100"
"","1454","10975","0000384448000100"
"","1459","167","0000388955000300"
"","1459","8061","0000388955000100"
"","1459","8472","0000388955000200"
"","1460","4735","0000389132000100"
"","1464","4737","0000389382000300"
"","1464","10976","0000389382000200"
"","1467","4323","0000389394000100"
"","1469","8473","0000389425000200"
"","1469","8474","0000389425000300"
"","1469","10977","0000389425000100"
"","1469","22607","0000389425000400"
"","1470","4738","0000389435000200"
"","1470","5578","0000389435000100"
"","1470","8063","0000389435000300"
"","1473","170","0000389455000100"
"","1474","22608","0000389468000100"
"","1476","22609","0000389846000100"
"","1477","171","0000389859000200"
"","1481","4326","0000389877000100"
"","1482","22610","0000389907000200"
"","1483","172","0000390174000200"
"","1483","4739","0000390174000300"
"","1483","22611","0000390174000100"
"","1490","4328","0000383760000100"
"","1492","175","0000390351000100"
"","1494","10980","0000390373000100"
"","1498","8064","0000389489000100"
"","1502","4742","0000391008000200"
"","1503","177","0000391025000200"
"","1503","4331","0000391025000100"
"","1507","179","0000387046000100"
"","1507","8066","0000387046000200"
"","1510","22612","0000387066000200"
"","1518","5589","0000390179000100"
"","1528","181","0000387209000200"
"","1528","8067","0000387209000300"
"","1528","8481","0000387209000100"
"","1537","5592","0000387994000100"
"","1542","8069","0000389258000100"
"","1544","22620","0000389262000100"
"","1545","4334","0000389281000100"
"","1547","8070","0000391409000100"
"","1547","8484","0000391409000200"
"","1548","4748","0000391412000100"
"","1551","185","0000391430000100"
"","1557","10985","0000392752000100"
"","1565","5598","0000383105000100"
"","1568","10987","0000393299000100"
"","1570","188","0000393307000300"
"","1570","8074","0000393307000200"
"","1570","10988","0000393307000100"
"","1571","4750","0000393325000100"
"","1573","4752","0000393328000200"
"","1578","10989","0000393750000100"
"","1582","4754","0000393914000200"
"","1582","8486","0000393914000100"
"","1583","4340","0000393916000100"
"","1584","4755","0000393933000100"
"","1585","10990","0000393948000100"
"","1586","5600","0000393949000100"
"","1592","4757","0000388505000100"
"","1592","4758","0000388505000400"
"","1592","5601","0000388505000200"
"","1592","8078","0000388505000500"
"","1593","10992","0000388618000200"
"","1593","10993","0000388618000400"
"","1593","22624","0000388618000300"
"","1595","4759","0000390033000400"
"","1595","8079","0000390033000200"
"","1595","8080","0000390033000300"
"","1597","5603","0000391765000100"
"","1602","190","0000388809000400"
"","1602","4762","0000388809000100"
"","1602","8082","0000388809000300"
"","1603","10994","0000394453000100"
"","1606","4343","0000394459000100"
"","1609","8489","0000394518000200"
"","1609","22625","0000394518000100"
"","1610","5607","0000394554000100"
"","1611","5608","0000392291000100"
"","1616","8491","0000392324000100"
"","1620","4765","0000398100000100"
"","1622","191","0000394623000700"
"","1622","4766","0000394623000100"
"","1622","8083","0000394623000300"
"","1622","8494","0000394623000200"
"","1622","8495","0000394623000500"
"","1622","8496","0000394623000600"
"","1623","4347","0000394624000100"
"","1625","22627","0000394630000100"
"","1627","192","0000394944000100"
"","1640","8084","0000384930000100"
"","1644","195","0000396022000300"
"","1644","4769","0000396022000200"
"","1644","5610","0000396022000100"
"","1644","8085","0000396022000400"
"","1644","8499","0000396022000500"
"","1647","4770","0000396042000100"
"","1651","11000","0000392020000100"
"","1652","8087","0000392021000100"
"","1654","22630","0000392030000100"
"","1655","8502","0000392031000100"
"","1656","11001","0000392032000100"
"","1657","4352","0000392037000100"
"","1661","196","0000397980000200"
"","1661","4353","0000397980000100"
"","1661","4772","0000397980000300"
"","1662","11005","0000398358000100"
"","1667","8088","0000398381000100"
"","1668","4355","0000385806000100"
"","1670","4775","0000385811000100"
"","1672","4356","0000385823000100"
"","1673","8504","0000397395000100"
"","1673","8505","0000397395000300"
"","1676","22631","0000397495000100"
"","1682","4777","0000398461000100"
"","1684","8507","0000398506000100"
"","1685","5615","0000398513000200"
"","1685","8090","0000398513000300"
"","1685","8508","0000398513000100"
"","1693","5617","0000398546000200"
"","1693","8092","0000398546000100"
"","1693","8093","0000398546000300"
"","1694","4780","0000398657000100"
"","1695","22632","0000398706000100"
"","1697","4781","0000398722000100"
"","1698","4364","0000398730000100"
"","1701","8094","0000391395000300"
"","1701","11007","0000391395000100"
"","1701","11008","0000391395000200"
"","1709","11009","0000379851000100"
"","1714","22637","0000398264000100"
"","1717","4366","0000398280000300"
"","1717","5621","0000398280000200"
"","1717","22638","0000398280000100"
"","1721","4367","0000398349000100"
"","1724","8511","0000398433000100"
"","1725","5623","0000398434000100"
"","1727","5624","0000398688000100"
"","1728","5625","0000395900000200"
"","1733","198","0000395957000200"
"","1733","5627","0000395957000300"
"","1733","5628","0000395957000400"
"","1733","22641","0000395957000100"
"","1734","22642","0000395968000100"
"","1736","4788","0000396027000400"
"","1736","8098","0000396027000200"
"","1736","22643","0000396027000300"
"","1737","8512","0000396263000100"
"","1745","200","0000394675000200"
"","1745","8099","0000394675000100"
"","1746","8100","0000394879000100"
"","1747","22646","0000394890000100"
"","1749","5631","0000394903000100"
"","1750","5632","0000394904000100"
"","1751","4790","0000394910000100"
"","1752","8101","0000394911000100"
"","1752","11011","0000394911000200"
"","1753","8515","0000394922000100"
"","1754","5633","0000399409000100"
"","1761","8102","0000399568000100"
"","1764","4372","0000399577000100"
"","1768","203","0000399623000100"
"","1771","11014","0000399783000100"
"","1780","5638","0000385216000200"
"","1780","22650","0000385216000100"
"","1785","4793","0000385242000100"
"","1789","11016","0000392162000100"
"","1790","11017","0000392169000100"
"","1791","4794","0000392174000100"
"","1792","207","0000392181000100"
"","1806","5641","0000385639000100"
"","1811","4799","0000397977000100"
"","1819","4381","0000398179000100"
"","1823","5644","0000398194000100"
"","1830","4806","0000396170000200"
"","1832","8118","0000396179000200"
"","1835","8521","0000396192000100"
