match_key,innings,team,batsman,player_key,batting_position,Season
20170501RPS,1,Gujarat Lions,AJ Finch,1166,4,2017
20080503KXP,1,Kings XI Punjab,Yuvraj Singh,1042,4,2008
20170424RPS,1,Rising Pune Supergiant,BA Stokes,1383,5,2017
20080427KXP,2,Kings XI Punjab,IK Pathan,1045,7,2008
20100406CSK,2,Mumbai Indians,KA Pollard,1183,6,2010
20100402RCB,2,Royal Challengers Bangalore,CL White,1190,6,2010
20150424RCB,1,Rajasthan Royals,KK Nair,1279,3,2015
20110512CSK,1,Chennai Super Kings,S Badrinath,1016,4,2011
20120523CSK,1,Chennai Super Kings,SK Raina,1012,3,2012
20140528CSK,1,Mumbai Indians,CJ Anderson,1317,3,2014
20110427CSK,2,Chennai Super Kings,S Badrinath,1016,3,2011
20160409RPS,1,Mumbai Indians,KA Pollard,1183,6,2016
20080521RCB,2,Chennai Super Kings,JA Morkel,1065,6,2008
20090514RCB,1,Chennai Super Kings,M Muralitharan,1081,10,2009
20140528CSK,1,Mumbai Indians,AP Tare,1313,7,2014
20140525KXP,1,Delhi Daredevils,KM Jadhav,1195,4,2014
20110416KXP,2,Kings XI Punjab,KD Karthik,1076,4,2011
20120410KKR,1,Kolkata Knight Riders,RN ten Doeschate,1209,6,2012
20160509RCB,2,Kings XI Punjab,F Behardien,1375,6,2016
20130409RCB,1,Sunrisers Hyderabad,CL White,1190,4,2013
20110501CSK,2,Deccan Chargers,CL White,1190,5,2011
20090430CSK,1,Chennai Super Kings,JA Morkel,1065,7,2009
20160509RCB,1,Royal Challengers Bangalore,V Kohli,1024,1,2016
20130410CSK,1,Kings XI Punjab,P Awana,1263,11,2013
20130509KKR,1,Kolkata Knight Riders,YK Pathan,1033,6,2013
20080428CSK,2,Royal Challengers Bangalore,B Chipli,1159,1,2008
20150507KKR,1,Kolkata Knight Riders,YK Pathan,1033,5,2015
20140417RCB,2,Royal Challengers Bangalore,PA Patel,1010,1,2014
20130503KKR,1,Rajasthan Royals,R Dravid,1023,8,2013
20150424RCB,1,Rajasthan Royals,DJ Hooda,1341,5,2015
20080503RCB,2,Deccan Chargers,SB Bangar,1085,7,2008
20160504KKR,2,Kings XI Punjab,MM Sharma,1307,9,2016
20170503RPS,2,Rising Pune Supergiant,RA Tripathi,1388,2,2017
20160410KKR,1,Delhi Daredevils,Z Khan,1008,11,2016
20170514RPS,1,Kings XI Punjab,MM Sharma,1307,9,2017
20140509KXP,1,Kings XI Punjab,Shivam Sharma,1328,9,2014
20170406RPS,2,Rising Pune Supergiant,MS Dhoni,1014,5,2017
20160524RCB,1,Gujarat Lions,AJ Finch,1166,1,2016
20090504CSK,2,Deccan Chargers,Shoaib Ahmed,1108,10,2009
20110528CSK,2,Royal Challengers Bangalore,MA Agarwal,1163,1,2011
20160522RCB,2,Royal Challengers Bangalore,SR Watson,1182,5,2016
20140509KXP,1,Kings XI Punjab,V Sehwag,1049,1,2014
20120504CSK,1,Chennai Super Kings,MS Dhoni,1014,4,2012
20120517KXP,2,Kings XI Punjab,Mandeep Singh,1222,2,2012
20080428CSK,2,Royal Challengers Bangalore,W Jaffer,1125,2,2008
20140424KKR,1,Kolkata Knight Riders,SA Yadav,1244,7,2014
20080426CSK,1,Kolkata Knight Riders,DJ Hussey,1137,5,2008
20130428CSK,2,Kolkata Knight Riders,BB McCullum,1050,3,2013
20170408KXP,1,Rising Pune Supergiant,SPD Smith,1242,3,2017
20080501KXP,1,Deccan Chargers,AC Gilchrist,1061,1,2008
20150430KKR,1,Chennai Super Kings,F du Plessis,1238,4,2015
20110426RCB,2,Royal Challengers Bangalore,SS Tiwary,1095,6,2011
20100316CSK,1,Chennai Super Kings,MS Dhoni,1014,5,2010
20120428KKR,2,Royal Challengers Bangalore,DL Vettori,1078,7,2012
20110517KXP,2,Royal Challengers Bangalore,CK Langeveldt,1233,10,2011
20090420CSK,2,Royal Challengers Bangalore,DW Steyn,1028,10,2009
20090504CSK,1,Chennai Super Kings,JA Morkel,1065,5,2009
20110519KKR,1,Pune Warriors,S Rana,1235,7,2011
20130426KKR,2,Kolkata Knight Riders,G Gambhir,1048,2,2013
20160416KKR,1,Sunrisers Hyderabad,NV Ojha,1116,6,2016
20080523KXP,2,Kings XI Punjab,KC Sangakkara,1043,2,2008
20120412KXP,1,Pune Warriors,AB Dinda,1060,11,2012
20170410KXP,1,Royal Challengers Bangalore,Mandeep Singh,1222,5,2017
20100316CSK,2,Kolkata Knight Riders,MK Tiwary,1077,3,2010
20100404KXP,2,Kings XI Punjab,DPMD Jayawardene,1044,2,2010
20140530KXP,2,Chennai Super Kings,MM Sharma,1307,9,2014
20110502KTK,1,Delhi Daredevils,IK Pathan,1045,7,2011
20150420KKR,1,Delhi Daredevils,KM Jadhav,1195,7,2015
20110524CSK,1,Royal Challengers Bangalore,AB de Villiers,1074,4,2011
