Product,Product Description,Vendor (Preferred)|Calendar Month.Year,6.2021,7.2021,8.2021,Overall Result
"CPRA115S","SMEG LINEA 15CM WARMING DRAWER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG LINEA 15CM WARMING DRAWER SILV","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG SMALLER WARMING DRAW","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPRA115S","SMEG WARMING DRAW -LINEAR/SILVER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPS115N","15CM SOMMELIER DRAWER - BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPS613NR-","SMEG 15CM SOMMELIER DRAWER WITH COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPS615NR.","SOMMELIER DRAWER COPPER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPV6015NR","SMEG DSN 15CM VACUUM DRAWER COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPV6015NR-","SMEG 15CM VACUUM DRAWER WITH COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CPV615NR.","15CM VACUUM DRAWER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CS6GMXA","SMEG 60CM4 BURNER GAS/ELEC FFD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CS9GMXHSINGLE","SMEG 90CM S/S FS COOKER GAS/ELEC OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CTP9015N","SMEG VICTORIA 15CM WARMING DRAW BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVI618RWNX2","SMEG DSN 45CM WINE CELLAR-BLK COPPER RH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA118BRN2","SMEG COMPACT - BLK GLASS COPPER RH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA118RN2","COMPACT BLACK GLASS COPPER TRIM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA118RN2","SMEG LINEA 45CM wine cellar -rh","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA118RN2-","SMEG LINEA WINE CELLAR RH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA118RS2","SMEG DSN BLK GLASS S/S TRIM LH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA618LNR2.","45CM WINE CELLER COPPER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA618LNX2","SMEG DSN 45CM WINE CELLAR-BLK S/S LH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA618RNR-DS","SMEG DSN 45CM WINE CELLAR-BLK COPPER LH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"CVIA618RNR2-","SMEG 45CM WINE CELLAR-BLK COPPER RH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DOSPA6925B","SMEG VICTORIA DOUBLE PYRO OVEN WHITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DOSPA6925N","SMEG VICTORIA DOUBLE PYRO OVEN BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DOSPA6925X","SMEG VICTORIA DOUBLE PYRO OVEN STAINLESS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWA6315X1","SMEG STAINLESS 15 PLACE SETTING D/W","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWAFI6214-2","SMEG - COMMERCIAL fully intergrated","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWAU6214XSINGLE","SMEG 14 PLACE UNDERBENCH D/W S/S","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWIFABB2","SMEG60CM INBUILT RETRO WHITE D/W","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWIFABNE-2","SMEG BLK FAB 60CM INBUILT D/WASHER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWIFABNE2","SMEG 60CM INBUILT RETRO BLACK D/W","SMEG AUSTRALIA PTY LTD",1,1,1,1
"DWIFABR-1","SMEG RED FAB 60CM DISHWASHER-INBUILT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB10HRNE-1","SMEG 135L FAB BAR FRIDGE BLK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB28LRD3AU","SMEG FAB 50S STYLE REF RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB28LWH3AU","SMEG FAB 50S STYLE REF WHITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB28RDGC3","SMEG D&G FAB FRIDGE. RH DOOR","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB28RRD3AU","SMEG FAB 50S STYLE FRIDGE RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB28RYW3","SMEG FAB 50S STYLE FRIDGE YELLOW","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB32LPBNA1","SMEG 328LTR FAB FRIDGE LH F/F LIGHT BLU","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB32LRDNA1","SMEG 328 LTR FAB FRIDGE LH F/F RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB32RBL3AU","FAB32 BLACK RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB32RCR3AU","FAB32 CREAM RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB32RWH3AU","FAB32 WHITE RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB38RBLAU","FAB38 510L BLACK RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB38RCRAU","FAB38 510L CREAM RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB38RRDAU","FAB38 510L RED RIGHT HINGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB50LRDAU","SMEG FAB 50S FRIDGE RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB50RPBAU","SMEG P/BLUE FAB FRIDGE R/H TOP MOUNT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FAB50RRDAU","SMEG RED FAB FRIDGE R/H TOP MOUNT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FS9010XSSINGLE","SMEG 90CM S/S FS COOKER 5 BNR SINGLE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"FSP9610XGARDNER","SMEG CLASSIC 90CM PYRO F/S OVEN 6 BNR","SMEG AUSTRALIA PTY LTD",1,1,1,1
"GIRAR60","SMEG ROTISSERIE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"GTIT","SMEG single telescopic rail","SMEG AUSTRALIA PTY LTD",1,1,1,1
"HOBD682D","SMEG 90CM INDUCTION WITH DOWNDRAFT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"HOBD682R","SMEG DSN 90CM INT. INDUCTION COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"INDUGRILL","SMEG INDUCTION GRIDDLE PLATE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"IS7099X90","SMEG 90CM ISLAND R/HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"K274FLUE","SMEG FLUE EXTENSION KIT","SMEG AUSTRALIA PTY LTD",1,1,1,1
"K5020FLUE","SMEG FLUE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KDIAM90AX.","U/MOUNT R/HOOD S/S CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KITFC142","Kit for SHC520X","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KLF01PBAU","SMEG 50S STYLE SILENT BOIL KET BLU","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPF9AN","SMEG 90CM PORTOFINO CANOPY - ANTHRACITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA90AN","SMEG 90CM RANGEHOOD ANTHRACETE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA90R","90CM ORANGE PORTIFINO R/HOOD LED LIGHTS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9AN","PORTOFINO 90CM R/HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9AN","SMEG PORTOFINO 90CM CANOPY HOOD ANTHRACI","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9AN","SMEG PORTOFINO 90CM R/HOOD A/CITE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9BL","PORTOFINO 900 CM RANGE HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9OG","SMEG 90CM PORTOFINO W/MOUNT R/HOOD GRN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9OR","SMEG PORTOFINO 90CM R/HD LED ORANGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9OR","SMEG PORTOFINO BURNT ORANGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9R","SMEG 90CM PORTIFINO HOOD RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9RD","SMEG 90CM W/MOUNT CANOPY PORTOFINO RED","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9RD","SMEG PORTOFINO RANGEHOOD 90CM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KPFA9WH","SMEG PORTOFINO RANGEHOOD 90CM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KSE110AP9","SMEG VICTORIA 110CM T SHAPE CREAM HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KT110ABL","SMEG BLACK 110CM CHIMNEY HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"KT110AP","SMEG CREAM 110CM CHIMNEY HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PA372XGHBUILDER","SMEG 70CM GAS COOKTOP DNX BUILDER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PGA754","SMEG 72CM GAS COOKTOP","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PGA75F-4","SMEG CLASSIC 5GAS S/S CAST IRON TRIVITS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PGA96SINGLE","SMEG 90CM 4+2 WOK S/S","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PGF30F","SMEG CLASSIC DOMINO DEEP FRYER S/S","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PGF32I-1","SMEG CLASSIC 30CM DOMINO INDUCT HOB","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PPR2","SMEG SQUARE PIZZA STONE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PRTX","SMEG TERRACOTA PIZZA STONE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PTK60X34GARDNER","SMEG 60CM MWAVE TRIM KIT GARDN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PUM601COM","SMEG 60CM U/M R/HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PUM601XGARDNERS","SMEG 60CM UMOUNT RHOOD GARDNER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PUM901X","SMEG 90CM CONCEALED U/M","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PUM901X","SMEG 90CM UNDERMOUNT RANGEHOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PUM90X","SMEG 90CM CONCEALED U/M","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV164CB2AU","60CM 4 BURNER WHITE CERAMIC GLASS HOB","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV164CB2AU","60CM GAS COOKTOP","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV164CB2AU","LINEA WHITE GAS/CERAMIC 4 BURNER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV175CN2AU","75CM 5 BURNER BLACK CERAMIC GLASS HOB","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV695LCNRAU-","SMEG 90CM 5 BRN GAS GLASS C/TOP COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PV695LCNRAU.","SMEG 90CM GLASS COOKTOP COPPER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PVL6106CNAU-","SMEG 100CM 6 BURNER 'BLADE FLAME'","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PVL664CNAU-","SMEG 60CM 4 BURNER 'BLADE FLAME'","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PVL675CNRAU-DS","SMEG DSN 75CM 5 BURNER 'BLADE FLAME'","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PVL675LCNAU","SMEG DSN 75CM 5 BURNER 'BLADE FLAME'","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PVL675LCNAU.","75CM BLADE FLAME CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PXL6106AU","100CM 6 BURNER STAINLESS STEEL HOB WITH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"PXL675AU","75CM 5 BURNER STAINLESS STEEL HOB WITH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SA5502X90","SMEG CLASSIC 90CM DELUXE SLIDEOUT HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SA950CXA","SMEG 90CM CHIMNEY HOOD+GLASS S/STEEL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SA990XR-8","SMEG 90CM  5 FUNCTION OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SAB4604NR-","SMEG 45CM BLAST CHILLER COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SAH461SS","SMEG 60CM COMMERCIAL TELESCOPIC RANGEHOO","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SAI3963BDUNST","SMEG 90CM INDUCTION HOB5 ZONES","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SAI95GARDNER","SMEG 90CM 5 ZONE INDUCTION COOKTOP GARDN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SE364TDAU","SMEG 4 ZONE CERAMIC BEVELLED EDGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SE364TDAUSINGL","SMEG 4 ZONE CERAMIC BEVELLED EDGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SE394EMTBAUGARD","SMEG 90CM CERAMIC HOB BEVELLED EDGE GARD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SF640S-1","SMEG 762L FRENCH DOOR FRIDGE","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA304XPACK","SMEG COOKPACK SFA304X+CIR60X3+PASC650","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4102MS","45CM COMPACT MICROWAVE AND GRILL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104MCN","45cm COMPACT SPEED OVEN WITH TOUCH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104MCN","60CM LINEAR SPEED OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104MCN","SMEG LINEA MWO/CONVECTION BLACK 60CM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104VCB","45CM COMPACT COMBI STEAM OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104VCB","LINEAR STEAM OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104VCN","SMEG LINEA COMBI-STEAM OVEN BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4104VCS","SMEG LINEA 45CM COMPACT COMBI OVEN SILV","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4130VCN","SMEG BUILT-IN COMPACT COMBI STEAM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4604MCNR-","SMEG 45CM SPEED OVEN COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4604MCNR.","45CM SPEED OVEN COPPER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4920MCN","SMEG VICTORIA COMPACT SPEED OVEN BLACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4920MCP","SMEG VICTORIA COMPACT SPEED OVEN PANNA","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA4920MCX","SMEG VICTORIA COMPACT SPEED OVEN S/STEEL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA6309XDUNST","SMEG 60CM SML OVN LCD CONTROL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA63M3TVX-APT","SMEG 60CM CLASSIC THERMOSEAL OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA6500TVX","SMEG 60CM ELEC OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA7300XSINGLE","SMEG 70CM CLASSIC OVEN W/CLOCK DUNST","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFA7390XBUILDER","SMEG 70CM LRG OVN LCD CONTROL BUILDER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFP6925BPZE1","SMEG VICTORIA 60CM B/IN WHT OVEN W/CLOCK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6102TVN","LINEA 79L BLACK PYROLYTIC","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6102TVS","60CM LINEAR PYROLYTIC OVEN WITH KNOB","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6102TVS","SMEG 60CM LINEAR BUILT-IN OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6102TVS","SMEG LINEA PYROLITIC 79L OVEN SILVER/SS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVB","60CM LINEAR PYROLYTIC OVEN WITH TOUCH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVB","60CM LINEAR THERMOSEAL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVB","LINEA 79L WHITE PYROLYTIC","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVN","60CM LINEAR PYROLYTIC OVEN WITH TOUCH","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVN","LINEAR THERMOSEAL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVN","SMEG 60CM LINEAR BUILT-IN OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVN","SMEG LINEA PYRO 79LTR OVEN BLACK/SS 60CM","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6104TVS","LINEA 79L SILVER/SS PYROLYTIC","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6604NR-","SMEG 60CM PYRO OVEN COPPER","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA6604NR.","60CM PYRO OVEN COPPER CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA7130N","SMEG 70CM LINEA PYRO OVEN BLAACK","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPA7395X","SMEG 70CM PYRO OVN TFT CONTROL","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPR6904NR.","90CM PYRO OVEN CONS","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFPR9604NX-","SMEG 90CM PYRO OVEN S/SL 15 FUNCTION","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFRA9300TVXSING","SMEG 90CM CLASSIC THERMOSEAL OVEN","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SFRA9300XGARDNE","SMEG 90CM OVEN 100L 15 FUNCTION","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SHB450X","SMEG CLASSIC 45CM SS W/MOUNT R/HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SHB600X","SMEG CLASSIC 60CM WALLMOUNT R/HOOD","SMEG AUSTRALIA PTY LTD",1,1,1,1
"SHC590N","52CM UNDERMOUNT RANGEHOOD, STAINLESS","SMEG AUSTRALIA PTY LTD",1,1,1,1
