Year,County and Region,variable,value
2006,Leitrim,Total Income per Person,24021
2006,Limerick,Total Income per Person,25532
2006,Longford,Total Income per Person,23750
2006,Louth,Total Income per Person,25565
2006,Mayo,Total Income per Person,22015
2006,Meath,Total Income per Person,29418
2006,Midland,Total Income per Person,24093
2006,Monaghan,Total Income per Person,22727
2006,Offaly,Total Income per Person,23841
2006,Roscommon,Total Income per Person,23781
2006,Sligo,Total Income per Person,23682
2006,Tipperary,Total Income per Person,24730
2006,Waterford,Total Income per Person,24742
2006,Westmeath,Total Income per Person,23967
2006,Wexford,Total Income per Person,24725
2006,Wicklow,Total Income per Person,26228
2007,Carlow,Total Income per Person,25447
2007,Cavan,Total Income per Person,25956
2007,Clare,Total Income per Person,26141
2007,Cork,Total Income per Person,27535
2007,Donegal,Total Income per Person,20688
2007,Dublin,Total Income per Person,32294
2007,Galway,Total Income per Person,26453
2007,Kerry,Total Income per Person,22876
2007,Kildare,Total Income per Person,30375
2007,Kilkenny,Total Income per Person,25857
2007,Laois,Total Income per Person,25907
2007,Leitrim,Total Income per Person,25201
2007,Limerick,Total Income per Person,26673
2007,Longford,Total Income per Person,24470
2007,Louth,Total Income per Person,27112
2007,Mayo,Total Income per Person,22954
2007,Meath,Total Income per Person,30930
2007,Midland,Total Income per Person,24901
2007,Monaghan,Total Income per Person,23884
2007,Offaly,Total Income per Person,24136
2007,Roscommon,Total Income per Person,24330
2007,Sligo,Total Income per Person,25044
2007,Tipperary,Total Income per Person,26139
2007,Waterford,Total Income per Person,26516
2007,Westmeath,Total Income per Person,24942
2007,Wexford,Total Income per Person,26991
2007,Wicklow,Total Income per Person,27554
2008,Carlow,Total Income per Person,26132
2008,Cavan,Total Income per Person,26124
2008,Clare,Total Income per Person,27051
2008,Cork,Total Income per Person,28239
2008,Donegal,Total Income per Person,21460
2008,Dublin,Total Income per Person,32836
2008,Galway,Total Income per Person,27571
2008,Kerry,Total Income per Person,23503
2008,Kildare,Total Income per Person,30915
2008,Kilkenny,Total Income per Person,26769
2008,Laois,Total Income per Person,26729
2008,Leitrim,Total Income per Person,26361
2008,Limerick,Total Income per Person,26929
2008,Longford,Total Income per Person,25088
2008,Louth,Total Income per Person,27663
2008,Mayo,Total Income per Person,23942
2008,Meath,Total Income per Person,31558
2008,Midland,Total Income per Person,25327
2008,Monaghan,Total Income per Person,23867
2008,Offaly,Total Income per Person,24321
2008,Roscommon,Total Income per Person,25233
2008,Sligo,Total Income per Person,25275
2008,Tipperary,Total Income per Person,25572
2008,Waterford,Total Income per Person,26688
2008,Westmeath,Total Income per Person,25176
2008,Wexford,Total Income per Person,27625
2008,Wicklow,Total Income per Person,27747
2009,Carlow,Total Income per Person,24440
2009,Cavan,Total Income per Person,24674
2009,Clare,Total Income per Person,24944
2009,Cork,Total Income per Person,26594
2009,Donegal,Total Income per Person,20756
2009,Dublin,Total Income per Person,30602
2009,Galway,Total Income per Person,26107
2009,Kerry,Total Income per Person,22395
2009,Kildare,Total Income per Person,28598
2009,Kilkenny,Total Income per Person,24588
2009,Laois,Total Income per Person,24995
2009,Leitrim,Total Income per Person,25058
2009,Limerick,Total Income per Person,25473
2009,Longford,Total Income per Person,23252
2009,Louth,Total Income per Person,26126
2009,Mayo,Total Income per Person,23134
2009,Meath,Total Income per Person,28616
2009,Midland,Total Income per Person,23611
2009,Monaghan,Total Income per Person,21654
2009,Offaly,Total Income per Person,22298
2009,Roscommon,Total Income per Person,23850
2009,Sligo,Total Income per Person,24211
2009,Tipperary,Total Income per Person,24584
2009,Waterford,Total Income per Person,24590
2009,Westmeath,Total Income per Person,23798
2009,Wexford,Total Income per Person,25380
2009,Wicklow,Total Income per Person,25765
2010,Carlow,Total Income per Person,23384
2010,Cavan,Total Income per Person,23447
2010,Clare,Total Income per Person,24169
2010,Cork,Total Income per Person,25654
2010,Donegal,Total Income per Person,19802
2010,Dublin,Total Income per Person,29178
2010,Galway,Total Income per Person,25102
2010,Kerry,Total Income per Person,21483
2010,Kildare,Total Income per Person,26630
2010,Kilkenny,Total Income per Person,22786
2010,Laois,Total Income per Person,23346
2010,Leitrim,Total Income per Person,24055
2010,Limerick,Total Income per Person,25397
2010,Longford,Total Income per Person,21997
2010,Louth,Total Income per Person,24097
2010,Mayo,Total Income per Person,22324
2010,Meath,Total Income per Person,26870
2010,Midland,Total Income per Person,22317
2010,Monaghan,Total Income per Person,20762
2010,Offaly,Total Income per Person,20867
2010,Roscommon,Total Income per Person,22763
2010,Sligo,Total Income per Person,23105
2010,Tipperary,Total Income per Person,23674
2010,Waterford,Total Income per Person,23564
2010,Westmeath,Total Income per Person,22899
2010,Wexford,Total Income per Person,24144
2010,Wicklow,Total Income per Person,24544
2011,Carlow,Total Income per Person,22705
2011,Cavan,Total Income per Person,21081
2011,Clare,Total Income per Person,22483
2011,Cork,Total Income per Person,24717
2011,Donegal,Total Income per Person,19136
2011,Dublin,Total Income per Person,29072
2011,Galway,Total Income per Person,22916
2011,Kerry,Total Income per Person,21237
2011,Kildare,Total Income per Person,25449
2011,Kilkenny,Total Income per Person,21903
2011,Laois,Total Income per Person,21950
2011,Leitrim,Total Income per Person,22464
2011,Limerick,Total Income per Person,27417
2011,Longford,Total Income per Person,20877
2011,Louth,Total Income per Person,22614
2011,Mayo,Total Income per Person,21581
2011,Meath,Total Income per Person,24325
2011,Midland,Total Income per Person,21384
2011,Monaghan,Total Income per Person,21184
2011,Offaly,Total Income per Person,20375
2011,Roscommon,Total Income per Person,21174
2011,Sligo,Total Income per Person,22427
2011,Tipperary,Total Income per Person,23006
2011,Waterford,Total Income per Person,23034
2011,Westmeath,Total Income per Person,21981
2011,Wexford,Total Income per Person,21573
2011,Wicklow,Total Income per Person,24739
2012,Carlow,Total Income per Person,23335
2012,Cavan,Total Income per Person,21571
2012,Clare,Total Income per Person,23243
2012,Cork,Total Income per Person,25561
2012,Donegal,Total Income per Person,19321
2012,Dublin,Total Income per Person,30456
2012,Galway,Total Income per Person,24115
2012,Kerry,Total Income per Person,22161
2012,Kildare,Total Income per Person,26500
2012,Kilkenny,Total Income per Person,22601
2012,Laois,Total Income per Person,22317
2012,Leitrim,Total Income per Person,22918
2012,Limerick,Total Income per Person,27936
2012,Longford,Total Income per Person,21736
2012,Louth,Total Income per Person,23135
2012,Mayo,Total Income per Person,22239
2012,Meath,Total Income per Person,25266
2012,Midland,Total Income per Person,21967
2012,Monaghan,Total Income per Person,20343
2012,Offaly,Total Income per Person,20895
2012,Roscommon,Total Income per Person,21701
2012,Sligo,Total Income per Person,23413
2012,Tipperary,Total Income per Person,23291
2012,Waterford,Total Income per Person,23855
2012,Westmeath,Total Income per Person,22700
2012,Wexford,Total Income per Person,22198
2012,Wicklow,Total Income per Person,25740
2013,Carlow,Total Income per Person,23476
2013,Cavan,Total Income per Person,21508
2013,Clare,Total Income per Person,22570
2013,Cork,Total Income per Person,25935
2013,Donegal,Total Income per Person,18828
2013,Dublin,Total Income per Person,30785
2013,Galway,Total Income per Person,23406
2013,Kerry,Total Income per Person,21601
2013,Kildare,Total Income per Person,26156
2013,Kilkenny,Total Income per Person,23715
2013,Laois,Total Income per Person,22961
2013,Leitrim,Total Income per Person,22440
2013,Limerick,Total Income per Person,27280
2013,Longford,Total Income per Person,21711
2013,Louth,Total Income per Person,23051
2013,Mayo,Total Income per Person,21553
2013,Meath,Total Income per Person,24759
2013,Midland,Total Income per Person,22118
2013,Monaghan,Total Income per Person,20428
2013,Offaly,Total Income per Person,21026
2013,Roscommon,Total Income per Person,20988
2013,Sligo,Total Income per Person,23101
2013,Tipperary,Total Income per Person,24512
2013,Waterford,Total Income per Person,23934
2013,Westmeath,Total Income per Person,22485
2013,Wexford,Total Income per Person,22497
2013,Wicklow,Total Income per Person,25342
2014,Carlow,Total Income per Person,24312
2014,Cavan,Total Income per Person,22084
2014,Clare,Total Income per Person,23013
2014,Cork,Total Income per Person,26192
2014,Donegal,Total Income per Person,18947
2014,Dublin,Total Income per Person,31767
2014,Galway,Total Income per Person,23836
2014,Kerry,Total Income per Person,22383
2014,Kildare,Total Income per Person,26914
2014,Kilkenny,Total Income per Person,24368
2014,Laois,Total Income per Person,23095
2014,Leitrim,Total Income per Person,22638
2014,Limerick,Total Income per Person,27838
2014,Longford,Total Income per Person,21476
2014,Louth,Total Income per Person,23203
2014,Mayo,Total Income per Person,21890
2014,Meath,Total Income per Person,25691
2014,Midland,Total Income per Person,22287
2014,Monaghan,Total Income per Person,21126
2014,Offaly,Total Income per Person,21287
2014,Roscommon,Total Income per Person,21612
2014,Sligo,Total Income per Person,23300
2014,Tipperary,Total Income per Person,24069
2014,Waterford,Total Income per Person,25266
2014,Westmeath,Total Income per Person,22789
2014,Wexford,Total Income per Person,23524
2014,Wicklow,Total Income per Person,26082
2015,Carlow,Total Income per Person,26000
2015,Cavan,Total Income per Person,23008
2015,Clare,Total Income per Person,23705
2015,Cork,Total Income per Person,26714
2015,Donegal,Total Income per Person,19482
2015,Dublin,Total Income per Person,33122
2015,Galway,Total Income per Person,24473
2015,Kerry,Total Income per Person,22960
2015,Kildare,Total Income per Person,28557
2015,Kilkenny,Total Income per Person,25534
2015,Laois,Total Income per Person,23210
2015,Leitrim,Total Income per Person,23148
2015,Limerick,Total Income per Person,28332
2015,Longford,Total Income per Person,22331
2015,Louth,Total Income per Person,24123
2015,Mayo,Total Income per Person,21839
2015,Meath,Total Income per Person,27033
2015,Midland,Total Income per Person,22822
2015,Monaghan,Total Income per Person,22332
2015,Offaly,Total Income per Person,21795
2015,Roscommon,Total Income per Person,21658
2015,Sligo,Total Income per Person,23966
2015,Tipperary,Total Income per Person,24641
2015,Waterford,Total Income per Person,25989
2015,Westmeath,Total Income per Person,23594
2015,Wexford,Total Income per Person,24689
2015,Wicklow,Total Income per Person,27568
2016,Carlow,Total Income per Person,25018
2016,Cavan,Total Income per Person,23301
2016,Clare,Total Income per Person,24833
2016,Cork,Total Income per Person,27674
2016,Donegal,Total Income per Person,19471
2016,Dublin,Total Income per Person,34305
2016,Galway,Total Income per Person,25671
2016,Kerry,Total Income per Person,24227
2016,Kildare,Total Income per Person,30246
2016,Kilkenny,Total Income per Person,24730
2016,Laois,Total Income per Person,23908
2016,Leitrim,Total Income per Person,23148
2016,Limerick,Total Income per Person,30424
2016,Longford,Total Income per Person,22434
2016,Louth,Total Income per Person,24986
2016,Mayo,Total Income per Person,22552
2016,Meath,Total Income per Person,28167
2016,Midland,Total Income per Person,23232
2016,Monaghan,Total Income per Person,22458
2016,Offaly,Total Income per Person,22069
2016,Roscommon,Total Income per Person,22579
2016,Sligo,Total Income per Person,23816
2016,Tipperary,Total Income per Person,25048
2016,Waterford,Total Income per Person,25210
2016,Westmeath,Total Income per Person,23997
2016,Wexford,Total Income per Person,23685
2016,Wicklow,Total Income per Person,28630
2017,Carlow,Total Income per Person,25432
2017,Cavan,Total Income per Person,24471
2017,Clare,Total Income per Person,26403
2017,Cork,Total Income per Person,29205
2017,Donegal,Total Income per Person,20701
2017,Dublin,Total Income per Person,35867
2017,Galway,Total Income per Person,26882
2017,Kerry,Total Income per Person,25419
2017,Kildare,Total Income per Person,33925
2017,Kilkenny,Total Income per Person,25761
2017,Laois,Total Income per Person,24926
2017,Leitrim,Total Income per Person,24640
2017,Limerick,Total Income per Person,32045
2017,Longford,Total Income per Person,23783
2017,Louth,Total Income per Person,26864
2017,Mayo,Total Income per Person,23805
2017,Meath,Total Income per Person,31202
2017,Midland,Total Income per Person,24395
2017,Monaghan,Total Income per Person,24006
2017,Offaly,Total Income per Person,23406
2017,Roscommon,Total Income per Person,23997
2017,Sligo,Total Income per Person,25503
2017,Tipperary,Total Income per Person,26764
2017,Waterford,Total Income per Person,26221
2017,Westmeath,Total Income per Person,25055
2017,Wexford,Total Income per Person,24382
2017,Wicklow,Total Income per Person,31123
2018,Carlow,Total Income per Person,26769
2018,Cavan,Total Income per Person,24691
2018,Clare,Total Income per Person,27357
2018,Cork,Total Income per Person,31198
2018,Donegal,Total Income per Person,21956
2018,Dublin,Total Income per Person,37530
2018,Galway,Total Income per Person,27280
2018,Kerry,Total Income per Person,25803
2018,Kildare,Total Income per Person,35138
2018,Kilkenny,Total Income per Person,27042
2018,Laois,Total Income per Person,24212
2018,Leitrim,Total Income per Person,25698
2018,Limerick,Total Income per Person,33223
2018,Longford,Total Income per Person,23097
2018,Louth,Total Income per Person,27721
2018,Mayo,Total Income per Person,24528
2018,Meath,Total Income per Person,31940
2018,Midland,Total Income per Person,23846
2018,Monaghan,Total Income per Person,23276
2018,Offaly,Total Income per Person,22959
2018,Roscommon,Total Income per Person,24347
2018,Sligo,Total Income per Person,25154
2018,Tipperary,Total Income per Person,27251
2018,Waterford,Total Income per Person,27305
2018,Westmeath,Total Income per Person,24633
2018,Wexford,Total Income per Person,25683
2018,Wicklow,Total Income per Person,31914
2000,Carlow,Disposable Income per Person,11617
2000,Cavan,Disposable Income per Person,10994
2000,Clare,Disposable Income per Person,12171
2000,Cork,Disposable Income per Person,12172
2000,Donegal,Disposable Income per Person,10217
2000,Dublin,Disposable Income per Person,14533
2000,Galway,Disposable Income per Person,11865
2000,Kerry,Disposable Income per Person,10774
2000,Kildare,Disposable Income per Person,13360
2000,Kilkenny,Disposable Income per Person,11080
2000,Laois,Disposable Income per Person,11257
2000,Leitrim,Disposable Income per Person,11071
2000,Limerick,Disposable Income per Person,12576
2000,Longford,Disposable Income per Person,11518
2000,Louth,Disposable Income per Person,12518
2000,Mayo,Disposable Income per Person,11572
2000,Meath,Disposable Income per Person,12421
2000,Midland,Disposable Income per Person,11500
2000,Monaghan,Disposable Income per Person,10981
2000,Offaly,Disposable Income per Person,11063
2000,Roscommon,Disposable Income per Person,11558
2000,Sligo,Disposable Income per Person,11202
2000,Tipperary,Disposable Income per Person,11407
2000,Waterford,Disposable Income per Person,12334
2000,Westmeath,Disposable Income per Person,12097
2000,Wexford,Disposable Income per Person,11461
2000,Wicklow,Disposable Income per Person,12467
2001,Carlow,Disposable Income per Person,12945
2001,Cavan,Disposable Income per Person,12420
2001,Clare,Disposable Income per Person,13469
2001,Cork,Disposable Income per Person,13773
2001,Donegal,Disposable Income per Person,11374
2001,Dublin,Disposable Income per Person,16625
2001,Galway,Disposable Income per Person,13245
2001,Kerry,Disposable Income per Person,12166
2001,Kildare,Disposable Income per Person,15120
2001,Kilkenny,Disposable Income per Person,12278
2001,Laois,Disposable Income per Person,12537
2001,Leitrim,Disposable Income per Person,12256
2001,Limerick,Disposable Income per Person,14298
2001,Longford,Disposable Income per Person,12932
2001,Louth,Disposable Income per Person,14463
2001,Mayo,Disposable Income per Person,12865
2001,Meath,Disposable Income per Person,14046
2001,Midland,Disposable Income per Person,12920
2001,Monaghan,Disposable Income per Person,12315
2001,Offaly,Disposable Income per Person,12423
2001,Roscommon,Disposable Income per Person,12916
2001,Sligo,Disposable Income per Person,12634
2001,Tipperary,Disposable Income per Person,12963
2001,Waterford,Disposable Income per Person,13718
2001,Westmeath,Disposable Income per Person,13686
2001,Wexford,Disposable Income per Person,12928
2001,Wicklow,Disposable Income per Person,14288
2002,Carlow,Disposable Income per Person,13398
2002,Cavan,Disposable Income per Person,13219
2002,Clare,Disposable Income per Person,14170
2002,Cork,Disposable Income per Person,14723
2002,Donegal,Disposable Income per Person,12155
2002,Dublin,Disposable Income per Person,17110
2002,Galway,Disposable Income per Person,14136
2002,Kerry,Disposable Income per Person,12974
2002,Kildare,Disposable Income per Person,15785
2002,Kilkenny,Disposable Income per Person,13487
2002,Laois,Disposable Income per Person,13569
2002,Leitrim,Disposable Income per Person,13467
2002,Limerick,Disposable Income per Person,14919
2002,Longford,Disposable Income per Person,14367
2002,Louth,Disposable Income per Person,14777
2002,Mayo,Disposable Income per Person,13580
2002,Meath,Disposable Income per Person,14606
2002,Midland,Disposable Income per Person,13979
2002,Monaghan,Disposable Income per Person,13412
2002,Offaly,Disposable Income per Person,13635
2002,Roscommon,Disposable Income per Person,13878
2002,Sligo,Disposable Income per Person,13950
2002,Tipperary,Disposable Income per Person,14203
2002,Waterford,Disposable Income per Person,14938
2002,Westmeath,Disposable Income per Person,14453
2002,Wexford,Disposable Income per Person,13611
2002,Wicklow,Disposable Income per Person,15522
2003,Carlow,Disposable Income per Person,14132
2003,Cavan,Disposable Income per Person,14012
2003,Clare,Disposable Income per Person,14927
2003,Cork,Disposable Income per Person,15500
2003,Donegal,Disposable Income per Person,12805
2003,Dublin,Disposable Income per Person,17947
2003,Galway,Disposable Income per Person,15139
2003,Kerry,Disposable Income per Person,13754
2003,Kildare,Disposable Income per Person,16564
2003,Kilkenny,Disposable Income per Person,14331
2003,Laois,Disposable Income per Person,14691
2003,Leitrim,Disposable Income per Person,14363
2003,Limerick,Disposable Income per Person,15836
2003,Longford,Disposable Income per Person,15329
2003,Louth,Disposable Income per Person,15483
2003,Mayo,Disposable Income per Person,14422
2003,Meath,Disposable Income per Person,15598
2003,Midland,Disposable Income per Person,15071
2003,Monaghan,Disposable Income per Person,14189
2003,Offaly,Disposable Income per Person,14706
2003,Roscommon,Disposable Income per Person,14675
2003,Sligo,Disposable Income per Person,14874
2003,Tipperary,Disposable Income per Person,15040
2003,Waterford,Disposable Income per Person,15610
2003,Westmeath,Disposable Income per Person,15594
2003,Wexford,Disposable Income per Person,14491
2003,Wicklow,Disposable Income per Person,16295
2004,Carlow,Disposable Income per Person,15146
2004,Cavan,Disposable Income per Person,15480
2004,Clare,Disposable Income per Person,15455
2004,Cork,Disposable Income per Person,16536
2004,Donegal,Disposable Income per Person,13671
2004,Dublin,Disposable Income per Person,18529
2004,Galway,Disposable Income per Person,16090
2004,Kerry,Disposable Income per Person,14461
2004,Kildare,Disposable Income per Person,17507
2004,Kilkenny,Disposable Income per Person,14769
2004,Laois,Disposable Income per Person,15975
2004,Leitrim,Disposable Income per Person,15964
2004,Limerick,Disposable Income per Person,16309
2004,Longford,Disposable Income per Person,15801
2004,Louth,Disposable Income per Person,17203
2004,Mayo,Disposable Income per Person,15176
2004,Meath,Disposable Income per Person,16892
2004,Midland,Disposable Income per Person,15992
2004,Monaghan,Disposable Income per Person,15587
2004,Offaly,Disposable Income per Person,15748
2004,Roscommon,Disposable Income per Person,15360
2004,Sligo,Disposable Income per Person,15923
2004,Tipperary,Disposable Income per Person,15778
2004,Waterford,Disposable Income per Person,16839
2004,Westmeath,Disposable Income per Person,16306
2004,Wexford,Disposable Income per Person,15621
2004,Wicklow,Disposable Income per Person,16567
2005,Carlow,Disposable Income per Person,16398
2005,Cavan,Disposable Income per Person,16984
2005,Clare,Disposable Income per Person,16902
2005,Cork,Disposable Income per Person,17970
2005,Donegal,Disposable Income per Person,14388
2005,Dublin,Disposable Income per Person,19641
2005,Galway,Disposable Income per Person,17242
2005,Kerry,Disposable Income per Person,15614
2005,Kildare,Disposable Income per Person,18555
2005,Kilkenny,Disposable Income per Person,15981
2005,Laois,Disposable Income per Person,16951
2005,Leitrim,Disposable Income per Person,17298
2005,Limerick,Disposable Income per Person,17551
2005,Longford,Disposable Income per Person,16972
2005,Louth,Disposable Income per Person,18428
2005,Mayo,Disposable Income per Person,16270
2005,Meath,Disposable Income per Person,18505
2005,Midland,Disposable Income per Person,17016
2005,Monaghan,Disposable Income per Person,16786
2005,Offaly,Disposable Income per Person,16906
2005,Roscommon,Disposable Income per Person,16994
2005,Sligo,Disposable Income per Person,16832
2005,Tipperary,Disposable Income per Person,17045
2005,Waterford,Disposable Income per Person,17727
2005,Westmeath,Disposable Income per Person,17185
2005,Wexford,Disposable Income per Person,17023
2005,Wicklow,Disposable Income per Person,17282
2006,Carlow,Disposable Income per Person,17574
2006,Cavan,Disposable Income per Person,17752
2006,Clare,Disposable Income per Person,17651
2006,Cork,Disposable Income per Person,18625
2006,Donegal,Disposable Income per Person,15086
2006,Dublin,Disposable Income per Person,20409
2006,Galway,Disposable Income per Person,18246
2006,Kerry,Disposable Income per Person,16391
2006,Kildare,Disposable Income per Person,19689
2006,Kilkenny,Disposable Income per Person,17420
2006,Laois,Disposable Income per Person,17830
2006,Leitrim,Disposable Income per Person,18015
2006,Limerick,Disposable Income per Person,18465
2006,Longford,Disposable Income per Person,17540
2006,Louth,Disposable Income per Person,18903
2006,Mayo,Disposable Income per Person,16517
2006,Meath,Disposable Income per Person,19959
2006,Midland,Disposable Income per Person,17562
2006,Monaghan,Disposable Income per Person,16923
2006,Offaly,Disposable Income per Person,17492
2006,Roscommon,Disposable Income per Person,17609
2006,Sligo,Disposable Income per Person,17344
2006,Tipperary,Disposable Income per Person,18188
2006,Waterford,Disposable Income per Person,18091
2006,Westmeath,Disposable Income per Person,17416
2006,Wexford,Disposable Income per Person,18421
2006,Wicklow,Disposable Income per Person,17836
2007,Carlow,Disposable Income per Person,18995
2007,Cavan,Disposable Income per Person,19172
2007,Clare,Disposable Income per Person,18865
2007,Cork,Disposable Income per Person,19674
2007,Donegal,Disposable Income per Person,15993
2007,Dublin,Disposable Income per Person,21569
2007,Galway,Disposable Income per Person,19277
2007,Kerry,Disposable Income per Person,17199
2007,Kildare,Disposable Income per Person,20560
2007,Kilkenny,Disposable Income per Person,18771
2007,Laois,Disposable Income per Person,18706
2007,Leitrim,Disposable Income per Person,18828
