Nummer,Service,Categorie,Omschrijving
4470,"","Overige autokosten",""
4480,"","Overige autokosten",""
4490,"","Overige autokosten","Overige autokosten"
4500,"","Reclame en advertentiekosten","Reclame- en advertentiekosten"
4502,"","Vertalingen","Vertalingen binnen EU"
4503,"","Vertalingen",""
4505,"","Reclame en advertentiekosten","Reclame & advertentiekosten (binnen EU)"
4506,"","Reclame en advertentiekosten","Reclame- en advertentiekosten (buiten EU)"
4510,"","Representatiekosten",""
4520,"","Representatiekosten","Relatiegeschenken"
4525,"","Overige verkoopkosten",""
4530,"","Reis- en verblijfkosten","Reis- en verblijfkosten"
4535,"","Representatiekosten","zakenlunch/diner"
4540,"","Beurskosten","Beurskosten NL"
4541,"","Beurskosten","Beurskosten binnen EU"
4542,"","Beurskosten","Beurskosten buiten EU"
4550,"","Mutatie voorziening dub. vorderingen","Afschr. dub. debiteuren"
4580,"","Overige verkoopkosten","Training/opleiding Dealers bij VIAVAC"
4590,"","Overige verkoopkosten","Overige verkoopkosten"
4595,"","Overige verkoopkosten","Verkoopkosten herziening Manual"
4610,"","","Afschrijving huurdersinvestering"
4700,"","Financieringslasten","Rente- / kosten bank"
4720,"","Financieringslasten","Rente lening 0/g"
4890,"","Financieringslasten","Overige rente baten"
7002,"","","Inkopen NL hoog"
7004,"","","Inkopen R & D NL"
7015,"","","Inkopen binnen EU hoog"
7018,"","","Inkopen buiten EU hoog"
7020,"Verkoop","Overigen (Vrachtkosten e.d.)","Vrachtkosten binnen EU"
7021,"Verkoop","Overigen (Vrachtkosten e.d.)","Vrachtkosten Roemenie"
7022,"Verkoop","Overigen (Vrachtkosten e.d.)",""
7023,"Verkoop","Overigen (Vrachtkosten e.d.)","Vrachtkosten binnen EU (zonder BTW)"
7025,"Verkoop","Overigen (Vrachtkosten e.d.)","Vrachtkosten buiten EU"
7026,"Verkoop","Overigen (Vrachtkosten e.d.)",""
7027,"","Uitzendkrachten R&D","Uitzendkrachten"
7028,"","Uitzendkrachten R&D","Uitzendkrachten R & D NL"
7030,"Verkoop","Overigen (Vrachtkosten e.d.)",""
7031,"Verkoop","Overigen (Vrachtkosten e.d.)","Provisie binnen EU"
7032,"Verkoop","Overigen (Vrachtkosten e.d.)",""
7040,"Verkoop","Overigen (Vrachtkosten e.d.)","Vrachtkosten NL"
7041,"Verkoop","Overigen (Vrachtkosten e.d.)","Kosten invoer (grens)"
7060,"Verkoop","Overigen (Vrachtkosten e.d.)",""
7080,"","","Gebruiksvergoeding activa (Cobema)"
7088,"","Gebruikersvergoeding","Gebruiksvergoeding Cobema"
7095,"Verkoop","Overigen (Vrachtkosten e.d.)","Kredietbeperking inkopen"
7500,"","","Inkoopkosten Ridder"
8003,"Verkoop","Omzet (Gefactureerd)","Verkopen overig"
8003,"Verkoop","Overigen (vrachtkosten, kredietbeperking e.d.)","Verkopen overig"
8040,"Verkoop","Overigen (vrachtkosten, kredietbeperking e.d.)","Vrachtkosten NL"
8045,"Verkoop","Overigen (vrachtkosten, kredietbeperking e.d.)","Vrachtkosten binnen EU"
8050,"Verkoop","Overigen (vrachtkosten, kredietbeperking e.d.)","Vrachtkosten buiten EU"
8100,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur NL"
8101,"Verhuur","Omzet (Gefactureerd)",""
8102,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur NO"
8104,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur AT"
8105,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur B"
8106,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur DE"
8107,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur PL"
8108,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur DK"
8109,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur SE"
8110,"Verhuur","Omzet (Gefactureerd)","Omzet verhuur binnen EU"
8150,"","","Omzet keuring/reparatie NL"
8155,"","","Omzet keuring/reparatie B"
8156,"","","Omzet keuring/reparatie DE"
8160,"","","Omzet keuring/reparatie binnen EU"
8200,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines NL"
8201,"Verkoop","Omzet (Gefactureerd)",""
8202,"Verkoop","Omzet (Gefactureerd)",""
8204,"Verkoop","Omzet (Gefactureerd)",""
8205,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines B"
8206,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines DE"
8207,"Verkoop","Omzet (Gefactureerd)",""
8208,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines DK"
8210,"Verkoop","Omzet (Gefactureerd)",""
8215,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines S"
8220,"Verkoop","Omzet (Gefactureerd)",""
8225,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines RO"
8230,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines binnen EU"
8235,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines buiten EU"
8240,"Verkoop","Omzet (Gefactureerd)",""
8245,"Verkoop","Omzet (Gefactureerd)","Omzet nieuwe machines PL"
8250,"","","Omzet onderdelen NL"
8255,"","","Omzet onderdelen B"
8256,"","","Omzet onderdelen DE"
8275,"","","Omzet onderdelen RO"
8285,"","","Omzet onderdelen buiten EU"
8295,"","","Omzet onderdelen PL"
8296,"Verkoop","Omzet (Gefactureerd)","Kredietbeperking verkopen"
8300,"Verkoop","Omzet (Gefactureerd)","Omzet Binnen Nederland"
8310,"Verkoop","Omzet (Gefactureerd)","Omzet binnen de EU"
8320,"Verkoop","Omzet (Gefactureerd)","Omzet buiten de EU"
8900,"","","Doorberekening Kosten"
9001,"Verkoop","Omzet (Gefactureerd)","Dubieuze debiteuren"
9500,"","","Vennootschapsbelasting"
9990,"","","Memoriaal"
9991,"","","Dagboek Loonjournaalpost"
