gamename,date,avg,gain,peak,avg_peak_perc,site
"Fallout 4",2015-11-01 00:00:00.000,226297.83,,471955,0.4795,"SteamCharts"
"VRChat",2017-01-01 00:00:00.000,1.14,,8,0.1425,"SteamCharts"
"eFootball PES 2021 SEASON UPDATE",2020-09-01 00:00:00.000,6941.28,,11471,0.6051,"SteamCharts"
"Gunfire Reborn",2020-05-01 00:00:00.000,923.94,,3389,0.2726,"SteamCharts"
"Stellaris",2015-08-01 00:00:00.000,0.64,,11,0.0582,"SteamCharts"
"World of Warships",2017-10-01 00:00:00.000,1.2,,5,0.24,"SteamCharts"
"Skul: The Hero Slayer",2020-02-01 00:00:00.000,1772.41,,3608,0.4912,"SteamCharts"
"Paladins",2016-09-01 00:00:00.000,21029.32,,48004,0.4381,"SteamCharts"
"Albion Online",2018-05-01 00:00:00.000,1381,,2796,0.4939,"SteamCharts"
"Fall Guys: Ultimate Knockout",2020-08-01 00:00:00.000,124479.35,,172026,0.7236,"SteamCharts"
"Yu-Gi-Oh! Duel Links",2017-11-01 00:00:00.000,9690.22,,15338,0.6318,"SteamCharts"
"Soundpad",2017-10-01 00:00:00.000,9.79,,28,0.3496,"SteamCharts"
"Phasmophobia",2020-10-01 00:00:00.000,44993.03,,112241,0.4009,"SteamCharts"
"Mount & Blade II: Bannerlord",2016-10-01 00:00:00.000,0.25,,6,0.0417,"SteamCharts"
"Assassin's Creed Odyssey",2018-10-01 00:00:00.000,29188.68,,61984,0.4709,"SteamCharts"
"Red Dead Online",2020-12-01 00:00:00.000,11324.12,,18417,0.6149,"SteamCharts"
"Total War: THREE KINGDOMS",2018-03-01 00:00:00.000,0.06,,1,0.06,"SteamCharts"
"The Forest",2014-05-01 00:00:00.000,942.89,,5722,0.1648,"SteamCharts"
"Crusader Kings III",2020-09-01 00:00:00.000,48312.51,,98474,0.4906,"SteamCharts"
"Hades",2019-12-01 00:00:00.000,4388.93,,6196,0.7083,"SteamCharts"
"Deep Rock Galactic",2016-12-01 00:00:00.000,1.42,,11,0.1291,"SteamCharts"
"Green Hell",2018-09-01 00:00:00.000,823.54,,2043,0.4031,"SteamCharts"
"<U+4FE0><U+4E4B><U+9053>(PathOfWuxia)",2020-05-01 00:00:00.000,2378.74,,14615,0.1628,"SteamCharts"
"The Binding of Isaac: Rebirth",2014-11-01 00:00:00.000,19353.88,,65836,0.294,"SteamCharts"
"Raft",2017-09-01 00:00:00.000,0.24,,3,0.08,"SteamCharts"
"Oxygen Not Included",2016-06-01 00:00:00.000,1.17,,5,0.234,"SteamCharts"
"Conqueror's Blade",2019-07-01 00:00:00.000,1272.04,,5501,0.2312,"SteamCharts"
"Conan Exiles",2016-06-01 00:00:00.000,0.89,,12,0.0742,"SteamCharts"
"Human: Fall Flat",2016-06-01 00:00:00.000,0.67,,2,0.335,"SteamCharts"
"Hunt: Showdown",2017-10-01 00:00:00.000,0.03,,1,0.03,"SteamCharts"
"The Sims™ 4",2020-06-01 00:00:00.000,2585.63,,3793,0.6817,"SteamCharts"
"Satisfactory",2020-06-01 00:00:00.000,16772.74,,27439,0.6113,"SteamCharts"
"Home Behind 2",2021-01-01 00:00:00.000,8916.5,,20036,0.445,"SteamCharts"
"Dying Light",2015-02-01 00:00:00.000,12871.38,,45770,0.2812,"SteamCharts"
"NGU IDLE",2019-10-01 00:00:00.000,4488.14,,5654,0.7938,"SteamCharts"
"Geometry Dash",2014-12-01 00:00:00.000,210.59,,388,0.5428,"SteamCharts"
"SCUM",2016-12-01 00:00:00.000,0,,1,0,"SteamCharts"
"Aim Lab",2017-11-01 00:00:00.000,0.17,,2,0.085,"SteamCharts"
"STAR WARS™: The Old Republic™",2020-07-01 00:00:00.000,18449.73,,27416,0.673,"SteamCharts"
"Company of Heroes 2",2013-06-01 00:00:00.000,8036.37,,20747,0.3874,"SteamCharts"
"The Elder Scrolls V: Skyrim",2012-07-01 00:00:00.000,24254.09,,39658,0.6116,"SteamCharts"
"Russian Fishing 4",2018-06-01 00:00:00.000,1481.92,,2760,0.5369,"SteamCharts"
"<U+96C0><U+9B42><U+9EBB><U+5C06>(MahjongSoul)",2020-07-01 00:00:00.000,2076.27,,5826,0.3564,"SteamCharts"
"Fallout 76",2020-04-01 00:00:00.000,15807.5,,21931,0.7208,"SteamCharts"
"Phantasy Star Online 2",2020-08-01 00:00:00.000,11257.63,,19684,0.5719,"SteamCharts"
"Mount & Blade: Warband",2012-07-01 00:00:00.000,4139.63,,7803,0.5305,"SteamCharts"
"SCP: Secret Laboratory",2017-12-01 00:00:00.000,99.97,,4326,0.0231,"SteamCharts"
"RuneScape",2020-10-01 00:00:00.000,8583.03,,12508,0.6862,"SteamCharts"
"Total War: ROME II - Emperor Edition",2013-09-01 00:00:00.000,34933.93,,118240,0.2954,"SteamCharts"
"Squad",2015-11-01 00:00:00.000,0.34,,5,0.068,"SteamCharts"
"Hollow Knight",2016-12-01 00:00:00.000,0.9,,4,0.225,"SteamCharts"
"Grim Dawn",2013-11-01 00:00:00.000,264.78,,708,0.374,"SteamCharts"
"BeamNG.drive",2014-08-01 00:00:00.000,88.27,,272,0.3245,"SteamCharts"
"Killing Floor 2",2013-02-01 00:00:00.000,0.05,,2,0.025,"SteamCharts"
"Shop Titans",2020-05-01 00:00:00.000,4754.14,,7038,0.6755,"SteamCharts"
"Black Desert",2018-05-01 00:00:00.000,1955.12,,4512,0.4333,"SteamCharts"
"Warhammer: Vermintide 2",2017-09-01 00:00:00.000,1.07,,21,0.051,"SteamCharts"
"Prison Architect",2013-03-01 00:00:00.000,282.9,,642,0.4407,"SteamCharts"
"Planet Zoo",2019-11-01 00:00:00.000,14391.85,,38457,0.3742,"SteamCharts"
"Borderlands 3",2020-03-01 00:00:00.000,53124.97,,93597,0.5676,"SteamCharts"
"Kerbal Space Program",2013-03-01 00:00:00.000,1316.97,,3068,0.4293,"SteamCharts"
"Dota Underlords",2019-06-01 00:00:00.000,76388.35,,202254,0.3777,"SteamCharts"
"Total War: MEDIEVAL II - Definitive Edition",2012-07-01 00:00:00.000,993.66,,1607,0.6183,"SteamCharts"
"MORDHAU",2019-05-01 00:00:00.000,28446.47,,60204,0.4725,"SteamCharts"
"Clicker Heroes",2015-05-01 00:00:00.000,36268.32,,58173,0.6235,"SteamCharts"
"theHunter: Call of the Wild™",2016-12-01 00:00:00.000,15.6,,203,0.0768,"SteamCharts"
"Hell Let Loose",2019-06-01 00:00:00.000,1600.83,,4048,0.3955,"SteamCharts"
"Leaf Blower Revolution - Idle Game",2020-12-01 00:00:00.000,4544.35,,8115,0.56,"SteamCharts"
"AdVenture Capitalist",2015-04-01 00:00:00.000,11629.53,,20641,0.5634,"SteamCharts"
"Starbound",2013-12-01 00:00:00.000,39647.66,,88355,0.4487,"SteamCharts"
"Crossout",2016-08-01 00:00:00.000,260.26,,617,0.4218,"SteamCharts"
"Warface",2014-07-01 00:00:00.000,4805.4,,13867,0.3465,"SteamCharts"
"For Honor",2017-02-01 00:00:00.000,28090.31,,45923,0.6117,"SteamCharts"
"Crusader Kings II",2012-07-01 00:00:00.000,2105.53,,3703,0.5686,"SteamCharts"
"House Flipper",2017-04-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"XCOM 2",2016-02-01 00:00:00.000,42239.38,,132677,0.3184,"SteamCharts"
"Lords Mobile",2019-06-01 00:00:00.000,1481.64,,2371,0.6249,"SteamCharts"
"Blender",2015-04-01 00:00:00.000,315.86,,575,0.5493,"SteamCharts"
"Ori and the Will of the Wisps",2020-03-01 00:00:00.000,8324.39,,31224,0.2666,"SteamCharts"
"STAR WARS™ Battlefront™ II",2020-06-01 00:00:00.000,2418.88,,3755,0.6442,"SteamCharts"
"Far Cry 5",2018-04-01 00:00:00.000,28128.79,,89574,0.314,"SteamCharts"
"The Isle",2015-12-01 00:00:00.000,113.2,,258,0.4388,"SteamCharts"
"Assetto Corsa Competizione",2018-09-01 00:00:00.000,319.17,,1836,0.1738,"SteamCharts"
"Age of Empires III: Definitive Edition",2020-10-01 00:00:00.000,7506.72,,18142,0.4138,"SteamCharts"
"Borderlands 2",2012-09-01 00:00:00.000,61242.78,,123596,0.4955,"SteamCharts"
"Kenshi",2013-03-01 00:00:00.000,362.73,,733,0.4949,"SteamCharts"
"Heroes & Generals",2012-12-01 00:00:00.000,0,,0,,"SteamCharts"
"Eco",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"People Playground",2019-07-01 00:00:00.000,39.02,,135,0.289,"SteamCharts"
"Shakes and Fidget",2016-03-01 00:00:00.000,4525.48,,9469,0.4779,"SteamCharts"
"Subnautica",2014-03-01 00:00:00.000,0.04,,2,0.02,"SteamCharts"
"Insurgency: Sandstorm",2018-12-01 00:00:00.000,4978.04,,7983,0.6236,"SteamCharts"
"Total War: EMPIRE - Definitive Edition",2012-07-01 00:00:00.000,4711.31,,8199,0.5746,"SteamCharts"
"The Sims(TM) 3",2012-07-01 00:00:00.000,1196.9,,2006,0.5967,"SteamCharts"
"Transformice",2015-01-01 00:00:00.000,545.4,,5542,0.0984,"SteamCharts"
"Total War: ATTILA",2015-02-01 00:00:00.000,14496.81,,26237,0.5525,"SteamCharts"
"Transport Fever 2",2019-12-01 00:00:00.000,9877.14,,23150,0.4267,"SteamCharts"
"eFootball PES 2020",2019-09-01 00:00:00.000,5396.75,,10093,0.5347,"SteamCharts"
"Darkest Dungeon®",2014-12-01 00:00:00.000,0.33,,3,0.11,"SteamCharts"
"Total War: SHOGUN 2",2012-07-01 00:00:00.000,6542.84,,10549,0.6202,"SteamCharts"
"Horizon Zero Dawn",2020-08-01 00:00:00.000,16042.04,,49582,0.3235,"SteamCharts"
"HITMAN™ 2",2018-11-01 00:00:00.000,5913.68,,13208,0.4477,"SteamCharts"
"Need for Speed™ Heat",2020-06-01 00:00:00.000,3605.3,,6365,0.5664,"SteamCharts"
"Portal 2",2012-07-01 00:00:00.000,4167.67,,8857,0.4706,"SteamCharts"
"YoloMouse",2020-05-01 00:00:00.000,32.66,,51,0.6404,"SteamCharts"
"Kingdom Come: Deliverance",2017-12-01 00:00:00.000,0.08,,1,0.08,"SteamCharts"
"They Are Billions",2017-06-01 00:00:00.000,0.21,,3,0.07,"SteamCharts"
"Totally Accurate Battle Simulator",2016-08-01 00:00:00.000,0.67,,3,0.2233,"SteamCharts"
"ATLAS",2018-12-01 00:00:00.000,39315.58,,58788,0.6688,"SteamCharts"
"Assassin's Creed Origins",2017-11-01 00:00:00.000,14281.45,,36075,0.3959,"SteamCharts"
"STAR WARS Jedi: Fallen Order™",2019-11-01 00:00:00.000,13354.11,,46513,0.2871,"SteamCharts"
"Battlefield™ V",2020-06-01 00:00:00.000,1163.34,,2034,0.5719,"SteamCharts"
"Fishing Planet",2015-08-01 00:00:00.000,2058.52,,6651,0.3095,"SteamCharts"
"DiRT Rally 2.0",2019-03-01 00:00:00.000,879.7,,2685,0.3276,"SteamCharts"
"Mortal Kombat 11",2019-04-01 00:00:00.000,15420.02,,27301,0.5648,"SteamCharts"
"Middle-earth™: Shadow of War™",2017-03-01 00:00:00.000,10.26,,47,0.2183,"SteamCharts"
"Medieval Dynasty",2020-09-01 00:00:00.000,10156.13,,18611,0.5457,"SteamCharts"
"Soundpad Demo",2017-10-01 00:00:00.000,0.61,,5,0.122,"SteamCharts"
"DOOM Eternal",2020-03-01 00:00:00.000,31279.17,,84865,0.3686,"SteamCharts"
"Mr.Mine",2020-10-01 00:00:00.000,3314.58,,5093,0.6508,"SteamCharts"
"Star Trek Online",2012-07-01 00:00:00.000,1717.31,,2821,0.6088,"SteamCharts"
"Catan Universe",2017-04-01 00:00:00.000,96.99,,454,0.2136,"SteamCharts"
"Men of War: Assault Squad 2",2014-01-01 00:00:00.000,11.38,,167,0.0681,"SteamCharts"
"Trove",2015-06-01 00:00:00.000,1.3,,7,0.1857,"SteamCharts"
"Football Manager 2018",2017-11-01 00:00:00.000,32008.97,,58761,0.5447,"SteamCharts"
"DARK SOULS™ II: Scholar of the First Sin",2015-04-01 00:00:00.000,5778.38,,12051,0.4795,"SteamCharts"
"DRAGON BALL FighterZ",2018-01-01 00:00:00.000,18713.07,,44234,0.423,"SteamCharts"
"Gems of War",2014-11-01 00:00:00.000,421.58,,791,0.533,"SteamCharts"
"Aseprite",2016-02-01 00:00:00.000,46.46,,103,0.4511,"SteamCharts"
"The Crew 2",2018-07-01 00:00:00.000,1831.93,,6019,0.3044,"SteamCharts"
"CarX Drift Racing Online",2017-07-01 00:00:00.000,110.95,,276,0.402,"SteamCharts"
"Beat Saber",2018-02-01 00:00:00.000,0.14,,1,0.14,"SteamCharts"
"Battlefield 1 ™",2020-06-01 00:00:00.000,870.49,,1646,0.5289,"SteamCharts"
"KovaaK 2.0",2018-03-01 00:00:00.000,0.77,,3,0.2567,"SteamCharts"
"Neverwinter",2013-12-01 00:00:00.000,7187.49,,14822,0.4849,"SteamCharts"
"Will To Live Online",2017-12-01 00:00:00.000,13.1,,31,0.4226,"SteamCharts"
"Street Fighter V",2016-02-01 00:00:00.000,5895.93,,13807,0.427,"SteamCharts"
"DARK SOULS™: REMASTERED",2018-05-01 00:00:00.000,16057.82,,24505,0.6553,"SteamCharts"
"PlanetSide 2",2012-11-01 00:00:00.000,16240.47,,29449,0.5515,"SteamCharts"
"Planet Coaster",2016-08-01 00:00:00.000,0.8,,9,0.0889,"SteamCharts"
"Pathfinder: Kingmaker",2018-09-01 00:00:00.000,12793.87,,22536,0.5677,"SteamCharts"
"The Long Dark",2014-09-01 00:00:00.000,201.52,,1068,0.1887,"SteamCharts"
"Disco Elysium",2018-03-01 00:00:00.000,0.12,,1,0.12,"SteamCharts"
"Stormworks: Build and Rescue",2017-05-01 00:00:00.000,0.36,,4,0.09,"SteamCharts"
"Knight Online",2016-01-01 00:00:00.000,5144.1,,23516,0.2187,"SteamCharts"
"Project Zomboid",2013-11-01 00:00:00.000,411.67,,1021,0.4032,"SteamCharts"
"Noita",2019-10-01 00:00:00.000,1982.7,,3781,0.5244,"SteamCharts"
"Northgard",2016-08-01 00:00:00.000,0.12,,3,0.04,"SteamCharts"
"Realm of the Mad God Exalt",2012-07-01 00:00:00.000,1121.92,,1642,0.6833,"SteamCharts"
"Persona 4 Golden",2020-06-01 00:00:00.000,19589.92,,29984,0.6533,"SteamCharts"
"X-Plane 11",2016-12-01 00:00:00.000,0,,0,,"SteamCharts"
"RISK: Global Domination",2020-02-01 00:00:00.000,931,,2390,0.3895,"SteamCharts"
"METAL GEAR SOLID V: THE PHANTOM PAIN",2015-09-01 00:00:00.000,43150.94,,90952,0.4744,"SteamCharts"
"Jurassic World Evolution",2018-06-01 00:00:00.000,20568.38,,60296,0.3411,"SteamCharts"
"BATTLETECH",2018-01-01 00:00:00.000,0.93,,9,0.1033,"SteamCharts"
"theHunter Classic",2014-06-01 00:00:00.000,1162.48,,2648,0.439,"SteamCharts"
"ASTRONEER",2015-10-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"Microsoft Flight Simulator X: Steam Edition",2014-12-01 00:00:00.000,1057.19,,2250,0.4699,"SteamCharts"
"EVGA Precision X1",2014-07-01 00:00:00.000,186.15,,392,0.4749,"SteamCharts"
"Robocraft",2014-07-01 00:00:00.000,8039.82,,20954,0.3837,"SteamCharts"
"Don't Starve",2013-01-01 00:00:00.000,868.54,,1846,0.4705,"SteamCharts"
"Firestone Idle RPG",2019-10-01 00:00:00.000,1210.18,,1813,0.6675,"SteamCharts"
"Age of Mythology: Extended Edition",2014-04-01 00:00:00.000,4.65,,27,0.1722,"SteamCharts"
"BLEACH Brave Souls - 3D Action",2020-08-01 00:00:00.000,2528.42,,3932,0.643,"SteamCharts"
"Train Simulator",2012-07-01 00:00:00.000,1258.67,,3338,0.3771,"SteamCharts"
"Call of Duty: Black Ops III",2015-11-01 00:00:00.000,24852.85,,63681,0.3903,"SteamCharts"
"Subnautica: Below Zero",2019-02-01 00:00:00.000,1478.08,,7468,0.1979,"SteamCharts"
"Heroes of Might & Magic III - HD Edition",2015-02-01 00:00:00.000,1215.51,,3923,0.3098,"SteamCharts"
"Total War: NAPOLEON - Definitive Edition",2012-07-01 00:00:00.000,2115.53,,3864,0.5475,"SteamCharts"
"<U+4E09><U+56FD><U+7FA4><U+82F1><U+4F20>8 Heroes of the Three Kingdoms 8",2021-01-01 00:00:00.000,6851.13,,21252,0.3224,"SteamCharts"
"Foundation",2018-03-01 00:00:00.000,0.02,,1,0.02,"SteamCharts"
"Yakuza 0",2018-08-01 00:00:00.000,3681.69,,8907,0.4133,"SteamCharts"
"Black Squad",2017-05-01 00:00:00.000,0.01,,1,0.01,"SteamCharts"
"Shadowverse",2016-10-01 00:00:00.000,2862.18,,7472,0.3831,"SteamCharts"
"DEATH STRANDING",2020-07-01 00:00:00.000,15819.1,,32072,0.4932,"SteamCharts"
"Black Desert Online SA",2017-11-01 00:00:00.000,306.66,,1098,0.2793,"SteamCharts"
"State of Decay 2",2020-03-01 00:00:00.000,7998.47,,15759,0.5075,"SteamCharts"
"ROMANCE OF THE THREE KINGDOMS XIV",2020-01-01 00:00:00.000,7642.29,,16482,0.4637,"SteamCharts"
"Melvor Idle",2020-11-01 00:00:00.000,1200.76,,1462,0.8213,"SteamCharts"
"Company of Heroes",2013-04-01 00:00:00.000,815.09,,1933,0.4217,"SteamCharts"
"Grand Theft Auto IV: The Complete Edition",2012-07-01 00:00:00.000,2936.72,,6904,0.4254,"SteamCharts"
"Football Manager 2017",2016-08-01 00:00:00.000,11.79,,48,0.2456,"SteamCharts"
"Super Animal Royale",2018-12-01 00:00:00.000,106.13,,457,0.2322,"SteamCharts"
"Sniper Elite 4",2016-03-01 00:00:00.000,1.13,,14,0.0807,"SteamCharts"
"Granado Espada",2017-10-01 00:00:00.000,199.26,,661,0.3015,"SteamCharts"
"Tom Clancy's Ghost Recon® Wildlands",2017-03-01 00:00:00.000,19251.5,,45663,0.4216,"SteamCharts"
"DEAD OR ALIVE Xtreme Venus Vacation",2019-03-01 00:00:00.000,2950.45,,7140,0.4132,"SteamCharts"
"Rome: Total War",2012-07-01 00:00:00.000,873.93,,1587,0.5507,"SteamCharts"
"Tree of Savior (English Ver.)",2016-03-01 00:00:00.000,1902.8,,34581,0.055,"SteamCharts"
"Beasts of Bermuda",2018-12-01 00:00:00.000,604.46,,914,0.6613,"SteamCharts"
"FaceRig",2014-08-01 00:00:00.000,75.74,,312,0.2428,"SteamCharts"
"Endless Space® 2",2016-10-01 00:00:00.000,456.59,,1764,0.2588,"SteamCharts"
"Battlefield 4™",2020-06-01 00:00:00.000,830.02,,1203,0.69,"SteamCharts"
"Baldur's Gate 3",2020-10-01 00:00:00.000,16792.37,,48418,0.3468,"SteamCharts"
"Assassin's Creed IV Black Flag",2013-12-01 00:00:00.000,6499.75,,15606,0.4165,"SteamCharts"
"For The King",2017-01-01 00:00:00.000,0.69,,5,0.138,"SteamCharts"
"Stay Out",2019-12-01 00:00:00.000,899.87,,1808,0.4977,"SteamCharts"
"March of Empires",2017-11-01 00:00:00.000,0.96,,10,0.096,"SteamCharts"
"Plants vs. Zombies: Game of the Year",2012-07-01 00:00:00.000,1390.71,,2700,0.5151,"SteamCharts"
"Plague Inc: Evolved",2014-02-01 00:00:00.000,900.19,,1686,0.5339,"SteamCharts"
"Total War: WARHAMMER",2016-05-01 00:00:00.000,40988.45,,111909,0.3663,"SteamCharts"
"Amazing Cultivation Simulator",2019-01-01 00:00:00.000,7113.36,,18169,0.3915,"SteamCharts"
"Grounded",2020-08-01 00:00:00.000,5422.12,,16851,0.3218,"SteamCharts"
"Workers & Resources: Soviet Republic",2019-03-01 00:00:00.000,1756.49,,3885,0.4521,"SteamCharts"
"X4: Foundations",2017-09-01 00:00:00.000,0.82,,6,0.1367,"SteamCharts"
"Stronghold Crusader HD",2012-07-01 00:00:00.000,33.76,,70,0.4823,"SteamCharts"
"Sid Meier's Civilization IV: Beyond the Sword",2012-07-01 00:00:00.000,471.74,,833,0.5663,"SteamCharts"
"Frostpunk",2017-08-01 00:00:00.000,0.47,,3,0.1567,"SteamCharts"
"Tomb Raider",2013-03-01 00:00:00.000,7146.8,,29197,0.2448,"SteamCharts"
"MapleStory",2012-08-01 00:00:00.000,1076.81,,2384,0.4517,"SteamCharts"
"Craftopia",2020-09-01 00:00:00.000,7872.57,,26449,0.2977,"SteamCharts"
"Nioh: Complete Edition",2017-10-01 00:00:00.000,4.64,,26,0.1785,"SteamCharts"
"NBA 2K19",2018-09-01 00:00:00.000,13496.06,,28864,0.4676,"SteamCharts"
"Command & Conquer™ Remastered Collection",2020-06-01 00:00:00.000,7597.04,,29136,0.2607,"SteamCharts"
"Onmyoji",2018-01-01 00:00:00.000,0.31,,2,0.155,"SteamCharts"
"Tracks of Triumph: Industrial Zone",2016-06-01 00:00:00.000,0.73,,5,0.146,"SteamCharts"
"Football Manager 2021 Touch",2020-12-01 00:00:00.000,892.24,,1850,0.4823,"SteamCharts"
"Titan Quest Anniversary Edition",2016-09-01 00:00:00.000,3760.42,,11018,0.3413,"SteamCharts"
"Assassin's Creed Unity",2014-11-01 00:00:00.000,2673.71,,5432,0.4922,"SteamCharts"
"DRAGON BALL Z: KAKAROT",2020-01-01 00:00:00.000,11558.78,,25715,0.4495,"SteamCharts"
"Dragon Age™ Inquisition",2020-06-01 00:00:00.000,1115.05,,1844,0.6047,"SteamCharts"
"Brick Rigs",2016-11-01 00:00:00.000,14.01,,57,0.2458,"SteamCharts"
"Resident Evil 7 Biohazard",2017-01-01 00:00:00.000,11573.71,,18211,0.6355,"SteamCharts"
"Two Point Hospital",2018-01-01 00:00:00.000,2.61,,10,0.261,"SteamCharts"
"Spellbreak",2020-12-01 00:00:00.000,2451.11,,4745,0.5166,"SteamCharts"
"Sid Meier's Civilization III: Complete",2012-07-01 00:00:00.000,242.37,,470,0.5157,"SteamCharts"
"DCS World Steam Edition",2013-08-01 00:00:00.000,6.39,,22,0.2905,"SteamCharts"
"Mafia: Definitive Edition",2020-10-01 00:00:00.000,3239.81,,13589,0.2384,"SteamCharts"
"Last Oasis",2020-04-01 00:00:00.000,14852.31,,33104,0.4487,"SteamCharts"
"My Summer Car",2016-10-01 00:00:00.000,917.2,,5509,0.1665,"SteamCharts"
"Banished",2013-10-01 00:00:00.000,2.12,,8,0.265,"SteamCharts"
"XCOM: Enemy Unknown",2012-10-01 00:00:00.000,20353.15,,70560,0.2885,"SteamCharts"
"OMSI 2",2013-11-01 00:00:00.000,0.45,,4,0.1125,"SteamCharts"
"The Elder Scrolls IV: Oblivion",2012-07-01 00:00:00.000,648.32,,1416,0.4579,"SteamCharts"
