airport_id,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,URL
"CYM","seaplane_base","Chatham Seaplane Base",57.5149,-134.946,0,"NA","US","US-AK","Chatham","https://airportcod.es/#airport/CYM"
"CZN","small_airport","Chisana Airport",62.0712,-142.048,3318,"NA","US","US-AK","Chisana","https://airportcod.es/#airport/CZN"
"CZO","small_airport","Chistochina Airport",62.5635,-144.669,1850,"NA","US","US-AK","Chistochina","https://airportcod.es/#airport/CZO"
"DJN","small_airport","Delta Junction Airport",64.0504,-145.717,1150,"NA","US","US-AK","Delta Junction","https://airportcod.es/#airport/DJN"
"DCK","small_airport","Dahl Creek Airport",66.9433,-156.905,260,"NA","US","US-AK","Dahl Creek","https://airportcod.es/#airport/DCK"
"NNK","small_airport","Naknek Airport",58.7329,-157.02,70,"NA","US","US-AK","Naknek","https://airportcod.es/#airport/NNK"
"BKF","seaplane_base","Lake Brooks Seaplane Base",58.5548,-155.777,36,"NA","US","US-AK","Katmai National Park","https://airportcod.es/#airport/BKF"
"CGA","seaplane_base","Craig Seaplane Base",55.4788,-133.148,0,"NA","US","US-AK","Craig","https://airportcod.es/#airport/CGA"
"CHP","small_airport","Circle Hot Springs Airport",65.4855,-144.611,956,"NA","US","US-AK","Circle Hot Springs","https://airportcod.es/#airport/CHP"
"CIV","seaplane_base","Chomley Seaplane Base",55.217,-132.21,0,"NA","US","US-AK","Chomley","https://airportcod.es/#airport/CIV"
"CKD","small_airport","Crooked Creek Airport",61.8679,-158.135,178,"NA","US","US-AK","Crooked Creek","https://airportcod.es/#airport/CKD"
"CKU","small_airport","Cordova Municipal Airport",60.5439,-145.727,12,"NA","US","US-AK","Cordova","https://airportcod.es/#airport/CKU"
"CKX","small_airport","Chicken Airport",64.0713,-141.952,1640,"NA","US","US-AK","Chicken","https://airportcod.es/#airport/CKX"
"WHD","seaplane_base","Hyder Seaplane Base",55.90332,-130.01,0,"NA","US","US-AK","Hyder","https://airportcod.es/#airport/WHD"
"MNT","small_airport","Minto Al Wright Airport",65.1437,-149.37,460,"NA","US","US-AK","Minto","https://airportcod.es/#airport/MNT"
"TKI","seaplane_base","Tokeen Seaplane Base",55.9371,-133.327,0,"NA","US","US-AK","Tokeen","https://airportcod.es/#airport/TKI"
"WKK","medium_airport","Aleknagik / New Airport",59.2826,-158.618,66,"NA","US","US-AK","Aleknagik","https://airportcod.es/#airport/WKK"
"WFB","seaplane_base","Ketchikan Harbor Seaplane Base",55.3499,-131.677,0,"NA","US","US-AK","Ketchikan","https://airportcod.es/#airport/WFB"
"RMP","small_airport","Rampart Airport",65.5079,-150.141,302,"NA","US","US-AK","Rampart","https://airportcod.es/#airport/RMP"
"KOY","seaplane_base","Olga Bay Seaplane Base",57.1615,-154.23,0,"NA","US","US-AK","Olga Bay","https://airportcod.es/#airport/KOY"
"KPB","seaplane_base","Point Baker Seaplane Base",56.3519,-133.623,0,"NA","US","US-AK","Point Baker","https://airportcod.es/#airport/KPB"
"KPR","seaplane_base","Port Williams Seaplane Base",58.4901,-152.582,0,"NA","US","US-AK","Port Williams","https://airportcod.es/#airport/KPR"
"KPY","seaplane_base","Port Bailey Seaplane Base",57.9301,-153.041,0,"NA","US","US-AK","Port Bailey","https://airportcod.es/#airport/KPY"
"KQA","seaplane_base","Akutan Seaplane Base",54.13377,-165.7789,0,"NA","US","US-AK","Akutan","https://airportcod.es/#airport/KQA"
"GDH","seaplane_base","Golden Horn Lodge Seaplane Base",59.747,-158.875,91,"NA","US","US-AK","Golden Horn Lodge","https://airportcod.es/#airport/GDH"
"ATT","small_airport","Atmautluak Airport",60.8667,-162.273,17,"NA","US","US-AK","Atmautluak","https://airportcod.es/#airport/ATT"
"LIV","small_airport","Livengood Camp Airport",65.467,-148.6534,425,"NA","US","US-AK","Livengood","https://airportcod.es/#airport/LIV"
"PDB","small_airport","Pedro Bay Airport",59.7896,-154.124,45,"NA","US","US-AK","Pedro Bay","https://airportcod.es/#airport/PDB"
"KOZ","small_airport","Ouzinkie Airport",57.92536,-152.4967,55,"NA","US","US-AK","Ouzinkie","https://airportcod.es/#airport/KOZ"
"TNK","small_airport","Tununak Airport",60.5755,-165.272,14,"NA","US","US-AK","Tununak","https://airportcod.es/#airport/TNK"
"BYA","small_airport","Boundary Airport",64.0783,-141.113,2940,"NA","US","US-AK","Boundary","https://airportcod.es/#airport/BYA"
"KGX","small_airport","Grayling Airport",62.89519,-160.0663,99,"NA","US","US-AK","Grayling","https://airportcod.es/#airport/KGX"
"KGZ","small_airport","Glacier Creek Airport",61.4551,-142.381,2380,"NA","US","US-AK","Glacier Creek","https://airportcod.es/#airport/KGZ"
"KIB","seaplane_base","Ivanof Bay Seaplane Base",55.8975,-159.489,0,"NA","US","US-AK","Ivanof Bay","https://airportcod.es/#airport/KIB"
"KKB","seaplane_base","Kitoi Bay Seaplane Base",58.1909,-152.37,0,"NA","US","US-AK","Kitoi Bay","https://airportcod.es/#airport/KKB"
"KKL","seaplane_base","Karluk Lake Seaplane Base",57.367,-154.028,368,"NA","US","US-AK","Karluk Lake","https://airportcod.es/#airport/KKL"
"KKU","small_airport","Ekuk Airport",58.8112,-158.559,30,"NA","US","US-AK","Ekuk","https://airportcod.es/#airport/KKU"
"GNU","small_airport","Goodnews Airport",59.1174,-161.577,15,"NA","US","US-AK","Goodnews","https://airportcod.es/#airport/GNU"
"GMT","small_airport","Granite Mountain Air Station",65.4021,-161.281,1313,"NA","US","US-AK","Granite Mountain","https://airportcod.es/#airport/GMT"
"DRF","small_airport","Drift River Airport",60.5889,-152.162,30,"NA","US","US-AK","Kenai","https://airportcod.es/#airport/DRF"
"HAY","small_airport","Haycock Airport",65.201,-161.157,175,"NA","US","US-AK","Haycock","https://airportcod.es/#airport/HAY"
"HKB","small_airport","Healy Lake Airport",63.9958,-144.6926,1180,"NA","US","US-AK","Healy Lake","https://airportcod.es/#airport/HKB"
"BNF","seaplane_base","Baranof Warm Springs Float and Seaplane Base",57.0888,-134.8331,0,"NA","US","US-AK","Baranof","https://airportcod.es/#airport/BNF"
"BQV","seaplane_base","Bartlett Cove Seaplane Base",58.4552,-135.885,0,"NA","US","US-AK","Gustavus","https://airportcod.es/#airport/BQV"
"HYL","seaplane_base","Hollis Clark Bay Seaplane Base",55.4816,-132.646,0,"NA","US","US-AK","Hollis","https://airportcod.es/#airport/HYL"
"FLT","small_airport","Flat Airport",62.4526,-157.989,309,"NA","US","US-AK","Flat","https://airportcod.es/#airport/FLT"
"KBE","seaplane_base","Bell Island Hot Springs Seaplane Base",55.9291,-131.572,0,"NA","US","US-AK","Bell Island","https://airportcod.es/#airport/KBE"
"KCC","seaplane_base","Coffman Cove Seaplane Base",56.0032,-132.842,0,"NA","US","US-AK","Coffman Cove","https://airportcod.es/#airport/KCC"
"KCG","closed","Chignik Fisheries Airport",56.31764,-158.5897,25,"NA","US","US-AK","Chignik","https://airportcod.es/#airport/KCG"
"KCL","small_airport","Chignik Lagoon Airport",56.3112,-158.536,25,"NA","US","US-AK","Chignik Flats","https://airportcod.es/#airport/KCL"
"KCN","seaplane_base","Chernofski Harbor Seaplane Base",53.4029,-167.5203,0,"NA","US","US-AK","Chernofski Harbor","https://airportcod.es/#airport/KCN"
"KCR","small_airport","Colorado Creek Airport",63.5677,-155.989,860,"NA","US","US-AK","Colorado Creek","https://airportcod.es/#airport/KCR"
"KEB","small_airport","Nanwalek Airport",59.3521,-151.925,27,"NA","US","US-AK","Nanwalek","https://airportcod.es/#airport/KEB"
"EXI","seaplane_base","Excursion Inlet Seaplane Base",58.4205,-135.449,0,"NA","US","US-AK","Excursion Inlet","https://airportcod.es/#airport/EXI"
"KEK","small_airport","Ekwok Airport",59.3568,-157.471,135,"NA","US","US-AK","Ekwok","https://airportcod.es/#airport/KEK"
"PIZ","medium_airport","Point Lay LRRS Airport",69.7329,-163.005,22,"NA","US","US-AK","Point Lay","https://airportcod.es/#airport/PIZ"
"PWR","seaplane_base","Port Walter Seaplane Base",56.381,-134.651,0,"NA","US","US-AK","Port Walter","https://airportcod.es/#airport/PWR"
"PYL","seaplane_base","Perry Island Seaplane Base",60.6853,-147.919,0,"NA","US","US-AK","Perry Island","https://airportcod.es/#airport/PYL"
"RDV","small_airport","Red Devil Airport",61.7881,-157.35,174,"NA","US","US-AK","Red Devil","https://airportcod.es/#airport/RDV"
"CIL","small_airport","Council Airport",64.8979,-163.703,85,"NA","US","US-AK","Council","https://airportcod.es/#airport/CIL"
"KAE","seaplane_base","Kake Seaplane Base",56.973,-133.946,0,"NA","US","US-AK","Kake","https://airportcod.es/#airport/KAE"
"SXP","small_airport","Nunam Iqua Airport",62.5206,-164.848,12,"NA","US","US-AK","Nunam Iqua","https://airportcod.es/#airport/SXP"
"SYB","small_airport","Seal Bay Seaplane Base",58.3733,-152.2018,0,"NA","US","US-AK","Seal Bay","https://airportcod.es/#airport/SYB"
"TCT","small_airport","Takotna Airport",62.99321,-156.029,825,"NA","US","US-AK","Takotna","https://airportcod.es/#airport/TCT"
"SVS","small_airport","Stevens Village Airport",66.0172,-149.0545,305,"NA","US","US-AK","Stevens Village","https://airportcod.es/#airport/SVS"
"TKE","seaplane_base","Tenakee Seaplane Base",57.7797,-135.218,0,"NA","US","US-AK","Tenakee Springs","https://airportcod.es/#airport/TKE"
"TKL","seaplane_base","Taku Lodge Seaplane Base",58.4897,-133.943,0,"NA","US","US-AK","Taku Lodge","https://airportcod.es/#airport/TKL"
"TLT","small_airport","Tuluksak Airport",61.0968,-160.969,30,"NA","US","US-AK","Tuluksak","https://airportcod.es/#airport/TLT"
"PTA","small_airport","Port Alsworth Airport",60.20168,-154.3259,280,"NA","US","US-AK","Port Alsworth","https://airportcod.es/#airport/PTA"
"TSG","small_airport","Tanacross Airport",63.3744,-143.336,1549,"NA","US","US-AK","Tanacross","https://airportcod.es/#airport/TSG"
"AKB","small_airport","Atka Airport",52.2203,-174.206,57,"NA","US","US-AK","Atka","https://airportcod.es/#airport/AKB"
"PML","small_airport","Port Moller Airport",56.006,-160.561,20,"NA","US","US-AK","Cold Bay","https://airportcod.es/#airport/PML"
"PTD","seaplane_base","Port Alexander Seaplane Base",56.2468,-134.648,0,"NA","US","US-AK","Port Alexander","https://airportcod.es/#airport/PTD"
"PAQ","medium_airport","Warren ""Bud"" Woods Palmer Municipal Airport",61.5949,-149.089,242,"NA","US","US-AK","Palmer","https://airportcod.es/#airport/PAQ"
"ATU","closed","Casco Cove Coast Guard Station",52.8284,173.18,40,"NA","US","US-AK","Attu","https://airportcod.es/#airport/ATU"
"BTI","medium_airport","Barter Island LRRS Airport",70.134,-143.582,2,"NA","US","US-AK","Barter Island Lrrs","https://airportcod.es/#airport/BTI"
"BET","medium_airport","Bethel Airport",60.7798,-161.838,126,"NA","US","US-AK","Bethel","https://airportcod.es/#airport/BET"
"BVU","small_airport","Beluga Airport",61.1722,-151.044,130,"NA","US","US-AK","Beluga","https://airportcod.es/#airport/BVU"
"BIG","medium_airport","Allen Army Airfield",63.9945,-145.722,1291,"NA","US","US-AK","Delta Junction Ft Greely","https://airportcod.es/#airport/BIG"
"BKC","medium_airport","Buckland Airport",65.9816,-161.149,31,"NA","US","US-AK","Buckland","https://airportcod.es/#airport/BKC"
"BMX","small_airport","Big Mountain Airport",59.3612,-155.259,663,"NA","US","US-AK","Big Mountain","https://airportcod.es/#airport/BMX"
"BRW","medium_airport","Wiley Post Will Rogers Memorial Airport",71.2854,-156.766,44,"NA","US","US-AK","UtqiaÄ¡vik","https://airportcod.es/#airport/BRW"
"BTT","medium_airport","Bettles Airport",66.9139,-151.529,647,"NA","US","US-AK","Bettles","https://airportcod.es/#airport/BTT"
"CDB","medium_airport","Cold Bay Airport",55.2061,-162.725,96,"NA","US","US-AK","Cold Bay","https://airportcod.es/#airport/CDB"
"CEM","small_airport","Central Airport",65.5738,-144.783,937,"NA","US","US-AK","Central","https://airportcod.es/#airport/CEM"
"CIK","small_airport","Chalkyitsik Airport",66.645,-143.74,544,"NA","US","US-AK","Chalkyitsik","https://airportcod.es/#airport/CIK"
"CYF","small_airport","Chefornak Airport",60.13667,-164.2792,49,"NA","US","US-AK","Chefornak","https://airportcod.es/#airport/CYF"
"SCM","medium_airport","Scammon Bay Airport",61.8453,-165.571,14,"NA","US","US-AK","Scammon Bay","https://airportcod.es/#airport/SCM"
"IRC","small_airport","Circle City /New/ Airport",65.8305,-144.076,613,"NA","US","US-AK","Circle","https://airportcod.es/#airport/IRC"
"CDV","medium_airport","Merle K (Mudhole) Smith Airport",60.4918,-145.478,54,"NA","US","US-AK","Cordova","https://airportcod.es/#airport/CDV"
"CXF","small_airport","Coldfoot Airport",67.2522,-150.204,1042,"NA","US","US-AK","Coldfoot","https://airportcod.es/#airport/CXF"
"CYT","small_airport","Yakataga Airport",60.08097,-142.4945,12,"NA","US","US-AK","Yakataga","https://airportcod.es/#airport/CYT"
"CZF","medium_airport","Cape Romanzof LRRS Airport",61.7803,-166.039,464,"NA","US","US-AK","Cape Romanzof","https://airportcod.es/#airport/CZF"
"DRG","medium_airport","Deering Airport",66.0696,-162.766,21,"NA","US","US-AK","Deering","https://airportcod.es/#airport/DRG"
"RDB","small_airport","Red Dog Airport",68.0321,-162.899,969,"NA","US","US-AK","Red Dog","https://airportcod.es/#airport/RDB"
"ADK","medium_airport","Adak Airport",51.878,-176.646,18,"NA","US","US-AK","Adak Island","https://airportcod.es/#airport/ADK"
"DLG","medium_airport","Dillingham Airport",59.0447,-158.505,81,"NA","US","US-AK","Dillingham","https://airportcod.es/#airport/DLG"
"MLL","medium_airport","Marshall Don Hunter Sr Airport",61.8643,-162.026,103,"NA","US","US-AK","Marshall","https://airportcod.es/#airport/MLL"
"ADQ","medium_airport","Kodiak Airport",57.75,-152.494,78,"NA","US","US-AK","Kodiak","https://airportcod.es/#airport/ADQ"
"DUT","medium_airport","Unalaska Airport",53.9001,-166.544,22,"NA","US","US-AK","Unalaska","https://airportcod.es/#airport/DUT"
"KKH","small_airport","Kongiganak Airport",59.9608,-162.881,30,"NA","US","US-AK","Kongiganak","https://airportcod.es/#airport/KKH"
"EDF","medium_airport","Elmendorf Air Force Base",61.251,-149.807,212,"NA","US","US-AK","Anchorage","https://airportcod.es/#airport/EDF"
"EEK","small_airport","Eek Airport",60.21367,-162.0439,12,"NA","US","US-AK","Eek","https://airportcod.es/#airport/EEK"
"EAA","small_airport","Eagle Airport",64.7764,-141.151,908,"NA","US","US-AK","Eagle","https://airportcod.es/#airport/EAA"
"EHM","medium_airport","Cape Newenham LRRS Airport",58.6464,-162.063,541,"NA","US","US-AK","Cape Newenham","https://airportcod.es/#airport/EHM"
"EIL","medium_airport","Eielson Air Force Base",64.6657,-147.102,547,"NA","US","US-AK","Fairbanks","https://airportcod.es/#airport/EIL"
"ELV","seaplane_base","Elfin Cove Seaplane Base",58.1952,-136.347,0,"NA","US","US-AK","Elfin Cove","https://airportcod.es/#airport/ELV"
"EMK","medium_airport","Emmonak Airport",62.7861,-164.491,13,"NA","US","US-AK","Emmonak","https://airportcod.es/#airport/EMK"
"ENA","medium_airport","Kenai Municipal Airport",60.5731,-151.245,99,"NA","US","US-AK","Kenai","https://airportcod.es/#airport/ENA"
"WWT","small_airport","Newtok Airport",60.9391,-164.641,25,"NA","US","US-AK","Newtok","https://airportcod.es/#airport/WWT"
"FAI","large_airport","Fairbanks International Airport",64.8151,-147.856,439,"NA","US","US-AK","Fairbanks","https://airportcod.es/#airport/FAI"
"FBK","medium_airport","Ladd AAF Airfield",64.8375,-147.614,454,"NA","US","US-AK","Fairbanks/Ft Wainwright","https://airportcod.es/#airport/FBK"
"ABL","medium_airport","Ambler Airport",67.1063,-157.857,334,"NA","US","US-AK","Ambler","https://airportcod.es/#airport/ABL"
"FRN","heliport","Bryant Army Heliport",61.2664,-149.653,378,"NA","US","US-AK","Fort Richardson(Anchorage)","https://airportcod.es/#airport/FRN"
"NIB","small_airport","Nikolai Airport",63.0186,-154.358,441,"NA","US","US-AK","Nikolai","https://airportcod.es/#airport/NIB"
"FMC","small_airport","Five Mile Airport",65.927,-149.84,510,"NA","US","US-AK","Five Mile","https://airportcod.es/#airport/FMC"
"FWL","small_airport","Farewell Airport",62.50933,-153.8923,1535,"NA","US","US-AK","Farewell","https://airportcod.es/#airport/FWL"
"GAL","medium_airport","Edward G. Pitka Sr Airport",64.7362,-156.937,153,"NA","US","US-AK","Galena","https://airportcod.es/#airport/GAL"
"GBH","small_airport","Galbraith Lake Airport",68.4797,-149.49,2663,"NA","US","US-AK","Galbraith Lake","https://airportcod.es/#airport/GBH"
"KWK","small_airport","Kwigillingok Airport",59.8765,-163.169,18,"NA","US","US-AK","Kwigillingok","https://airportcod.es/#airport/KWK"
"SHG","small_airport","Shungnak Airport",66.8881,-157.162,197,"NA","US","US-AK","Shungnak","https://airportcod.es/#airport/SHG"
"GKN","medium_airport","Gulkana Airport",62.1549,-145.457,1586,"NA","US","US-AK","Gulkana","https://airportcod.es/#airport/GKN"
"GLV","small_airport","Golovin Airport",64.5505,-163.007,59,"NA","US","US-AK","Golovin","https://airportcod.es/#airport/GLV"
"GAM","medium_airport","Gambell Airport",63.7668,-171.733,27,"NA","US","US-AK","Gambell","https://airportcod.es/#airport/GAM"
"AGN","seaplane_base","Angoon Seaplane Base",57.5036,-134.585,0,"NA","US","US-AK","Angoon","https://airportcod.es/#airport/AGN"
"BGQ","small_airport","Big Lake Airport",61.5361,-149.814,158,"NA","US","US-AK","Big Lake","https://airportcod.es/#airport/BGQ"
"GST","medium_airport","Gustavus Airport",58.4253,-135.707,35,"NA","US","US-AK","Gustavus","https://airportcod.es/#airport/GST"
"NME","small_airport","Nightmute Airport",60.471,-164.701,4,"NA","US","US-AK","Nightmute","https://airportcod.es/#airport/NME"
"SGY","small_airport","Skagway Airport",59.4601,-135.316,44,"NA","US","US-AK","Skagway","https://airportcod.es/#airport/SGY"
"HCR","medium_airport","Holy Cross Airport",62.1883,-159.775,70,"NA","US","US-AK","Holy Cross","https://airportcod.es/#airport/HCR"
"HSL","medium_airport","Huslia Airport",65.6979,-156.351,220,"NA","US","US-AK","Huslia","https://airportcod.es/#airport/HSL"
"HNS","medium_airport","Haines Airport",59.2438,-135.524,15,"NA","US","US-AK","Haines","https://airportcod.es/#airport/HNS"
"HOM","medium_airport","Homer Airport",59.6456,-151.477,84,"NA","US","US-AK","Homer","https://airportcod.es/#airport/HOM"
"HPB","medium_airport","Hooper Bay Airport",61.5239,-166.147,13,"NA","US","US-AK","Hooper Bay","https://airportcod.es/#airport/HPB"
"HUS","small_airport","Hughes Airport",66.0411,-154.263,299,"NA","US","US-AK","Hughes","https://airportcod.es/#airport/HUS"
"SHX","small_airport","Shageluk Airport",62.6923,-159.569,79,"NA","US","US-AK","Shageluk","https://airportcod.es/#airport/SHX"
"HYG","seaplane_base","Hydaburg Seaplane Base",55.2063,-132.828,0,"NA","US","US-AK","Hydaburg","https://airportcod.es/#airport/HYG"
"IGG","small_airport","Igiugig Airport",59.324,-155.902,90,"NA","US","US-AK","Igiugig","https://airportcod.es/#airport/IGG"
"EGX","medium_airport","Egegik Airport",58.1855,-157.375,92,"NA","US","US-AK","Egegik","https://airportcod.es/#airport/EGX"
"IAN","medium_airport","Bob Baker Memorial Airport",66.976,-160.437,166,"NA","US","US-AK","Kiana","https://airportcod.es/#airport/IAN"
"ILI","medium_airport","Iliamna Airport",59.7544,-154.911,192,"NA","US","US-AK","Iliamna","https://airportcod.es/#airport/ILI"
"UTO","medium_airport","Indian Mountain LRRS Airport",65.9928,-153.704,1273,"NA","US","US-AK","Utopia Creek","https://airportcod.es/#airport/UTO"
"MCL","small_airport","McKinley National Park Airport",63.7326,-148.911,1720,"NA","US","US-AK","McKinley Park","https://airportcod.es/#airport/MCL"
"WAA","small_airport","Wales Airport",65.6226,-168.095,22,"NA","US","US-AK","Wales","https://airportcod.es/#airport/WAA"
"JNU","medium_airport","Juneau International Airport",58.355,-134.576,21,"NA","US","US-AK","Juneau","https://airportcod.es/#airport/JNU"
"KGK","small_airport","Koliganek Airport",59.7266,-157.259,269,"NA","US","US-AK","Koliganek","https://airportcod.es/#airport/KGK"
"KDK","small_airport","Kodiak Municipal Airport",57.8059,-152.374,139,"NA","US","US-AK","Kodiak","https://airportcod.es/#airport/KDK"
"KFP","small_airport","False Pass Airport",54.8474,-163.41,20,"NA","US","US-AK","False Pass","https://airportcod.es/#airport/KFP"
"AKK","small_airport","Akhiok Airport",56.9387,-154.183,44,"NA","US","US-AK","Akhiok","https://airportcod.es/#airport/AKK"
"KPN","small_airport","Kipnuk Airport",59.933,-164.031,11,"NA","US","US-AK","Kipnuk","https://airportcod.es/#airport/KPN"
"KKA","small_airport","Koyuk Alfred Adams Airport",64.9395,-161.154,154,"NA","US","US-AK","Koyuk","https://airportcod.es/#airport/KKA"
"LKK","small_airport","Kulik Lake Airport",58.9821,-155.121,717,"NA","US","US-AK","Kulik Lake","https://airportcod.es/#airport/LKK"
"AKN","medium_airport","King Salmon Airport",58.6768,-156.649,73,"NA","US","US-AK","King Salmon","https://airportcod.es/#airport/AKN"
"IKO","small_airport","Nikolski Air Station",52.9416,-168.849,77,"NA","US","US-AK","Nikolski","https://airportcod.es/#airport/IKO"
"AKP","medium_airport","Anaktuvuk Pass Airport",68.1336,-151.743,2102,"NA","US","US-AK","Anaktuvuk Pass","https://airportcod.es/#airport/AKP"
"KTN","medium_airport","Ketchikan International Airport",55.3556,-131.714,89,"NA","US","US-AK","Ketchikan","https://airportcod.es/#airport/KTN"
"UUK","small_airport","Ugnu-Kuparuk Airport",70.3308,-149.598,67,"NA","US","US-AK","Kuparuk","https://airportcod.es/#airport/UUK"
"KAL","small_airport","Kaltag Airport",64.3191,-158.741,181,"NA","US","US-AK","Kaltag","https://airportcod.es/#airport/KAL"
"KLW","medium_airport","Klawock Airport",55.5792,-133.076,80,"NA","US","US-AK","Klawock","https://airportcod.es/#airport/KLW"
"KYK","small_airport","Karluk Airport",57.5671,-154.45,137,"NA","US","US-AK","Karluk","https://airportcod.es/#airport/KYK"
