DATEKEY,YEAR,UNIQUE_CARRIER,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2019-12-31 00:00:00.000,2019,"KD",7,206,0,0,124,0,12,13,0,55,13,12,0,35,0,477
2019-12-31 00:00:00.000,2019,"KLQ",4,58,2,2,23,12,0,0,0,0,4,8,0,2,0,115
2019-12-31 00:00:00.000,2019,"KLQ",1,14,0,0,5,3,0,0,0,0,1,2,0,1,0,27
2019-12-31 00:00:00.000,2019,"L2",4,50,26,0,35,20,0,0,0,0,0,31,0,1,0,167
2019-12-31 00:00:00.000,2019,"L2",1,14,9,0,12,7,0,0,0,0,0,11,0,0,0,54
2019-12-31 00:00:00.000,2019,"OH",7,1591,50,1095,398,0,97,51,0,0,148,154,0,495,0,4086
2019-12-31 00:00:00.000,2019,"PFQ",8,20,0,0,19,4,0,0,0,0,1,5,0,0,0,57
2019-12-31 00:00:00.000,2019,"PO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 00:00:00.000,2019,"PO",16,0,0,2,1,0,0,19,0,22,0,4,23,1,0,88
2019-12-31 00:00:00.000,2019,"PO",2,0,0,1,3,0,0,0,0,37,0,0,73,0,0,116
2019-12-31 00:00:00.000,2019,"WI",21,79,30,0,59,92,0,0,0,0,0,13,3,113,0,410
2019-12-31 00:00:00.000,2019,"WL",7,11,0,18,11,8,0,0,0,0,0,10,0,2,0,67
2019-12-31 00:00:00.000,2019,"WL",10,15,0,27,15,12,0,0,0,0,0,15,1,2,0,97
2019-12-31 00:00:00.000,2019,"XP",9,21,1,26,12,11,0,0,0,0,1,0,0,5,0,86
2019-12-31 00:00:00.000,2019,"YV",95,1283,0,1236,323,0,59,46,0,0,20,95,0,88,0,3245
2019-12-31 00:00:00.000,2019,"YV",7,101,0,98,25,0,5,4,0,0,2,7,0,7,0,256
2020-12-31 00:00:00.000,2020,"0WQ",4,53,6,19,29,21,0,0,0,3,1,18,0,7,0,161
2020-12-31 00:00:00.000,2020,"1BQ",14,50,0,41,18,21,0,0,0,0,1,13,0,3,0,161
2020-12-31 00:00:00.000,2020,"2HQ",9,32,0,24,32,19,0,0,0,0,0,7,0,0,0,123
2020-12-31 00:00:00.000,2020,"3EQ",0,29,0,32,2,6,0,0,0,0,0,0,0,0,0,69
2020-12-31 00:00:00.000,2020,"5V",14,54,11,0,104,90,0,0,0,0,4,45,5,20,0,347
2020-12-31 00:00:00.000,2020,"5X",0,356,0,0,262,0,15,17,0,0,20,77,2,12,0,761
2020-12-31 00:00:00.000,2020,"5X",0,1882,0,0,1383,0,77,90,0,0,108,405,10,64,0,4019
2020-12-31 00:00:00.000,2020,"5X",0,143,0,0,105,0,6,7,0,0,8,31,1,5,0,306
2020-12-31 00:00:00.000,2020,"5X",0,455,0,0,334,0,19,22,0,0,26,98,2,16,0,972
2020-12-31 00:00:00.000,2020,"5Y",341,1611,141,263,222,0,0,40,0,297,34,52,38,22,0,3061
2020-12-31 00:00:00.000,2020,"5Y",13,62,5,10,9,0,0,2,0,11,1,2,1,1,0,117
2020-12-31 00:00:00.000,2020,"8C",3,38,0,4,27,0,0,1,0,0,0,2,0,5,0,80
2020-12-31 00:00:00.000,2020,"8C",48,316,0,33,156,0,0,23,0,11,6,30,2,68,0,693
2020-12-31 00:00:00.000,2020,"9E",4,1748,46,1361,988,0,0,79,0,0,182,110,0,80,0,4598
2020-12-31 00:00:00.000,2020,"9S",1,363,0,3,36,0,0,13,0,0,0,1,0,1,0,418
2020-12-31 00:00:00.000,2020,"CP",0,532,0,424,136,0,4,72,0,0,66,6,0,189,0,1429
2020-12-31 00:00:00.000,2020,"CP",0,4,0,3,1,0,0,0,0,0,0,0,0,1,0,9
2020-12-31 00:00:00.000,2020,"EV",0,1204,0,1072,517,0,0,13,0,0,0,0,0,0,0,2806
2020-12-31 00:00:00.000,2020,"EV",0,37,0,64,16,0,0,0,0,0,0,0,0,0,0,117
2020-12-31 00:00:00.000,2020,"G7",0,419,0,289,56,0,0,56,0,0,82,0,0,75,0,977
2020-12-31 00:00:00.000,2020,"GFQ",2,25,4,0,4,6,0,0,0,0,0,5,0,0,0,46
2020-12-31 00:00:00.000,2020,"GFQ",2,38,6,0,7,9,0,0,0,0,0,7,0,0,0,69
2020-12-31 00:00:00.000,2020,"GL",8,31,0,66,28,0,11,7,0,0,2,24,5,0,0,182
2020-12-31 00:00:00.000,2020,"GL",8,28,0,58,24,0,10,7,0,0,2,22,5,0,0,164
2020-12-31 00:00:00.000,2020,"KAQ",3,191,2,0,235,0,37,40,0,24,40,33,0,1,0,606
2020-12-31 00:00:00.000,2020,"KAQ",8,447,5,0,550,0,87,92,0,55,94,76,0,65,0,1479
2020-12-31 00:00:00.000,2020,"KD",10,179,0,0,146,0,8,25,0,46,12,12,1,2,0,441
2020-12-31 00:00:00.000,2020,"KH",16,34,3,0,141,0,0,0,0,161,6,21,4,22,0,408
2020-12-31 00:00:00.000,2020,"KLQ",4,62,2,3,26,0,14,0,0,0,7,9,0,2,0,129
2020-12-31 00:00:00.000,2020,"KLQ",1,11,0,0,4,0,3,0,0,0,1,2,0,1,0,23
2020-12-31 00:00:00.000,2020,"L2",5,44,24,0,37,22,0,0,0,0,0,42,0,0,0,174
2020-12-31 00:00:00.000,2020,"L2",0,20,11,0,17,10,0,0,0,0,0,0,0,0,0,58
2020-12-31 00:00:00.000,2020,"OH",8,1729,1,1345,471,0,103,58,0,0,171,191,0,495,0,4572
2020-12-31 00:00:00.000,2020,"PFQ",8,25,0,0,22,3,0,0,0,0,1,4,0,0,0,63
2020-12-31 00:00:00.000,2020,"PO",19,0,0,2,1,0,0,19,0,16,0,4,36,1,0,98
2020-12-31 00:00:00.000,2020,"PO",3,0,0,1,3,0,0,0,0,42,0,0,81,0,0,130
2020-12-31 00:00:00.000,2020,"WI",13,66,18,0,28,0,82,14,0,68,0,2,0,67,0,358
2020-12-31 00:00:00.000,2020,"XP",10,3,4,0,2,2,0,0,0,0,0,0,0,0,0,21
2020-12-31 00:00:00.000,2020,"YV",93,1312,0,1205,34,0,55,57,0,0,4,93,0,109,0,2962
2020-12-31 00:00:00.000,2020,"YV",8,110,0,101,3,0,5,5,0,0,0,8,0,9,0,249
2019-12-31 00:00:00.000,2019,"AA",11,2147,0,3985,2302,0,0,66,2196,2648,70,2628,174,0,0,16227
2019-12-31 00:00:00.000,2019,"AA",42,8367,0,15529,8970,0,0,256,8557,10320,271,10243,679,0,0,63234
2019-12-31 00:00:00.000,2019,"AA",10,2039,0,3785,2186,0,0,63,2085,2515,66,2496,165,0,0,15410
2019-12-31 00:00:00.000,2019,"AA",5,1068,0,1982,1145,0,0,33,1092,1317,35,1307,87,0,0,8071
2019-12-31 00:00:00.000,2019,"AS",21,2712,98,5495,887,0,2910,233,1059,475,130,409,259,1861,0,16549
2019-12-31 00:00:00.000,2019,"AS",1,159,6,322,52,0,171,14,62,28,8,24,15,109,0,971
2019-12-31 00:00:00.000,2019,"B6",36,2688,21,3603,712,0,103,241,4907,58,291,211,160,1171,0,14202
2019-12-31 00:00:00.000,2019,"B6",9,671,5,900,178,0,44,60,1226,0,0,53,40,293,0,3479
2019-12-31 00:00:00.000,2019,"DL",64,1902,0,3088,1378,0,644,115,3074,222,108,128,233,1753,0,12709
2019-12-31 00:00:00.000,2019,"DL",314,9275,0,15058,6722,0,3142,559,14989,1083,525,626,1137,8549,0,61979
2019-12-31 00:00:00.000,2019,"DL",41,1203,0,1952,872,0,407,73,1943,140,68,81,147,1109,0,8036
2019-12-31 00:00:00.000,2019,"DL",28,826,0,1341,598,0,280,50,1335,96,47,56,101,761,0,5519
2019-12-31 00:00:00.000,2019,"EV",0,1106,0,2068,823,0,0,16,75,0,0,0,0,0,0,4088
2019-12-31 00:00:00.000,2019,"F9",24,1293,0,160,205,0,77,16,2101,0,21,233,0,8,0,4138
2019-12-31 00:00:00.000,2019,"F9",1,30,0,4,5,0,2,0,49,0,0,5,0,0,0,96
2019-12-31 00:00:00.000,2019,"G4",44,870,82,1370,409,0,270,95,195,0,76,118,34,341,0,3904
2019-12-31 00:00:00.000,2019,"HA",85,536,0,1415,391,0,308,127,904,705,22,248,105,65,0,4911
2019-12-31 00:00:00.000,2019,"HA",41,259,0,686,189,0,149,62,438,343,10,120,51,32,0,2380
2019-12-31 00:00:00.000,2019,"MQ",1012,2017,0,1406,1530,0,3549,0,4405,0,294,0,0,250,0,14463
2019-12-31 00:00:00.000,2019,"MQ",22,43,0,30,33,0,76,0,94,0,6,0,0,5,0,309
2019-12-31 00:00:00.000,2019,"NK",1187,2087,0,3358,395,0,0,56,250,0,22,17,0,276,0,7648
2019-12-31 00:00:00.000,2019,"NK",114,200,0,322,38,0,0,5,24,0,2,2,0,26,0,733
2019-12-31 00:00:00.000,2019,"OO",6,4648,0,3796,2075,0,189,192,1613,11,52,85,0,144,0,12811
2019-12-31 00:00:00.000,2019,"OO",0,58,0,47,26,0,1,2,20,0,1,1,0,2,0,158
2019-12-31 00:00:00.000,2019,"QX",16,854,20,628,275,0,53,66,1902,69,125,25,4,15,0,4052
2019-12-31 00:00:00.000,2019,"SY",73,270,0,472,150,0,94,16,18,24,0,36,127,44,0,1324
2019-12-31 00:00:00.000,2019,"SY",16,58,0,101,32,0,20,4,4,5,0,8,27,9,0,284
2019-12-31 00:00:00.000,2019,"UA",90,1592,0,3152,1110,0,1976,162,3296,73,85,357,115,148,0,12156
2019-12-31 00:00:00.000,2019,"UA",415,7342,0,14539,5121,0,9116,747,15202,338,395,1648,531,683,0,56077
2019-12-31 00:00:00.000,2019,"UA",68,1196,0,2369,834,0,1485,122,2477,55,64,268,87,111,0,9136
2019-12-31 00:00:00.000,2019,"UA",69,1214,0,2404,847,0,1507,123,2514,56,65,272,88,113,0,9272
2019-12-31 00:00:00.000,2019,"WN",1650,8697,0,14707,2416,0,1365,438,9622,10220,182,1118,13,4305,0,54733
2019-12-31 00:00:00.000,2019,"WN",46,243,0,411,68,0,38,12,269,286,5,31,0,120,0,1529
2019-12-31 00:00:00.000,2019,"X9",2,31,0,37,22,0,0,4,2,0,2,7,0,2,0,109
2019-12-31 00:00:00.000,2019,"X9",19,236,0,277,161,0,8,40,14,0,17,55,2,12,0,841
2019-12-31 00:00:00.000,2019,"YX",27,2382,18,1968,708,0,0,167,19,0,63,284,0,281,0,5917
2019-12-31 00:00:00.000,2019,"YX",1,50,1,40,14,0,0,3,1,0,1,6,0,5,0,122
2020-12-31 00:00:00.000,2020,"AA",11,2337,0,4218,2633,0,0,85,2337,2864,83,2843,184,0,0,17595
2020-12-31 00:00:00.000,2020,"AA",39,8586,0,15502,9677,0,0,312,8586,10523,305,10447,677,0,0,64654
2020-12-31 00:00:00.000,2020,"AA",9,1961,0,3539,2209,0,0,71,1961,2403,70,2385,155,0,0,14763
2020-12-31 00:00:00.000,2020,"AA",4,957,0,1727,1078,0,0,35,957,1173,34,1164,75,0,0,7204
2020-12-31 00:00:00.000,2020,"AS",21,2893,99,5737,898,0,2921,234,1062,477,131,410,260,1867,0,17010
2020-12-31 00:00:00.000,2020,"AS",1,155,5,306,48,0,156,13,57,25,7,22,14,100,0,909
2020-12-31 00:00:00.000,2020,"B6",39,2840,19,3888,726,0,107,257,4905,62,368,215,157,1214,0,14797
2020-12-31 00:00:00.000,2020,"B6",10,708,5,969,181,0,47,64,1222,0,0,53,39,302,0,3600
2020-12-31 00:00:00.000,2020,"DL",69,1872,0,3185,1233,0,658,114,3089,210,138,136,231,1927,0,12862
2020-12-31 00:00:00.000,2020,"DL",342,9293,0,15809,6122,0,3265,568,15331,1040,683,673,1147,9566,0,63839
2020-12-31 00:00:00.000,2020,"DL",41,1111,0,1891,732,0,391,68,1834,124,82,81,137,1144,0,7636
2020-12-31 00:00:00.000,2020,"DL",29,789,0,1343,520,0,277,48,1302,88,58,57,97,813,0,5421
2020-12-31 00:00:00.000,2020,"F9",25,1473,0,154,237,0,91,19,2496,0,42,258,0,9,0,4804
2020-12-31 00:00:00.000,2020,"F9",1,49,0,5,8,0,3,1,83,0,1,9,0,0,0,160
2020-12-31 00:00:00.000,2020,"G4",46,953,89,1626,420,0,287,95,200,0,61,104,48,211,0,4140
2020-12-31 00:00:00.000,2020,"HA",89,586,0,1466,419,0,298,132,893,684,23,316,102,76,0,5084
2020-12-31 00:00:00.000,2020,"HA",42,273,0,685,196,0,139,62,417,319,11,147,48,35,0,2374
2020-12-31 00:00:00.000,2020,"MQ",1149,2109,0,1510,1565,0,3808,0,4923,0,230,0,0,265,0,15559
2020-12-31 00:00:00.000,2020,"MQ",27,49,0,35,36,0,88,0,114,0,5,0,0,6,0,360
2020-12-31 00:00:00.000,2020,"NK",1239,2126,0,3592,395,0,0,66,264,0,27,19,0,314,0,8042
2020-12-31 00:00:00.000,2020,"NK",149,255,0,430,47,0,0,8,32,0,3,2,0,38,0,964
2020-12-31 00:00:00.000,2020,"OO",6,5175,0,4076,2145,0,183,176,1407,10,57,85,0,212,0,13532
2020-12-31 00:00:00.000,2020,"OO",0,64,0,50,27,0,2,2,18,0,1,1,0,3,0,168
2020-12-31 00:00:00.000,2020,"QX",18,824,22,685,261,0,58,73,2097,76,138,28,4,17,0,4301
2020-12-31 00:00:00.000,2020,"SY",76,303,0,534,149,0,31,17,10,2,0,42,130,38,0,1332
2020-12-31 00:00:00.000,2020,"SY",12,50,0,88,24,0,5,3,2,0,0,7,21,6,0,218
2020-12-31 00:00:00.000,2020,"UA",88,1610,0,3212,1052,0,1911,142,3560,71,92,392,110,149,0,12389
2020-12-31 00:00:00.000,2020,"UA",418,7637,0,15237,4991,0,9066,677,16888,338,438,1859,523,707,0,58779
2020-12-31 00:00:00.000,2020,"UA",67,1214,0,2421,793,0,1441,107,2684,54,70,295,83,112,0,9341
2020-12-31 00:00:00.000,2020,"UA",68,1248,0,2491,816,0,1482,110,2761,55,72,304,85,115,0,9607
2020-12-31 00:00:00.000,2020,"WN",1698,8989,0,15475,2482,0,1362,449,9668,10674,183,934,9,4847,0,56770
2020-12-31 00:00:00.000,2020,"WN",45,236,0,407,65,0,36,12,254,281,5,25,0,127,0,1493
2020-12-31 00:00:00.000,2020,"X9",2,31,0,33,20,0,0,4,2,0,2,7,1,1,0,103
2020-12-31 00:00:00.000,2020,"X9",18,278,0,307,173,0,8,49,15,0,18,58,4,13,0,941
2020-12-31 00:00:00.000,2020,"YX",37,2444,19,2273,787,0,0,183,23,0,67,267,0,260,0,6360
2019-12-31 00:00:00.000,2019,"27Q",0,339,0,65,100,14,0,0,0,0,0,0,0,0,215,733
2019-12-31 00:00:00.000,2019,"ABX",4,29,0,0,18,0,1,0,0,0,2,1,0,2,1,58
2019-12-31 00:00:00.000,2019,"ABX",28,218,0,0,135,0,6,0,0,0,13,5,2,13,8,428
2019-12-31 00:00:00.000,2019,"FX",2651,576,39,0,719,0,912,1006,0,484,95,50,182,9708,38951,55373
2019-12-31 00:00:00.000,2019,"FX",765,2811,144,0,1219,0,288,54,0,12817,49,8,2,3665,73304,95126
2019-12-31 00:00:00.000,2019,"FX",1180,100,6,0,270,0,307,73,0,7686,46,24,81,4332,12901,27006
2019-12-31 00:00:00.000,2019,"FX",2522,905,50,0,823,0,1195,472,0,31,92,46,160,9900,16872,33068
2019-12-31 00:00:00.000,2019,"KH",15,32,3,0,107,200,0,0,0,0,7,20,10,14,1,409
2019-12-31 00:00:00.000,2019,"M6",2,20,0,0,24,0,14,7,0,61,0,16,13,5,1,163
2019-12-31 00:00:00.000,2019,"M6",8,67,0,0,80,0,44,23,0,200,0,52,42,15,4,535
2019-12-31 00:00:00.000,2019,"U7",3,63,0,0,47,0,0,0,0,14,6,3,0,123,188,447
2020-12-31 00:00:00.000,2020,"ABX",3,19,0,0,12,0,2,0,0,0,2,0,0,1,1,40
2020-12-31 00:00:00.000,2020,"ABX",28,214,0,0,133,0,17,0,0,0,21,6,2,13,8,442
2020-12-31 00:00:00.000,2020,"FX",2783,670,48,0,814,0,944,995,0,428,99,53,146,10488,39618,57086
2020-12-31 00:00:00.000,2020,"FX",715,2870,146,0,1183,0,290,57,0,13260,48,8,1,3589,75450,97617
2020-12-31 00:00:00.000,2020,"FX",1057,90,6,0,204,0,325,88,0,8355,45,24,54,3714,12938,26900
2020-12-31 00:00:00.000,2020,"FX",2594,916,42,0,885,0,1125,438,0,25,93,48,123,10436,16669,33394
2020-12-31 00:00:00.000,2020,"M6",4,36,0,0,43,0,23,10,0,102,0,31,19,7,2,277
2020-12-31 00:00:00.000,2020,"M6",6,53,0,0,64,0,33,15,0,151,0,46,29,11,3,411
2020-12-31 00:00:00.000,2020,"U7",4,62,0,0,48,0,0,0,0,14,7,3,0,123,119,380
