Class Lecture,Section,Asset,variable,value
SB-13,B,R5C4,Date,2019-12-11 00:00:00.000
SC-13,C,R4C2,Date,2019-12-11 00:00:00.000
SC-14,C,R3C3,Date,2019-12-18 00:00:00.000
SC-1,C,R4C13,Date,2019-09-04 00:00:00.000
SB-4,B,R5C1,Date,2019-09-25 00:00:00.000
SA-10,A,R2C8,Date,2019-11-14 00:00:00.000
SB-13,B,R4C14,Date,2019-12-11 00:00:00.000
SC-3,C,R2C14,Date,2019-09-18 00:00:00.000
SB-9,B,R3C4,Date,2019-11-13 00:00:00.000
SC-9,C,R5C7,Date,2019-11-13 00:00:00.000
SC-5,C,R1C10,Date,2019-10-02 00:00:00.000
SB-3,B,R4C5,Date,2019-09-18 00:00:00.000
SA-13,A,R3C1,Date,2019-12-04 00:00:00.000
SB-9,B,R4C7,Date,2019-11-13 00:00:00.000
SB-4,B,R5C4,Date,2019-09-25 00:00:00.000
SB-9,B,R5C8,Date,2019-11-13 00:00:00.000
SB-16,B,R4C13,Date,2020-01-01 00:00:00.000
SA-3,A,R4C9,Date,2019-09-19 00:00:00.000
SC-12,C,R2C10,Date,2019-12-04 00:00:00.000
SA-1,A,R3C13,Date,2019-09-05 00:00:00.000
SC-11,C,R4C8,Class Time,1899-12-30 08:30:00.000
SC-9,C,R1C9,Class Time,1899-12-30 08:30:00.000
SB-12,B,R2C11,Class Time,1899-12-30 11:45:00.000
SB-14,B,R2C10,Class Time,1899-12-30 11:45:00.000
SC-13,C,R5C6,Class Time,1899-12-30 08:30:00.000
SA-3,A,R2C1,Class Time,1899-12-30 11:45:00.000
SB-13,B,R3C12,Class Time,1899-12-30 11:45:00.000
SC-8,C,R1C1,Class Time,1899-12-30 08:30:00.000
SA-14,A,R3C15,Class Time,1899-12-30 11:45:00.000
SC-2,C,R4C11,Class Time,1899-12-30 08:30:00.000
SB-1,B,R1C8,Class Time,1899-12-30 11:45:00.000
SC-3,C,R3C13,Class Time,1899-12-30 08:30:00.000
SC-6,C,R4C9,Class Time,1899-12-30 08:30:00.000
SB-12,B,R5C4,Class Time,1899-12-30 11:45:00.000
SC-12,C,R1C2,Class Time,1899-12-30 08:30:00.000
SB-9,B,R5C3,Class Time,1899-12-30 11:45:00.000
SB-7,B,R4C7,Class Time,1899-12-30 11:45:00.000
SB-10,B,R4C1,Class Time,1899-12-30 11:45:00.000
SB-10,B,R2C10,Class Time,1899-12-30 11:45:00.000
SB-14,B,R2C9,Class Time,1899-12-30 11:45:00.000
SA-7,A,R5C5,Class Time,1899-12-30 11:45:00.000
SB-5,B,R3C9,Class Time,1899-12-30 11:45:00.000
SA-14,A,R4C13,Class Time,1899-12-30 11:45:00.000
SB-15,B,R3C8,Class Time,1899-12-30 11:45:00.000
SA-13,A,R5C4,Class Time,1899-12-30 11:45:00.000
SC-9,C,R1C5,Class Time,1899-12-30 08:30:00.000
SB-10,B,R1C5,Class Time,1899-12-30 11:45:00.000
SA-16,A,R2C9,Class Time,1899-12-30 11:45:00.000
SC-12,C,R1C12,Class Time,1899-12-30 08:30:00.000
SB-16,B,R3C6,Class Time,1899-12-30 11:45:00.000
SB-4,B,R2C15,Class Time,1899-12-30 11:45:00.000
SC-2,C,R1C9,Class Time,1899-12-30 08:30:00.000
SC-13,C,R4C10,Class Time,1899-12-30 08:30:00.000
SC-15,C,R4C5,Class Time,1899-12-30 08:30:00.000
SA-13,A,R2C4,Class Time,1899-12-30 11:45:00.000
SC-6,C,R4C5,Class Time,1899-12-30 08:30:00.000
SB-16,B,R2C8,Class Time,1899-12-30 11:45:00.000
SA-8,A,R3C13,Class Time,1899-12-30 11:45:00.000
SB-10,B,R3C15,Class Time,1899-12-30 11:45:00.000
SA-3,A,R2C10,Class Time,1899-12-30 11:45:00.000
SC-15,C,R3C9,Class Time,1899-12-30 08:30:00.000
SC-3,C,R4C4,Class Time,1899-12-30 08:30:00.000
SC-13,C,R1C2,Class Time,1899-12-30 08:30:00.000
SB-10,B,R5C3,Class Time,1899-12-30 11:45:00.000
SA-15,A,R2C10,Class Time,1899-12-30 11:45:00.000
SA-5,A,R2C11,Class Time,1899-12-30 11:45:00.000
SB-11,B,R3C1,Class Time,1899-12-30 11:45:00.000
SA-2,A,R2C11,Class Time,1899-12-30 11:45:00.000
SB-3,B,R4C6,Class Time,1899-12-30 11:45:00.000
SC-11,C,R3C1,Class Time,1899-12-30 08:30:00.000
SB-11,B,R2C10,Class Time,1899-12-30 11:45:00.000
SA-5,A,R2C7,Class Time,1899-12-30 11:45:00.000
SC-4,C,R2C6,Class Time,1899-12-30 08:30:00.000
SC-6,C,R2C9,Class Time,1899-12-30 08:30:00.000
SC-6,C,R5C2,Class Time,1899-12-30 08:30:00.000
SA-2,A,R3C3,Class Time,1899-12-30 11:45:00.000
SB-14,B,R1C1,Class Time,1899-12-30 11:45:00.000
SA-3,A,R2C13,Class Time,1899-12-30 11:45:00.000
SB-16,B,R1C15,Class Time,1899-12-30 11:45:00.000
SA-10,A,R1C12,Class Time,1899-12-30 11:45:00.000
SA-5,A,R3C5,Class Time,1899-12-30 11:45:00.000
SA-9,A,R4C3,Class Time,1899-12-30 11:45:00.000
SA-13,A,R1C10,Class Time,1899-12-30 11:45:00.000
SA-7,C,R4C11,Class Time,1899-12-30 08:30:00.000
SC-12,C,R5C6,Class Time,1899-12-30 08:30:00.000
SB-13,B,R3C9,Class Time,1899-12-30 11:45:00.000
SC-14,C,R4C5,Class Time,1899-12-30 08:30:00.000
SC-15,C,R1C4,Class Time,1899-12-30 08:30:00.000
SC-3,C,R4C5,Class Time,1899-12-30 08:30:00.000
SB-1,B,R1C6,Class Time,1899-12-30 11:45:00.000
SA-5,A,R1C12,Class Time,1899-12-30 11:45:00.000
SC-4,C,R5C9,Class Time,1899-12-30 08:30:00.000
SB-5,B,R2C3,Class Time,1899-12-30 11:45:00.000
SA-11,A,R4C8,Class Time,1899-12-30 11:45:00.000
SB-8,B,R4C9,Class Time,1899-12-30 11:45:00.000
SC-1,C,R3C3,Class Time,1899-12-30 08:30:00.000
SA-7,A,R3C9,Class Time,1899-12-30 11:45:00.000
SC-8,C,R4C14,Class Time,1899-12-30 08:30:00.000
SB-15,B,R2C3,Class Time,1899-12-30 11:45:00.000
SB-10,B,R1C15,Class Time,1899-12-30 11:45:00.000
SB-13,B,R5C4,Class Time,1899-12-30 11:45:00.000
SC-13,C,R4C2,Class Time,1899-12-30 08:30:00.000
SC-14,C,R3C3,Class Time,1899-12-30 08:30:00.000
SC-1,C,R4C13,Class Time,1899-12-30 08:30:00.000
SB-4,B,R5C1,Class Time,1899-12-30 11:45:00.000
SA-10,A,R2C8,Class Time,1899-12-30 11:45:00.000
SB-13,B,R4C14,Class Time,1899-12-30 11:45:00.000
SC-3,C,R2C14,Class Time,1899-12-30 08:30:00.000
SB-9,B,R3C4,Class Time,1899-12-30 11:45:00.000
SC-9,C,R5C7,Class Time,1899-12-30 08:30:00.000
SC-5,C,R1C10,Class Time,1899-12-30 08:30:00.000
SB-3,B,R4C5,Class Time,1899-12-30 11:45:00.000
SA-13,A,R3C1,Class Time,1899-12-30 11:45:00.000
SB-9,B,R4C7,Class Time,1899-12-30 11:45:00.000
SB-4,B,R5C4,Class Time,1899-12-30 11:45:00.000
SB-9,B,R5C8,Class Time,1899-12-30 11:45:00.000
SB-16,B,R4C13,Class Time,1899-12-30 11:45:00.000
SA-3,A,R4C9,Class Time,1899-12-30 11:45:00.000
SC-12,C,R2C10,Class Time,1899-12-30 08:30:00.000
SA-1,A,R3C13,Class Time,1899-12-30 11:45:00.000
SC-11,C,R4C8,Status,0
SC-9,C,R1C9,Status,0
SB-12,B,R2C11,Status,0
SB-14,B,R2C10,Status,0
SC-13,C,R5C6,Status,0
SA-3,A,R2C1,Status,1
SB-13,B,R3C12,Status,0
SC-8,C,R1C1,Status,1
SA-14,A,R3C15,Status,0
SC-2,C,R4C11,Status,0
SB-1,B,R1C8,Status,1
SC-3,C,R3C13,Status,0
SC-6,C,R4C9,Status,0
SB-12,B,R5C4,Status,0
SC-12,C,R1C2,Status,0
SB-9,B,R5C3,Status,0
SB-7,B,R4C7,Status,1
SB-10,B,R4C1,Status,1
SB-10,B,R2C10,Status,1
SB-14,B,R2C9,Status,0
SA-7,A,R5C5,Status,0
SB-5,B,R3C9,Status,1
SA-14,A,R4C13,Status,0
SB-15,B,R3C8,Status,0
SA-13,A,R5C4,Status,0
SC-9,C,R1C5,Status,0
SB-10,B,R1C5,Status,1
SA-16,A,R2C9,Status,0
SC-12,C,R1C12,Status,0
SB-16,B,R3C6,Status,0
SB-4,B,R2C15,Status,0
SC-2,C,R1C9,Status,0
SC-13,C,R4C10,Status,0
SC-15,C,R4C5,Status,0
SA-13,A,R2C4,Status,0
SC-6,C,R4C5,Status,1
SB-16,B,R2C8,Status,0
SA-8,A,R3C13,Status,1
SB-10,B,R3C15,Status,0
SA-3,A,R2C10,Status,1
SC-15,C,R3C9,Status,0
SC-3,C,R4C4,Status,1
SC-13,C,R1C2,Status,0
SB-10,B,R5C3,Status,0
SA-15,A,R2C10,Status,0
SA-5,A,R2C11,Status,0
SB-11,B,R3C1,Status,0
SA-2,A,R2C11,Status,0
SB-3,B,R4C6,Status,1
SC-11,C,R3C1,Status,0
SB-11,B,R2C10,Status,0
SA-5,A,R2C7,Status,1
SC-4,C,R2C6,Status,1
SC-6,C,R2C9,Status,1
SC-6,C,R5C2,Status,0
SA-2,A,R3C3,Status,1
SB-14,B,R1C1,Status,0
SA-3,A,R2C13,Status,0
SB-16,B,R1C15,Status,0
SA-10,A,R1C12,Status,0
SA-5,A,R3C5,Status,1
SA-9,A,R4C3,Status,1
SA-13,A,R1C10,Status,0
SA-7,C,R4C11,Status,0
SC-12,C,R5C6,Status,0
SB-13,B,R3C9,Status,0
SC-14,C,R4C5,Status,0
SC-15,C,R1C4,Status,0
SC-3,C,R4C5,Status,1
SB-1,B,R1C6,Status,1
SA-5,A,R1C12,Status,0
SC-4,C,R5C9,Status,0
SB-5,B,R2C3,Status,1
SA-11,A,R4C8,Status,1
SB-8,B,R4C9,Status,1
SC-1,C,R3C3,Status,1
SA-7,A,R3C9,Status,1
SC-8,C,R4C14,Status,0
SB-15,B,R2C3,Status,0
SB-10,B,R1C15,Status,0
SB-13,B,R5C4,Status,0
SC-13,C,R4C2,Status,0
SC-14,C,R3C3,Status,0
SC-1,C,R4C13,Status,0
SB-4,B,R5C1,Status,0
SA-10,A,R2C8,Status,1
SB-13,B,R4C14,Status,0
SC-3,C,R2C14,Status,0
SB-9,B,R3C4,Status,1
SC-9,C,R5C7,Status,0
SC-5,C,R1C10,Status,1
SB-3,B,R4C5,Status,1
SA-13,A,R3C1,Status,0
SB-9,B,R4C7,Status,0
SB-4,B,R5C4,Status,0
SB-9,B,R5C8,Status,0
SB-16,B,R4C13,Status,0
SA-3,A,R4C9,Status,0
SC-12,C,R2C10,Status,0
SA-1,A,R3C13,Status,0
SC-11,C,R4C8,Statusid,free
SC-9,C,R1C9,Statusid,free
SB-12,B,R2C11,Statusid,free
SB-14,B,R2C10,Statusid,free
SC-13,C,R5C6,Statusid,free
SA-3,A,R2C1,Statusid,occupied
SB-13,B,R3C12,Statusid,free
SC-8,C,R1C1,Statusid,occupied
SA-14,A,R3C15,Statusid,free
SC-2,C,R4C11,Statusid,free
SB-1,B,R1C8,Statusid,occupied
SC-3,C,R3C13,Statusid,free
SC-6,C,R4C9,Statusid,free
SB-12,B,R5C4,Statusid,free
SC-12,C,R1C2,Statusid,free
SB-9,B,R5C3,Statusid,free
SB-7,B,R4C7,Statusid,occupied
SB-10,B,R4C1,Statusid,occupied
SB-10,B,R2C10,Statusid,occupied
SB-14,B,R2C9,Statusid,free
SA-7,A,R5C5,Statusid,free
SB-5,B,R3C9,Statusid,occupied
SA-14,A,R4C13,Statusid,free
SB-15,B,R3C8,Statusid,free
SA-13,A,R5C4,Statusid,free
SC-9,C,R1C5,Statusid,free
SB-10,B,R1C5,Statusid,occupied
SA-16,A,R2C9,Statusid,free
SC-12,C,R1C12,Statusid,free
SB-16,B,R3C6,Statusid,free
SB-4,B,R2C15,Statusid,free
SC-2,C,R1C9,Statusid,free
SC-13,C,R4C10,Statusid,free
SC-15,C,R4C5,Statusid,free
SA-13,A,R2C4,Statusid,free
SC-6,C,R4C5,Statusid,occupied
SB-16,B,R2C8,Statusid,free
SA-8,A,R3C13,Statusid,occupied
SB-10,B,R3C15,Statusid,free
SA-3,A,R2C10,Statusid,occupied
SC-15,C,R3C9,Statusid,free
SC-3,C,R4C4,Statusid,occupied
SC-13,C,R1C2,Statusid,free
SB-10,B,R5C3,Statusid,free
SA-15,A,R2C10,Statusid,free
SA-5,A,R2C11,Statusid,free
SB-11,B,R3C1,Statusid,free
SA-2,A,R2C11,Statusid,free
SB-3,B,R4C6,Statusid,occupied
SC-11,C,R3C1,Statusid,free
SB-11,B,R2C10,Statusid,free
SA-5,A,R2C7,Statusid,occupied
SC-4,C,R2C6,Statusid,occupied
SC-6,C,R2C9,Statusid,occupied
SC-6,C,R5C2,Statusid,free
SA-2,A,R3C3,Statusid,occupied
SB-14,B,R1C1,Statusid,free
SA-3,A,R2C13,Statusid,free
SB-16,B,R1C15,Statusid,free
SA-10,A,R1C12,Statusid,free
SA-5,A,R3C5,Statusid,occupied
SA-9,A,R4C3,Statusid,occupied
SA-13,A,R1C10,Statusid,free
SA-7,C,R4C11,Statusid,free
SC-12,C,R5C6,Statusid,free
SB-13,B,R3C9,Statusid,free
SC-14,C,R4C5,Statusid,free
SC-15,C,R1C4,Statusid,free
SC-3,C,R4C5,Statusid,occupied
SB-1,B,R1C6,Statusid,occupied
SA-5,A,R1C12,Statusid,free
SC-4,C,R5C9,Statusid,free
SB-5,B,R2C3,Statusid,occupied
SA-11,A,R4C8,Statusid,occupied
SB-8,B,R4C9,Statusid,occupied
SC-1,C,R3C3,Statusid,occupied
SA-7,A,R3C9,Statusid,occupied
SC-8,C,R4C14,Statusid,free
SB-15,B,R2C3,Statusid,free
SB-10,B,R1C15,Statusid,free
SB-13,B,R5C4,Statusid,free
SC-13,C,R4C2,Statusid,free
SC-14,C,R3C3,Statusid,free
SC-1,C,R4C13,Statusid,free
SB-4,B,R5C1,Statusid,free
SA-10,A,R2C8,Statusid,occupied
SB-13,B,R4C14,Statusid,free
SC-3,C,R2C14,Statusid,free
SB-9,B,R3C4,Statusid,occupied
SC-9,C,R5C7,Statusid,free
SC-5,C,R1C10,Statusid,occupied
SB-3,B,R4C5,Statusid,occupied
SA-13,A,R3C1,Statusid,free
SB-9,B,R4C7,Statusid,free
SB-4,B,R5C4,Statusid,free
SB-9,B,R5C8,Statusid,free
SB-16,B,R4C13,Statusid,free
SA-3,A,R4C9,Statusid,free
SC-12,C,R2C10,Statusid,free
SA-1,A,R3C13,Statusid,free
SC-11,C,R4C8,Student Roll Number,16-ME-
SC-9,C,R1C9,Student Roll Number,16-ME-
SB-12,B,R2C11,Student Roll Number,16-ME-
SB-14,B,R2C10,Student Roll Number,16-ME-
SC-13,C,R5C6,Student Roll Number,16-ME-
SA-3,A,R2C1,Student Roll Number,16-ME-46
SB-13,B,R3C12,Student Roll Number,16-ME-
SC-8,C,R1C1,Student Roll Number,16-ME-12
SA-14,A,R3C15,Student Roll Number,16-ME-
SC-2,C,R4C11,Student Roll Number,16-ME-
SB-1,B,R1C8,Student Roll Number,16-ME-14
SC-3,C,R3C13,Student Roll Number,16-ME-
SC-6,C,R4C9,Student Roll Number,16-ME-
SB-12,B,R5C4,Student Roll Number,16-ME-
SC-12,C,R1C2,Student Roll Number,16-ME-
SB-9,B,R5C3,Student Roll Number,16-ME-
SB-7,B,R4C7,Student Roll Number,16-ME-41
SB-10,B,R4C1,Student Roll Number,16-ME-20
SB-10,B,R2C10,Student Roll Number,16-ME-35
SB-14,B,R2C9,Student Roll Number,16-ME-
SA-7,A,R5C5,Student Roll Number,16-ME-
SB-5,B,R3C9,Student Roll Number,16-ME-74
SA-14,A,R4C13,Student Roll Number,16-ME-
SB-15,B,R3C8,Student Roll Number,16-ME-
SA-13,A,R5C4,Student Roll Number,16-ME-
SC-9,C,R1C5,Student Roll Number,16-ME-
SB-10,B,R1C5,Student Roll Number,16-ME-62
SA-16,A,R2C9,Student Roll Number,16-ME-
SC-12,C,R1C12,Student Roll Number,16-ME-
SB-16,B,R3C6,Student Roll Number,16-ME-
SB-4,B,R2C15,Student Roll Number,16-ME-
SC-2,C,R1C9,Student Roll Number,16-ME-
SC-13,C,R4C10,Student Roll Number,16-ME-
SC-15,C,R4C5,Student Roll Number,16-ME-
SA-13,A,R2C4,Student Roll Number,16-ME-
SC-6,C,R4C5,Student Roll Number,16-ME-15
SB-16,B,R2C8,Student Roll Number,16-ME-
SA-8,A,R3C13,Student Roll Number,16-ME-28
SB-10,B,R3C15,Student Roll Number,16-ME-
SA-3,A,R2C10,Student Roll Number,16-ME-13
SC-15,C,R3C9,Student Roll Number,16-ME-
SC-3,C,R4C4,Student Roll Number,16-ME-72
SC-13,C,R1C2,Student Roll Number,16-ME-
SB-10,B,R5C3,Student Roll Number,16-ME-
SA-15,A,R2C10,Student Roll Number,16-ME-
SA-5,A,R2C11,Student Roll Number,16-ME-
SB-11,B,R3C1,Student Roll Number,16-ME-
SA-2,A,R2C11,Student Roll Number,16-ME-
SB-3,B,R4C6,Student Roll Number,16-ME-23
SC-11,C,R3C1,Student Roll Number,16-ME-
SB-11,B,R2C10,Student Roll Number,16-ME-
SA-5,A,R2C7,Student Roll Number,16-ME-49
SC-4,C,R2C6,Student Roll Number,16-ME-06
SC-6,C,R2C9,Student Roll Number,16-ME-66
SC-6,C,R5C2,Student Roll Number,16-ME-
SA-2,A,R3C3,Student Roll Number,16-ME-103
SB-14,B,R1C1,Student Roll Number,16-ME-
SA-3,A,R2C13,Student Roll Number,16-ME-
SB-16,B,R1C15,Student Roll Number,16-ME-
SA-10,A,R1C12,Student Roll Number,16-ME-
SA-5,A,R3C5,Student Roll Number,16-ME-67
SA-9,A,R4C3,Student Roll Number,16-ME-55
SA-13,A,R1C10,Student Roll Number,16-ME-
SA-7,C,R4C11,Student Roll Number,16-ME-
SC-12,C,R5C6,Student Roll Number,16-ME-
SB-13,B,R3C9,Student Roll Number,16-ME-
SC-14,C,R4C5,Student Roll Number,16-ME-
SC-15,C,R1C4,Student Roll Number,16-ME-
SC-3,C,R4C5,Student Roll Number,16-ME-15
SB-1,B,R1C6,Student Roll Number,16-ME-62
SA-5,A,R1C12,Student Roll Number,16-ME-
SC-4,C,R5C9,Student Roll Number,16-ME-
SB-5,B,R2C3,Student Roll Number,16-ME-110
SA-11,A,R4C8,Student Roll Number,16-ME-70
SB-8,B,R4C9,Student Roll Number,16-ME-20
SC-1,C,R3C3,Student Roll Number,16-ME-18
SA-7,A,R3C9,Student Roll Number,16-ME-97
SC-8,C,R4C14,Student Roll Number,16-ME-
SB-15,B,R2C3,Student Roll Number,16-ME-
SB-10,B,R1C15,Student Roll Number,16-ME-
SB-13,B,R5C4,Student Roll Number,16-ME-
SC-13,C,R4C2,Student Roll Number,16-ME-
SC-14,C,R3C3,Student Roll Number,16-ME-
SC-1,C,R4C13,Student Roll Number,16-ME-
SB-4,B,R5C1,Student Roll Number,16-ME-
SA-10,A,R2C8,Student Roll Number,16-ME-124
SB-13,B,R4C14,Student Roll Number,16-ME-
SC-3,C,R2C14,Student Roll Number,16-ME-
SB-9,B,R3C4,Student Roll Number,16-ME-98
SC-9,C,R5C7,Student Roll Number,16-ME-
SC-5,C,R1C10,Student Roll Number,16-ME-60
SB-3,B,R4C5,Student Roll Number,16-ME-86
SA-13,A,R3C1,Student Roll Number,16-ME-
SB-9,B,R4C7,Student Roll Number,16-ME-
SB-4,B,R5C4,Student Roll Number,16-ME-
SB-9,B,R5C8,Student Roll Number,16-ME-
SB-16,B,R4C13,Student Roll Number,16-ME-
SA-3,A,R4C9,Student Roll Number,16-ME-
SC-12,C,R2C10,Student Roll Number,16-ME-
SA-1,A,R3C13,Student Roll Number,16-ME-
