DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20100910,2010-09-10 00:00:00.000,6,"Friday","Viernes","Vendredi",10,253,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100911,2010-09-11 00:00:00.000,7,"Saturday","Sábado","Samedi",11,254,37,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100912,2010-09-12 00:00:00.000,1,"Sunday","Domingo","Dimanche",12,255,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100913,2010-09-13 00:00:00.000,2,"Monday","Lunes","Lundi",13,256,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100914,2010-09-14 00:00:00.000,3,"Tuesday","Martes","Mardi",14,257,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100915,2010-09-15 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",15,258,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100916,2010-09-16 00:00:00.000,5,"Thursday","Jueves","Jeudi",16,259,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100917,2010-09-17 00:00:00.000,6,"Friday","Viernes","Vendredi",17,260,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100918,2010-09-18 00:00:00.000,7,"Saturday","Sábado","Samedi",18,261,38,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100919,2010-09-19 00:00:00.000,1,"Sunday","Domingo","Dimanche",19,262,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100920,2010-09-20 00:00:00.000,2,"Monday","Lunes","Lundi",20,263,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100921,2010-09-21 00:00:00.000,3,"Tuesday","Martes","Mardi",21,264,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100922,2010-09-22 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",22,265,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100923,2010-09-23 00:00:00.000,5,"Thursday","Jueves","Jeudi",23,266,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100924,2010-09-24 00:00:00.000,6,"Friday","Viernes","Vendredi",24,267,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100925,2010-09-25 00:00:00.000,7,"Saturday","Sábado","Samedi",25,268,39,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100926,2010-09-26 00:00:00.000,1,"Sunday","Domingo","Dimanche",26,269,40,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100927,2010-09-27 00:00:00.000,2,"Monday","Lunes","Lundi",27,270,40,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100928,2010-09-28 00:00:00.000,3,"Tuesday","Martes","Mardi",28,271,40,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100929,2010-09-29 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",29,272,40,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20100930,2010-09-30 00:00:00.000,5,"Thursday","Jueves","Jeudi",30,273,40,"September","Septiembre","Septembre",9,3,2010,2,1,2011,1
20101001,2010-10-01 00:00:00.000,6,"Friday","Viernes","Vendredi",1,274,40,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101002,2010-10-02 00:00:00.000,7,"Saturday","Sábado","Samedi",2,275,40,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101003,2010-10-03 00:00:00.000,1,"Sunday","Domingo","Dimanche",3,276,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101004,2010-10-04 00:00:00.000,2,"Monday","Lunes","Lundi",4,277,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101005,2010-10-05 00:00:00.000,3,"Tuesday","Martes","Mardi",5,278,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101006,2010-10-06 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",6,279,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101007,2010-10-07 00:00:00.000,5,"Thursday","Jueves","Jeudi",7,280,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101008,2010-10-08 00:00:00.000,6,"Friday","Viernes","Vendredi",8,281,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101009,2010-10-09 00:00:00.000,7,"Saturday","Sábado","Samedi",9,282,41,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101010,2010-10-10 00:00:00.000,1,"Sunday","Domingo","Dimanche",10,283,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101011,2010-10-11 00:00:00.000,2,"Monday","Lunes","Lundi",11,284,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101012,2010-10-12 00:00:00.000,3,"Tuesday","Martes","Mardi",12,285,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101013,2010-10-13 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",13,286,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101014,2010-10-14 00:00:00.000,5,"Thursday","Jueves","Jeudi",14,287,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101015,2010-10-15 00:00:00.000,6,"Friday","Viernes","Vendredi",15,288,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101016,2010-10-16 00:00:00.000,7,"Saturday","Sábado","Samedi",16,289,42,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101017,2010-10-17 00:00:00.000,1,"Sunday","Domingo","Dimanche",17,290,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101018,2010-10-18 00:00:00.000,2,"Monday","Lunes","Lundi",18,291,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101019,2010-10-19 00:00:00.000,3,"Tuesday","Martes","Mardi",19,292,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101020,2010-10-20 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",20,293,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101021,2010-10-21 00:00:00.000,5,"Thursday","Jueves","Jeudi",21,294,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101022,2010-10-22 00:00:00.000,6,"Friday","Viernes","Vendredi",22,295,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101023,2010-10-23 00:00:00.000,7,"Saturday","Sábado","Samedi",23,296,43,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101024,2010-10-24 00:00:00.000,1,"Sunday","Domingo","Dimanche",24,297,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101025,2010-10-25 00:00:00.000,2,"Monday","Lunes","Lundi",25,298,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101026,2010-10-26 00:00:00.000,3,"Tuesday","Martes","Mardi",26,299,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101027,2010-10-27 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",27,300,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101028,2010-10-28 00:00:00.000,5,"Thursday","Jueves","Jeudi",28,301,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101029,2010-10-29 00:00:00.000,6,"Friday","Viernes","Vendredi",29,302,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101030,2010-10-30 00:00:00.000,7,"Saturday","Sábado","Samedi",30,303,44,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101031,2010-10-31 00:00:00.000,1,"Sunday","Domingo","Dimanche",31,304,45,"October","Octubre","Octobre",10,4,2010,2,2,2011,1
20101101,2010-11-01 00:00:00.000,2,"Monday","Lunes","Lundi",1,305,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101102,2010-11-02 00:00:00.000,3,"Tuesday","Martes","Mardi",2,306,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101103,2010-11-03 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",3,307,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101104,2010-11-04 00:00:00.000,5,"Thursday","Jueves","Jeudi",4,308,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101105,2010-11-05 00:00:00.000,6,"Friday","Viernes","Vendredi",5,309,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101106,2010-11-06 00:00:00.000,7,"Saturday","Sábado","Samedi",6,310,45,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101107,2010-11-07 00:00:00.000,1,"Sunday","Domingo","Dimanche",7,311,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101108,2010-11-08 00:00:00.000,2,"Monday","Lunes","Lundi",8,312,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101109,2010-11-09 00:00:00.000,3,"Tuesday","Martes","Mardi",9,313,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101110,2010-11-10 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",10,314,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101111,2010-11-11 00:00:00.000,5,"Thursday","Jueves","Jeudi",11,315,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101112,2010-11-12 00:00:00.000,6,"Friday","Viernes","Vendredi",12,316,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101113,2010-11-13 00:00:00.000,7,"Saturday","Sábado","Samedi",13,317,46,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101114,2010-11-14 00:00:00.000,1,"Sunday","Domingo","Dimanche",14,318,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101115,2010-11-15 00:00:00.000,2,"Monday","Lunes","Lundi",15,319,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101116,2010-11-16 00:00:00.000,3,"Tuesday","Martes","Mardi",16,320,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101117,2010-11-17 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",17,321,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101118,2010-11-18 00:00:00.000,5,"Thursday","Jueves","Jeudi",18,322,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101119,2010-11-19 00:00:00.000,6,"Friday","Viernes","Vendredi",19,323,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101120,2010-11-20 00:00:00.000,7,"Saturday","Sábado","Samedi",20,324,47,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101121,2010-11-21 00:00:00.000,1,"Sunday","Domingo","Dimanche",21,325,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101122,2010-11-22 00:00:00.000,2,"Monday","Lunes","Lundi",22,326,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101123,2010-11-23 00:00:00.000,3,"Tuesday","Martes","Mardi",23,327,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101124,2010-11-24 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",24,328,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101125,2010-11-25 00:00:00.000,5,"Thursday","Jueves","Jeudi",25,329,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101126,2010-11-26 00:00:00.000,6,"Friday","Viernes","Vendredi",26,330,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101127,2010-11-27 00:00:00.000,7,"Saturday","Sábado","Samedi",27,331,48,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101128,2010-11-28 00:00:00.000,1,"Sunday","Domingo","Dimanche",28,332,49,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101129,2010-11-29 00:00:00.000,2,"Monday","Lunes","Lundi",29,333,49,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101130,2010-11-30 00:00:00.000,3,"Tuesday","Martes","Mardi",30,334,49,"November","Noviembre","Novembre",11,4,2010,2,2,2011,1
20101201,2010-12-01 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",1,335,49,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101202,2010-12-02 00:00:00.000,5,"Thursday","Jueves","Jeudi",2,336,49,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101203,2010-12-03 00:00:00.000,6,"Friday","Viernes","Vendredi",3,337,49,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101204,2010-12-04 00:00:00.000,7,"Saturday","Sábado","Samedi",4,338,49,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101205,2010-12-05 00:00:00.000,1,"Sunday","Domingo","Dimanche",5,339,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101206,2010-12-06 00:00:00.000,2,"Monday","Lunes","Lundi",6,340,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101207,2010-12-07 00:00:00.000,3,"Tuesday","Martes","Mardi",7,341,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101208,2010-12-08 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",8,342,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101209,2010-12-09 00:00:00.000,5,"Thursday","Jueves","Jeudi",9,343,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101210,2010-12-10 00:00:00.000,6,"Friday","Viernes","Vendredi",10,344,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101211,2010-12-11 00:00:00.000,7,"Saturday","Sábado","Samedi",11,345,50,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101212,2010-12-12 00:00:00.000,1,"Sunday","Domingo","Dimanche",12,346,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101213,2010-12-13 00:00:00.000,2,"Monday","Lunes","Lundi",13,347,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101214,2010-12-14 00:00:00.000,3,"Tuesday","Martes","Mardi",14,348,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101215,2010-12-15 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",15,349,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101216,2010-12-16 00:00:00.000,5,"Thursday","Jueves","Jeudi",16,350,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101217,2010-12-17 00:00:00.000,6,"Friday","Viernes","Vendredi",17,351,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101218,2010-12-18 00:00:00.000,7,"Saturday","Sábado","Samedi",18,352,51,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101219,2010-12-19 00:00:00.000,1,"Sunday","Domingo","Dimanche",19,353,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101220,2010-12-20 00:00:00.000,2,"Monday","Lunes","Lundi",20,354,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101221,2010-12-21 00:00:00.000,3,"Tuesday","Martes","Mardi",21,355,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101222,2010-12-22 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",22,356,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101223,2010-12-23 00:00:00.000,5,"Thursday","Jueves","Jeudi",23,357,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101224,2010-12-24 00:00:00.000,6,"Friday","Viernes","Vendredi",24,358,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101225,2010-12-25 00:00:00.000,7,"Saturday","Sábado","Samedi",25,359,52,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101226,2010-12-26 00:00:00.000,1,"Sunday","Domingo","Dimanche",26,360,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101227,2010-12-27 00:00:00.000,2,"Monday","Lunes","Lundi",27,361,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101228,2010-12-28 00:00:00.000,3,"Tuesday","Martes","Mardi",28,362,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101229,2010-12-29 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",29,363,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101230,2010-12-30 00:00:00.000,5,"Thursday","Jueves","Jeudi",30,364,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20101231,2010-12-31 00:00:00.000,6,"Friday","Viernes","Vendredi",31,365,53,"December","Diciembre","Décembre",12,4,2010,2,2,2011,1
20110701,2011-07-01 00:00:00.000,6,"Friday","Viernes","Vendredi",1,182,27,"July","Julio","Juillet",7,3,2011,2,1,2011,1
20110702,2011-07-02 00:00:00.000,7,"Saturday","Sábado","Samedi",2,183,27,"July","Julio","Juillet",7,3,2011,2,1,2011,1
20110703,2011-07-03 00:00:00.000,1,"Sunday","Domingo","Dimanche",3,184,28,"July","Julio","Juillet",7,3,2011,2,1,2011,1
