Date,Year,Quarter,Month,Day,Date Sort,Month Name,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName
2012-08-11 00:00:00.000,"2012",3,"8",11,20120811,"August","Aug 2012","Q3 2012",5,"Saturday"
2012-08-12 00:00:00.000,"2012",3,"8",12,20120812,"August","Aug 2012","Q3 2012",6,"Sunday"
2012-08-13 00:00:00.000,"2012",3,"8",13,20120813,"August","Aug 2012","Q3 2012",0,"Monday"
2012-08-14 00:00:00.000,"2012",3,"8",14,20120814,"August","Aug 2012","Q3 2012",1,"Tuesday"
2012-08-15 00:00:00.000,"2012",3,"8",15,20120815,"August","Aug 2012","Q3 2012",2,"Wednesday"
2012-08-16 00:00:00.000,"2012",3,"8",16,20120816,"August","Aug 2012","Q3 2012",3,"Thursday"
2012-08-17 00:00:00.000,"2012",3,"8",17,20120817,"August","Aug 2012","Q3 2012",4,"Friday"
2012-08-18 00:00:00.000,"2012",3,"8",18,20120818,"August","Aug 2012","Q3 2012",5,"Saturday"
2012-08-19 00:00:00.000,"2012",3,"8",19,20120819,"August","Aug 2012","Q3 2012",6,"Sunday"
2012-08-20 00:00:00.000,"2012",3,"8",20,20120820,"August","Aug 2012","Q3 2012",0,"Monday"
2012-08-21 00:00:00.000,"2012",3,"8",21,20120821,"August","Aug 2012","Q3 2012",1,"Tuesday"
2012-08-22 00:00:00.000,"2012",3,"8",22,20120822,"August","Aug 2012","Q3 2012",2,"Wednesday"
2012-08-23 00:00:00.000,"2012",3,"8",23,20120823,"August","Aug 2012","Q3 2012",3,"Thursday"
2012-08-24 00:00:00.000,"2012",3,"8",24,20120824,"August","Aug 2012","Q3 2012",4,"Friday"
2012-08-25 00:00:00.000,"2012",3,"8",25,20120825,"August","Aug 2012","Q3 2012",5,"Saturday"
2012-08-26 00:00:00.000,"2012",3,"8",26,20120826,"August","Aug 2012","Q3 2012",6,"Sunday"
2012-08-27 00:00:00.000,"2012",3,"8",27,20120827,"August","Aug 2012","Q3 2012",0,"Monday"
2012-08-28 00:00:00.000,"2012",3,"8",28,20120828,"August","Aug 2012","Q3 2012",1,"Tuesday"
2012-08-29 00:00:00.000,"2012",3,"8",29,20120829,"August","Aug 2012","Q3 2012",2,"Wednesday"
2012-08-30 00:00:00.000,"2012",3,"8",30,20120830,"August","Aug 2012","Q3 2012",3,"Thursday"
2012-08-31 00:00:00.000,"2012",3,"8",31,20120831,"August","Aug 2012","Q3 2012",4,"Friday"
2012-09-01 00:00:00.000,"2012",3,"9",1,20120901,"September","Sep 2012","Q3 2012",5,"Saturday"
2012-09-02 00:00:00.000,"2012",3,"9",2,20120902,"September","Sep 2012","Q3 2012",6,"Sunday"
2012-09-03 00:00:00.000,"2012",3,"9",3,20120903,"September","Sep 2012","Q3 2012",0,"Monday"
2012-09-04 00:00:00.000,"2012",3,"9",4,20120904,"September","Sep 2012","Q3 2012",1,"Tuesday"
2012-09-05 00:00:00.000,"2012",3,"9",5,20120905,"September","Sep 2012","Q3 2012",2,"Wednesday"
2012-09-06 00:00:00.000,"2012",3,"9",6,20120906,"September","Sep 2012","Q3 2012",3,"Thursday"
2012-09-07 00:00:00.000,"2012",3,"9",7,20120907,"September","Sep 2012","Q3 2012",4,"Friday"
2012-09-08 00:00:00.000,"2012",3,"9",8,20120908,"September","Sep 2012","Q3 2012",5,"Saturday"
2012-09-09 00:00:00.000,"2012",3,"9",9,20120909,"September","Sep 2012","Q3 2012",6,"Sunday"
2012-09-10 00:00:00.000,"2012",3,"9",10,20120910,"September","Sep 2012","Q3 2012",0,"Monday"
2012-09-11 00:00:00.000,"2012",3,"9",11,20120911,"September","Sep 2012","Q3 2012",1,"Tuesday"
2012-09-12 00:00:00.000,"2012",3,"9",12,20120912,"September","Sep 2012","Q3 2012",2,"Wednesday"
2012-09-13 00:00:00.000,"2012",3,"9",13,20120913,"September","Sep 2012","Q3 2012",3,"Thursday"
2012-09-14 00:00:00.000,"2012",3,"9",14,20120914,"September","Sep 2012","Q3 2012",4,"Friday"
2012-09-15 00:00:00.000,"2012",3,"9",15,20120915,"September","Sep 2012","Q3 2012",5,"Saturday"
2012-09-16 00:00:00.000,"2012",3,"9",16,20120916,"September","Sep 2012","Q3 2012",6,"Sunday"
2012-09-17 00:00:00.000,"2012",3,"9",17,20120917,"September","Sep 2012","Q3 2012",0,"Monday"
2012-09-18 00:00:00.000,"2012",3,"9",18,20120918,"September","Sep 2012","Q3 2012",1,"Tuesday"
2012-09-19 00:00:00.000,"2012",3,"9",19,20120919,"September","Sep 2012","Q3 2012",2,"Wednesday"
2012-09-20 00:00:00.000,"2012",3,"9",20,20120920,"September","Sep 2012","Q3 2012",3,"Thursday"
2012-09-21 00:00:00.000,"2012",3,"9",21,20120921,"September","Sep 2012","Q3 2012",4,"Friday"
2012-09-22 00:00:00.000,"2012",3,"9",22,20120922,"September","Sep 2012","Q3 2012",5,"Saturday"
2012-09-23 00:00:00.000,"2012",3,"9",23,20120923,"September","Sep 2012","Q3 2012",6,"Sunday"
2012-09-24 00:00:00.000,"2012",3,"9",24,20120924,"September","Sep 2012","Q3 2012",0,"Monday"
2012-09-25 00:00:00.000,"2012",3,"9",25,20120925,"September","Sep 2012","Q3 2012",1,"Tuesday"
2012-09-26 00:00:00.000,"2012",3,"9",26,20120926,"September","Sep 2012","Q3 2012",2,"Wednesday"
2012-09-27 00:00:00.000,"2012",3,"9",27,20120927,"September","Sep 2012","Q3 2012",3,"Thursday"
2012-09-28 00:00:00.000,"2012",3,"9",28,20120928,"September","Sep 2012","Q3 2012",4,"Friday"
2012-09-29 00:00:00.000,"2012",3,"9",29,20120929,"September","Sep 2012","Q3 2012",5,"Saturday"
2012-09-30 00:00:00.000,"2012",3,"9",30,20120930,"September","Sep 2012","Q3 2012",6,"Sunday"
2012-01-01 00:00:00.000,"2012",1,"1",1,20120101,"January","Jan 2012","Q1 2012",6,"Sunday"
2012-01-02 00:00:00.000,"2012",1,"1",2,20120102,"January","Jan 2012","Q1 2012",0,"Monday"
2012-01-03 00:00:00.000,"2012",1,"1",3,20120103,"January","Jan 2012","Q1 2012",1,"Tuesday"
2012-01-04 00:00:00.000,"2012",1,"1",4,20120104,"January","Jan 2012","Q1 2012",2,"Wednesday"
2012-01-05 00:00:00.000,"2012",1,"1",5,20120105,"January","Jan 2012","Q1 2012",3,"Thursday"
2012-01-06 00:00:00.000,"2012",1,"1",6,20120106,"January","Jan 2012","Q1 2012",4,"Friday"
2012-01-07 00:00:00.000,"2012",1,"1",7,20120107,"January","Jan 2012","Q1 2012",5,"Saturday"
2012-01-08 00:00:00.000,"2012",1,"1",8,20120108,"January","Jan 2012","Q1 2012",6,"Sunday"
2012-01-09 00:00:00.000,"2012",1,"1",9,20120109,"January","Jan 2012","Q1 2012",0,"Monday"
2012-01-10 00:00:00.000,"2012",1,"1",10,20120110,"January","Jan 2012","Q1 2012",1,"Tuesday"
2012-01-11 00:00:00.000,"2012",1,"1",11,20120111,"January","Jan 2012","Q1 2012",2,"Wednesday"
2012-01-12 00:00:00.000,"2012",1,"1",12,20120112,"January","Jan 2012","Q1 2012",3,"Thursday"
2012-01-13 00:00:00.000,"2012",1,"1",13,20120113,"January","Jan 2012","Q1 2012",4,"Friday"
2012-01-14 00:00:00.000,"2012",1,"1",14,20120114,"January","Jan 2012","Q1 2012",5,"Saturday"
2012-01-15 00:00:00.000,"2012",1,"1",15,20120115,"January","Jan 2012","Q1 2012",6,"Sunday"
2012-01-16 00:00:00.000,"2012",1,"1",16,20120116,"January","Jan 2012","Q1 2012",0,"Monday"
2012-01-17 00:00:00.000,"2012",1,"1",17,20120117,"January","Jan 2012","Q1 2012",1,"Tuesday"
2012-01-18 00:00:00.000,"2012",1,"1",18,20120118,"January","Jan 2012","Q1 2012",2,"Wednesday"
2012-01-19 00:00:00.000,"2012",1,"1",19,20120119,"January","Jan 2012","Q1 2012",3,"Thursday"
2012-01-20 00:00:00.000,"2012",1,"1",20,20120120,"January","Jan 2012","Q1 2012",4,"Friday"
2012-01-21 00:00:00.000,"2012",1,"1",21,20120121,"January","Jan 2012","Q1 2012",5,"Saturday"
2012-01-22 00:00:00.000,"2012",1,"1",22,20120122,"January","Jan 2012","Q1 2012",6,"Sunday"
2012-01-23 00:00:00.000,"2012",1,"1",23,20120123,"January","Jan 2012","Q1 2012",0,"Monday"
2012-01-24 00:00:00.000,"2012",1,"1",24,20120124,"January","Jan 2012","Q1 2012",1,"Tuesday"
2012-01-25 00:00:00.000,"2012",1,"1",25,20120125,"January","Jan 2012","Q1 2012",2,"Wednesday"
2012-01-26 00:00:00.000,"2012",1,"1",26,20120126,"January","Jan 2012","Q1 2012",3,"Thursday"
2012-01-27 00:00:00.000,"2012",1,"1",27,20120127,"January","Jan 2012","Q1 2012",4,"Friday"
2012-01-28 00:00:00.000,"2012",1,"1",28,20120128,"January","Jan 2012","Q1 2012",5,"Saturday"
2012-01-29 00:00:00.000,"2012",1,"1",29,20120129,"January","Jan 2012","Q1 2012",6,"Sunday"
2012-01-30 00:00:00.000,"2012",1,"1",30,20120130,"January","Jan 2012","Q1 2012",0,"Monday"
2012-01-31 00:00:00.000,"2012",1,"1",31,20120131,"January","Jan 2012","Q1 2012",1,"Tuesday"
2012-02-01 00:00:00.000,"2012",1,"2",1,20120201,"February","Feb 2012","Q1 2012",2,"Wednesday"
2012-02-02 00:00:00.000,"2012",1,"2",2,20120202,"February","Feb 2012","Q1 2012",3,"Thursday"
2012-02-03 00:00:00.000,"2012",1,"2",3,20120203,"February","Feb 2012","Q1 2012",4,"Friday"
2012-02-04 00:00:00.000,"2012",1,"2",4,20120204,"February","Feb 2012","Q1 2012",5,"Saturday"
2012-02-05 00:00:00.000,"2012",1,"2",5,20120205,"February","Feb 2012","Q1 2012",6,"Sunday"
2012-02-06 00:00:00.000,"2012",1,"2",6,20120206,"February","Feb 2012","Q1 2012",0,"Monday"
2012-02-07 00:00:00.000,"2012",1,"2",7,20120207,"February","Feb 2012","Q1 2012",1,"Tuesday"
2012-02-08 00:00:00.000,"2012",1,"2",8,20120208,"February","Feb 2012","Q1 2012",2,"Wednesday"
2012-02-09 00:00:00.000,"2012",1,"2",9,20120209,"February","Feb 2012","Q1 2012",3,"Thursday"
2012-02-10 00:00:00.000,"2012",1,"2",10,20120210,"February","Feb 2012","Q1 2012",4,"Friday"
2012-02-11 00:00:00.000,"2012",1,"2",11,20120211,"February","Feb 2012","Q1 2012",5,"Saturday"
2012-02-12 00:00:00.000,"2012",1,"2",12,20120212,"February","Feb 2012","Q1 2012",6,"Sunday"
2012-02-13 00:00:00.000,"2012",1,"2",13,20120213,"February","Feb 2012","Q1 2012",0,"Monday"
2012-02-14 00:00:00.000,"2012",1,"2",14,20120214,"February","Feb 2012","Q1 2012",1,"Tuesday"
2012-02-15 00:00:00.000,"2012",1,"2",15,20120215,"February","Feb 2012","Q1 2012",2,"Wednesday"
2012-02-16 00:00:00.000,"2012",1,"2",16,20120216,"February","Feb 2012","Q1 2012",3,"Thursday"
2012-02-17 00:00:00.000,"2012",1,"2",17,20120217,"February","Feb 2012","Q1 2012",4,"Friday"
2012-02-18 00:00:00.000,"2012",1,"2",18,20120218,"February","Feb 2012","Q1 2012",5,"Saturday"
2012-02-19 00:00:00.000,"2012",1,"2",19,20120219,"February","Feb 2012","Q1 2012",6,"Sunday"
2012-02-20 00:00:00.000,"2012",1,"2",20,20120220,"February","Feb 2012","Q1 2012",0,"Monday"
2012-02-21 00:00:00.000,"2012",1,"2",21,20120221,"February","Feb 2012","Q1 2012",1,"Tuesday"
2012-02-22 00:00:00.000,"2012",1,"2",22,20120222,"February","Feb 2012","Q1 2012",2,"Wednesday"
2012-02-23 00:00:00.000,"2012",1,"2",23,20120223,"February","Feb 2012","Q1 2012",3,"Thursday"
2012-02-24 00:00:00.000,"2012",1,"2",24,20120224,"February","Feb 2012","Q1 2012",4,"Friday"
2012-02-25 00:00:00.000,"2012",1,"2",25,20120225,"February","Feb 2012","Q1 2012",5,"Saturday"
2012-02-26 00:00:00.000,"2012",1,"2",26,20120226,"February","Feb 2012","Q1 2012",6,"Sunday"
2012-02-27 00:00:00.000,"2012",1,"2",27,20120227,"February","Feb 2012","Q1 2012",0,"Monday"
2012-02-28 00:00:00.000,"2012",1,"2",28,20120228,"February","Feb 2012","Q1 2012",1,"Tuesday"
2012-02-29 00:00:00.000,"2012",1,"2",29,20120229,"February","Feb 2012","Q1 2012",2,"Wednesday"
2012-03-01 00:00:00.000,"2012",1,"3",1,20120301,"March","Mar 2012","Q1 2012",3,"Thursday"
2012-03-02 00:00:00.000,"2012",1,"3",2,20120302,"March","Mar 2012","Q1 2012",4,"Friday"
2012-03-03 00:00:00.000,"2012",1,"3",3,20120303,"March","Mar 2012","Q1 2012",5,"Saturday"
2012-03-04 00:00:00.000,"2012",1,"3",4,20120304,"March","Mar 2012","Q1 2012",6,"Sunday"
2012-03-05 00:00:00.000,"2012",1,"3",5,20120305,"March","Mar 2012","Q1 2012",0,"Monday"
2012-03-06 00:00:00.000,"2012",1,"3",6,20120306,"March","Mar 2012","Q1 2012",1,"Tuesday"
2012-03-07 00:00:00.000,"2012",1,"3",7,20120307,"March","Mar 2012","Q1 2012",2,"Wednesday"
2012-03-08 00:00:00.000,"2012",1,"3",8,20120308,"March","Mar 2012","Q1 2012",3,"Thursday"
2012-03-09 00:00:00.000,"2012",1,"3",9,20120309,"March","Mar 2012","Q1 2012",4,"Friday"
2012-03-10 00:00:00.000,"2012",1,"3",10,20120310,"March","Mar 2012","Q1 2012",5,"Saturday"
2012-03-11 00:00:00.000,"2012",1,"3",11,20120311,"March","Mar 2012","Q1 2012",6,"Sunday"
2012-03-12 00:00:00.000,"2012",1,"3",12,20120312,"March","Mar 2012","Q1 2012",0,"Monday"
2012-03-13 00:00:00.000,"2012",1,"3",13,20120313,"March","Mar 2012","Q1 2012",1,"Tuesday"
2012-03-14 00:00:00.000,"2012",1,"3",14,20120314,"March","Mar 2012","Q1 2012",2,"Wednesday"
2012-03-15 00:00:00.000,"2012",1,"3",15,20120315,"March","Mar 2012","Q1 2012",3,"Thursday"
2012-03-16 00:00:00.000,"2012",1,"3",16,20120316,"March","Mar 2012","Q1 2012",4,"Friday"
2012-03-17 00:00:00.000,"2012",1,"3",17,20120317,"March","Mar 2012","Q1 2012",5,"Saturday"
2012-03-18 00:00:00.000,"2012",1,"3",18,20120318,"March","Mar 2012","Q1 2012",6,"Sunday"
2012-03-19 00:00:00.000,"2012",1,"3",19,20120319,"March","Mar 2012","Q1 2012",0,"Monday"
2012-03-20 00:00:00.000,"2012",1,"3",20,20120320,"March","Mar 2012","Q1 2012",1,"Tuesday"
2012-03-21 00:00:00.000,"2012",1,"3",21,20120321,"March","Mar 2012","Q1 2012",2,"Wednesday"
2012-03-22 00:00:00.000,"2012",1,"3",22,20120322,"March","Mar 2012","Q1 2012",3,"Thursday"
2012-03-23 00:00:00.000,"2012",1,"3",23,20120323,"March","Mar 2012","Q1 2012",4,"Friday"
2012-03-24 00:00:00.000,"2012",1,"3",24,20120324,"March","Mar 2012","Q1 2012",5,"Saturday"
2012-03-25 00:00:00.000,"2012",1,"3",25,20120325,"March","Mar 2012","Q1 2012",6,"Sunday"
2012-03-26 00:00:00.000,"2012",1,"3",26,20120326,"March","Mar 2012","Q1 2012",0,"Monday"
2012-03-27 00:00:00.000,"2012",1,"3",27,20120327,"March","Mar 2012","Q1 2012",1,"Tuesday"
2012-03-28 00:00:00.000,"2012",1,"3",28,20120328,"March","Mar 2012","Q1 2012",2,"Wednesday"
2012-03-29 00:00:00.000,"2012",1,"3",29,20120329,"March","Mar 2012","Q1 2012",3,"Thursday"
2012-03-30 00:00:00.000,"2012",1,"3",30,20120330,"March","Mar 2012","Q1 2012",4,"Friday"
2012-03-31 00:00:00.000,"2012",1,"3",31,20120331,"March","Mar 2012","Q1 2012",5,"Saturday"
2012-04-01 00:00:00.000,"2012",2,"4",1,20120401,"April","Apr 2012","Q2 2012",6,"Sunday"
2012-04-02 00:00:00.000,"2012",2,"4",2,20120402,"April","Apr 2012","Q2 2012",0,"Monday"
2012-04-03 00:00:00.000,"2012",2,"4",3,20120403,"April","Apr 2012","Q2 2012",1,"Tuesday"
2012-04-04 00:00:00.000,"2012",2,"4",4,20120404,"April","Apr 2012","Q2 2012",2,"Wednesday"
2012-04-05 00:00:00.000,"2012",2,"4",5,20120405,"April","Apr 2012","Q2 2012",3,"Thursday"
2012-04-06 00:00:00.000,"2012",2,"4",6,20120406,"April","Apr 2012","Q2 2012",4,"Friday"
2012-04-07 00:00:00.000,"2012",2,"4",7,20120407,"April","Apr 2012","Q2 2012",5,"Saturday"
2012-04-08 00:00:00.000,"2012",2,"4",8,20120408,"April","Apr 2012","Q2 2012",6,"Sunday"
2012-04-09 00:00:00.000,"2012",2,"4",9,20120409,"April","Apr 2012","Q2 2012",0,"Monday"
2012-04-10 00:00:00.000,"2012",2,"4",10,20120410,"April","Apr 2012","Q2 2012",1,"Tuesday"
2012-04-11 00:00:00.000,"2012",2,"4",11,20120411,"April","Apr 2012","Q2 2012",2,"Wednesday"
2012-04-12 00:00:00.000,"2012",2,"4",12,20120412,"April","Apr 2012","Q2 2012",3,"Thursday"
2012-04-13 00:00:00.000,"2012",2,"4",13,20120413,"April","Apr 2012","Q2 2012",4,"Friday"
2012-04-14 00:00:00.000,"2012",2,"4",14,20120414,"April","Apr 2012","Q2 2012",5,"Saturday"
2012-04-15 00:00:00.000,"2012",2,"4",15,20120415,"April","Apr 2012","Q2 2012",6,"Sunday"
2012-04-16 00:00:00.000,"2012",2,"4",16,20120416,"April","Apr 2012","Q2 2012",0,"Monday"
2012-04-17 00:00:00.000,"2012",2,"4",17,20120417,"April","Apr 2012","Q2 2012",1,"Tuesday"
2012-04-18 00:00:00.000,"2012",2,"4",18,20120418,"April","Apr 2012","Q2 2012",2,"Wednesday"
2012-04-19 00:00:00.000,"2012",2,"4",19,20120419,"April","Apr 2012","Q2 2012",3,"Thursday"
2012-04-20 00:00:00.000,"2012",2,"4",20,20120420,"April","Apr 2012","Q2 2012",4,"Friday"
2012-04-21 00:00:00.000,"2012",2,"4",21,20120421,"April","Apr 2012","Q2 2012",5,"Saturday"
2012-04-22 00:00:00.000,"2012",2,"4",22,20120422,"April","Apr 2012","Q2 2012",6,"Sunday"
2012-04-23 00:00:00.000,"2012",2,"4",23,20120423,"April","Apr 2012","Q2 2012",0,"Monday"
2012-04-24 00:00:00.000,"2012",2,"4",24,20120424,"April","Apr 2012","Q2 2012",1,"Tuesday"
2012-04-25 00:00:00.000,"2012",2,"4",25,20120425,"April","Apr 2012","Q2 2012",2,"Wednesday"
2012-04-26 00:00:00.000,"2012",2,"4",26,20120426,"April","Apr 2012","Q2 2012",3,"Thursday"
2012-04-27 00:00:00.000,"2012",2,"4",27,20120427,"April","Apr 2012","Q2 2012",4,"Friday"
2012-04-28 00:00:00.000,"2012",2,"4",28,20120428,"April","Apr 2012","Q2 2012",5,"Saturday"
2012-04-29 00:00:00.000,"2012",2,"4",29,20120429,"April","Apr 2012","Q2 2012",6,"Sunday"
2012-04-30 00:00:00.000,"2012",2,"4",30,20120430,"April","Apr 2012","Q2 2012",0,"Monday"
2012-05-01 00:00:00.000,"2012",2,"5",1,20120501,"May","May 2012","Q2 2012",1,"Tuesday"
2012-05-02 00:00:00.000,"2012",2,"5",2,20120502,"May","May 2012","Q2 2012",2,"Wednesday"
2012-05-03 00:00:00.000,"2012",2,"5",3,20120503,"May","May 2012","Q2 2012",3,"Thursday"
2012-05-04 00:00:00.000,"2012",2,"5",4,20120504,"May","May 2012","Q2 2012",4,"Friday"
2012-05-05 00:00:00.000,"2012",2,"5",5,20120505,"May","May 2012","Q2 2012",5,"Saturday"
2012-05-06 00:00:00.000,"2012",2,"5",6,20120506,"May","May 2012","Q2 2012",6,"Sunday"
2012-05-07 00:00:00.000,"2012",2,"5",7,20120507,"May","May 2012","Q2 2012",0,"Monday"
2012-05-08 00:00:00.000,"2012",2,"5",8,20120508,"May","May 2012","Q2 2012",1,"Tuesday"
2012-05-09 00:00:00.000,"2012",2,"5",9,20120509,"May","May 2012","Q2 2012",2,"Wednesday"
2012-05-10 00:00:00.000,"2012",2,"5",10,20120510,"May","May 2012","Q2 2012",3,"Thursday"
2012-05-11 00:00:00.000,"2012",2,"5",11,20120511,"May","May 2012","Q2 2012",4,"Friday"
2012-05-12 00:00:00.000,"2012",2,"5",12,20120512,"May","May 2012","Q2 2012",5,"Saturday"
2012-05-13 00:00:00.000,"2012",2,"5",13,20120513,"May","May 2012","Q2 2012",6,"Sunday"
2012-05-14 00:00:00.000,"2012",2,"5",14,20120514,"May","May 2012","Q2 2012",0,"Monday"
2012-05-15 00:00:00.000,"2012",2,"5",15,20120515,"May","May 2012","Q2 2012",1,"Tuesday"
2012-05-16 00:00:00.000,"2012",2,"5",16,20120516,"May","May 2012","Q2 2012",2,"Wednesday"
2012-05-17 00:00:00.000,"2012",2,"5",17,20120517,"May","May 2012","Q2 2012",3,"Thursday"
2012-05-18 00:00:00.000,"2012",2,"5",18,20120518,"May","May 2012","Q2 2012",4,"Friday"
2012-05-19 00:00:00.000,"2012",2,"5",19,20120519,"May","May 2012","Q2 2012",5,"Saturday"
2012-05-20 00:00:00.000,"2012",2,"5",20,20120520,"May","May 2012","Q2 2012",6,"Sunday"
2012-05-21 00:00:00.000,"2012",2,"5",21,20120521,"May","May 2012","Q2 2012",0,"Monday"
2012-05-22 00:00:00.000,"2012",2,"5",22,20120522,"May","May 2012","Q2 2012",1,"Tuesday"
2012-05-23 00:00:00.000,"2012",2,"5",23,20120523,"May","May 2012","Q2 2012",2,"Wednesday"
2012-05-24 00:00:00.000,"2012",2,"5",24,20120524,"May","May 2012","Q2 2012",3,"Thursday"
2012-05-25 00:00:00.000,"2012",2,"5",25,20120525,"May","May 2012","Q2 2012",4,"Friday"
2012-05-26 00:00:00.000,"2012",2,"5",26,20120526,"May","May 2012","Q2 2012",5,"Saturday"
2012-05-27 00:00:00.000,"2012",2,"5",27,20120527,"May","May 2012","Q2 2012",6,"Sunday"
2012-05-28 00:00:00.000,"2012",2,"5",28,20120528,"May","May 2012","Q2 2012",0,"Monday"
2012-05-29 00:00:00.000,"2012",2,"5",29,20120529,"May","May 2012","Q2 2012",1,"Tuesday"
2012-05-30 00:00:00.000,"2012",2,"5",30,20120530,"May","May 2012","Q2 2012",2,"Wednesday"
2012-05-31 00:00:00.000,"2012",2,"5",31,20120531,"May","May 2012","Q2 2012",3,"Thursday"
2012-06-01 00:00:00.000,"2012",2,"6",1,20120601,"June","Jun 2012","Q2 2012",4,"Friday"
2012-06-02 00:00:00.000,"2012",2,"6",2,20120602,"June","Jun 2012","Q2 2012",5,"Saturday"
2012-06-03 00:00:00.000,"2012",2,"6",3,20120603,"June","Jun 2012","Q2 2012",6,"Sunday"
2012-06-04 00:00:00.000,"2012",2,"6",4,20120604,"June","Jun 2012","Q2 2012",0,"Monday"
