OrderNumber,OrderDate,Customer Name Index,Channel Index,Currency Index,Warehouse Index,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,D_RANK,Cummulative Sales %
"SO - 0005149",2015-02-09 00:00:00.000,5,3,1,1,14,2,1,294.8,294.8,215.2,6319,0.97359975541197974
"SO - 0005192",2015-02-21 00:00:00.000,5,3,1,1,14,2,1,439.97,439.97,285.98,5699,0.95028427442706276
"SO - 0005212",2015-02-26 00:00:00.000,5,3,1,1,14,2,8,116.88,935.02,71.3,3606,0.80804461287476537
"SO - 0005310",2015-03-22 00:00:00.000,5,3,1,1,14,2,3,129.53,388.6,80.31,5952,0.96093703669896235
"SO - 0005331",2015-03-26 00:00:00.000,5,3,1,1,14,2,6,119.86,719.13,62.32,4487,0.88127294194348849
"SO - 0005333",2015-03-28 00:00:00.000,5,3,1,1,14,2,9,267.26,2405.3,128.28,1276,0.45408846683313719
"SO - 0005437",2015-04-18 00:00:00.000,5,3,1,1,14,2,6,434.01,2604.07,360.23,1095,0.41057209785140053
"SO - 0005611",2015-06-02 00:00:00.000,5,3,1,1,14,2,9,103.48,931.3,49.67,3615,0.80850871121728718
"SO - 0005851",2015-08-03 00:00:00.000,5,3,1,1,14,2,6,121.34,728.07,101.93,4462,0.87861629474470893
"SO - 0005933",2015-08-21 00:00:00.000,5,3,1,1,14,2,1,107.94,107.94,75.56,7540,0.99693407417543811
"SO - 0005938",2015-08-21 00:00:00.000,5,3,1,1,14,2,6,113.9,683.4,64.92,4628,0.89026059425181858
"SO - 0005988",2015-09-02 00:00:00.000,5,3,1,1,14,2,8,111.67,893.33,82.63,3697,0.816656823112247
"SO - 0006016",2015-09-09 00:00:00.000,5,3,1,1,14,2,6,98.27,589.6,49.13,5060,0.91773208462580835
"SO - 0006035",2015-09-12 00:00:00.000,5,3,1,1,14,2,1,18.61,18.61,13.21,7990,1.0000000000000018
"SO - 0006244",2015-10-31 00:00:00.000,5,3,1,1,14,2,9,425.82,3832.4,183.1,416,0.19816153610333145
"SO - 0006335",2015-11-18 00:00:00.000,5,3,1,1,14,2,4,214.4,857.6,120.06,3898,0.83526711938127673
"SO - 0006354",2015-11-22 00:00:00.000,5,3,1,1,14,2,7,284.38,1990.64,164.94,1704,0.54681097614377216
"SO - 0006371",2015-11-27 00:00:00.000,5,3,1,1,14,2,7,265.02,1855.16,113.96,1855,0.57573534275051008
"SO - 0006539",2016-01-01 00:00:00.000,5,3,1,1,14,2,4,81.14,324.58,53.56,6247,0.97128238027653968
"SO - 0006752",2016-02-13 00:00:00.000,5,3,1,1,14,2,2,434.01,868.02,355.89,3846,0.829011101188172
"SO - 0006775",2016-02-21 00:00:00.000,5,3,1,1,14,2,5,116.13,580.67,75.49,5111,0.92081520834411867
"SO - 0006898",2016-03-19 00:00:00.000,5,3,1,1,14,2,1,579.18,579.18,364.88,5124,0.92110337232317285
"SO - 0006941",2016-03-29 00:00:00.000,5,3,1,1,14,2,8,292.57,2340.53,119.95,1309,0.46163262945802841
"SO - 0007033",2016-04-17 00:00:00.000,5,3,1,1,14,2,1,116.13,116.13,67.36,7425,0.99579630160683286
"SO - 0007184",2016-05-20 00:00:00.000,5,3,1,1,14,2,3,218.12,654.37,135.24,4738,0.89757370725901409
"SO - 0007237",2016-06-04 00:00:00.000,5,3,1,1,14,2,2,191.32,382.64,105.23,5990,0.96227902666835252
"SO - 0007320",2016-06-25 00:00:00.000,5,3,1,1,14,2,5,124.32,621.61,88.27,4869,0.90644586510830627
"SO - 0007568",2016-08-29 00:00:00.000,5,3,1,1,14,2,5,122.09,610.44,97.67,4922,0.90938364209584355
"SO - 0007643",2016-09-17 00:00:00.000,5,3,1,1,14,2,3,101.24,303.73,49.61,6283,0.97265022629355469
"SO - 0007696",2016-09-30 00:00:00.000,5,3,1,1,14,2,3,263.53,790.6,171.3,4237,0.86148082508383417
"SO - 0007953",2016-11-25 00:00:00.000,5,3,1,1,14,2,8,260.56,2084.44,198.02,1584,0.52270930274522553
"SO - 0007994",2016-12-03 00:00:00.000,5,3,1,1,14,2,7,193.56,1354.89,108.39,2542,0.68721185119585138
"SO - 0008077",2016-12-26 00:00:00.000,5,3,1,1,14,2,2,25.31,50.62,16.71,7863,0.99959205875599177
"SO - 000166",2012-01-16 00:00:00.000,5,3,1,1,13,2,1,276.93,276.93,144.01,6392,0.97559023026056335
"SO - 000286",2012-02-13 00:00:00.000,5,3,1,1,13,2,6,276.19,1657.13,198.86,2193,0.63458753122114808
"SO - 000690",2012-05-15 00:00:00.000,5,3,1,1,13,2,8,75.93,607.47,42.52,4938,0.91041251357716091
"SO - 000704",2012-05-18 00:00:00.000,5,3,1,1,13,2,3,687.12,2061.37,515.34,1614,0.52827195515873548
"SO - 000798",2012-06-03 00:00:00.000,5,3,1,1,13,2,6,256.83,1541,169.51,2335,0.65663599223683367
"SO - 000806",2012-06-04 00:00:00.000,5,3,1,1,13,2,1,198.02,198.02,116.83,6905,0.98787945028562185
"SO - 000830",2012-06-09 00:00:00.000,5,3,1,1,13,2,5,250.13,1250.67,190.1,2841,0.72553662055590618
"SO - 000871",2012-06-19 00:00:00.000,5,3,1,1,13,2,6,439.22,2635.33,272.32,1056,0.39963686940404508
"SO - 000874",2012-06-19 00:00:00.000,5,3,1,1,13,2,9,278.42,2505.8,153.13,1220,0.44065985624634596
"SO - 0001167",2012-08-27 00:00:00.000,5,3,1,1,13,2,4,201,804,134.67,4184,0.85807391268045763
"SO - 0001291",2012-09-27 00:00:00.000,5,3,1,1,13,2,3,678.19,2034.57,488.3,1650,0.53560714491595462
"SO - 0001320",2012-10-02 00:00:00.000,5,3,1,1,13,2,5,436.24,2181.22,235.57,1482,0.5008355213025194
"SO - 0001419",2012-10-24 00:00:00.000,5,3,1,1,13,2,9,268,2412,131.32,1268,0.45313064077332121
"SO - 0001600",2012-12-01 00:00:00.000,5,3,1,1,13,2,6,608.96,3653.73,286.21,453,0.21121908892291613
"SO - 0001634",2012-12-08 00:00:00.000,5,3,1,1,13,2,5,128.04,640.22,99.87,4801,0.90162547351026567
"SO - 0001684",2012-12-21 00:00:00.000,5,3,1,1,13,2,9,101.99,917.9,57.11,3637,0.81089905724575551
"SO - 0001731",2013-01-03 00:00:00.000,5,3,1,1,13,2,3,21.59,64.77,8.85,7801,0.99924826307840864
"SO - 0001763",2013-01-10 00:00:00.000,5,3,1,1,13,2,2,197.28,394.56,118.37,5928,0.95988779601756491
"SO - 0002401",2013-05-26 00:00:00.000,5,3,1,1,13,2,3,609.7,1829.1,451.18,1870,0.57811331600742011
"SO - 0002503",2013-06-19 00:00:00.000,5,3,1,1,13,2,6,125.07,750.4,85.05,4378,0.87339039685295561
"SO - 0002541",2013-07-04 00:00:00.000,5,3,1,1,13,2,5,20.1,100.5,10.25,7607,0.99762639910582573
"SO - 0002643",2013-07-25 00:00:00.000,5,3,1,1,13,2,4,113.9,455.6,64.92,5619,0.94718352095214142
"SO - 0002789",2013-08-27 00:00:00.000,5,3,1,1,13,2,7,426.57,2985.97,183.42,853,0.34242572499057955
"SO - 0002845",2013-09-10 00:00:00.000,5,3,1,1,13,2,9,116.88,1051.9,80.65,3278,0.77613949892547984
"SO - 0002938",2013-09-27 00:00:00.000,5,3,1,1,13,2,9,285.87,2572.8,120.06,1147,0.42318844504058079
"SO - 0003133",2013-11-12 00:00:00.000,5,3,1,1,13,2,1,438.48,438.48,333.24,5710,0.95076474276032807
"SO - 0003308",2013-12-27 00:00:00.000,5,3,1,1,13,2,9,18.61,167.5,10.42,7079,0.99098383578693749
"SO - 0003351",2014-01-05 00:00:00.000,5,3,1,1,13,2,3,106.46,319.37,89.42,6254,0.97163336239100484
"SO - 0003355",2014-01-05 00:00:00.000,5,3,1,1,13,2,4,424.33,1697.33,267.33,2141,0.62657008470972209
"SO - 0003362",2014-01-07 00:00:00.000,5,3,1,1,13,2,5,257.58,1287.89,185.46,2765,0.71591694490609259
"SO - 0003387",2014-01-14 00:00:00.000,5,3,1,1,13,2,5,712.43,3562.17,313.47,479,0.22015673270563663
"SO - 0003547",2014-02-17 00:00:00.000,5,3,1,1,13,2,9,586.62,5279.6,381.3,111,0.064395880711293291
"SO - 0003606",2014-03-03 00:00:00.000,5,3,1,1,13,2,4,326.81,1307.24,228.77,2697,0.70688144338647474
"SO - 0003685",2014-03-21 00:00:00.000,5,3,1,1,13,2,1,281.4,281.4,182.91,6374,0.97514635384691439
"SO - 0003770",2014-04-11 00:00:00.000,5,3,1,1,13,2,7,592.58,4148.04,462.21,277,0.14168709301726268
"SO - 0004085",2014-06-16 00:00:00.000,5,3,1,1,13,2,7,431.78,3022.44,237.48,817,0.33196800552128497
"SO - 0004098",2014-06-18 00:00:00.000,5,3,1,1,13,2,5,111.67,558.33,80.4,5253,0.92911955508842858
"SO - 0004405",2014-08-29 00:00:00.000,5,3,1,1,13,2,7,115.39,807.72,91.16,4171,0.85679303230145976
"SO - 0004664",2014-10-25 00:00:00.000,5,3,1,1,13,2,6,122.83,737,57.73,4439,0.87723340815811823
"SO - 0004675",2014-10-26 00:00:00.000,5,3,1,1,13,2,9,112.41,1011.7,67.45,3408,0.78895348805505772
"SO - 0004943",2014-12-25 00:00:00.000,5,3,1,1,13,2,1,442.94,442.94,283.48,5676,0.94931844497319451
"SO - 0005036",2015-01-14 00:00:00.000,5,3,1,1,13,2,2,347.66,695.31,159.92,4590,0.88745059593313824
"SO - 0005053",2015-01-18 00:00:00.000,5,3,1,1,13,2,4,440.71,1762.84,255.61,1974,0.59764905558696424
"SO - 0005110",2015-01-30 00:00:00.000,5,3,1,1,13,2,4,218.87,875.47,170.72,3795,0.826758169146801
"SO - 0005119",2015-02-01 00:00:00.000,5,3,1,1,13,2,7,122.83,859.83,77.39,3885,0.833133380495412
"SO - 0005150",2015-02-09 00:00:00.000,5,3,1,1,13,2,2,125.07,250.13,67.54,6539,0.979761851392678
"SO - 0005172",2015-02-15 00:00:00.000,5,3,1,1,13,2,7,148.89,1042.22,108.69,3306,0.77894741952604729
"SO - 0005281",2015-03-14 00:00:00.000,5,3,1,1,13,2,4,305.22,1220.89,122.09,2904,0.73316345407198769
"SO - 0005454",2015-04-22 00:00:00.000,5,3,1,1,13,2,5,116.88,584.39,81.81,5094,0.91965781288222681
"SO - 0005522",2015-05-08 00:00:00.000,5,3,1,1,13,2,3,213.66,640.97,87.6,4798,0.90130693982010035
"SO - 0005606",2015-06-01 00:00:00.000,5,3,1,1,13,2,4,122.09,488.36,85.46,5508,0.94175375493118219
"SO - 0005619",2015-06-03 00:00:00.000,5,3,1,1,13,2,9,19.36,174.2,13.55,7036,0.99039032585629461
"SO - 0005710",2015-06-24 00:00:00.000,5,3,1,1,13,2,2,262.04,524.09,170.33,5353,0.93383853752431112
"SO - 0005766",2015-07-10 00:00:00.000,5,3,1,1,13,2,3,107.2,321.6,87.9,6250,0.97137882898621131
"SO - 0005795",2015-07-16 00:00:00.000,5,3,1,1,13,2,7,83.38,583.64,60.87,5104,0.91994819588014642
"SO - 0005984",2015-09-02 00:00:00.000,5,3,1,1,13,2,8,278.42,2227.38,144.78,1407,0.48438090334892769
"SO - 0006019",2015-09-09 00:00:00.000,5,3,1,1,13,2,1,431.03,431.03,202.59,5776,0.95374593291157339
"SO - 0006117",2015-10-03 00:00:00.000,5,3,1,1,13,2,2,282.89,565.78,229.14,5201,0.92610569958637579
"SO - 0006253",2015-11-01 00:00:00.000,5,3,1,1,13,2,8,444.43,3555.47,271.1,487,0.22475904350789885
"SO - 0006464",2015-12-13 00:00:00.000,5,3,1,1,13,2,5,196.53,982.67,127.75,3495,0.79777127596183961
"SO - 0006468",2015-12-14 00:00:00.000,5,3,1,1,13,2,1,427.31,427.31,252.11,5798,0.95464168117231718
"SO - 0006518",2015-12-28 00:00:00.000,5,3,1,1,13,2,6,99.01,594.07,63.37,5035,0.9162032671989947
"SO - 0006559",2016-01-05 00:00:00.000,5,3,1,1,13,2,9,124.32,1118.9,68.38,3109,0.75718904497571582
"SO - 0006708",2016-02-05 00:00:00.000,5,3,1,1,13,2,6,134.74,808.47,55.25,4166,0.85598928973727761
"SO - 0006861",2016-03-12 00:00:00.000,5,3,1,1,13,2,3,408.7,1226.1,269.74,2898,0.73231192797151567
"SO - 0006888",2016-03-17 00:00:00.000,5,3,1,1,13,2,6,27.54,165.27,20.66,7096,0.9912315578983969
"SO - 0006895",2016-03-18 00:00:00.000,5,3,1,1,13,2,5,26.06,130.28,15.63,7261,0.99375419824935984
"SO - 0006960",2016-04-01 00:00:00.000,5,3,1,1,13,2,9,265.77,2391.9,188.69,1280,0.45527941624845869
"SO - 0007007",2016-04-11 00:00:00.000,5,3,1,1,13,2,2,221.1,442.2,187.94,5681,0.94962646071295209
"SO - 0007097",2016-05-01 00:00:00.000,5,3,1,1,13,2,4,122.83,491.33,90.9,5489,0.941316395268453
"SO - 0007117",2016-05-05 00:00:00.000,5,3,1,1,13,2,6,29.03,174.2,11.9,7036,0.99039032585629461
"SO - 0007166",2016-05-16 00:00:00.000,5,3,1,1,13,2,8,405.72,3245.78,271.83,690,0.29217397103129977
"SO - 0007323",2016-06-26 00:00:00.000,5,3,1,1,13,2,9,195.79,1762.1,166.42,1981,0.59905179393425834
"SO - 0007368",2016-07-05 00:00:00.000,5,3,1,1,13,2,5,655.11,3275.56,353.76,685,0.29055544454269644
"SO - 0007417",2016-07-16 00:00:00.000,5,3,1,1,13,2,2,604.49,1208.98,495.68,2918,0.734735979204924
"SO - 0007445",2016-07-24 00:00:00.000,5,3,1,1,13,2,1,654.37,654.37,523.49,4738,0.89757370725901409
"SO - 0007520",2016-08-15 00:00:00.000,5,3,1,1,13,2,4,431.03,1724.13,262.93,2075,0.61499682863396188
"SO - 0007815",2016-10-25 00:00:00.000,5,3,1,1,13,2,8,20.1,160.8,14.07,7112,0.99153623714925021
"SO - 0007826",2016-10-27 00:00:00.000,5,3,1,1,13,2,2,124.32,248.64,78.32,6557,0.98013312409624109
"SO - 0007865",2016-11-02 00:00:00.000,5,3,1,1,13,2,7,321.6,2251.2,263.71,1383,0.47993045503328224
"SO - 0008017",2016-12-11 00:00:00.000,5,3,1,1,13,2,1,203.23,203.23,83.33,6873,0.98716141558374115
"SO - 0008051",2016-12-18 00:00:00.000,5,3,1,1,13,2,4,430.29,1721.16,331.32,2084,0.61653846562133419
"SO - 0008080",2016-12-27 00:00:00.000,5,3,1,1,13,2,5,107.2,536,54.67,5317,0.93210363394450224
"SO - 000139",2012-01-10 00:00:00.000,5,3,1,1,15,2,6,388.6,2331.6,217.62,1317,0.46441958779338388
"SO - 000269",2012-02-10 00:00:00.000,5,3,1,1,12,2,6,93.8,562.8,60.03,5223,0.92705885874104388
"SO - 000333",2012-02-22 00:00:00.000,5,3,1,1,12,2,4,131.77,527.07,105.41,5345,0.93331665911477124
"SO - 000481",2012-04-01 00:00:00.000,5,3,1,1,15,2,7,106.46,745.19,59.62,4410,0.87472764926682112
"SO - 000507",2012-04-05 00:00:00.000,5,3,1,1,12,2,2,664.04,1328.09,385.15,2616,0.69639824500325453
"SO - 000640",2012-05-04 00:00:00.000,5,3,1,1,15,2,3,122.09,366.27,85.46,6074,0.96556342534853046
"SO - 000708",2012-05-20 00:00:00.000,5,3,1,1,12,2,7,26.06,182.39,10.68,6999,0.98959857494966808
"SO - 000813",2012-06-06 00:00:00.000,5,3,1,1,15,2,6,271.72,1630.33,122.28,2226,0.63965845999987281
"SO - 000833",2012-06-09 00:00:00.000,5,3,1,1,15,2,2,127.3,254.6,76.38,6496,0.97856038701217585
"SO - 000840",2012-06-11 00:00:00.000,5,3,1,1,15,2,1,111.67,111.67,88.22,7495,0.996629838728358
"SO - 000983",2012-07-14 00:00:00.000,5,3,1,1,12,2,7,666.28,4663.94,399.77,204,0.11019763015870088
"SO - 0001010",2012-07-22 00:00:00.000,5,3,1,1,15,2,3,119.86,359.57,65.92,6103,0.96660784886834561
"SO - 0001047",2012-07-28 00:00:00.000,5,3,1,1,15,2,6,282.89,1697.33,166.9,2141,0.62657008470972209
"SO - 0001256",2012-09-18 00:00:00.000,5,3,1,1,15,2,3,26.8,80.4,20.64,7733,0.99880787241502278
"SO - 0001464",2012-11-02 00:00:00.000,5,3,1,1,15,2,3,186.86,560.57,132.67,5244,0.92789683191014838
"SO - 0001499",2012-11-08 00:00:00.000,5,3,1,1,12,2,7,26.06,182.39,19.02,6999,0.98959857494966808
"SO - 0001671",2012-12-18 00:00:00.000,5,3,1,1,15,2,9,122.83,1105.5,100.72,3144,0.7613903711083575
"SO - 0001846",2013-01-26 00:00:00.000,5,3,1,1,15,2,7,218.87,1532.07,153.21,2341,0.65785753625038024
"SO - 0001885",2013-02-01 00:00:00.000,5,3,1,1,15,2,6,433.27,2599.6,363.94,1108,0.41264220363483595
"SO - 0001899",2013-02-05 00:00:00.000,5,3,1,1,15,2,7,122.83,859.83,49.13,3885,0.833133380495412
"SO - 0002153",2013-04-02 00:00:00.000,5,3,1,1,12,2,1,118.37,118.37,69.84,7401,0.9953439143105125
"SO - 0002156",2013-04-03 00:00:00.000,5,3,1,1,12,2,3,29.78,89.33,24.72,7682,0.99841510607581085
"SO - 0002238",2013-04-21 00:00:00.000,5,3,1,1,15,2,6,114.64,687.87,60.76,4609,0.88951174105967479
"SO - 0002261",2013-04-27 00:00:00.000,5,3,1,1,12,2,3,26.06,78.17,15.89,7748,0.99888573112000945
"SO - 0002392",2013-05-25 00:00:00.000,5,3,1,1,15,2,2,148.89,297.78,93.8,6305,0.973216923908801
"SO - 0002692",2013-08-06 00:00:00.000,5,3,1,1,15,2,3,143.68,431.03,80.46,5776,0.95374593291157339
"SO - 0002702",2013-08-09 00:00:00.000,5,3,1,1,12,2,5,121.34,606.72,54.61,4948,0.91107661915507732
"SO - 0002713",2013-08-12 00:00:00.000,5,3,1,1,15,2,5,254.6,1273,185.86,2802,0.72127069808753386
"SO - 0002743",2013-08-19 00:00:00.000,5,3,1,1,15,2,6,431.03,2586.2,349.14,1130,0.41857146980736687
"SO - 0002803",2013-08-30 00:00:00.000,5,3,1,1,15,2,2,206.96,413.91,159.36,5856,0.95703202322048253
"SO - 0003123",2013-11-09 00:00:00.000,5,3,1,1,12,2,1,590.34,590.34,454.57,5059,0.9170867183139354
"SO - 0003348",2014-01-04 00:00:00.000,5,3,1,1,12,2,7,98.27,687.87,53.06,4609,0.88951174105967479
"SO - 0003592",2014-02-28 00:00:00.000,5,3,1,1,15,2,9,335.74,3021.7,141.01,821,0.33226868755295308
"SO - 0003656",2014-03-15 00:00:00.000,5,3,1,1,12,2,7,117.62,823.36,47.05,4084,0.84998572524070193
"SO - 0003744",2014-04-05 00:00:00.000,5,3,1,1,12,2,4,408.7,1634.8,273.83,2220,0.63900901984798386
"SO - 0003874",2014-05-03 00:00:00.000,5,3,1,1,12,2,1,610.44,610.44,402.89,4922,0.90938364209584355
"SO - 0003941",2014-05-17 00:00:00.000,5,3,1,1,15,2,8,18.61,148.89,12.28,7163,0.99240190725607025
"SO - 0003970",2014-05-25 00:00:00.000,5,3,1,1,15,2,4,111.67,446.67,68.12,5646,0.94852292471972366
"SO - 0004701",2014-11-01 00:00:00.000,5,3,1,1,15,2,1,426.57,426.57,209.02,5804,0.95481146895303481
"SO - 0004791",2014-11-22 00:00:00.000,5,3,1,1,15,2,3,434.76,1304.27,356.5,2705,0.70882976782244467
"SO - 0004890",2014-12-15 00:00:00.000,5,3,1,1,15,2,9,18.61,167.5,13.59,7079,0.99098383578693749
"SO - 0004938",2014-12-23 00:00:00.000,5,3,1,1,15,2,3,431.03,1293.1,189.65,2744,0.713863208118325
"SO - 0005099",2015-01-28 00:00:00.000,5,3,1,1,15,2,4,657.34,2629.38,361.54,1070,0.40173157047416264
"SO - 0005134",2015-02-06 00:00:00.000,5,3,1,1,15,2,9,106.46,958.1,52.16,3551,0.802585301065395
"SO - 0005259",2015-03-09 00:00:00.000,5,3,1,1,12,2,9,270.98,2438.8,222.2,1258,0.44976113525657962
"SO - 0005353",2015-03-31 00:00:00.000,5,3,1,1,15,2,4,278.42,1113.69,161.48,3122,0.75841044370820676
"SO - 0005538",2015-05-13 00:00:00.000,5,3,1,1,15,2,2,116.88,233.76,58.44,6675,0.98281941360577729
"SO - 0005567",2015-05-22 00:00:00.000,5,3,1,1,12,2,6,112.41,674.47,78.69,4656,0.89235232800612563
"SO - 0005663",2015-06-14 00:00:00.000,5,3,1,1,12,2,1,203.23,203.23,107.71,6873,0.98716141558374115
"SO - 0005734",2015-06-30 00:00:00.000,5,3,1,1,12,2,6,101.99,611.93,52.01,4916,0.9088369514731135
