ISO,Country,REGION,Continent,Population,Growth Rate,Flag,Area (km2),Density
"BEL","Belgium","Europe","Europe",11539328,1.0044,"http://countryflags.azurewebsites.net/src/flag-of-Belgium.png",30528,377.9916
"BLZ","Belize","Americas","Central and South America",390353,1.0186,"http://countryflags.azurewebsites.net/src/flag-of-Belize.png",22966,16.997
"BEN","Benin","Africa","Africa",11801151,1.0273,"http://countryflags.azurewebsites.net/src/flag-of-Benin.png",112622,104.7855
"BTN","Bhutan","Middle east","Middle east",763092,1.0112,"http://countryflags.azurewebsites.net/src/flag-of-Bhutan.png",38394,19.8753
"BOL","Bolivia","Americas","Central and South America",11513100,1.0139,"http://countryflags.azurewebsites.net/src/flag-of-Bolivia.png",1098581,10.48
"BIH","Bosnia and Herzegovina","Europe","Europe",,,"",,
"BWA","Botswana","Africa","Africa",2303697,1.0208,"http://countryflags.azurewebsites.net/src/flag-of-Botswana.png",582000,3.9582
"BRA","Brazil","Americas","Central and South America",211049527,1.0072,"http://countryflags.azurewebsites.net/src/flag-of-Brazil.png",8515767,24.7834
"BRN","Brunei","Middle east","Middle east",433285,1.0097,"http://countryflags.azurewebsites.net/src/flag-of-Brunei.png",5765,75.1578
"BGR","Bulgaria","Europe","Europe",7000119,0.9926,"http://countryflags.azurewebsites.net/src/flag-of-Bulgaria.png",110879,63.133
"BDI","Burundi","Africa","Africa",11530580,1.0312,"http://countryflags.azurewebsites.net/src/flag-of-Burundi.png",27834,414.2624
"BFA","Burkina Faso","Africa","Africa",,,"",,
"KHM","Cambodia","Asia","Asia",16486542,1.0141,"http://countryflags.azurewebsites.net/src/flag-of-Cambodia.png",181035,91.0683
"CMR","Cameroon","Africa","Africa",25876380,1.0259,"http://countryflags.azurewebsites.net/src/flag-of-Cameroon.png",475442,54.4259
"CIV","C̫te d'Ivoire","Africa","Africa",,,"",,
"CAN","Canada","Americas","North America",37411047,1.0089,"http://countryflags.azurewebsites.net/src/flag-of-Canada.png",9984670,3.7468
"TCD","Chad","Africa","Africa",15946876,1.03,"http://countryflags.azurewebsites.net/src/flag-of-Chad.png",1284000,12.4197
"CHL","Chile","Americas","Central and South America",18952038,1.0087,"http://countryflags.azurewebsites.net/src/flag-of-Chile.png",756102,25.0655
"CHN","China","Asia","Asia",1433783686,1.0039,"http://countryflags.azurewebsites.net/src/flag-of-China.png",9706961,147.7068
"CPV","Cape Verde","Africa","Africa",,,"",,
"COL","Colombia","Americas","Central and South America",50339443,1.0108,"http://countryflags.azurewebsites.net/src/flag-of-Colombia.png",1141748,44.0898
"CAF","CAR","Africa","Africa",,,"",,
"COM","Comoros","Africa","Africa",850886,1.022,"http://countryflags.azurewebsites.net/src/flag-of-Comoros.png",1862,456.9742
"HRV","Croatia","Europe","Europe",4130304,0.9939,"http://countryflags.azurewebsites.net/src/flag-of-Croatia.png",56594,72.9813
"CUB","Cuba","Americas","Central and South America",11333483,0.9994,"http://countryflags.azurewebsites.net/src/flag-of-Cuba.png",109884,103.1404
"CYP","Cyprus","Europe","Europe",1198575,1.0073,"http://countryflags.azurewebsites.net/src/flag-of-Cyprus.png",9251,129.5617
"DNK","Denmark","Europe","Europe",5771876,1.0035,"http://countryflags.azurewebsites.net/src/flag-of-Denmark.png",43094,133.9369
"DJI","Djibouti","Africa","Africa",973560,1.0148,"http://countryflags.azurewebsites.net/src/flag-of-Djibouti.png",23200,41.9638
"COG","Congo","Africa","Africa",5380508,1.0256,"http://countryflags.azurewebsites.net/src/flag-of-Congo.png",342000,15.7325
"DMA","Dominica","Americas","Central and South America",71808,1.0025,"http://countryflags.azurewebsites.net/src/flag-of-Dominica.png",751,95.6165
"CRI","Costa Rica","Americas","Central and South America",,,"",,
"ECU","Ecuador","Americas","Central and South America",17373662,1.0155,"http://countryflags.azurewebsites.net/src/flag-of-Ecuador.png",276841,62.7568
"EGY","Egypt","Africa","Africa",100388073,1.0194,"http://countryflags.azurewebsites.net/src/flag-of-Egypt.png",1002450,100.1427
"ERI","Eritrea","Africa","Africa",3497117,1.0141,"http://countryflags.azurewebsites.net/src/flag-of-Eritrea.png",117600,29.7374
"EST","Estonia","Europe","Europe",1325648,1.0007,"http://countryflags.azurewebsites.net/src/flag-of-Estonia.png",45227,29.311
"CZE","Czech Republic","Europe","Europe",10689209,1.0018,"http://countryflags.azurewebsites.net/src/flag-of-Czech-Republic.png",78865,135.5381
"ETH","Ethiopia","Africa","Africa",112078730,1.0257,"http://countryflags.azurewebsites.net/src/flag-of-Ethiopia.png",1104300,101.493
"FJI","Fiji","Pacific","Pacific",889953,1.0073,"http://countryflags.azurewebsites.net/src/flag-of-Fiji.png",18272,48.7058
"FIN","Finland","Europe","Europe",5532156,1.0015,"http://countryflags.azurewebsites.net/src/flag-of-Finland.png",338424,16.3468
"FRA","France","Europe","Europe",65129728,1.0022,"http://countryflags.azurewebsites.net/src/flag-of-France.png",551695,118.0539
"DOM","Dominican Republic","Americas","Central and South America",10738958,1.0101,"http://countryflags.azurewebsites.net/src/flag-of-Dominican-Republic.png",48671,220.6439
"GAB","Gabon","Africa","Africa",2172579,1.0245,"http://countryflags.azurewebsites.net/src/flag-of-Gabon.png",267668,8.1167
"PRK","DPRK","Asia","Asia",,,"",,
"GMB","Gambia","Africa","Africa",2347706,1.0294,"http://countryflags.azurewebsites.net/src/flag-of-Gambia.png",10689,219.6376
"COD","DRC","Africa","Africa",86790567,1.0319,"http://countryflags.azurewebsites.net/src/flag-of-Congo-Democratic-Republic-of.png",2344858,37.0131
"GEO","Georgia","Europe","Europe",3996765,0.9981,"http://countryflags.azurewebsites.net/src/flag-of-Georgia.png",69700,57.3424
"DEU","Germany","Europe","Europe",83517045,1.0032,"http://countryflags.azurewebsites.net/src/flag-of-Germany.png",357114,233.8666
"GHA","Ghana","Africa","Africa",30417856,1.0215,"http://countryflags.azurewebsites.net/src/flag-of-Ghana.png",238533,127.5205
"SLV","El Salvador","Americas","Central and South America",,,"",,
"GRC","Greece","Europe","Europe",10473455,0.9952,"http://countryflags.azurewebsites.net/src/flag-of-Greece.png",131990,79.3504
"GNQ","Equatorial Guinea","Africa","Africa",,,"",,
"GRD","Grenada","Americas","Central and South America",112003,1.0046,"http://countryflags.azurewebsites.net/src/flag-of-Grenada.png",344,325.5901
"GTM","Guatemala","Americas","Central and South America",17581472,1.019,"http://countryflags.azurewebsites.net/src/flag-of-Guatemala.png",108889,161.4623
"GNB","Guinea-Bissau","Africa","Africa",1920922,1.0245,"http://countryflags.azurewebsites.net/src/flag-of-Guinea-Bissau.png",36125,53.1743
"SWZ","Eswatini","Africa","Africa",,,"",,
"GIN","Guinea","Africa","Africa",12771246,1.0283,"http://countryflags.azurewebsites.net/src/flag-of-Guinea.png",245857,51.9458
"GUY","Guyana","Americas","Central and South America",782766,1.0048,"http://countryflags.azurewebsites.net/src/flag-of-Guyana.png",214969,3.6413
"HTI","Haiti","Americas","Central and South America",11263077,1.0124,"http://countryflags.azurewebsites.net/src/flag-of-Haiti.png",27750,405.8766
"HND","Honduras","Americas","Central and South America",9746117,1.0163,"http://countryflags.azurewebsites.net/src/flag-of-Honduras.png",112492,86.6383
"HUN","Hungary","Europe","Europe",9684679,0.9975,"http://countryflags.azurewebsites.net/src/flag-of-Hungary.png",93028,104.105
"ISL","Iceland","Europe","Europe",339031,1.0065,"http://countryflags.azurewebsites.net/src/flag-of-Iceland.png",103000,3.2916
"IND","India","Asia","Asia",1366417754,1.0099,"http://countryflags.azurewebsites.net/src/flag-of-India.png",3287590,415.629
"IDN","Indonesia","Asia","Asia",270625568,1.0107,"http://countryflags.azurewebsites.net/src/flag-of-Indonesia.png",1904569,142.0928
"IRN","Iran","Middle east","Middle east",82913906,1.013,"http://countryflags.azurewebsites.net/src/flag-of-Iran.png",1648195,50.3059
"IRQ","Iraq","Middle east","Middle east",39309783,1.0232,"http://countryflags.azurewebsites.net/src/flag-of-Iraq.png",438317,89.6835
"IRL","Ireland","Europe","Europe",4882495,1.0113,"http://countryflags.azurewebsites.net/src/flag-of-Ireland.png",70273,69.479
"ISR","Israel","Middle east","Middle east",8519377,1.016,"http://countryflags.azurewebsites.net/src/flag-of-Israel.png",20770,410.177
"ITA","Italy","Europe","Europe",60550075,0.9985,"http://countryflags.azurewebsites.net/src/flag-of-Italy.png",301336,200.9387
"JAM","Jamaica","Americas","Central and South America",2948279,1.0044,"http://countryflags.azurewebsites.net/src/flag-of-Jamaica.png",10991,268.2448
"JPN","Japan","Asia","Asia",126860301,0.997,"http://countryflags.azurewebsites.net/src/flag-of-Japan.png",377930,335.6714
"JOR","Jordan","Middle east","Middle east",10101694,1.01,"http://countryflags.azurewebsites.net/src/flag-of-Jordan.png",89342,113.0677
"KAZ","Kazakhstan","Asia","Asia",18551427,1.0121,"http://countryflags.azurewebsites.net/src/flag-of-Kazakhstan.png",2724900,6.8081
"KEN","Kenya","Africa","Africa",52573973,1.0228,"http://countryflags.azurewebsites.net/src/flag-of-Kenya.png",580367,90.5875
"HKG","Hong Kong","Asia","Asia",,,"",,
"KIR","Kiribati","Pacific","Pacific",117606,1.0157,"http://countryflags.azurewebsites.net/src/flag-of-Kiribati.png",811,145.0136
"KWT","Kuwait","Middle east","Middle east",4207083,1.0151,"http://countryflags.azurewebsites.net/src/flag-of-Kuwait.png",17818,236.1142
"KGZ","Kyrgyzstan","Asia","Asia",6415850,1.0169,"http://countryflags.azurewebsites.net/src/flag-of-Kyrgyzstan.png",199951,32.0871
"LAO","Laos","Asia","Asia",7169455,1.0148,"http://countryflags.azurewebsites.net/src/flag-of-Laos.png",236800,30.2764
"LVA","Latvia","Europe","Europe",1906743,0.9892,"http://countryflags.azurewebsites.net/src/flag-of-Latvia.png",64559,29.5349
"LBN","Lebanon","Middle east","Middle east",6855713,0.9956,"http://countryflags.azurewebsites.net/src/flag-of-Lebanon.png",10452,655.9236
"LSO","Lesotho","Africa","Africa",2125268,1.008,"http://countryflags.azurewebsites.net/src/flag-of-Lesotho.png",30355,70.0138
"LBR","Liberia","Africa","Africa",4937374,1.0244,"http://countryflags.azurewebsites.net/src/flag-of-Liberia.png",111369,44.3335
"LBY","Libya","Africa","Africa",6777452,1.0138,"http://countryflags.azurewebsites.net/src/flag-of-Libya.png",1759540,3.8518
"LIE","Liechtenstein","Europe","Europe",38019,1.0029,"http://countryflags.azurewebsites.net/src/flag-of-Liechtenstein.png",160,237.6188
"LTU","Lithuania","Europe","Europe",2759627,0.9865,"http://countryflags.azurewebsites.net/src/flag-of-Lithuania.png",65300,42.2608
"LUX","Luxembourg","Europe","Europe",615729,1.0166,"http://countryflags.azurewebsites.net/src/flag-of-Luxembourg.png",2586,238.1009
"MDG","Madagascar","Africa","Africa",26969307,1.0268,"http://countryflags.azurewebsites.net/src/flag-of-Madagascar.png",587041,45.9411
"MWI","Malawi","Africa","Africa",18628747,1.0269,"http://countryflags.azurewebsites.net/src/flag-of-Malawi.png",118484,157.2258
"MYS","Malaysia","Asia","Asia",31949777,1.013,"http://countryflags.azurewebsites.net/src/flag-of-Malaysia.png",330803,96.5825
"MDV","Maldives","Asia","Asia",530953,1.0181,"http://countryflags.azurewebsites.net/src/flag-of-Maldives.png",300,1769.8433
"KOR","Korea, Republic of","Asia","Asia",,,"",,
"MLI","Mali","Africa","Africa",19658031,1.0302,"http://countryflags.azurewebsites.net/src/flag-of-Mali.png",1240192,15.8508
"MLT","Malta","Europe","Europe",440372,1.0027,"http://countryflags.azurewebsites.net/src/flag-of-Malta.png",316,1393.5823
"MRT","Mauritania","Africa","Africa",4525696,1.0274,"http://countryflags.azurewebsites.net/src/flag-of-Mauritania.png",1030700,4.3909
"MUS","Mauritius","Africa","Africa",1269668,1.0017,"http://countryflags.azurewebsites.net/src/flag-of-Mauritius.png",2040,622.3863
"MEX","Mexico","Americas","Central and South America",127575529,1.0106,"http://countryflags.azurewebsites.net/src/flag-of-Mexico.png",1964375,64.9446
"FSM","Micronesia","Pacific","Pacific",113815,1.0106,"http://countryflags.azurewebsites.net/src/flag-of-Micronesia.png",702,162.1296
"MDA","Moldova","Europe","Europe",4043263,0.9977,"http://countryflags.azurewebsites.net/src/flag-of-Moldova.png",33846,119.4606
"MNG","Mongolia","Asia","Asia",3225167,1.0165,"http://countryflags.azurewebsites.net/src/flag-of-Mongolia.png",1564110,2.062
"MNE","Montenegro","Europe","Europe",627987,1.0001,"http://countryflags.azurewebsites.net/src/flag-of-Montenegro.png",13812,45.4668
"MAR","Morocco","Africa","Africa",36471769,1.012,"http://countryflags.azurewebsites.net/src/flag-of-Morocco.png",446550,81.6745
"MOZ","Mozambique","Africa","Africa",30366036,1.0293,"http://countryflags.azurewebsites.net/src/flag-of-Mozambique.png",801590,37.8823
"MKD","Macedonia","Europe","Europe",,,"",,
"MMR","Myanmar","Asia","Asia",54045420,1.0067,"http://countryflags.azurewebsites.net/src/flag-of-Myanmar.png",676578,79.8805
"NAM","Namibia","Africa","Africa",2494530,1.0186,"http://countryflags.azurewebsites.net/src/flag-of-Namibia.png",825615,3.0214
"NRU","Nauru","Pacific","Pacific",10756,1.0063,"http://countryflags.azurewebsites.net/src/flag-of-Nauru.png",21,512.1905
"NPL","Nepal","Asia","Asia",28608710,1.0185,"http://countryflags.azurewebsites.net/src/flag-of-Nepal.png",147181,194.3777
"NLD","Netherlands","Europe","Europe",17097130,1.0022,"http://countryflags.azurewebsites.net/src/flag-of-Netherlands.png",41850,408.5336
"NIC","Nicaragua","Americas","Central and South America",6545502,1.0121,"http://countryflags.azurewebsites.net/src/flag-of-Nicaragua.png",130373,50.206
"NER","Niger","Africa","Africa",23310715,1.0384,"http://countryflags.azurewebsites.net/src/flag-of-Niger.png",1267000,18.3984
"MHL","Marshall Islands","Pacific","Pacific",,,"",,
"NGA","Nigeria","Africa","Africa",200963599,1.0258,"http://countryflags.azurewebsites.net/src/flag-of-Nigeria.png",923768,217.5477
"NOR","Norway","Europe","Europe",5378857,1.0079,"http://countryflags.azurewebsites.net/src/flag-of-Norway.png",323802,16.6116
"OMN","Oman","Middle east","Middle east",4974986,1.0265,"http://countryflags.azurewebsites.net/src/flag-of-Oman.png",309500,16.0743
"PAK","Pakistan","Asia","Asia",216565318,1.02,"http://countryflags.azurewebsites.net/src/flag-of-Pakistan.png",881912,245.5634
"PLW","Palau","Pacific","Pacific",18008,1.0048,"http://countryflags.azurewebsites.net/src/flag-of-Palau.png",459,39.2331
"PSE","Palestine","Middle east","Middle east",4981420,1.0241,"http://countryflags.azurewebsites.net/src/flag-of-Palestine.png",6220,800.8714
"PAN","Panama","Americas","Central and South America",4246439,1.0161,"http://countryflags.azurewebsites.net/src/flag-of-Panama.png",75417,56.3061
"PRY","Paraguay","Americas","Central and South America",7044636,1.0125,"http://countryflags.azurewebsites.net/src/flag-of-Paraguay.png",406752,17.3192
"PER","Peru","Americas","Central and South America",32510453,1.0142,"http://countryflags.azurewebsites.net/src/flag-of-Peru.png",1285216,25.2957
"PHL","Philippines","Asia","Asia",108116615,1.0135,"http://countryflags.azurewebsites.net/src/flag-of-Philippines.png",342353,315.8045
"POL","Poland","Europe","Europe",37887768,0.9989,"http://countryflags.azurewebsites.net/src/flag-of-Poland.png",312679,121.1715
"PRT","Portugal","Europe","Europe",10226187,0.9971,"http://countryflags.azurewebsites.net/src/flag-of-Portugal.png",92090,111.0456
"QAT","Qatar","Middle east","Middle east",2832067,1.0173,"http://countryflags.azurewebsites.net/src/flag-of-Qatar.png",11586,244.4387
"ROU","Romania","Europe","Europe",19364557,0.9934,"http://countryflags.azurewebsites.net/src/flag-of-Romania.png",238391,81.2302
"RUS","Russia","Europe","Europe",145872256,1.0004,"http://countryflags.azurewebsites.net/src/flag-of-Russia.png",17098242,8.5314
"NZL","New Zealand","Pacific","Pacific",,,"",,
"RWA","Rwanda","Africa","Africa",12626950,1.0258,"http://countryflags.azurewebsites.net/src/flag-of-Rwanda.png",26338,479.4195
"WSM","Samoa","Pacific","Pacific",197097,1.0067,"http://countryflags.azurewebsites.net/src/flag-of-Samoa.png",2842,69.3515
"SEN","Senegal","Africa","Africa",16296364,1.0275,"http://countryflags.azurewebsites.net/src/flag-of-Senegal.png",196722,82.8396
"SRB","Serbia","Europe","Europe",8772235,0.996,"http://countryflags.azurewebsites.net/src/flag-of-Serbia.png",88361,99.2772
"SYC","Seychelles","Africa","Africa",97739,1.0062,"http://countryflags.azurewebsites.net/src/flag-of-Seychelles.png",452,216.2367
"SGP","Singapore","Asia","Asia",5804337,1.0079,"http://countryflags.azurewebsites.net/src/flag-of-Singapore.png",710,8175.1225
"SVK","Slovakia","Europe","Europe",5457013,1.0005,"http://countryflags.azurewebsites.net/src/flag-of-Slovakia.png",49037,111.2836
"SVN","Slovenia","Europe","Europe",2078654,1.0001,"http://countryflags.azurewebsites.net/src/flag-of-Slovenia.png",20273,102.5331
"SOM","Somalia","Africa","Africa",15442905,1.0292,"http://countryflags.azurewebsites.net/src/flag-of-Somalia.png",637657,24.2182
"ESP","Spain","Europe","Europe",46736776,1.0004,"http://countryflags.azurewebsites.net/src/flag-of-Spain.png",505992,92.3666
"PNG","Papua New Guinea","Pacific","Pacific",,,"",,
"SDN","Sudan","Africa","Africa",42813238,1.0242,"http://countryflags.azurewebsites.net/src/flag-of-Sudan.png",1886068,22.6997
"SUR","Suriname","Americas","Central and South America",581372,1.009,"http://countryflags.azurewebsites.net/src/flag-of-Suriname.png",163820,3.5488
"SWE","Sweden","Europe","Europe",10036379,1.0063,"http://countryflags.azurewebsites.net/src/flag-of-Sweden.png",450295,22.2885
"CHE","Switzerland","Europe","Europe",8591365,1.0074,"http://countryflags.azurewebsites.net/src/flag-of-Switzerland.png",41284,208.104
"SYR","Syria","Middle east","Middle east",17070135,1.0252,"http://countryflags.azurewebsites.net/src/flag-of-Syria.png",185180,92.1813
"TJK","Tajikistan","Asia","Asia",9321018,1.0232,"http://countryflags.azurewebsites.net/src/flag-of-Tajikistan.png",143100,65.1364
"TZA","Tanzania","Africa","Africa",58005463,1.0298,"http://countryflags.azurewebsites.net/src/flag-of-Tanzania.png",945087,61.3758
"SMR","San Marino","Europe","Europe",,,"",,
"STP","Sao Tome and Principe","Africa","Africa",,,"",,
"SAU","Saudi Arabia","Middle east","Middle east",,,"",,
"SLE","Sierra Leone","Africa","Africa",,,"",,
"SLB","Solomon Islands","Pacific","Pacific",,,"",,
"ZAF","South Africa","Africa","Africa",58558270,1.0128,"http://countryflags.azurewebsites.net/src/flag-of-South-Africa.png",1221037,47.9578
"SSD","South Sudan","Africa","Africa",11062113,1.0119,"http://countryflags.azurewebsites.net/src/flag-of-South-Sudan.png",619745,17.8495
"LKA","Sri Lanka","Asia","Asia",,,"",,
"KNA","St. Kitts and Nevis","Americas","Central and South America",,,"",,
"LCA","St. Lucia","Americas","Central and South America",,,"",,
"VCT","St. Vincent and the Grenadines","Americas","Central and South America",,,"",,
"THA","Thailand","Asia","Asia",69625582,1.0025,"http://countryflags.azurewebsites.net/src/flag-of-Thailand.png",513120,135.6906
"TLS","Timor Leste","Asia","Asia",1293119,1.0196,"http://countryflags.azurewebsites.net/src/flag-of-Timor-Leste.png",14874,86.9382
"TGO","Togo","Africa","Africa",8082366,1.0243,"http://countryflags.azurewebsites.net/src/flag-of-Togo.png",56785,142.3328
"TON","Tonga","Pacific","Pacific",104494,1.0115,"http://countryflags.azurewebsites.net/src/flag-of-Tonga.png",747,139.8849
"TTO","Trinidad and Tobago","Americas","Central and South America",1394973,1.0032,"http://countryflags.azurewebsites.net/src/flag-of-Trinidad-and-Tobago.png",5130,271.9246
"TUN","Tunisia","Africa","Africa",11694719,1.0106,"http://countryflags.azurewebsites.net/src/flag-of-Tunisia.png",163610,71.4792
"TUR","Turkey","Middle east","Middle east",83429615,1.0109,"http://countryflags.azurewebsites.net/src/flag-of-Turkey.png",783562,106.4748
"TKM","Turkmenistan","Asia","Asia",5942089,1.015,"http://countryflags.azurewebsites.net/src/flag-of-Turkmenistan.png",488100,12.1739
"TUV","Tuvalu","Pacific","Pacific",11646,1.0125,"http://countryflags.azurewebsites.net/src/flag-of-Tuvalu.png",26,447.9231
"UGA","Uganda","Africa","Africa",44269594,1.0332,"http://countryflags.azurewebsites.net/src/flag-of-Uganda.png",241550,183.273
"UKR","Ukraine","Europe","Europe",43993638,0.9941,"http://countryflags.azurewebsites.net/src/flag-of-Ukraine.png",603500,72.8975
"ARE","United Arab Emirates","Middle east","Middle east",9770529,1.0123,"http://countryflags.azurewebsites.net/src/flag-of-United-Arab-Emirates.png",83600,116.8724
"GBR","United Kingdom","Europe","Europe",67530172,1.0053,"http://countryflags.azurewebsites.net/src/flag-of-United-Kingdom.png",242900,278.0164
"USA","United States","Americas","North America",329064917,1.0059,"http://countryflags.azurewebsites.net/src/flag-of-United-States-of-America.png",9372610,35.1092
"URY","Uruguay","Americas","Central and South America",3461734,1.0035,"http://countryflags.azurewebsites.net/src/flag-of-Uruguay.png",181034,19.122
"UZB","Uzbekistan","Asia","Asia",32981716,1.0148,"http://countryflags.azurewebsites.net/src/flag-of-Uzbekistan.png",447400,73.7186
"VUT","Vanuatu","Pacific","Pacific",299882,1.0242,"http://countryflags.azurewebsites.net/src/flag-of-Vanuatu.png",12189,24.6027
"VEN","Venezuela","Americas","Central and South America",28515829,0.9972,"http://countryflags.azurewebsites.net/src/flag-of-Venezuela.png",916445,31.1157
"VNM","Vietnam","Asia","Asia",96462106,1.0091,"http://countryflags.azurewebsites.net/src/flag-of-Vietnam.png",331212,291.2398
"YEM","Yemen","Middle east","Middle east",29161922,1.0228,"http://countryflags.azurewebsites.net/src/flag-of-Yemen.png",527968,55.2343
"ZMB","Zambia","Africa","Africa",17861030,1.0293,"http://countryflags.azurewebsites.net/src/flag-of-Zambia.png",752612,23.7321
"ZWE","Zimbabwe","Africa","Africa",14645468,1.0148,"http://countryflags.azurewebsites.net/src/flag-of-Zimbabwe.png",390757,37.4797
