Value,Dates
285,2041-09-01 00:00:00.000
286,2041-10-01 00:00:00.000
287,2041-11-01 00:00:00.000
288,2041-12-01 00:00:00.000
289,2042-01-01 00:00:00.000
290,2042-02-01 00:00:00.000
291,2042-03-01 00:00:00.000
292,2042-04-01 00:00:00.000
293,2042-05-01 00:00:00.000
294,2042-06-01 00:00:00.000
295,2042-07-01 00:00:00.000
296,2042-08-01 00:00:00.000
297,2042-09-01 00:00:00.000
298,2042-10-01 00:00:00.000
299,2042-11-01 00:00:00.000
300,2042-12-01 00:00:00.000
301,2043-01-01 00:00:00.000
302,2043-02-01 00:00:00.000
303,2043-03-01 00:00:00.000
304,2043-04-01 00:00:00.000
305,2043-05-01 00:00:00.000
306,2043-06-01 00:00:00.000
307,2043-07-01 00:00:00.000
308,2043-08-01 00:00:00.000
309,2043-09-01 00:00:00.000
310,2043-10-01 00:00:00.000
311,2043-11-01 00:00:00.000
312,2043-12-01 00:00:00.000
313,2044-01-01 00:00:00.000
314,2044-02-01 00:00:00.000
315,2044-03-01 00:00:00.000
316,2044-04-01 00:00:00.000
317,2044-05-01 00:00:00.000
318,2044-06-01 00:00:00.000
319,2044-07-01 00:00:00.000
320,2044-08-01 00:00:00.000
321,2044-09-01 00:00:00.000
322,2044-10-01 00:00:00.000
323,2044-11-01 00:00:00.000
324,2044-12-01 00:00:00.000
325,2045-01-01 00:00:00.000
326,2045-02-01 00:00:00.000
327,2045-03-01 00:00:00.000
328,2045-04-01 00:00:00.000
329,2045-05-01 00:00:00.000
330,2045-06-01 00:00:00.000
331,2045-07-01 00:00:00.000
332,2045-08-01 00:00:00.000
333,2045-09-01 00:00:00.000
334,2045-10-01 00:00:00.000
335,2045-11-01 00:00:00.000
336,2045-12-01 00:00:00.000
337,2046-01-01 00:00:00.000
338,2046-02-01 00:00:00.000
339,2046-03-01 00:00:00.000
340,2046-04-01 00:00:00.000
341,2046-05-01 00:00:00.000
342,2046-06-01 00:00:00.000
343,2046-07-01 00:00:00.000
344,2046-08-01 00:00:00.000
345,2046-09-01 00:00:00.000
346,2046-10-01 00:00:00.000
347,2046-11-01 00:00:00.000
348,2046-12-01 00:00:00.000
349,2047-01-01 00:00:00.000
350,2047-02-01 00:00:00.000
351,2047-03-01 00:00:00.000
352,2047-04-01 00:00:00.000
353,2047-05-01 00:00:00.000
354,2047-06-01 00:00:00.000
355,2047-07-01 00:00:00.000
356,2047-08-01 00:00:00.000
357,2047-09-01 00:00:00.000
358,2047-10-01 00:00:00.000
359,2047-11-01 00:00:00.000
360,2047-12-01 00:00:00.000
361,2048-01-01 00:00:00.000
362,2048-02-01 00:00:00.000
363,2048-03-01 00:00:00.000
364,2048-04-01 00:00:00.000
365,2048-05-01 00:00:00.000
366,2048-06-01 00:00:00.000
367,2048-07-01 00:00:00.000
368,2048-08-01 00:00:00.000
369,2048-09-01 00:00:00.000
370,2048-10-01 00:00:00.000
371,2048-11-01 00:00:00.000
372,2048-12-01 00:00:00.000
373,2049-01-01 00:00:00.000
374,2049-02-01 00:00:00.000
375,2049-03-01 00:00:00.000
376,2049-04-01 00:00:00.000
377,2049-05-01 00:00:00.000
378,2049-06-01 00:00:00.000
379,2049-07-01 00:00:00.000
380,2049-08-01 00:00:00.000
381,2049-09-01 00:00:00.000
382,2049-10-01 00:00:00.000
383,2049-11-01 00:00:00.000
384,2049-12-01 00:00:00.000
385,2050-01-01 00:00:00.000
386,2050-02-01 00:00:00.000
387,2050-03-01 00:00:00.000
388,2050-04-01 00:00:00.000
389,2050-05-01 00:00:00.000
390,2050-06-01 00:00:00.000
391,2050-07-01 00:00:00.000
392,2050-08-01 00:00:00.000
393,2050-09-01 00:00:00.000
394,2050-10-01 00:00:00.000
395,2050-11-01 00:00:00.000
396,2050-12-01 00:00:00.000
397,2051-01-01 00:00:00.000
398,2051-02-01 00:00:00.000
399,2051-03-01 00:00:00.000
400,2051-04-01 00:00:00.000
