Date,DateAsInteger,Year,Year Month Number,Month Name Short,Month Name Long,DayOfWeek Number,DayOfWeek,DayOfWeek Short,Quarter,Year Quarter,Period,Year Month Name,Month Name Year,Month Number,Month Name Long and Year,Month Sequence
2019-07-14 00:00:00.000,"20190714",2019,"2019-07","JUL","July",1,"Sunday","Sun","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-15 00:00:00.000,"20190715",2019,"2019-07","JUL","July",2,"Monday","Mon","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-16 00:00:00.000,"20190716",2019,"2019-07","JUL","July",3,"Tuesday","Tue","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-17 00:00:00.000,"20190717",2019,"2019-07","JUL","July",4,"Wednesday","Wed","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-18 00:00:00.000,"20190718",2019,"2019-07","JUL","July",5,"Thursday","Thu","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-19 00:00:00.000,"20190719",2019,"2019-07","JUL","July",6,"Friday","Fri","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-20 00:00:00.000,"20190720",2019,"2019-07","JUL","July",7,"Saturday","Sat","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-21 00:00:00.000,"20190721",2019,"2019-07","JUL","July",1,"Sunday","Sun","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-22 00:00:00.000,"20190722",2019,"2019-07","JUL","July",2,"Monday","Mon","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-23 00:00:00.000,"20190723",2019,"2019-07","JUL","July",3,"Tuesday","Tue","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-24 00:00:00.000,"20190724",2019,"2019-07","JUL","July",4,"Wednesday","Wed","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-25 00:00:00.000,"20190725",2019,"2019-07","JUL","July",5,"Thursday","Thu","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-26 00:00:00.000,"20190726",2019,"2019-07","JUL","July",6,"Friday","Fri","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-27 00:00:00.000,"20190727",2019,"2019-07","JUL","July",7,"Saturday","Sat","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-28 00:00:00.000,"20190728",2019,"2019-07","JUL","July",1,"Sunday","Sun","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-29 00:00:00.000,"20190729",2019,"2019-07","JUL","July",2,"Monday","Mon","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-30 00:00:00.000,"20190730",2019,"2019-07","JUL","July",3,"Tuesday","Tue","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-31 00:00:00.000,"20190731",2019,"2019-07","JUL","July",4,"Wednesday","Wed","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-08-01 00:00:00.000,"20190801",2019,"2019-08","AUG","August",5,"Thursday","Thu","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-02 00:00:00.000,"20190802",2019,"2019-08","AUG","August",6,"Friday","Fri","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-03 00:00:00.000,"20190803",2019,"2019-08","AUG","August",7,"Saturday","Sat","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-04 00:00:00.000,"20190804",2019,"2019-08","AUG","August",1,"Sunday","Sun","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-05 00:00:00.000,"20190805",2019,"2019-08","AUG","August",2,"Monday","Mon","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-06 00:00:00.000,"20190806",2019,"2019-08","AUG","August",3,"Tuesday","Tue","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-07 00:00:00.000,"20190807",2019,"2019-08","AUG","August",4,"Wednesday","Wed","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-08 00:00:00.000,"20190808",2019,"2019-08","AUG","August",5,"Thursday","Thu","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-09 00:00:00.000,"20190809",2019,"2019-08","AUG","August",6,"Friday","Fri","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-10 00:00:00.000,"20190810",2019,"2019-08","AUG","August",7,"Saturday","Sat","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-11 00:00:00.000,"20190811",2019,"2019-08","AUG","August",1,"Sunday","Sun","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-12 00:00:00.000,"20190812",2019,"2019-08","AUG","August",2,"Monday","Mon","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-13 00:00:00.000,"20190813",2019,"2019-08","AUG","August",3,"Tuesday","Tue","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-14 00:00:00.000,"20190814",2019,"2019-08","AUG","August",4,"Wednesday","Wed","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-15 00:00:00.000,"20190815",2019,"2019-08","AUG","August",5,"Thursday","Thu","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-16 00:00:00.000,"20190816",2019,"2019-08","AUG","August",6,"Friday","Fri","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-17 00:00:00.000,"20190817",2019,"2019-08","AUG","August",7,"Saturday","Sat","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-18 00:00:00.000,"20190818",2019,"2019-08","AUG","August",1,"Sunday","Sun","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-19 00:00:00.000,"20190819",2019,"2019-08","AUG","August",2,"Monday","Mon","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-20 00:00:00.000,"20190820",2019,"2019-08","AUG","August",3,"Tuesday","Tue","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-21 00:00:00.000,"20190821",2019,"2019-08","AUG","August",4,"Wednesday","Wed","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-22 00:00:00.000,"20190822",2019,"2019-08","AUG","August",5,"Thursday","Thu","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-23 00:00:00.000,"20190823",2019,"2019-08","AUG","August",6,"Friday","Fri","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-24 00:00:00.000,"20190824",2019,"2019-08","AUG","August",7,"Saturday","Sat","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-25 00:00:00.000,"20190825",2019,"2019-08","AUG","August",1,"Sunday","Sun","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-26 00:00:00.000,"20190826",2019,"2019-08","AUG","August",2,"Monday","Mon","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-27 00:00:00.000,"20190827",2019,"2019-08","AUG","August",3,"Tuesday","Tue","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-28 00:00:00.000,"20190828",2019,"2019-08","AUG","August",4,"Wednesday","Wed","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-29 00:00:00.000,"20190829",2019,"2019-08","AUG","August",5,"Thursday","Thu","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-30 00:00:00.000,"20190830",2019,"2019-08","AUG","August",6,"Friday","Fri","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-08-31 00:00:00.000,"20190831",2019,"2019-08","AUG","August",7,"Saturday","Sat","Q3","2019-Q3",8,"2019 AUG","AUG 2019",8,"August 2019",24236
2019-09-01 00:00:00.000,"20190901",2019,"2019-09","SEP","September",1,"Sunday","Sun","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-02 00:00:00.000,"20190902",2019,"2019-09","SEP","September",2,"Monday","Mon","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-03 00:00:00.000,"20190903",2019,"2019-09","SEP","September",3,"Tuesday","Tue","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-04 00:00:00.000,"20190904",2019,"2019-09","SEP","September",4,"Wednesday","Wed","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-05 00:00:00.000,"20190905",2019,"2019-09","SEP","September",5,"Thursday","Thu","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-06 00:00:00.000,"20190906",2019,"2019-09","SEP","September",6,"Friday","Fri","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-07 00:00:00.000,"20190907",2019,"2019-09","SEP","September",7,"Saturday","Sat","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-08 00:00:00.000,"20190908",2019,"2019-09","SEP","September",1,"Sunday","Sun","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-09 00:00:00.000,"20190909",2019,"2019-09","SEP","September",2,"Monday","Mon","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-10 00:00:00.000,"20190910",2019,"2019-09","SEP","September",3,"Tuesday","Tue","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-11 00:00:00.000,"20190911",2019,"2019-09","SEP","September",4,"Wednesday","Wed","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-12 00:00:00.000,"20190912",2019,"2019-09","SEP","September",5,"Thursday","Thu","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-13 00:00:00.000,"20190913",2019,"2019-09","SEP","September",6,"Friday","Fri","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-14 00:00:00.000,"20190914",2019,"2019-09","SEP","September",7,"Saturday","Sat","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-15 00:00:00.000,"20190915",2019,"2019-09","SEP","September",1,"Sunday","Sun","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-16 00:00:00.000,"20190916",2019,"2019-09","SEP","September",2,"Monday","Mon","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-17 00:00:00.000,"20190917",2019,"2019-09","SEP","September",3,"Tuesday","Tue","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-18 00:00:00.000,"20190918",2019,"2019-09","SEP","September",4,"Wednesday","Wed","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-19 00:00:00.000,"20190919",2019,"2019-09","SEP","September",5,"Thursday","Thu","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-20 00:00:00.000,"20190920",2019,"2019-09","SEP","September",6,"Friday","Fri","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-21 00:00:00.000,"20190921",2019,"2019-09","SEP","September",7,"Saturday","Sat","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-22 00:00:00.000,"20190922",2019,"2019-09","SEP","September",1,"Sunday","Sun","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-23 00:00:00.000,"20190923",2019,"2019-09","SEP","September",2,"Monday","Mon","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-24 00:00:00.000,"20190924",2019,"2019-09","SEP","September",3,"Tuesday","Tue","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-25 00:00:00.000,"20190925",2019,"2019-09","SEP","September",4,"Wednesday","Wed","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-26 00:00:00.000,"20190926",2019,"2019-09","SEP","September",5,"Thursday","Thu","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-27 00:00:00.000,"20190927",2019,"2019-09","SEP","September",6,"Friday","Fri","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-28 00:00:00.000,"20190928",2019,"2019-09","SEP","September",7,"Saturday","Sat","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-29 00:00:00.000,"20190929",2019,"2019-09","SEP","September",1,"Sunday","Sun","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2019-09-30 00:00:00.000,"20190930",2019,"2019-09","SEP","September",2,"Monday","Mon","Q3","2019-Q3",9,"2019 SEP","SEP 2019",9,"September 2019",24237
2020-07-01 00:00:00.000,"20200701",2020,"2020-07","JUL","July",4,"Wednesday","Wed","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-02 00:00:00.000,"20200702",2020,"2020-07","JUL","July",5,"Thursday","Thu","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-03 00:00:00.000,"20200703",2020,"2020-07","JUL","July",6,"Friday","Fri","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-04 00:00:00.000,"20200704",2020,"2020-07","JUL","July",7,"Saturday","Sat","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-05 00:00:00.000,"20200705",2020,"2020-07","JUL","July",1,"Sunday","Sun","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-06 00:00:00.000,"20200706",2020,"2020-07","JUL","July",2,"Monday","Mon","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-07 00:00:00.000,"20200707",2020,"2020-07","JUL","July",3,"Tuesday","Tue","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-08 00:00:00.000,"20200708",2020,"2020-07","JUL","July",4,"Wednesday","Wed","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-09 00:00:00.000,"20200709",2020,"2020-07","JUL","July",5,"Thursday","Thu","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-10 00:00:00.000,"20200710",2020,"2020-07","JUL","July",6,"Friday","Fri","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-11 00:00:00.000,"20200711",2020,"2020-07","JUL","July",7,"Saturday","Sat","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-12 00:00:00.000,"20200712",2020,"2020-07","JUL","July",1,"Sunday","Sun","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-13 00:00:00.000,"20200713",2020,"2020-07","JUL","July",2,"Monday","Mon","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-14 00:00:00.000,"20200714",2020,"2020-07","JUL","July",3,"Tuesday","Tue","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-15 00:00:00.000,"20200715",2020,"2020-07","JUL","July",4,"Wednesday","Wed","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-16 00:00:00.000,"20200716",2020,"2020-07","JUL","July",5,"Thursday","Thu","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-17 00:00:00.000,"20200717",2020,"2020-07","JUL","July",6,"Friday","Fri","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-18 00:00:00.000,"20200718",2020,"2020-07","JUL","July",7,"Saturday","Sat","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-19 00:00:00.000,"20200719",2020,"2020-07","JUL","July",1,"Sunday","Sun","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-20 00:00:00.000,"20200720",2020,"2020-07","JUL","July",2,"Monday","Mon","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-21 00:00:00.000,"20200721",2020,"2020-07","JUL","July",3,"Tuesday","Tue","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-22 00:00:00.000,"20200722",2020,"2020-07","JUL","July",4,"Wednesday","Wed","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-23 00:00:00.000,"20200723",2020,"2020-07","JUL","July",5,"Thursday","Thu","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-24 00:00:00.000,"20200724",2020,"2020-07","JUL","July",6,"Friday","Fri","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-25 00:00:00.000,"20200725",2020,"2020-07","JUL","July",7,"Saturday","Sat","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-26 00:00:00.000,"20200726",2020,"2020-07","JUL","July",1,"Sunday","Sun","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-27 00:00:00.000,"20200727",2020,"2020-07","JUL","July",2,"Monday","Mon","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-28 00:00:00.000,"20200728",2020,"2020-07","JUL","July",3,"Tuesday","Tue","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-29 00:00:00.000,"20200729",2020,"2020-07","JUL","July",4,"Wednesday","Wed","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-30 00:00:00.000,"20200730",2020,"2020-07","JUL","July",5,"Thursday","Thu","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-07-31 00:00:00.000,"20200731",2020,"2020-07","JUL","July",6,"Friday","Fri","Q3","2020-Q3",7,"2020 JUL","JUL 2020",7,"July 2020",24247
2020-08-01 00:00:00.000,"20200801",2020,"2020-08","AUG","August",7,"Saturday","Sat","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-02 00:00:00.000,"20200802",2020,"2020-08","AUG","August",1,"Sunday","Sun","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-03 00:00:00.000,"20200803",2020,"2020-08","AUG","August",2,"Monday","Mon","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-04 00:00:00.000,"20200804",2020,"2020-08","AUG","August",3,"Tuesday","Tue","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-05 00:00:00.000,"20200805",2020,"2020-08","AUG","August",4,"Wednesday","Wed","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-06 00:00:00.000,"20200806",2020,"2020-08","AUG","August",5,"Thursday","Thu","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-07 00:00:00.000,"20200807",2020,"2020-08","AUG","August",6,"Friday","Fri","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-08 00:00:00.000,"20200808",2020,"2020-08","AUG","August",7,"Saturday","Sat","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-09 00:00:00.000,"20200809",2020,"2020-08","AUG","August",1,"Sunday","Sun","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-10 00:00:00.000,"20200810",2020,"2020-08","AUG","August",2,"Monday","Mon","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-11 00:00:00.000,"20200811",2020,"2020-08","AUG","August",3,"Tuesday","Tue","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-12 00:00:00.000,"20200812",2020,"2020-08","AUG","August",4,"Wednesday","Wed","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-13 00:00:00.000,"20200813",2020,"2020-08","AUG","August",5,"Thursday","Thu","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-14 00:00:00.000,"20200814",2020,"2020-08","AUG","August",6,"Friday","Fri","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-15 00:00:00.000,"20200815",2020,"2020-08","AUG","August",7,"Saturday","Sat","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-16 00:00:00.000,"20200816",2020,"2020-08","AUG","August",1,"Sunday","Sun","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-17 00:00:00.000,"20200817",2020,"2020-08","AUG","August",2,"Monday","Mon","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-18 00:00:00.000,"20200818",2020,"2020-08","AUG","August",3,"Tuesday","Tue","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-19 00:00:00.000,"20200819",2020,"2020-08","AUG","August",4,"Wednesday","Wed","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-20 00:00:00.000,"20200820",2020,"2020-08","AUG","August",5,"Thursday","Thu","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-21 00:00:00.000,"20200821",2020,"2020-08","AUG","August",6,"Friday","Fri","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-22 00:00:00.000,"20200822",2020,"2020-08","AUG","August",7,"Saturday","Sat","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-23 00:00:00.000,"20200823",2020,"2020-08","AUG","August",1,"Sunday","Sun","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-24 00:00:00.000,"20200824",2020,"2020-08","AUG","August",2,"Monday","Mon","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-25 00:00:00.000,"20200825",2020,"2020-08","AUG","August",3,"Tuesday","Tue","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-26 00:00:00.000,"20200826",2020,"2020-08","AUG","August",4,"Wednesday","Wed","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-27 00:00:00.000,"20200827",2020,"2020-08","AUG","August",5,"Thursday","Thu","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-28 00:00:00.000,"20200828",2020,"2020-08","AUG","August",6,"Friday","Fri","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-29 00:00:00.000,"20200829",2020,"2020-08","AUG","August",7,"Saturday","Sat","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-30 00:00:00.000,"20200830",2020,"2020-08","AUG","August",1,"Sunday","Sun","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-08-31 00:00:00.000,"20200831",2020,"2020-08","AUG","August",2,"Monday","Mon","Q3","2020-Q3",8,"2020 AUG","AUG 2020",8,"August 2020",24248
2020-09-01 00:00:00.000,"20200901",2020,"2020-09","SEP","September",3,"Tuesday","Tue","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
2020-09-02 00:00:00.000,"20200902",2020,"2020-09","SEP","September",4,"Wednesday","Wed","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
2020-09-03 00:00:00.000,"20200903",2020,"2020-09","SEP","September",5,"Thursday","Thu","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
2020-09-04 00:00:00.000,"20200904",2020,"2020-09","SEP","September",6,"Friday","Fri","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
2020-09-05 00:00:00.000,"20200905",2020,"2020-09","SEP","September",7,"Saturday","Sat","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
2020-09-06 00:00:00.000,"20200906",2020,"2020-09","SEP","September",1,"Sunday","Sun","Q3","2020-Q3",9,"2020 SEP","SEP 2020",9,"September 2020",24249
