Date,Quantity,Product,No change Date,Days No Change
2020-02-10 00:00:00.000,10,A,2020-01-01 00:00:00.000,40.0
2020-03-12 00:00:00.000,12,B,2020-01-03 00:00:00.000,69.0
2020-03-12 00:00:00.000,15,B,2020-01-11 00:00:00.000,61.0
2020-02-01 00:00:00.000,14,B,2020-01-02 00:00:00.000,30.0
2020-03-15 00:00:00.000,12,B,2020-01-03 00:00:00.000,72.0
2020-01-17 00:00:00.000,14,B,2020-01-02 00:00:00.000,15.0
2020-03-22 00:00:00.000,25,B,2020-03-19 00:00:00.000,3.0
2020-01-04 00:00:00.000,14,A,,
2020-02-29 00:00:00.000,12,A,2020-01-03 00:00:00.000,57.0
2020-03-07 00:00:00.000,14,A,2020-01-04 00:00:00.000,63.0
2020-03-13 00:00:00.000,16,C,2020-03-09 00:00:00.000,4.0
2020-01-16 00:00:00.000,10,A,2020-01-01 00:00:00.000,15.0
2020-02-08 00:00:00.000,13,B,2020-01-01 00:00:00.000,38.0
2020-03-11 00:00:00.000,15,A,2020-02-14 00:00:00.000,26.0
2020-03-04 00:00:00.000,14,B,2020-01-02 00:00:00.000,62.0
2020-02-07 00:00:00.000,14,A,2020-01-04 00:00:00.000,34.0
2020-01-05 00:00:00.000,10,A,2020-01-01 00:00:00.000,4.0
2020-03-29 00:00:00.000,10,A,2020-01-01 00:00:00.000,88.0
