Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year
Small Business,Canada,VTT,Medium,2134.0,250,300,640200.0,51216.0,588984.0,533500.0,55484.0,2014-09-01 00:00:00.000,9,September,2014
Channel Partners,Canada,Carretera,High,1937.0,3,12,23244.0,2556.84,20687.16,5811.0,14876.16,2014-02-01 00:00:00.000,2,February,2014
Midmarket,France,Paseo,Low,2261.0,10,15,33915.0,1356.6,32558.4,22610.0,9948.4,2013-12-01 00:00:00.000,12,December,2013
Midmarket,France,Amarilla,High,2072.0,260,15,31080.0,3108.0,27972.0,20720.0,7252.0,2014-12-01 00:00:00.000,12,December,2014
Small Business,Canada,Amarilla,Low,1916.0,260,300,574800.0,11496.0,563304.0,479000.0,84304.0,2014-12-01 00:00:00.000,12,December,2014
Enterprise,France,VTT,Low,787.0,250,125,98375.0,983.75,97391.25,94440.0,2951.25,2014-06-01 00:00:00.000,6,June,2014
Small Business,Canada,Velo,High,269.0,120,300,80700.0,11298.0,69402.0,67250.0,2152.0,2013-10-01 00:00:00.000,10,October,2013
Government,Germany,VTT,High,280.0,250,7,1960.0,274.4,1685.6,1400.0,285.5999999999999,2014-12-01 00:00:00.000,12,December,2014
Government,France,Velo,High,1190.0,120,7,8330.0,1082.9,7247.1,5950.0,1297.1000000000004,2014-06-01 00:00:00.000,6,June,2014
Midmarket,Mexico,Montana,Low,2214.0,5,15,33210.0,332.1,32877.9,22140.0,10737.9,2014-03-01 00:00:00.000,3,March,2014
Enterprise,United States of America,Carretera,High,3445.5,3,125,430687.5,43068.75,387618.75,413460.0,-25841.25,2014-04-01 00:00:00.000,4,April,2014
Government,France,VTT,Medium,574.5,250,350,201075.0,16086.0,184989.0,149370.0,35619.0,2014-04-01 00:00:00.000,4,April,2014
Government,Canada,VTT,Medium,1582.0,250,7,11074.0,775.18,10298.82,7910.0,2388.82,2014-12-01 00:00:00.000,12,December,2014
Government,Canada,Paseo,Low,4251.0,10,7,29757.0,1190.28,28566.72,21255.0,7311.719999999998,2014-01-01 00:00:00.000,1,January,2014
Government,United States of America,Carretera,Medium,1117.5,3,20,22350.0,1341.0,21009.0,11175.0,9834.0,2014-01-01 00:00:00.000,1,January,2014
Channel Partners,Mexico,Montana,High,604.0,5,12,7248.0,942.24,6305.76,1812.0,4493.76,2014-06-01 00:00:00.000,6,June,2014
Government,France,Paseo,Medium,1757.0,10,20,35140.0,2108.4,33031.6,17570.0,15461.6,2013-10-01 00:00:00.000,10,October,2013
Government,United States of America,Montana,Low,1566.0,5,20,31320.0,626.4,30693.6,15660.0,15033.6,2014-10-01 00:00:00.000,10,October,2014
Government,Germany,Paseo,High,1531.0,10,20,30620.0,3674.4,26945.6,15310.0,11635.6,2014-12-01 00:00:00.000,12,December,2014
Small Business,France,VTT,Medium,959.0,250,300,287700.0,20139.0,267561.0,239750.0,27811.0,2014-02-01 00:00:00.000,2,February,2014
Small Business,United States of America,VTT,High,2541.0,250,300,762300.0,106722.0,655578.0,635250.0,20328.0,2014-08-01 00:00:00.000,8,August,2014
Midmarket,Germany,Velo,High,510.0,120,15,7650.0,765.0,6885.0,5100.0,1785.0,2014-04-01 00:00:00.000,4,April,2014
Enterprise,Mexico,Amarilla,High,947.0,260,125,118375.0,13021.25,105353.75,113640.0,-8286.25,2013-09-01 00:00:00.000,9,September,2013
Government,United States of America,VTT,Medium,2663.0,250,20,53260.0,2663.0,50597.0,26630.0,23967.0,2014-12-01 00:00:00.000,12,December,2014
Government,Mexico,Paseo,High,1715.0,10,20,34300.0,4116.0,30184.0,17150.0,13034.0,2013-10-01 00:00:00.000,10,October,2013
Government,Canada,Paseo,High,2104.5,10,350,736575.0,81023.25,655551.75,547170.0,108381.75,2014-07-01 00:00:00.000,7,July,2014
Government,Germany,Paseo,Medium,1095.0,10,7,7665.0,613.2,7051.8,5475.0,1576.8000000000002,2014-05-01 00:00:00.000,5,May,2014
Channel Partners,United States of America,Velo,High,914.0,120,12,10968.0,1645.2,9322.8,2742.0,6580.799999999999,2014-12-01 00:00:00.000,12,December,2014
Small Business,Canada,Paseo,Medium,1702.0,10,300,510600.0,35742.0,474858.0,425500.0,49358.0,2014-05-01 00:00:00.000,5,May,2014
Enterprise,United States of America,Paseo,Low,727.0,10,125,90875.0,908.75,89966.25,87240.0,2726.25,2014-06-01 00:00:00.000,6,June,2014
Enterprise,United States of America,Paseo,Medium,2797.0,10,125,349625.0,31466.25,318158.75,335640.0,-17481.25,2014-12-01 00:00:00.000,12,December,2014
Channel Partners,France,Velo,Low,1055.0,120,12,12660.0,253.2,12406.8,3165.0,9241.8,2014-12-01 00:00:00.000,12,December,2014
Government,Mexico,Paseo,High,886.0,10,350,310100.0,37212.0,272888.0,230360.0,42528.0,2014-06-01 00:00:00.000,6,June,2014
Government,Canada,Montana,Medium,708.0,5,20,14160.0,1132.8,13027.2,7080.0,5947.200000000001,2014-06-01 00:00:00.000,6,June,2014
Small Business,Germany,Carretera,Low,214.0,3,300,64200.0,1284.0,62916.0,53500.0,9416.0,2013-10-01 00:00:00.000,10,October,2013
Government,Canada,Montana,High,2227.5,5,350,779625.0,109147.5,670477.5,579150.0,91327.5,2014-01-01 00:00:00.000,1,January,2014
Midmarket,Canada,VTT,High,1565.0,250,15,23475.0,3051.75,20423.25,15650.0,4773.25,2014-10-01 00:00:00.000,10,October,2014
Government,France,Paseo,Low,2155.0,10,350,754250.0,7542.5,746707.5,560300.0,186407.5,2014-12-01 00:00:00.000,12,December,2014
Government,Canada,Amarilla,Medium,1269.0,260,350,444150.0,39973.5,404176.5,329940.0,74236.5,2014-10-01 00:00:00.000,10,October,2014
Channel Partners,Canada,Paseo,Medium,2431.0,10,12,29172.0,1458.6,27713.4,7293.0,20420.4,2014-12-01 00:00:00.000,12,December,2014
Channel Partners,Canada,VTT,High,2109.0,250,12,25308.0,3036.96,22271.04,6327.0,15944.04,2014-05-01 00:00:00.000,5,May,2014
Government,Mexico,Montana,High,1715.0,5,20,34300.0,4116.0,30184.0,17150.0,13034.0,2013-10-01 00:00:00.000,10,October,2013
Government,Germany,Paseo,Medium,1598.0,10,7,11186.0,894.88,10291.12,7990.0,2301.120000000001,2014-08-01 00:00:00.000,8,August,2014
Channel Partners,United States of America,Paseo,High,386.0,10,12,4632.0,463.2,4168.8,1158.0,3010.8,2013-10-01 00:00:00.000,10,October,2013
Government,Canada,Amarilla,Low,1778.0,260,350,622300.0,24892.0,597408.0,462280.0,135128.0,2013-12-01 00:00:00.000,12,December,2013
Small Business,United States of America,VTT,Low,2844.0,250,300,853200.0,25596.0,827604.0,711000.0,116604.0,2014-02-01 00:00:00.000,2,February,2014
Enterprise,United States of America,Velo,High,1596.0,120,125,199500.0,19950.0,179550.0,191520.0,-11970.0,2014-09-01 00:00:00.000,9,September,2014
Government,France,Paseo,High,1594.0,10,350,557900.0,66948.0,490952.0,414440.0,76512.0,2014-11-01 00:00:00.000,11,November,2014
Channel Partners,Germany,Paseo,Medium,1775.0,10,12,21300.0,1917.0,19383.0,5325.0,14058.0,2013-11-01 00:00:00.000,11,November,2013
Small Business,Canada,Carretera,High,1496.0,3,300,448800.0,62832.0,385968.0,374000.0,11968.0,2014-10-01 00:00:00.000,10,October,2014
Government,Canada,Montana,Low,1830.0,5,7,12810.0,128.1,12681.9,9150.0,3531.9,2014-08-01 00:00:00.000,8,August,2014
Government,France,VTT,Medium,381.0,250,350,133350.0,10668.0,122682.0,99060.0,23622.0,2014-08-01 00:00:00.000,8,August,2014
Government,France,Montana,Medium,1757.0,5,20,35140.0,2108.4,33031.6,17570.0,15461.6,2013-10-01 00:00:00.000,10,October,2013
Small Business,Canada,Paseo,High,873.0,10,300,261900.0,28809.0,233091.0,218250.0,14841.0,2014-01-01 00:00:00.000,1,January,2014
Small Business,Mexico,VTT,Low,494.0,250,300,148200.0,1482.0,146718.0,123500.0,23218.0,2013-10-01 00:00:00.000,10,October,2013
Government,Canada,Paseo,,1725.0,10,350,603750.0,0.0,603750.0,448500.0,155250.0,2013-11-01 00:00:00.000,11,November,2013
Government,Mexico,Paseo,Medium,2689.0,10,7,18823.0,941.15,17881.85,13445.0,4436.849999999999,2014-10-01 00:00:00.000,10,October,2014
Government,Canada,VTT,High,623.0,250,350,218050.0,26166.0,191884.0,161980.0,29904.0,2013-09-01 00:00:00.000,9,September,2013
Channel Partners,France,Velo,Medium,1967.0,120,12,23604.0,2124.36,21479.64,5901.0,15578.64,2014-03-01 00:00:00.000,3,March,2014
Midmarket,Canada,Paseo,High,1614.0,10,15,24210.0,3631.5,20578.5,16140.0,4438.5,2014-04-01 00:00:00.000,4,April,2014
Midmarket,Mexico,Montana,High,2157.0,5,15,32355.0,3559.05,28795.95,21570.0,7225.95,2014-12-01 00:00:00.000,12,December,2014
Channel Partners,United States of America,Paseo,Low,1142.0,10,12,13704.0,274.08,13429.92,3426.0,10003.92,2014-06-01 00:00:00.000,6,June,2014
Government,Canada,Velo,Low,2646.0,120,20,52920.0,2116.8,50803.2,26460.0,24343.2,2013-09-01 00:00:00.000,9,September,2013
Enterprise,France,Velo,,1804.0,120,125,225500.0,0.0,225500.0,216480.0,9020.0,2014-02-01 00:00:00.000,2,February,2014
Government,Germany,Amarilla,,1686.0,260,7,11802.0,0.0,11802.0,8430.0,3372.0,2014-07-01 00:00:00.000,7,July,2014
Government,France,Paseo,Medium,1031.0,10,7,7217.0,505.19,6711.81,5155.0,1556.8100000000004,2013-09-01 00:00:00.000,9,September,2013
Channel Partners,Germany,Paseo,High,1013.0,10,12,12156.0,1580.28,10575.72,3039.0,7536.719999999998,2014-12-01 00:00:00.000,12,December,2014
Government,France,Paseo,High,2532.0,10,7,17724.0,1949.64,15774.36,12660.0,3114.36,2014-04-01 00:00:00.000,4,April,2014
Government,Germany,VTT,Medium,2297.0,250,20,45940.0,2297.0,43643.0,22970.0,20673.0,2013-11-01 00:00:00.000,11,November,2013
Small Business,Mexico,Paseo,High,2150.0,10,300,645000.0,77400.0,567600.0,537500.0,30100.0,2014-11-01 00:00:00.000,11,November,2014
Government,Canada,Velo,Medium,1269.0,120,350,444150.0,39973.5,404176.5,329940.0,74236.5,2014-10-01 00:00:00.000,10,October,2014
Midmarket,United States of America,Montana,,615.0,5,15,9225.0,0.0,9225.0,6150.0,3075.0,2014-12-01 00:00:00.000,12,December,2014
Government,Germany,Amarilla,Low,1907.0,260,350,667450.0,26698.0,640752.0,495820.0,144932.0,2014-09-01 00:00:00.000,9,September,2014
Government,Canada,Amarilla,High,707.0,260,350,247450.0,24745.0,222705.0,183820.0,38885.0,2014-09-01 00:00:00.000,9,September,2014
Small Business,United States of America,Paseo,Low,2905.0,10,300,871500.0,8715.0,862785.0,726250.0,136535.0,2014-11-01 00:00:00.000,11,November,2014
Small Business,United States of America,Carretera,Medium,991.0,3,300,297300.0,14865.0,282435.0,247750.0,34685.0,2014-06-01 00:00:00.000,6,June,2014
Government,France,Velo,Medium,1496.0,120,350,523600.0,31416.0,492184.0,388960.0,103224.0,2014-06-01 00:00:00.000,6,June,2014
Midmarket,Mexico,Paseo,Low,2031.0,10,15,30465.0,1218.6,29246.4,20310.0,8936.400000000001,2014-10-01 00:00:00.000,10,October,2014
Government,Germany,Carretera,High,792.0,3,350,277200.0,30492.0,246708.0,205920.0,40788.0,2014-03-01 00:00:00.000,3,March,2014
Enterprise,France,Amarilla,High,1433.0,260,125,179125.0,19703.75,159421.25,171960.0,-12538.75,2014-05-01 00:00:00.000,5,May,2014
Small Business,Germany,Paseo,Medium,1123.0,10,300,336900.0,23583.0,313317.0,280750.0,32567.0,2013-09-01 00:00:00.000,9,September,2013
Government,Canada,Amarilla,Medium,1135.0,260,7,7945.0,556.15,7388.85,5675.0,1713.8500000000004,2014-06-01 00:00:00.000,6,June,2014
Government,Canada,VTT,Low,1326.0,250,7,9282.0,92.82,9189.18,6630.0,2559.1800000000003,2014-03-01 00:00:00.000,3,March,2014
Government,Germany,Velo,High,241.0,120,20,4820.0,482.0,4338.0,2410.0,1928.0,2014-10-01 00:00:00.000,10,October,2014
