Country,Year,Population
"United States",1950,157813040
"Uruguay",1950,2238506
"Uzbekistan",1950,6313997
"Wallis et Futuna",1950,7002
"Vanuatu",1950,47695
"Venezuela",1950,5093708
"West Bank and Gaza",1950,931926
"Western Sahara",1950,13766
"Vietnam",1950,28264391
"Virgin Islands (U.S.)",1950,26795
"Yemen, Rep.",1950,4316001
"Zambia",1950,2340352
"Zimbabwe",1950,2746854
"Afghanistan",1951,8276820
"Albania",1951,1239971
"Algeria",1951,8953373
"American Samoa",1951,19287
"Andorra",1951,6692
"Angola",1951,4219332
"Anguilla",1951,5297
"Antigua and Barbuda",1951,48316
"Argentina",1951,17506378
"Armenia",1951,1382982
"Aruba",1951,38263
"Australia",1951,8398540
"Austria",1951,6930746
"Azerbaijan",1951,2964962
"Bahamas",1951,79982
"Bahrain",1951,116860
"Bangladesh",1951,39112507
"Barbados",1951,215673
"Belarus",1951,7717670
"Belgium",1951,8665736
"Belize",1951,71147
"Benin",1951,2258097
"Bermuda",1951,37793
"Bhutan",1951,174400
"Bolivia",1951,2767960
"Bosnia and Herzegovina",1951,2720515
"Botswana",1951,425268
"Brazil",1951,55669001
"British Virgin Islands",1951,7501
"Brunei",1951,51070
"Bulgaria",1951,7282560
"Burkina Faso",1951,4326475
"Burundi",1951,2504993
"Cambodia",1951,4457418
"Cameroon",1951,4549464
"Canada",1951,14132558
"Cape Verde",1951,181974
"Cayman Islands",1951,6265
"Central African Rep.",1951,1339842
"Chad",1951,2472725
"Channel Islands",1951,102940
"Chile",1951,6194334
"China",1951,566170868
"Colombia",1951,12344434
"Comoros",1951,160463
"Congo, Dem. Rep.",1951,12441551
"Congo, Rep.",1951,824173
"Cook Islands",1951,15410
"Costa Rica",1951,994255
"Cote d'Ivoire",1951,2708840
"Croatia",1951,3875666
"Cuba",1951,6049922
"Cyprus",1951,500377
"Czech Rep.",1951,8957188
"Denmark",1951,4308125
"Djibouti",1951,63464
"Dominica",1951,51706
"Dominican Rep.",1951,2453032
"Ecuador",1951,3475475
"Egypt",1951,22048587
"El Salvador",1951,2236298
"Equatorial Guinea",1951,230057
"Eritrea",1951,1162455
"Estonia",1951,1113922
"Ethiopia",1951,18788330
"Faeroe Islands",1951,31304
"Falkland Islands (Malvinas)",1951,2247
"Fiji",1951,296204
"Finland",1951,4049971
"France",1951,42037803
"French Guiana",1951,26225
"French Polynesia",1951,62583
"Gabon",1951,469553
"Gambia",1951,272968
"Georgia",1951,3584762
"Germany",1951,68713920
"Ghana",1951,5088932
"Gibraltar",1951,20641
"Greece",1951,7646718
"Greenland",1951,23449
"Grenada",1951,76619
"Guadeloupe",1951,213099
"Guam",1951,60366
"Guatemala",1951,3239086
"Guinea",1951,3139830
"Guinea-Bissau",1951,527433
"Guyana",1951,423477
"Haiti",1951,3275552
"Holy See",1951,887
"Honduras",1951,1524916
"Hong Kong, China",1951,2036119
"Hungary",1951,9478369
"Iceland",1951,145288
"India",1951,378201181
"Indonesia",1951,75978352
"Iran",1951,17772538
"Iraq",1951,5915805
"Ireland",1951,2920750
"Isle of Man",1951,55265
"Israel",1951,1354111
"Italy",1951,46786118
"Jamaica",1951,1436715
"Japan",1951,83794117
"Jordan",1951,503766
"Kazakhstan",1951,6831158
"Kenya",1951,6240179
"Kiribati",1951,26632
"Korea, Dem. Rep.",1951,9559286
"Korea, Rep.",1951,19304677
"Kuwait",1951,164017
"Kyrgyzstan",1951,1763226
"Laos",1951,1724429
"Latvia",1951,1954910
"Lebanon",1951,1466906
"Lesotho",1951,744344
"Liberia",1951,925211
"Libya",1951,1035282
"Liechtenstein",1951,13944
"Lithuania",1951,2569619
"Luxembourg",1951,297212
"Macao, China",1951,195949
"Macedonia, FYR",1951,1266781
"Madagascar",1951,4168939
"Malawi",1951,2930156
"Malaysia",1951,6261928
"Maldives",1951,78614
"Mali",1951,4693573
"Malta",1951,312918
"Marshall Islands",1951,13218
"Martinique",1951,224450
"Mauritania",1951,672223
"Mauritius",1951,506393
"Mayotte",1951,15742
"Mexico",1951,28614984
"Micronesia, Fed. Sts.",1951,33396
"Moldova",1951,2381454
"Monaco",1951,19868
"Mongolia",1951,793846
"Montenegro",1951,401735
"Montserrat",1951,14118
"Morocco",1951,9167716
"Mozambique",1951,6535891
"Myanmar",1951,17463258
"Namibia",1951,494611
"Nauru",1951,3059
"Nepal",1951,8372203
"Netherlands",1951,10148830
"Netherlands Antilles",1951,113989
"New Caledonia",1951,64289
"New Zealand",1951,1947802
"Nicaragua",1951,1331280
"Niger",1951,2535752
"Nigeria",1951,38508635
"Niue",1951,4682
"Northern Mariana Islands",1951,7089
"Norway",1951,3299431
"Oman",1951,463724
"Pakistan",1951,38147097
"Palau",1951,7497
"Panama",1951,881197
"Papua New Guinea",1951,1729258
"Paraguay",1951,1511975
"Peru",1951,7821202
"Philippines",1951,19056037
"Poland",1951,25383633
"Portugal",1951,8432070
"Puerto Rico",1951,2210078
"Qatar",1951,27461
"Reunion",1951,259237
"Romania",1951,16607889
"Russia",1951,104248118
"Rwanda",1951,2128012
"Saint Helena",1951,5005
"Saint Kitts and Nevis",1951,46147
"Saint Lucia",1951,83898
"Saint Vincent and the Grenadines",1951,68065
"Saint-Pierre-et-Miquelon",1951,4605
"Samoa",1951,84177
"San Marino",1951,12919
"Sao Tome and Principe",1951,59147
"Saudi Arabia",1951,3194590
"Senegal",1951,2463892
"Serbia",1951,6839783
"Seychelles",1951,36891
"Sierra Leone",1951,1920612
"Singapore",1951,1067968
"Slovak Republic",1951,3494399
"Slovenia",1951,1485208
"Solomon Islands",1951,107978
"Somalia",1951,2313526
"South Africa",1951,13993912
"South Sudan",1951,1919582
"Spain",1951,28236442
"Sri Lanka",1951,8362125
"Sudan",1951,7462786
"Suriname",1951,222649
"Swaziland",1951,278951
"Sweden",1951,7076003
"Switzerland",1951,4726281
"Syria",1951,3496671
"Taiwan",1951,8251000
"Tajikistan",1951,1577037
"Tanzania",1951,7847333
"Thailand",1951,21150234
"Timor-Leste",1951,438379
"Togo",1951,1426130
"Tokelau",1951,1516
"Tonga",1951,49311
"Trinidad and Tobago",1951,647638
"Tunisia",1951,3596387
"Turkey",1951,21863880
"Turkmenistan",1951,1228378
"Turks and Caicos Islands",1951,4984
"Tuvalu",1951,5221
"Uganda",1951,5306689
"Ukraine",1951,37847653
"United Arab Emirates",1951,67816
"United Kingdom",1951,50631571
"United States",1951,160024871
"Uruguay",1951,2261141
"Uzbekistan",1951,6461092
"Wallis et Futuna",1951,7088
"Vanuatu",1951,48921
"Venezuela",1951,5290182
"West Bank and Gaza",1951,923749
"Western Sahara",1951,16066
"Vietnam",1951,28818993
"Virgin Islands (U.S.)",1951,27295
"Yemen, Rep.",1951,4382878
"Zambia",1951,2396669
"Zimbabwe",1951,2830448
"Afghanistan",1952,8407148
"Albania",1952,1269302
"Algeria",1952,9140990
"American Samoa",1952,19525
"Andorra",1952,7247
"Angola",1952,4296534
"Anguilla",1952,5438
"Antigua and Barbuda",1952,49906
"Argentina",1952,17865382
"Armenia",1952,1419913
"Aruba",1952,38966
"Australia",1952,8604679
"Austria",1952,6929474
"Azerbaijan",1952,3044695
"Bahamas",1952,81426
"Bahrain",1952,119567
"Bangladesh",1952,40207573
"Barbados",1952,219587
"Belarus",1952,7710974
"Belgium",1952,8710135
"Belize",1952,73295
"Benin",1952,2264492
"Bermuda",1952,38424
"Bhutan",1952,180287
"Bolivia",1952,2824538
"Bosnia and Herzegovina",1952,2779107
"Botswana",1952,437177
"Brazil",1952,57422674
"British Virgin Islands",1952,7548
"Brunei",1952,54083
"Bulgaria",1952,7324411
"Burkina Faso",1952,4371948
"Burundi",1952,2550737
"Cambodia",1952,4555803
"Cameroon",1952,4634190
"Canada",1952,14518772
"Cape Verde",1952,185568
"Cayman Islands",1952,6247
"Central African Rep.",1952,1353471
"Chad",1952,2519184
"Channel Islands",1952,103614
"Chile",1952,6321806
"China",1952,578489714
"Colombia",1952,12697334
"Comoros",1952,164338
"Congo, Dem. Rep.",1952,12706358
"Congo, Rep.",1952,841524
"Cook Islands",1952,15638
"Costa Rica",1952,1025278
"Cote d'Ivoire",1952,2793262
"Croatia",1952,3900723
"Cuba",1952,6177490
"Cyprus",1952,506628
"Czech Rep.",1952,9036508
"Denmark",1952,4344863
"Djibouti",1952,65022
"Dominica",1952,52298
"Dominican Rep.",1952,2531372
"Ecuador",1952,3566804
"Egypt",1952,22607727
"El Salvador",1952,2278493
"Equatorial Guinea",1952,232759
"Eritrea",1952,1185426
"Estonia",1952,1126280
"Ethiopia",1952,19150885
"Faeroe Islands",1952,31249
"Falkland Islands (Malvinas)",1952,2235
"Fiji",1952,304808
"Finland",1952,4095096
"France",1952,42328940
"French Guiana",1952,26867
"French Polynesia",1952,64335
"Gabon",1952,470676
"Gambia",1952,277411
"Georgia",1952,3646426
"Germany",1952,69086530
"Ghana",1952,5229464
"Gibraltar",1952,20769
"Greece",1952,7725959
"Greenland",1952,23982
"Grenada",1952,77122
"Guadeloupe",1952,217331
"Guam",1952,61068
"Guatemala",1952,3333591
"Guinea",1952,3181059
"Guinea-Bissau",1952,537445
"Guyana",1952,439117
"Haiti",1952,3331968
"Holy See",1952,884
"Honduras",1952,1568190
"Hong Kong, China",1952,2133544
"Hungary",1952,9594893
"Iceland",1952,148044
"India",1952,384822769
"Indonesia",1952,77258010
"Iran",1952,18153564
"Iraq",1952,6092562
"Ireland",1952,2923770
"Isle of Man",1952,54907
"Israel",1952,1451533
"Italy",1952,47171699
"Jamaica",1952,1468075
"Japan",1952,85174302
"Jordan",1952,543439
"Kazakhstan",1952,7041605
"Kenya",1952,6412384
"Kiribati",1952,27158
"Korea, Dem. Rep.",1952,9458418
"Korea, Rep.",1952,19566709
"Kuwait",1952,174287
"Kyrgyzstan",1952,1791952
"Laos",1952,1766485
"Latvia",1952,1965231
"Lebanon",1952,1499688
"Lesotho",1952,754883
"Liberia",1952,940884
"Libya",1952,1048211
"Liechtenstein",1952,14133
"Lithuania",1952,2578052
"Luxembourg",1952,299060
"Macao, China",1952,193741
"Macedonia, FYR",1952,1297548
"Madagascar",1952,4258186
"Malawi",1952,2984164
"Malaysia",1952,6433126
"Maldives",1952,77940
"Mali",1952,4750451
"Malta",1952,313514
"Marshall Islands",1952,13432
"Martinique",1952,228328
"Mauritania",1952,688526
"Mauritius",1952,521087
"Mayotte",1952,16468
"Mexico",1952,29465877
"Micronesia, Fed. Sts.",1952,34590
"Moldova",1952,2432109
"Monaco",1952,19846
"Mongolia",1952,808494
"Montenegro",1952,407165
"Montserrat",1952,14481
"Morocco",1952,9390159
"Mozambique",1952,6636035
"Myanmar",1952,17786203
"Namibia",1952,504551
"Nauru",1952,3191
"Nepal",1952,8512546
"Netherlands",1952,10275906
"Netherlands Antilles",1952,116172
"New Caledonia",1952,64453
"New Zealand",1952,1992618
"Nicaragua",1952,1370643
"Niger",1952,2609713
"Nigeria",1952,39203265
"Niue",1952,4686
"Northern Mariana Islands",1952,7222
"Norway",1952,3332263
"Oman",1952,472021
"Pakistan",1952,38809200
"Palau",1952,7620
"Panama",1952,903447
"Papua New Guinea",1952,1750891
"Paraguay",1952,1551186
"Peru",1952,8020389
"Philippines",1952,19748049
"Poland",1952,25919296
"Portugal",1952,8475340
"Puerto Rico",1952,2212854
"Qatar",1952,29819
"Reunion",1952,268374
"Romania",1952,16856828
"Russia",1952,105950299
"Rwanda",1952,2187504
"Saint Helena",1952,5009
"Saint Kitts and Nevis",1952,46509
"Saint Lucia",1952,84828
"Saint Vincent and the Grenadines",1952,69265
"Saint-Pierre-et-Miquelon",1952,4634
"Samoa",1952,86410
"San Marino",1952,13089
"Sao Tome and Principe",1952,58460
"Saudi Arabia",1952,3274903
"Senegal",1952,2513702
"Serbia",1952,6942216
"Seychelles",1952,37451
"Sierra Leone",1952,1946495
"Singapore",1952,1120282
"Slovak Republic",1952,3558070
"Slovenia",1952,1497673
"Solomon Islands",1952,109424
"Somalia",1952,2363736
"South Africa",1952,14322458
"South Sudan",1952,1961925
"Spain",1952,28427994
"Sri Lanka",1952,8495641
"Sudan",1952,7627408
"Suriname",1952,229598
"Swaziland",1952,285333
"Sweden",1952,7129070
"Switzerland",1952,4788955
"Syria",1952,3587333
"Taiwan",1952,8550000
"Tajikistan",1952,1626400
"Tanzania",1952,8055939
"Thailand",1952,21718195
"Timor-Leste",1952,443630
"Togo",1952,1442950
"Tokelau",1952,1504
"Tonga",1952,51173
"Trinidad and Tobago",1952,661131
"Tunisia",1952,3661847
"Turkey",1952,22519048
"Turkmenistan",1952,1252660
"Turks and Caicos Islands",1952,4977
"Tuvalu",1952,5294
"Uganda",1952,5453244
"Ukraine",1952,38410561
"United Arab Emirates",1952,69504
"United Kingdom",1952,50706811
"United States",1952,162530196
"Uruguay",1952,2285906
"Uzbekistan",1952,6633911
"Wallis et Futuna",1952,7238
"Vanuatu",1952,50295
"Venezuela",1952,5504783
"West Bank and Gaza",1952,931889
"Western Sahara",1952,17591
"Vietnam",1952,29403860
"Virgin Islands (U.S.)",1952,27974
"Yemen, Rep.",1952,4454322
"Zambia",1952,2456377
"Zimbabwe",1952,2918424
"Afghanistan",1953,8542906
"Albania",1953,1302536
"Algeria",1953,9326099
"American Samoa",1953,19659
"Andorra",1953,7856
"Angola",1953,4376947
"Anguilla",1953,5549
"Antigua and Barbuda",1953,51117
"Argentina",1953,18223955
"Armenia",1953,1463017
"Aruba",1953,40151
"Australia",1953,8804552
"Austria",1953,6931618
"Azerbaijan",1953,3132625
"Bahamas",1953,83368
"Bahrain",1953,123402
"Bangladesh",1953,41257838
"Barbados",1953,222747
"Belarus",1953,7724055
"Belgium",1953,8759521
"Belize",1953,75437
"Benin",1953,2274125
"Bermuda",1953,39122
"Bhutan",1953,186067
"Bolivia",1953,2883362
"Bosnia and Herzegovina",1953,2836208
"Botswana",1953,448428
"Brazil",1953,59215974
"British Virgin Islands",1953,7586
"Brunei",1953,57085
"Bulgaria",1953,7375320
"Burkina Faso",1953,4421583
"Burundi",1953,2595383
"Cambodia",1953,4648644
"Cameroon",1953,4720787
"Canada",1953,14909614
"Cape Verde",1953,188848
"Cayman Islands",1953,6335
"Central African Rep.",1953,1367806
"Chad",1953,2568013
"Channel Islands",1953,104267
"Chile",1953,6461332
"China",1953,589018891
"Colombia",1953,13060599
"Comoros",1953,168046
"Congo, Dem. Rep.",1953,12982427
"Congo, Rep.",1953,859753
"Cook Islands",1953,15841
"Costa Rica",1953,1058424
"Cote d'Ivoire",1953,2882232
"Croatia",1953,3924560
"Cuba",1953,6300986
"Cyprus",1953,513440
"Czech Rep.",1953,9112988
"Denmark",1953,4378663
"Djibouti",1953,66649
"Dominica",1953,52945
"Dominican Rep.",1953,2614665
"Ecuador",1953,3661499
"Egypt",1953,23191489
"El Salvador",1953,2325449
"Equatorial Guinea",1953,234513
"Eritrea",1953,1210063
"Estonia",1953,1138038
"Ethiopia",1953,19522300
"Faeroe Islands",1953,31335
"Falkland Islands (Malvinas)",1953,2224
"Fiji",1953,314345
"Finland",1953,4142102
"France",1953,42672812
"French Guiana",1953,27444
"French Polynesia",1953,66019
"Gabon",1953,472159
"Gambia",1953,284608
"Georgia",1953,3710244
"Germany",1953,69483349
"Ghana",1953,5392178
"Gibraltar",1953,20874
"Greece",1953,7805207
"Greenland",1953,24635
"Grenada",1953,78087
"Guadeloupe",1953,222672
"Guam",1953,61744
"Guatemala",1953,3429673
"Guinea",1953,3220178
"Guinea-Bissau",1953,547552
"Guyana",1953,454032
"Haiti",1953,3390630
"Holy See",1953,889
"Honduras",1953,1615241
"Hong Kong, China",1953,2249255
"Hungary",1953,9689536
"Iceland",1953,151148
"India",1953,391724533
"Indonesia",1953,78674341
"Iran",1953,18557412
"Iraq",1953,6255685
"Ireland",1953,2921444
"Isle of Man",1953,54259
"Israel",1953,1546309
"Italy",1953,47522671
"Jamaica",1953,1496181
"Japan",1953,86377203
"Jordan",1953,576884
"Kazakhstan",1953,7315507
"Kenya",1953,6593131
"Kiribati",1953,27706
"Korea, Dem. Rep.",1953,9438059
"Korea, Rep.",1953,19978822
"Kuwait",1953,182833
"Kyrgyzstan",1953,1825123
"Laos",1953,1809151
"Latvia",1953,1979138
"Lebanon",1953,1539212
"Lesotho",1953,765602
"Liberia",1953,958098
"Libya",1953,1067811
"Liechtenstein",1953,14340
"Lithuania",1953,2591358
"Luxembourg",1953,301140
"Macao, China",1953,190284
"Macedonia, FYR",1953,1322002
"Madagascar",1953,4351132
"Malawi",1953,3041877
"Malaysia",1953,6618149
"Maldives",1953,77273
"Mali",1953,4808476
"Malta",1953,313903
"Marshall Islands",1953,13621
"Martinique",1953,233349
"Mauritania",1953,705979
"Mauritius",1953,536859
"Mayotte",1953,17277
"Mexico",1953,30402868
"Micronesia, Fed. Sts.",1953,35686
"Moldova",1953,2491076
"Monaco",1953,19933
"Mongolia",1953,823840
"Montenegro",1953,413925
"Montserrat",1953,14616
"Morocco",1953,9623715
"Mozambique",1953,6742252
"Myanmar",1953,18127006
"Namibia",1953,515039
"Nauru",1953,3335
"Nepal",1953,8653473
"Netherlands",1953,10407381
"Netherlands Antilles",1953,118328
"New Caledonia",1953,65162
"New Zealand",1953,2040015
"Nicaragua",1953,1413030
"Niger",1953,2683898
"Nigeria",1953,39936661
"Niue",1953,4686
"Northern Mariana Islands",1953,7417
"Norway",1953,3364169
"Oman",1953,481071
"Pakistan",1953,39525185
"Palau",1953,7797
"Panama",1953,926957
"Papua New Guinea",1953,1773340
"Paraguay",1953,1591144
"Peru",1953,8228650
"Philippines",1953,20465543
"Poland",1953,26417754
"Portugal",1953,8534730
"Puerto Rico",1953,2222120
"Qatar",1953,31995
"Reunion",1953,276361
"Romania",1953,17077384
"Russia",1953,107743349
"Rwanda",1953,2250407
"Saint Helena",1953,4992
"Saint Kitts and Nevis",1953,47068
"Saint Lucia",1953,85605
"Saint Vincent and the Grenadines",1953,70587
"Saint-Pierre-et-Miquelon",1953,4663
"Samoa",1953,88813
"San Marino",1953,13288
"Sao Tome and Principe",1953,58114
"Saudi Arabia",1953,3359455
"Senegal",1953,2566574
"Serbia",1953,7039281
"Seychelles",1953,37978
"Sierra Leone",1953,1973170
"Singapore",1953,1178077
"Slovak Republic",1953,3625562
"Slovenia",1953,1509949
"Solomon Islands",1953,110989
"Somalia",1953,2415015
"South Africa",1953,14665211
"South Sudan",1953,2006745
"Spain",1953,28637153
"Sri Lanka",1953,8642543
"Sudan",1953,7801653
"Suriname",1953,236273
"Swaziland",1953,292178
"Sweden",1953,7176203
"Switzerland",1953,4851983
"Syria",1953,3685409
"Taiwan",1953,8850000
"Tajikistan",1953,1677745
"Tanzania",1953,8274761
"Thailand",1953,22312977
"Timor-Leste",1953,449210
"Togo",1953,1453288
"Tokelau",1953,1522
"Tonga",1953,52785
"Trinidad and Tobago",1953,677445
"Tunisia",1953,3727072
"Turkey",1953,23195322
"Turkmenistan",1953,1282584
"Turks and Caicos Islands",1953,5016
"Tuvalu",1953,5378
"Uganda",1953,5599541
"Ukraine",1953,38977440
"United Arab Emirates",1953,72700
"United Kingdom",1953,50829901
"United States",1953,165260027
"Uruguay",1953,2312737
"Uzbekistan",1953,6826552
"Wallis et Futuna",1953,7420
"Vanuatu",1953,51775
"Venezuela",1953,5733449
"West Bank and Gaza",1953,948727
"Western Sahara",1953,18754
"Vietnam",1953,30017460
"Virgin Islands (U.S.)",1953,28613
"Yemen, Rep.",1953,4529011
"Zambia",1953,2519173
"Zimbabwe",1953,3010186
"Afghanistan",1954,8684494
"Albania",1954,1339240
"Algeria",1954,9515990
"American Samoa",1954,19706
"Andorra",1954,8514
"Angola",1954,4458962
"Anguilla",1954,5635
"Antigua and Barbuda",1954,52002
"Argentina",1954,18579614
"Armenia",1954,1511188
"Aruba",1954,41765
"Australia",1954,9004634
"Austria",1954,6936580
"Azerbaijan",1954,3226823
"Bahamas",1954,85773
"Bahrain",1954,128072
"Bangladesh",1954,42322978
"Barbados",1954,225194
"Belarus",1954,7755530
"Belgium",1954,8812159
"Belize",1954,77630
"Benin",1954,2286767
"Bermuda",1954,39865
"Bhutan",1954,191769
"Bolivia",1954,2944416
"Bosnia and Herzegovina",1954,2891241
"Botswana",1954,459195
"Brazil",1954,61036582
"British Virgin Islands",1954,7623
"Brunei",1954,60113
"Bulgaria",1954,7433978
"Burkina Faso",1954,4475785
"Burundi",1954,2640339
"Cambodia",1954,4741920
"Cameroon",1954,4809464
"Canada",1954,15314040
"Cape Verde",1954,191854
"Cayman Islands",1954,6508
"Central African Rep.",1954,1383081
"Chad",1954,2618633
"Channel Islands",1954,104912
"Chile",1954,6610525
"China",1954,598746873
"Colombia",1954,13436142
"Comoros",1954,171660
"Congo, Dem. Rep.",1954,13273008
"Congo, Rep.",1954,878851
"Cook Islands",1954,16075
"Costa Rica",1954,1093226
"Cote d'Ivoire",1954,2975083
"Croatia",1954,3946581
"Cuba",1954,6419791
"Cyprus",1954,521199
"Czech Rep.",1954,9185663
"Denmark",1954,4409858
"Djibouti",1954,68353
"Dominica",1954,53690
"Dominican Rep.",1954,2702503
"Ecuador",1954,3759759
"Egypt",1954,23799589
"El Salvador",1954,2376483
"Equatorial Guinea",1954,235994
"Eritrea",1954,1236248
"Estonia",1954,1149241
"Ethiopia",1954,19903919
"Faeroe Islands",1954,31551
"Falkland Islands (Malvinas)",1954,2213
"Fiji",1954,324471
"Finland",1954,4189185
"France",1954,43045963
"French Guiana",1954,27994
"French Polynesia",1954,67690
"Gabon",1954,473845
"Gambia",1954,294310
"Georgia",1954,3774898
"Germany",1954,69897556
"Ghana",1954,5568967
"Gibraltar",1954,20955
"Greece",1954,7885213
"Greenland",1954,25433
"Grenada",1954,79414
"Guadeloupe",1954,229031
"Guam",1954,62400
"Guatemala",1954,3527441
