attribute,name,value
"Motor Vehicle Theft","Pennsylvania",36
"Motor Vehicle Theft","Rhode Island",15
"Motor Vehicle Theft","South Carolina",19
"Motor Vehicle Theft","South Dakota",47
"Motor Vehicle Theft","Tennessee",13
"Motor Vehicle Theft","Texas",15
"Motor Vehicle Theft","Utah",22
"Motor Vehicle Theft","Vermont",48
"Motor Vehicle Theft","Virginia",38
"Motor Vehicle Theft","Washington",3
"Motor Vehicle Theft","West Virginia",41
"Motor Vehicle Theft","Wisconsin",37
"Motor Vehicle Theft","Wyoming",46
"Larceny Theft","Wyoming",22
"Larceny Theft","Wisconsin",34
"Larceny Theft","West Virginia",41
"Larceny Theft","Washington",2
"Larceny Theft","Virginia",33
"Larceny Theft","Vermont",43
"Larceny Theft","Utah",7
"Larceny Theft","Texas",5
"Larceny Theft","Tennessee",8
"Larceny Theft","South Dakota",50
"Larceny Theft","South Carolina",6
"Larceny Theft","Rhode Island",40
"Larceny Theft","Pennsylvania",42
"Larceny Theft","Oregon",3
"Larceny Theft","Oklahoma",16
"Larceny Theft","Ohio",24
"Larceny Theft","North Dakota",48
"Larceny Theft","North Carolina",20
"Larceny Theft","New York",45
"Larceny Theft","New Mexico",17
"Larceny Theft","New Jersey",46
"Larceny Theft","New Hampshire",49
"Larceny Theft","Nevada",29
"Larceny Theft","Nebraska",19
"Larceny Theft","Montana",21
"Larceny Theft","Missouri",11
"Larceny Theft","Mississippi",31
"Larceny Theft","Minnesota",27
"Larceny Theft","Massachusetts",47
"Larceny Theft","Maryland",26
"Larceny Theft","Maine",38
"Larceny Theft","Louisiana",23
"Larceny Theft","Kentucky",44
"Larceny Theft","Kansas",9
"Larceny Theft","Iowa",32
"Larceny Theft","Indiana",25
"Larceny Theft","Illinois",28
"Larceny Theft","Idaho",35
"Larceny Theft","Hawaii",1
"Larceny Theft","Georgia",10
"Larceny Theft","Florida",14
"Larceny Theft","Delaware",30
"Larceny Theft","Connecticut",39
"Larceny Theft","Colorado",12
"Larceny Theft","California",37
"Larceny Theft","Arkansas",13
"Larceny Theft","Arizona",4
"Larceny Theft","Alaska",18
"Larceny Theft","Alabama",15
"Larceny Theft","Michigan",36
"Larceny Theft","Alabama",15
"Larceny Theft","Alaska",18
"Larceny Theft","Arizona",4
"Larceny Theft","Arkansas",13
"Larceny Theft","California",37
"Larceny Theft","Colorado",12
"Larceny Theft","Connecticut",39
"Larceny Theft","Delaware",30
"Larceny Theft","Florida",14
"Larceny Theft","Georgia",10
"Larceny Theft","Hawaii",1
"Larceny Theft","Idaho",35
"Larceny Theft","Illinois",28
"Larceny Theft","Indiana",25
"Larceny Theft","Iowa",32
"Larceny Theft","Kansas",9
"Larceny Theft","Kentucky",44
"Larceny Theft","Louisiana",23
"Larceny Theft","Maine",38
"Larceny Theft","Maryland",26
"Larceny Theft","Massachusetts",47
"Larceny Theft","Michigan",36
"Larceny Theft","Minnesota",27
"Larceny Theft","Mississippi",31
"Larceny Theft","Missouri",11
"Larceny Theft","Montana",21
"Larceny Theft","Nebraska",19
"Larceny Theft","Nevada",29
"Larceny Theft","New Hampshire",49
"Larceny Theft","New Jersey",46
"Larceny Theft","New Mexico",17
"Larceny Theft","New York",45
"Larceny Theft","North Carolina",20
"Larceny Theft","North Dakota",48
"Larceny Theft","Ohio",24
"Larceny Theft","Oklahoma",16
"Larceny Theft","Oregon",3
"Larceny Theft","Pennsylvania",42
"Larceny Theft","Rhode Island",40
"Larceny Theft","South Carolina",6
"Larceny Theft","South Dakota",50
"Larceny Theft","Tennessee",8
"Larceny Theft","Texas",5
"Larceny Theft","Utah",7
"Larceny Theft","Vermont",43
"Larceny Theft","Virginia",33
"Larceny Theft","Washington",2
"Larceny Theft","West Virginia",41
"Larceny Theft","Wisconsin",34
"Larceny Theft","Wyoming",22
"Burlgary Rate","Wyoming",40
"Burlgary Rate","Wisconsin",43
"Burlgary Rate","West Virginia",29
"Burlgary Rate","Washington",9
"Burlgary Rate","Virginia",45
"Burlgary Rate","Vermont",38
"Burlgary Rate","Utah",32
"Burlgary Rate","Texas",8
"Burlgary Rate","Tennessee",4
"Burlgary Rate","South Dakota",48
"Burlgary Rate","South Carolina",6
"Burlgary Rate","Rhode Island",37
"Burlgary Rate","Pennsylvania",41
"Burlgary Rate","Oregon",18
"Burlgary Rate","Oklahoma",5
"Burlgary Rate","Ohio",15
"Burlgary Rate","North Dakota",50
"Burlgary Rate","North Carolina",1
"Burlgary Rate","New York",47
"Burlgary Rate","New Mexico",2
"Burlgary Rate","New Jersey",42
"Burlgary Rate","New Hampshire",49
"Burlgary Rate","Nevada",7
"Burlgary Rate","Nebraska",36
"Burlgary Rate","Montana",46
"Burlgary Rate","Missouri",20
"Burlgary Rate","Mississippi",14
"Burlgary Rate","Minnesota",33
"Burlgary Rate","Massachusetts",35
"Burlgary Rate","Maryland",26
"Burlgary Rate","Maine",39
"Burlgary Rate","Louisiana",16
"Burlgary Rate","Kentucky",27
"Burlgary Rate","Kansas",24
"Burlgary Rate","Iowa",31
"Burlgary Rate","Indiana",21
"Burlgary Rate","Illinois",30
"Burlgary Rate","Idaho",34
"Burlgary Rate","Hawaii",17
"Burlgary Rate","Georgia",12
"Burlgary Rate","Florida",13
"Burlgary Rate","Delaware",25
"Burlgary Rate","Connecticut",44
"Burlgary Rate","Colorado",19
"Burlgary Rate","California",23
"Burlgary Rate","Arkansas",3
"Burlgary Rate","Arizona",11
"Burlgary Rate","Alaska",28
"Burlgary Rate","Alabama",10
"Burlgary Rate","Michigan",22
"Burlgary Rate","Alabama",10
"Burlgary Rate","Alaska",28
"Burlgary Rate","Arizona",11
"Burlgary Rate","Arkansas",3
"Burlgary Rate","California",23
"Burlgary Rate","Colorado",19
"Burlgary Rate","Connecticut",44
"Burlgary Rate","Delaware",25
"Burlgary Rate","Florida",13
"Burlgary Rate","Georgia",12
"Burlgary Rate","Hawaii",17
"Burlgary Rate","Idaho",34
"Burlgary Rate","Illinois",30
"Burlgary Rate","Indiana",21
"Burlgary Rate","Iowa",31
"Burlgary Rate","Kansas",24
"Burlgary Rate","Kentucky",27
"Burlgary Rate","Louisiana",16
"Burlgary Rate","Maine",39
"Burlgary Rate","Maryland",26
"Burlgary Rate","Massachusetts",35
"Burlgary Rate","Michigan",22
"Burlgary Rate","Minnesota",33
"Burlgary Rate","Mississippi",14
"Burlgary Rate","Missouri",20
"Burlgary Rate","Montana",46
"Burlgary Rate","Nebraska",36
"Burlgary Rate","Nevada",7
"Burlgary Rate","New Hampshire",49
"Burlgary Rate","New Jersey",42
"Burlgary Rate","New Mexico",2
"Burlgary Rate","New York",47
"Burlgary Rate","North Carolina",1
"Burlgary Rate","North Dakota",50
"Burlgary Rate","Ohio",15
"Burlgary Rate","Oklahoma",5
"Burlgary Rate","Oregon",18
"Burlgary Rate","Pennsylvania",41
"Burlgary Rate","Rhode Island",37
"Burlgary Rate","South Carolina",6
"Burlgary Rate","South Dakota",48
"Burlgary Rate","Tennessee",4
"Burlgary Rate","Texas",8
"Burlgary Rate","Utah",32
"Burlgary Rate","Vermont",38
"Burlgary Rate","Virginia",45
"Burlgary Rate","Washington",9
"Burlgary Rate","West Virginia",29
"Burlgary Rate","Wisconsin",43
"Burlgary Rate","Wyoming",40
