device_pk,device_fk,name,vendor_fk,dev_loc,Cloud Service Name,Hosted Location,first_added,last_edited,first_month,last_month
"14402","","omsagent_7dbab55b2d26","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.723,2021-02-19 05:07:49.930,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14545","","a2f0ae45b25a","","Undefined Loc","","On-Prem",2020-04-30 16:05:05.740,2021-02-19 05:07:54.696,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14543","","1ab098aba079","","Undefined Loc","","On-Prem",2020-04-30 16:05:05.523,2021-02-19 05:07:54.626,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14548","","a70bd9b5259a","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.043,2021-02-19 05:07:54.803,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14361","","kubedns_b7da9efd6003","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.653,2021-02-19 05:07:48.270,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14491","","181ee495b7ff","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.783,2021-02-19 05:07:53.026,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14379","","default-http-backend_c36e1adbec64","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.670,2021-02-19 05:07:49.006,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14383","","kneeling-giraffe-zeppelin_fb5c51a30b4d","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.360,2021-02-19 05:07:49.163,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14464","","Demo1 - RC","","Undefined Loc","","On-Prem",2020-04-09 18:25:36.716,2021-02-19 05:07:52.246,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14462","","63bef752dfc2","","Undefined Loc","","On-Prem",2020-04-08 16:04:29.506,2021-02-19 05:07:52.166,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14436","","575dfabaae70","","Undefined Loc","","On-Prem",2020-04-03 16:04:31.046,2021-02-19 05:07:51.170,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14508","","10.42.42.85","","Undefined Loc","","On-Prem",2020-04-28 13:34:11.086,2021-02-19 05:07:53.553,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14431","","04f24681728b","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.610,2021-02-19 05:07:50.986,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14351","","nginx-3_2c7b32b696e1","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.153,2021-02-19 05:07:47.860,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14398","","kube-proxy_38505230488e","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.336,2021-02-19 05:07:49.770,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14411","","5c97137bd0c8","","Undefined Loc","","On-Prem",2020-04-02 16:04:26.803,2021-02-19 05:07:50.270,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14511","","e04b54663ae0","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.256,2021-02-19 05:07:53.660,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14385","","autoscaler_af1ec946e0b1","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.453,2021-02-19 05:07:49.243,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14515","","1027668ff711","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.653,2021-02-19 05:07:53.800,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14498","","d044b0c2c133","","Undefined Loc","","On-Prem",2020-04-27 16:04:17.463,2021-02-19 05:07:53.236,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14516","","a9133334405e","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.750,2021-02-19 05:07:53.836,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14353","","prometheus-to-sd-exporter_c5f43d6e18fd","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.283,2021-02-19 05:07:47.940,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14527","","43e125bd7110","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.276,2021-02-19 05:07:54.236,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14352","","event-exporter_8bb65f3acfc2","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.233,2021-02-19 05:07:47.900,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14414","","a5febb9150e3","","Undefined Loc","","On-Prem",2020-04-02 16:04:27.076,2021-02-19 05:07:50.373,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14369","","nginx-3_0a1c60ed7e92","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.180,2021-02-19 05:07:48.600,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14444","","2bfa234841ab","","Undefined Loc","","On-Prem",2020-04-06 16:04:30.330,2021-02-19 05:07:51.480,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14495","","be6c6ff49904","","Undefined Loc","","On-Prem",2020-04-27 16:04:17.166,2021-02-19 05:07:53.133,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14531","","df627da965d7","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.676,2021-02-19 05:07:54.376,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14392","","coredns_25cf112421e4","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.853,2021-02-19 05:07:49.523,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14525","","Liza's Macbook","","Undefined Loc","","On-Prem",2020-04-29 15:20:50.080,2021-02-19 05:07:54.166,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14362","","dnsmasq_623c90fe426d","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.700,2021-02-19 05:07:48.310,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14427","","6df5af591ad9","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.256,2021-02-19 05:07:50.840,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14483","","d42-carbonite-10.42.29.1.20200423.134701","","Undefined Loc","","On-Prem",2020-04-23 14:05:27.356,2021-02-19 05:07:52.776,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14519","","96a2b034b8cd","","Undefined Loc","","On-Prem",2020-04-28 16:03:16.033,2021-02-19 05:07:53.943,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14407","","kube-proxy_8d026002f224","","Undefined Loc","","On-Prem",2020-04-02 13:18:14.256,2021-02-19 05:07:50.126,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14350","","8952839f2e6b","","Undefined Loc","","On-Prem",2020-04-01 16:05:02.373,2021-02-19 05:07:47.820,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14535","","21e439990653","","Undefined Loc","","On-Prem",2020-04-29 16:03:13.070,2021-02-19 05:07:54.520,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14374","","prometheus-to-sd-exporter_819b1eafb398","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.406,2021-02-19 05:07:48.803,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14432","","90b8794ba06a","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.696,2021-02-19 05:07:51.020,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14396","","omsagent_a68633e3d78d","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.033,2021-02-19 05:07:49.690,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14456","","a56c41b464e8","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.560,2021-02-19 05:07:51.940,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14521","","e434dd6fb3a4","","Undefined Loc","","On-Prem",2020-04-28 16:03:16.223,2021-02-19 05:07:54.013,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14449","","c5871a8e3123","","Undefined Loc","","On-Prem",2020-04-08 16:04:26.843,2021-02-19 05:07:51.676,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14493","","d2022650cf80","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.973,2021-02-19 05:07:53.063,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14496","","6abffcb02fc0","","Undefined Loc","","On-Prem",2020-04-27 16:04:17.266,2021-02-19 05:07:53.166,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14394","","main_64dedb2dee59","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.943,2021-02-19 05:07:49.606,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14372","","web_3bfdcdc335a4","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.316,2021-02-19 05:07:48.723,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14381","","kneeling-giraffe-master_39598259cc52","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.226,2021-02-19 05:07:49.083,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14445","","0d435624a69a","","Undefined Loc","","On-Prem",2020-04-07 16:04:50.243,2021-02-19 05:07:51.516,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14405","","coredns_4575eed1a06e","","Undefined Loc","","On-Prem",2020-04-02 13:18:14.166,2021-02-19 05:07:50.046,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14451","","f196f7af480c","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.070,2021-02-19 05:07:51.750,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14433","","c2e854e7a0a5","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.783,2021-02-19 05:07:51.060,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14349","","oracle device 2","","Undefined Loc","","On-Prem",2020-04-01 12:24:51.876,2021-02-19 05:07:47.783,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14490","","2979a9ec4bc1","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.683,2021-02-19 05:07:52.990,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14486","","4a8dbfe43db3","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.276,2021-02-19 05:07:52.850,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14395","","metrics-server_80e47d568fc6","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.990,2021-02-19 05:07:49.646,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14512","","9c38f1eb4da8","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.363,2021-02-19 05:07:53.693,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14475","","soaxp437.cloud2.siteox.com","","Undefined Loc","","On-Prem",2020-04-17 14:53:00.826,2021-02-19 05:07:52.510,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14517","","440d95d5f9d9","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.846,2021-02-19 05:07:53.870,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14442","","3cf5842446ed","","Undefined Loc","","On-Prem",2020-04-06 16:04:28.446,2021-02-19 05:07:51.396,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14480","","LPAR1","","Undefined Loc","","On-Prem",2020-04-22 14:50:45.320,2021-02-19 05:07:52.706,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14426","","61192f417eeb","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.163,2021-02-19 05:07:50.803,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14482","","ubu-integration-002-2-234.device42.pvt","","Undefined Loc","","On-Prem",2020-04-23 04:02:42.660,2021-02-19 05:07:52.743,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14404","","tunnel-front_83d7f64670f4","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.850,2021-02-19 05:07:50.006,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14450","","5270d84fc13f","","Undefined Loc","","On-Prem",2020-04-08 16:04:26.976,2021-02-19 05:07:51.713,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14514","","76f6358592a7","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.560,2021-02-19 05:07:53.763,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14366","","metrics-server-nanny_5be4cd1318ff","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.960,2021-02-19 05:07:48.476,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14417","","74721c970cf5","","Undefined Loc","","On-Prem",2020-04-02 16:04:27.350,2021-02-19 05:07:50.480,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14419","","43e3ccadfdb7","","Undefined Loc","","On-Prem",2020-04-02 16:04:27.526,2021-02-19 05:07:50.553,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14409","","omsagent_9e08ada7f0bd","","Undefined Loc","","On-Prem",2020-04-02 13:18:14.346,2021-02-19 05:07:50.200,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14386","","kube-proxy_19646d3f8eed","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.500,2021-02-19 05:07:49.283,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14440","","f803c0810483","","Undefined Loc","","On-Prem",2020-04-06 16:04:28.246,2021-02-19 05:07:51.323,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14553","","e264924d6617","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.526,2021-02-19 05:07:54.976,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14552","","e6b23910c3b9","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.430,2021-02-19 05:07:54.943,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14443","","230a27c0cdad","","Undefined Loc","","On-Prem",2020-04-06 16:04:28.546,2021-02-19 05:07:51.436,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14387","","omsagent_8c5c9a19a304","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.546,2021-02-19 05:07:49.323,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14420","","26d1f7b8a811","","Undefined Loc","","On-Prem",2020-04-02 16:04:27.616,2021-02-19 05:07:50.586,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14476","","New Virtual Machine","","Undefined Loc","","On-Prem",2020-04-18 14:13:42.886,2021-02-19 05:07:52.550,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14434","","a0393ccfc35e","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.873,2021-02-19 05:07:51.096,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14368","","php-redis_9f186a34424b","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.136,2021-02-19 05:07:48.556,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14365","","metrics-server_78fdcb819367","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.916,2021-02-19 05:07:48.436,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14359","","sidecar_989f8c5493f6","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.563,2021-02-19 05:07:48.186,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14506","","10.42.42.5","","Undefined Loc","","On-Prem",2020-04-28 13:32:11.096,2021-02-19 05:07:53.486,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14418","","7b23c200f412","","Undefined Loc","","On-Prem",2020-04-02 16:04:27.440,2021-02-19 05:07:50.516,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14454","","54f5d66fd7b7","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.376,2021-02-19 05:07:51.863,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14400","","kube-proxy_c1283f7d390f","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.633,2021-02-19 05:07:49.850,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14513","","6e900336d7bf","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.460,2021-02-19 05:07:53.730,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14533","","da76f707664a","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.873,2021-02-19 05:07:54.450,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14488","","6d42ec506818","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.486,2021-02-19 05:07:52.920,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14536","","0f1156851113","","Undefined Loc","","On-Prem",2020-04-29 16:03:13.166,2021-02-19 05:07:54.556,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14370","","nginx-3_8903d4e31294","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.226,2021-02-19 05:07:48.640,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14384","","coredns_7c11719838e0","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.406,2021-02-19 05:07:49.203,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14551","","19cbbed610d7","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.336,2021-02-19 05:07:54.906,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14554","","Freshworks-RC","","Undefined Loc","","On-Prem",2020-04-30 18:26:06.386,2021-02-19 05:07:55.013,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14478","","QA-WDS","","Undefined Loc","","On-Prem",2020-04-21 18:25:33.610,2021-02-19 05:07:52.623,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14406","","autoscaler_6dd11bfb71bd","","Undefined Loc","","On-Prem",2020-04-02 13:18:14.210,2021-02-19 05:07:50.086,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14371","","master_0c95978e97a6","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.270,2021-02-19 05:07:48.683,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14460","","7c6269ac4783","","Undefined Loc","","On-Prem",2020-04-08 16:04:27.923,2021-02-19 05:07:52.093,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14518","","2d8479b2e2a1","","Undefined Loc","","On-Prem",2020-04-28 16:03:15.940,2021-02-19 05:07:53.906,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14520","","153c4898d71d","","Undefined Loc","","On-Prem",2020-04-28 16:03:16.126,2021-02-19 05:07:53.976,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14375","","heapster_150a68b50ef9","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.453,2021-02-19 05:07:48.843,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14489","","3af2094576c3","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.586,2021-02-19 05:07:52.956,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14497","","40088afde0df","","Undefined Loc","","On-Prem",2020-04-27 16:04:17.363,2021-02-19 05:07:53.203,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14435","","0850d9f9c6cd","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.960,2021-02-19 05:07:51.133,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14428","","4baff9b43e68","","Undefined Loc","","On-Prem",2020-04-03 16:04:30.346,2021-02-19 05:07:50.876,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14546","","8d321552fe80","","Undefined Loc","","On-Prem",2020-04-30 16:05:05.843,2021-02-19 05:07:54.733,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14390","","kneeling-giraffe-worker_76154405abcf","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.763,2021-02-19 05:07:49.443,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14367","","nginx_88d5727ce3ed","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.090,2021-02-19 05:07:48.516,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14364","","prometheus-to-sd_fed8a3ab3def","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.793,2021-02-19 05:07:48.393,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14382","","kneeling-giraffe-worker_a3cd189c7852","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.313,2021-02-19 05:07:49.123,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14403","","omsagent_87b841b23877","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.766,2021-02-19 05:07:49.966,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14469","","crbntwd02fl9011","","Undefined Loc","","On-Prem",2020-04-11 14:03:11.326,2021-02-19 05:07:52.400,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14510","","10.42.42.142","","Undefined Loc","","On-Prem",2020-04-28 13:35:11.110,2021-02-19 05:07:53.623,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14529","","bb51813de42a","","Undefined Loc","","On-Prem",2020-04-29 16:03:12.476,2021-02-19 05:07:54.306,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14550","","954e2a62eef3","","Undefined Loc","","On-Prem",2020-04-30 16:05:06.236,2021-02-19 05:07:54.873,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14388","","omsagent_eeff6873e279","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.593,2021-02-19 05:07:49.363,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14393","","kube-proxy_78d7bc2717af","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.900,2021-02-19 05:07:49.563,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14377","","heapster-nanny_0a27924a7996","","Undefined Loc","","On-Prem",2020-04-02 13:16:13.543,2021-02-19 05:07:48.923,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14523","","support.impactbs.my","","Undefined Loc","","On-Prem",2020-04-28 18:05:11.113,2021-02-19 05:07:54.083,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14412","","eef4a6708eda","","Undefined Loc","","On-Prem",2020-04-02 16:04:26.893,2021-02-19 05:07:50.303,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14354","","fluentd-gcp-scaler_2a837ffc770f","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.330,2021-02-19 05:07:47.980,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14485","","SERVER2008R2","","Undefined Loc","","On-Prem",2020-04-27 00:24:17.170,2021-02-19 05:07:52.813,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14487","","6ff99a9c021b","","Undefined Loc","","On-Prem",2020-04-27 16:04:16.386,2021-02-19 05:07:52.886,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14389","","tunnel-front_586f21843604","","Undefined Loc","","On-Prem",2020-04-02 13:18:12.673,2021-02-19 05:07:49.403,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14441","","100df5aac689","","Undefined Loc","","On-Prem",2020-04-06 16:04:28.350,2021-02-19 05:07:51.360,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14537","","d1a8a9746173","","Undefined Loc","","On-Prem",2020-04-29 16:03:13.263,2021-02-19 05:07:54.590,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14399","","omsagent_e3a5aab7dc1a","","Undefined Loc","","On-Prem",2020-04-02 13:18:13.383,2021-02-19 05:07:49.810,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
"14355","","fluentd-gcp_7a39e363283a","","Undefined Loc","","On-Prem",2020-04-02 13:16:12.376,2021-02-19 05:07:48.023,2020-04-01 00:00:00.000,2021-03-01 00:00:00.000
