product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price
Prod054,Cus020,Mark011,2020-02-19 00:00:00.000,1.0,329.0,INR,0.1,32.9,296.1
Prod295,Cus020,Mark011,2018-04-06 00:00:00.000,1.0,130.0,INR,0.2,26.0,104.0
Prod306,Cus035,Mark007,2020-02-12 00:00:00.000,1.0,477.0,INR,0.36,171.72,305.28
Prod281,Cus029,Mark011,2018-12-20 00:00:00.000,1.0,56.0,INR,0.04,2.24,53.76
Prod123,Cus005,Mark004,2018-04-12 00:00:00.000,1.0,93.0,INR,-0.05,-4.65,97.65
Prod166,Cus002,Mark007,2019-05-16 00:00:00.000,1.0,657.0,INR,-0.35,-229.95,886.95
Prod320,Cus006,Mark004,2017-12-05 00:00:00.000,1.0,963.0,INR,-0.11,-105.93,1068.93
Prod134,Cus005,Mark004,2018-01-09 00:00:00.000,1.0,120.0,INR,0.36,43.2,76.8
Prod205,Cus007,Mark004,2018-01-30 00:00:00.000,1.0,1634.0,INR,0.31,506.54,1127.46
Prod271,Cus022,Mark011,2018-07-18 00:00:00.000,1.0,51.0,INR,0.1,5.1,45.9
Prod297,Cus021,Mark011,2020-03-13 00:00:00.000,1.0,162.0,INR,0.28,45.36,116.64
Prod054,Cus017,Mark011,2020-03-17 00:00:00.000,1.0,167.0,INR,0.22,36.74,130.26
Prod116,Cus018,Mark011,2018-12-14 00:00:00.000,1.0,333.0,INR,0.17,56.61,276.39
Prod135,Cus006,Mark004,2018-01-12 00:00:00.000,2.0,431.0,INR,0.38,163.78,267.22
Prod207,Cus007,Mark004,2018-03-12 00:00:00.000,1.0,944.0,INR,0.19,179.36,764.64
Prod267,Cus005,Mark004,2019-01-21 00:00:00.000,1.0,278.0,INR,0.33,91.74,186.26
Prod291,Cus001,Mark010,2019-10-31 00:00:00.000,1.0,134.0,INR,0.35,46.9,87.1
Prod116,Cus031,Mark005,2018-02-12 00:00:00.000,1.0,167.0,INR,-0.35,-58.45,225.45
Prod280,Cus019,Mark011,2019-02-21 00:00:00.000,1.0,37.0,INR,-0.01,-0.37,37.37
Prod302,Cus019,Mark011,2018-06-28 00:00:00.000,1.0,83.0,INR,-0.12,-9.96,92.96
Prod052,Cus023,Mark002,2018-02-09 00:00:00.000,1.0,315.0,INR,-0.09,-28.35,343.35
Prod292,Cus005,Mark004,2018-09-27 00:00:00.000,1.0,532.0,INR,-0.3,-159.6,691.6
Prod281,Cus021,Mark011,2019-04-19 00:00:00.000,2.0,380.0,INR,0.19,72.2,307.8
Prod149,Cus027,Mark003,2019-07-25 00:00:00.000,2.0,2486.0,INR,0.14,348.04,2137.96
Prod270,Cus005,Mark004,2018-05-03 00:00:00.000,1.0,463.0,INR,0.0,0.0,463.0
Prod334,Cus003,Mark003,2019-12-02 00:00:00.000,1.0,1093.0,INR,-0.15,-163.95,1256.95
Prod265,Cus020,Mark011,2020-02-12 00:00:00.000,1.0,245.0,INR,-0.14,-34.3,279.3
Prod246,Cus031,Mark005,2018-03-30 00:00:00.000,1.0,259.0,INR,-0.09,-23.31,282.31
Prod123,Cus018,Mark011,2019-05-27 00:00:00.000,1.0,333.0,INR,-0.31,-103.23,436.23
Prod334,Cus037,Mark007,2020-04-24 00:00:00.000,1.0,894.0,INR,-0.2,-178.8,1072.8
Prod271,Cus022,Mark011,2018-04-27 00:00:00.000,1.0,199.0,INR,-0.23,-45.77,244.77
Prod128,Cus005,Mark004,2018-01-17 00:00:00.000,1.0,125.0,INR,0.25,31.25,93.75
Prod267,Cus017,Mark011,2018-09-10 00:00:00.000,1.0,125.0,INR,-0.08,-10.0,135.0
Prod283,Cus024,Mark011,2019-09-26 00:00:00.000,1.0,111.0,INR,0.23,25.53,85.47
Prod161,Cus010,Mark003,2019-06-05 00:00:00.000,2.0,1949.0,INR,-0.1,-194.9,2143.9
Prod295,Cus024,Mark011,2018-07-09 00:00:00.000,1.0,130.0,INR,0.13,16.9,113.1
Prod118,Cus003,Mark003,2018-01-29 00:00:00.000,1.0,176.0,INR,0.16,28.16,147.84
Prod166,Cus036,Mark007,2019-02-20 00:00:00.000,1.0,528.0,INR,0.39,205.92,322.08
Prod274,Cus007,Mark004,2019-01-25 00:00:00.000,1.0,181.0,INR,0.14,25.34,155.66
Prod327,Cus003,Mark003,2018-10-19 00:00:00.000,1.0,3019.0,INR,-0.01,-30.19,3049.19
Prod113,Cus019,Mark011,2019-05-09 00:00:00.000,1.0,190.0,INR,0.39,74.1,115.9
Prod292,Cus019,Mark011,2018-10-23 00:00:00.000,1.0,426.0,INR,0.04,17.04,408.96
Prod290,Cus020,Mark011,2019-12-04 00:00:00.000,1.0,93.0,INR,0.12,11.16,81.84
Prod265,Cus020,Mark011,2018-09-14 00:00:00.000,1.0,569.0,INR,-0.17,-96.73,665.73
Prod269,Cus006,Mark004,2020-06-05 00:00:00.000,1.0,213.0,INR,-0.31,-66.03,279.03
Prod269,Cus026,Mark011,2018-09-17 00:00:00.000,1.0,102.0,INR,0.0,0.0,102.0
Prod281,Cus020,Mark011,2020-05-11 00:00:00.000,1.0,167.0,INR,-0.26,-43.42,210.42
Prod246,Cus031,Mark005,2018-10-12 00:00:00.000,2.0,384.0,INR,-0.27,-103.68,487.68
Prod114,Cus018,Mark011,2019-12-18 00:00:00.000,1.0,292.0,INR,0.29,84.68,207.32
Prod279,Cus020,Mark011,2019-06-18 00:00:00.000,1.0,407.0,INR,-0.01,-4.07,411.07
