Pedido,variable,value
179289,Cod.Produto,21.0
19851,Cod.Produto,16.0
88083,Cod.Produto,21.0
40575,Cod.Produto,16.0
104724,Cod.Produto,9.0
50769,Cod.Produto,22.0
31042,Cod.Produto,23.0
57765,Cod.Produto,13.0
144218,Cod.Produto,17.0
133392,Cod.Produto,17.0
65154,Cod.Produto,13.0
157970,Cod.Produto,43.0
16914,Cod.Produto,22.0
29061,Cod.Produto,22.0
41358,Cod.Produto,9.0
82009,Cod.Produto,1.0
151200,Cod.Produto,24.0
58411,Cod.Produto,17.0
114772,Cod.Produto,23.0
130039,Cod.Produto,24.0
78555,Cod.Produto,38.0
50418,Cod.Produto,13.0
192193,Cod.Produto,17.0
103659,Cod.Produto,24.0
158837,Cod.Produto,22.0
63506,Cod.Produto,21.0
102983,Qtde,270.0
189659,Qtde,120.0
18241,Qtde,12.0
169993,Qtde,120.0
92502,Qtde,210.0
39905,Qtde,135.0
103616,Qtde,12.0
135192,Qtde,12.0
114754,Qtde,24.0
186164,Qtde,68.0
87992,Qtde,135.0
47953,Qtde,60.0
76484,Qtde,12.0
149907,Qtde,30.0
196214,Qtde,120.0
136090,Qtde,405.0
45021,Qtde,135.0
117982,Qtde,135.0
69379,Qtde,19.0
157233,Qtde,135.0
41542,Qtde,12.0
158793,Qtde,54.0
156712,Qtde,60.0
80290,Qtde,120.0
115578,Qtde,60.0
66115,Qtde,150.0
155747,Qtde,36.0
53049,Qtde,371.0
50712,Qtde,810.0
82360,Qtde,60.0
161450,Qtde,60.0
105157,Qtde,294.0
168936,Qtde,12.0
180640,Qtde,390.0
39888,Qtde,24.0
97282,Qtde,96.0
79761,Qtde,10.0
82271,Qtde,60.0
24104,Qtde,12.0
42577,Qtde,405.0
29698,Qtde,405.0
141136,Qtde,60.0
157091,Qtde,338.0
31638,Qtde,27.0
146216,Qtde,45.0
91231,Qtde,24.0
189575,Qtde,270.0
125293,Qtde,375.0
76055,Qtde,92.0
31140,Qtde,24.0
31149,Qtde,240.0
193869,Qtde,405.0
103183,Qtde,60.0
149307,Qtde,675.0
73497,Qtde,675.0
179411,Qtde,24.0
39464,Qtde,12.0
185854,Qtde,203.0
103991,Qtde,270.0
66414,Qtde,36.0
171567,Qtde,338.0
35951,Qtde,12.0
147984,Qtde,525.0
128804,Qtde,270.0
68892,Qtde,12.0
82228,Qtde,60.0
153548,Qtde,135.0
97358,Qtde,12.0
82448,Qtde,24.0
172714,Qtde,60.0
75074,Qtde,12.0
87639,Qtde,60.0
41160,Qtde,48.0
82479,Qtde,135.0
179289,Qtde,60.0
19851,Qtde,135.0
88083,Qtde,60.0
40575,Qtde,81.0
104724,Qtde,60.0
50769,Qtde,60.0
31042,Qtde,12.0
57765,Qtde,12.0
144218,Qtde,270.0
133392,Qtde,405.0
65154,Qtde,24.0
157970,Qtde,8.0
16914,Qtde,60.0
29061,Qtde,84.0
41358,Qtde,12.0
82009,Qtde,36.0
151200,Qtde,600.0
58411,Qtde,81.0
114772,Qtde,36.0
130039,Qtde,169.0
78555,Qtde,80.0
50418,Qtde,36.0
192193,Qtde,135.0
103659,Qtde,108.0
158837,Qtde,90.0
63506,Qtde,36.0
102983,Vl.Unitario,2.25
189659,Vl.Unitario,2.5
18241,Vl.Unitario,2.05
169993,Vl.Unitario,2.3
92502,Vl.Unitario,2.02
39905,Vl.Unitario,1.07
103616,Vl.Unitario,3.1
135192,Vl.Unitario,2.5
114754,Vl.Unitario,2.42
186164,Vl.Unitario,0.67
87992,Vl.Unitario,1.88
47953,Vl.Unitario,2.15
76484,Vl.Unitario,3.2
149907,Vl.Unitario,2.0
196214,Vl.Unitario,2.47
136090,Vl.Unitario,1.75
45021,Vl.Unitario,0.55
117982,Vl.Unitario,2.25
69379,Vl.Unitario,30.0
157233,Vl.Unitario,1.95
41542,Vl.Unitario,1.95
158793,Vl.Unitario,0.6
156712,Vl.Unitario,1.97
80290,Vl.Unitario,2.1
115578,Vl.Unitario,2.35
66115,Vl.Unitario,3.4
155747,Vl.Unitario,2.1
53049,Vl.Unitario,2.32
50712,Vl.Unitario,2.13
82360,Vl.Unitario,2.2
161450,Vl.Unitario,2.25
105157,Vl.Unitario,9.24
168936,Vl.Unitario,2.45
180640,Vl.Unitario,3.25
39888,Vl.Unitario,2.57
97282,Vl.Unitario,2.35
79761,Vl.Unitario,26.0
82271,Vl.Unitario,2.7
24104,Vl.Unitario,2.5
42577,Vl.Unitario,1.8
29698,Vl.Unitario,1.83
141136,Vl.Unitario,2.1
157091,Vl.Unitario,1.35
31638,Vl.Unitario,0.57
146216,Vl.Unitario,30.0
91231,Vl.Unitario,3.0
189575,Vl.Unitario,2.42
125293,Vl.Unitario,1.95
76055,Vl.Unitario,30.0
31140,Vl.Unitario,1.98
31149,Vl.Unitario,1.91
193869,Vl.Unitario,1.69
103183,Vl.Unitario,2.35
149307,Vl.Unitario,1.72
73497,Vl.Unitario,2.7
179411,Vl.Unitario,3.7
39464,Vl.Unitario,2.68
185854,Vl.Unitario,2.74
103991,Vl.Unitario,2.35
66414,Vl.Unitario,3.42
171567,Vl.Unitario,1.45
35951,Vl.Unitario,2.24
147984,Vl.Unitario,1.7
128804,Vl.Unitario,1.8
68892,Vl.Unitario,2.99
82228,Vl.Unitario,2.85
153548,Vl.Unitario,1.41
97358,Vl.Unitario,2.9
82448,Vl.Unitario,30.0
172714,Vl.Unitario,7.5
75074,Vl.Unitario,2.7
87639,Vl.Unitario,1.9
41160,Vl.Unitario,21.0
82479,Vl.Unitario,1.75
179289,Vl.Unitario,3.1
19851,Vl.Unitario,0.7
88083,Vl.Unitario,1.99
40575,Vl.Unitario,0.6
104724,Vl.Unitario,3.12
50769,Vl.Unitario,2.4
31042,Vl.Unitario,2.82
57765,Vl.Unitario,2.4
144218,Vl.Unitario,1.38
133392,Vl.Unitario,1.5
65154,Vl.Unitario,2.35
157970,Vl.Unitario,26.0
16914,Vl.Unitario,2.37
29061,Vl.Unitario,1.87
41358,Vl.Unitario,2.68
82009,Vl.Unitario,2.9
151200,Vl.Unitario,1.72
58411,Vl.Unitario,1.45
114772,Vl.Unitario,2.8
130039,Vl.Unitario,1.9
78555,Vl.Unitario,23.0
50418,Vl.Unitario,2.4
192193,Vl.Unitario,1.5
103659,Vl.Unitario,2.4
158837,Vl.Unitario,2.0
63506,Vl.Unitario,3.15
102983,Vl.Total,607.5
189659,Vl.Total,300.0
18241,Vl.Total,24.6
169993,Vl.Total,276.0
92502,Vl.Total,424.2
39905,Vl.Total,144.45
103616,Vl.Total,37.2
135192,Vl.Total,30.0
114754,Vl.Total,58.08
186164,Vl.Total,45.56
87992,Vl.Total,253.8
47953,Vl.Total,129.0
76484,Vl.Total,38.4
149907,Vl.Total,60.0
196214,Vl.Total,296.4
136090,Vl.Total,708.75
45021,Vl.Total,74.25
117982,Vl.Total,303.75
69379,Vl.Total,570.0
157233,Vl.Total,263.25
41542,Vl.Total,23.4
158793,Vl.Total,32.4
156712,Vl.Total,118.2
80290,Vl.Total,252.0
115578,Vl.Total,141.0
66115,Vl.Total,510.0
155747,Vl.Total,75.6
53049,Vl.Total,860.72
50712,Vl.Total,1725.3
82360,Vl.Total,132.0
161450,Vl.Total,135.0
105157,Vl.Total,2716.56
168936,Vl.Total,29.4
180640,Vl.Total,1267.5
39888,Vl.Total,61.68
97282,Vl.Total,225.6
79761,Vl.Total,260.0
82271,Vl.Total,162.0
24104,Vl.Total,30.0
42577,Vl.Total,729.0
29698,Vl.Total,741.15
141136,Vl.Total,126.0
157091,Vl.Total,456.3
31638,Vl.Total,15.39
146216,Vl.Total,1350.0
91231,Vl.Total,72.0
189575,Vl.Total,653.4
125293,Vl.Total,731.25
76055,Vl.Total,2760.0
31140,Vl.Total,47.52
31149,Vl.Total,458.4
193869,Vl.Total,684.45
103183,Vl.Total,141.0
149307,Vl.Total,1161.0
73497,Vl.Total,1822.5
179411,Vl.Total,88.8
39464,Vl.Total,32.16
185854,Vl.Total,556.22
103991,Vl.Total,634.5
66414,Vl.Total,123.12
171567,Vl.Total,490.1
35951,Vl.Total,26.88
147984,Vl.Total,892.5
128804,Vl.Total,486.0
68892,Vl.Total,35.88
82228,Vl.Total,171.0
153548,Vl.Total,190.35
97358,Vl.Total,34.8
82448,Vl.Total,720.0
172714,Vl.Total,450.0
75074,Vl.Total,32.4
87639,Vl.Total,114.0
41160,Vl.Total,1008.0
82479,Vl.Total,236.25
179289,Vl.Total,186.0
19851,Vl.Total,94.5
88083,Vl.Total,119.4
40575,Vl.Total,48.6
104724,Vl.Total,187.2
50769,Vl.Total,144.0
31042,Vl.Total,33.84
57765,Vl.Total,28.8
144218,Vl.Total,372.6
133392,Vl.Total,607.5
65154,Vl.Total,56.4
157970,Vl.Total,208.0
16914,Vl.Total,142.2
29061,Vl.Total,157.08
41358,Vl.Total,32.16
82009,Vl.Total,104.4
151200,Vl.Total,1032.0
58411,Vl.Total,117.45
114772,Vl.Total,100.8
130039,Vl.Total,321.1
78555,Vl.Total,1840.0
50418,Vl.Total,86.4
192193,Vl.Total,202.5
103659,Vl.Total,259.2
158837,Vl.Total,180.0
63506,Vl.Total,113.4
