DateKey,FiscalYear
20180306,2017
20180307,2017
20180308,2017
20180309,2017
20180310,2017
20180311,2017
20180312,2017
20180313,2017
20180314,2017
20180315,2017
20180316,2017
20180317,2017
20180318,2017
20180319,2017
20180320,2017
20180321,2017
20180322,2017
20180323,2017
20180324,2017
20180325,2017
20180326,2017
20180327,2017
20180328,2017
20180329,2017
20180330,2017
20180331,2017
20180401,2018
20180402,2018
20180403,2018
20180404,2018
20180405,2018
20180406,2018
20180407,2018
20180408,2018
20180409,2018
20180410,2018
20180411,2018
20180412,2018
20180413,2018
20180414,2018
20180415,2018
20180416,2018
20180417,2018
20180418,2018
20180419,2018
20180420,2018
20180421,2018
20180422,2018
20180423,2018
20180424,2018
20180425,2018
20180426,2018
20180427,2018
20180428,2018
20180429,2018
20180430,2018
20180501,2018
20180502,2018
20180503,2018
20180504,2018
20180505,2018
20180506,2018
20180507,2018
20180508,2018
20180509,2018
20180510,2018
20180511,2018
20180512,2018
20180513,2018
20180514,2018
20180515,2018
20180516,2018
20180517,2018
20180518,2018
20180519,2018
20180520,2018
20180521,2018
20180522,2018
20180523,2018
20180524,2018
20180525,2018
20180526,2018
20180527,2018
20180528,2018
20180529,2018
20180530,2018
20180531,2018
20180601,2018
20180602,2018
20180603,2018
20180604,2018
20180605,2018
20180606,2018
20180607,2018
20180608,2018
20180609,2018
20180610,2018
20180611,2018
20180612,2018
20180613,2018
20180614,2018
20180615,2018
20180616,2018
20180617,2018
20180618,2018
20180619,2018
20180620,2018
20180621,2018
20180622,2018
20180623,2018
20180624,2018
20180625,2018
20180626,2018
20180627,2018
20180628,2018
20180629,2018
20180630,2018
20180701,2018
20180702,2018
20180703,2018
20180704,2018
20180705,2018
20180706,2018
20180707,2018
20180708,2018
20180709,2018
20180710,2018
20180711,2018
20180712,2018
20180713,2018
20180714,2018
20180715,2018
20180716,2018
20180717,2018
20180718,2018
20180719,2018
20180720,2018
20180721,2018
20180722,2018
20180723,2018
20180724,2018
20180725,2018
20180726,2018
20180727,2018
20180728,2018
20180729,2018
20180730,2018
20180731,2018
20180801,2018
20180802,2018
20180803,2018
20180804,2018
20180805,2018
20180806,2018
20180807,2018
20180808,2018
20180809,2018
20180810,2018
20180811,2018
20180812,2018
20180813,2018
20180814,2018
20180815,2018
20180816,2018
20180817,2018
20180818,2018
20180819,2018
20180820,2018
20180821,2018
20180822,2018
20180823,2018
20180824,2018
20180825,2018
20180826,2018
20180827,2018
20180828,2018
20180829,2018
20180830,2018
20180831,2018
20180901,2018
20180902,2018
20180903,2018
20180904,2018
20180905,2018
20180906,2018
20180907,2018
20180908,2018
20180909,2018
20180910,2018
20180911,2018
20180912,2018
20180913,2018
20180914,2018
20180915,2018
20180916,2018
20180917,2018
20180918,2018
20180919,2018
20180920,2018
20180921,2018
20180922,2018
20180923,2018
20180924,2018
20180925,2018
20180926,2018
20180927,2018
20180928,2018
20180929,2018
20180930,2018
20181001,2018
20181002,2018
20181003,2018
20181004,2018
20181005,2018
20181006,2018
20181007,2018
20181008,2018
20181009,2018
20181010,2018
20181011,2018
20181012,2018
20181013,2018
20181014,2018
20181015,2018
20181016,2018
20181017,2018
20181018,2018
20181019,2018
20181020,2018
20181021,2018
20181022,2018
20181023,2018
20181024,2018
20181025,2018
20181026,2018
20181027,2018
20181028,2018
20181029,2018
20181030,2018
20181031,2018
20181101,2018
20181102,2018
20181103,2018
20181104,2018
20181105,2018
20181106,2018
20181107,2018
20181108,2018
20181109,2018
20181110,2018
20181111,2018
20181112,2018
20181113,2018
20181114,2018
20181115,2018
20181116,2018
20181117,2018
20181118,2018
20181119,2018
20181120,2018
20181121,2018
20181122,2018
20181123,2018
20181124,2018
20181125,2018
20181126,2018
20181127,2018
20181128,2018
20181129,2018
20181130,2018
20181201,2018
20181202,2018
20181203,2018
20181204,2018
20181205,2018
20181206,2018
20181207,2018
20181208,2018
20181209,2018
20181210,2018
20181211,2018
20181212,2018
20181213,2018
20181214,2018
20181215,2018
20181216,2018
20181217,2018
20181218,2018
20181219,2018
20181220,2018
20181221,2018
20181222,2018
20181223,2018
20181224,2018
20181225,2018
20181226,2018
20181227,2018
20181228,2018
20181229,2018
20181230,2018
20181231,2018
20190101,2018
20160101,2015
20160102,2015
20160103,2015
20160104,2015
20160105,2015
20160106,2015
20160107,2015
20160108,2015
20160109,2015
20160110,2015
20160111,2015
20160112,2015
20160113,2015
20160114,2015
20160115,2015
20160116,2015
20160117,2015
20160118,2015
20160119,2015
20160120,2015
20160121,2015
20160122,2015
20160123,2015
20160124,2015
20160125,2015
20160126,2015
20160127,2015
20160128,2015
20160129,2015
20160130,2015
20160131,2015
20160201,2015
20160202,2015
20160203,2015
20160204,2015
20160205,2015
20160206,2015
20160207,2015
20160208,2015
20160209,2015
20160210,2015
20160211,2015
20160212,2015
20160213,2015
20160214,2015
20160215,2015
20160216,2015
20160217,2015
20160218,2015
20160219,2015
20160220,2015
20160221,2015
20160222,2015
20160223,2015
20160224,2015
20160225,2015
20160226,2015
20160227,2015
20160228,2015
20160229,2015
20160301,2015
20160302,2015
20160303,2015
20160304,2015
20160305,2015
20160306,2015
20160307,2015
20160308,2015
20160309,2015
20160310,2015
20160311,2015
20160312,2015
20160313,2015
20160314,2015
20160315,2015
20160316,2015
20160317,2015
20160318,2015
20160319,2015
20160320,2015
20160321,2015
20160322,2015
20160323,2015
20160324,2015
20160325,2015
20160326,2015
20160327,2015
20160328,2015
20160329,2015
20160330,2015
20160331,2015
