ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
"IN10269599","NEW","","","","",
"IN10269603","NEW","","","","",
"IN10269605","NEW","","","","",
"IN10269606","NEW","","","","",
"IN10269612","NEW","","","","",
"IN10269617","NEW","","","","",
"IN10269618","NEW","","","","",
"IN10269621","NEW","","","","",
"IN10269626","NEW","","","","",
"IN10269627","NEW","","","","",
"IN10269628","NEW","","","","",
"IN10269629","NEW","","","","",
"IN10269630","NEW","","","","",
"IN10269632","NEW","","","","",
"IN10269636","NEW","","","","",
"IN10269637","NEW","","","","",
"IN10269638","NEW","","","","",
"IN10269639","NEW","","","","",
"IN10269640","NEW","","","","",
"IN10269647","NEW","","","","",
"IN10269648","NEW","","","","",
"IN10269650","NEW","","","","",
"IN10269651","NEW","","","","",
"IN10269652","NEW","","","","",
"IN10269653","NEW","","","","",
"IN10269654","NEW","","","","",
"IN10269656","NEW","","","","",
"IN10269658","NEW","","","","",
"IN10269659","NEW","","","","",
"IN10269661","NEW","","","","",
"IN10269662","NEW","","","","",
"IN10269663","NEW","","","","",
"IN10269665","NEW","","","","",
"IN10269670","NEW","","","","",
"IN10269671","NEW","","","","",
"IN10269673","NEW","","","","",
"IN10269674","NEW","","","","",
"IN10269676","NEW","","","","",
"IN10269677","NEW","","","","",
"IN10269679","NEW","","","","",
"IN10269681","NEW","","","","",
"IN10269682","NEW","","","","",
"IN10269683","NEW","","","","",
"IN10269685","NEW","","","","",
"IN10269686","NEW","","","","",
"IN10269687","NEW","","","","",
"IN10269688","NEW","","","","",
"IN10269689","NEW","","","","",
"IN10269691","NEW","","","","",
"IN10269694","NEW","","","","",
"IN10269695","NEW","","","","",
"IN10269697","NEW","","","","",
"IN10269698","NEW","","","","",
"IN10269699","NEW","","","","",
"IN10269701","NEW","","","","",
"IN10269703","NEW","","","","",
"IN10269704","NEW","","","","",
"IN10269705","NEW","","","","",
"IN10269707","NEW","","","","",
"IN10269709","NEW","","","","",
"IN10269710","NEW","","","","",
"IN10269713","NEW","","","","",
"IN10269714","NEW","","","","",
"IN10269715","NEW","","","","",
"IN10269716","NEW","","","","",
"IN10269717","NEW","","","","",
"IN10269718","NEW","","","","",
"IN10269719","NEW","","","","",
"IN10269720","NEW","","","","",
"IN10269723","NEW","","","","",
"IN10269724","NEW","","","","",
"IN10269726","NEW","","","","",
"IN10269730","NEW","","","","",
"IN10269733","NEW","","","","",
"IN10269752","NEW","","","","",
"IN10269755","NEW","","","","",
"IN10269762","NEW","","","","",
"IN10269763","NEW","","","","",
"IN10269767","NEW","","","","",
"IN10269768","NEW","","","","",
"IN10269769","NEW","","","","",
"IN10269770","NEW","","","","",
"IN10269771","NEW","","","","",
"IN10269774","NEW","","","","",
"IN10269778","NEW","","","","",
"IN10269779","NEW","","","","",
"IN10269781","NEW","","","","",
"IN10269785","NEW","","","","",
"IN10269786","NEW","","","","",
"IN10269788","NEW","","","","",
"IN10269799","NEW","","","","",
"IN10269801","NEW","","","","",
"IN10269802","NEW","","","","",
"IN10269804","NEW","","","","",
"IN10269805","NEW","","","","",
"IN10269806","NEW","","","","",
"IN10269808","NEW","","","","",
"IN10269809","NEW","","","","",
"IN10269811","NEW","","","","",
"IN10269812","NEW","","","","",
"IN10269813","NEW","","","","",
"IN10269814","NEW","","","","",
"IN10269815","NEW","","","","",
"IN10269818","NEW","","","","",
"IN10269819","NEW","","","","",
"IN10269821","NEW","","","","",
"IN10269823","NEW","","","","",
"IN10269824","NEW","","","","",
"IN10269833","NEW","","","","",
"IN10269838","NEW","","","","",
"IN10269844","NEW","","","","",
"IN10269846","NEW","","","","",
"IN10269847","NEW","","","","",
"IN10269848","NEW","","","","",
"IN10269852","NEW","","","","",
"IN10269853","NEW","","","","",
"IN10269856","NEW","","","","",
"IN10269857","NEW","","","","",
"IN10269858","NEW","","","","",
"IN10269859","NEW","","","","",
"IN10269870","NEW","","","","",
"IN10269872","NEW","","","","",
"IN10269881","NEW","","","","",
"IN10269884","NEW","","","","",
"IN10269910","NEW","","","","",
"IN10269914","NEW","","","","",
"IN10269915","NEW","","","","",
"IN10269917","NEW","","","","",
"IN10269918","NEW","","","","",
"IN10269943","NEW","","","","",
"IN10269945","NEW","","","","",
"IN10269946","NEW","","","","",
"IN10269947","NEW","","","","",
"IN10269948","NEW","","","","",
"IN10269950","NEW","","","","",
"IN10269951","NEW","","","","",
"IN10269952","NEW","","","","",
"IN10269955","NEW","","","","",
"IN10269956","NEW","","","","",
"IN10269959","NEW","","","","",
"IN10269960","NEW","","","","",
"IN10269961","NEW","","","","",
"IN10269962","NEW","","","","",
"IN10269963","NEW","","","","",
"IN10269964","NEW","","","","",
"IN10269965","NEW","","","","",
"IN10269966","NEW","","","","",
"IN10269967","NEW","","","","",
"IN10269969","NEW","","","","",
"IN10269974","NEW","","","","",
"IN10269976","NEW","","","","",
"IN10269977","NEW","","","","",
"IN10269978","NEW","","","","",
"IN10269979","NEW","","","","",
"IN10269980","NEW","","","","",
"IN10269985","NEW","","","","",
"IN10269986","NEW","","","","",
"IN10269987","NEW","","","","",
"IN10269988","NEW","","","","",
"IN10269989","NEW","","","","",
"IN10269990","NEW","","","","",
"IN10269991","NEW","","","","",
"IN10269992","NEW","","","","",
"IN10269993","NEW","","","","",
"IN10269995","NEW","","","","",
"IN10269996","NEW","","","","",
"IN10269997","NEW","","","","",
"IN10269999","NEW","","","","",
"IN10270000","NEW","","","","",
"IN10270001","NEW","","","","",
"IN10270002","NEW","","","","",
"IN10270003","NEW","","","","",
"IN10270004","NEW","","","","",
"IN10270006","NEW","","","","",
"IN10270007","NEW","","","","",
"IN10270009","NEW","","","","",
"IN10270010","NEW","","","","",
"IN10270012","NEW","","","","",
"IN10270014","NEW","","","","",
"IN10270015","NEW","","","","",
"IN10270018","NEW","","","","",
"IN10270019","NEW","","","","",
"IN10270020","NEW","","","","",
"IN10270021","NEW","","","","",
"IN10270022","NEW","","","","",
"IN10270025","NEW","","","","",
"IN10270027","NEW","","","","",
"IN10270028","NEW","","","","",
"IN10270036","NEW","","","","",
"IN10270041","NEW","","","","",
"IN10270043","NEW","","","","",
"IN10270048","NEW","","","","",
"IN10270049","NEW","","","","",
"IN10270051","NEW","","","","",
"IN10270052","NEW","","","","",
"IN10270054","NEW","","","","",
"IN10270055","NEW","","","","",
"IN10270056","NEW","","","","",
"IN10270057","NEW","","","","",
"IN10270058","NEW","","","","",
"IN10270059","NEW","","","","",
"IN10270061","NEW","","","","",
"IN10270067","NEW","","","","",
"IN10270068","NEW","","","","",
"IN10270072","NEW","","","","",
"IN10270073","NEW","","","","",
"IN10270076","NEW","","","","",
"IN10270077","NEW","","","","",
"IN10270079","NEW","","","","",
"IN10270081","NEW","","","","",
"IN10270082","NEW","","","","",
"IN10270083","NEW","","","","",
"IN10270084","NEW","","","","",
"IN10270086","NEW","","","","",
"IN10270088","NEW","","","","",
"IN10270089","NEW","","","","",
"IN10270090","NEW","","","","",
"IN10270091","NEW","","","","",
"IN10270092","NEW","","","","",
"IN10270094","NEW","","","","",
"IN10270095","NEW","","","","",
"IN10270096","NEW","","","","",
"IN10270098","NEW","","","","",
"IN10270101","NEW","","","","",
"IN10270102","NEW","","","","",
"IN10270104","NEW","","","","",
"IN10270105","NEW","","","","",
"IN10270106","NEW","","","","",
"IN10270107","NEW","","","","",
"IN10270108","NEW","","","","",
"IN10270109","NEW","","","","",
"IN10270110","NEW","","","","",
"IN10270111","NEW","","","","",
"IN10270112","NEW","","","","",
"IN10270114","NEW","","","","",
"IN10270117","NEW","","","","",
"IN10270118","NEW","","","","",
"IN10270121","NEW","","","","",
"IN10270125","NEW","","","","",
"IN10270127","NEW","","","","",
"IN10270129","NEW","","","","",
"IN10270130","NEW","","","","",
"IN10270131","NEW","","","","",
"IN10270137","NEW","","","","",
"IN10270138","NEW","","","","",
"IN10270139","NEW","","","","",
"IN10270141","NEW","","","","",
"IN10270142","NEW","","","","",
"IN10270143","NEW","","","","",
"IN10270144","NEW","","","","",
"IN10270145","NEW","","","","",
"IN10270146","NEW","","","","",
"IN10270148","NEW","","","","",
"IN10270149","NEW","","","","",
"IN10270151","NEW","","","","",
"IN10270155","NEW","","","","",
"IN10270156","NEW","","","","",
"IN10270157","NEW","","","","",
"IN10270158","NEW","","","","",
"IN10270159","NEW","","","","",
"IN10270161","NEW","","","","",
"IN10270165","NEW","","","","",
"IN10270167","NEW","","","","",
"IN10270168","NEW","","","","",
"IN10270169","NEW","","","","",
"IN10270170","NEW","","","","",
"IN10270171","NEW","","","","",
"IN10270172","NEW","","","","",
"IN10270173","NEW","","","","",
"IN10270174","NEW","","","","",
"IN10270175","NEW","","","","",
"IN10270177","NEW","","","","",
"IN10270179","NEW","","","","",
"IN10270180","NEW","","","","",
"IN10270181","NEW","","","","",
"IN10270183","NEW","","","","",
"IN10270184","NEW","","","","",
"IN10270185","NEW","","","","",
"IN10270186","NEW","","","","",
"IN10270189","NEW","","","","",
"IN10270192","NEW","","","","",
"IN10270194","NEW","","","","",
"IN10270195","NEW","","","","",
"IN10270196","NEW","","","","",
"IN10270197","NEW","","","","",
"IN10270200","NEW","","","","",
"IN10270203","NEW","","","","",
"IN10270204","NEW","","","","",
"IN10270205","NEW","","","","",
"IN10270206","NEW","","","","",
"IN10270207","NEW","","","","",
"IN10270211","NEW","","","","",
"IN10270213","NEW","","","","",
"IN10270214","NEW","","","","",
"IN10270218","NEW","","","","",
"IN10270219","NEW","","","","",
"IN10270222","NEW","","","","",
"IN10270223","NEW","","","","",
"IN10270224","NEW","","","","",
"IN10270227","NEW","","","","",
"IN10270229","NEW","","","","",
"IN10270230","NEW","","","","",
"IN10270231","NEW","","","","",
"IN10270233","NEW","","","","",
"IN10270234","NEW","","","","",
"IN10270235","NEW","","","","",
"IN10270236","NEW","","","","",
"IN10270240","NEW","","","","",
"IN10270241","NEW","","","","",
"IN10270244","NEW","","","","",
"IN10270248","NEW","","","","",
"IN10270251","NEW","","","","",
"IN10270252","NEW","","","","",
"IN10270264","NEW","","","","",
"IN10270268","NEW","","","","",
"IN10270270","NEW","","","","",
"IN10270271","NEW","","","","",
"IN10270272","NEW","","","","",
"IN10270273","NEW","","","","",
"IN10270274","NEW","","","","",
"IN10270275","NEW","","","","",
"IN10270276","NEW","","","","",
"IN10270277","NEW","","","","",
"IN10270278","NEW","","","","",
"IN10270280","NEW","","","","",
"IN10270281","NEW","","","","",
"IN10270282","NEW","","","","",
"IN10270284","NEW","","","","",
"IN10270286","NEW","","","","",
"IN10270287","NEW","","","","",
"IN10270289","NEW","","","","",
"IN10270293","NEW","","","","",
"IN10270294","NEW","","","","",
"IN10270298","NEW","","","","",
"IN10270300","NEW","","","","",
"IN10270301","NEW","","","","",
"IN10270304","NEW","","","","",
"IN10270305","NEW","","","","",
"IN10270306","NEW","","","","",
"IN10270307","NEW","","","","",
"IN10270308","NEW","","","","",
"IN10270309","NEW","","","","",
"IN10270310","NEW","","","","",
"IN10270311","NEW","","","","",
"IN10270312","NEW","","","","",
"IN10270313","NEW","","","","",
"IN10270317","NEW","","","","",
"IN10270318","NEW","","","","",
"IN10270319","NEW","","","","",
"IN10270322","NEW","","","","",
"IN10270323","NEW","","","","",
"IN10270324","NEW","","","","",
"IN10270325","NEW","","","","",
"IN10270330","NEW","","","","",
"IN10270331","NEW","","","","",
"IN10270333","NEW","","","","",
"IN10270336","NEW","","","","",
"IN10270339","NEW","","","","",
"IN10270341","NEW","","","","",
"IN10270342","NEW","","","","",
"IN10270344","NEW","","","","",
"IN10270345","NEW","","","","",
"IN10270346","NEW","","","","",
"IN10270347","NEW","","","","",
"IN10270348","NEW","","","","",
"IN10270349","NEW","","","","",
"IN10270350","NEW","","","","",
"IN10270351","NEW","","","","",
"IN10270352","NEW","","","","",
"IN10270355","NEW","","","","",
"IN10270356","NEW","","","","",
"IN10270357","NEW","","","","",
"IN10270359","NEW","","","","",
"IN10270360","NEW","","","","",
"IN10270361","NEW","","","","",
"IN10270362","NEW","","","","",
"IN10270367","NEW","","","","",
"IN10270380","NEW","","","","",
"IN10270381","NEW","","","","",
"IN10270382","NEW","","","","",
"IN10270384","NEW","","","","",
"IN10270385","NEW","","","","",
"IN10270393","NEW","","","","",
"IN10270395","NEW","","","","",
"IN10270396","NEW","","","","",
"IN10270398","NEW","","","","",
"IN10270399","NEW","","","","",
"IN10270400","NEW","","","","",
"IN10270401","NEW","","","","",
"IN10270402","NEW","","","","",
"IN10270406","NEW","","","","",
"IN10270412","NEW","","","","",
"IN10270413","NEW","","","","",
"IN10270415","NEW","","","","",
"IN10270416","NEW","","","","",
"IN10270417","NEW","","","","",
"IN10270419","NEW","","","","",
"IN10270421","NEW","","","","",
"IN10270422","NEW","","","","",
"IN10270423","NEW","","","","",
"IN10270424","NEW","","","","",
"IN10270426","NEW","","","","",
"IN10270428","NEW","","","","",
"IN10270429","NEW","","","","",
"IN10270430","NEW","","","","",
"IN10270431","NEW","","","","",
"IN10270432","NEW","","","","",
"IN10270433","NEW","","","","",
"IN10270434","NEW","","","","",
"IN10270435","NEW","","","","",
"IN10270436","NEW","","","","",
"IN10270437","NEW","","","","",
"IN10270439","NEW","","","","",
"IN10270440","NEW","","","","",
"IN10270442","NEW","","","","",
"IN10270444","NEW","","","","",
"IN10270447","NEW","","","","",
"IN10270448","NEW","","","","",
"IN10270449","NEW","","","","",
"IN10270450","NEW","","","","",
"IN10270451","NEW","","","","",
"IN10270452","NEW","","","","",
"IN10270454","NEW","","","","",
"IN10270455","NEW","","","","",
"IN10270456","NEW","","","","",
"IN10270457","NEW","","","","",
"IN10270458","NEW","","","","",
"IN10270459","NEW","","","","",
"IN10270460","NEW","","","","",
"IN10270461","NEW","","","","",
"IN10270466","NEW","","","","",
"IN10270467","NEW","","","","",
"IN10270469","NEW","","","","",
"IN10270470","NEW","","","","",
"IN10270471","NEW","","","","",
"IN10270472","NEW","","","","",
"IN10270477","NEW","","","","",
"IN10270478","NEW","","","","",
"IN10270480","NEW","","","","",
"IN10270496","NEW","","","","",
"IN10270497","NEW","","","","",
"IN10270498","NEW","","","","",
"IN10270500","NEW","","","","",
"IN10270503","NEW","","","","",
"IN10270504","NEW","","","","",
"IN10270505","NEW","","","","",
"IN10270506","NEW","","","","",
"IN10270507","NEW","","","","",
"IN10270510","NEW","","","","",
"IN10270511","NEW","","","","",
"IN10270536","NEW","","","","",
"IN10270541","NEW","","","","",
"IN10270542","NEW","","","","",
"IN10270543","NEW","","","","",
"IN10270544","NEW","","","","",
"IN10270550","NEW","","","","",
"IN10270551","NEW","","","","",
"IN10270555","NEW","","","","",
"IN10270556","NEW","","","","",
"IN10270558","NEW","","","","",
"IN10270559","NEW","","","","",
"IN10270568","NEW","","","","",
"IN10270573","NEW","","","","",
"IN10270575","NEW","","","","",
"IN10270578","NEW","","","","",
"IN10270579","NEW","","","","",
"IN10270596","NEW","","","","",
"IN10270606","NEW","","","","",
"IN10270607","NEW","","","","",
"IN10270610","NEW","","","","",
"IN10270611","NEW","","","","",
"IN10270612","NEW","","","","",
"IN10270623","NEW","","","","",
"IN10270627","NEW","","","","",
"IN10270628","NEW","","","","",
"IN10270630","NEW","","","","",
"IN10270632","NEW","","","","",
"IN10270640","NEW","","","","",
"IN10270645","NEW","","","","",
"IN10270661","NEW","","","","",
"IN10270665","NEW","","","","",
"IN10270676","NEW","","","","",
"IN10270678","NEW","","","","",
"IN10270679","NEW","","","","",
"IN10270680","NEW","","","","",
"IN10270684","NEW","","","","",
"IN10270687","NEW","","","","",
"IN10270688","NEW","","","","",
"IN10270709","NEW","","","","",
"IN10270715","NEW","","","","",
"IN10270738","NEW","","","","",
"IN10270742","NEW","","","","",
"IN10270743","NEW","","","","",
"IN10270759","NEW","","","","",
"IN10270763","NEW","","","","",
"IN10270767","NEW","","","","",
"IN10270771","NEW","","","","",
"IN10270772","NEW","","","","",
"IN10270777","NEW","","","","",
"IN10270778","NEW","","","","",
"IN10270786","NEW","","","","",
"IN10270787","NEW","","","","",
"IN10270795","NEW","","","","",
"IN10270803","NEW","","","","",
"IN10270809","NEW","","","","",
"IN10270810","NEW","","","","",
"IN10270811","NEW","","","","",
"IN10270817","NEW","","","","",
"IN10270821","NEW","","","","",
"IN10270823","NEW","","","","",
"IN10270825","NEW","","","","",
"IN10270826","NEW","","","","",
"IN10270827","NEW","","","","",
"IN10270829","NEW","","","","",
"IN10270830","NEW","","","","",
"IN10270831","NEW","","","","",
"IN10270833","NEW","","","","",
"IN10270835","NEW","","","","",
"IN10270837","NEW","","","","",
"IN10270842","NEW","","","","",
"IN10270843","NEW","","","","",
"IN10270844","NEW","","","","",
"IN10270846","NEW","","","","",
"IN10270848","NEW","","","","",
"IN10270849","NEW","","","","",
"IN10270850","NEW","","","","",
"IN10270851","NEW","","","","",
"IN10270852","NEW","","","","",
"IN10270857","NEW","","","","",
"IN10270866","NEW","","","","",
"IN10270867","NEW","","","","",
"IN10270869","NEW","","","","",
"IN10270871","NEW","","","","",
"IN10270874","NEW","","","","",
"IN10270875","NEW","","","","",
"IN10270878","NEW","","","","",
"IN10270880","NEW","","","","",
"IN10270881","NEW","","","","",
"IN10270886","NEW","","","","",
"IN10270887","NEW","","","","",
"IN10270888","NEW","","","","",
"IN10270890","NEW","","","","",
"IN10270895","NEW","","","","",
"IN10270899","NEW","","","","",
"IN10270902","NEW","","","","",
"IN10270913","NEW","","","","",
"IN10270917","NEW","","","","",
"IN10270919","NEW","","","","",
"IN10270920","NEW","","","","",
"IN10270924","NEW","","","","",
"IN10270925","NEW","","","","",
"IN10270931","NEW","","","","",
"IN10270933","NEW","","","","",
"IN10270934","NEW","","","","",
"IN10270953","NEW","","","","",
"IN10270954","NEW","","","","",
"IN10270955","NEW","","","","",
"IN10270956","NEW","","","","",
"IN10270958","NEW","","","","",
"IN10270960","NEW","","","","",
"IN10270963","NEW","","","","",
"IN10270966","NEW","","","","",
"IN10270967","NEW","","","","",
"IN10270969","NEW","","","","",
"IN10270971","NEW","","","","",
"IN10270973","NEW","","","","",
"IN10270977","NEW","","","","",
"IN10270979","NEW","","","","",
"IN10270984","NEW","","","","",
"IN10270985","NEW","","","","",
"IN10270989","NEW","","","","",
"IN10270990","NEW","","","","",
"IN10270991","NEW","","","","",
"IN10270994","NEW","","","","",
"IN10270995","NEW","","","","",
"IN10270996","NEW","","","","",
"IN10270997","NEW","","","","",
"IN10270999","NEW","","","","",
"IN10271002","NEW","","","","",
"IN10271003","NEW","","","","",
"IN10271004","NEW","","","","",
"IN10271005","NEW","","","","",
"IN10271006","NEW","","","","",
"IN10271007","NEW","","","","",
"IN10271008","NEW","","","","",
"IN10271009","NEW","","","","",
"IN10271010","NEW","","","","",
"IN10271012","NEW","","","","",
"IN10271014","NEW","","","","",
"IN10271016","NEW","","","","",
"IN10271017","NEW","","","","",
"IN10271018","NEW","","","","",
"IN10271019","NEW","","","","",
"IN10271020","NEW","","","","",
"IN10271023","NEW","","","","",
"IN10271024","NEW","","","","",
"IN10271025","NEW","","","","",
"IN10271026","NEW","","","","",
"IN10271027","NEW","","","","",
"IN10271028","NEW","","","","",
"IN10271029","NEW","","","","",
"IN10271030","NEW","","","","",
"IN10271037","NEW","","","","",
"IN10271039","NEW","","","","",
"IN10271043","NEW","","","","",
"IN10271045","NEW","","","","",
"IN10271047","NEW","","","","",
"IN10271055","NEW","","","","",
"IN10271060","NEW","","","","",
"IN10271061","NEW","","","","",
"IN10271062","NEW","","","","",
"IN10271063","NEW","","","","",
"IN10271064","NEW","","","","",
"IN10271068","NEW","","","","",
"IN10271070","NEW","","","","",
"IN10271072","NEW","","","","",
"IN10271073","NEW","","","","",
"IN10271076","NEW","","","","",
"IN10271077","NEW","","","","",
"IN10271079","NEW","","","","",
"IN10271080","NEW","","","","",
"IN10271082","NEW","","","","",
"IN10271086","NEW","","","","",
"IN10271087","NEW","","","","",
"IN10271088","NEW","","","","",
"IN10271089","NEW","","","","",
"IN10271090","NEW","","","","",
"IN10271094","NEW","","","","",
"IN10271095","NEW","","","","",
"IN10271096","NEW","","","","",
"IN10271097","NEW","","","","",
"IN10271098","NEW","","","","",
"IN10271100","NEW","","","","",
"IN10271101","NEW","","","","",
"IN10271102","NEW","","","","",
"IN10271103","NEW","","","","",
"IN10271104","NEW","","","","",
"IN10271106","NEW","","","","",
"IN10271107","NEW","","","","",
"IN10271108","NEW","","","","",
"IN10271109","NEW","","","","",
"IN10271127","NEW","","","","",
"IN10271129","NEW","","","","",
"IN10271131","NEW","","","","",
"IN10271133","NEW","","","","",
"IN10271134","NEW","","","","",
"IN10271135","NEW","","","","",
"IN10271137","NEW","","","","",
"IN10271138","NEW","","","","",
"IN10271142","NEW","","","","",
"IN10271146","NEW","","","","",
"IN10271147","NEW","","","","",
"IN10271148","NEW","","","","",
"IN10271149","NEW","","","","",
"IN10271150","NEW","","","","",
"IN10271151","NEW","","","","",
"IN10271152","NEW","","","","",
"IN10271153","NEW","","","","",
"IN10271154","NEW","","","","",
"IN10271155","NEW","","","","",
"IN10271156","NEW","","","","",
"IN10271157","NEW","","","","",
"IN10271158","NEW","","","","",
"IN10271159","NEW","","","","",
"IN10271160","NEW","","","","",
"IN10271162","NEW","","","","",
"IN10271163","NEW","","","","",
"IN10271165","NEW","","","","",
"IN10271166","NEW","","","","",
"IN10271167","NEW","","","","",
"IN10271169","NEW","","","","",
"IN10271170","NEW","","","","",
"IN10271172","NEW","","","","",
"IN10271176","NEW","","","","",
"IN10271178","NEW","","","","",
"IN10271181","NEW","","","","",
"IN10271183","NEW","","","","",
"IN10271186","NEW","","","","",
"IN10271189","NEW","","","","",
"IN10271190","NEW","","","","",
"IN10271191","NEW","","","","",
"IN10271192","NEW","","","","",
"IN10271194","NEW","","","","",
"IN10271195","NEW","","","","",
"IN10271197","NEW","","","","",
"IN10271198","NEW","","","","",
"IN10271200","NEW","","","","",
"IN10271201","NEW","","","","",
"IN10271203","NEW","","","","",
"IN10271204","NEW","","","","",
"IN10271205","NEW","","","","",
"IN10271206","NEW","","","","",
"IN10271207","NEW","","","","",
"IN10271208","NEW","","","","",
"IN10271209","NEW","","","","",
"IN10271213","NEW","","","","",
"IN10271214","NEW","","","","",
"IN10271216","NEW","","","","",
"IN10271221","NEW","","","","",
"IN10271223","NEW","","","","",
"IN10271224","NEW","","","","",
"IN10271225","NEW","","","","",
"IN10271226","NEW","","","","",
"IN10271227","NEW","","","","",
"IN10271229","NEW","","","","",
"IN10271236","NEW","","","","",
"IN10271237","NEW","","","","",
"IN10271239","NEW","","","","",
"IN10271241","NEW","","","","",
"IN10271243","NEW","","","","",
"IN10271244","NEW","","","","",
"IN10271246","NEW","","","","",
"IN10271248","NEW","","","","",
"IN10271251","NEW","","","","",
"IN10271255","NEW","","","","",
"IN10271257","NEW","","","","",
"IN10271258","NEW","","","","",
"IN10271259","NEW","","","","",
"IN10271261","NEW","","","","",
"IN10271262","NEW","","","","",
"IN10271266","NEW","","","","",
"IN10271268","NEW","","","","",
"IN10271269","NEW","","","","",
"IN10271272","NEW","","","","",
"IN10271274","NEW","","","","",
"IN10271278","NEW","","","","",
"IN10271280","NEW","","","","",
"IN10271282","NEW","","","","",
"IN10271283","NEW","","","","",
"IN10271284","NEW","","","","",
"IN10271285","NEW","","","","",
"IN10271286","NEW","","","","",
"IN10271288","NEW","","","","",
"IN10271289","NEW","","","","",
"IN10271291","NEW","","","","",
"IN10271292","NEW","","","","",
"IN10271293","NEW","","","","",
