ticket_nmbr,STATUS,change_date,TIME_IN_STATUS_HRS
IN10052692,QUEUED,18APR2017:15:08:39,0.0
IN10089512,NEW,27MAY2018:04:31:57,0.0
IN10214333,INPROG,09SEP2020:15:22:11,0.1166666667
IN10162252,QUEUED,13OCT2019:05:06:38,0.3833333333
IN10091561,QUEUED,13JUN2018:08:49:22,0.25
IN10218726,CLOSED,20OCT2020:05:30:18,
IN10149807,QUEUED,17JUL2019:16:29:53,12.95
IN10107555,RESOLVED,02NOV2018:18:00:40,0.0
IN10072094,NEW,07DEC2017:15:05:24,0.1
IN10031727,CLOSED,27MAY2016:05:30:22,
IN10168763,NEW,20NOV2019:17:22:45,0.0166666667
IN10029588,INPROG,14APR2016:11:24:06,1.1666666667
IN10122258,INPROG,17JAN2019:11:17:12,0.25
IN10139468,QUEUED,02MAY2019:15:46:17,13.116666667
IN10213008,QUEUED,31AUG2020:03:13:55,5.75
IN10228731,QUEUED,27NOV2020:15:29:45,7.0666666667
IN10038480,PENDINGVEN,15SEP2016:08:30:23,5.9333333333
IN10178893,INPROG,28JAN2020:09:28:41,50.766666667
IN10130333,RESOLVED,08MAR2019:10:18:01,0.0
IN10247062,AWAITCUS,22MAR2021:11:12:22,1.3833333333
IN10237553,RESOLVED,01FEB2021:08:51:15,0.0
IN10276005,RESOLVED,,0.0
IN10261933,CLOSED,28JUN2021:05:30:36,
IN10166274,NEW,05NOV2019:21:19:31,0.0166666667
IN10036350,PENDINGCUS,22AUG2016:16:22:30,171.61666667
IN10037877,INPROG,26AUG2016:17:38:34,4.3833333333
IN10142257,RESOLVED,24MAY2019:14:31:16,0.0
IN10143423,CLOSED,15JUN2019:05:30:30,
IN10272885,QUEUED,,
IN10250914,RESOLVED,22APR2021:09:58:13,0.0
IN10120818,INPROG,08JAN2019:09:14:18,2.8
IN10173679,CLOSED,03JAN2020:05:30:09,
IN10189028,QUEUED,27MAR2020:15:07:03,1.9
IN10279092,RESOLVED,,0.0
IN10224015,NEW,03NOV2020:09:50:43,0.0166666667
IN10279814,QUEUED,,
IN10290381,NEW,,
IN10048406,CLOSED,01APR2017:05:30:01,
IN10209379,RESOLVED,07AUG2020:08:16:21,0.0
IN10252039,RESOLVED,22APR2021:16:46:41,0.0
IN10251340,INPROG,19APR2021:00:50:36,0.0
IN10066741,AWAITVEN,12OCT2017:18:38:49,37.8
IN10086100,RESOLVED,26APR2018:08:20:23,0.0
IN10064631,RESOLVED,19SEP2017:10:06:07,0.0
IN10177200,INPROG,18JAN2020:08:29:19,0.0
IN10263942,RESOLVED,29JUN2021:16:12:17,0.0
IN10215321,QUEUED,15SEP2020:13:59:42,0.6333333333
