account,day of week,date,local time (ct),favorite_count,id_str,retweet_count,source,text,followers_count,profile_image_url,link,score
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 06:53:16.000,1,1362384690511048705,0,Sprinklr Publishing,@itz_samietex Thanks for being part of our awesome community! 💛😊,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362384690511048705,1.0
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 18:20:00.000,0,1362195122906165248,0,Sprinklr Publishing,@DotComCTO Certainly! There's a migration tool that you can use to achieve that: https://t.co/EtUDRZ1tj9. You'll fi… https://t.co/gvMm1bJvnL,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362195122906165248,0.5
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 09:31:03.000,4,1362424396397305856,1,Sprout Social,What's on your list for today? Make sure to make room for our #DoMoreWithQlik session at 2 PM EST as @mtarallo cove… https://t.co/1XFVDe5z2V,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362424396397305856,0.8776209950447083
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 04:30:07.000,0,1364160605171630086,0,Sprout Social,Discover how Caytons Cyber uses Qlik to provide real-time access to live #data sets that help manage catastrophes.… https://t.co/hFSr3NUUqk,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364160605171630086,0.5
Tableau,Wed,2021-02-17 00:00:00.000,1899-12-31 11:30:28.000,19,1362092060099158019,12,Salesforce - Social Studio,Mark your calendar for the next #DataPlusDiversity event featuring Jason Forrest and Anthony Starks! The discussion… https://t.co/qXu2Yt5f99,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1362092060099158019,0.5
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 09:24:34.000,15,1363872315705077770,4,Salesforce - Social Studio,"We love our #DataFam. ✨ The Tableau Community has more than 1 million members, including 510 worldwide user groups.… https://t.co/s4cn2zYY4V",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363872315705077770,0.8778655529022216
MSPowerBI,Tue,2021-02-23 00:00:00.000,1899-12-31 10:48:35.000,0,1364255850022502402,0,Sprinklr Publishing,"@dcuthbert Hello, Daniel. We're not able to completely understand your query. You can use Power BI desktop without… https://t.co/0KrcbGfdVz",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364255850022502402,0.9736247062683104
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 11:01:12.000,3,1364621411751522309,0,Sprout Social,#ActiveIntelligence is our vision. Explore our latest product innovations and direction for bringing that vision to… https://t.co/hqYth50mZR,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364621411751522309,0.7879583835601806
qlik,Fri,2021-02-19 00:00:00.000,1899-12-31 10:30:15.000,3,1362801684297170945,2,Sprout Social,Qlik's @DanSommer's latest blog highlights the latest episode of the #DataBrilliant Podcast as he joined… https://t.co/Q84050ipXN,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362801684297170945,0.88837730884552
MSPowerBI,Sat,2021-02-20 00:00:00.000,1899-12-31 11:00:12.000,44,1363171606433042434,18,Sprinklr Publishing,Evaluate how you use your data and explore how to get more out of it. Learn how to build resilience with analytics:… https://t.co/9v5mYjrFph,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1363171606433042434,0.8621604442596436
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 10:00:35.000,0,1364606154781958147,0,Sprout Social,"Join us at 1 pm ET for our #QlikInsider webinar and learn more about our new visualizations, advancements in augmen… https://t.co/9PEZi8XdaM",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364606154781958147,0.5
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 12:52:28.000,0,1362475084611518470,0,Sprinklr Publishing,"@Dominicnaidoo Thanks for reporting this to us, Dominic. Can you confirm if you still have this issue when using a… https://t.co/CdoMUCN4ND",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362475084611518470,0.8573223352432251
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 14:23:15.000,2,1363947484062564357,0,Salesforce - Social Studio,@AdamMico1 💯,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363947484062564357,0.5
MSPowerBI,Mon,2021-02-22 00:00:00.000,1899-12-31 07:58:00.000,1,1363850530422984708,0,Sprinklr Publishing,"@leandrocassis Hi there, Leandro. Indeed, the general availability doesn't have ETA confirmed yet as mentioned, her… https://t.co/d9sW1hfC42",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1363850530422984708,0.7870650291442871
Tableau,Sat,2021-02-20 00:00:00.000,1899-12-31 10:30:26.000,7,1363164118065311744,1,Salesforce - Social Studio,Equip your people with data. Increase collaboration and innovation. Explore the step-by-step guide to building a Da… https://t.co/zjSSKhFpaB,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363164118065311744,0.5
MSPowerBI,Tue,2021-02-23 00:00:00.000,1899-12-31 13:43:49.000,0,1364299948389511176,0,Sprinklr Publishing,@dcuthbert No problem! Feel free to share any further doubts with us. We're here to help.,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364299948389511176,0.9980872273445128
MSPowerBI,Sun,2021-02-21 00:00:00.000,1899-12-31 10:00:00.000,47,1363518847358230530,18,Sprinklr Publishing,"In this month's release, we have now added canvas watermarks to the blank canvas in Microsoft #PowerBI, helping new… https://t.co/dTbcvwZpip",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1363518847358230530,0.8741971850395202
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 12:30:05.000,2,1362469450419736582,0,Sprout Social,"It's simple: get a better platform for a better price with Qlik. You deserve superior performance, usability &pric… https://t.co/hszsIbvta1",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362469450419736582,0.9885814189910888
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 13:03:46.000,0,1362115541956235264,0,Sprinklr Publishing,@MapEngArch Alright then! We'll be here in case you need anything else ☺️,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362115541956235264,0.9999964237213134
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 17:05:07.000,0,1364712991627894785,0,Sprout Social,"In his latest blog, Qlik's @michaeldistler discusses how many IT/business professionals say their organizations'… https://t.co/fCkyIjjYTt",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364712991627894785,0.923697829246521
MSPowerBI,Wed,2021-02-17 00:00:00.000,1899-12-31 14:00:01.000,17,1362129696960499724,12,Sprinklr Publishing,What is resilience? It's using insights from your data to adapt to current and future challenges. Explore solutions… https://t.co/I2KfcFOHTD,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362129696960499724,0.5
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 14:30:14.000,9,1362499687828307970,2,Sprout Social,The new @Gartner_inc BI Magic Quadrant 2021 report is out! Take a look at the latest blog from our own @Dansommer t… https://t.co/dHCBca1DJ0,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362499687828307970,0.9862236976623536
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 13:00:46.000,2,1363926724715687936,2,Sprout Social,Location data is crucial to ambulance services. See how the @SCAS999 in the UK was able to use Qlik to better under… https://t.co/tkTSDz0rCX,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363926724715687936,0.878110647201538
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 13:48:05.000,1,1363938631732371458,0,Salesforce - Social Studio,@aleksoft Congratulations! 🌟,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363938631732371458,0.9332847595214844
Tableau,Fri,2021-02-19 00:00:00.000,1899-12-31 15:03:15.000,1,1362870386652835844,0,Salesforce - Social Studio,@Deepak_Shah_ Great work! 👏,155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1362870386652835844,0.9959712028503418
Tableau,Wed,2021-02-24 00:00:00.000,1899-12-31 11:25:29.000,2,1364627523963879431,0,Salesforce - Social Studio,"@DocKevinElder Way to go, @Marketanalytic5!",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364627523963879431,0.7794524431228637
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 08:00:38.000,0,1364213581395468292,0,Sprout Social,"Get your questions ready! #TalkToExpertsTuesday is live at 10 AM EST, and we're focusing on Qlik Compose. Tune in h… https://t.co/0jx3CijxpF",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364213581395468292,0.5
MSPowerBI,Mon,2021-02-22 00:00:00.000,1899-12-31 07:50:00.000,1,1363848518008455171,0,Sprinklr Publishing,@mim_djo Hello there! There's a certification process that the authors could complete to do so:… https://t.co/gx5ie5RRcc,127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1363848518008455171,0.9961047768592834
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 12:30:02.000,139,1362469439619399686,58,Sprinklr Publishing,"For the fourteenth consecutive year, Microsoft has been named a Leader in the @Gartner_inc 2021 Magic Quadrant for… https://t.co/OWXAHjDN3M",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362469439619399686,0.5
Tableau,Wed,2021-02-24 00:00:00.000,1899-12-31 13:30:08.000,3,1364658893322932229,0,Salesforce - Social Studio,"What are the data challenges the new administration will face? On tomorrow's episode of #IfDataCouldTalk,… https://t.co/mql3SeDifH",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364658893322932229,0.8344535827636718
qlik,Fri,2021-02-19 00:00:00.000,1899-12-31 10:01:19.000,0,1362794399973916675,1,Sprout Social,"If you're looking to strengthen your understanding of Qlik Sense, check out this workflow from @mtarallo to see how… https://t.co/BatctPe1NO",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362794399973916675,0.9662532806396484
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 10:30:14.000,1,1362076901242769411,2,Sprout Social,"Today at 1 PM EST, join Qlik and Microsoft to learn how to gain real-time SAP #data insights with Azure Synapse Ana… https://t.co/qTuuhcj3hT",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362076901242769411,0.8288328647613525
Tableau,Fri,2021-02-19 00:00:00.000,1899-12-31 16:30:51.000,20,1362892431931314178,4,Twitter Web App,"Tableau Community blogs, vizzes, events, and more. Check out this week's #DataFam Roundup: https://t.co/z8d4llIU1M",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1362892431931314178,0.5
qlik,Wed,2021-02-17 00:00:00.000,1899-12-31 11:31:03.000,0,1362092207147212808,1,Sprout Social,"We're almost two months into 2021, so what are we planning for the rest of the year? Join our upcoming #QlikInsider… https://t.co/VXAmLmTdMT",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362092207147212808,0.9763243198394777
Tableau,Wed,2021-02-24 00:00:00.000,1899-12-31 11:41:44.000,0,1364631612521119747,0,Salesforce - Social Studio,"@IvettAlexa Super cool project, Ivett! Suddenly we're hungry... 🍝",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1364631612521119747,0.9686816334724426
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 09:31:21.000,0,1364236410623057920,0,Sprout Social,One more sleep until the next #QlikInsider webinar! Register here: https://t.co/jZttiLLOFQ https://t.co/awNaeaWs6z,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364236410623057920,0.5
qlik,Tue,2021-02-23 00:00:00.000,1899-12-31 14:00:26.000,0,1364304127728250883,0,Sprout Social,"Navigate the Snowflake UI ☑️ 
Create a database and compute resources ☑️ 
Configure virtual warehouse compute clust… https://t.co/tFD6JdUL07",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364304127728250883,0.5
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 14:16:13.000,15,1363945714917670912,3,Twitter Web App,"New on the Community Blog:  

Equity Task Force members @ItsCandraM and @AlDatavizguy discuss the power of simple d… https://t.co/yr0I6RX0jd",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363945714917670912,0.5
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 06:50:55.000,1,1362384098292031488,0,Sprinklr Publishing,"@MapEngArch No worries, if you have any further doubts, we'll happily assist ☺️",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362384098292031488,0.999990701675415
qlik,Mon,2021-02-22 00:00:00.000,1899-12-31 10:30:11.000,0,1363888828935774213,1,Sprout Social,"Have you seen the COVID-19 registration, track and trace app from 2Foqus? Visit the #QlikGallery to learn more abou… https://t.co/6Bg914kqIY",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363888828935774213,0.5
Tableau,Mon,2021-02-22 00:00:00.000,1899-12-31 13:59:04.000,0,1363941396416241664,0,Salesforce - Social Studio,"@craigbloodworth Mentally, we're here. 🎢",155324,http://pbs.twimg.com/profile_images/1268207088683020288/d9agkn4h_normal.jpg,https://twitter.com/Tableau/status/1363941396416241664,0.7124704122543335
qlik,Sat,2021-02-20 00:00:00.000,1899-12-31 10:00:30.000,4,1363156585015607297,2,Sprout Social,"Happy #WorldDayOfSocialJustice from all of us here at Qlik! In honor of today, find out how @MedairInt is using… https://t.co/gfrkAMJhku",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1363156585015607297,0.9867992401123046
qlik,Wed,2021-02-24 00:00:00.000,1899-12-31 04:30:03.000,3,1364522976679505923,0,Sprout Social,"From farm to fork, a #data-driven strategy has revolutionized the way @JSRFarmingGroup runs its business.
 
 Tune i… https://t.co/mPnweoBMn2",69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1364522976679505923,0.5
qlik,Thu,2021-02-18 00:00:00.000,1899-12-31 13:00:28.000,0,1362477096459784193,0,Sprout Social,Don't just use #data to make sense of the world – use it to change the world! @Dansommer explores why 2021 is full… https://t.co/xoUGvgytpr,69984,http://pbs.twimg.com/profile_images/1348637629038923777/QlZkdz-K_normal.png,https://twitter.com/qlik/status/1362477096459784193,0.863603949546814
MSPowerBI,Thu,2021-02-18 00:00:00.000,1899-12-31 07:50:00.000,1,1362398966327967749,0,Sprinklr Publishing,"@beschickAT Hi there. Are you referring to other OS? ATM, there're no plans to do so, although there're alternative… https://t.co/nBDAB8uHCX",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1362398966327967749,0.5
MSPowerBI,Wed,2021-02-24 00:00:00.000,1899-12-31 11:24:00.000,0,1364627148854681602,0,Sprinklr Publishing,"@steven_amani Hi there, Steven. We're here to help you. It might be related to these awareness in our Power BI supp… https://t.co/Wly6T85eWs",127699,http://pbs.twimg.com/profile_images/1308421398042468356/M2xJtfHx_normal.png,https://twitter.com/MSPowerBI/status/1364627148854681602,0.9741564393043518
