Title,Date,Notes,Bunting,Division
"Boxing Day",2023-12-26 00:00:00.000,"",True,"Scotland"
"St Patrick’s Day",2017-03-17 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2017-04-17 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2017-05-01 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2017-05-29 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2017-08-28 00:00:00.000,"",True,"Northern Ireland"
"Christmas Day",2017-12-25 00:00:00.000,"",True,"Northern Ireland"
"Boxing Day",2017-12-26 00:00:00.000,"",True,"Northern Ireland"
"New Year’s Day",2018-01-01 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2018-04-02 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2018-05-07 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2018-05-28 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2018-08-27 00:00:00.000,"",True,"Northern Ireland"
"Christmas Day",2018-12-25 00:00:00.000,"",True,"Northern Ireland"
"Boxing Day",2018-12-26 00:00:00.000,"",True,"Northern Ireland"
"New Year’s Day",2019-01-01 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2019-04-22 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2019-05-06 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2019-05-27 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2019-08-26 00:00:00.000,"",True,"Northern Ireland"
"Christmas Day",2019-12-25 00:00:00.000,"",True,"Northern Ireland"
"Boxing Day",2019-12-26 00:00:00.000,"",True,"Northern Ireland"
"New Year’s Day",2020-01-01 00:00:00.000,"",True,"Northern Ireland"
"St Patrick’s Day",2020-03-17 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday (VE day)",2020-05-08 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2020-05-25 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2020-08-31 00:00:00.000,"",True,"Northern Ireland"
"Christmas Day",2020-12-25 00:00:00.000,"",True,"Northern Ireland"
"New Year’s Day",2021-01-01 00:00:00.000,"",True,"Northern Ireland"
"St Patrick’s Day",2021-03-17 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2021-04-05 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2021-05-03 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2021-05-31 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2021-08-30 00:00:00.000,"",True,"Northern Ireland"
"St Patrick’s Day",2022-03-17 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2022-04-18 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2022-05-02 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2022-06-02 00:00:00.000,"",True,"Northern Ireland"
"Platinum Jubilee bank holiday",2022-06-03 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2022-08-29 00:00:00.000,"",True,"Northern Ireland"
"Boxing Day",2022-12-26 00:00:00.000,"",True,"Northern Ireland"
"St Patrick’s Day",2023-03-17 00:00:00.000,"",True,"Northern Ireland"
"Easter Monday",2023-04-10 00:00:00.000,"",True,"Northern Ireland"
"Early May bank holiday",2023-05-01 00:00:00.000,"",True,"Northern Ireland"
"Spring bank holiday",2023-05-29 00:00:00.000,"",True,"Northern Ireland"
"Summer bank holiday",2023-08-28 00:00:00.000,"",True,"Northern Ireland"
"Christmas Day",2023-12-25 00:00:00.000,"",True,"Northern Ireland"
"Boxing Day",2023-12-26 00:00:00.000,"",True,"Northern Ireland"
"Good Friday",2017-04-14 00:00:00.000,"",False,"England & Wales"
"Good Friday",2018-03-30 00:00:00.000,"",False,"England & Wales"
"Good Friday",2019-04-19 00:00:00.000,"",False,"England & Wales"
"Good Friday",2020-04-10 00:00:00.000,"",False,"England & Wales"
"Easter Monday",2020-04-13 00:00:00.000,"",False,"England & Wales"
"Good Friday",2021-04-02 00:00:00.000,"",False,"England & Wales"
"Good Friday",2022-04-15 00:00:00.000,"",False,"England & Wales"
"Good Friday",2023-04-07 00:00:00.000,"",False,"England & Wales"
"Good Friday",2017-04-14 00:00:00.000,"",False,"Scotland"
"Good Friday",2018-03-30 00:00:00.000,"",False,"Scotland"
"Good Friday",2019-04-19 00:00:00.000,"",False,"Scotland"
"Good Friday",2020-04-10 00:00:00.000,"",False,"Scotland"
"Good Friday",2021-04-02 00:00:00.000,"",False,"Scotland"
"Good Friday",2022-04-15 00:00:00.000,"",False,"Scotland"
"Good Friday",2023-04-07 00:00:00.000,"",False,"Scotland"
"Good Friday",2017-04-14 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2017-07-12 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2018-03-30 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2018-07-12 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2019-04-19 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2019-07-12 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2020-04-10 00:00:00.000,"",False,"Northern Ireland"
"Easter Monday",2020-04-13 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2021-04-02 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2021-07-12 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2022-04-15 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2022-07-12 00:00:00.000,"",False,"Northern Ireland"
"Good Friday",2023-04-07 00:00:00.000,"",False,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2023-07-12 00:00:00.000,"",False,"Northern Ireland"
"New Year’s Day",2017-01-02 00:00:00.000,"Substitute day",True,"England & Wales"
"Boxing Day",2020-12-28 00:00:00.000,"Substitute day",True,"England & Wales"
"Christmas Day",2021-12-27 00:00:00.000,"Substitute day",True,"England & Wales"
"Boxing Day",2021-12-28 00:00:00.000,"Substitute day",True,"England & Wales"
"New Year’s Day",2022-01-03 00:00:00.000,"Substitute day",True,"England & Wales"
"Christmas Day",2022-12-27 00:00:00.000,"Substitute day",True,"England & Wales"
"New Year’s Day",2023-01-02 00:00:00.000,"Substitute day",True,"England & Wales"
"New Year’s Day",2017-01-03 00:00:00.000,"Substitute day",True,"Scotland"
"St Andrew’s Day",2019-12-02 00:00:00.000,"Substitute day",True,"Scotland"
"Boxing Day",2020-12-28 00:00:00.000,"Substitute day",True,"Scotland"
"2nd January",2021-01-04 00:00:00.000,"Substitute day",True,"Scotland"
"Christmas Day",2021-12-27 00:00:00.000,"Substitute day",True,"Scotland"
"Boxing Day",2021-12-28 00:00:00.000,"Substitute day",True,"Scotland"
"New Year’s Day",2022-01-03 00:00:00.000,"Substitute day",True,"Scotland"
"2nd January",2022-01-04 00:00:00.000,"Substitute day",True,"Scotland"
"Christmas Day",2022-12-27 00:00:00.000,"Substitute day",True,"Scotland"
"New Year’s Day",2023-01-02 00:00:00.000,"Substitute day",True,"Scotland"
"2nd January",2023-01-03 00:00:00.000,"Substitute day",True,"Scotland"
"New Year’s Day",2017-01-02 00:00:00.000,"Substitute day",True,"Northern Ireland"
"St Patrick’s Day",2018-03-19 00:00:00.000,"Substitute day",True,"Northern Ireland"
"St Patrick’s Day",2019-03-18 00:00:00.000,"Substitute day",True,"Northern Ireland"
"Battle of the Boyne (Orangemen’s Day)",2020-07-13 00:00:00.000,"Substitute day",False,"Northern Ireland"
"Boxing Day",2020-12-28 00:00:00.000,"Substitute day",True,"Northern Ireland"
"Christmas Day",2021-12-27 00:00:00.000,"Substitute day",True,"Northern Ireland"
"Boxing Day",2021-12-28 00:00:00.000,"Substitute day",True,"Northern Ireland"
"New Year’s Day",2022-01-03 00:00:00.000,"Substitute day",True,"Northern Ireland"
"Christmas Day",2022-12-27 00:00:00.000,"Substitute day",True,"Northern Ireland"
"New Year’s Day",2023-01-02 00:00:00.000,"Substitute day",True,"Northern Ireland"
