Data Venda
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-02 00:00:00.000
2013-02-02 00:00:00.000
2013-03-02 00:00:00.000
2013-04-02 00:00:00.000
2013-05-02 00:00:00.000
2013-06-02 00:00:00.000
2013-07-02 00:00:00.000
2013-08-02 00:00:00.000
2013-09-02 00:00:00.000
2013-10-02 00:00:00.000
2013-11-02 00:00:00.000
2013-12-02 00:00:00.000
2013-01-09 00:00:00.000
2013-01-10 00:00:00.000
2013-02-11 00:00:00.000
2013-03-12 00:00:00.000
2013-03-13 00:00:00.000
2013-03-14 00:00:00.000
2013-04-15 00:00:00.000
2013-04-16 00:00:00.000
2013-05-17 00:00:00.000
2013-05-18 00:00:00.000
2013-05-19 00:00:00.000
2013-06-20 00:00:00.000
2013-07-21 00:00:00.000
2013-07-22 00:00:00.000
2013-09-23 00:00:00.000
2013-10-24 00:00:00.000
2013-11-25 00:00:00.000
2013-11-26 00:00:00.000
2013-11-27 00:00:00.000
2014-10-04 00:00:00.000
2014-01-01 00:00:00.000
2014-02-02 00:00:00.000
2014-03-03 00:00:00.000
2014-04-04 00:00:00.000
2014-05-04 00:00:00.000
2014-06-04 00:00:00.000
2014-07-04 00:00:00.000
2014-08-04 00:00:00.000
2014-09-04 00:00:00.000
2014-11-04 00:00:00.000
2014-11-04 00:00:00.000
2014-12-04 00:00:00.000
2014-12-04 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2014-01-01 00:00:00.000
2014-02-01 00:00:00.000
2014-03-01 00:00:00.000
2014-04-01 00:00:00.000
2014-05-01 00:00:00.000
2014-06-01 00:00:00.000
2014-07-01 00:00:00.000
2014-08-01 00:00:00.000
2014-09-01 00:00:00.000
2014-10-01 00:00:00.000
2014-11-01 00:00:00.000
2014-12-01 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2014-01-01 00:00:00.000
2014-02-01 00:00:00.000
2014-03-01 00:00:00.000
2014-04-01 00:00:00.000
2014-05-01 00:00:00.000
2014-06-01 00:00:00.000
2014-07-01 00:00:00.000
2014-08-01 00:00:00.000
2014-09-01 00:00:00.000
2014-10-01 00:00:00.000
2014-11-01 00:00:00.000
2014-12-01 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-09 00:00:00.000
2015-01-10 00:00:00.000
2015-02-11 00:00:00.000
2015-03-12 00:00:00.000
2015-03-13 00:00:00.000
2015-03-14 00:00:00.000
2015-04-15 00:00:00.000
2015-04-16 00:00:00.000
2015-05-17 00:00:00.000
2015-05-18 00:00:00.000
2015-05-19 00:00:00.000
2015-06-20 00:00:00.000
2015-07-21 00:00:00.000
2015-07-22 00:00:00.000
2015-09-23 00:00:00.000
2015-10-24 00:00:00.000
2015-11-25 00:00:00.000
2015-11-26 00:00:00.000
2015-11-27 00:00:00.000
2014-10-04 00:00:00.000
2014-10-04 00:00:00.000
2014-01-01 00:00:00.000
2014-02-02 00:00:00.000
2014-03-03 00:00:00.000
2014-04-04 00:00:00.000
2014-05-04 00:00:00.000
2014-06-04 00:00:00.000
2014-07-04 00:00:00.000
2014-08-04 00:00:00.000
2014-09-04 00:00:00.000
2014-11-04 00:00:00.000
2014-11-04 00:00:00.000
2014-12-04 00:00:00.000
2014-12-04 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2014-01-01 00:00:00.000
2014-02-01 00:00:00.000
2014-03-01 00:00:00.000
2014-04-01 00:00:00.000
2014-05-01 00:00:00.000
2014-06-01 00:00:00.000
2014-07-01 00:00:00.000
2014-08-01 00:00:00.000
2014-09-01 00:00:00.000
2014-10-01 00:00:00.000
2014-11-01 00:00:00.000
2014-12-01 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2014-01-01 00:00:00.000
2014-02-01 00:00:00.000
2014-03-01 00:00:00.000
2014-04-01 00:00:00.000
2014-05-01 00:00:00.000
2014-06-01 00:00:00.000
2014-07-01 00:00:00.000
2014-08-01 00:00:00.000
2014-09-01 00:00:00.000
2014-10-01 00:00:00.000
2014-11-01 00:00:00.000
2014-12-01 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-02-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-04-02 00:00:00.000
2015-05-02 00:00:00.000
2015-06-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-02 00:00:00.000
2015-02-02 00:00:00.000
2015-03-02 00:00:00.000
2015-05-02 00:00:00.000
2015-07-02 00:00:00.000
2015-08-02 00:00:00.000
2015-09-02 00:00:00.000
2015-10-02 00:00:00.000
2015-11-02 00:00:00.000
2015-12-02 00:00:00.000
2015-01-09 00:00:00.000
2015-01-10 00:00:00.000
2015-02-11 00:00:00.000
2015-03-12 00:00:00.000
2015-03-13 00:00:00.000
2015-03-14 00:00:00.000
2015-04-15 00:00:00.000
2015-04-16 00:00:00.000
2015-05-17 00:00:00.000
2015-05-18 00:00:00.000
2015-05-19 00:00:00.000
2015-06-20 00:00:00.000
2015-07-21 00:00:00.000
2015-07-22 00:00:00.000
2015-09-23 00:00:00.000
2015-10-24 00:00:00.000
2015-11-25 00:00:00.000
2015-11-26 00:00:00.000
2015-11-27 00:00:00.000
