Date,Game,Earnings,Players,Tournaments
2014-02-01 00:00:00.000,StarCraft II,172010.68,154,47
2016-01-01 00:00:00.000,Skullgirls Encore,470.0,3,1
2011-09-01 00:00:00.000,StarCraft II,241460.08,171,69
2019-08-01 00:00:00.000,League of Legends,941281.05,561,26
2011-03-01 00:00:00.000,iRacing.com,17900.0,10,1
2008-05-01 00:00:00.000,FIFA 08,26000.0,3,1
2018-05-01 00:00:00.000,Dragon Ball FighterZ,7947.06,12,2
2012-03-01 00:00:00.000,Quake Live,2527.63,4,6
2018-06-01 00:00:00.000,Counter Strike Global Offensive,2110082.98,840,67
2019-06-01 00:00:00.000,Call of Duty Black Ops 4,406435.0,141,4
2017-12-01 00:00:00.000,PLAYERUNKNOWN’S BATTLEGROUNDS,171953.6,99,4
2018-01-01 00:00:00.000,Ultimate Marvel vs. Capcom 3,920.0,3,1
2013-06-01 00:00:00.000,Turbo Racing League,312500.0,10,5
2017-01-01 00:00:00.000,Ultimate Marvel vs. Capcom 3,1800.0,10,2
2019-07-01 00:00:00.000,Sea of Thieves,100000.0,67,4
2019-01-01 00:00:00.000,Mario Tennis Aces,51.3,3,1
2013-06-01 00:00:00.000,Soul Calibur V,310.0,3,1
2018-06-01 00:00:00.000,Brawlhalla,42300.0,61,9
2016-03-01 00:00:00.000,Tekken Tag Tournament 2,1620.0,4,1
2014-11-01 00:00:00.000,S.K.I.L.L.   Special Force 2,21010.0,0,1
2010-12-01 00:00:00.000,WarCraft III,398.28,3,3
2015-10-01 00:00:00.000,Ultimate Marvel vs. Capcom 3,3278.4,7,4
2015-06-01 00:00:00.000,Killer Instinct (2013),15950.0,8,1
2012-11-01 00:00:00.000,CrossFire,2173.58,42,5
2015-07-01 00:00:00.000,StarCraft Brood War,177.45,5,3
2011-07-01 00:00:00.000,Quake Live,2728.75,10,7
2019-06-01 00:00:00.000,BlazBlue Cross Tag Battle,2610.0,14,2
2015-07-01 00:00:00.000,League of Legends,505875.44,468,29
2012-04-01 00:00:00.000,Super Street Fighter IV Arcade Edition,210.0,3,1
2016-05-01 00:00:00.000,WarCraft III,41157.56,33,9
2008-08-01 00:00:00.000,World in Conflict,7515.35,0,2
2020-08-01 00:00:00.000,Puyo Puyo Champions,335.5,3,1
2005-11-01 00:00:00.000,FIFA 05,35000.0,3,1
2018-05-01 00:00:00.000,Dota 2,3365918.69,229,18
2017-08-01 00:00:00.000,Quake Champions,1010259.18,65,10
2017-06-01 00:00:00.000,BlazBlue Central Fiction,760.0,8,1
2007-02-01 00:00:00.000,Defense of the Ancients,9548.34,0,1
2019-06-01 00:00:00.000,FIFA 19,4518.76,9,3
2013-06-01 00:00:00.000,Quake Live,1881.63,9,2
2016-05-01 00:00:00.000,League of Legends,517405.11,145,11
2019-11-01 00:00:00.000,Super Smash Bros. Melee,29677.05,35,7
2018-06-01 00:00:00.000,Overwatch,1538448.0,500,17
2011-02-01 00:00:00.000,Counter Strike Source,13037.3,68,5
2015-02-01 00:00:00.000,Dota 2,3088520.01,142,8
2020-01-01 00:00:00.000,Dirt Rally 2.0,10000.0,5,2
2008-11-01 00:00:00.000,Age of Empires II,1107.86,3,2
2008-10-01 00:00:00.000,Rainbow Six Vegas 2,7500.0,0,1
2020-10-01 00:00:00.000,Rocket League,485569.9,334,30
2017-03-01 00:00:00.000,Call of Duty Infinite Warfare,277852.98,127,10
2015-12-01 00:00:00.000,Point Blank,11360.0,20,1
2013-04-01 00:00:00.000,Age of Empires II,1000.0,1,1
2017-09-01 00:00:00.000,WarCraft III,6640.39,16,17
2011-07-01 00:00:00.000,Super Street Fighter IV,1641.8,3,1
