Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Quantity,Purchase Date,Current Price,Line Sales
AX21066,ENX2021,A121,EMP1021,C1745,1,2018-07-07 00:00:00.000,217,217
AX15536,ENX2076,A148,EMP1006,C1145,1,2019-01-14 00:00:00.000,1522,1522
AX24155,ENX2073,A148,EMP1013,C1400,1,2019-06-10 00:00:00.000,95,95
AX22415,ENX2081,A120,EMP1012,C1654,2,2018-08-25 00:00:00.000,1566,3132
AX20372,ENX2061,A111,EMP1006,C1717,1,2019-07-02 00:00:00.000,913,913
AX20212,ENX2097,A159,EMP1016,C1631,4,2020-11-08 00:00:00.000,1052,4208
AX16175,ENX2014,A157,EMP1011,C1719,3,2020-08-06 00:00:00.000,1809,5427
AX14065,ENX2089,A120,EMP1023,C1170,4,2018-12-09 00:00:00.000,2294,9176
AX19605,ENX2018,A149,EMP1035,C1229,1,2020-01-01 00:00:00.000,1972,1972
AX13973,ENX2021,A118,EMP1017,C1098,1,2020-07-16 00:00:00.000,217,217
AX17432,ENX2053,A146,EMP1026,C1296,4,2019-06-25 00:00:00.000,596,2384
AX23134,ENX2065,A136,EMP1017,C1627,3,2018-10-08 00:00:00.000,2396,7188
AX18162,ENX2074,A136,EMP1043,C1610,1,2019-07-12 00:00:00.000,504,504
AX11305,ENX2087,A176,EMP1020,C1686,4,2019-04-08 00:00:00.000,1022,4088
AX14705,ENX2051,A160,EMP1035,C1134,3,2020-03-11 00:00:00.000,1077,3231
AX13122,ENX2081,A162,EMP1016,C1670,1,2020-04-08 00:00:00.000,1566,1566
AX20237,ENX2070,A151,EMP1035,C1365,3,2020-12-20 00:00:00.000,1671,5013
AX20762,ENX2097,A122,EMP1014,C1427,1,2020-12-28 00:00:00.000,1052,1052
AX16835,ENX2059,A168,EMP1036,C1440,1,2018-08-03 00:00:00.000,1494,1494
AX10868,ENX2013,A188,EMP1041,C1756,1,2019-12-05 00:00:00.000,368,368
AX22824,ENX2032,A117,EMP1038,C1285,1,2018-04-15 00:00:00.000,1967,1967
AX21709,ENX2097,A128,EMP1016,C1650,1,2019-10-17 00:00:00.000,1052,1052
AX10841,ENX2042,A176,EMP1044,C1198,3,2018-10-28 00:00:00.000,203,609
AX20629,ENX2036,A154,EMP1001,C1029,1,2020-06-08 00:00:00.000,1582,1582
AX14566,ENX2076,A137,EMP1002,C1343,3,2019-10-14 00:00:00.000,1522,4566
AX17826,ENX2038,A131,EMP1033,C1679,4,2018-09-04 00:00:00.000,392,1568
AX21671,ENX2092,A143,EMP1009,C1248,2,2019-08-18 00:00:00.000,1639,3278
AX11557,ENX2087,A131,EMP1044,C1391,2,2020-11-04 00:00:00.000,1022,2044
AX17306,ENX2006,A118,EMP1040,C1248,1,2018-02-17 00:00:00.000,1826,1826
AX13021,ENX2082,A194,EMP1007,C1485,2,2019-10-20 00:00:00.000,1103,2206
AX18225,ENX2032,A128,EMP1031,C1265,2,2020-12-02 00:00:00.000,1967,3934
AX16606,ENX2038,A167,EMP1001,C1166,1,2019-04-01 00:00:00.000,392,392
AX19590,ENX2020,A179,EMP1022,C1497,3,2018-06-02 00:00:00.000,2005,6015
AX24781,ENX2043,A156,EMP1019,C1460,1,2018-04-19 00:00:00.000,545,545
AX16755,ENX2096,A150,EMP1016,C1690,4,2020-09-15 00:00:00.000,1587,6348
AX18530,ENX2038,A118,EMP1040,C1252,2,2018-07-02 00:00:00.000,392,784
AX22337,ENX2069,A156,EMP1039,C1363,4,2018-06-27 00:00:00.000,378,1512
AX16099,ENX2100,A145,EMP1000,C1360,1,2019-11-13 00:00:00.000,799,799
AX22609,ENX2096,A100,EMP1002,C1451,2,2018-07-23 00:00:00.000,1587,3174
AX10229,ENX2062,A120,EMP1006,C1613,1,2020-06-20 00:00:00.000,2464,2464
AX11576,ENX2071,A154,EMP1013,C1745,1,2018-03-28 00:00:00.000,136,136
AX22197,ENX2016,A145,EMP1044,C1200,4,2019-11-03 00:00:00.000,1351,5404
AX24239,ENX2003,A137,EMP1037,C1331,1,2019-10-04 00:00:00.000,1783,1783
AX24744,ENX2088,A103,EMP1008,C1473,2,2018-05-21 00:00:00.000,603,1206
AX22595,ENX2085,A168,EMP1034,C1317,1,2020-09-13 00:00:00.000,1862,1862
AX18927,ENX2072,A132,EMP1026,C1304,4,2019-03-21 00:00:00.000,1887,7548
AX20714,ENX2029,A127,EMP1044,C1471,1,2018-04-09 00:00:00.000,1848,1848
AX17413,ENX2074,A167,EMP1012,C1341,2,2018-11-06 00:00:00.000,504,1008
AX11949,ENX2082,A196,EMP1010,C1015,1,2020-05-24 00:00:00.000,1103,1103
AX17157,ENX2055,A125,EMP1023,C1604,2,2019-04-05 00:00:00.000,2495,4990
AX13795,ENX2017,A132,EMP1021,C1762,1,2020-03-29 00:00:00.000,35,35
AX20421,ENX2038,A145,EMP1004,C1662,1,2020-11-15 00:00:00.000,392,392
