Business Application,month,device_count,percent_device_count
"Production Research",2021-05-01 00:00:00.000,10,0.52
"Production Research",2021-06-01 00:00:00.000,10,0.78
"Production Research",2021-07-01 00:00:00.000,10,0.79
"Production Research",2021-08-01 00:00:00.000,10,0.78
"Production Research",2021-09-01 00:00:00.000,10,0.76
"Production Research",2021-10-01 00:00:00.000,8,0.63
"Production Research",2021-11-01 00:00:00.000,8,1.3
"Research - Prod",2020-11-01 00:00:00.000,10,0.25
"Research - Prod",2020-12-01 00:00:00.000,10,0.25
"Research - Prod",2021-01-01 00:00:00.000,10,0.24
"Research - Prod",2021-02-01 00:00:00.000,10,0.23
"Research - Prod",2021-03-01 00:00:00.000,10,0.23
"Research - Prod",2021-04-01 00:00:00.000,10,0.52
"Research - Prod",2021-05-01 00:00:00.000,10,0.52
"Research - Prod",2021-06-01 00:00:00.000,10,0.78
"Research - Prod",2021-07-01 00:00:00.000,10,0.79
"Research - Prod",2021-08-01 00:00:00.000,10,0.78
"Research - Prod",2021-09-01 00:00:00.000,10,0.76
"Research - Prod",2021-10-01 00:00:00.000,8,0.63
"Research - Prod",2021-11-01 00:00:00.000,8,1.3
"Uncategorized",2020-11-01 00:00:00.000,3906,96.97
"Uncategorized",2020-12-01 00:00:00.000,3935,96.99
"Uncategorized",2021-01-01 00:00:00.000,3979,97.03
"Uncategorized",2021-02-01 00:00:00.000,4176,97.16
"Uncategorized",2021-03-01 00:00:00.000,4207,97.18
"Uncategorized",2021-04-01 00:00:00.000,1795,93.78
"Uncategorized",2021-05-01 00:00:00.000,1816,93.8
"Uncategorized",2021-06-01 00:00:00.000,1164,90.65
"Uncategorized",2021-07-01 00:00:00.000,1141,90.41
"Uncategorized",2021-08-01 00:00:00.000,1156,90.52
"Uncategorized",2021-09-01 00:00:00.000,1192,90.78
"Uncategorized",2021-10-01 00:00:00.000,1174,91.86
"Uncategorized",2021-11-01 00:00:00.000,511,83.09
"Webinar App",2020-11-01 00:00:00.000,11,0.27
"Webinar App",2020-12-01 00:00:00.000,11,0.27
"Webinar App",2021-01-01 00:00:00.000,11,0.27
"Webinar App",2021-02-01 00:00:00.000,11,0.26
"Webinar App",2021-03-01 00:00:00.000,11,0.25
"Webinar App",2021-04-01 00:00:00.000,11,0.57
"Webinar App",2021-05-01 00:00:00.000,11,0.57
"Webinar App",2021-06-01 00:00:00.000,11,0.86
"Webinar App",2021-07-01 00:00:00.000,11,0.87
"Webinar App",2021-08-01 00:00:00.000,11,0.86
"Webinar App",2021-09-01 00:00:00.000,11,0.84
"Webinar App",2021-10-01 00:00:00.000,11,0.86
"Webinar App",2021-11-01 00:00:00.000,11,1.79
