Measure Names,Month of Order Date,Diff from Monthly Avg,Custom,Diff,test,test_sort,Mon,MonSort
"Diff from Monthly Avg",2016-05-01 00:00:00.000,-17726.66475625,"1",-17726.66475625,"May-16","201605","May",5
"Diff from Monthly Avg",2016-06-01 00:00:00.000,-23061.05925625,"1",-23061.05925625,"Jun-16","201606","Jun",6
"Diff from Monthly Avg",2016-07-01 00:00:00.000,-19093.02625625,"1",-19093.02625625,"Jul-16","201607","Jul",7
"Diff from Monthly Avg",2016-08-01 00:00:00.000,-10960.01905625,"1",-10960.01905625,"Aug-16","201608","Aug",8
"Diff from Monthly Avg",2016-09-01 00:00:00.000,16737.56674375,"0",0,"Sep-16","201609","Sep",9
"Diff from Monthly Avg",2016-10-01 00:00:00.000,-16453.42775625,"1",-16453.42775625,"Oct-16","201610","Oct",10
"Diff from Monthly Avg",2016-11-01 00:00:00.000,28114.21224375,"0",0,"Nov-16","201611","Nov",11
"Diff from Monthly Avg",2016-12-01 00:00:00.000,27061.16994375,"0",0,"Dec-16","201612","Dec",12
"Diff from Monthly Avg",2017-01-01 00:00:00.000,-29315.86025625,"1",-29315.86025625,"Jan-17","201701","Jan",1
"Diff from Monthly Avg",2017-02-01 00:00:00.000,-24879.53625625,"1",-24879.53625625,"Feb-17","201702","Feb",2
"Diff from Monthly Avg",2017-03-01 00:00:00.000,3857.52374375,"0",0,"Mar-17","201703","Mar",3
"Diff from Monthly Avg",2017-04-01 00:00:00.000,-9108.31225625,"1",-9108.31225625,"Apr-17","201704","Apr",4
"Diff from Monthly Avg",2017-05-01 00:00:00.000,9129.37674375,"0",0,"May-17","201705","May",5
"Diff from Monthly Avg",2017-06-01 00:00:00.000,-7513.81725625,"1",-7513.81725625,"Jun-17","201706","Jun",6
"Diff from Monthly Avg",2017-07-01 00:00:00.000,-8596.38825625,"1",-8596.38825625,"Jul-17","201707","Jul",7
"Diff from Monthly Avg",2017-08-01 00:00:00.000,-16742.97695625,"1",-16742.97695625,"Aug-17","201708","Aug",8
"Diff from Monthly Avg",2017-09-01 00:00:00.000,25551.67364375,"0",0,"Sep-17","201709","Sep",9
"Diff from Monthly Avg",2017-10-01 00:00:00.000,11829.39374375,"0",0,"Oct-17","201710","Oct",10
"Diff from Monthly Avg",2017-11-01 00:00:00.000,31553.61454375,"0",0,"Nov-17","201711","Nov",11
"Diff from Monthly Avg",2017-12-01 00:00:00.000,49140.69174375,"0",0,"Dec-17","201712","Dec",12
"Diff from Monthly Avg",2018-01-01 00:00:00.000,-3886.97725625,"1",-3886.97725625,"Jan-18","201801","Jan",1
"Diff from Monthly Avg",2018-02-01 00:00:00.000,-27557.21785625,"1",-27557.21785625,"Feb-18","201802","Feb",2
"Diff from Monthly Avg",2018-03-01 00:00:00.000,11014.00154375,"0",0,"Mar-18","201803","Mar",3
"Diff from Monthly Avg",2018-04-01 00:00:00.000,-11336.81515625,"1",-11336.81515625,"Apr-18","201804","Apr",4
"Diff from Monthly Avg",2018-05-01 00:00:00.000,-3597.24105625,"1",-3597.24105625,"May-18","201805","May",5
"Diff from Monthly Avg",2018-06-01 00:00:00.000,5123.37444375,"0",0,"Jun-18","201806","Jun",6
"Diff from Monthly Avg",2018-07-01 00:00:00.000,-2593.93525625,"1",-2593.93525625,"Jul-18","201807","Jul",7
"Diff from Monthly Avg",2018-08-01 00:00:00.000,15262.53674375,"0",0,"Aug-18","201808","Aug",8
"Diff from Monthly Avg",2018-09-01 00:00:00.000,40008.30074375,"0",0,"Sep-18","201809","Sep",9
"Diff from Monthly Avg",2018-10-01 00:00:00.000,29918.57194375,"0",0,"Oct-18","201810","Oct",10
"Diff from Monthly Avg",2018-11-01 00:00:00.000,70589.47374375,"0",0,"Nov-18","201811","Nov",11
"Diff from Monthly Avg",2018-12-01 00:00:00.000,35970.96754375,"0",0,"Dec-18","201812","Dec",12
"Diff from Monthly Avg (2)",2015-01-01 00:00:00.000,-33621.45625625,"0",0,"Jan-15","201501","Jan",1
"Diff from Monthly Avg (2)",2015-02-01 00:00:00.000,-43338.45925625,"0",0,"Feb-15","201502","Feb",2
"Diff from Monthly Avg (2)",2015-03-01 00:00:00.000,7832.65774375,"1",7832.65774375,"Mar-15","201503","Mar",3
"Diff from Monthly Avg (2)",2015-04-01 00:00:00.000,-19563.00625625,"0",0,"Apr-15","201504","Apr",4
"Diff from Monthly Avg (2)",2015-05-01 00:00:00.000,-24210.06425625,"0",0,"May-15","201505","May",5
"Diff from Monthly Avg (2)",2015-06-01 00:00:00.000,-13263.22365625,"0",0,"Jun-15","201506","Jun",6
"Diff from Monthly Avg (2)",2015-07-01 00:00:00.000,-13911.95825625,"0",0,"Jul-15","201507","Jul",7
"Diff from Monthly Avg (2)",2015-08-01 00:00:00.000,-19948.88275625,"0",0,"Aug-15","201508","Aug",8
"Diff from Monthly Avg (2)",2015-09-01 00:00:00.000,33918.99954375,"1",33918.99954375,"Sep-15","201509","Sep",9
"Diff from Monthly Avg (2)",2015-10-01 00:00:00.000,-16404.95825625,"0",0,"Oct-15","201510","Oct",10
"Diff from Monthly Avg (2)",2015-11-01 00:00:00.000,30770.36544375,"1",30770.36544375,"Nov-15","201511","Nov",11
"Diff from Monthly Avg (2)",2015-12-01 00:00:00.000,21687.26924375,"1",21687.26924375,"Dec-15","201512","Dec",12
"Diff from Monthly Avg (2)",2016-01-01 00:00:00.000,-29684.27565625,"0",0,"Jan-16","201601","Jan",1
"Diff from Monthly Avg (2)",2016-02-01 00:00:00.000,-35906.94025625,"0",0,"Feb-16","201602","Feb",2
"Diff from Monthly Avg (2)",2016-03-01 00:00:00.000,-9132.09925625,"0",0,"Mar-16","201603","Mar",3
"Diff from Monthly Avg (2)",2016-04-01 00:00:00.000,-13663.14275625,"0",0,"Apr-16","201604","Apr",4
"Diff from Monthly Avg (2)",2016-05-01 00:00:00.000,-17726.66475625,"0",0,"May-16","201605","May",5
"Diff from Monthly Avg (2)",2016-06-01 00:00:00.000,-23061.05925625,"0",0,"Jun-16","201606","Jun",6
"Diff from Monthly Avg (2)",2016-07-01 00:00:00.000,-19093.02625625,"0",0,"Jul-16","201607","Jul",7
"Diff from Monthly Avg (2)",2016-08-01 00:00:00.000,-10960.01905625,"0",0,"Aug-16","201608","Aug",8
"Diff from Monthly Avg (2)",2016-09-01 00:00:00.000,16737.56674375,"1",16737.56674375,"Sep-16","201609","Sep",9
"Diff from Monthly Avg (2)",2016-10-01 00:00:00.000,-16453.42775625,"0",0,"Oct-16","201610","Oct",10
"Diff from Monthly Avg (2)",2016-11-01 00:00:00.000,28114.21224375,"1",28114.21224375,"Nov-16","201611","Nov",11
"Diff from Monthly Avg (2)",2016-12-01 00:00:00.000,27061.16994375,"1",27061.16994375,"Dec-16","201612","Dec",12
"Diff from Monthly Avg (2)",2017-01-01 00:00:00.000,-29315.86025625,"0",0,"Jan-17","201701","Jan",1
"Diff from Monthly Avg (2)",2017-02-01 00:00:00.000,-24879.53625625,"0",0,"Feb-17","201702","Feb",2
"Diff from Monthly Avg (2)",2017-03-01 00:00:00.000,3857.52374375,"1",3857.52374375,"Mar-17","201703","Mar",3
"Diff from Monthly Avg (2)",2017-04-01 00:00:00.000,-9108.31225625,"0",0,"Apr-17","201704","Apr",4
"Diff from Monthly Avg (2)",2017-05-01 00:00:00.000,9129.37674375,"1",9129.37674375,"May-17","201705","May",5
"Diff from Monthly Avg (2)",2017-06-01 00:00:00.000,-7513.81725625,"0",0,"Jun-17","201706","Jun",6
"Diff from Monthly Avg (2)",2017-07-01 00:00:00.000,-8596.38825625,"0",0,"Jul-17","201707","Jul",7
"Diff from Monthly Avg (2)",2017-08-01 00:00:00.000,-16742.97695625,"0",0,"Aug-17","201708","Aug",8
"Diff from Monthly Avg (2)",2017-09-01 00:00:00.000,25551.67364375,"1",25551.67364375,"Sep-17","201709","Sep",9
"Diff from Monthly Avg (2)",2017-10-01 00:00:00.000,11829.39374375,"1",11829.39374375,"Oct-17","201710","Oct",10
"Diff from Monthly Avg (2)",2017-11-01 00:00:00.000,31553.61454375,"1",31553.61454375,"Nov-17","201711","Nov",11
"Diff from Monthly Avg (2)",2017-12-01 00:00:00.000,49140.69174375,"1",49140.69174375,"Dec-17","201712","Dec",12
"Diff from Monthly Avg (2)",2018-01-01 00:00:00.000,-3886.97725625,"0",0,"Jan-18","201801","Jan",1
"Diff from Monthly Avg (2)",2018-02-01 00:00:00.000,-27557.21785625,"0",0,"Feb-18","201802","Feb",2
"Diff from Monthly Avg (2)",2018-03-01 00:00:00.000,11014.00154375,"1",11014.00154375,"Mar-18","201803","Mar",3
"Diff from Monthly Avg (2)",2018-04-01 00:00:00.000,-11336.81515625,"0",0,"Apr-18","201804","Apr",4
"Diff from Monthly Avg (2)",2018-05-01 00:00:00.000,-3597.24105625,"0",0,"May-18","201805","May",5
"Diff from Monthly Avg (2)",2018-06-01 00:00:00.000,5123.37444375,"1",5123.37444375,"Jun-18","201806","Jun",6
"Diff from Monthly Avg (2)",2018-07-01 00:00:00.000,-2593.93525625,"0",0,"Jul-18","201807","Jul",7
"Diff from Monthly Avg (2)",2018-08-01 00:00:00.000,15262.53674375,"1",15262.53674375,"Aug-18","201808","Aug",8
"Diff from Monthly Avg (2)",2018-09-01 00:00:00.000,40008.30074375,"1",40008.30074375,"Sep-18","201809","Sep",9
"Diff from Monthly Avg (2)",2018-10-01 00:00:00.000,29918.57194375,"1",29918.57194375,"Oct-18","201810","Oct",10
"Diff from Monthly Avg (2)",2018-11-01 00:00:00.000,70589.47374375,"1",70589.47374375,"Nov-18","201811","Nov",11
"Diff from Monthly Avg (2)",2018-12-01 00:00:00.000,35970.96754375,"1",35970.96754375,"Dec-18","201812","Dec",12
