ResellerKey,variable,value
338,ResellerAlternateKey,AW00000338
683,ResellerAlternateKey,AW00000683
439,ResellerAlternateKey,AW00000439
29,ResellerAlternateKey,AW00000029
402,ResellerAlternateKey,AW00000402
27,ResellerAlternateKey,AW00000027
419,ResellerAlternateKey,AW00000419
130,ResellerAlternateKey,AW00000130
515,ResellerAlternateKey,AW00000515
432,ResellerAlternateKey,AW00000432
294,ResellerAlternateKey,AW00000294
408,ResellerAlternateKey,AW00000408
85,ResellerAlternateKey,AW00000085
459,ResellerAlternateKey,AW00000459
405,ResellerAlternateKey,AW00000405
222,ResellerAlternateKey,AW00000222
547,ResellerAlternateKey,AW00000547
315,ResellerAlternateKey,AW00000315
91,ResellerAlternateKey,AW00000091
590,ResellerAlternateKey,AW00000590
70,ResellerAlternateKey,AW00000070
136,ResellerAlternateKey,AW00000136
571,ResellerAlternateKey,AW00000571
156,ResellerAlternateKey,AW00000156
65,ResellerAlternateKey,AW00000065
358,ResellerAlternateKey,AW00000358
20,ResellerAlternateKey,AW00000020
630,ResellerAlternateKey,AW00000630
583,ResellerAlternateKey,AW00000583
227,ResellerAlternateKey,AW00000227
650,ResellerAlternateKey,AW00000650
335,ResellerAlternateKey,AW00000335
193,ResellerAlternateKey,AW00000193
482,ResellerAlternateKey,AW00000482
464,ResellerAlternateKey,AW00000464
634,ResellerAlternateKey,AW00000634
194,ResellerAlternateKey,AW00000194
104,ResellerAlternateKey,AW00000104
463,ResellerAlternateKey,AW00000463
310,ResellerAlternateKey,AW00000310
158,ResellerAlternateKey,AW00000158
265,ResellerAlternateKey,AW00000265
501,ResellerAlternateKey,AW00000501
412,ResellerAlternateKey,AW00000412
18,ResellerAlternateKey,AW00000018
648,ResellerAlternateKey,AW00000648
73,ResellerAlternateKey,AW00000073
196,ResellerAlternateKey,AW00000196
633,ResellerAlternateKey,AW00000633
467,ResellerAlternateKey,AW00000467
112,ResellerAlternateKey,AW00000112
687,ResellerAlternateKey,AW00000687
572,ResellerAlternateKey,AW00000572
509,ResellerAlternateKey,AW00000509
96,ResellerAlternateKey,AW00000096
574,ResellerAlternateKey,AW00000574
697,ResellerAlternateKey,AW00000697
421,ResellerAlternateKey,AW00000421
531,ResellerAlternateKey,AW00000531
39,ResellerAlternateKey,AW00000039
15,ResellerAlternateKey,AW00000015
352,ResellerAlternateKey,AW00000352
149,ResellerAlternateKey,AW00000149
181,ResellerAlternateKey,AW00000181
385,ResellerAlternateKey,AW00000385
213,Phone,1 (11) 500 555-0168
179,Phone,608-555-0114
309,Phone,149-555-0113
185,Phone,495-555-0113
592,Phone,1 (11) 500 555-0115
326,Phone,164-555-0145
438,Phone,121-555-0157
4,Phone,710-555-0173
489,Phone,191-555-0198
132,Phone,661-555-0168
238,Phone,652-555-0189
470,Phone,328-555-0192
691,Phone,751-555-0119
35,Phone,623-555-0153
25,Phone,357-555-0161
480,Phone,994-555-0194
24,Phone,926-555-0164
441,Phone,500-555-0134
520,Phone,1 (11) 500 555-0118
417,Phone,273-555-0181
37,Phone,724-555-0161
141,Phone,1 (11) 500 555-0176
341,Phone,710-555-0116
291,Phone,640-555-0189
643,Phone,537-555-0190
325,Phone,918-555-0127
430,Phone,1 (11) 500 555-0118
423,Phone,334-555-0146
493,Phone,323-555-0113
394,Phone,1 (11) 500 555-0116
617,Phone,1 (11) 500 555-0146
202,Phone,645-555-0193
44,Phone,552-555-0141
396,Phone,214-555-0170
88,Phone,1 (11) 500 555-0173
338,Phone,1 (11) 500 555-0136
683,Phone,1 (11) 500 555-0137
439,Phone,425-555-0158
29,Phone,344-555-0144
402,Phone,640-555-0198
27,Phone,284-555-0185
419,Phone,816-555-0118
130,Phone,380-555-0116
515,Phone,833-555-0167
432,Phone,186-555-0135
294,Phone,780-555-0114
408,Phone,519-555-0151
85,Phone,1 (11) 500 555-0170
459,Phone,653-555-0170
405,Phone,813-555-0173
222,Phone,858-555-0140
547,Phone,535-555-0189
315,Phone,843-555-0175
91,Phone,810-555-0198
590,Phone,1 (11) 500 555-0115
70,Phone,1 (11) 500 555-0122
136,Phone,674-555-0187
571,Phone,1 (11) 500 555-0187
156,Phone,844-555-0112
65,Phone,737-555-0163
358,Phone,1 (11) 500 555-0144
20,Phone,582-555-0113
630,Phone,194-555-0149
583,Phone,741-555-0173
227,Phone,431-555-0153
650,Phone,265-555-0143
335,Phone,156-555-0111
193,Phone,1 (11) 500 555-0165
482,Phone,1 (11) 500 555-0186
464,Phone,1 (11) 500 555-0147
634,Phone,1 (11) 500 555-0159
194,Phone,1 (11) 500 555-0179
104,Phone,1 (11) 500 555-0117
463,Phone,1 (11) 500 555-0123
310,Phone,118-555-0184
158,Phone,1 (11) 500 555-0191
265,Phone,1 (11) 500 555-0199
501,Phone,1 (11) 500 555-0119
412,Phone,1 (11) 500 555-0181
18,Phone,440-555-0132
648,Phone,158-555-0154
73,Phone,107-555-0132
196,Phone,1 (11) 500 555-0126
633,Phone,1 (11) 500 555-0144
467,Phone,505-555-0145
112,Phone,803-555-0116
687,Phone,1 (11) 500 555-0178
572,Phone,1 (11) 500 555-0191
509,Phone,678-555-0175
96,Phone,354-555-0130
574,Phone,1 (11) 500 555-0119
697,Phone,774-555-0133
421,Phone,448-555-0179
531,Phone,235-555-0199
39,Phone,377-555-0132
15,Phone,1 (11) 500 555-0140
352,Phone,155-555-0149
149,Phone,229-555-0114
181,Phone,396-555-0139
385,Phone,330-555-0116
213,BusinessType,Specialty Bike Shop
179,BusinessType,Value Added Reseller
309,BusinessType,Value Added Reseller
185,BusinessType,Value Added Reseller
592,BusinessType,Specialty Bike Shop
326,BusinessType,Warehouse
438,BusinessType,Specialty Bike Shop
4,BusinessType,Value Added Reseller
489,BusinessType,Specialty Bike Shop
132,BusinessType,Specialty Bike Shop
238,BusinessType,Specialty Bike Shop
470,BusinessType,Value Added Reseller
691,BusinessType,Value Added Reseller
35,BusinessType,Specialty Bike Shop
25,BusinessType,Value Added Reseller
480,BusinessType,Specialty Bike Shop
24,BusinessType,Warehouse
441,BusinessType,Specialty Bike Shop
520,BusinessType,Warehouse
417,BusinessType,Warehouse
37,BusinessType,Value Added Reseller
141,BusinessType,Specialty Bike Shop
341,BusinessType,Specialty Bike Shop
291,BusinessType,Value Added Reseller
643,BusinessType,Specialty Bike Shop
325,BusinessType,Specialty Bike Shop
430,BusinessType,Value Added Reseller
423,BusinessType,Warehouse
493,BusinessType,Warehouse
394,BusinessType,Value Added Reseller
617,BusinessType,Warehouse
202,BusinessType,Warehouse
44,BusinessType,Specialty Bike Shop
396,BusinessType,Warehouse
88,BusinessType,Value Added Reseller
338,BusinessType,Specialty Bike Shop
683,BusinessType,Specialty Bike Shop
439,BusinessType,Warehouse
29,BusinessType,Specialty Bike Shop
402,BusinessType,Warehouse
27,BusinessType,Warehouse
419,BusinessType,Specialty Bike Shop
130,BusinessType,Warehouse
515,BusinessType,Value Added Reseller
432,BusinessType,Warehouse
294,BusinessType,Value Added Reseller
408,BusinessType,Warehouse
85,BusinessType,Value Added Reseller
459,BusinessType,Specialty Bike Shop
405,BusinessType,Warehouse
222,BusinessType,Value Added Reseller
547,BusinessType,Specialty Bike Shop
315,BusinessType,Value Added Reseller
91,BusinessType,Value Added Reseller
590,BusinessType,Warehouse
70,BusinessType,Value Added Reseller
136,BusinessType,Warehouse
571,BusinessType,Specialty Bike Shop
156,BusinessType,Specialty Bike Shop
65,BusinessType,Specialty Bike Shop
358,BusinessType,Value Added Reseller
20,BusinessType,Specialty Bike Shop
630,BusinessType,Value Added Reseller
583,BusinessType,Specialty Bike Shop
227,BusinessType,Warehouse
650,BusinessType,Warehouse
335,BusinessType,Specialty Bike Shop
193,BusinessType,Warehouse
482,BusinessType,Value Added Reseller
464,BusinessType,Value Added Reseller
634,BusinessType,Specialty Bike Shop
194,BusinessType,Value Added Reseller
104,BusinessType,Specialty Bike Shop
463,BusinessType,Warehouse
310,BusinessType,Specialty Bike Shop
158,BusinessType,Value Added Reseller
265,BusinessType,Specialty Bike Shop
501,BusinessType,Specialty Bike Shop
412,BusinessType,Value Added Reseller
18,BusinessType,Warehouse
648,BusinessType,Value Added Reseller
73,BusinessType,Value Added Reseller
196,BusinessType,Warehouse
633,BusinessType,Value Added Reseller
467,BusinessType,Value Added Reseller
112,BusinessType,Warehouse
687,BusinessType,Warehouse
572,BusinessType,Warehouse
509,BusinessType,Value Added Reseller
96,BusinessType,Warehouse
574,BusinessType,Specialty Bike Shop
697,BusinessType,Value Added Reseller
421,BusinessType,Value Added Reseller
531,BusinessType,Specialty Bike Shop
39,BusinessType,Warehouse
15,BusinessType,Warehouse
352,BusinessType,Value Added Reseller
149,BusinessType,Value Added Reseller
181,BusinessType,Warehouse
385,BusinessType,Value Added Reseller
213,ResellerName,Fast Bike Works
179,ResellerName,Fourth Bike Store
309,ResellerName,The Gear Store
185,ResellerName,Weekend Bike Tours
592,ResellerName,Cycling Goods
326,ResellerName,Year-Round Sports
438,ResellerName,Remarkable Bike Store
4,ResellerName,Modular Cycle Systems
489,ResellerName,Cash & Carry Bikes
132,ResellerName,Another Sporting Goods Company
238,ResellerName,A Great Bicycle Company
470,ResellerName,Wingtip Toys
691,ResellerName,Mountain Bike Store
35,ResellerName,Economic Parts Supply
25,ResellerName,Coalition Bike Company
480,ResellerName,General Bike Corporation
24,ResellerName,Eastside Department Store
441,ResellerName,Leading Bike Distributors
520,ResellerName,Metro Metals Co.
417,ResellerName,Genuine Bike Shop
37,ResellerName,Two Bike Shops
141,ResellerName,Rental Gallery
341,ResellerName,Independent Outlet
291,ResellerName,Grand Bicycle Stores
643,ResellerName,Friendly Bike Shop
325,ResellerName,All Cycle Shop
430,ResellerName,Uttermost Bike Shop
423,ResellerName,Bike Rims Company
493,ResellerName,Valley Bicycle Distributors
394,ResellerName,Little Sports Center
617,ResellerName,Tubeless Tire Company
202,ResellerName,Two-Seater Bikes
44,ResellerName,Games and Sport Supply Company
396,ResellerName,Executive Gift Store
88,ResellerName,Closest Bicycle Store
338,ResellerName,Rambling Tours
683,ResellerName,Oils and Fluids Warehouse
439,ResellerName,Regional Manufacturing
29,ResellerName,Cross-Country Riding Supplies
402,ResellerName,Pro Sporting Goods
27,ResellerName,Sports Sales and Rental
419,ResellerName,Exertion Activities Club
130,ResellerName,Elite Bikes
515,ResellerName,Rural Bicycle Supply
432,ResellerName,Super Sports Store
294,ResellerName,Flawless Bike Shop
408,ResellerName,Odometers and Accessories Company
85,ResellerName,Roadway Bicycle Supply
459,ResellerName,Parts Shop
405,ResellerName,Sporting Goods and Bicycle Shop
222,ResellerName,Sample Bike Store
547,ResellerName,Curbside Sporting Goods
315,ResellerName,Juvenile Sports Equipment
91,ResellerName,Scooters and Bikes Store
590,ResellerName,Lustrous Paints and Components
70,ResellerName,Outdoor Aerobic Systems Company
136,ResellerName,Wholesale Parts
571,ResellerName,Community Department Stores
156,ResellerName,Metal Processing Company
65,ResellerName,Metro Manufacturing
358,ResellerName,Mail Market
20,ResellerName,Central Discount Store
630,ResellerName,Eastside Parts Shop
583,ResellerName,Professional Containers and Packaging Co.
227,ResellerName,"Health Spa, Limited"
650,ResellerName,Permanent Finish Products
335,ResellerName,Scratch-Resistant Finishes Company
193,ResellerName,Perfect Toys
482,ResellerName,"Fabrikam Inc., East"
464,ResellerName,Educational Services
634,ResellerName,Sensible Sports
194,ResellerName,Mechanical Brake Manufacturers
104,ResellerName,Very Best Sports Supply
463,ResellerName,Brand New Bikes
310,ResellerName,Orange Bicycle Company
158,ResellerName,Rural Sporting Goods
265,ResellerName,Full Sports Supply
501,ResellerName,Jumbo Bikes
412,ResellerName,Leisure Clearing House
18,ResellerName,Catalog Store
648,ResellerName,Small Bike Shop
73,ResellerName,Outdoor Sports Supply
196,ResellerName,Exhibition Showroom
633,ResellerName,Rustic Bike Store
467,ResellerName,The Cycle Store
112,ResellerName,Town Industries
687,ResellerName,Functional Store South
572,ResellerName,Versatile Sporting Goods Company
509,ResellerName,Fun Toys and Bikes
96,ResellerName,More Bikes!
574,ResellerName,Area Sheet Metal Supply
697,ResellerName,Brakes and Gears
421,ResellerName,Fitness Cycling
531,ResellerName,Sunny Place Bikes
39,ResellerName,Fitness Hotel
15,ResellerName,Budget Toy Store
352,ResellerName,Twelfth Bike Store
149,ResellerName,Initial Bike Company
181,ResellerName,Family Entertainment Center
385,ResellerName,Sturdy Toys
213,NumberEmployees,28
179,NumberEmployees,3
309,NumberEmployees,14
185,NumberEmployees,4
592,NumberEmployees,47
326,NumberEmployees,66
438,NumberEmployees,10
4,NumberEmployees,5
489,NumberEmployees,45
132,NumberEmployees,31
238,NumberEmployees,28
470,NumberEmployees,15
691,NumberEmployees,14
35,NumberEmployees,43
25,NumberEmployees,18
480,NumberEmployees,48
24,NumberEmployees,61
441,NumberEmployees,13
520,NumberEmployees,93
417,NumberEmployees,95
37,NumberEmployees,14
141,NumberEmployees,40
341,NumberEmployees,22
291,NumberEmployees,2
643,NumberEmployees,30
325,NumberEmployees,27
430,NumberEmployees,19
423,NumberEmployees,97
493,NumberEmployees,84
394,NumberEmployees,4
617,NumberEmployees,89
202,NumberEmployees,96
44,NumberEmployees,48
396,NumberEmployees,88
88,NumberEmployees,12
338,NumberEmployees,19
683,NumberEmployees,37
439,NumberEmployees,40
29,NumberEmployees,37
402,NumberEmployees,90
27,NumberEmployees,64
419,NumberEmployees,32
130,NumberEmployees,58
515,NumberEmployees,6
432,NumberEmployees,100
294,NumberEmployees,4
408,NumberEmployees,92
85,NumberEmployees,10
459,NumberEmployees,31
405,NumberEmployees,91
222,NumberEmployees,5
547,NumberEmployees,10
315,NumberEmployees,18
91,NumberEmployees,14
590,NumberEmployees,80
70,NumberEmployees,3
136,NumberEmployees,64
571,NumberEmployees,34
156,NumberEmployees,47
65,NumberEmployees,41
358,NumberEmployees,16
20,NumberEmployees,28
630,NumberEmployees,10
583,NumberEmployees,46
227,NumberEmployees,46
650,NumberEmployees,100
335,NumberEmployees,16
193,NumberEmployees,93
482,NumberEmployees,11
464,NumberEmployees,17
634,NumberEmployees,33
194,NumberEmployees,10
104,NumberEmployees,28
463,NumberEmployees,64
310,NumberEmployees,32
158,NumberEmployees,10
265,NumberEmployees,47
501,NumberEmployees,41
412,NumberEmployees,10
18,NumberEmployees,55
648,NumberEmployees,19
73,NumberEmployees,2
196,NumberEmployees,94
633,NumberEmployees,12
467,NumberEmployees,16
112,NumberEmployees,40
687,NumberEmployees,70
572,NumberEmployees,64
509,NumberEmployees,2
96,NumberEmployees,97
574,NumberEmployees,37
697,NumberEmployees,12
421,NumberEmployees,16
531,NumberEmployees,31
39,NumberEmployees,76
15,NumberEmployees,52
352,NumberEmployees,18
149,NumberEmployees,13
181,NumberEmployees,89
385,NumberEmployees,7
213,OrderFrequency,A
179,OrderFrequency,S
309,OrderFrequency,S
185,OrderFrequency,S
592,OrderFrequency,A
326,OrderFrequency,Q
438,OrderFrequency,A
4,OrderFrequency,S
489,OrderFrequency,A
132,OrderFrequency,A
238,OrderFrequency,A
470,OrderFrequency,S
691,OrderFrequency,S
35,OrderFrequency,A
25,OrderFrequency,S
480,OrderFrequency,A
24,OrderFrequency,Q
441,OrderFrequency,A
520,OrderFrequency,Q
417,OrderFrequency,Q
37,OrderFrequency,S
141,OrderFrequency,A
341,OrderFrequency,A
291,OrderFrequency,S
643,OrderFrequency,A
325,OrderFrequency,A
430,OrderFrequency,S
423,OrderFrequency,Q
493,OrderFrequency,Q
394,OrderFrequency,S
617,OrderFrequency,Q
202,OrderFrequency,Q
44,OrderFrequency,A
396,OrderFrequency,Q
88,OrderFrequency,S
338,OrderFrequency,A
683,OrderFrequency,A
439,OrderFrequency,Q
29,OrderFrequency,A
402,OrderFrequency,Q
27,OrderFrequency,Q
419,OrderFrequency,A
130,OrderFrequency,Q
515,OrderFrequency,S
432,OrderFrequency,Q
294,OrderFrequency,S
408,OrderFrequency,Q
85,OrderFrequency,S
459,OrderFrequency,A
405,OrderFrequency,Q
222,OrderFrequency,S
547,OrderFrequency,A
315,OrderFrequency,S
91,OrderFrequency,S
590,OrderFrequency,Q
70,OrderFrequency,S
136,OrderFrequency,Q
571,OrderFrequency,A
156,OrderFrequency,A
65,OrderFrequency,A
358,OrderFrequency,S
20,OrderFrequency,A
630,OrderFrequency,S
583,OrderFrequency,A
227,OrderFrequency,Q
650,OrderFrequency,Q
335,OrderFrequency,A
193,OrderFrequency,Q
482,OrderFrequency,S
464,OrderFrequency,S
634,OrderFrequency,A
194,OrderFrequency,S
104,OrderFrequency,A
463,OrderFrequency,Q
310,OrderFrequency,A
158,OrderFrequency,S
265,OrderFrequency,A
501,OrderFrequency,A
412,OrderFrequency,S
18,OrderFrequency,Q
648,OrderFrequency,S
73,OrderFrequency,S
196,OrderFrequency,Q
633,OrderFrequency,S
467,OrderFrequency,S
112,OrderFrequency,Q
687,OrderFrequency,Q
572,OrderFrequency,Q
509,OrderFrequency,S
96,OrderFrequency,Q
574,OrderFrequency,A
697,OrderFrequency,S
421,OrderFrequency,S
531,OrderFrequency,A
39,OrderFrequency,Q
15,OrderFrequency,Q
352,OrderFrequency,S
149,OrderFrequency,S
181,OrderFrequency,Q
385,OrderFrequency,S
213,OrderMonth,5.0
179,OrderMonth,6.0
309,OrderMonth,5.0
185,OrderMonth,7.0
592,OrderMonth,5.0
326,OrderMonth,11.0
438,OrderMonth,6.0
4,OrderMonth,4.0
489,OrderMonth,3.0
132,OrderMonth,
238,OrderMonth,12.0
470,OrderMonth,3.0
691,OrderMonth,4.0
35,OrderMonth,
25,OrderMonth,6.0
480,OrderMonth,4.0
24,OrderMonth,6.0
441,OrderMonth,5.0
520,OrderMonth,5.0
417,OrderMonth,12.0
37,OrderMonth,6.0
141,OrderMonth,5.0
341,OrderMonth,
291,OrderMonth,6.0
643,OrderMonth,4.0
325,OrderMonth,4.0
430,OrderMonth,5.0
423,OrderMonth,4.0
493,OrderMonth,5.0
394,OrderMonth,
617,OrderMonth,8.0
202,OrderMonth,6.0
44,OrderMonth,6.0
396,OrderMonth,5.0
88,OrderMonth,6.0
338,OrderMonth,9.0
683,OrderMonth,5.0
439,OrderMonth,3.0
29,OrderMonth,5.0
402,OrderMonth,
27,OrderMonth,4.0
419,OrderMonth,
130,OrderMonth,6.0
515,OrderMonth,
432,OrderMonth,5.0
294,OrderMonth,
408,OrderMonth,6.0
85,OrderMonth,5.0
459,OrderMonth,10.0
405,OrderMonth,
222,OrderMonth,9.0
547,OrderMonth,
315,OrderMonth,4.0
91,OrderMonth,6.0
590,OrderMonth,7.0
70,OrderMonth,2.0
136,OrderMonth,5.0
571,OrderMonth,6.0
156,OrderMonth,6.0
65,OrderMonth,5.0
358,OrderMonth,5.0
20,OrderMonth,6.0
630,OrderMonth,6.0
583,OrderMonth,5.0
227,OrderMonth,4.0
650,OrderMonth,5.0
335,OrderMonth,8.0
193,OrderMonth,5.0
482,OrderMonth,4.0
464,OrderMonth,6.0
634,OrderMonth,4.0
194,OrderMonth,
104,OrderMonth,6.0
463,OrderMonth,
310,OrderMonth,5.0
158,OrderMonth,
265,OrderMonth,4.0
501,OrderMonth,6.0
412,OrderMonth,5.0
18,OrderMonth,5.0
648,OrderMonth,6.0
73,OrderMonth,2.0
196,OrderMonth,4.0
633,OrderMonth,6.0
467,OrderMonth,12.0
112,OrderMonth,6.0
687,OrderMonth,5.0
572,OrderMonth,4.0
509,OrderMonth,6.0
96,OrderMonth,6.0
574,OrderMonth,5.0
697,OrderMonth,5.0
421,OrderMonth,4.0
531,OrderMonth,5.0
39,OrderMonth,6.0
15,OrderMonth,6.0
352,OrderMonth,5.0
149,OrderMonth,6.0
181,OrderMonth,5.0
385,OrderMonth,5.0
213,FirstOrderYear,2013.0
179,FirstOrderYear,2013.0
309,FirstOrderYear,2011.0
185,FirstOrderYear,2012.0
592,FirstOrderYear,2012.0
326,FirstOrderYear,2011.0
438,FirstOrderYear,2011.0
4,FirstOrderYear,2011.0
489,FirstOrderYear,2012.0
132,FirstOrderYear,
238,FirstOrderYear,2011.0
470,FirstOrderYear,2013.0
691,FirstOrderYear,2012.0
35,FirstOrderYear,
25,FirstOrderYear,2012.0
480,FirstOrderYear,2010.0
24,FirstOrderYear,2012.0
441,FirstOrderYear,2013.0
520,FirstOrderYear,2013.0
417,FirstOrderYear,2011.0
37,FirstOrderYear,2012.0
141,FirstOrderYear,2013.0
341,FirstOrderYear,
291,FirstOrderYear,2012.0
643,FirstOrderYear,2011.0
325,FirstOrderYear,2011.0
430,FirstOrderYear,2012.0
423,FirstOrderYear,2010.0
493,FirstOrderYear,2012.0
394,FirstOrderYear,
617,FirstOrderYear,2013.0
202,FirstOrderYear,2013.0
44,FirstOrderYear,2013.0
396,FirstOrderYear,2012.0
88,FirstOrderYear,2013.0
338,FirstOrderYear,2013.0
683,FirstOrderYear,2012.0
439,FirstOrderYear,2011.0
29,FirstOrderYear,2011.0
402,FirstOrderYear,
27,FirstOrderYear,2010.0
419,FirstOrderYear,
130,FirstOrderYear,2012.0
515,FirstOrderYear,
432,FirstOrderYear,2011.0
294,FirstOrderYear,
408,FirstOrderYear,2013.0
85,FirstOrderYear,2013.0
459,FirstOrderYear,2013.0
405,FirstOrderYear,
222,FirstOrderYear,2011.0
547,FirstOrderYear,
315,FirstOrderYear,2010.0
91,FirstOrderYear,2011.0
590,FirstOrderYear,2012.0
70,FirstOrderYear,2013.0
136,FirstOrderYear,2011.0
571,FirstOrderYear,2012.0
156,FirstOrderYear,2011.0
65,FirstOrderYear,2012.0
358,FirstOrderYear,2013.0
20,FirstOrderYear,2011.0
630,FirstOrderYear,2013.0
583,FirstOrderYear,2012.0
227,FirstOrderYear,2010.0
650,FirstOrderYear,2011.0
335,FirstOrderYear,2011.0
193,FirstOrderYear,2013.0
482,FirstOrderYear,2012.0
464,FirstOrderYear,2013.0
634,FirstOrderYear,2012.0
194,FirstOrderYear,
104,FirstOrderYear,2013.0
463,FirstOrderYear,
310,FirstOrderYear,2012.0
158,FirstOrderYear,
265,FirstOrderYear,2011.0
501,FirstOrderYear,2013.0
412,FirstOrderYear,2012.0
18,FirstOrderYear,2011.0
648,FirstOrderYear,2011.0
73,FirstOrderYear,2011.0
196,FirstOrderYear,2012.0
633,FirstOrderYear,2013.0
467,FirstOrderYear,2013.0
112,FirstOrderYear,2013.0
687,FirstOrderYear,2013.0
572,FirstOrderYear,2012.0
509,FirstOrderYear,2013.0
96,FirstOrderYear,2011.0
574,FirstOrderYear,2012.0
697,FirstOrderYear,2011.0
421,FirstOrderYear,2012.0
531,FirstOrderYear,2011.0
39,FirstOrderYear,2012.0
15,FirstOrderYear,2013.0
352,FirstOrderYear,2012.0
149,FirstOrderYear,2012.0
181,FirstOrderYear,2013.0
385,FirstOrderYear,2011.0
213,LastOrderYear,2013.0
179,LastOrderYear,2013.0
309,LastOrderYear,2013.0
185,LastOrderYear,2012.0
592,LastOrderYear,2013.0
326,LastOrderYear,2012.0
438,LastOrderYear,2013.0
4,LastOrderYear,2013.0
489,LastOrderYear,2013.0
132,LastOrderYear,
238,LastOrderYear,2013.0
470,LastOrderYear,2013.0
691,LastOrderYear,2013.0
35,LastOrderYear,
25,LastOrderYear,2013.0
480,LastOrderYear,2013.0
24,LastOrderYear,2013.0
441,LastOrderYear,2013.0
520,LastOrderYear,2013.0
417,LastOrderYear,2013.0
37,LastOrderYear,2013.0
141,LastOrderYear,2013.0
341,LastOrderYear,
291,LastOrderYear,2013.0
643,LastOrderYear,2012.0
325,LastOrderYear,2013.0
430,LastOrderYear,2013.0
423,LastOrderYear,2012.0
493,LastOrderYear,2013.0
394,LastOrderYear,
617,LastOrderYear,2013.0
202,LastOrderYear,2013.0
44,LastOrderYear,2013.0
396,LastOrderYear,2013.0
88,LastOrderYear,2013.0
338,LastOrderYear,2013.0
683,LastOrderYear,2013.0
439,LastOrderYear,2011.0
29,LastOrderYear,2011.0
402,LastOrderYear,
27,LastOrderYear,2013.0
419,LastOrderYear,
130,LastOrderYear,2012.0
515,LastOrderYear,
432,LastOrderYear,2013.0
294,LastOrderYear,
408,LastOrderYear,2013.0
85,LastOrderYear,2013.0
459,LastOrderYear,2013.0
405,LastOrderYear,
222,LastOrderYear,2012.0
547,LastOrderYear,
