grupo_indicador,categoria,PK_servico,campo,servico,cod_campo,atributo,cod_campo_campo
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",115,"Encaminhamentos às demais Políticas Públicas","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-4","quantidadeDeEncaminhamentosAsDemaisPoliticasPublicas","(CF-4) Encaminhamentos às demais Políticas Públicas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",116,"Encaminhamentos para os demais Serviços da Rede Socioassistencial","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-3","quantidadeDeEncaminhamentosParaAosDemaisServicosDaRedeSocioassistencial","(CF-3) Encaminhamentos para os demais Serviços da Rede Socioassistencial"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",117,"Encaminhamentos para o PAIF","Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","CF-2","quantidadeDeEncaminhamentosParaOPAIF","(CF-2) Encaminhamentos para o PAIF"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",118,"Pretas","Crianças de 0 a 3 anos Acompanhadas Conforme Raça e Cor","CRC-5","numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pretas","(CRC-5) Pretas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",119,"Pardas","Crianças de 0 a 3 anos Acompanhadas Conforme Raça e Cor","CRC-4","numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-pardas","(CRC-4) Pardas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",120,"Indígenas","Crianças de 0 a 3 anos Acompanhadas Conforme Raça e Cor","CRC-3","numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-indigenas","(CRC-3) Indígenas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",121,"Amarelas","Crianças de 0 a 3 anos Acompanhadas Conforme Raça e Cor","CRC-1","numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-amarelas","(CRC-1) Amarelas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",122,"Brancas","Crianças de 0 a 3 anos Acompanhadas Conforme Raça e Cor","CRC-2","numerodeCriancasde0a3anosAcompanhadasConformeRacaCor-brancas","(CRC-2) Brancas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",123,"Quilombolas","Crianças de 0 a 3 anos Acompanhadas de Povos e Comunidades Tradicionais","CPT-4","numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-quilombolas","(CPT-4) Quilombolas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",124,"Comunidades de Matriz Africana","Crianças de 0 a 3 anos Acompanhadas de Povos e Comunidades Tradicionais","CPT-2","numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(CPT-2) Comunidades de Matriz Africana"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",125,"Ribeirinhos","Crianças de 0 a 3 anos Acompanhadas de Povos e Comunidades Tradicionais","CPT-5","numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","(CPT-5) Ribeirinhos"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",126,"Extrativistas","Crianças de 0 a 3 anos Acompanhadas de Povos e Comunidades Tradicionais","CPT-3","numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-extrativistas","(CPT-3) Extrativistas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",127,"Ciganos","Crianças de 0 a 3 anos Acompanhadas de Povos e Comunidades Tradicionais","CPT-1","numerodeCriancasDe0a3AnosAcompanhadasDePovosEComunidadesTradicionais-ciganos","(CPT-1) Ciganos"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",128,"Pretas","Crianças de 0 a 6 anos Beneficiárias do BPC Acompanhadas Conforme Raca e Cor","CRR-5","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pretas","(CRR-5) Pretas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",129,"Pardas","Crianças de 0 a 6 anos Beneficiárias do BPC Acompanhadas Conforme Raca e Cor","CRR-4","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-pardas","(CRR-4) Pardas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",130,"Indígenas","Crianças de 0 a 6 anos Beneficiárias do BPC Acompanhadas Conforme Raca e Cor","CRR-3","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-indigenas","(CRR-3) Indígenas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",131,"Amarelas","Crianças de 0 a 6 anos Beneficiárias do BPC Acompanhadas Conforme Raca e Cor","CRR-1","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-amarelas","(CRR-1) Amarelas"
"Programa Cuidar","Proteção Social Básica",132,"Adolescentes Inseridos em Programas De Qualificação Profissional","Programa Cuidar","PC-1","numeroDeAdolescentesInseridosEmProgramasDeQualificacaoProfissional","(PC-1) Adolescentes Inseridos em Programas De Qualificação Profissional"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",133,"Brancas","Crianças de 0 a 6 anos Beneficiárias do BPC Acompanhadas Conforme Raca e Cor","CRR-2","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasConformeRacaCor-brancas","(CRR-2) Brancas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",134,"Quilombolas","Crianças de 0 a 6 anos Beneficiárias do BPC acompanhadas de Povos e Comunidades Tradicionais","CCT-4","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-quilombolas","(CCT-4) Quilombolas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",135,"Comunidades de Matriz Africana","Crianças de 0 a 6 anos Beneficiárias do BPC acompanhadas de Povos e Comunidades Tradicionais","CCT-2","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(CCT-2) Comunidades de Matriz Africana"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",136,"Ribeirinhos","Crianças de 0 a 6 anos Beneficiárias do BPC acompanhadas de Povos e Comunidades Tradicionais","CCT-5","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","(CCT-5) Ribeirinhos"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",137,"Extrativistas","Crianças de 0 a 6 anos Beneficiárias do BPC acompanhadas de Povos e Comunidades Tradicionais","CCT-3","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-extrativistas","(CCT-3) Extrativistas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",138,"Ciganos","Crianças de 0 a 6 anos Beneficiárias do BPC acompanhadas de Povos e Comunidades Tradicionais","CCT-1","numeroDeCriancasDe0a6anosBeneficiariasDoBPCacompanhadasDePovosEComunidadesTradicionais-ciganos","(CCT-1) Ciganos"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",139,"Pretas","Gestantes Acompanhadas Conforme Raça e Cor","GRC-5","numeroDeGestantesAcompanhadasConformeRacaCor-pretas","(GRC-5) Pretas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",140,"Pardas","Gestantes Acompanhadas Conforme Raça e Cor","GRC-4","numeroDeGestantesAcompanhadasConformeRacaCor-pardas","(GRC-4) Pardas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",141,"Indígenas","Gestantes Acompanhadas Conforme Raça e Cor","GRC-3","numeroDeGestantesAcompanhadasConformeRacaCor-indigenas","(GRC-3) Indígenas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",142,"Amarelas","Gestantes Acompanhadas Conforme Raça e Cor","GRC-1","numeroDeGestantesAcompanhadasConformeRacaCor-amarelas","(GRC-1) Amarelas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",143,"Brancas","Gestantes Acompanhadas Conforme Raça e Cor","GRC-2","numeroDeGestantesAcompanhadasConformeRacaCor-brancas","(GRC-2) Brancas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",144,"Quilombolas","Gestantes Acompanhadas de Povos e Comunidades Tradicionais","GAT-4","numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-quilombolas","(GAT-4) Quilombolas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",145,"Comunidades de Matriz Africana","Gestantes Acompanhadas de Povos e Comunidades Tradicionais","GAT-2","numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(GAT-2) Comunidades de Matriz Africana"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",146,"Ribeirinhos","Gestantes Acompanhadas de Povos e Comunidades Tradicionais","GAT-5","numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-rIbeirinhos","(GAT-5) Ribeirinhos"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",147,"Extrativistas","Gestantes Acompanhadas de Povos e Comunidades Tradicionais","GAT-3","numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-extrativistas","(GAT-3) Extrativistas"
"Programa Primeira Infância no SUAS / Programa Criança Feliz - PCF","Proteção Social Básica",148,"Ciganos","Gestantes Acompanhadas de Povos e Comunidades Tradicionais","GAT-1","numeroDeGestantesAcompanhadasDePovosEComunidadesTradicionais-ciganos","(GAT-1) Ciganos"
"Programa Cuidar","Proteção Social Básica",149,"Crianças e Adolescentes Orfãos Identificadas e Inseridos na Rede De Proteção Integral No Município","Programa Cuidar","PC-2","numeroDeCriancasEAdolescentesOrfaosIdentificadasEInseridosNaRedeDeProtecaoIntegralNoMunicipio","(PC-2) Crianças e Adolescentes Orfãos Identificadas e Inseridos na Rede De Proteção Integral No Município"
"Programa Cuidar","Proteção Social Básica",150,"Crianças e Adolescentes que Acessaram o Auxílio Cuidar","Programa Cuidar","PC-3","numeroDeCriancasEAdolescentesQueAcessaramOAuxilioCuidar","(PC-3) Crianças e Adolescentes que Acessaram o Auxílio Cuidar"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",151,"Amarelas","Famílias Acompanhadas Conforme a Raça e Cor do Responsável Familiar","GAD-1","numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-amarelas","(GAD-1) Amarelas"
"Benefícios eventuais","Proteção Social Básica",152,"Atendimento Total","Pessoas Atendidas no Total","TT-1","numeroDePessoasAtendidasNoTotal","(TT-1) Atendimento Total"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",153,"Brancas","Famílias Acompanhadas Conforme a Raça e Cor do Responsável Familiar","GAD-2","numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-brancas","(GAD-2) Brancas"
"Benefícios eventuais","Proteção Social Básica",154,"Pessoas Atendidas com Deficiência","Serviço de Proteção Social Básica no Domicilio para Pessoas com Deficiências e Idosas","DF-1","numeroDePessoasAtendidasComDeficencia","(DF-1) Pessoas Atendidas com Deficiência"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",340,"Pessoas Atendidas com Deficiência","Serviço de Proteção Social Básica no Domicilio para Pessoas com Deficiências e Idosas","DF-1","numeroDePessoasAtendidasComDeficencia","(DF-1) Pessoas Atendidas com Deficiência"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",155,"Indígenas","Famílias Acompanhadas Conforme a Raça e Cor do Responsável Familiar","GAD-3","numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-indigenas","(GAD-3) Indígenas"
"Benefícios eventuais","Proteção Social Básica",156,"LGBTQIA","Pessoas Atendidas do Grupo LGBTQIA","LG-1","numeroDePessoasAtendidasDoGrupoLGBTQIA","(LG-1) LGBTQIA"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",341,"LGBTQIA","Pessoas Atendidas do Grupo LGBTQIA","LG-1","numeroDePessoasAtendidasDoGrupoLGBTQIA","(LG-1) LGBTQIA"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",157,"Pardas","Famílias Acompanhadas Conforme a Raça e Cor do Responsável Familiar","GAD-4","numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pardas","(GAD-4) Pardas"
"Benefícios eventuais","Proteção Social Básica",158,"Crianças de 0 a 6 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-3","numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe0A6Anos","(ET-3) Crianças de 0 a 6 Anos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",342,"Crianças de 0 a 6 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-3","numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe0A6Anos","(ET-3) Crianças de 0 a 6 Anos"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",159,"Pretas","Famílias Acompanhadas Conforme a Raça e Cor do Responsável Familiar","GAD-5","numeroDeFamiliasAcompanhadasConformeARacaCorDoResponsavelFamiliar-pretas","(GAD-5) Pretas"
"Benefícios eventuais","Proteção Social Básica",160,"Crianças de 7 a 11 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-4","numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe7A11Anos","(ET-4) Crianças de 7 a 11 Anos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",343,"Crianças de 7 a 11 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-4","numeroDePessoasAtendidasConformeAFaixaEtaria-criancasDe7A11Anos","(ET-4) Crianças de 7 a 11 Anos"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",161,"Famílias Acompanhadas cujo Responsável da Família seja Mulher","Serviço de Proteção e Atendimento Integral a Família - PAIF","PAI-2","numeroDeFamiliasAcompanhadasCujoResponsavelFamiliaSejaMulher","(PAI-2) Famílias Acompanhadas cujo Responsável da Família seja Mulher"
"Benefícios eventuais","Proteção Social Básica",162,"Adolescentes de 12 a 17 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-0","numeroDePessoasAtendidasConformeAFaixaEtaria-adolescentesDe12A17Anos","(ET-0) Adolescentes de 12 a 17 Anos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",344,"Adolescentes de 12 a 17 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-0","numeroDePessoasAtendidasConformeAFaixaEtaria-adolescentesDe12A17Anos","(ET-0) Adolescentes de 12 a 17 Anos"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",163,"Famílias Acompanhadas no Total","Serviço de Proteção e Atendimento Integral a Família - PAIF","PAI-3","numeroDeFamiliasAcompanhadasNoTotal","(PAI-3) Famílias Acompanhadas no Total"
"Benefícios eventuais","Proteção Social Básica",164,"Adultos de 18 a 29 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-1","numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe18A29Anos","(ET-1) Adultos de 18 a 29 Anos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",345,"Adultos de 18 a 29 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-1","numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe18A29Anos","(ET-1) Adultos de 18 a 29 Anos"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",165,"Famílias Acompanhadas pelo PAIF Com Concessão De Benefício Eventual","Serviço de Proteção e Atendimento Integral a Família - PAIF","PAI-4","numeroDeFamiliasAcompanhadasPeloPAIFComConcessaoDeBeneficioEventual","(PAI-4) Famílias Acompanhadas pelo PAIF Com Concessão De Benefício Eventual"
"Benefícios eventuais","Proteção Social Básica",166,"Adultos de 30 a 59 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-2","numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe30A59Anos","(ET-2) Adultos de 30 a 59 Anos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",346,"Adultos de 30 a 59 Anos","Pessoas Atendidas Conforme Faixa Etária","ET-2","numeroDePessoasAtendidasConformeAFaixaEtaria-adultosDe30A59Anos","(ET-2) Adultos de 30 a 59 Anos"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",167,"Ciganos","Famílias Atendidas de Povos e Comunidades Tradicionais","FAC-1","numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-ciganos","(FAC-1) Ciganos"
"Benefícios eventuais","Proteção Social Básica",168,"Idosos de 60 Anos ou mais","Pessoas Atendidas Conforme Faixa Etária","ET-5","numeroDePessoasAtendidasConformeAFaixaEtaria-idosos60AnosOuMais","(ET-5) Idosos de 60 Anos ou mais"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",347,"Idosos de 60 Anos ou mais","Pessoas Atendidas Conforme Faixa Etária","ET-5","numeroDePessoasAtendidasConformeAFaixaEtaria-idosos60AnosOuMais","(ET-5) Idosos de 60 Anos ou mais"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",169,"Comunidades de Matriz Africana","Famílias Atendidas de Povos e Comunidades Tradicionais","FAC-2","numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(FAC-2) Comunidades de Matriz Africana"
"Benefícios eventuais","Proteção Social Básica",170,"Pretas","Pessoas Atendidas Conforme Raça e Cor","RC-5","numeroDePessoasAtendidasConformeRacaCor-pretas","(RC-5) Pretas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",348,"Pretas","Pessoas Atendidas Conforme Raça e Cor","RC-5","numeroDePessoasAtendidasConformeRacaCor-pretas","(RC-5) Pretas"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",171,"Extrativistas","Famílias Atendidas de Povos e Comunidades Tradicionais","FAC-3","numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-extrativistas","(FAC-3) Extrativistas"
"Benefícios eventuais","Proteção Social Básica",172,"Pardas","Pessoas Atendidas Conforme Raça e Cor","RC-4","numeroDePessoasAtendidasConformeRacaCor-pardas","(RC-4) Pardas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",349,"Pardas","Pessoas Atendidas Conforme Raça e Cor","RC-4","numeroDePessoasAtendidasConformeRacaCor-pardas","(RC-4) Pardas"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",173,"Quilombolas","Famílias Atendidas de Povos e Comunidades Tradicionais","FAC-4","numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-quilombolas","(FAC-4) Quilombolas"
"Benefícios eventuais","Proteção Social Básica",174,"Indígenas","Pessoas Atendidas Conforme Raça e Cor","RC-3","numeroDePessoasAtendidasConformeRacaCor-indigenas","(RC-3) Indígenas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",350,"Indígenas","Pessoas Atendidas Conforme Raça e Cor","RC-3","numeroDePessoasAtendidasConformeRacaCor-indigenas","(RC-3) Indígenas"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",175,"Ribeirinhos","Famílias Atendidas de Povos e Comunidades Tradicionais","FAC-5","numeroDeFamiliasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","(FAC-5) Ribeirinhos"
"Benefícios eventuais","Proteção Social Básica",176,"Amarelas","Pessoas Atendidas Conforme Raça e Cor","RC-1","numeroDePessoasAtendidasConformeRacaCor-amarelas","(RC-1) Amarelas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",351,"Amarelas","Pessoas Atendidas Conforme Raça e Cor","RC-1","numeroDePessoasAtendidasConformeRacaCor-amarelas","(RC-1) Amarelas"
"Serviço de Proteção e Atendimento Integral a Família - PAIF","Proteção Social Básica",177,"Famílias Atendidas pelo CRAS que estão Inseridas no Cadastro Único","Serviço de Proteção e Atendimento Integral a Família - PAIF","PAI-5","numeroDeFamiliasAtendidasPeloCRASQueEstaoInseridasNoCadastroUnico","(PAI-5) Famílias Atendidas pelo CRAS que estão Inseridas no Cadastro Único"
"Benefícios eventuais","Proteção Social Básica",178,"Brancas","Pessoas Atendidas Conforme Raça e Cor","RC-2","numeroDePessoasAtendidasConformeRacaCor-brancas","(RC-2) Brancas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",352,"Brancas","Pessoas Atendidas Conforme Raça e Cor","RC-2","numeroDePessoasAtendidasConformeRacaCor-brancas","(RC-2) Brancas"
"Benefícios eventuais","Proteção Social Básica",179,"Quilombolas","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-4","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-quilombolas","(CT-4) Quilombolas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",353,"Quilombolas","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-4","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-quilombolas","(CT-4) Quilombolas"
"Benefícios eventuais","Proteção Social Básica",180,"Comunidades de Matriz Africana","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-2","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(CT-2) Comunidades de Matriz Africana"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",354,"Comunidades de Matriz Africana","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-2","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-comunidadesDeMatrizAfrinacana","(CT-2) Comunidades de Matriz Africana"
"Benefícios eventuais","Proteção Social Básica",181,"Ribeirinhos","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-5","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","(CT-5) Ribeirinhos"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",355,"Ribeirinhos","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-5","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-rIbeirinhos","(CT-5) Ribeirinhos"
"Benefícios eventuais","Proteção Social Básica",182,"Extrativistas","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-3","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-extrativistas","(CT-3) Extrativistas"
"Serviço de Convivência e Fortalecimento de Vínculos - SCFV","Proteção Social Básica",356,"Extrativistas","Pessoas Atendidas de Povos e Comunidades Tradicionais","CT-3","numeroDePessoasAtendidasDePovosEComunidadesTradicionais-extrativistas","(CT-3) Extrativistas"
